天津大学的研究生导师黄家学教授、博士介绍？,        黄家学，佳学基因医学技术(北京)有限公司创始人，免疫学博士，美国归国学者。著名生物学家，在造血干细胞、间充质干细胞、个体基因组学的前沿技术及产业模式的研究与应用上影响深远。曾任中源协和干细胞生物工程股份公司副总经理，国际细胞治疗协会(INTERNATIONAL SOCIETY FOR CELLULAR THERAPY，ISCT)副主席，天津大学药物科学与技术学院教授，华东理工大学教授。曾工作于武汉大学、中国医学科学院、北京协和医科大学药物研究所、美国俄克拉荷马医学研究中心、诺华制药基因组学研究中心。   黄家学博士1990毕业于湖北大学，获生物学学士学位;1997获武汉大学生物化学及生物物理学硕士学位;2000年至2005年师从国际著名名疫学家、美国免疫学家协会主席、美国实验生物医学联合会(FASEB)主席PAUL KINCADE教授，获免疫学博士学位。2005-2008：美国诺华制药公司基因组学研究中心，博士后研究员。致力于以人的基因信息的解读和校正技术、干细胞人造组织工程技术、肿瘤免疫细胞精准治疗技术为核心的个性化医学产品与服务的研发和推广事业。现任佳学基因技术(北京)有限公司、佳学基因医学技术(北京)有限公司董事长，创立基因解码技术体系。    人物经历   1986-1990：湖北大学生命科学系，获学士学位。  1990-1994：湖北省襄阳市重点高中南漳县第一中学教师。  1994-1997：武汉大学生命科学学院生物化学及生物物理学系，获硕士学位。  1997-2000：中国医学科学院、协和医科大学药物研究所国家药物筛选中心。  2000-2005：美国俄克拉荷马大学健康医学中心，免疫学，获博士学位。  2005-2008：美国诺华制药公司基因组学研究中心，博士后研究员。   2008-2014：中源协和干细胞生物工程股份公司，副总经理，质量技术总监。协和干细胞基因工程有限公司，副总裁。2008-今：天津大学药物科学与技术学院、华东理工大学教授。  2011-2013：国际细胞治疗协会(ISCT)副主席。  2014年：成立佳学基因技术(北京)有限公司，创立基因解码技术体系。   研究领域   同源异形盒基因对人体发育过程的调控。  化学药物的高通量筛选。  利用基因组学及转录组学发现和鉴定新型药物靶点，肿瘤干细胞生物学，治疗性抗体的研制。  造血干细胞、免疫细胞的体外扩增及定向分化。   获得的荣誉  1. 杰出博士学术成就奖，2005年于美国 （Ph.D Graduate with Academic Excellence Award， Oklahoma City， U.S.A ）。  2. 研究生学术交流奖，2005年于美国，GSA Travel Award， Oklahoma， U.S.A， 2005。  3.完成科技成果：XIAP修饰的脂肪间充质干细胞在心肌梗赛治疗中的作用    2014年天津。  4.  中华医学科技奖   ，获奖编号：200203253；获奖题目：高通量药物筛选技术体系研究和应用。获奖排序：杜冠华、 王晓良   、 胡娟娟   、 刘艾林   、黄家学、尚念勇、孙缅恩、 张莉   中国医学科学院药物研究所，2002年北京。  5. 北京市科学技术二等奖。获奖编号：2002药-2-005；获奖题目：高通量药物筛选技术体系研究和应用，2002年北京。 
南方医科大学为什呢没有跟华南理工合并?,反驳某个拿自然科学基金说事的匿名用户。南方医合并华工？别笑死人了，先看看资助金额总数 序号 所在省 单位名称 合计 申请项数 (拟)资助项数 金额  1 上海 上海交通 大学    3372 901 50，796.630  2 浙江 浙江大学 2587 702 45，813.730  3 北京 北京大学 1710 552 42，055.430  4 北京 清华大学 1472 478 39，178.340  5 广东 中山大学 2322 638 30，759.400  6 湖北 华中科技大学 2324 579 29，615.410  7 上海 复旦大学 2200 551 28，371.960  8 江苏 南京大学 1229 396 26，960.140  9 安徽 中国科学技术大学 893 331 25，235.150  10 上海 同济大学 1677 426 22，198.410  11 陕西 西安交通大学 1602 435 20，398.470  12 湖南 中南大学 1486 409 19，771.730  13 山东 山东大学 1676 403 19，131.000  14 黑龙江 哈尔滨工业大学 1089 338 19，119.630  15 四川 四川大学 1655 365 18，530.920  16 湖北 武汉大学 1528 368 18，444.400  17 天津 天津大学 934 288 17，746.750  18 吉林 吉林大学 1447 308 16，828.200  19 江苏 东南大学 1336 293 16，008.800  20 北京 北京航空航天大学 825 239 15，696.840 21 福建 厦门大学 968 277 15，302.870  22 辽宁 大连理工大学 817 279 14，618.700  23 广东 华南理工大学 761 208 13，955.320  24 江苏 苏州大学 1117 286 13，732.780  25 北京 北京师范大学 490 173 11，050.150  26 北京 北京理工大学 564 188 10，852.300  27 江苏 南京医科大学 1138 265 10，851.270  28 北京 首都医科大学 1135 232 10，736.260  29 重庆 重庆大学 673 206 10，445.100  30 陕西 中国人民解放军第四军医大学 942 207 10，400.960  31 上海 中国科学院上海生命科学研究院 386 134 10，127.500  32 天津 南开大学 526 175 9，924.800  33 上海 中国人民解放军第二军医大学 962 212 9，865.700  34 北京 中国农业大学 515 144 9，772.600  35 辽宁 东北大学 625 173 9，680.800  36 广东 南方医科大学 848 210 9，678.100  37 陕西 西北工业大学 620 197 9，476.000  华工差比南方医科多了4000万，你们也好意思说要合并也是南方医合并华工？医学本来就是刷esi刷排名刷自然科学基金的利器，排名前7的除了清华外其他几间学校的医学占了全部项目数和资助金额的三分一甚至是二分一，不信再给你看看只算医学的项目数排行  所以说，贵南方医项目数超了华工就自觉很屌了？这只能说明贵校医学比华工厉害而已，但是南方医作前身是大名鼎鼎的第一军医大学和现存的少数独立的医科大学，在这医学排行榜上的位置不能说好看吧？  回到问题本身，现在讨论合不合并没有意义。就算合并了又如何，打铁还需自身硬
本人天津考生 准备报考天津医科大学？,头一次被邀请。。好吧作为还有一年要毕业的老学姐来给你最实用的意见。 本人不是天津人，不太了解天津这个一本A一本B是怎么个情况所以就不告诉你报哪个专业最不亏啦 影像的话，分七年的本硕连读，五年的医学学士本科，四年的理学学士本科，本科阶段结束没有论文或毕业设计，只有毕业考试。据影像的同学说，其实影像很好找工作的，你又是天津人，天津医科大学在天津本地认可程度还是很高的，所以学影像应该是个蛮不错的选择。不过如果你不上七年的话，就要考虑是不是要考研或者出国，考研就不说了，到时候会有一堆人复习考研，只要按部就班的好好复习应该都不是什么大问题；出国的话也蛮不错，因为天医是医学院校里少有的211，出国的话211的牌子还是比较好用的。 麻醉的话，其实我那年我也是想报的只可惜那年没招生。没有麻醉的同学所以具体的课程方面不太清楚，能告诉你的就是，麻醉医生在医院里还是比较吃香的。。。工资也比较不错，你可以考虑一下。 宿舍的话，影像在东院，和检验高职在一个校区。东院小的简直无法描述。。。天津人的话应该都知道新华中学吧，就在我们东院旁边，然而东院作为一个大学的校区竟然没有隔壁的新华中学大。。。说多了都是泪。每年新生入学的时候都能听到相似的故事就是，新生来报道，然后发现东院太小太失望于是回去复读了。。。宿舍六人间，阳台，没有，空调，当然是没有，只有聊胜于无的风扇，夏天躺在床上就像在铁板烧，早上再起来我觉得我已然是十一成熟了。。。 麻醉在本部，气象台路，宿舍条件稍微好一点，也是六人间，不过会宽敞一点，有阳台，空调你就不要想了。。。不过据说洗澡时间会宽松一点，东院是只有周一到周六的下午六点半到九点可以。 食堂的话，东院只有一个，味道嘛。。。看阿姨的心情。。。不过生存还是没问题的，毕竟有外卖嘛。。。本部有三个，味道还可以，只要不是太奇怪的，你想吃的食堂应该都有，可以时不时换换口味，本部据说还有一个留学生食堂，但是从来没去过不知道好不好吃。。。。 学生活动嘛，东院比起本部来，当然要少得多了，不过如果你上了影像学而且不嫌麻烦的话你可以自己去本部参加活动。。。一直羡慕本部那么多活动。。。 最后，学风。。毕竟学渣一只，学风什么的还是放在最后说吧233 一直觉得医大的学风相当拼啊，不论什么时候去自习室都是有人在上自习的，而且自习室的话也很好找，只要你想，做学霸不是梦。。。而且可能是医学真的需要花更大的功夫吧，平时大家就很努力，当然考试周就不用说了，刷夜什么的都是小事。 现在再问很多已经做医生的人，如果自己孩子想学医会不会支持他/她，大多数人都会说不支持，可见医学真的是条很苦的路。所以题主如果你真的做好了准备，比别人多学一年，比别人少玩一点，天津医科大学欢迎你。
天津医科大学的生物医学工程研究生就业如何？, 不是天津医科大的生医，大概是这么个情况。  1.生医的业内就业不算特别好，业内大腕迈瑞给应届硕士的月薪不足10000，注意这是在深圳，脑补月薪不足10000的生活水平；  2.多数毕业生会选择去IT类企业，但如果你的能力不是特别出众，竞争力会比计算机、电子出身的毕业生弱很多；  3.如果自己创业，近几年健康产业的概念比较火，但是不建议大学生创业，多数会是炮灰。 
请问一下南京医科大学怎么样？与天津医科大学相比呢？,看你想在哪里就业了。都是地头蛇
天津医科大的在校学姐学长有吗？,天津医科大学的心内科研究生专业怎么样
17年陕西高考生，问问能不能学天津医科大学口腔医学专业吗？,你这个分数别说读本科了，就是一般的大专的临床专业也难
天津医科大和沈阳药科大？,药理请选择医科大学
在天津上大学是一种怎样的体验？有什么需要注意的？, 我是来自南方的学生（ 两广地区 ），我说一下注意事项吧。   语言：     同学基本都会说比较标准的普通话，不过还是有偏北方的方言的用法，不用适应太长时间自己就会说啦。    饮食：       我不知道其他南方同学怎么认为的，我觉得天津的口味普遍偏咸，不算很辣（相对四川的辣），学校的菜也不是很可口，但是也还可以，一段时间之后就会适应的。       服装：   11月底到12月初建议可以开始买羽绒服了，因为天津年末偶尔会下雪，温度0°C上下，买一件厚羽绒服是挺有必要的。这里不推荐品牌，可以自己去各大百货了解。       洗澡：     澡堂。个别学校有独立卫浴（南开大学 津南校区 文科宿舍）。   补充一点的是，天津的学校并不是大多分布在郊区的，天大、南开在南开区和津南区都有校区，天津医科大学在和平区等等，希望前一个回答的能多了解一下。天津是 部分 学校因为津南区规划在那有校区而不是完全搬迁。      利益相关：南开大学2016级学生 
天津医科大学怎么上网？,本部：CMCC edu 电信 联通都有WLAN 东院：电信 网速快的飞起～
中国有哪些比较好医科大学?,北医，协和，上交的医学院，复旦，华西，中山大，华科，几所军医大，首都医科大学，稍微次一些的如：中国医科大学，天津医科大学……
第二军医大学和天津医科大学应用心理专硕的参考书单和考试题型是什么？, 1．《普通心理学》，彭聃龄，北京师范大学出版社。【第四版】  2．《发展心理学》（第二版），林崇德，人民教育出版社2009。【以此书为主】  3．《社会心理学》（第三版），侯玉波，北京大学出版社2013。  4．《实验心理学》，郭秀艳 著，杨治良 审校，人民教育出版社2009。  5．《现代心理与教育统计学》（第四版），张厚粲、徐建平著，北京师范大学出版社2009。  6．《心理与教育测量》（第三版），郑日昌、吴九君，人民教育出版社。  7．《变态心理学》，钱铭怡主编，北京大学出版社2006。  8．《心理咨询与治疗》，钱铭怡，北京大学出版社1994。  《临床心理学》，王登峰，人民教育出版社2008。  9．《人格心理学》，美Jerry M.Burger著；陈会昌[等]，中国轻工业出版社（第八版）。【讲义为主】  10．《现代管理心理学》（第四版），程正方，北京师范大学出版社2009。  【补充】  《心理学与生活》（16版），格里格·津巴多著，王垒、王甦等 译，人民邮电出版社。  �vI����� 走这个大纲版，对了，你是要考医类大学的研究生吗?不知道你的本科是学的什么，这样的学校可能会有点限制 
重医与天津医科大学哪个好？,劝人学医，天打雷劈，所以，我真的什么也不能说
医科大学的专业选择有什么诀窍？,谢邀         嫌麻烦的话，找一个能力范围内的，可以去八年制的学校，口腔临床都可以，这样省去考研了。但是估计学校会稍差，另外，题主这个档的分数学医是要亏些分的，综合大学的医学院基本进不去，独立医学院的话，没记错211只有天津医科大一所，没有独立医学院是985。         还有一点，读了临床出国很难，因为国内外医学生培养的模式不一样，所以国外不回收研究生，博士也要看运气，不过医学院的课程相对来说比较容易转校，要不就去读公公卫生和基础医学，这些容易出国。         重庆医科大学欢迎你
天津医科大学的眼视光专业怎么样？,这不是医学专业，考不上临床就别考虑了
本人安徽2017高考理科生，高一本线81分，是报天津医科大学护理学专业，还是安徽医科大学的临床专业好？,可以考虑安医大5+3
天津医科大学临床专业15年收分如何？我是山东的，今年考了594有希望吗,谢邀，离高考过去实在太久真的已经不太清楚了。。。毕竟是12年的老学姐了 所以你最好看看14 15年的情况，我记得我报志愿时候是能看得到前面几年招生的平均分的，还有平均排名什么的，你看看今年的分数线对比往年的情况，根据自己的情况好好斟酌吧。帮不上你实在抱歉。 哦对了，现在学校已经不让转专业了所以报专业时候慎重考虑。 祝你进入理想的学校和专业~
如何看待「天津师范大学吴昕怡事件」？,在医科大学看来，不就乙肝么，多大的事
牡丹江医学院的影技专业怎样考到天津医科大学或哈医大的研究生方向是啥？,考研对于你来说有点早，我也在牡丹江医学院上过学 然而我不念了，回来了，所以后面的事情不太清楚。不过医学考研还是统一的，如果说怎样考到的话，大致应该都一样，所以好好学习吧，毕竟学习第一位，学医的以后面对的是生命。方向之类的你可以问问学长学姐，或者本专业老师以及你想去的学校的招生办。
被天津医科大学护理录取，该不该复读？,复读！学医不能将就！
在天津医科大学（TianJin Medical Uni）就读是怎样的一番体验？,12.2更 抱歉研究生了忙成狗一直没上知乎。时间过得太快了研一上半学期就要接近尾声了。在这个节骨眼上，我真心祝愿每位考研族，以及奋战高考的筒子们梦想成真，相信所有的努力都不会白费。我在医大等你们哦 现在研究生住的还不如本科好，没浴室没阳台宿舍又挤。但无论如何我都要感谢医大给我这个继续为实现我的梦想而努力的机会。感谢帮助过我的每一位医大人。笔芯   po照片羞羞的，删删删…… 本科生宿舍照本来我手机里有但我找不到啦。。就是比较宽敞的上下铺六人间啦，每人有小桌子。环境还不错啦，比较干净，没空调，冬天暖气还不错。 等开学了接着po研究生宿舍照吧 愿大家桥头宽阔，道路光明！！毕业快乐 ----------------------------------------------------------------------------------------------------------------------- 谢谢邀请哦（＾ν＾）  谨以此回答怀念一下我的本科生涯。玩知乎的没熟人我就不匿名啦，估计也没几个人看我就畅所欲言只当宣泄感情啦、 我医大毕业狗一只，并且还要在这里继续我接下来三年的研究生生活。。记得刚来学校报道的时候我心里是一万只草泥马啊，怎么这么小，饭怎么这么难吃，课还那么多！我要退学！！！现在反倒留恋起了医大的一切。静怡湖，快递小哥，充满味道的西楼电梯，满满当当的课，和楼下的宿管阿姨每天必喊的sua ka啊！ 刚找老师改完论文郁闷之中收到邀请正好来答题换个心情hiahia 我在天津医大本部校区读了这些年头，体验就是！！！ 这真的是一个性价比很高的学校。 1.位置与环境。 学校处在市中心和平区，要知道和平区是寸土寸金的！学校附近有两个地铁站，走路五分钟就到，并且距离商业中心购物街滨江道和五大道，西开教堂什么的就一两站地。距离天津站也只有15分钟左右路程。对面就是公交车站，交通特别方便。学校附近有居民区，菜市场，买水果早点什么的过个马路就到了。 学校内部小而精致。是一个从大门进去一眼望得到底的学校。因为学校人不多，所以也并不会拥挤。但这也有好处呀！！我八点上课七点四十起床洗漱买早点去上课都不迟到哒(((o(*ﾟ▽ﾟ*)o))) 2.基础设施。 研究生本科生都是六人寝，有几个宿舍楼里面每层水管有热水，隔一层一个浴室。这还是不错哒！可是研究生宿舍就木有了让我最后再享受几天好福利吧嘤嘤嘤 我上课的教室是中央空调，冬暖夏凉，舒服的让我觉得，，，不睡一觉就对不起这么美好的环境       3.学习。 医大的学习氛围简直好的没得说，来了看看就知道。我上大一有次，，图书馆大门就被排队占座位的同学们硬生生挤爆了！！还是大冬天啊！！！天津冬天一大早零下十几度呢啊 然后对于上课点不点名真的是因人而异，有缺勤几次就不及格的，有睁一只眼闭一只眼的，有上课动不动就提问的，但是作为过气老学姐劝大家一句，能上的课尽量别旷课。真的真的，听我这句劝！！！ 期末考试那真是苦的一逼，没吃苦的新学霸的心慎重选择天津医大吧…… 4.关于医大人 图书馆大叔暖暖的萌萌的，欢迎大家来调戏 ヽ(´o｀； 老师大多数认真负责，哦哦哦哦哦对啦，有一个可爱的老师让我们关注她博客，还要算平时分哒！！ 偶尔能看见几个美美哒妹纸，额算我一个吧哈哈哈哈哈！！帅哥的话…大家还是去附近的天大找吧…… 搞政工的老师有坏脾气的傲娇的，大家少招惹吧…… 吐槽篇，，，食堂太小了，饭还又贵又难吃种类又少！我吃香菇饭吃了好几个月啊啊 啊 啊啊！光吃食堂一天能花20多 女生。爸爸妈妈真的要养不起我了…… 哎？平时天天吐槽医大，这真说起来怎么想起来的全都是医大的好呢 过几天就拍毕业照了，如果有人看有人赞我就po宿舍照毕业照  
天津医科大学护理本科五年在读 想了解一下医院专科高级护理和各院校在职研究生利弊?,能保研尽量保研，不能保就在职读，读你所在医院的主任的研，简单，但是要花48000学费，医大的护理完全不愁工作问题，good regard~
在天津医科大学就读是怎样一番体验？,食堂不好吃，校园小，老师好，课有趣。
天津医科大学的基础医学怎么样？, 不了解，听说是211，但是貌似排名很一般啊。 
全国有哪些比较好的医科大学？,以下医科大学排名可供参考。 1.第一层次:医学霸主 中国协和医科大学（已经并入清华大学） 2.第二层次:南北医学双雄 北京医科大学(北京大学) 上海医科大学(复旦大学) 3.第三层次:军地医学四大精英 A.地方医学四大精英 同济医科大学(华中科技大学) 中山医科大学(中山大学) 华西医科大学(四川大学) 湖南医科大学即湘雅医学院(中南大学) B.军队医学四大精英 第一军医大学(已转入地方现为南方医科大学) 第二军医大学(据传将转入地方并入同济大学) 第三军医大学(据传将成为军队唯一的医科大学) 第四军医大学(据传将转入地方独立办学) 4.第四层次:医学十一大金刚 首都医科大学 中国医科大学(据传将并入东北大学) 西安医科大学(西安交通大学) 哈尔滨医科大学 上海第二医科大学(上海交通大学) 山东医科大学(山东大学) 白求恩医科大学(吉林大学) 浙江医科大学(浙江大学) 天津医科大学（已进入211工程） 重庆医科大学 南京医科大学
广西理科女今年高考过一本85分想学医，郑州大学，苏州大学，南昌大学，南京医科大学怎么排志愿？,论医学，这里南京医科大学最好。 不过除非爱的深沉，否则别学医。 今天天津一个超声科主任被砍，浙大附属逸夫医院一个规培生猝死。 总之，劝人学医天打雷劈。 2017.6.29
国内外比较好的医科大学?,国内部分，有两个名单可供参考： 一是2010年公布的首批教育部、卫生部共建的高校医学院（部）：北京大学医学部、北京协和医学院（清华大学医学部）、吉林大学白求恩医学部、复旦大学上海医学院、上海交通大学医学院、浙江大学医学部、华中科技大学同济医学院、中南大学湘雅医学院、中山大学医学部、四川大学华西医学中心。（今年预计会公布第二批） 二是1988年公布的全国首批举办七年制医学教育的高校：北京医科大学、上海医科大学、上海第二医科大学、.华西医科大学、.同济医科大学、.中国医科大学、.哈尔滨医科大学、.中山医科大学、.白求恩医科大学 、.湖南医科大学、.浙江医科大学 、.西安医科大学、.天津医学院、.南京大学医学院、.山东医科大学。（现在学校的名称叫什么，可参考 医学院校历史沿革    国外部分，可参考上海交通大学的世界大学学术排名（医科部分），有专题网站。
大连医科大学怎么样？学风好吗？,你问学风哈，大连医学风很大，尤其这些天开始。  大连医，不算什么。毕竟还有协和、湘雅、华西、四大军医、华科同济医、中山医等稳坐前排。东北也有中国医、哈医大竞争。这些方面都是人才、资源的差距。。没法比。 但大连医在大连呢就是牛x的，在东北也小有名气。  和大连医差不多的上下沉浮。如广州医、温医、首都医、天津医（211哦）、山西医等你都可以考虑去了解，每个学校有自己的风景。看你喜欢什么类的，毕竟你还有诗和远方。    学校分中山学院和旅顺口区两个校区。 旅顺口区的景色很好哦。“鸟不拉屎”（喜鹊好肥） 大一大二跑早操我会看到一片蓝蓝的海； 晨起无聊吃早饭我会看到一片蓝蓝的海； 走去图书馆看书我会看到一片蓝蓝的海； 在寝室阳台休闲我会看到一片蓝蓝的海；           反正就是有一片海，可以满足具有海岛情节的你。 旅顺口区比较偏，购物不方便，美食也是少之又少。翻来覆去的想开荤。放假回来，食堂可是要涨价的哦。  中山学院，靠近市区，有烟火就有人，热闹。       靠近万达广场，吃喝玩乐，烟酒嫖赌。你都可以去浪。  小细节你可以去官方贴吧了解。如寝室布置、社团组织、建筑风格等。
我现在想要接本，是接天津医科大学药学专业还是天津中医药大学中药专业好？,天中医的中药专业相对药学专业更完善，但是个人认为药学的出路比较多
如何评价尚永丰在天津医科大学的所作所为？,看看他前科就知道了，学术牛我承认，人品真心不行
华中科技大学同济医学院和天津医科大学怎么选择？,同济的对比对象应该是川大华西，上交医科，复旦医科(后两个可能比不上)这一层次的吧，我不是医科生，所以不太清楚天津医科大学的实力定位。
如何看待四川大学反对泸州医学院更名四川医科大学？又改为西南医科大学了。?,那一年，小明通过高考来到了自己日思夜想的医学院，虽然高考考得不怎么样，但他还是考上了一个听起来名气响当当的大学----四川医科大学！ 亲戚朋友等不明真相的群众纷纷表示祝贺，祝贺他考上了一个听起来和北京医科大学，天津医科大学，上海医科大学等等等等以省份名字命名的好大学！小明的爷爷听到这个消息更是激动的以为小明考上了自己那个时代数一数二的华西，一遍遍的感叹老天开眼，自己终于能在有生之年看到自己家出了一个好大学的大学生！ 通过五年的学习，小明终于学会了面不改色心不跳理直气壮的说自己是四川医科大学毕业的，应聘的医院有些不明真相的老同志听到这名号顿时跪舔，虽然偶尔有人会鄙视他你不就是泸州医学院一二本毕业的吗，但五年的时间，许许多多的人早已忘记了这段往事，小明也成功的从一个垃圾的二本靠着半坑半骗走向了人生巅峰，虽然他的医术依旧烂的一13，不过这并没有什么关系，反正砸的招牌也是华西的招牌。
如何看待首都医科大学新任校长为了制止学生上课玩手机而强行关闭第一教学楼的网络？,           天津某校发来贺电。
贵州医科大学考天津医科大学研究生有希望吗？,事在人为
南京大学为什么不把南京医科大学合并了？,首先，当年的高校合并都是不同级别学校之间的合并。  比如说，当年武汉大学不可能和华中理工（现在的华科）合并，天津大学不可能和南开大学合并，东南大学也不可能和南京大学合并。这些学校的行政级别都是一样的，校长、书记的官衔也一样。要是这些都合并了，那北大和清华是不是也要肯定合并呢？北京航空航天大学是不是也和北理工、人大肯定合并呢？  因此，武汉大学、华中理工、南开大学、东南大学、浙江大学、同济大学、复旦大学、上海交大等等大学，都是与级别低于自己的学校合并了。  南京大学确实找过不少级别比它低的学校想合并，纵横捭阖，都没谈得拢，各个大学都不是傻子，都有自己心里的小算盘。二是南京大学实在目光太短浅，总以为合并了不如自己的大学，就会损失多大，因此内部阻力很大。  现在看来，武汉大学、华中科大、浙江大学等等学校，自合并以来，把原来的弱校点石成金，实力丝毫不降低，而是不断提升。
大连医科大。郑州大学。重庆医科大。临床医学。哪个好。我山东。。？,首先这几个学校都是医学第二梯队中游的，附属医院重医跟郑大稍好。别看排名，网上排名除了自嗨几乎没用。  上面提到协和招博院校，据我所知医科大中，只有天津，南京，中国，南方，哈尔滨以及三个军医大位列其中。 如果是本科生，建议郑大，考研相对有优势。 如果是研究生就看个人就业吧。
河北医科大学临床学院临床医学怎么样，是二本还是三本，天津的高考分估计在一本线左右，？,河北医科大学只有本部和临床学院有临床专业，临床学院的临床专业是三本，但是专业性在同类学校中很强。
天津医科大学附属总医院病房楼不让带马扎进这种土鳖规定合法吗？, 这种规定是合理的，医院里患者家属集中等候的区域常常包括手术室门前、ICU门前等等，而其他病区一般患者家属会在病房里，患者的床旁。大量人员席地而坐会阻碍患者、病床、药品和设备的转运，妨碍抢救，带来火灾隐患。您可以试着换个角度看问题，假如您的亲人情况紧急需要进入ICU抢救，而门前聚集着大量家属席地而坐阻碍交通，相信您也会支持这种“土鳖规定”。  另外，天津医科大学总医院设有多处患者家属休息区，如有需要，请您咨询导诊或保安。 
哪所大学医科好?, 医学院校名录   可供参考，一般来说，有医学类一级学科博士点的学校是比较好的。 另外，以下学校的口腔专业是比较强的：北京大学、第四军医大学、吉林大学、南京医科大学、山东大学、上海交通大学、首都医科大学、四川大学、天津医科大学、同济大学、武汉大学、浙江大学、中国医科大学、中山大学
湖北人，15年高考，过一本线65分，被天津医科大学护理系录取，想复读，但家人不太同意，不想当护士，?,题主来说几句。 ………………2017.07.16更新……………… 17级新生可以转专业! 官网上截图!     ………………分割线……………………… 题主最终没有复读，现在在天津医科大学就读。 要说不复读的理由，是很复杂的，家庭原因也有，个人原因也有。由于各人情况不同，在此也不赘述。 要问这一年的体会，说实话，我一直活在后悔中，做过回家复读的梦，中间也和家里闹过两次复读，但是最终还是平淡的读了下来。即使过去了一年，查志愿的场景依旧历历在目—— 开心；作为一个农村孩子终于有了一所还不错的大学就读。 失望；一个即使是在乡村也备受鄙夷的专业。 崩溃；在网上查了各种护理相关，真心觉得自己白努力了3年。 要问天医护理学院相关，医大是个好学校，学风好，老师也很有学问。学院相关的话，学院老师都很优秀，大多是老一辈的学姐读到了博士，她们理解我们的悲伤与痛苦。学生，先说同级的，她们都很优秀，刻苦，认真，多才多艺，有想法；但是，负能量也有，而且很多，一群人聚在一起，聊着聊着就会聊到高考，志愿、复读种种，每个人都会心酸，都会后悔，但是日子要过，大家都会忍耐，会为了无限可能的明天而继续努力；中途也有人复读，转走我所知道的就有一个军训第一天回了家，一个依靠各种关系转走。要问学姐，学姐们都很坚强，对我们很温柔，当然学姐也会有负能量。要问课程情况，由于是医学相关专业，课程较其他非医学类专业要紧一些（其实都差不多，各有各的特性。），学科特点很突出——鲜明的文科特性，理论课大部分需要考前突击背书，考试周会很累，需要合理安排复习时间，不学高数（有好有坏吧，因人而异）；实验课，医大很注重实验操作，说实话，这是我最讨厌的课!铺床，口腔护理，鼻饲，导尿……这些让我很不能直视护理专业……但是却也是听的最认真的（要考试，考试还挺严格）没办法，决定了不复读，就算以后不想当护士，也要好好学吧。 要问出路，很遗憾，大部分学姐选择一毕业就进入临床；当然，也有例外，有学姐保研考研，研究生有读护理，有读公卫，有读基础（我们今年的免疫学老师就是大学姐），也有读医学不相关的（有一个学姐考取了川大文学研究生），有学姐毕业转行，干起了医学相关（药代，医疗器械代等等）或不相关（有学姐就读期间就开起了淘宝店，毕业开店）。 要问复读建议，现在的我更相信"一命二运三风水，四积阴德五读书"（并不是说读书无用，只是命、运这些影响更大，前四个我们不能把握，只能更加用心，更加努力的读书!），各人情况不同，我不能不负责的给出。  大致就是这样，有什么不懂的，想了解的，评论区见!我会认真回答!不管大家的最终决怎样，大家都要继续努力，不辜负时光!
