上海交通大学120周年校庆喜饼选择蛋奶，木瓜，芒果三种口味有什么寓意吗？,求类似糕点链接！
上交所与深交所有什么区别啊？为什么有的企业IPO去上交所，有的去深交所呢？都可以上主板吗？, 曾经有过规定，对于非金融类企业，发行5000万股以下的企业在深交所上市，发行8000万股以上的企业在上证所上市，发行5000万股以上8000万股以下的企业可自主选择上市地点。  而对于金融类企业，发行数量以4亿股为界限，4亿股以上去上证所，4亿股以下去深交所。   目前而言，上证所只有主板，深交所有主板、中小板和创业板，  想上主板的话，只能去上证所，深交所自1999年开始，主板已封。   ps：现在上市企业已经可以自主选择在哪儿上市了，不与公开股数挂钩。 
上交，北理，湖大车辆哪个好？,三个学校各有特点，北理强在军车、电动和智能车，湖大的车身、主动安全很好，上交必然是机械方面了。今年我考上的北理，也有同学考上交，难度感觉相近。湖大相对简单一些，室友就是过了湖大夏令营，初试考的也不错。
学生时期暑假打工工资应该上交家长吗？,交一部分，或者给家长买点东西，这是体现孝心。留一部分，这是自己的劳动果实
工作三年，工资每个月上交父母该怎么办？,搬出去住。 这个问题也一直困扰着我。 一旦我找到更好的工作，我立马就搬出去住。 说是要存钱买房子买车结婚用，我擦我就不信老子35之前赚不到一个破房子的钱。
上海交通大学食堂排名？,统统垫底不分先后，毕竟都是挂着“上海”“江南”“淮扬”招牌，然后往炒蔬菜里放辣椒的食堂。
收到的奖学金被老师要求上交？,你确定这个是奖”学“金？
在祖宅挖到瓷器，属唐朝文物，拒不上交？,这不就是动画片《鱼童》嘛。
协和 上交 的临床本科生和普通学校的差距有多大？,上交和协和已经成为一个层次的了吗。。。。  看来我真是老了
上海交通大学食堂饭菜为什么做的这么难吃？,中饭晚饭还好，选择挺多，但是早饭真的不好吃，豆浆都没有现磨的，全是袋装调制的，包子馅儿都偏甜，饼类就没有吃过好吃的 ……
在上交读工科博士是怎样的体验？,上交是出了名的难毕业，论文要求高。说实话，在目前这种凡高校招聘必须有海外经验的就业形势下，还是出国读博比较好。祝你前程顺遂。
ARWU上海交通大学世界大学学术排名靠谱吗？, 专门来回答一下，反驳楼上某个不懂装懂的。这是个学术排行榜！！！ 学术 ！！！我们来分析一下所谓的世界四大大学排名的 排名方法 。US News， 40%的权重是学术 ，剩下的60%包含了毕业生收入，师生比，国际生比例（所谓的国际化）等等。 反正你记住学术部分只占40%。QS排名方法类似。 泰晤士排名，30%学术，30%的教学水平（我很好奇这玩意怎么量化），剩下也包括国际化，师生比，毕业收入等等客观指标。交大的ARWU， 100%客观学术指标。   所以为什么有人奇怪达特茅斯这些藤校排名在ARWU排名低了。有什么奇怪的？他们是名校，不代表他们搞研究！一个大学优秀不优秀，看他的老师和毕业生成就，这是大家想当然的想法。 老师有什么成就？一个是教出怎样的学生，一个是做出了什么学术贡献！毕业生有什么成就？一个是学术成就，一个是毕业工作怎么样。 藤校大比例的高富帅严重拉高了毕业生成就的水平。这就是为什么考量毕业生成就其实非常难以反映一个学校的水平。 我举一个例子，美国的pepperdine大学，娃哈哈董事长宗庆后的女儿宗馥莉也在那里毕业。那个学校在us news美国国内排名48左右。但是在arwu的学术榜，它连全世界前500都进不去！ 这所学校非富即贵，而us news的权重里包括校友捐赠，学校声誉度，这对私立大学是多大的倾斜？us news 排名前20的学校全是私立大学。 公立ucb在20~21名。而ucb在arwu上排名世界第三！  只有学术是很难被影响的 客观指标。ARWU是全世界最客观的世界排名！没有之一！   洗完了地，来说说ARWU的缺点。因为只参考学术，所以和paper质和量有很大关系。很多学科很难发paper，大量的文科。所以ARWU的排名倾斜于理工科。 文科的话其实看泰晤士比较靠谱。这也是ARWU被诟病的地方。  QS和Us News 我重申一遍，垃圾排名，可以当笑话看。 
爸爸让我上交工资，我该怎么做？,好好跟家里谈谈，看看是缺钱了，还是对你不放心。  如果你在家住，吃家里用家里，还不如交工资让家人帮你管理。
上交考研复试会关注大学绩点吗？, 复试的时候会让带成绩单，专业中游的话不怎么影响的。现在是大二的话看看能不能跟同学拼个大学生创新创业项目或者挑战杯什么的，这个主要是让老师看出你有个科研的心~当然也不用花特别多心思啦，主要看的还是初试成绩 
如何评价樊丽明任山东大学校长，上海交通大学常务副书记郭新立任党委书记，张荣调任厦大校长？,喂耶，作为一名厦大准新生，瑟瑟发抖～
今年考上了上交医学院临床，不造上交医学院实力怎样，在这里学习是一种什么样感受？就业怎样？,上交医学院拥有全国高校最多的附属医院，临床医学专业排名全国第一，所以很祝贺你考上交医临床专业。我是学基础的，也就是做科研的。科研这方面的话肯定是排不上第一了，比中科院，清北差，甚至比复旦医学院也是差一点。我们实验室这边有很多医院过来的硕士生博士生在基础医学院这边做实验，也许你也会被老板派到基础这边，也就是重庆南路的校本部来做实验，或许你的研究生生涯需要医院和实验室这边两头奔波。不过这里学生福利挺多，每月有补助，过节会发礼品，年终会发些钱。至于就业嘛，我也不知道你们临床那边怎样，不过上交口碑好，各个医院虽然擅长的领域不同，总体声誉都还蛮好，出来的学生找工作应该不成问题。我从未在知乎上回答过问题，所以回答得不是很到位，见谅。
除了“法律规定”、“怕受处罚”之外，并不富有的公民有什么理由要上交发现的文物呢？,1.首先，上交的对象应是公民无意中发现的国有文物，一般表现为在农村宅基地施工、在耕地中进行农业耕作等情况，城市基建发现文物一般是要报告文物部门无需“上缴”，而对文物保护法中明确属于个人所有的文物则属于“捐赠”。 2.题主的预设就已经不知偏到哪里去了。就文物上缴行为的实际情况来看，题主认为“高尚”的理由虽然可能不是公民发现文物上交的全部理由，但是影响是相当大的。 3.受文物市场价格高昂影响，很多人梦想着通过“发现”文物转手买卖而一举脱贫致富，这只能说图样图森破。文物买卖能产生巨大的收益，但是分配却并不均衡，一般都是最后一次或者几次交易的卖出方获得最大利润，而从文物“发现”者手里“收购”的价格是相当便宜的，如果屈从这一体制，则文物“发现”者在获得不了多少好处的情况下，背上了犯罪行为被发现的隐患；而如果不屈从这一体制，则文物“发现”者很难自己将文物以较高的价格“卖出”。在这一体制中，文物“发现”者处于最不利的地位，相对来说，还是上交国家，获得一定的奖金和荣誉更加合算。
交给大学的学费，学校自己分配还是上交财政？, 1、学费收入实行「收支两条线」，纳入预算管理 ：即收入要上缴财政，支出由财政拨付。 教育部通知要求：原则上所有高校、中专和城镇中、小学校及有条件的农村中小学校，对所收取的学、杂费等都要实行“收支两条线”管理[1]。   2、普通高校收支  的  简要计算公式 ： 收入 =（非专项教育经费拨款-附属中小学教育经费拨款）+教育事业收入+附属单位缴款+其他经费拨款+上级补助收入+其他收入 支出=（基本支出-科研支出-已贷款利息支出）+对附属单位补助支出  [1] 教育部关于做好落实“收支两条线”规定工作的通知  http://www.  people.com.cn/item/flfg  k/gwyfg/1999/206018199911.html      
被上海交通大学退学是什么体验？,肯定欣喜若狂啊，可以回去复读考复旦。
跨考上海交通大学经济学，求建议与指导？,安泰考數一，高金一般每年外招7個金融碩士，考數三和431金融學綜合。安泰難度不好對比。但高金還不如五道口，初試科目相似，五道口每年外招30個人
单位不把员工缴的税上交税务局？,向12366投诉，不一定是偷漏税，也可能是系统原因造成差异。由当地地税来给你答复。
在上海交通大学谈恋爱是一种怎样的体验？,如果你和她刚好一个在闵行校区一个在徐汇校区，体验就是   1.校车坐到吐，校车时刻表了然于胸。  2.在徐汇最晚浪到9点钟，因为最后一班校车9点30发车，还要提前排队呢。  3.有可能你这里下小雨，她那里依然阳光明媚。
上交测控专业，这个专业有读下去的必要吗？,谢邀。我个人也才大四，在天大测控上研，已经进入实验室半年，这方面经验还不是很丰富，个人见解，不喜勿喷。 我在大三时也考虑过考去上交，因为女友在上海读书，因此对上交测控也做了一些了解。上交测控虽然专业排名不是很突出，在电院内部貌似也不是很被重视的感觉，但不代表上交的测控不好。每个学校的测控的研究方向其实都是不同的，有的学校陀螺仪比较厉害，有的学校偏重测量，有的学校偏重信号处理，据说上交也是有好几个方向的，我有几个学长学姐从天大考去了上交，他们觉得还不错，一部分原因也是冲着学校牌子和地方去的。 关于以后的就业方向，从我实验室的情况来看，很多去研究所的，以博士为主，硕士也可以；还有很多去当软硬件工程师的，因为测控专业学的很广泛。 研究生期间很多都是给老师做课题，做一些研究，与以后在公司中做的软硬件应用其实关联不是很密切，以后工作还会再培训的，所以如果还想从事工科行业，就读下去吧，研究生学位还是比较重要的。如果你实在是不喜欢，就转一行，有工科背景读商科还是比较有优势的。 个人感觉就是，不要想太多，考虑比较全面以后还纠结，就按照心情选一个，坚持下去。祝你成功！
对于上海交通大学前任实力派校长杰哥的卸任，你有什么美好的回忆？,四年前，考上交大老妈送我到上海，我和老妈刚下地铁，从东川路站刚出站，迎面就撞上了来地铁站视察迎新工作的校长。校长一点架子都没有，非常的平和，我当时都没认出来。老妈眼尖，一眼就认出了杰哥，一把拉住我说：“儿子这不是你们校长么！”  我定睛一看，果然是啊，杰哥和照片上一样帅。听到了我和老妈的对话，杰哥就走过来和我们握手打招呼。还问我们是从哪里来的，当知道我们是从新疆来的之后，杰哥握着老妈的手说：“你培养了一个好儿子啊！”，然后转头对我说：“不要让妈妈失望。”  现在回想起当年杰哥的这两句话莫名泪目。在交大四年，经历过沉沦，也拼过命，现在大四了，马上要毕业了才知道这四年我没有好好珍惜，也曾让老妈失望过。最近收到了第一封ad，也算是申请有了个答案，最后的结果也还算满意。以后的路还是要时刻谨记当初校长的教诲，不忘初心，不要让老妈失望。
北大，上交和中科院计算所计算机哪个好？,能去北大和交大去什么计算所。。。
复旦医学院和上交医学院哪个好？,谢。。邀。。。知乎第一次被邀。。受宠若惊。。。 先占坑 1.6考完答 顺便会把之前留下的一些坑填掉的。  本来想。。。再歇两天的哭哭 没想到有人催我了 然后还看到闰土今天刚刚考完却在12月30号答题。 惭愧，惭愧   说到这个问题也可以说没有资格答，也可以说知道一些。   我会先扯一些历史   然后从两个学校在老百姓中的口碑，zf的支持以及各自的合并这些杂七杂八的东西   最后再说关于两个学校现在的对比，对历史不是很感兴趣的可以直接拉到最后。  关于大体老师的问题 闰土答得挺好的， 我有幸做了两个学期的学校人体科学馆的讲解员，对大体老师的情况也是知道一些。 （打个广告，虽然我现在因为学业更加重了没空去讲解了，但是我们的人体科学馆真的非常棒，是上海市科普基地，现在病理标本馆还有个我不知道什么馆也加入了肯德基。不对。两馆一中心的科普基地。所以没事来来上医看看了解下自己的身体挺好的。下面的学弟学妹也都挺负责的。） 得益于上医名气响，在上海人心目中地位高的影响吧。确实上海人捐献遗体的话会选择上医更多，我也接待过一些来帮父母捐献遗体的人们，他们顺便来参观的时候，真的是说不出的感谢。 是会有一些一整个家族都在这里捐献遗体的情况。这一点真的很令人赞叹。 觉得这就是一个学校名气和地位带来的效应吧。你看，大体老师都多呢。 其实也不多，不够用，每次周国民老师都会抱怨说大体老师还是不够用。我们的系解课还是需要5-6个人共用一具标本，这还是在我们基础医学是学院的亲儿子的前提下。 周老师说上海相对来说开化很多了，也跟北京四川这些地方的医学院交流过这个问题，相比较下来我们算是很幸福的了。这点真的非常感谢大体老师。   然后说说之前提到的关于名气的问题吧。 首先上医算是民国政府倾全国之力建的医学院了，当时即使是战事吃紧，上医的钱也没少给一分，当时一级教授在全国算是最多的，一二三级教授在全国也是算最多的（谭德炎教授说当时的三级教授相当于现在的院士，我也不知道真的假的）后来的新中国zf也如是。甚至，我忘了哪个老师跟我说的趣闻了，就是中央领导来巡视的时候（建国后），一看中山医院有个大琉璃华盖而上医还没有，大手一挥，然后东一号楼也添上了琉璃瓦华盖。 就包括东九号楼，也就是解剖与组胚系，也是人体科学馆的所在，也是当时毛泽东去世后为了研究遗体保存中央特批拨款建的，是全上医抗震最好的一栋楼，可抗8级地震。 所以说各朝zf对于上医的支持是不少的。  以至于蛤蛤想给自己母校添个医学院的时候也是先考虑上医，后来复旦去中央闹，才给了复旦。。。 对于复旦各种。。。霸道行为之后在吐槽吧。反正我觉得一个名校如此霸道不太好。。。  再说上医在上海老百姓里为什么排第一吧，这也是因为这是中国人自己的医学院吧，是中国人自己建的最好的大学之一。有民族自豪感使然，再加上确实，上医得到的捐助也好，得到的zf支持也好都相对二医更多，做出的成绩（那段时间）也更好，所以在老百姓中就是一个可望而不可及的存在了。  二医。。。在那个时候应该还排在同济医学院后面吧。  这些都是历史了，从长辈、老师那里口口相传过来的，只是说给大家听听，并不可考。有多少真假其实我也不是很清楚。  再来看看二医吧，二医前身的主体是上海圣约翰大学医学院，又并入了震旦大学医学院及同德医学院，圣约翰是美国的，震旦医学院是法国的，同德是德国来的。 你看看嘛，就是把一堆原来不想干的医院捏到一起弄出来的。。。而又因为是外国人造的，虽然师资不错，硬件可以，但是名声就一般了，再加上和上医这般贵族气的学校一对比。。。老百姓心中当然会选择上医了。 然后就是zf对二医的支持了，这点我真的不是很清楚，但我比较清楚的是，肯定比上医差的远了。民国如是，共和国也没多多少。二医的一切大多数都是自己打拼出来的这点一点不为过。   接下来该说说两校合并和两校合并之后吧   有意思的是，其实上医本来是要并入交大的。    关于上医和复旦的合并。之前彭裕文院长有接受过访谈，不过我今天再点开这篇文章想照着写一点却发现已经被删除了。糟糕。。是说了复旦的不好和霸道么？？？我会不会也被请喝茶啊。。。    当时全国都开始兴起办综合性大学，然后就开始各个理科并文科，文科并理科，再一起吃各个医学院。  上医其实本来都跟交大谈妥了，结果复旦横刀夺爱。 没办法啊，谁叫复旦面子大，邯郸路上的中环都得绕着他造。 于是上医就并入了复旦。 那么交大也要医学院啊，怎么办呢。二医就划给他了。  上医刚并进复旦本身就不太服气。讲道理上医发的文章比复旦不知道多到哪里去了。两院院士的数量更是快翻复旦的倍。结果并了之后复旦还准备改上医的名字。于是就出现了院士带着教授带着学生带着校友联名上书到中央，上医的名字就保留了下来。现在的完整名称是复旦大学上海医学院。  说起来之前有个几个大专医学院要并一块儿改名上海医学院。。。 于是我们就当看逗比一样看着他轰轰烈烈的说要叫上海医学院，最后却改了个上海健康医学院。  之后复旦给上医的权力很小，以至于管理下辖的附属医院都名不副实。 上医本来是正局级，派一个副校长官医院稳稳当当，现在是啥我给忘了，资料来源就是那篇被删掉的彭院长的访谈。。。 反正就是管医院名不副实了。医院领导比学校领导大。 钱也很少。虽然本来上医钱也不多，也是钱少的时候在寻求一个土豪嫁了。但是没想到复旦虽然有钱，但他不怎么给。就连招生也是一起招，正好赶上前几年卫计委外行领导内行，尤其是上海，之前竟然是个医学学士在当头头，医生越来越难做、压力越来越大、工资不涨被捅的越来越多，导致现在想做医生的学生越来越少，医学院招生越来越难招。于是不少学生或以医学院做跳板（虽然医学院分数不低），或承受不了医学院的压力，在进入医学院之后不久就通过转专业的途径转去了复旦本部。医学生越来越少。 好歹现在学二医改了，分开招生，也不让转出医学院了。招来的怎么着都是有志向学医的了。虽然2015级的新生分数低的令人发指，还没招满，但好歹比当时找了一堆准备转出去的人好了。  对比下二医，学校给的权力大，学校招生自己管，真的是有些羡慕。 其实二医一开始也一样，统一招生，只是因为他们放权大，所以医学院领导敢想，敢改，改的快，改的及时。所以现在混的比我们好了。 真的就是一句话，闷声发大财。 二医的手脚自由，尤其是相对于上医，体现在很多方面，不止招生，发文凭什么的，以后想到看到再更吧，我想去游泳了TAT  彭院长一句话很精髓，如果可以重来，我们会选择合作而不是合并。   最后再来说说两个学校的比较吧   二医由于法国背景，左手打结这一点显得比较与众不同。上医依然是学美国人那一套右手打结。但是我觉得这没什么好纠结的。 现代外科手术，要求一个人完成的外科手术少之又少，保证手术的快速，有效，成功才是关键。外科手术多以团队合作进行，纠结左右手打结真的没什么意思。 然后二医有个法八，也就是临床医学八年制（法国班），这个很有趣，听说他们前四年这边念，后四年去法国学。我了解不多，挺想听听大家的补充的。  然后是临床 这点没什么好为上医偏袒的，就连复旦自己列的榜单都是二医的瑞金是上海第一块牌子。  当然华山和中山这两个拳头产品紧随其后，更有华东这个高级干部疗养院。 所以说实话也没输多少。  说实话作为上海人，我家住的离仁济东院近，出生在九院，但我还是会选择有些什么毛病去中山看，说实话我也不知道为什么，但就是用户体验来得好一些。  我也在仁济和华山做过导医志愿者，对比两家医院，虽然华山那个时候在修，长得也不如后来的仁济气派，但是我还是觉得华山的医生更好一些。。。是的，我有时候下班之后自己去看一点小毛小病。。。嘘 仁济非常大。。。当中有个钢琴，我曾经在那里做过钢琴志愿者，这个还是挺不错的，相当多来看病的老伯伯老阿姨都反映这个挺好的，听着挺舒心。 华山呢，如果路过三楼那简直噩梦。华山皮肤全国第一，门诊量全国第一。所以真的很挤。。。但是医生都很和蔼可亲hhhh。  一般来说上海人，出生在红房子，骨科会去六院，整形、口腔去九院，心内心外中山，皮肤神内神外华山，老了去华东，肿瘤去肿瘤。。。妇产红房子，儿科。。。我小时候都是在儿童医学中心看的。。。不过复旦儿科也很厉害啊！ 消化会去仁济（不过我还是去中山，那边的C13比仁济的用户体验好）。烧伤肯定是瑞金最好。。。这个是有故事的。具体好像是跟消防员有关。我给忘了。死了？去上医。  所以你看嘛。。一个上海人并不关心复旦还是交大，针对自己的毛病看的好才是关键。  基础。 不好意思。我要恬不知耻的说。上医最牛逼。  这个是有理有据的。你看排名嘛，复旦取消基础医学以前复旦基础医学排名全国第一。 取消了恢复之后是第二名。次于北医。 汤其群院长说，我们硬件比北医好，但是软实力已经有一些差距了，需要我们努力。 不过我感觉说实话。要再超回去真的。。。要拼拼了。  但是跟二医比， 发文章数量，文章质量，我没考证过，也不好说。但是各方渠道都说上医来得好。  至于闰土说的本科生上医好，研究生二医好。说实话我不懂。 我觉得前半句我肯定的，我们的生源质量一直比他们好。牛逼闪闪老师也都没死呢。你看闻玉梅还那么活跃，她带出来的得意门生都是那些给我们上课的时候最跳的。。。迷。 研究生那边我真的不懂。不好说。  口腔我们没有。不好意思。。。  各个科室参见之前上海人的一生。  先写到这里吧。。再不去游泳游泳馆要关门了。。。 综上，临床各有优劣，总体二医领先，基础无论本科生的基础还是基础科研。完爆二医。 体制，二医比上医好，但上医改还来得及。
上海交通大学留学桥靠谱吗？有了解的吗？, 高三的时候才决定的出国，可能对于很多过来人说已经很晚了，但因为英语一直很好，后来也考过几次语言考试，但成绩还算高，就想读语言强化，而且后续申请学校都不太容易自己搞定，之后是父母跟我说他们去比较了几个国际课程问过了，觉得交大还不错，但有的他们也懂得不多就让我也一起去看看，于是就去看看，对于自己英语的问题和留学的向往这边都能给出很好的建议，也让我放心不少。后面就去了。 
参加上海交通大学120周年校庆是种什么体验？,作为不在上海的sjtuer，难得返校。 那些曾经走过的路，踏过的桥，依然熟悉。那些吃过的食堂，品过的夜宵，刺激味蕾。还有天使路依旧斑驳，石楠花满园飘香。 情怀，更多的事与老友重逢。相聚阿康烧烤、冰火四季，酒里沉淀的都是过去的回忆。    当然还有礼品： 1，介绍册    2，徽章    3，邮票    此外还想办张校友认同卡：    午餐呢是一顿免费的，学校还是很为校友着想：     交大，我爱你！一直一直！
如何看待上交的学霸情侣？,不由得让人反思一个问题:我大学四年既没好好学习也没谈恋爱，我的时间都去了哪里？！
顶尖名校上海交通大学能否碾压东南大学？,根据学科评估，东南大学的交通学科全国第一。 民间也常常有「同济桥，东大路」的说法。  那么「路」，自然是要经受碾压的，请党、国家、人民群众放心，东南大学坚持止于至善的校训，造更好的路，接受更残暴的碾压，也欢迎更残暴的碾压。
一个外校的学生怎样才能考取上海交通大学的研究生?,很简单，初试达到线，面试不掉链
城市轨道交通运营与管理专业（高铁乘务）想专升本，有什么专业可以选择？上海哪所大学比较好？,谢邀。 1.你是一名专科生大一学生，先准备专升本。 这个想法是好的，我是大二才开始专升本培训的，你可以去 问问老师或者你们学校以前专升本过的学长学姐了解相关信息。  2.你的专业是高铁方向，那就是说以后算是出来做高铁乘务员之类的岗位。恕我直言，专科学历真的不适合这种职业，当然有关系另说。以我厦门这边来看，至少要本科学历以上。 3.你喜欢英语专业，所以专升本想换专业，又一个选到了自己不喜欢的专业的人。我的看法是跨专业专升本其实是可以，(我福建省的) 但是要考虑专升本跨英语专业的难度，考试科目又是什么，你自己的英语基础如何？等等一系列问题都要考虑到。 我们这里福建竞争很小。我们考试科目是大学语文，专业基础英语，专业英语。 你还是可以找老师或者学长学姐咨询，基本啥都可以问的。  4.说实话，我没听过预科生的说法，毕竟不是上海那边的。另外上海有哪些大学专升本， 可以去上海市教育考试院查询相关信息 ，里面有个专升本专栏会显示哪些学校有招收专升本名额，上海教育资源相较于其他地区还是很丰富的。 5.高考第一次已经选错了专业，专升本难道不就是应该选择自己感兴趣的专业吗？还有英语本科生现在也很多了，就像奶爸说的:" 最好的想法就是把英语当成一种语言，一种工具。然后可以去学任何专业性不是太强的岗位当然前提是英语不能太烂，还有你四六级过了吗?"虽然是应试，但是企业还是很看重的 。还是要啃下来。 6. 共勉 
2017年上海交通大学水平考之后又出现了什么新段子？,下面是上海交通大学英语水平考试想象力测试时间。。。
上海交通大学电气工程研究生的电力电子方向怎么样？,感觉略渣 建议左转浙大电力电子 就业的话 大部分还是会进局子 少部分分布在电力设计院 另有少部分混迹于中外合资和外企 如三菱 联合电子什么的 上交名气足够大 江浙沪找工作有优势 但电气专业排名逐年下滑 长三角以外的地区反而更认可西交和浙大 个人感受 仅供参考
在上海交通大学致远学院就读是什么体验？毕业后出路如何？,我擦这个问题简直是为我量身定做的啊。 我是致远大四的，今天太晚了，先mark明天答。  ----------------------------------------我是分割线-----------------------------------------------------  ２０１１年进入致远，到现在已经第四个年头，毕业后准备在ＮＵＳ的ＭＢＩ中心读博士，身边大多数人是选择继续读博士的，少量读硕士，极少数的毕业直接找工作。说这个是为了提醒各位，如果你准备本科毕业直接找工作，致远学院并不适合你（不管它到底有多牛）。  致远从成立之初，设想就是要培养一流的科学家（多ｎａｉｖｅ啊，靠一个学院来培养科学家。。）。所以，这里的课程设置以及培养计划都是要把你往科研这条路上送，这里我不讨论这样好不好，但只是想说对于没有信心从事科研工作，想本科毕业赶紧赚钱的，一定不要来致远，你会生活的很痛苦，但是如果你的学术梦想十分坚定，那么请看下文：  致远现在分为５个方向，物理，化学，计算机，生物，数学。化学新成立的，前景怎样很难说。计算机主要是十年前成立的ＡＣＭ班并进来的，有其班主任俞勇带着，所以和致远其他方向关系并不大（但能进ＡＣＭ班也是很不错的）。生物嘛呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵，好像学起来的最大挑战就是把砖一样厚的英文课本里面单词背会，其实推荐学生物的同学再修个计算机或者统计二专。重点我想说一说物理和数学，这也是我了解最多的两个方向。  我是物理专业，今年申请结果１个ＵＣBerkely，２个西北大学（是美国的那个），２个ＵＩＵＣ，一个普渡大学，一个佐治亚理工，一个港科大，一个东京大学，还有我ＮＵＳ，应该来说结果是很不错的，这个水平在物理博士申请的圈子应该大于等于清北的平均水平。但是也不年年都这样，比如去年除了一个ＭＩＴ的女生其他的都不怎样，前年最好的两个是ＮＹＵ和Ｃｏｌｏｍｂｉａ，其它的也不怎么样。所以每年的波动挺大。数学方向申请结果不太了解，但应该不错。等我问到了来补充。  师资方面，应用数学的实力很强，有蔡申瓯带头，一批年轻的应数工作者在致远扎堆，这样的好处是你本科期间就可以跟着这些人做一些科研，发文章，然后申请的时候可以有很牛很强的推荐信。应数方向也五花八门，计算生物学啊，数字图像处理啊，ＰＤＥ（偏微分方程）什么的。对于应用数学感兴趣的同学应该可以在这里找到自己感兴趣的方向。物理方面比较强的主要依托交大物理系，有激光等离子体研究，软物质，超导，暗物质探测等等。  体验吧，第一就是很累，致远聚集了一批很热爱科学也很拼的学生，不用功的话可能会被滚动机制踢出致远，或者毕业前根本申请不到好学校。另外就是挺单调的，你基本没有时间去参加很多的课外活动，大多数人都是天天三点一线的生活，各种大作业啊，小作业啊，考试啊可能会让你的学业压力很大。另一方面，如果你真的热爱学术，喜欢思考比较基础的问题，喜欢和别人交流自己的新想法，那么致远就提供了这样一个平台把有这样特质的人聚集在一起，大家可以经常碰撞思想，面红耳赤地争论问题，这样相互促进的学习效率真的会很高。拿我自己来说，学习物理，到了某一个层次的时候（好像是学到理论理学的哈密顿原理），会有一种世界观被刷新的感觉，发现哦，原来世界是这个样子啊。。而跟全班20多个人一起学，总会有身边的聪明人提出你没有想到的问题，这样的感觉，真的会很棒。  当然，这一切体验，建立在你热爱数学，物理等基础学科的基础上，并且愿意为之牺牲一些私人的生活。我们学院的年轻老师们，大多数都是不过周末的，他们以学术为乐，并且可以牺牲很多休息时间来投身学术。我想这大概也是我们进入学术圈首先要想明白的一点，你会休息得比别人少，（同等努力付出）钱赚的不多，但你将以此为乐。同样，因为致远其实是为你今后的学术道路做铺垫，当然会累一些，你从学术上得到的快乐也会多一些。补充一点，前面所说的科研工作者收入问题，可能会有些片面。实际上，教授们能够接触到的资产，除了工资以外，还有很大一部分是科研经费，我看在交大稍微有点能力的老师们，tenure track期间搞到300-500W的科研经费是不成问题的，所以，老师们也是非常追求物质享受的，只不过不是以豪华宾馆和香车美女的形式，而是以少则几十万，多则成百上千万一台的实验仪器的形式。比如我本科呆过时间最长的实验室，一个很酷的仪器是光镊(optical tweezer)，可以用激光产生的势阱操控微米量级的小球。还有一台微米尺度的3D打印机，可以给细菌“做房子”。隔壁实验室经常房顶吊着两个单反采集实验数据，还有一台8000帧/秒的超高速相机。这些种种实验室设备，说是学校资产，但其实就是给老师和他的博士生们使用的，如果真的喜欢做这些事情的话，来实验室上班应该就像去游乐场一样吧。。  致远的课程方面，我不准备说很多，因为学院的课程内容每年都会变，任课老师也在变，所以我当年上过的课大概以后会很不一样。但大致来说，大一到大二上是数学分析，高等代数，概率论，复分析等数学课，大二下开始有理论力学，统计物理，电动力学，量子力学等物理课。不过因为致远有五个方向，互相之间课程是可以跨专业选的。所以对于爱学习并且有精力的同学，可以学到很多知识。从授课水平来说，致远的数理课程水平应该是略高于物理系和数学系的，好多致远的老师（比如邢向军，蔡申瓯）好像只给致远学生上课。当然啦，因为致远的学生们更拼一些，拿到高分并不容易。曾经有学生为了刷分去选物理系的专业课。。  稍微打听了一下其它方向的申请，似乎今年数学方向大多出国读master了，金融硕士一类的。生物方向很多也转专业了，剩下4个人继续做生物，这四个人有校内直博的有出国的，结果都挺不错。我总结最近几年（到我这一届致远有四届毕业生）申请的结果，发现每年不管平均水平如何，每个方向总是会有很厉害的拿到名校或者牛导师offer的，所以申请这事情，固然受环境影响，但是更多看的是个人的机遇和努力。  选择是否来致远，还是最好依着兴趣来做抉择。前提是有强烈的兴趣，其次是愿意为之付出努力，前两点满足了，然后去网上找一找致远的老师们，看有没有自己喜欢的方向正好也有老师在做，想具体了解老师的可以给我留言。但总的来说，致远的物理方向比较强的有：统计物理，激光等离子体物理，软物质，超导，粒子物理与核物理，非线性光学。数学方向比较强的是应用数学，近年也有一些做纯数的老师过来，比如章璞，吴耀琨，坂内英一。。生物的不了解，大家可以到网上看。计算机ACM班挺强的，能来的应该不用犹豫。。
我想考浙江大学/上海交通大学/复旦大学/南京大学，能否给点建议？,不用这么麻烦，考MBA就可以了，跟全日制硕士一样拿双证。
从上海交通大学自动化专业转到外语系亏不亏。。。？,趁着年轻多试错，本来大学就是人格再造的地方，不要患得患失。凡事还是看自己兴趣在哪里再去投入比较好点，你不喜欢自动化何必去忍受折磨呢，毕竟上学还是自由的，工作之后可能会有诸多身不由己难以进可攻退可守了。交大这块牌子，不管啥专业以后工作总吃不了大亏的，不要虚度时光就好。
北大法本法硕与上交特班纠结？,这两个班的模式基本是一样的，都是全推免掐生源，课程设置上比较用心，对学生来说比较辛苦。听p大本科同学说法学法硕的推免难度甚至比一些公法的学术硕士要难一些。在上海工作的话估计不会有什么差别，但在北京或者想要辐射全国，北大毕竟是北大。  总之，如果9月能来p大当然欢迎，另外上交的特班也很不错，祝成功。
如何看待上海交通大学2015年五院迎新晚会?,我在研究生院看小鲜肉班主任上课。  同时用手机看小盆友在群图文直播。
