你怎么看辽宁大学今年法律硕士突然就爆发了，报考就1400多人？,说明越来越强了 事实也是这样的 
辽宁传媒学院在国内传媒大学里是怎样的存在，顺带提问下它的动漫制作专业怎么样？, 辽传在读本科生。  我是这个学校升本的第一批学生   老师们对我们的评价普遍没有专科生高 注意 是没有 说我们整天不思进取 作品没人家专科生好  这个学校挺严 确实可以学到手艺 不过再怎么说也是大学 还得靠自觉   据说到大四时课程也是满满的QAQ 哭。。。    考专科可以来考自考本  学校怎样你还是实地考察吧 我不说啥 别人说一万句不好 你满意就是好   最后奉上一张钟楼的图  那天心情很差 嗯 凑合看吧 没什么意义  希望你选择一个不后悔的大学
本科化学师范生 想考分析化学 是考黑龙江大学还是辽宁大学？, 就看你是求稳还是想考一下211学校。 因为按照题主所说， 考黑大基本上是能够稳定进入的， 考辽大就有风险，也可以和父母商量一下， 还有综合下自己想要工作发展的地方， 毕竟对以后的人脉和资源的利用是一个帮助。 
辽宁大学金融学硕如何？？？,可以的 211+国家级重点学科
辽宁师范大学AIA国际课程文凭国内是否承认？, 辽宁师范大学AIA全日制国际课程，采用3+1+1本硕连读模式，衔接海外6个国家20多所大学10多个专业，学生最终获得的海外大学硕士学位可以在教育部留学服务中心做认证。   
2015年辽宁省大学生村官考试，需要看哪些书？2015辽宁村官考试内容是哪些方面的？谢谢！,  同学，你好，哈哈，我也是准备今年考的，据我多方面了解的信息，辽宁省选聘大学生村官考试，考试内容是行测和申论。    关于报考：一般都是在学校通过报名，经审核确实够报名条件才能参加考试。另外，参加统一考试，笔试是按照按照学校1:1.5的比例进入面试的。    关于笔试准备：村官考试一般很难找到真题的，即使有也是考生回忆的或者是一些机构从各地搜集的，我学长说他去年考辽宁省村官的时候，也是满世界的找真题，后来只在鸿政的教育考试中心出的真题库里找到了一些真题，考试才发现很多题都是真题库里原题，所以只要多做题就绝对没问题。建议我们这些后来小辈都多看一下鸿政教育出的关于辽宁省大学生村官的专用试题，一定要认真做。考试的时候很多都是原题和类似题！    大家多交流！！  
辽宁工程技术大学手机卡？, 必须联通的啊，我就是用的联通的，非常稳定，还实惠，现在又出了一个叫腾讯大王卡的非常火，玩腾讯的应用可以免流量，比如说QQ，微信，王者荣耀，腾讯视频都免流量，非常划算，我和身边的朋友挺多都办理了，非常满意 
辽宁大学怎么样？是几本学校？学校排名咋样？, 1.辽宁大学非常不错，排名也靠前  2.辽宁大学属于一本重点大学  3.学生的环境非常好  4.学校联通的网络设施很好，网速很快  5。就业率很高 
辽宁师范大学和鲁东大学心理学专硕哪个好，哪个好考？, 辽宁师范的专业更好些。鲁东大学录取的人数更多些，分数可以参照国家线。辽宁师范今年只招了8个人，分数达到了360分以上，所以想对来说鲁东大学会好考一些。两个院校的书单都可以参照347大纲。 
在锦州医科大学（前辽宁医学院）读书是什么体验？,虽然毕业了，但是我还是匿名回答比较好。想听实话么？ 1.这所学校的根已经烂了，附一，附三院长贪污被抓，我们知道的是贪的工程款，真假未知，但是新校区计划搁浅。 名字罗俊生，张立洲，梁宇恒，王志铭，自己百度。 2.我上大二那年，思政部的老师因为年终福利差，马原挂了一大片，出成绩前至少挂了一半，那个时候买过一个人3000。 大三下学期，卫生学，当时还叫公共卫生与管理学院，他们负责披卷，院长发话，严批，挂多少算我的，就不让他们过，这是原话。 补考一个人3000起，现在涨到5000了，办降级看你找的人关系硬不硬，最少6w起。 期末各种卖答案的，一个人1000，考前的那个晚上出去小旅店背题，第二天直接去考试。 哦，还有，06年以前期末买过一个人600～800，因为被捅出来，被有关部门狠狠的罚了一次，从那以后价格飞涨。 3.期末考试？只能说呵呵了，你认识人，买通关系，在考场上放开了抄。 4.寝室楼之前门口没有监控，14还是15年来着，有个变态从东边的破墙翻进来，扒女生寝室窗户，给女生吓个半死，出事了才想起来给每个楼按监控。 5.外国人强奸的事，每个学校都有，不必多说了。 6.二号寝室楼丢东西特别猖狂，17年6月18日晚上，丢了三部手机，三台电脑，涉案金额3w+，学校一点行动也没有，马家派出所警察也是一帮废物。     唯一值得我怀念的只有我的同学，还有上课的老师，至于这所学校？还是算了吧。
黑龙江八一农垦大学辽宁考生420分超二本分数线70分能考上么？退档么？女生学什么专业比较好啊？,累积位次是啥意思，建议把现在的分数换算到去年的分数，然后根据位次，还有今年考生总数的增减，来选择
如何向大学室友解释辽宁GDP负增长？,我家乡是辽宁沈阳。 这有啥好解释的？又不是你让辽宁GDP倒数的，事实接受一下没什么难的。
辽宁考生537分能去上辽宁师范大学么，如果能的话，能去哪个专业呢？,我不知道这个大学，也对辽宁不熟悉，就不乱说了。我给你说说怎么去找到性价比高的学校。 完美志愿，这个网站，非常好，不过从上年开始收费了，但是它提供的大数据服务绝非一般报考指南可以相比的，楼主不差钱的话可以试试。 高考派，这个相对差一些，但起码比你所能接触到的志愿网站好多了，有些地方也需要收费。 不要吐槽收费，现在连知乎都只是付费了，这是趋势，花钱确实买到好的服务，不要心疼这些钱，你可以在其他方面节省，但要学会对自己的教育投资。
辽宁大学化学院复试都会考些什么啊？,好像是考辽大本科期间学的实验内容…
在辽宁省报考湖南大学是怎样一种体验？,录取最慢的应该是东南吧。。。
为何同是东三省，辽宁大学生相对来讲以后想回到家乡的比重比吉林和黑龙江的学生要高？,东北经济不景气主要是区位原因决定的，辽东离内陆比较近，还有救。另两个兄弟省份将来怕是只剩一产了，还回来做什么..我觉得他们都是明白的。
如何看待辽宁大学因学生对教师评价优秀率大于40％而要求学生写检讨？,我在此做出郑重其事的检讨。 我原以为这个教师评分活动是面子工程的一种，仅仅是为了缓和学生于学习生活中日益增长的不满，因此上不得已而推出的一种和稀泥行为，对于实际解决问题不会起到任何作用，没想到并非如此。 对于我们的评分领导高度重视，并对于我们给老师打高分的行为提出了批评，这意味着老师听到了我们这些群众的呼声，而且我们可以预料到在很远的将来，我们所反应的情况会得到适当的解决。 在这次错误中，我意识到我犯了经验主义错误，在辽宁大学这个官僚主义横行的破落大学中，还是有着这样一处两处没有被污染的净土的。我没有紧跟时代的潮流，错误地预估了形势，只抓住了辽宁大学的主要矛盾的主要方面，即出格的官僚主义造成的思维僵化与敷衍了事，而忽略了该矛盾的次要方面，即官僚主义下的上纲上线与想一出是一出。 因此我要做出深刻的检讨。                    ——节选自某某的检讨
有辽宁大学一起暑假义工旅行的吗？,很近，有靠谱的没
辽宁大学好还是东北大学好?,我觉得要这么看。  只在东大和辽大之间比较。    1 如果你是理科生，如果你够东大线，义无反顾选择东大，实在不够再来辽大。   2 如果你是文科生。  如果你够辽大文科一本线，来辽大。 我们那年文科高考一本线东大比辽大高11分。如果你去东大，虽然是985高校，但是在理工类院校，学文，真的不建议，有同学说会受到其他院系的相对歧视，自己真正能获得也少吧。   当然有答案说东大的行政管理和公共事业管理很好。   去东大文科的分，可以去辽大大部分的学科了， 但是部分的商科，如经济学，金融，注会，都是高于提档线20分以上的。   而且辽大的人文社科相关专业设置非常齐全，文科本科生在新校区，设施相对完善，共14个学院。   专业设置      而且辽大在很多文科类专业的全国排名还是不错的，例如经济，是全国十三个经济学人才培养基地之一。其他广告学、摄影、档案。辽大的经济、历史、中文、新闻、法学还是推荐的。  附教育部2012年人文社科专业排名:   【榜单】权威！教育部高校学科排名（人文社科类）     我们学院为例/新闻与传播学院，是14年9月新成立的，省委宣传部调研了辽宁省内的7家人文社科相对优秀的院校后，决定在辽大设置。相对说明辽大文科在辽宁的地位了吧！  东财这种专业性的高校虽然不是211，但是它的商科也很出色，社会认可度也很可以，还在美丽的大连，当年差9分没考上。  综合性高校能给多的学科交叉氛围吧！当然辽大仅仅是211，在沈阳名气是不如东大的。 辽大管理也比较松懈，可以理解为“开放”。   从其他方面考虑，在校能得到的很多东西，还是985高校好很多的。比如信息资源、教师资源、人脉资源、硬件配置。     从就业考虑的话，不仅看个人能力，教育背景有很大的影响。  985和211院校社会认可度都很可以，当然985的学生在就业、考研、留学，相对211更有优势。 辽大的校友遍布辽宁甚至东北各界，在东北工作还是有一定校友资源的。    据说，在非技术性岗位上，企业更愿意要辽大学生。   最后，东北现在经济形势不好，不利于年轻人的发展的，还是更建议省内的同学往外边走。 多方面考虑再报志愿，别跟我学啥也没查就来了。学校所在城市/经济环境/学校综合排名/985或211/学科排名，等等吧。自己列个表，看看更侧重哪些方面，结合自己分数报考。  奥，如果像我一样穷的哈，报专业想清楚了要。  完。 
请问一下辽宁师范大学海洋经济与可持续发展研究中心怎么样，科研水平，师资等方面。?,   中心的经济学虽然是刚刚办的，就业还不错。这里的同学也都很团结，中心管理的也比较严，老师也比较负责任，呵呵，总之还好啦，而且学校是在大连，离市中心比较近，总比 其他的B区C区好多了吧？缺点就是学校比较穷，学生都是自费的，校舍也不怎么样，希望 你能来到辽师！    
辽宁大学会计学硕复试刷下来的人都去哪了 ？,可以去资产评估和企业管理。。
如何评价看待辽宁女大学生交学费，中了80万发票大奖？,广告学院的广告
如何评价辽宁大学禁止第三方外卖服务的行为？,3月14被没收加热棒 准备写检讨中 尊敬的学校敬爱的舍管 由于安全意识不够 我私自使用了加热棒 在寝室烧水 这有极大的危害 如果可以的话 我希望你们修一下热水机 毕竟从上学期热水机们集体阵亡以后 已经过去一个假期和开学后的一个月了 说真的我真想拿加热棒戳死某些领导  最后祝您 螺旋升天 谢谢 ========================================17-3-14   大家好现在是3月13日21点 我的答案消失了两天 因为被人举报了嘻嘻 真的厉害哦 据我所知辽大私家车出入即将收费 在校内超过十五分钟也要收费 真的厉害喔 ========================================17-3-13 21:07   现在是3月10号22点 我来更新一下目前的结果 这应该是我最后一次更新这个回答  这个是目前的商讨结果 不论怎么讲  算是给一直关注这件事的同学们一个交代 也谢谢一直以来大家的坚持  知其不可为而为之  最后我想说一句  开黑吗 我源氏贼6 一拔刀就死的那种  ========================================17-3-10 22:15 更一下最新进展   看完这个通知我只有一个疑问 如果仅仅是平台的问题 为什么电话订餐也被禁止了 解决方案是校内app还是代买甚至是不了了之 我们无从得知  希望如此 朋友们依然能够坚持 最后我只想说四个字  天辽地大。 就这样  ========================================17-3-10 19:31  半个小时后自己再bb几句没匿名 不怕被查 从两年前的某些事情就已经失望透顶  据室友刚才的报告 厕所停水啦 大家开心就好 我挺开心的  ========================================17-3-10 11:48  14要下架的老学长来随便bb几句  永远修不好的热水器 拜托啊我们特么是交钱打水不是白打水的ok？寝室大爷跟我讲过几次 他们也很无奈 上报了 没人修  突然的断电停水 断电我能理解 停水是几个意思 mmp你他妈这个季节是要开喷泉还是怎么  临时通知的a3整栋楼换到b5 校领导我怀疑你脑子塞了s 你觉得搬寝室很容易是吗ctrlx ctrlv就完成了 临时通知换寝还有限期   刚返校和地窖一样的寝室 暖气费没交吗 钱都哪去了 机关楼冬暖夏凉四季如春 别的人都不是人了 只有校领导是人 好好好这真是太imba了 怕也是失了智  然后就是突然停掉的外卖 据说是食品不安全 可能食堂到寝室要穿过一片核辐射区吧 我表示理解ok 两万人一个半小时一起挤食堂 还挺暖和的不是吗 食堂收了现金学校也好收商铺的钱啊 一举两得 美滋滋  讲出来我都觉得搞笑 提前收学费我表示理解 校长可能是要买车吧 现在这一看 校长这是要买高铁啊？？这么能耐 老哥稳老哥到位 老哥上天不？  我他妈反手就是一个鎏金开你裤链 ps等一个鸡妈妈来个激素谢谢
辽宁工程技术大学阜新本校区15级学生有希望搬进学生公寓吗？,我可以很负责任地告诉你，今年九月份辽宁工程技术大学主校区学生公寓就会重开，二人寝三人寝四人寝都有，以四人寝为主，辽工大领导经过两年的努力已经把公寓的产权争过来了。这两年主校区的学生搬到北校区葫芦岛校区就是为了安排学生住宿问题，同时学校在这两年内把公寓产权争回来了。今年葫芦岛校区会回来一批人住公寓，16届的大一新生可以住公寓，其他人不清楚
在哪里可以找到辽宁大学，西方经济学专业的历年考研真题和答案啊？,辽宁大学蒲河校区回民食堂
在辽宁大学就读是一番怎样的体验?,男人在哪
应用统计学考研，对比东北财经大学，东北师范大学，辽宁大学，难度和前景分析？,辽大。第一，辽大的热度远不如其他两个学校，竞争会小很多。第二，辽大经济类学科的历史和出过的人以及在老一辈学者里的名气比你想的大的多。我今年去复试，导师里有一个是院长，南开毕业，我介绍完我本科是辽大经济学的之后他就一直说，啊呀，你们学校这个经济类很强啊什么什么的然后开始给其他老师解释说明… 而且你去看学科介绍能发现，辽大的经济类学科体系真的是超级完善，从本科到博士辽大几乎有绝大部分经济类学科的全部学位授予资格，数量是地方类高校的绝对前列，毕竟早年间中国经济学发展的还不像现在这么红火的时候，辽大曾经和南开并列为中国经济学的泰山北斗，如今虽然没落了，底子到底还有一点。 ………………………………………………………… 这么敷衍的回答居然有人给赞，给你们比心❤ 那就补充一点点好了，省内就业东财虽然不是211但是因为人家在一个比沈阳火很多的城市大连，所以东财的热度和知名度要大于辽大，你如果去一般的企业的话东财的优势可能会比辽大略大，但其实我个人觉得可以忽略不计；如果去一些看重学校是否是211 985的单位，那么，东财不是211。另，再补充一小点，东财起源于辽大当年迁去大连的计划统计系。然而现在的东财对辽大简直满满的敌视及不屑，也是不懂。 东北师范？它不是一个师范类院校吗？经济类学生表示不了解，没关注过T^T （哼，谁让那个东师的先说我大辽大的，人家就是不开心|(￣3￣)| 不过讲真，真的没关注过…）
请问华东政法大学和辽宁大学的法律硕士（非法学）哪个会好一些？过来人请提供一点思路，首次提问多谢各位了。,8月10日第一次修改··呃···不是修改···是补充。 楼主的问题是“ 报考法硕非法学那所学校好” 然后答案里面清一色的都是 “辽大跟华东政法没法比，这是在侮辱华东政法” 我记得知乎是个回答问题的地方啊···所以我们能不能从解决问题的角度出发？ 原版答案里我说过了我的回答是从 性价比 这几个字出发的，在我眼里题主的女朋友不会推进中国法治的进程，也不是天赋超人才华横溢过目不忘的天之骄子最多的发展可能性就是基层公务员或者某所的年轻小律师，仅此而已。那么问题来了：对于这类选择的人来说务实一点难道不好吗？我不了解华政所以我答案的出发点都是从辽大的角度出发的，能够耐心看完我答案的朋友我想也能感觉到我黑辽大也不手软，但是请某些朋友注意一下， 我的出发点——性价比 。至于我的表述方式，这年头表情包里的话还是跟着表情包一块发出来的好。  再多谈一句，山东人不是都开挖掘机的，新疆人不是都暴徒，广州人不是什么东西都吃，河南人不是都在拐卖孩子。211也好，985也罢，五院四系也厉害。 你可以骄傲，你也可以自豪。但这个骄傲跟自豪我希望能够是油然而生的，而不是有不了解情况的人发出一些疑问唯恐避犹不及贬低别人。  最后欢迎有营养就事论事的撕逼，呃，不对，是交换意见 ~~~~~~~~~~~~~~~~~~~原版答案分隔线~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 实名反对所有人，嗯。我不是针对个别人，我是说在坐的所有人——都！是！X！X！（敏感词打不出来） 个人疑问，非法学真的有必要要求五院四系，法学功底深厚吗？其实，无非就是不喜欢本专业，觉得法律还有那么点意思，趁着还算习惯应试教育学一下咯。如果你真的是有志于为中国法治事业做贡献，那你出门右拐不送。 楼主想在哪里混，这是一个非常重要的命题。东北三省尤其是沈阳周边还是很认可辽大法学院这块牌子的，没办法。公务员十个人入职某法院七个辽大的，你就算是清北人政的，就算是贺卫方教授曾令良教授的得意门生（非法学见不到的吧？欢迎大神指正）你进了辽宁地区法院跟律所好像也没什么用吧。所以接一接地气好不好。 如果题主要在辽宁混，性价比最高的还是辽宁大学。看清楚我说的是性价比！！！ 1：备考成本。辽宁大学完胜，辽宁大学非法学走的是国家线315（国家线可能改），这个分数的意思是你如果考不上辽大那么除了自主划线的学校所有一区院校你都考不上了。华东政法应该在325以上吧。10分不是你说提高就提高的上去的。 2:教学模式。辽大完败。辽大的法硕就是放养，根本不管你，你进校门以后除非出勤率太低否则没跟在乎你上没上课。刑法学教授刑XX老师就曾说过“辽大的非法学就是XX”。但是这样也有这样的好处，你有无限多的时间可以复习司法考试跟公务员考试甚至去律所实习。我就见过非法学的同学从研一就跟着北京某团队做非诉一直做到毕业的。 3:升学容易。对，非法学考辽大的博士容易，因为外校没人来考，而且如果你是老老实实上课的那种你有可能在考博之前就已经给自己的博导干了三年的活了。据我所知辽大非法学今年毕业有三人考博，二人成功。一人回四川外其余都是本校。 4:熟人多，尤其是沈阳及其周边城市法检系统基本上分为辽大系统跟其他学校两波。小律师实习太好找律所了，跑法院一看都是同门师姐师兄，有可能还是一个导师带出来的。哎呀呀，这感情似海深哟。（啧啧啧 ）而且个人感觉东北人情氛围浓郁，同门一脉确实有助于日后工作。 当然，如果题主抹不开面子，真心想好好学法律，为祖国的法治事业奋斗的话。还是挑个别的学校吧。 最后写完答案后发现曾令良教授去世了真的很伤心，本来本科论文有不少见解都是借鉴的这位教授的。愿一路走好。 最后，不匿名了。我就是辽大滴。
求辽宁师范大学专硕心理健康教育的考试书目？,找到了么题主，还是已经考上了，今年想考资料好难找同求资料啊
如何劝说自己的学弟学妹不要报考辽宁大学？,主要还是看最后的分数吧，分数好自然就不会报考了，南方学生大多不愿意来北方上学 人生多一点历练也没什么不好
辽宁大学法学院怎么样？,在辽大读了三年法律硕士（非法学）专业，总体感觉是师傅领进门，修行靠自己。学校整体学术氛围一般，就业情况则是因人而异了。三年时间说长不长，说短不短，多考证，多实习，越早通过司法考试越好。选择毕业后就业的同学，很多时候辽大的学历会被不少企业鄙视，但是我想说任何时候都不要放弃，一直努力下去你就会成功！
在辽宁师大读大学的男生是怎样的体验？！！,1，相比于女生，男生管的少一点。 2，辽师西山食堂没有外卖划算。 3，女生多不是花心的理由，而且女孩子也是要看脸的，所以无谓的自信是愚蠢的。 4，辽师风气还是不错的，相比与大连同等学校。女生很漂亮，很规矩，是居家旅行，结伴终身的不二选择。 5，辽师期末是恐怖的，我不会告诉你我今年10天考8科……
在辽宁工程技术大学当学渣是一种什么体验？,谢邀  我校是一所历史悠久，专业突出的全国重点大学。前身是成立于共和国元年的阜新矿业学院，现有学生四万余人，横跨两地三校，依山傍海，占地5000余亩。长久以来，我校素以"煤炭工业的黄埔军校"，全国首批88所重点大学，工信部长与煤老板的摇篮著称业内。学校秉承博学笃行诚朴求实的精神，取得了巨大的发展。本着植根东北，经略全国，辐射亚洲的发展战略，与一系列发展中国家的优秀大学结成伙伴，并在国内的就业市场上为学生营造了良好的就业环境，并通过教改，课改等方式不断提高教学质量，作为一所以考试严格，学风严谨著称的大学，我校没有学渣。 谢谢:-)    
高考617（山东文科），录取了辽宁大学日语系，希望各位能帮忙看看我有必要复读吗？,虽然我是理科，比你大一级，但是情况和你很像。同为山东人，衷心地建议你，好好去上大学。 现在的专业不是自己喜欢的，现在的学校不是自己喜欢的，现在所处的环境也不是自己喜欢的，这些都不重要。重要的是调整自己适应环境，同时将环境改造成适合自己的。 青春很宝贵，大学一年能给你带来你想不到的东西，不要把时间用于重复已有的经历。 学习外语是一门工具，你可以同时自学其他方面的专业技能，比如金融会计类的执业资格都可以自考完成。或者可以学一些其他的语言，英语一定要搞好，不喜欢日语可以考虑学法语德语西班牙语，这些语言的使用范围都很广。 大学应该会有转专业的机会，现在的你应该在辽宁大学新生群中赶紧发现几个靠谱的学长学姐，向这些人打听一下学校的转专业要求是什么，如果想认真学习该重视什么，有没有出国交流的机会，如果要搞好社团该做些什么。 不管是什么水平的大学，里面都会有很多牛人，都能带给你成长。不要抱怨环境，要相信自己能成为出色的人。 手机答题，欢迎私信和我交流。
辽宁省理工大学排名？,正确顺序应该是 1 大连理工大学 2 东北大学 3 东北财经 4 辽宁大学 5 大连海事大学 6 中国医科大学 7 辽宁工程技术大学 8 沈阳农业大学 9 沈阳工业大学 再往后就没什么好学校了
辽宁科技大学的文科类专业怎么样？,巧了，我也报考这个学校，我看这个学校的宿舍还不错，我就选了它 
内蒙古大学和辽宁大学哪个好一点？知名度和就业前景哪个更好？,我是内蒙古人，对于这两所大学都不太了解，但是辽宁大学文科好像不错
在辽宁大学新闻系学习是什么体验？,怎么说呢 你太丑了。
文科生，去东北大学好，还是去辽宁大学好？,各有千秋吧 本人东北大学毕业。东大是传统的工科院校，辽大是综合类大学，从学科建设的角度说，辽大的文科类专业更强一些，辽大的有些优势学科在其行业内都是很有影响力的。从学校的整体情况上来说呢，东大是985和211高校，辽大是211高校，在知名度和社会认可度上，有点不谦虚的说，东大稍好于辽大。 如果是想继续深造，或者是在专业性很强的领域就业的话，学校专业在其自身行业内的声誉和影响力更重要些，如果是一般性的就业的话，学校整体的知名度和认可度会更重要些。
我是辽宁文科艺术生 请问西藏大学2017年招辽宁艺术生吗？,宝宝是武大理科生，你这样问是找骂？
如何评价辽宁大学的伊凡？,回答；  解：对他就是这名字 回答完毕。 我可以举报了
辽宁大学辽阳校区和外国语学院是一个概念吗？,辽阳分校跟沈阳主校关系不大好吗…… 辽阳分校应该也有其他专业，但基本上整个校区全靠学外语的死撑，跟主校的外院完全不在一个水平线上，一、二本不是随便划分的……
辽宁师范大学AIA国际课程是计划外的招生吗？,这家好像是计划外招生的中外合作办学项目，给学生提供高考体制之外升学方式的选择。计划外是免高考成绩的，报名之后参加下学校组织的英文入学考试就可以。楼主这么想了解这个，可以去他们官网去瞅瞅，看看介绍啥的
辽宁师范大学脑与认知神经科学研究中心怎么样？, 看到上面这么多消极的评价，我觉得有必要给辽师脑中心正个名。  负责任的告诉你：  第一，中心学习条件可以说是非常不错的。（1）一人一个机位，人手一台电脑。当然确实有少量电脑有点老旧，这可能需要一个更新换代的过程；（2）脑电实验室和行为实验室随时对学生开放，所有老师都非常鼓励自己的学生去尝试自己的实验想法；（3）各位导师的办公室都在学生办公室旁边，有任何问题随时都可以去问。而且，所有老师都是青椒，绝对毫无保留的解答你的问题；（4）配有厨房，当你被某些问题所困扰时，可以邀上自己的好友在厨房做一顿好吃的，可以自己磨豆浆，可以自己烤饼干...。当然，这里也有很多槽点，比如说我们已经吐槽了两年的网速，比如说每天都要爬通道、上七楼，比如说偶尔停一下水，比如说各类讲座少得可怜........(只能寄希望它慢慢变好！).......  第二，辽师的生活条件真的很差！真的很差！（1）每个月600块补贴几乎杯水车薪，并且奖学金也少得可怜；（2）大连物价本身也是高得厉害；（3）宿舍也是各种差......  第三，中心的学习氛围很好。（1）学生本身成分比较复杂，文科、理工科背景的学生兼具，这就自然而然有利于学生之间的互相学习；（2）大多数学生自身的拼劲也比较足。几乎每天早晨7点到晚上10点，你都可以在中心办公室看到在学习的人；（3）毕业之前必须发一篇B类也是硬性条件也无形中给学生施加了压力；（4）新来的一批博士研究生也非常热衷于将自己的所学教予师弟师妹。  第四，中心只适合基础和发展方向的同学。认真的说，可能只适合基础方向的同学。  总之，若要拿中心和北师、北大、心理所等研究单位比，那是显然比不过的。而且，中心刚成立确实也存在很多很多很多问题。最后只能对那些在考研道路上折翼的天使们说，如果你真的喜欢科研（真的要好好想想再做决定），如果你能接受得了清贫、孤寂和艰辛，辽师中心还是可以成为你科研道路上的一个临时的寄身之处。马上就要毕业了，真心希望中心越来越好！ 
如何看待辽宁师范大学强制学生换寝室的事件？,我的天，我好恐慌啊，无论如何，我一定要说，学妹学弟千万别来辽师，辽师图书馆书又少地又小的小土楼，日常上学必须离寝，没课也不能回宿舍，考完体育累的要死也不能回寝室，临时肚子疼没课也不能回寝室，现在又整这事那事，真的不考虑我们学生的感受？？？承诺不算承诺，学生不算学生，真的是大学？？？？？
辽宁大学学国际贸易，考研能考金融吗？,所有专业几乎都可以考金融，只不过金融是难度水平中属于比较高的。
辽宁葫芦岛的几所大学会合并吗？,回答主 绝对没可能
我是辽宁的，理科女生，600分左右，能考什么样的大学。我想做编导（但我不是艺术生）谢谢啦。？,恩我高中是文科生，而且是浙江的（满分810），所以确实不大清楚辽宁理科六百多分是一个什么概念，应该算是蛮不错的？   广电编导是艺术专业，文化生的话对口应该是广播电视学（原名广播电视新闻学），在大多数学校下是隶属于新闻传播一类的学院，专业课程主要分为理论和实践类，听题主的描述应该是希望实践类的课程多一些的吧，那么广电在这方面还比较对你的胃口。  毕业之后可以进电视台、纸媒、传媒公司、视频制作公司等等，但是传统电视台应该是越来越难进了，一方面是因为作为事业单位编制本身就会有很高的门槛，每年招收的人数也在逐年收缩，另一方面也是因为互联网的发展带来的冲击。  我给你的建议是进电视台的一般是作为新闻记者进去的，而不是你以为的“节目编导”的身份，我贸然揣测题主是想做综艺节目的编导，其实现在很多电视台的综艺都会外包给制作公司，比如说灿星（应该听说过吧）等，所以去到一些传媒公司啊制作公司啊也都是不错的选择，另外还有像现在非常火的梨视频。  但是题主你要明白，像我所在的大学，广电是属于人文学院的，前身也是广电新闻，它和严肃的、正统的新闻有非常大的关系，在平常的专业素养的训练中，也会要求学生有扎实的理论素养、文学功底和开阔的视野、独特的见解，所以做好心理准备。  想说些别的话就业这个问题，我觉得现阶段的你完全不需要考虑这个。就业的“容易”与否，且不论这个“听说”含量如何，大多数人不过是看一个就业率的数字得出的结论，可是就业率算出来是什么用途的呢？是指导学生填志愿的吗？不是，它就是计算上一年已经毕业的人的趋向的一个量化标准而已，如果说就业率98%，只能说明这个学校这一届大四的这个专业的学生98%成功就业，这跟你有什么关系吗？你就一定在这98%里吗？ 你就可以高枕无忧？毕业之后安安心心等着工作找你？ 同理，“听说不好就业/就业率低”，只能说明某群学生的毕业走向而已，就算就业率只有50%，你就那么悲观的觉得自己一定是找不到工作的？所以说了那么多，就是想告诉你，主要看自己，如果你有过硬的素养、踏实的作风，或者是过人的才华/智商/天赋，还会因为别人的就业率而战战兢兢吗？  还有就是我不觉得给你列出你能上的学校有什么用，如果敢拼一把，就去按专业排名，找前五/前十的当作你的目标，不要安于现状。  至于建议，希望作为理科生的你能够不要抛弃文化类的东西，毕竟如果你真的梦想成真，同专业的文科生们可是比你多泡了两年书的啊.  只是一家之言，作为不成熟的小建议，希望题主能在高考中取得好成绩，加油！
辽宁大学和南京财经大学选哪个？,首先，请问你不了解财经，那么为什么会喜欢南京财经呢？ 其次，你要是喜欢历史，那就报一个历史学比较好的学校。但是你一定要考虑清楚是不是真的喜欢历史，因为这条路可能会很苦逼。 再者，就城市而言，南京比沈阳好 最后，填学校时，建议以985，211为优先考虑
辽宁大学研究生推免有兄弟院校吗？,关于“兄弟院校”和是否有学校 不 接收辽宁大学的推免生不太了解。 不得不说辽大这方面太宽容了，很多学校都有“只能推免本校”或“只能推免两个其他学校”之类的限制，但辽大几乎是没有上限的……只要面试时间不冲突，你可以丧心病狂地申请各种学校。不过有些好学校是需要推荐信的，一般是两封，还遇到过要求附推荐人职称证明的。 至于对方是否接收，可能更多要看学生的个人实力吧。211及院系排名或是加分项，以及，很多学校会倾向于照顾本校学生。  咦 突然想到会不会只有我们院这样 = = 我还是匿了吧……
如何评价2015年东北大学举办的辽宁模联历史委员会会议上的大认亲和老司机飙车现象？,东北圈…不一直是这样么。 利益相关:无
请问东北师范大学和辽宁大学如何选择？,我研究生在东北师范大学读的。非师范类，现在在深圳工作。毕竟是师范院校，近几年，学校发展定调为建设世界一流师范大学。走北师大和华东师大不一样的路子。东北城市，哈尔滨沈阳更有特点，长春相对秀气一些。因此，推荐报考哈工大。一步到位。
辽宁大学的会计专硕学费是多少？？,两年3万5
我没有喜欢的城市和专业，在北化的高分子材料与工程，辽宁大学会计学，大连海事的交通管理，学哪个比较好。？,那就找个轻松的学呗～
广西人，大学在辽宁，准备毕业。现在在大连找到了个还算喜欢的工作。但又不想离家太远。该如何选择？,同广西人，大学也是在辽宁，但是我以后还是想回南方，最好在两广地区尝试一下
目前大二，想考辽宁大学金融系研究生。哪位大神指导怎么着手准备？,需要看专业课的书籍，看你是想要考学硕还是专硕。如果是学硕，就需要看西方经济学（高鸿业第5版，现在出了第六版，但是命题还是从第五版的知识点中命题）。自学西方经济学难度比较大，虽然看起来简单，但是考试就不一定会得高分，因为需要培养经济学的答题思维。而专硕考的是黄达的《金融学》，内容比较多，但是理解性没有西方经济学难，都是文字，需要用心看，做笔记和多思考经济学热点问题。有问题随时联系~
