南京航空航天大学高水平艺术团文化课考试难吗？,过两天南航见
南京航空航天大学电气工程及其自动化和电子信息类哪个更好？,emm...居然有人赞   我认真写一下吧... 南航电气大一狗在读，马上就要升大二拉。我也是江苏考生，去年高考出分第二天就签了南航电气...当时并没有对这个专业有太多了解，随便签的（别学我）  说说我在电气的感受吧。   1.课多且难 emm...大一上主要的就是高数大物，大一下突然变成了大物高数线代工力c语言电路...以后还会有更难更深奥的专业课等你哦！  一定要做好心理准备，南航有一些专业比较水，课比较少。当你不得不承受着课业压力的时候别的人却可以打游戏玩社团等等。emm...也不是说电气的同学就不能玩，我身边也有很多能把学习恋爱工作平衡的很好的人，但是比起一些其它专业要难很多。  2.会被羡慕（划掉） 被问起专业说是电气...大概别人都会觉得  哇  学霸   酱紫。其实呢有排名的地方就有倒数，如果你不想被淘汰，那么只有加油加油加油！ （其实也还好，大学有无数种可能，只要认清方向勇敢走下去，都会成功）  3.学习氛围稍好些 我是这么认为的，但我没去过别的专业，所以不是很清楚。南航整体氛围就挺好的～没事不要窝在寢室，多去自习室图书馆，你会发现原来认真学习的人这么多。  4.不太愁转专业 emm...这是在你没有认清你想学什么专业的情况下。一般其它专业大一绩点排名靠前的人有挺多都想转来电气...这是真的...但是那么多人都想来...就会有竞争对吧      然后，专业方向我不太了解..因为我才大一还没有学专业课也没有过多了解...可以咨询招办老师。  希望你不要因为迷茫和所谓的工资高做出的的决定，那都是别人的做好的既定规则，对你而言不是特别特别重要。希望你可以在这个时候多问问自己内心的想法，比你以后发现不喜欢自己的专业修正你当初的选择要容易的多。  如果比分数线高很多，可以和招办老师签吧，再可以签个培优班奖学金本硕连读资格啥的。  最后 欢迎来电气   做我直系学弟（妹？） 三院自动化  霸气走天下
怎样认识南京航空航天大学的男生?,不要骗我们了，你一定是负责招聘的。。
南京农业大学和南京航空航天大学的研究生行政管理专业哪个好？,我只知道南京农大的土地资源管理系非常好…
首都医科大学并入北京航空航天大学的传闻是否属实？,我是同袍的作者之一，来解释下同袍这次推送的事。  是这样的，我晚上闲的没事刷朋友圈的时候看到了这样一条消息，然后觉得有意思没有验证真伪就发到了有同袍其他小伙伴的一个群里面。然后另一个小伙伴看到这个消息之后以为我已经确认了消息是真的就直接发在同袍推送了。  然后我这时候看到同袍的推送瞬间就慌了，然后赶紧查了下似乎消息是假的，然后赶紧把数据库中那个推送内容改了，然后发了道歉的推送，但这时候朋友圈已经转疯了刷屏了。。  发生这样的事情实在不好意思，我们以后推送消息一定会多次确认真伪后发送。  另外关于消息内容的真伪请等待官方消息，不要听信民间传言。
南京航空航天大学和南京师范大学该选哪一个啊？,本科985，为什么读研反而要到南师这样普通211的呢。
南京航空航天大学的电子信息专业好不好？,首先谢邀啊，实在不好意思老哥，我不是读电子信息工程的，所以电子信息工程这方面的问题不好强答，我相信其他电子信息工程的学长能解答你的疑惑。飞设是南航的王牌专业啊，一院一专呢，并且南航的飞设专业分数要求较其他专业来说较高。对于飞设来说，读研之后才具有较好的就业前景，题主需要根据自己的未来规划慎重考虑。个人建议题主选择一个就业面更广的专业。
华东理工跟南京航空航天大学 怎么选择？,术业有专攻…看你的兴趣在哪
南京航空航天大学的计算机研究生怎么样？,不错，去bat的很多，比通信强
南京航空航天大学和河海大学哪个比较好？, 高三狗 南航自招英语专业过了 还有北语的自招也过了 朋友河海英语专业和东北的过了..很纠结 
如何评价南京航空航天大学？,作为一个南航度过四年的人，来讲一讲我对南航的认识吧。 总结出来一句话：江苏省内还不错，出了省存在感真低。 但是我爱南航。
北京航空航天大学中法工程师学院就业情况如何？,作为第一届学生，我想说三个字”不容易”。 必须要感谢中法教会我们的一切，见识，学识，最重要的就是学习能力，这绝对是一辈子的财富。我们每个中法人职业生涯都始于中法，渐行渐远的岁月里，希望大家常念感恩。  ------------------------------------------------------------------  好了，说了那么多，现在要说一下工作三年来个人的一些见闻和感受，先声明，我一直待在工业届，未曾离开，并且跟国外，国内的供应商经常打交道，也经常去学校，工厂跟学生和工厂的工程师打交道，所以自认为还算了解目前工业界的一些情况。 废话不多说，上观点…  法国人在中国开办工程师学校，目前来看，有一个棘手的问题无法回避，就是法国人无法深入了解真正的中国工业界，至少ECOLE CENTRALE 的教授们没有。正是因为这种弱关系，相比其他院系的学生（他们的老师因为有课题，跟不同的企业有着千丝万缕的关系），中法的学生实际上不容易在学生时代接触到真正的工程项目，我指的是在这些工程类的课题中扛下半壁江山。所以，中法一直以来引以自豪的工程实习，实际上离真正的工程很还是远，尤其是在我们没有专业技能，无法帮助企业解决实际工程问题的时候，实习单位也不太愿意给机会让我们接触最实际的工程问题，这种情况绝对不是通用工程师培养体系的设计初衷。  工程师，无论是通用还是非通用，首先要有能力帮助企业解决工程上的技术问题，这也是工程类企业认为你值得录用的重要原因。我们躲在角落里一个劲儿的标榜自己多么优秀是没用的（法国人在这一点上有点过了）。目前来看，中法的学生在国际上那些大牛的公司里面从事一线产品研发的人很少，很多人在公司里面都是做技术接口，这是一个忧伤的事实。据我所知，已经参加工作的中法人中，很少有人接近企业的核心技术，这个问题需要引起高度重视。毕竟，衡量一个人的水平，不是看你去了哪家公司，而是看你在哪家公司从事什么样的职业。我们在学生时代所接触的东西 现在看来还是比较幼稚，个人经历中接触的其他学校（北航同等水平）的学生，专业水平都很高，所以他们在企业里面能很快的接触核心的东西，相比之下我们要费劲一些。当然，中法学生中也不乏大批旅法念博士的，他们刚刚毕业，我想他们应该会有不错的发展。  综合看来，中法的学生，尤其是硕士毕业不再继续深造的同学，还是建议找到自己喜欢的专业，然后深入，这是生存之道，也是通用工程师成长的最优途径。  现在留学已成为一种趋势，在我平时的观察中，有留学背景的人一般更容易找工作。那么中法的学生必须思考一个问题: HR在面试的时候面对一个在中国念了6年法国工程师和一个国内本科＋2年法国工程师的人，他会更倾向谁? 在回答这个问题的时候，提请中法的学生仔细审视一下自己，毕竟，我们目前为止还只是中法老师眼中的elite，三年过去了，工业界好像还没有关于对中法学生积极的评价，但是法国本土的工程师学校确已甚誉百年。相比之下，HR会更喜欢没有任何专业背景的你吗?  相信每一个想成为真正工程师的中法的学生都不愿意沦落成为团队里面的翻译，永远记住我们学习法语不是为了给人当工作界面。所以，还是鼓励还没有毕业的中法人，静下心来，抽出时间来，在完成所有课业的同时认认真真的掌握一门专业知识，深入进去，成为行业中的标杆，然后抽身成为通用工程师。
2017年甘肃理科高考成绩高出一本线70+能上南京航空航天大学吗？,我觉得高出一本线一百分左右
如何评价北京航空航天大学昌平地区已经超过35℃而后勤服务以各种理由搪塞拒不给空调供电的行为？,2017.5.2 下午3:32 最新更新 几分钟前空调已开，从结果上来看，事情得到了解决。 感谢王意如学长坚定不移的维权行为，也感谢参与到此次维权行动的所有同学，我坚信北航正是因为有敢于站出来说话的人，才能一步步走到今天。 虽然事情已经解决，但原答案仍然保留。算是警醒自己吧。   @王意如 您是我们学习的楷模。  ————————原答案分割线——————— 马克思教导我们，凡事都要透过现象看本质。五月份天气转热，宿舍楼开空调，这件事很难做到吗？不难做到。既然不难做到，为什么后勤部门不做？答案也很简单，为了利益。为了空调租赁公司的利益，为了学校的利益，为了有关部门可以随时懒政的利益。为了维护这些利益，学生的权利是可以没有的，学生的利益是可以不要的，学生的口碑是可以忽视的。   我们一起来看一下2015年5月8日校学生会在ihome平台上发表的关于学生公寓夏季空调服务时间的声明（网址：  http://  i.buaa.edu.cn/space.php?  uid=4772&amp;do=blog&amp;id=74284      ） 摘取其中一段截图如下：     空调全年服务时间为6.1-9.30这么搞笑的事情我们先不提，“综合北京市的气候特点”这种张口就来的话也暂且放一放，这段话重点中的重点，在于“国家对我校下达了节能指标及碳排放指标”这一句。  “每年都要考核”，听起来好可怕！“若完成不了考核，学校将面临严重处罚”，这真是太可怕了！然而“学校从服务学生的大局考虑，仍然向同学们提供了空调服务”，这句话一出来，学校一副被上头欺负却还要拼死维护学生权益的光辉形象便跃然纸上，如果不是幸好我还有一点智商的话，简直就要哭出来了。  沙河校区现在无论什么问题，都能以“能源问题”作为理由搪塞过去。澡堂晚上没热水，宿舍晚上断电，夏季不开空调，统统都是“能源问题”，能源表示这锅背得很开心。沙河校区从2010年落成至今已经七年，这七年间，学校不想方设法解决能源问题，却想法设法糊弄一届又一届的学生，把从上头要来的钱拿来建一栋又一栋的高楼，对学生改善生活的诉求熟视无睹。这所学校似乎有一种“硬件崇拜”，总觉得只要学校硬件条件好，就能跻身世界一流大学，而除了硬件的其他部分，都是无关紧要的。所以在高大上的国家实验室的背后，是体育馆收费项目离谱的价格、是每天中午食堂难以忍受的拥挤，是学生们在宿舍里热得汗流浃背却看着空调不能开的痛苦。这些东西，起码就我所见，从来都不在学校的考虑范围之内。  退一万步讲，就算是上头的人不识民间疾苦，觉得作为学生就不该要求什么空调澡堂，所以才给我航定了一条很低的碳排放线，那么，校方人员就这样眼睁睁地看着这样一条规矩被订下来？现在的沙河校区能源消耗量才仅仅够满足学生日常生活所需，还要求节能减排，这种明显不合理的要求，为什么学校不向上面提出反对的声音？我们身为北京工科第二、全国知名985高校，难道力量是如此的弱小，以至于对于一些明显损害学生利益的事情，学校作为一个整体，都无法发出一点反抗？  这是我自从去年进入北航以来，就一直担忧的事情。知乎上有一位答主说，北航之所以能成就今天的地位，是因为一直在紧跟国家的步伐。国家要做什么，北航就做什么，航天时代北航搞航天，大数据时代北航搞大数据，现在“一带一路”出来，北航也牵头搞了个“北斗丝路学院”。当然，我不是说跟随国家的脚步有什么不好，毕竟这么些年来，北航每年从上面大把大把拿钱，学校排名涨得飞快，靠的就是与上面搞好关系。  但是，一个有志于成为世界一流高校的学校，总是应该有一点自己的风骨的。  所谓风骨不是说要处处和别人对着干，而是说，学校作为一个整体，要有自己的个性，让自己人有归属感。现在的北航，显然是缺少这种风骨的。把温家宝总理的诗作改改就拿来当校歌这种过于随意的事暂且不提，就拿这次的空调事件为例，当学生的需求和国家的要求发生冲突时，学校敢不敢为了学生的利益而发声，为学生争取一点权益？很遗憾，即使学校争取过，但从这次事件的处理方式来看，我看不出来。  空调事件并不是一件特别要紧的事情，它只是一个导火索。我所担心的是，以后如果再出现与此次事件类似的、当学生利益和其他利益发生冲突的事情，学校不站在学生这一边，那北航这么大一所学校，千万学生寒透了心会造成怎么样的结果，我不敢去想象。  总之，夏天不开空调，学校可能确实有自己的苦衷。后勤部门只是按规章办事，学校害怕碳排放超标，空调租赁公司担心空调损坏过快，这些都可以理解。但是，面对学生强烈持久的诉求，学校迟迟不给出一个明确的态度，反而试图靠拖来解决问题，这是最令我难过的。在空调问题解决之前，我会一直在ihome上投诉。  希望学校能越来越好吧，起码目前为止，我还是爱着她的。肺腑之言，不匿了。  最后上一张图。2022年，离现在不远了。  
南京航空航天大学的法学专业和华东政法大学的法学专业如何选择？,首先，我校真不是二本学校wwwww  所以，这个问题的本体其实是： 教育部公布的法学学科排名中名列前五的法学院，在某地区以二本的分数线招生--这样的便宜到底捡不捡。。。？www  法学是个初期看学历背景的地方，庆幸自己在北京吧--高考考分没法上本地区其他一本的优质法学院校，却还能捡一块我校这样性价比挺高的招牌。。这种待遇不是谁都有的哇。当然其他回答里也说了，最后混得怎样，还是靠自己。。
南京航空航天大学，北京交通大学，西北工业大学，读软件工程哪个好？,这有什么犹豫的？学软件，北京的环境是其他城市没法比的，这点加分太多，学校本身实力倒没什么重要的了。
南京航空航天大学仰枫帆教授科研水平和为人怎么样？,今年刚考上他的研究生，看完评论瑟瑟发抖，为数不多的接触中，感觉仰教授为人挺讨厌体制内的东西，应该是不喜欢“会来事”。 
怎样评价南京航空航天大学 飞行器制造工程？,作为一名南航飞设渣。。。我只能对题主说，如果你是江苏人，请务必出门左转上西工大
在北京航空航天大学找一个黑长直妹子是怎样的体验？,大家快来晒妹子，我的军用铁锹已经准备好了（大家都知道军用铁锹专业挖墙脚的吧）
南京航空航天大学日语专业怎么样？, 这个专业垃圾的要死，课程特别满，真的不知道学这么多课有什么用，大三还满课  大四找工作还得请假  2016届毕业的学生，90%从事工作和日语无关  而且从事和日语相关工作的学生，工资都不高  建议你早点高复，或者尽可能大二转专业 
南京航空航天大学的入学考试的范围，难度以及重要性？,在这里给你推荐一个论坛，南航纸飞机论坛，附上链接  http://  my.nuaa.edu.cn/portal.p  hp      。你进南航后应该就会知道这个论坛了，论坛里面的东西有很多，对你这样的新生还是很有帮助的，你慢慢的去发掘吧。  回归正题。其实你这个问题，在纸飞机上已经有南航的同学回答整理过了。我这里就做个搬运工。  入学考试一般在军训的前几天晚上进行（白天军训，晚上考试），考试科目理工科学生是：数学、物理、英语；其它专业学生是：数学、英语（各专业科目不同，具体见录取通知书）。考试分两类，一类为选拔测试，一类为水平测试，选拔测试的试卷难度比水平测试略大一些，此外参加选拔测试的非理工科学生需加试“写作”科目，选拔测试与水平测试的其它区别下面③中会解释。入学考试成绩与以下有关：        ① 除部分专业（如英语专业、双语教学专业等）以外，英语成绩决定英语课程的等级以及何时能考四六级。根据英语成绩，英语课程分为四个等级，入学考试英语成绩越好对应等级越高，所学内容也各不相同。按规定，最早大一上学期可以考四级。按往年经验，英语考试形式和四级类似，想准备的同学可以做几套历年的四级真题。        ② 理工科同学（除理学院等部分专业和各类培优班外）的数学成绩决定大一所学数学课程。多数同学学习《高等数学》，入学考试数学成绩较好的同学单独编班学习《工科数学分析》，后者难度较大，但考试如果通过会有额外加分（详情参考3.  大学学习成绩计算方法   ）。        ③ 综合全部入学考试成绩，排名靠前的同学有机会进入长空学院的各类培优班学习（各类培优班介绍请参考招生网《长空学院--优秀人才特色培养班简介》，网址：  http://  zs.nuaa.edu.cn/       ）。培优班选拔主要以参加选拔测试的同学为主，该类同学主要是各省录取的学生中高考分数较高者、各类保送生、入学时签订具有本硕（博）连读培养（考试）资格的学生等的签约录取考生及保送生。参加水平测试的同学成绩优异者也有机会进入各类培优班，但相比选拔测试的同学难度较大录取的人数会比较少，竞争会比较激烈。（这主要是学校吸引优秀生源的招生政策决定，实质多数教改班与一般专业没有本质区别，所以不必太在意，由于这不是本文重点，就不详细介绍了，关于培优班可参考 【新生必读】南航培优班这件小事   。）  最好呢，还是要好好准备吧，争取进培优班，毕竟培优班的福利还是挺多的，像报送研究生什么的。 更多详细的内容呢，你可以去我上面说的纸飞机论坛，搜索“入学考试”的帖子，很多有用的信息就会出来了。
南京航空航天大学和重庆大学选哪个比较好？,泻药 我是对重庆大学比较了解，然后看了前面南航的同学的回答，综合一下来作答     首先是学习氛围，南航同学说的期末图书馆爆满，是基本每个一类大学都有的情况，我们重庆大学期末也是需要提前半个小时排队才能占到好位置。（图书馆硬件条件如图） 其次是专业，重庆大学这两个专业是优势专业，你出去就业完全能拿得出手，在重庆本地更是稳稳的受欢迎。 然后看城市。重庆处于上升期，我在重庆能明显感觉到一股经济的上升气流，他是正在发展的城市，还是直辖市、经济强市，你完全可以在这里借力实现自己梦想。 最后就你的个人情感生活来说，重庆街上妹子多啊，真的不吹不黑，真的多，美女率也高，你在这的大学四年将会是是丰富多彩四年  o(*≧▽≦)ツ ~ ┴┴ _______________分割线________________ 我说的重庆妹子是说在重庆的妹子，不单指重庆本地妹子。 重庆本地的妹子脸型有特色，能大概认出来是否本地妹子。 重庆大学里来自南方其他城市的女生很多，有气质也挺漂亮。而且重庆街上爱逛街的女生也多，搭讪机会很多。 重庆大学D区（新生区）隔壁俩大学，一个川美一个重师，不远还有重医，有的是美女。所以评论里就不要再在美女上挑刺了ㄟ(▔ ，▔)ㄏ
南京航空航天大学专业排名？,1院飞设全国排名前五，电气工程自动化全国前二十，其他都在二十之后
南京航空航天大学2015QQ新生群是多少?,463175696和463178597
如何看待南京航空航天大学南区研究生跳楼事件?,怎么又跳了？这两年每年至少一个
在南京航空航天大学学生会工作是怎样一种体验？,楼上现小哥优雅身姿 ----------------------------------- （分割线） 昨天真的离开了这个组织，所以来回答 我不知道在其他人眼里「学生会」是什么样的形状或者是什么样的姿态，我的大学四年，98%以上的时光都和他有关 官僚？层级？关系？ 讲真这些东西我不能说他没有，但是哪个地方又完全没有这些呢？在我大三下学期任主席团的一年，我们尽力把不干净的东西清除，抵住各种压力想真正做出来一点东西给这个学校里的每一个人，我们想用自己的行动去带动和影响更多的人出去看一看，跳出南航这个圈子，用力的打碎这块玻璃天花板，如今卸任了，不能说我们做得很好，但我们至少努力过「让每一个人变成思想独立并且敢说敢做的人」我们是这样想的，也是这样做的。曾不止一次我们会觉得和其他学校的主席团如此格格不入，但是我们坚持自己的路，但行好事，莫问前程。 并不是歌功颂德，也不是借口开脱。只不过想用一个老学生会人的视角和经历，告诉你们一些和你们印象中不一样的学生会。 以上 --------- 再补充 对于第三个答案 我想说 我是西安人
如何看待2015年5月25日发生在南京航空航天大学江宁校区的坠楼事件？,我并不知道事情的原因和经过，因为学校根本就没打算让我们知道。 学校有没有封锁消息，看看贴吧就知道了，就像什么都没发生一样。 其实也不是想黑南航，因为几乎每个学校都是这么干的，某徐州高校有女生被强奸也不是和没发生过一样么。 楼上还有说官方消息发布的比较慢的我就呵呵了，赌一块钱官方根本就不会发布消息，一切就和没发生过一样。就像这个月的三十五号，以及从未存在过的维基。 加一个链接 说说南航学生跳楼的事情    这是03年的
在南京航空航天大学就餐是怎样一种体验?,我和一个大叔交流过，他说南航的饭说的是十年前的…现在的南航的饭。。至少明故宫校区并不怎么样，我去过南师，南大，东南都比南航的食堂好。也就南理可以和南航比一比(˘̩̩ε˘̩ƪ)
我有一个和我一起考上南京航空航天大学的同学去复读了，然而我自我感觉上南航还蛮不错，是我眼界低了么？,每个人的追求不一样，不要在意别人的想法。  高考那年，班级里有一位同学，考了全省1000多名吧，然后复读去了，第二年他貌似考了686分，考上了清华。  我记得在他要复读的时候，我们班主任和他父母都在劝他。同学也很不理解，毕竟1000多名可以上好多985院校。  提起这个事情，我们会感叹这位同学的勇气和努力，说他真的和别人不一样。  其实当时班里还有一位同学，他第一次好像也考了1000多名，然后也复读去了。第二年最后上了同济。  提起这位同学，我记得有人说，还不如不复读，浪费一年青春，和第一年没差太多，囧……  想一想，我明白了一个事情。不是人家目标高，也不是我们目标底，真的是我们管的太多了，管的太多太多了！人家乐意复读就去呗，我们管那么多干什么呢。人家复读考什么样，都是人家愿意的，我们管那个干啥。。。。。。。  他们爱干啥和我爱干啥没啥关系  我就是喜欢吃鸡蛋煎饼，肉夹馍，没事再来一个蜜汁鸡翅，你管我那么多搞什么…你们吃牛排，喝红酒比我屌又如何呢，我就是喜欢这种生活，你管我啊～我又没犯法～  哈哈哈哈哈
南京航空航天大学二本可以转一本吗？,南航金城学院和南航的关系一般只存在于校车上…
南京航天航空大学电力电子的吴红飞老师怎么样？想报他的研究生。?,看到你关注我，点来看看~ 刚好吴老师是我们课题组的老师~ 貌似题主跟我一届，是要考研的吗？ 吴老师还是很强的，这点绝对不吹！ 吴老师在他们那届可以说最强的博士。 08年直博，12年毕业留校任职，马上转副教授。 直博只读了四年可以说是我航罕有的高材生。 不过这也得益于老板（我的导师）把他送到清华培养了几年。 吴老师号称paper狂人。博士四年11篇SCI，有一篇影响因子超过5。而且吴老师笔耕不辍，至今还有产出，可以说跟着吴老板，毕业不成问题。 题主想考研的话建议多看我航电路书，据说我航电路考的变态。 而且实不相瞒，我们课题组实力算是比较强的（好吧，我吹牛了，其实真的很强），上一届考研初试成绩1-2名都来5了我们组。 总之，如果你想学电力电子，跟着吴老师是个很好的选择，绝不会坑你。我们这比较苦，相信题主愿意考我航电力电子研究生，肯定愿意吃苦（好吧我又吹了( •̀∀•́ )）。。 最近忙着比赛，题主有问题可以私信，但是不一定能及时回复，见谅( •̀∀•́ ) 最后欢迎题主加入江苏省新能源发电和电能变换重点实验室~
南京航空航天大学和山东大学任选一，该选哪个学校？,作为一个在山大读书的南京人，还是匿名吧。中国有不到800所二本及其以上高校，纵观各种排名山大普遍10到20之间，南航排名浮动很大我见过30大几的见过将近60的，有人说排名bullshit，可是总得有个标尺，排名就是个不错的标尺。从身份上来看，山大985，南航211，山大是副部级建制高校，南航只是正厅，山大在山东绝对老大，在江苏有南大，东南，还有一批和南航同档次的学校。南航工科见长，但若说工科比山大强我看也不见得，就好比电气学科，南航有一个二级学科全国前五，可是山大校友在我国电力行业内的地位是压倒性的。在如材料，控制，机械，能动，仔细查查南航也未必比山大强。若非要找个确定能比山大强的学科就是航空一类的吧，因为山大没有这个学科。既然工科不能说谁强随弱，那么其它学科呢？理科？医科（南航没有）？人文社科类？当然是山大强。在江苏就业的话山大仗着他是985就一定不会差，南航就业也是不错的，如果在全国范围内比一下就业的话山大还是好点的，毕竟一些好单位就喜欢要985的。山大的致命伤就是所处的城市了，这个城市除了泉水，其它是全方面的不如南京，南京8000亿GDP，济南5000.南京有近10所211，济南1所，南京好的三甲医院不少，济南就知道齐鲁医院，南京地铁很多条线了，济南不建美其名曰保泉，南京有着世界前10的高楼，济南好不容易建了个300米的雄起楼还烂尾了，空气南京总是良，济南我就不说了，就连军区都是南京的地位高，济南是历史名城，可南京是六朝古都，我实在想不出济南拿得出手的东西。一座城市会影响一所高校的气质，山大比南航要土很多，有时候还带点自以为是的闭塞，山大毕业生创业比率很低，思想略老旧。如果再给我选一次的话，我还会来山大，然后回南京工作。纵使山大有众多缺点，但还是有一定地位的，虽然山大提出要建设世界一流大学的目标让大家呵呵一笑，但是南航目前连说这句话的资格都没有。
南京航空航天大学空乘好吗？, 南京航空航天大学自考    是南京最好的全日制自考本科招生的211重点大学
南京航空航天大学能源动力机械与机械设计研究生专业的选择。？,谢邀。能源机械更偏传统行业，主要涉及的是汽轮机，锅炉，内燃机这些机械，更专，要结合热力学，传热学，流体力学等只是。但是机械设计是更通用更广泛的，可以和现在的智能制造相结合，能使机械方面的基础理论更扎实。 各个学校也有差别，建议和相应专业毕业的学长进一步深入交流。
南京大学图情专硕vs同济大学技术经济管理学硕或北京航空航天大学教育经济管理学硕？,利益相关。先匿。 南大。南大很好，但学生对学校的认同感不高，总觉得自己很不如复交浙科，没有说自己是名校的勇气，所以华东五校并不会给你带来什么光鲜亮丽的东西。而学院国内top3，你说自己第2也没人质疑，但和武大没法比。可惜学院不受学校重视，稍作了解就知道。图情专硕慎选，据我所知专业很水的，选了你就后悔了，相信我，而且就业除非你做互联网，不然读不读研对找工作没多大帮助。记住，你是帝都985的推免生，研究生选专业不是学校，当然南大人脉资源不错。 同济。经管近年来发展还算不错，反正也有钱，但国内牛叉的学校太多想排在前面基本不可能。就专业来讲，必然比前者出路好太多，一个是小学科一个是大学科。估计你本科专业是偏文的管理类，如果你没有什么学术抱负当然首选北上。管他什么学硕专硕，不是博士生又加之在国内，据我了解全国高校一样水，所以导师比较重要。有些老师学生会有发文要求，当然相关专业的项目也都是打杂，宁愿不做也不要多做。某同学没日没夜给老板干活，然后呢，也学不到什么。 北航这个专业不了解。教育经济与管理属于公共管理而不是管理科学与工程吧，以我的学科背景来讲，个人如果有选择不会考虑公管，清北除外。学校学风很好，从同学聊天可以知道，反正比南大同济好。你是北京的话当然首选北航，但专业还是多做了解吧，不合适不喜欢的话就放弃。 结论是，如果是我我会再申请一些学校，比如中科大武大的相关专业，难度不大，实力不错。不然会去同济，因为专业较其他两个而言比较吃香。当然，如果你有名校情节欢迎去南大，不过既然不是基础学科和cs，导师一般那还是慎选吧。
对于南京航空航天大学在网红食堂的道路上越走越远有什么看法？,在一个岗位就把一件事做好，管理食堂的把食堂搞好，搞科研的把科研搞好，管教学的把教学管好，把任何一方面的工作做到极致都是好的。  至于说一心搞食堂忽视科研的，我就想问，科研方面的进步和出彩对普通人的吸引力难道比一个主题食堂还要强吗？别说普通民众了，就是我们在校生，一个新食堂也比一项科研新成果来得吸引眼球。毕竟食堂是我们每天都要去的地方。  至于科研的成果，我本人了解的也不多，但从朋友圈几位院里面的老师那还是经常可以看到一些进步的，但也往往是瞟一眼标题就过了。  比如清真食堂的主任在工作上就做的很不错，又是和学生建立微信群又是定时发布新菜品的，可以看出他是真的热爱这份工作的。那其他一些食堂的管理者大概也是如此吧，不能因为他们工作做的出色就说，诶，你们低调一点，偷懒一点，好让大家都关注点都在我们的科研上，好不好？
南京航空航天大学飞行专业可以谈恋爱吗？急急急？,哈哈哈哈哈哈亲测可以可以可以
怎样在南京航空航天大学里找到喜欢自己的男朋友呢？, 为什么一定要限定在学校里面找一个男朋友呢 
在南京航空航天大学搅基是一种怎样的体验？,我勉强答一波-_-#因为并没有搅基的经历…  一直没人爱或是爱上别人，alone，alone，alone…三年大学认识的唯一一位本校的基友已找到外校男票，虽然是闪恋，但还是祝他俩能够幸福下去。一直觉得我航似乎直男气息太重了，在三年中唯一一次见到同性恋这个词还是在大一开学心理测试中看到的“你是否有同性倾向”的题目，其余无论是生活还是学习，再也没有接触到关于同志的事情了。没有土壤更没有种子的一种看上去无比“笔直”的环境，自己一人挺孤独也挺害怕的… 但我航其他方面还挺好的，遇到的老师都非常的好，他们做人做事的方式在一定程度上也促进了我心智的成长，弯而正直^_^
怎么看南京航空航天大学为吸引985的考研学生而实行的政策？, 泻药给你吃，合着人家连个精益求精的资格都没有了？把自己看的太大了吧？  硕士又不属于义务教育，你有那个本事了就去，没本事就别说话。  照你理论，我还好奇了呢，凭什么今年两会不请我参加啊，赤裸裸的歧视啊！不公平啊！  搞笑不 
文科生报考南京航空航天大学？, 南航的经管很强，苏大我不了解，但我航的经管在工科算很强的了。一个学国贸的同学，去台湾做交流生，今年留学加拿大，和她交流，她同学在上海10K起。 
题主在图书馆看毛姆的刀锋时发现了一张黄色字条(题主是南京航空航天大学的)，但是下面这句暗语难以理解。？, 有可能是QQ帐号，得知道余下部分才能试试能不能得到数字。   
请问 南京航空航天大学 比 西北大学 好在哪里？,我为我们学校出现这样的人道歉…其实无关乎学校，有优越感的人，哪个学校都有，题主别太在意。
南京航空航天大学的机场运行与管理怎么样？,南航的投档分是375左右，至少370以上
如何评价南京航空航天大学理学院张虹桥？,谢邀  作为班长我说两句  自己是学霸却非要说我是学神，说我优秀。。。。太张扬了好吧。。  水群小能手，自己班的群没人水就去其他班的，水完班群水学习群。  占坑，等贴火了再答
