为什么高翎资本的张磊向耶鲁大学捐款 888 万美元，但是没有捐给另一所母校中国人民大学？,这得看赵家的孙子想在哪儿念书，他捐完了以后，某赵家的孙子就保送进了耶鲁。
大家对中国人民大学的女生有什么印象?,长发无刘海，颜好气质佳。 聪明还刻苦，温柔且和气。 谦虚有礼貌，热情而周到。  国民表率，社会栋梁，是也。
中国人民大学hnd3+1或者3+2怎么样？具体情况如何？急！！！！?,能不上hnd就别上，这个东西第三年结束后要去国外续一年本科，回来后只给你学位不给你学历，并且根本没用，还有申请的都是世界排名400名靠后的学校
中国人民公安大学研究生公安学和警务硕士的区别？,同女生，工科，211.毕业参加国考，现已警局入职。对于女生，警察真的就和其他公务员工作一样，工作性质体现不明显。如果真想当警察，建议先入职再考虑进一步学习。
中国人民公安大学怎么样啊？,刚看了个视频，给大家分享一下（视频里是我的大学哥们）  http://  mp.weixin.qq.com/s/ToWA  t6y-GHKDhwn1VKHNxw       作为一名刚毕业参加工作没几年的公大人讲一下我本人的感受。         我毕业后参加省考在我们省厅机关工作，中部省份，全机关公安大学毕业的师兄师姐不多，四十岁左右的有七八个，全部是副处以上领导。其中一个是我们副总队长。我讲一下他的故事。 本科毕业后，来到家乡公安厅工作三年，然后组织部全国选拔年轻干部，全省两个指标，他靠自己的学习能力从全省所有政府部门上百人中脱颖而出，然后到北京大学培训一年，到浙江当副镇长一年。然后回来，支队长两年，同时在职深造研究生，地方公安局副局长两年，然后调回机关总队副总，成为全厅机关最年轻的副处级干部。 其间获个人一等功一次，二等功一次，三等功五次。监狱煤矿服刑犯裹挟炸药站在矿道口，左手导火索，右手打火机，说自己有冤情，欲见市长和监狱长，否则和煤矿同归于尽，歹徒已经情绪奔溃，矿下四十多人命悬一线，派出所，监狱，煤矿所有警察和政府工作人员都不敢上，监狱长正好不在，市长领导一下也来不了。情况万分紧急，这时他上了，然后谈话，稳定歹徒情绪，说肯定给该犯人鸣冤减刑，获取信任后忽然抢下打火机，众人一哄而上，歹徒被拿下……然后歹徒疯狂大骂“×××，我×你妈，你言而无信……” 高潮是，该犯人本来只被判五年，后来在我副总的走访下，给他洗刷冤情，那五年取消，但是又因此事被判了十八年……现在那名歹徒仍在监狱服刑，减刑也快出狱了，我们副总仍不时去看他，后来那人说了一句：“要不是你，我现在已经死了，感谢你当年骗我，拿下我的打火机……”         因为我本人也是公大毕业的，从工作到生活他对我很照顾，遇到事情我也会找他谈话，以上是我们副总第二次闲聊，我要他给我讲他的经历时，他讲的。讲完这个故事，他说了一句，“我们公大的应该比地方警校和社会大学的多一份荣誉感和责任感，小伙子好好干，你将来可以做的更好……” 讲完这个故事我给你说一下我当年，家穷人丑，超一本线三十分上了公大，上了大学变成学渣一个，一度自卑。曾半夜翻墙出去上网，也曾逃课被抓，也曾检查一写就是二十多页，也曾和队长顶嘴后一年内被搞的欲仙欲死……那会儿的心态，对学校各种不满和抱怨，还网上写文章批评学校管理上形式主义，官僚主义，限制学生自由，学习氛围差劲等等等等……但幸好自己遇到了一个一直鼓励自己的师兄，一个一直支持自己的兄弟，一个一直帮助自己的老师。大四后来耐着头皮学了一两个月，国考冒险报了个国家部委的职位，可惜最后在财经知识方面差了两分，又放弃了很多校园招聘凭国考成绩直接到外省公安机关工作的机会，最后参加社会招考，运气好，笔试面试体测淘汰了一大帮竞争对手，考到了家乡省公安厅。         而参加工作后的今天，中午外地出差顺利办案归来；告知自己的被自己大学老师修改过的文章受到政委的赏识，已经发表；然后开我们队长的车顺路给农村的老妈放下两个月的工资，老家邻居对爸妈各种羡慕；晚上回来，几个师弟来省城顺便组织同城另外几个大学同学小聚，席间各种调侃当年的糗事。忽然……我却对公大却有一丝感恩和一份怀念。       在此劝各位师弟，真的不要去抱怨，既然选择了就要无怨无悔的走下去。公安大学不只是个大学，还是个警校，但共和国警官的摇篮，这个称号不是吹的，将来参加工作，你会明白这一点。学校大了，什么人都有，学生态度，老师水平参差不齐，这都无所谓，全国几千所大学，实话说比公大好好太多的也没几所。全国警校的管理制度大多这样，不必苛责；在国内，无论硬件配置，还是师资文化，公大已经最好，就连我们隔壁班的韩国来的留学生也表示认同，所以关键看自己想要什么，能从公大得到什么。 实话说，现在社会警察不好当，想继续当警察，那么就好好享受现在的大学生活，该玩玩，该学学，国考一定要努力考个好点的成绩。公大虽然不自由，但是不妨碍在实习过程中获得一份地方院校毕业生少有的战友情；学校学习氛围一般，但是学校的毕业证书和就业政策会让毕业生有一份体面的工作；学校的队长领导教条甚至有点不通人情，但是如果你肯积极上进，肯于他们主动交流，他们还是会给予最大的理解和支持；公大的教育方式呆板且存在自夸嫌疑但会让毕业生在人生以后的从警路上有更高的政治敏感性、纪律意识、荣誉感和使命感……如果确实厌倦了这种约束，那你也还有机会：我说一下我们这一届，现在有人国考考到国务院各大部委，有人学霸考上清华北大法学院研究生，也有人出国，也有人下海跟老爹经商……大家都各有各的活法。所以大家还有很多选择，关键是要努力，要加油。  成熟稳重干练，阳光积极向上。  最后希望公大四年能对已经进入公大的所有人有所增益。希望你能珍视这份骄傲。  推荐一段音乐分享 @李Moon的单曲《木樨南里》:   http://  music.163.com/song/4358  72175/?userid=36179125       (来自@网易云音乐)    给你们看个视频  6月26日公安大学送行盛况，现在你该明白我说的公大式团结了吧_视频在线观看 - 56.com   
中国人民大学，厦门大学，上海财经大学，中山大学的会计专业优劣情况？,不要来厦大读工科。   厦门大学这所学校还可以，可惜工科实在太烂，烂得不忍直视。    高中生请看清楚，仅是厦门大学局部某些工科专业比如物理机电航空的情况，不代表整个厦门大学，它的经济和管理还是不错的。    厦门大学的物理机械电气航空航天 之类的专业 ，相当差（厦门大学的优势专业是经济学和管理学，前途光明，也很成功地拉高了分数线，它是一所经济管理强校。正所谓：厦门大学有三个学院，分别为经济学院，管理学院和其他学院，待遇和资源分配以及就业前景和实力潜力等各方面真的有很大的差距）， 而且当前的就业大环境下这些传统工科被新兴科技比如互联网产业碾压成渣 ，物理机电航空这些院系的学生几乎都是调剂 过来的，也直接 拉低了厦大的分数线 和价值。   某种程度上讲， 厦门大学有经济学有管理学有文科有理科， 但是没有物理机电航空。 
中国人民大学的实力是否在各种排名中被严重低估？,谢邀。题主是在为很多人发声，实际上在入学前我也有类似的疑问。  首先，谈及生源质量，在文科领域清北复人的排名是没太大问题的。必须补充的是，这四所学校中，人大的招生人数最多，如果人大招生人数同复旦一样，投档名次可能要前进几十名。 而在理科领域，清北复交人应该也没错，可能有的同学会问啦～明明浙大科大的投档线在很多地方都比人大投档线高嘛，为什么人大生源算得这么好？ 实际上，最低投档线仅能代表在一本批次录取的最后一名同学成绩，而进入人大财金学院的学生，不小部分的同学是可以进入清北的，我是文科全省28名进的人大财金，一位朋友是文科20名进的财金，我的几位室友中，一位可以上清华（理科），一位可以上北大（文科)。人大的确是以人文社会科学为主的大学，所以在理科招生上，存在劣势，主要是理科专业的分数可能会比金融经济法学等热门王牌专业差距较大。 论人文社会科学，人大的生源的确是很好的。在学校某领导给的生源质量中，我校生源仅次于清北与中国科学院大学，不过我也不是很相信。  再论学科评估…这个不需要解释，人大排名第一的学科，都是培养出了代代人才，不断积淀发展的结国。特别是经济学法学类，其学科建设，学术成就，人才培养，都走在中国的前列。补充一句，我们学校不红不专，人大超级自由！  关于学校别的排名…我只能说，依据不同，排名不同。谈及每个求学的学子，当你知道自己要什么东西的时候，你很在乎那些排名吗？人大自然科学不强，加之各种难以改变的客观因素，在某些排名上的确不是最顶尖，但是不妨碍很多排名给人大极高的赞誉，我在这里不列举。我无意要捧高自己的学校，我只想是说，人大，配得上！  至于清北复交，不过是北京前二上海前二，我不想说哪个学校更好。但是从人大为国家社会作出的贡献，我觉得你们认可清北人复交，一点问题都没有。  实际上我高考后很多同学问我为什么不报复旦，或者试试北大。我真的不想解释那么多，给你八个字：国民表率，社会栋梁！  还有就是有人问…中国金融哪家强，我真的不知道谁最强，但是清北人有着独特的优势资源，民生银行某高管说他们招人首选清华人大～还有还有，去看看中国人民行长副行长都哪些学校的…其实清北人复各有所长，人大有优点，和清北在有些地方也的确有差距，但是人大绝对配得上它的名字。 一个大学，非常重要的是历史的沉淀，不管外界对人大褒贬如何，我相信每个人大人都愿意在争当国民表率社会栋梁的路上，一去不回头。  利益相关：中国人民大学财政金融学院在读生。
上海考生 关于中国人民大学苏州校区（中法学院）的问题？,2016.7.14 更新：答主已毕业，成为了光荣的应届生大军中的一员。。下面补充一下2012级本科毕业生的去向情况， 以金融专业为主，其余情况将标明 。   1. 三所合作院校之外出国读研： offer有：美国 CMU、Rochester、Georgetown、UIUC、Boston College、NYU、JHU、Brandeis等；英国 Cambridge、LSE、LBS、IC等；法国 HEC、ESSEC、ESCP、EMLyon等；新加坡 NUS等，其余国家和学校可能有遗漏。   2. 国内读研： 今年考研竞争压力颇大，结果不甚理想。仅知道国民经济管理系有同学被本部财金学院的金融硕士，其余几位有意考研的同学情况不清楚。不过前两届的师兄师姐目前有在清华五道口金融学院、本部财金学院、社科院读硕读博的。   3. 直接工作： 正如下文所说，直接就业在中法并不是常见选项。目前知道的2012级（2016届）直接就业的同学从业范围主要在咨询、投资银行、风险投资等，另外也有同学选择依照自己的兴趣从事相关工作。  －－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－  中法学院2012级金融专业在校生作答。  1. 下图是中国人民大学2015年在上海地区的招生计划。其中最后两个专业，即“金融学（中外合作办学）“和”“国民经济管理（中外合作办学）”即为中法学院的项目。   2. 就业方面的问题比较复杂。中法学院自2012年开始正式被列在中国人民大学招生计划中进行招生，彼时入学的学生，也就是我们，目前就读大四。就我们目前的情况来看，三个专业中大约过半数学生将在大四毕业后 有意愿 继续按项目原计划进入法方合作院校——巴黎索邦大学（法语）、蒙彼利埃三大（国民经济管理）和 KEDGE 商学院（金融）——就读，完成最后一年的硕士学习，一年以后将获得法国高等商学院（Grande Ecole）管理学硕士（Master in Management）文凭。其余大部分同学（主要为金融专业）则准备申请其它的（美国、英国、法国）学校攻读硕士学位。此外还有若干同学在准备国内的研究生考试。 总之，目前来看，本科毕业后直接就业在中法学院并非主流选择，但也不排除这种可能性。    此外，中法学院在2012级之前还存在两届实验班。其中，2010级的师兄师姐们已经从美国和法国的商学院毕业，目前已陆续进入工作岗位。相关情况了解不甚全面，仅从领英（LinkedIn）上的相关信息提供一些参考。目前已有大牛师兄师姐们在汇丰银行（法国）、工银亚洲等中资外资机构找到全职工作或长期实习。此外，10和11级选择申请其它学校的师兄师姐们最终也纷纷成功赴欧洲顶级商学院如HEC Paris、ESSEC、Warwick Business School、ESCP等以及美国知名大学如UPenn 和Johns Hopkins继续自己的学业。   总之，前途还是很宽广的，可能性很多！ 
如何看待中国人民大学的"读史读经典"?,我觉着非常好！ 我是商院的，而且从小就一向是功利主义者，不被逼是不会读历史类书籍的，这个活动第一次唤起了我对于经典（包括但不限于历史）而不是通俗读物的强烈兴趣（其意义我相信不必多说吧？）和明白了很多看似无用实则大益的东西。 大一上假期我读的《乡土中国》 （理解中国，讲了中国的乡土情怀与社会，真正唤起了对中华文明这个根的孺恋）、《国家的视角》（讲的是极端现代主义和过份简单化的危害，精英阶层应该学会敬畏而不是自以为是地规划世界）、《阿拉伯通史》（中东的历史对于大多数中国人应该是陌生的，难道就不好奇吗？）、《美的历程》（中国几千年来美在不同时代的体现与相对于时代的变化与发展，不是黑格尔的《美学》那种）、《菊与刀》（知名度很高，不必多说，可以借鉴，或者拿中国代入进去一下。虽然有很多对的，但也千万不可迷信书中内容），还多读了一本《文明的冲突》（尤其是这本非常有意思，讲的是一种模型，很有学术争议，但最精彩的在于对每个文明的深刻见解和现代状况比如“全球的民族化、现代化而非世界化的宗教复兴”，比小说什么的好看多了，一看起来根本停不下来！）因为是自己挑的，都是非常感兴趣的，不存在读不下去这一说。 我是认真读的，该精读就精读，该略读就略读，每本书读完后还从网上找对应的批判而全面理解。至于读书报告不过是水到渠成而已，写到停不下来：想着以后如果忘了这本书的内容后，看看自己的读书笔记就能重新拾起了。 真的懂了不少，至于读书这种多么有意义的东西现在被这么多人唾弃我真的是很遗憾，至于其“有用”与“无用”我也不必赘述，无数大家已经反复强调了无数次，只可惜“后人哀之而不鉴之，亦使后人而复哀后人也。”虽然不是金圣叹，我也觉着一个“好”字就足以概括了。 当然这个活动也有它的不足，比如班级的组织活动纯粹是浪费时间，比如字数的硬性要求虽然总体有利但对于真正想读书的人就不太爽了。 但瑕不掩瑜，这个活动还是很好的，真的非常非常非常非常非常觉得大家普遍散漫贪玩或是太过功利了！
有没有中国人民公安大学的研究生师兄师姐，考研党求教？,我是地方院校想考公大的研究生，犯罪学类的，想咨询一下考过的学长学姐应该看的资料谢谢
中国人民大学计算机博士一年级，想做quant应该学些什么？,人大计算机啊！
北京大学青年天文学会的会长去中国人民解放军总医院看病时会是晴天还是阴天？,我们来分析一下：  一、他不在 这种情况结果很明显，教主胜利。天气：阴  二、他在 这时在观测者看来，301的天气似乎如同薛某的猫，处在一个晴朗与阴天的叠加状态。但是事实真的如此吗？我们不妨咬文嚼字地来分析一下。 1. “晴朗”的含义：阳光能够直射大地的状态，空中无蔽光物，如雾霾，沙尘；云朵可以有但是不能遮天蔽日 2. “阴天”的含义：太阳被完全遮蔽，浓雾/重霾同样能够实现该效果。 那么，如何让这两者同时存在呢？  ”_____________，比你们________，___________!" 可见问题的关键是高度！亦即：他所在的地方需要晴朗，而301却得保持阴天； 又结合301医院地处盛产雾霾的北京，所以答案就是： 北京，有 低层 霾，高空无云 。  效果图：  谢谢大家
中国人民公安大学的学生如何利用外出假好好放松一下自己？,带个警花好好睡几天
为什么中国人民大学的排名并不算靠前，可是高考分数如此之高？,利益相关：第5年RUCer，做了4年人大高考报考咨询，15年人大江西招生组成员。 先定调：大学排名名次不高不代表我们不好（有的其实没低，然而有的很离谱= =），嗯。所以在看到高考分数高的时候请勿惊讶。因为二者并没有什么关系。  想到了前两天一个很好玩的对话。。 我：在人大看到的喜鹊为什么都那么肥...囧...  朋友：多亏人大没有生物、医学之类的专业，不然早就没了...囧.   为什么人大在各种大学排名里的位次和各省高考分数的位次差别比较大？    首先，大学排名的指标问题。   参见此论文，个人觉得很高端恩。 国内大学排行榜指标体系比较研究--以武书连榜、网大榜、校友会榜、中评榜为例     百度文库里的这个也不错： 2013网大中国大学排行榜指标体系     看了这两个你就会发现，排名里比重大的指标却是人大的弱项。。   如图，中国校友会网2013中国大学排行榜指标的一部分：     这些具体指：      了解人大的都清楚。。这些指标不是在为难人大嘛。。  虽然我们一直在自黑自己的理工科，但是我相信所有人大人都真心希望学校的理工科能逐渐发展壮大，慢慢追赶上来。期待人大理工科日后的发展喵~  所以这种综合排名上瘸腿我们没有什么好说的，但也希望旁人不要因此而忽视了人大强大的社会科学领域，不要因此而否定我人。     然后，高考分数线的问题。     分数线由什么决定的？报考你校的学生的分数&amp;招生人数。     文科 ，没的说，大家都知道北大清华后面就是复旦人大。至于吸引广大文科生的那些专业我就不一一列举了，网上到处都是资料。反正就是对于很绝大多数文科生来说，北大后面最好的文科高校就是人大/复旦了。    理科 ，按照实力和在外的声誉来说，想来人大的理科生不应该多。  因为很多人的印象里人大没有理工科，所以他们也就直接认为人大不招理科生。  这次去江西招生，给考生或者他们家长打电话的时候，经历了n+1次如下对话：  我：您好，您孩子今年高考成绩挺好的，我想问一下有没有考虑过报考我们人民大学呢？  家长/学生：啊，我小孩/我是理科生，所以没想过人大。人大招理科生是吗？有哪些专业呀？   然而，人大最吸引人的是什么？不可否认，金融啊，经济啊。  我的个妈呀，出去招生，碰到一个不想报这个专业的我都快泪牛满面了。。  理科排名四五百名的考生及其家长也会很牛的说：“我听说你们人大的金融、经济专业很好啊，我们小孩这个排名能去不？”还有“不给我们金融、经济，我们就不去了”  这种热门程度，也是醉醉的了，但从很早就开始了，愈来愈旺。   *这些专业当然是招理科生的！  *先不说理科男，很多理科女其实并不想真的去学理工类专业，或者说他们没想好学什么，那肯定学个金融、经济或者其他管理类、社会科学类的专业要轻松，而且就业也不糟糕。  想学这些的理科男现在也不少。学个金融、经济，总比学个理化生专业好找工作一些吧，最关键还轻松。  *就算分数低了一些的，进不了这些专业，家长和考生也都指望着转专业、辅修、保研考研等等这些路径“曲线救国”。千万别小瞧了现在家长和考生在高考报志愿之前的“思虑周全”。还没报你们学校呢，就能先开始把转专业、辅修、出国、保研等等政策打破砂锅问到底。  *人大在帝都。也许你会说帝都有什么了不起，但你真别小瞧了帝都的号召能力。尤其是那些地方稍微偏远或者不是那么发达的地区，那能到北京上个学，感觉全家都光荣。北京除了北大清华，那不就是人大了嘛。  还有人大自身的招牌，中国人民大学，不是白叫的！   *人大理科招生人数少，这是一个很重要的事情。对比一下浙大南大科大等等学校的理科招生计划就看出来了。人大文科理科基本都差不多的人数，一个省多了也就几十个理科生。（所以今年江西招生组，人大提档线的排名位次要比浙大、科大高，原因也有一部分在此）   综上所述，首先想来人大学金融、经济、管理等等的高分理科生不少，即使第一次进不了也都想着二次分配抓住机会转进去；然后人大自身的招牌，还有在帝都以及一些地方的影响力，再以及帝都的区域优势；最后人大的理科招生人数相对于其他的大学来说要少一些。   看清楚这两个问题也就能理解为啥人大的大学排名和高考分数排名不在一个位置上了。  确实，这个年头，高考报考谁会过多关注那个排名啊，除非是确实有一定差距的高校。  和孩纸未来的就业神马的比起来，相近的几个高校的大学排名根本就不足以被拿出来提好嘛...  人大和每年要进行招生拉锯战的几个高校，各有所长。  报考的时候家长哪还来得及好好研究什么排名啊，被好几个高校招生组电话轰炸都晕死了。。 
中国人民大学入党难在哪里？,其实我觉得还好吧，除了高中生党员以外，进校以后我第一批入党，2016年底已经转正了。       积极分子参加院校两级党校都是要民主推荐的，就全班投票，名额有限，人缘好会拉票占很大的优势，其实越是最早批竞争越激烈，但是到了最后其实也没那么激烈，然后成为积极分子后还有可能被拉去参加红船计划，每周几天早上五六点就去参加体能训练，然后写不完的总结和学习心得，非常耽误时间，最后还有强制挂人的两次党校结业考试，挂一次大学本科期间就没有机会再次入党了，但是认真复习一般都能过。       总结一下：人缘+耐心+态度，就那么简单，不要想太多，船到桥头自然直。       老规矩：不给点赞我会生气的
中国人民大学国际关系专业怎么样？,    一、人大国际关系专业考研报考须知/学校分析   　　1、专业综述：人大国际关系学院国关类专业的实力肯定是非常强的，有陈岳这样的超级大牛，也有时殷弘这样的学术中坚，另外原北大国关的宋伟老师（参与出题）也在去年调到了人大。就业方面，人大国关学院的名头也是非常响亮的，当然具体到个人的就业最具相关性的还是个人的能力。  　　2、关于跨专业报考：跨专业报考国关类的专业，要比本专业的考生在复习准备的时候困难一些。但考研的考试内容与大学里学习的知识差别是非常大的，本专业考生具有的优势也不是非常大，每年报考国关类的学生中有三分之一都是跨专业的，没有专业基础。能否顺利考上，关键还是看谁的复习更具有针对性、效率更高。育明教育考研课程辅导班的学生中，每年跨专业考入北大国关学院、人大国关学院的考生比比皆是，所以提醒广大的考生：不应该因为跨专业的原因就放弃自己想要报考的专业和学校。  　　3、关于竞争大小：报考人大国际政治还需要考虑到一个竞争的大小。一般年份报录比会在12:1，竞争还是非常激烈的。但相比较北大国际政治18:1左右的报录比，人大国关的竞争还是在接受的范围内。毕竟，国关的这三驾马车，每一个都不能说好考。育明教育小陈老师提醒各位考生，如果做好了报考人大国际关系学院的打算，那就需要全力以赴、不留遗憾。  　　4、人大国关考研是否公平、是否有歧视  　　每年都有很多的考生在咨询我们的过程中问到一下关于考研考试、录取公平性的问题：“陈老师，人大考研公平吗？”“陈老师，人大国关考研有没有黑幕和暗箱操作啊”“有没有歧视非211普通学校，有没有歧视二本，有没有歧视三本”。在这里小陈老师结合育明教育近十年的辅导经验回答大家的此类疑问：人大的研究生考试录取还是是很公平的，只有一个原则就是“择优录取”。本科的学历背景也是“优”的一部分，本科学校不占优势的考生更应该把所有的心思放到如何提升考试成绩、如何提升自身综合能力上。育明教育每年都有很多二本、三本的学生顺利考进北大国关、人大国关、外交学院、北师大灯，所以只要分数高、能力强，哪管你是几本的学校。  　　5、是否需要去人大国关学院听课  　　就应付考试来说，基本不用。每年成功考入人大国关的考生中大部分人都没有去听课。很多北京之外的学生，也没有条件来听课。  　　当然，如果大家的备考时间非常充分也有相应的条件，可以去听听课。建议生可以去听一下以下陈老师和杨老师的课。  　　学院导师的课程肯定都不是考研导向的，所以去听的收益并不集中，老师讲的内容绝大部分都是与考研不沾边的，且听课耗费的用来复习考研的时间太多，从成本收益分析的角度看的话，育明·斯泰朗考研小陈老师建议你，可以选适当的课程去听几次，但不要沉溺于此。  　　6、关于考研专业课辅导班：  　　考研专业课的辅导班，确实有他存在的必要性。辅导班的课程为咱们考生节约了大量的复习时间，让好钢用在刀刃上。同时辅导班所积累下来的经验和实时的信息也都会切实的帮助到考生。但大家在选择辅导班的时候一定要详细了解、综合比对，千万不要选一些不靠谱的辅导学校，这不仅仅是浪费金钱更是对我们时间和前途的消耗。当然，也并不是说不参加辅导班的学生就考不上，每个考生的专业基础、学习习惯、获取到的帮助都是不一样的，不能一概而论。欢迎各位考生来我们育明教育实地了解一下，好以下我们的教学环境、师资力量、历届学员的情况，针对国关类专业的考研专业课辅导，我们有巨大的信心让学院获取理性的成绩。    最新喜报：2016年育明教育共有12位学员成功考入人大国际关系学院，育明教育从2006年开始针对国关外交类专业开设考研专业课课程辅导，其中人大国关学院是咱们辅导人数、辅导成绩最好的学校之一。更多人大国关学院报名信息、复习资料、免费指导，可咨询育明教育小陈老师（联系方式见下文图片或个人简介）      二、人大国际关系专业考研招生人数、报考分析    　　育明教育考研课程部陈老师解析与备注：  　　1、人大国际关系专业考研的报录比一般在14:1（竞争非常激烈）  　　2、人大国际政治专业、国际关系专业、外交学专业的初试考试内容相同。  　　3、大部分年份在初试成绩排名比较靠前的这部分考生中，公共课拉开的分差较小，两门专业课拉开的分差比较大。想要进入人大国关学院的复试，需要两门公共课拿到145分左右的分数。两门专业课的平均分要达到110分-115分。专业课的复习备考中“信息”和“方向”比单纯的时间投入和努力程度更重要。  　　4、复试中外语考试会涉及到专业外语的考察  　　5、专业二“国际类综合”包括：国际政治学概论、国际关系史、当代中国外交三大部分。2016年专业课的给分普遍不高，120分以上的也非常少。    三、2016年人大国际关系专业考研真题分析：    　　2016年，整体的分数相较于往年来说不高，所以很多考350多分的同学，本来都不抱希望了，结果最后都进复试了。这种不高也展现两门专业课的给分上，基本110分左右最普遍的，往年可能120以上的都是一伙一伙的。  　　但是今年的题确实又是历年来较为简单的一年，绝大部分的题目都是比较中规中矩，而且大部分的题目和考点在咱们育明教育专业课授课过程中都有讲解。  　　（1）政治学简单题中的三道都是近三年来出现过的。  　　（2）政治学论述题，第一道“自由与民主的关系”在我资料里有着完整的答案，为什么？因为04年考过一模一样的。第二道题目虽然没有考过，但是前些年这个知识板块是一个很热的论述题方向，所以你只要准备过，并且听过育明老师的课程或资料，你不会说写不出字来。  　　（3）国际政治综合这门科目，也是各种题目反复出现。譬如：论述题第一道“用相关国际关系理论分析亚太区域合作的现状与前景“是11、12、15年国际政治论述题是一脉相承，一个话题区域的，基本准备了国关的论述题，很难说答不了。  　　（4）有没有怪题？有！今年最怪的题目就是国际关系史的论述题，考欧盟一体化不意外，单靠经济货币同盟的部分，而且提问的非常细致，这个就很难了。  　　（5）边边角角的知识点也有。最典型的就是政治学的——简述混合政体理论，我敢保证很多人答错为混合制政体。  　　整体下来，我觉得还是那句老话——把教材吃透，把真题研究够，就OK了。今年题目的重复率达到了 60%，那就意味着其实150的题，你考90分是绝对应该的。 
在中国人民公安大学偷东西是怎样的体验?,说一个军训时的事情吧 本人2013级 军训在部队 发生事的是我们对面宿舍楼 此为背景。 某日对面宿舍楼全部人带着铺盖卷背包行李箱被赶出宿舍楼 因为一次性丢了三个手机。然后好多队长带着几个学生挨房间搜，所有柜子被打开，所有同学背包打开检查。折腾一下午+一晚上。 第二天在草丛里找到一个手机袋 装好送回学校进行指纹鉴定并打算对所有同学提取指纹。 最后这事儿不了了之应该是孩子被吓到了偷偷还回去了。 只想说，在公安大学偷东西，下场只能是退学，都不用和你商量的。毕竟保持公安人民警察的纯洁性要从娃娃抓起。
如何才能考上中国人民大学?,一只今年刚考上人大的小学姐来答～ 我高考的分数能上北大分数线，但因为重视专业所以选择了人大。其实这个分数也出乎我自己的意料，因为我高三一年确实过得非常坎坷。最差的一次考了年级162名，最后高考是26名。 针对你的情况，我想跟你说，不要太看重表面的勤奋，而要在未来的日子里都守住一种坚韧自强的品性，这非常重要。表面的勤奋只能拿来安慰自己，但实效不大。作息要规律，能可持续发展。上厕所的时候最好别背东西了，还不如快点上完回去专心学。做什么事都要专注，学的时候好好学，玩的时候好好玩，比如我专注学的时候可以整个晚自习不休息持续高效，专注玩的时候能短短两三周（当然是每天半小时这种啦，不是整天的）从新手达到节奏大师高手级。 科学地安排自己的生活这个特别关键。而且要特别清楚自己哪块知识不熟，哪些方法不会，针对它们有什么计划能够高效解决。计划这块建议和老师一起敲定。 嗯，目前能想起来的就这些。 祝你能圆人大梦～
如何看待中国人民公安大学队长权力过大？,木区吃瓜群众围观
如何看待5.20当晚中国人民大学一位男同学在另一位男同学宿舍楼下表白？,不泄腰！ 求求你们了，别再邀请一个极端异性恋患者来回答对同性的看法了好么？！！！ 贵乎的政治正确，我是万万不敢冒犯的！ 但是你们让我昧着良心说话，我是一定不乐意的！ 这个看法，你们满意了么？？
中国人民公安大学，中国刑警学院，南京森林警察学院，广西警察学院。哪个好？,我也是广西的，目前在公大读书。 就我个人观点来看，未来想要从警的话优先考虑公大和刑警学院。并不是说有些地方的警校不好，而是地方警校里的地域文化比较重。比如说广西警院里就大部分都是广西人。都上大学了，我还是愿意到一个能认识更广阔地域学生的地方。 刑警学院和公大的对比呢。因为我没去过刑院，只能谈谈公大。公大的学习氛围其实挺好的，教室图书馆平时都有人在努力学习，也有很多人有很多想法。但是，学习氛围不代表学术氛围，就本科生来看，学术氛围和其他综合类院校是没法比的，我觉得这有很大原因是公安类知识本身具有的实践性，没有实践过，就无法写出有水平的论文，而本科生实习一般是放在大三的。至于说黑暗。。。我个人倒是没遇到什么特别恶心的事，而且这所学校里有的我估计其他综合类院校也有，不就大学里那点儿破事吗?至于自习室不开，好像一般都是开的，只不过不是通宵开，一般到晚上十点左右就要关了，图书馆还要早关一些，这可以理解，因为晚上十点半就要熄灯睡觉了，在警务化生活管理中，很少有允许通宵开灯学习的情况的。 南森不了解。。。但是说到学校所在城市，我觉得公大所在的北京不比南京差吧？而且公大木樨地校区就在长安街边上，简直不要太爽。 广西警院去的次数不多，但是既然是在广西，那当然对于广西人是有很大的好感度的，在一个熟悉的环境里也会更加舒适，甚至可能在宿舍里都不用讲普通话呢（滑稽）。
在中国人民大学就读职务犯罪侦查是怎样的一种体验?, 跟实际差的太远了。 
2019年高考 想报考中国人民公安大学？,个人建议，三思而后行，来这个学校，你会有一个规律的生活，其他知识。。。。。。
大家对中国人民大学的男生有什么印象?,不谢邀。。。和人大的学生并没有过接触。
