2017云南考生高二本线30分可以上云南财经大学吗？,高等职业普通本科可以上
云南大学怎么样?, 在云大读了四年本科，说说我认识的人里面的情况：   2个保研北大； 1个保研国外大学（当时对方还可以选北大，最后选择国外）； 1个保研西交大，1个保研厦门大学。 以上是我认识保研的比较好的，其他的都没怎么留意。  2个考上中科院，1个考上北大的，1个考上川大的。 以上是考上不错研究生的。  要注意这只是我认识的那些个人，并且答主本人也不是爱瞎打听的人，只是这些里面有些跟我关系比较近，还有的是其他人随口说，因为我认识就知道了。   云大是一个有特色的211大学，来了不要抱着我是在读985大学的心态，那样你只会对她失望。           如果你读的还不是学校的王牌专业或者好专业，是比较差的专业，又喜欢和好学校比较的话，那你就更悲剧了。如果你读了比较差的专业，大学还不够努力的话，那你可能会更惨，开始疯狂诋毁云大。  毕竟，大学什么都不干，混个毕业证，还能让你虎躯一振，就有小弟纳头就拜的，是清华北大，或者最起码也要国内top10之内。   看到有些自己混的差，就疯狂诋毁学校的发了几句牢骚，下面说说学校的情况： 学校有几个基地班：有历史的，生态的，生技的，数理的，这些班保研率是50%。软件学院也有专业保研率挺高的。   生科，人文，软件，法学，经济，商旅这几个学院都有不错的专业。学校其他专业比较一般，据说也有一些专业比较弱，有些专业答主没有熟识的人，答主也不了解。  题主想知道的  1.分数线，这个你得问上1，2两届来自广西在云大就读你的学长学姐的录取分数做参考，因为每一届每个省的录取分数都不一样，只能找同省前1，2届的做参考。建议去云大贴吧问。  2.教学情况，这个中国的大学大多数模式都差不多，修学分上课，我们班只有极少数经常不去，代价就是老师会让你挂掉。  3.学校的生活，你可以过的很舒服，文科有的专业你随便去上上课，躲过老师点名，考试前突击一下可能就过了。你也可以认真去上课，每学期都记一大本笔记，闲的时候自己去图书馆找感兴趣的书看。云大的图书馆馆藏是很丰富的，你四年看不完。理工科的话，很多课你不去听，那你过两节课去听就比较吃力或者完全听不懂，长此以往，挂科，毕业过不了，拿不到毕业证和学位证。云大对考试作弊抓的很严，被学校抓住，你认识态度好，情节轻，最低也是个开除学籍，留校查看；一般都是开除，每学期考试都会有一溜。  4.风气，学习风气的话，我曾经陪一姑娘到图书馆上过将近一学期的自习，每天早上都要去占座，我没感觉到人少。有一类人，就是喜欢看书，我陪的姑娘就是，她平时没啥事就去图书馆看书。学习这种事看个人，在大学没人念叨让你干什么，恰恰相反，在大学你要学会尊重彼此的个性，哪怕他是你最好的朋友。  最后想说的是， 当你有很大选择的时候，平台很重要，当你没有太多选择时候，自身努力很重要 ，而云大只是一个不错的211大学，她能提供给你一个不算太好也不算太差的资历。欢迎题主来云大，还有一个重要也不重要的原因：这里气候很好，风景如画。^＿^ 
骆家辉辞职后为什么会首选云南大学发表演讲?,因为云南沉淀了很多中美友好的历史。    （图片来自：  http://  yninfo.com      ）  （图片来自：  http://  179xizang.com      ）  二战期间，驼峰航线（1941年12月，太平洋战争爆发后，美国参与对日本的作战。中国抗日战争进入1942年5月，日军切断滇缅公路这条战时中国最后一条陆上交通线后，中美两国被迫在印度东北部的阿萨姆邦和中国云南昆明之间开辟了一条转运战略物资的空中通道，这条空中通道就叫驼峰航线。据美国官方统计，美国空军在1942年4月到 1945年   8月的援华空运中，为中国空运各类战争物资65万吨。美国空军在驼峰航线上共有超过500架飞机坠毁（包括 C-46   及 C-47   ），468个美国和46个中国机组牺牲，共计超过1，500人。“在天气晴朗时，我们完全可以沿着战友坠机碎片的反光飞行，我们给这条洒满战友飞机残骸的山谷取了个金属般冰冷的名字铝谷。”这是昆明驼峰航线纪念碑下的纪念橱窗中的一段文字，落款是一位驼峰老飞行员。） http://zh.wikipedia.org/wiki/驼峰航线     史迪威公路（1943年中缅印战区划分为中国战区及东南亚战区，蒙巴顿为东南亚战区司令，史迪威为副司令。1943年12月起，史迪威亲自指挥中国驻印军及麦利尔突击队反攻缅北，最终于1944年8月收服缅北交通重镇密支那。而由印度利多，经缅北密支那到中国云南的中印公路亦于1945年1月建成，并被命名为史迪威公路） http://zh.wikipedia.org/wiki/史迪威     飞虎队（陈纳德在美国招募约一百名飞行员，当中40名来自陆军航空队、60名来自海军及海军陆战队。1941年12月，航空队在昆明上空第一次作战取得胜利。由于中国内地居民从未见过鲨鱼，于是误将这些飞机称作“飞老虎”。第二天昆明出版的一家报纸上便使用“飞老虎”一词来形容志愿队的飞机。航空队里的中国翻译见到后，将其翻译为“Flying Tiger”这个名字告诉给陈纳德，队员们也觉得很好，于是将航空队命名为“飞虎队”。）  http://zh.wikipedia.org/zh-cn/飛虎隊     陈纳德（二次大战时在中国作战的美国志愿航空队（“飞虎队”）的指挥官，有“飞虎将军”之称。陈纳德将军的夫人是华裔美国政治家陈香梅女士。抗战期间，陈纳德指挥的第14航空队以500架飞机的代价击毁超过2，500架日机，同时击沉为数不少的商船和军舰。）  http://zh.wikipedia.org/zh-cn/陳納德     巫家坝机场（1937年， 抗日战争   全面爆发后，云南作为抗战大后方，巫家坝机场成为中央政府航空总指挥的所在地，是 飞虎队   的主要基地和司令部所在，也是 驼峰航线   的终点站。因战争所迫， 中国航空公司   、 中央航空公司   逐渐向昆明转移，巫家坝机场成为两航的中心之一。1937年，滇黔司令部受命扩建巫家坝机场，云南省建设厅、航空处、参谋处、军需处、昆明县政府共同汇建，扩修工程在第二年冬天竣工。1941年， 太平洋战争   爆发后，巫家坝机场成为当时中国唯一的国际进出口机场） http://zh.wikipedia.org/wiki/昆明巫家坝国际机场     甚至当年的昆明成为东方好莱坞。 如果这些还不够熟悉，各位一定听说过联大  http://zh.wikipedia.org/wiki/西南联合大学    的故事，还有沈从文、汪曾祺、梁思成、林徽因… 当时联大分为两个学院，理学院在昆明，文学院在蒙自。蒙自在滇越铁路的中国边境处，是当年非常繁华的城市。  到现在我都怀疑云大会泽院的有个标记是国民党青天白日旗上的logo。（具体是什么我就不说了，希望不被好事者看到把历史的印记消掉。）
我想考云南大学新闻或者传播学的研究生，能不能推荐一些专业课的书?,   这是这几年的参考书目  其他的可以看看期刊了解学界热点比如《现代传播》、《新闻大学》  还有很多公号可以关注
云南大学软件学院怎么样？, 1.  在云大来看的话，学生算最活跃的，学院也算最强的那一类。   2.  从全国来看的话，三十多所国家级示范性软件学院之中，好像是唯一非985学校的（改为 是少数几个非985学校的 ：评论中有人喷我说 唯一 ，但其实我在前面加了 好像 ，具体的我也没查， 维基 一下就知道了(  https://  zh.wikipedia.org/wiki/%  E7%A4%BA%E8%8C%83%E6%80%A7%E8%BD%AF%E4%BB%B6%E5%AD%A6%E9%99%A2      )，毕竟什么示范性也只是个嘘头而已，不过谢谢指正；另外，没有吹捧的意思，只是个人体验而已，我没觉得国内的软件学院有什么值得吹捧的，但我也为能在软院求学而感到骄傲，别想多了）。   3.  软件学院的老师（估计全国软院大多差不多），有两三个教授很牛的，他们也会接触本科生的教程。老师大多年轻（女老师也美丽，幸运的话会遇到美女外教哦），打酱油的占三分之二，重要提醒，软院有一两个“在软件工程路上走的越来越远”的老师，忽悠什么工程思想设计模式的，至今我还在怀疑他们到底会不会敲上十行以上的代码，不过毕业设计遇到他们就好了，九十几的分数随便打，我当年深深的被他们伤害过，答辩第一掌声雷鸣的我本想弄个优秀毕业论文玩玩的，被他组几个96高分的水B虐成狗。但有几个年轻老师（包括副教授）也很强，开的专业选修课居然是一些名校研究生都没达到的难度，比如游戏引擎设计什么的。   4.  学生质量（估计全国大多差不多），两三个代码能力超强的，两三个像高中一样学习，分数高的吓人综测却不怎么的，一小群学习不是最牛的却通过各种手段马屁综测弄到最高最后保研的，一小群出国的（软院出国率在云大算高的），一小群考研狗，最后请忽略那一大群整天整天LOL的人，请忽略那几个从不上课天天睡觉甚至被退学的人。另外，毛概课老师最恨软院的同学；男女比率没想象的那么差。   5.  软件学院的资源设施在云大算是很好的，但最重要的事说一遍：全中国的软件学院，其实大多一个屌样，唯一的区别是，在好一点的学校，你身边会有很多想学习和正在学习的人，你敲起代码来似乎不太孤独，反之，在差一点的学校，你容易孤独、沾沾自喜，还时常被鸦雀之类的叽叽咂咂声影响。我是几年前云大软院拿到学士学位的，明年可能就要去MIT了，借此机会向软院说声谢谢，太多感慨只能以后回校说了。总之，云大软院没我当初想象中的那么差，但她和全中国所有的软件学院一样水。附上一句话，“ 计算机科学的教育不会让任何人成为内行的程序员，正如研究画笔和颜料不会让任何人成为内行的画家 ”，共勉！
有人知道云南大学昌新国际艺术学院吗？, 据说后台很硬~！  目前挂牌成立，但是师资没有，场地没有，学生暂无。 
云南大学住宿条件怎么样？~~~急！！！！,云大分本部和呈贡校区两部分。  先说呈贡，呈贡校区是2010年投入使用的，分梓、桦、楠、楸四个宿舍区，每个宿舍区的宿舍都是一样的。 1，呈贡校区均为四人间，上床下桌，带衣柜和书架，每个人都有一个独立的插座和校园网网线接口。每间宿舍的宿舍门都是防盗门，安全问题不用担心，而且门的上方都有可以放大件行李的地方。 2，每间宿舍一台饮水机两部座机，分别是电信和铁通，不用校园网可以用电信宽带。宿舍楼布有cmcc、cmcc-edu以及校园网无线热点。 3，每间宿舍带有独立卫生间和浴室，有阳台和洗漱台，洗漱台可供两人同时洗漱并且有防水插座可插电吹风，有太阳能热水器带电加热，24小时热水（不过每栋楼住的人比较多，水温不太高），每层楼楼道有一台电热水器提供热水。每栋楼都配有一间洗衣房，洗衣机投币就可以使用。 4，宿舍楼每层有一间自习室，24小时开放。 5，每栋楼都有一台自动售货机，卖些泡面零食饮料什么的，晚上饿了不想出去可以在楼下买东西吃。 6，每个宿舍区有配套的运动场。  然后是本部宿舍。本部的本科生宿舍分四人间（不确定有没有，因为本部宿舍实在太破了），六人间和八人间。宿舍分布在东陆园、英华园还有东二院。本部宿舍由于修建年代比较早，整体环境不如呈贡，不过学校已经准备改造了。 1，东二院是最破的，惨不忍睹的破，还闹耗子，没有独立卫生间和浴室。东二院食堂味道据说不错，从东二院往东陆园走的圆西路上也有很多家好吃的店。 2，东陆园宿舍比较新，但是也没有独立卫浴，整体环境好过东二院。东陆园食堂很好吃，推荐清真食堂。 3，英华园只知道顶鑫公寓的情况，不过那是研究生住的。本科生宿舍不清楚，不过可以对比东陆园的环境。英华园云大第四食堂很难吃，除了早点会有人吃，其他时间几乎没人去。  新生入学一般是住在呈贡，毕业时再搬回本部。所以住宿情况不用担心。另外呈贡校区校园网免费，只是网速比较慢，本部校园网需要付费使用，不过很便宜，网速也快。水电是每人每月免费提供5度电3吨水，超出部分费用自理。基本上就是这些了。需要图片可以去云大贴吧找找，或者云大东陆风华论坛。  欢迎报考云南大学，美丽的云南欢迎你。   7月24补充 云大住宿制度改革，本科生在本部住宿的有人文学院 公管学院 民社学院 历档学院 艺设学院 职继学院 国际学院，研究生不确定。
安徽大学 郑州大学 湖南师范大学 东北师范大学 华中农业大学云南大学 海南大学 长安大学怎么选？,云南大学。有过比以上所有其他学校都辉煌的历史，有着一流的自然环境和硬件设施（硬件设施不输一些名校），录取分数因为地理位置被拉低，大学十分的低调。至于专业，你还是仔细的去详查比较好，都了解的不太全面，随便说的话不客观。
我是重庆高三考生，云南大学的优势和劣势有哪些？,优势，有辉煌的历史和深厚的积淀，几个专业和学院很好；学校自然环境好到爆，硬件设施一流，图书馆说它是“全国最美十大图书馆之一”都觉得委屈它了；劣势，地理位置劣势，西南边陲，容易被低估，近年来一直在努力提升，但目前还没取得没什么轰动的成果。
取消985211后，云南大学研究生还值得考吗？, 那要按照你这个问题，如果只有985211值得考，其他学校就没人读了？985211是历史、经济、政治等原因综合决定的，有钱、有人、有权支持，任何一个学校都可以成为985211。关键还是看专业，有些学校名气大，但也有冷门专业，有些学校名气没那么大，但也有热门专业。考研一要评估学校的难度和专业情况，也要评估自己的能力。 
日语研究生内蒙古大学好还是云南大学好？,刚从内蒙古大学日语退学 这里全部是女生，偶尔几个男生 研究生一都是课程，研究生二，三基本就是实习的实习出国的出国，日语考试好多都是蒙古族，岁数60多的也挺多 出来还在内蒙就业吗？机会会不会很少啊 考虑到这个，索性。。。
云南的大学生平时喜欢通过什么渠道了解信息？微博？微信？qq空间？,不知题主是高中生还是在昆大学生，大学生主要是QQ 
云南大学转专业有机会吗，有什么要求？, 可以转  但个别专业不行  成绩好 
17年考的法律硕士，现在有些纠结是调剂家乡的一所普通大学（北方的一个二线城市），还是调剂到云南大学？,  谢谢邀请！  和你大学报考一样，选择学校首先得选择城市，就选择城市，提这几点建议：  1、离家近或者去一个以后你想留下来的地方，且经济发展还不错的地方，因为研究生和本科毕业生有所不同，所以优先选择以后想留下来的地方。  2、以上因素之外，还有一个因素，就是选择一个对你以后想要发展地方有辐射的地方，具体原因不多说，自己想想。  3、根据自己的学习实际，英语不好的考北京上海要慎重，虽然英语统考，但是阅卷是以报考单位所在省为单位统一阅的，比如我的生源地在江西，我要考西政，考试地方是江西，考完后政治英语试卷是拿到重庆批改的。北京上海批卷子会很严，学校又多又好，而且考北京学校的都是什么人，可能你附近的卷子都是大神的，所以你的分数会降低很多。有培训机构试验过，同样的英语作文和翻译，北京上海这两个地方会低15分左右，这15分对于英语这门本来就只要46、7分就能过线的科目，什么概念，可想而知。政治也是一样的，主观题总共50分，北京上海每题为难你一两分你就低十来分了。  接下来是选择学校，很重要，决定了你以后的校友圈子和发展，因此必须重视。同上，也提几点建议供参考：  1、选择北清人政。你必须是大神，这个大神不是突击的那种，是真的实力，英语至少得70+，专业课基础是司考400+或更高，并且看了很多理论的书籍。这些学校有的专业课卷子甚至是用英语的题目，用英语来回答，复试有对英语要求极高！比如人大的复试英语口语题：请你谈下现在中国法官独立的现状？英语问，英语答。  2、选择其他985高校。对英语要求很高，专业课还好，要看学校的专业，比如某学校王牌专业国际法，专业课全英文，但其他专业课难度也就那样，还不如政法高校。考这种学校有两个劣势：一英语，二人数，这些学校招的人比较少，有些专业就十多个的样子，所以可能会不公平，有内幕之类的，毕竟就招10个，本校就几个，有关系的有几个，厉害的几个，所以概览可想而知。这是正常现象，哪里都有，无需抱怨，外国还要导师推荐制，如果你是大神，完全可以无视这些，够优秀，老师肯定要你。  3、选择政法类高校。这是非大神考研的首选，中政、华政在北京，英语比较高，西政比较注重理论方面的专业课，英语要求最低，中南财经政法在武汉，英语也有要求，西北政法在西安，最好考。建议按照自己地域来选择，中政也不难，专业课就是司考基础题，英语要求也不高，完全可以上。而且有些年份他也招不满，很多要调剂。政法类高校的优势就是：招的人多，1000多的招，所以公平一点，好考很多，和你竞争的也差不多，大神早出国或者考人大那些了。政法类高校资源也比较多，雄踞一方，法检人多，校友遍布。  4、选择其他高校单位。那就很简单了，随你考，一般不建议直接考，你可以考好学校，考不上调剂去这些学校就好，除非你想回家乡之类的，他们招的人也少，绝对会照顾本校的，也绝对会或多或少有些内幕，但没那么严重。  最后，还有一点很重要，一定得关注你所考学校毕业校友的状况，比如在什么地域居多、影响力更大，这和刚才选择城市时说的辐射原理是一样的。比如在重庆甚至西南，西政的影响力要远远盖过身为985的重大和川大，就是这个道理。  以上这些，难免有些纰漏，具体你可以联系我交流。 
四月份去云南民族大学中印瑜伽学院学习，有没有同有意向的朋友 ，一起组团报名，五人团打七折！？,我也去学，14号到昆明！我是内蒙的
昆明理工与云南大学哪所更好？未来哪所大学更有潜力？,说明：  1.刚开始看到这个题目的时候，大概有7，8个答案。一面倒的损云大，实在看不下去了，就只对云大理工科的情况指出了几点。  2.我个人一般只把大学对比做个参考，并不认同很细致的描述学校整体，然后做比较，这是很难比较的。一般的大学也会有很牛逼的人物出现，就像杭州师范的马同学，成就吊打世界N多名牌大学的学生。好的大学也有很差劲的学生。囫囵吞枣的比较是缺乏理性的。  3.真要比综合实力，我觉得昆工首先应该把自己提升为公认的全国100强大学（各大榜单都进前100，全国人心中觉得你是前100）比较实际。  4.有些东西不想去戳破，但是老是被缠着，那就说一些。  正文：  说理工科昆工比云大好，得拿出公认的材料来，喊口号没啥用。因为你绕不开云大理科中生科在全国靠前，也有个国家软件示范学院的事实。   云大理工科的学生全部是一本线以上的，昆工招的一本线以上的学生能在他全校比例里面占多少？（这是昆工的硬伤，这说明高考以后云大的学生都能上昆工，反之则昆工的绝大多数不能上云大）。  再来说云大理工科的老师，比昆工差了？云大理工科教理工的老师有一部分无论人品、学识我都很佩服，而没读云大的人对这些基本毫无所知。全国重点大学的老师硬性要求也不低，不是一般人能进的。  昆工冶金强，云大是没有这个专业的。（我查了下，大概昆工冶金工程在全国排5，6名的样子）。  其他的比物理还是比化学，还是比生物、软件。比的过你才能说你强，比不过，你怎么说明你强？  刚开始有个答主说昆工的工科云大望其项背（现在这个答案删掉或者改了），我想说的是云大才几个工科专业，跟你一个学校比？你咋不去和北京电影学院，中央音乐学院比一下工科？这样比你觉得很有意思吗？  .............................................................分割线........................................................  @云胤     作为一个云大人，我都没说过云大生物专业全国第一，而你“云大我不熟”，你就敢说？这用心...我就呵呵了。     至于这个，我周围确实没人跟昆工比，这是真的。为什么要跟昆工比？我周围人跟其他大学都很少比。大学有很多更有趣的事儿的。 
去云南财经大学上学需要准备什么东西？,穿一身衣服   带两身衣服    双肩包 行李箱 银行卡 手机 你   这样应该就够了    被子啥的都是提前划钱了   去学校领收费单  拿收费单领东西就行 其余东西学校不发去了再买就行了    虽然我不是云南财经大学的(´▽`ʃƪ)
云南大学会计学和云南财经大学会计学如何选择？,各位学长、学姐，我是高三毕业生，在云南省理科排11911名，请问可能取到云南大学财会专业吗？谢谢
在云南大学学泰语，不知道是否应该转系或者学第二专业？,这种东西 对于压力大的环境 不早 早一些知道 早点规划 打有准备的仗才能胜人一筹 有这个想法很好  1.就业 之前回答过很多了 国内还是泰国 泰国有些能力找个工作不难 国内不好说 主要就是几个省区和北上广的公司 对外部门 泰语水平一定要够 要别可能就是打酱油了  2.我在国内的大学也是泰语专业 之前家人也告诉我语言只是工具 用来沟通 还是需要学一些技术的东西 当然说 语言水平够高 做涉外工作一样可以高薪 不愁没工作 但多一把刀 你就比别人吊一点 既有对外沟通的能力也有专业的知识技能的复合型人才 战斗力略吊 所以可以考虑学第二专业 根据兴趣和实际情况
云南师范大学的语文学科教学论专硕需要看些什么书？,你好，我和你的目标一样  
云南财经大学的财政学怎么样？,撇开云财单说说财政学呢？财政学本身学科如何？谢谢指教
教云南财经大学广告学专业的学生是怎样一种体验？,若能从大学一年级开始教就比较理想。
即将在云南师范大学就读英语专业，将来考研想去学同传可以吗？, 同学，您好！当然可以啦，为你的理想竖一个大拇指。北外的同传方向，英语专业的学生，无论来自哪个学校都可以考滴。不过，同传属于外国语言学及应用语言学的下设方向，是学术型硕士。希望对你有帮助。 
请问云南师范大学的西班牙语专业如何？,老师都挺负责的，能不能学好取决于你有没有认真学，大三有自费去西班牙塔拉戈纳（Tarragona）大学和公费去拉美的名额。
17年贵州考生理科分数为508 想报考云南大学 诸位觉得有必要冲一冲吗?,前辈们 帮帮忙
中国矿业大学徐州和云南大学相比哪个好？,看专业。。你这问题真的没水准。。
云南大学 材料科学与工程学院 导师简介 科研实力 联系方式？,本人是16年考生想要调剂到 云南大学 材料加工工程 专业  太阳电池材料与器件方向，所以急求导师联系方式
云南财经大学财务管理专业考研？, 谢邀  （1）学硕与专硕的区别  学硕和专硕的区别在于一个读三年、一个读二年。一个面向学术研究，一个面向就业。专硕的学费比学硕的学费高。此外，专硕的招收人数比学硕多，专硕的考试难度比学硕低。  想要对这个科目深入研究，做学术方面的工作，就必须读学硕，因为只有学硕才有资格考博。  然后如果只是想延缓就业压力，培养能力，以利于以后就业，那就选择专硕。  （2）不是重点大学是否影响？  很多二本三本的学生就是因为自己的本科学校不好，所以通过考研逆袭。有很多成功的，但也有很多由于出身不够好，即使在初试获得了一个高分，在复试也被刷下来了。所以在选择考研的学校时要慎重，虽然可以选择比自己高一级的学校，但也不能是自己高不可攀的学校。衡量一下自己的能力是否能做到，才去做选择。  （3）考研自己复习好还是报训练班好？  这个是看个人的。如果你基础比较好，自制力比较强，你可以选择不报班。但是建议还是跟着老师复习，那样效果会更佳。同时建议你找一位考过研的师兄师姐帮你解答问题。这样会帮你减少很多不必走的弯路  微信搜索师兄指路，可以获取更多考研师兄师姐的经验。 
大学生去云南支教，队长该怎样保证学生和队员的安全问题，出现了安全问题该怎么解决?,谢邀。不专业，只说说想到的。 对象是学生和队员。 安全问题源头来源于内部和外部两方面。具体安全问题可归类为：饮食安全、交通安全、户外活动安全、课堂安全、消防安全等。这样的话每一类可以安排一个专门负责人。  针对队员： 1、明确纪律。如勿接近危险区，勿私自外出，禁止喝酒打架寻衅滋事等行为。 2、考察环境，包括内部和外部环境。提前预见到可能存在的危险性并做好相应的安全预案。 3、人员设置。如果需要分小组单独活动，男女比例需要搭配好。 4、预备外部求救信息。学校附近的派出所地址及联系方式、卫生所及医院地址及联系方式、学校原有负责人联系方式、热心居民等。 5、如有需要，简单的救生常识要对队员进行培训。  针对学生： 1、上下学安全。了解学生有无家长接送，根据实际情况安排队员送学生回家。 2、课堂安全。比如手工课可能会有用到剪刀或是美工刀的情况，以及可能出现身体碰撞的体育课。备好应急医药箱。 3、课外活动安全。提前明确纪律，安排好队员看护。  临时能够想到的大概这些，希望对你有帮助。
云南大学有没有审计学？,没有，经济学院目前有以下专业:  经济学，金融学，保险学，财政学，国际经济与贸易，国际商务，会计学(普通，ACCA，注册会计师)三个方向
关于云南师范大学华文学院?,要读就读云南师范大学的这类专业，教育部牵头的项目；不要读文华学院的，随便找个泰国的三流大学，圈钱而已。 一带一路声势浩大，但是远还没有成型，而目前泰国已经有十来万的中国各种性质的留学生了，“人才”绝对充足，绝大部分学生都是读完就回国，更多的是给你的青春岁月留点不一样的涟漪而已，跟前景关系不大
云南大学跟杭州电子科技大选择哪个好？,我是2017湖南考生，我的志愿基本在杭州电子科技大学，偏远地区的211真不如大城市的非211，每个省份基本都有211，题主自己决定吧！
云南大学在山东省的就业竞争力如何呢？,谢不邀 跟着男朋友走就好嘛，不必纠结
云南大学生物技术就业容易吗？,生物和就业不能两全，二十年内生物专业就业率不会有太大起色。
华东师范大学收云南三本院校的学生吗？诚惶诚恐。,先过了初试再说。考的高高的。当然也要准备好被调剂
如何看待云南财经大学教授顾秀林「转基因是灭绝人类技术 学术界支持因有经费」的言论？,为什么大家要认为顾秀林是顾准的女儿呢？他们已经断绝父女关系了的呀？为什么你们会用“顾准女儿”这样一个词或者说标准去要求她呢？这是一个为了坚持政治正确，为了在政治上不被连累，连病入膏肓的老父连连写信托人希求临终前能见一面的愿望，都不屑一顾的女人啊？你们老是说为什么跳广场舞的大妈是“坏人变老了”，顾秀林就是活生生的例子啊，不要以为她去美国念了博士、当了教授就有什么不一样。  读顾准，读到顾准74年患绝症苦求见儿女而不得，绝望而逝，为之落泪，胸闷欲狂，是20年前大学时代的事情了。今天看到顾秀林的博客，大家不觉得和下面这段话风格完全一致吗？  在对党的事业的热爱和对顾准的憎恨之间是不可能存在什么一般的父子感情的。……我是要跟党跟毛主席走的，我是决不能跟着顾准走的，在这种情况下，我们采取了断绝关系的措施，我至今认为是正确的，我丝毫也不认为是过分。  真是不理解顾怎么敢出来写博客，怎么敢顶着顾准之女的名头四处乱晃？
