一名军医大学毕业的学生，他的未来可能是什么样的呢？,学霸考研，其他人嘛家里有钱就买断，有关系就分到医院，剩下的就只能去基层拔草了。
在军医大学就读是怎样的体验？,2017.7.12更新  这个答案到此为止吧 对于对这个地方抱着侥幸心理 觉得自己家有那么一两个人在学校工作  在bd上班就觉得自己可能会怎样怎样的人……我只想说  如果没有很大的权力还是不要趟浑水…几年制都是一个鸟样子……等你来了学校以后发现自己的大部分老师都是非本校毕业，从外面考进来的…自己的领导，特别是一毛二三，大学刚毕业就分到军校当干部，然后被调到机关从事本专业的人，只能呵呵…还有人觉得自己高考考得多好多好……好吧~_~…  最后  也懒得公布今年数据了   宝宝还有新的人生要过  评论不回了  祝大家一切安好  再送大家一句话  天下没有免费的午餐  2017.7.3更新  二医大五年制买断34w 三医大买断不给学位证 四医大一如既往 2017.6.17更新  前不久  三所军医大学已各归海 陆 空 j管 而且从下一届开始 进军医大读书也有军籍 复读生已经可以报考军校了 （有军籍意味着你进来后想走也不容易了 但是待遇什么的会好） 2016.6.21更新  今年二医大买断24w 90多人买断  三医大本科买断23w 50多人  从下一届开始 可能涨到30多甚至50w（考虑到以后待遇变化）四医大每年这个都卡的严 2015.7.6更新 三医大今年分配状况 535人毕业 185人艰苦地区 2015.5.21更新 随着军医类院校（或许还有其他军校）招到的学生数量越来越少，现在招生政策正在改变。放宽了限制，复读生也可以进军校了。而且很多学校出台了相关宣传措施，各种宣传单出现在你住的社区，你所在的学校切记三思而后行。多看看知乎关于军校的帖子，也希望看到的人能多以各种方式转下我这个回答，避免让更多人不加考虑选择这条路。 —————————————————— 2014.10.21更新 最近各学校爆出自杀案件 有人喝洗衣粉 三医大还有保研没成功跳楼的 入行需谨慎 想报的不要忽视网上真么多学长的真心话 否则你丫就是脑残！ …………………………………………………………………… 首先，在这些学校就读，先得明确一点，那就是先军后医。先学服从再学知识。本人的信息暂且保密，注册的号也不是真实的个人信息，具体原因你上了军校就会懂。 先说训练，五公里，单双杠等等基础训练，夏天还有游泳，不同年级还会加不同训练科目，都是要考核的！在军校，某科目不过要补考，再不过你的学位证就危险了。 再说学习，老师普遍负责，而且国家配备的老师都是教授级人物，自己得在平时努力学习。但是在军校，心无旁鹜的学习不是一件容易事，你会被各种各样的小事，例如公差，被迫参加各种会议活动而打扰，并且除正课时间和训练时间外，你的自主学习时间都很少，如果不对零散时间加以好好利用，期末就准备挂吧。。。学习在军医大学是第一位！！与你最后能否保研考研密切相关。如果你学习差，毕业分配很有可能被分到边缘地区，俗称新西兰。只有学习很好很好的人才有机会保研考研，请注意是有机会。而且只能上自己学校的研究生。诸如此类的坑爹政策等你进了学校会了解很多。总之要好好学习。 再说说校园生活，基本感觉就是忙碌和枯燥。校园里有一些活动要去积极参加，得名次会成为你日后分配还有保研的筹码，特别是国家级和军队级，校级以下的比赛喜欢就去玩玩。前提是学习要保证，不要本末倒置！！这点很重要！ 然后，人际关系。重要性不多说，在军校你会看不惯很多东西，开始你会抱怨很多东西。但要记住，最后获胜的是积极适应生活的人，不是抱怨的人！  最后，希望所有志愿学医的人，能报地方大学还是不要来军医大学，原因有很多，难以一一枚举。在报志愿前一定要前往各军医大学贴吧了解清楚再报，否则没有后悔药吃。
医学考研：目标院校重庆医科大学 第三军医大学 四川大学？,你们说，要是重庆医科大学和第三医科大学都合并进了重庆大学，会有什么后果？两个学校各有校址，只好独立办学，于是重庆大学成为了全国唯一一所拥有两个医学部的985高校。然后两个医学部都有一段傲人的历史想要纪念，纷纷要求按照行业惯例，在名称中有所体现。于是两个医学部分别是重庆大学重庆医学部和重庆大学第三医学部……好了，折叠吧。
本人在军医大学读书 想问问考上研的难度有多大？ 比例大概多少？,第三军医大学应届考研复试名单在此，供你参考。  http://www.  tmmu.edu.cn/zsjy/nr.asp  x?id=05e642ac-440b-41c6-bb7b-dbbc7fa1690b      
军医大学学生毕业后在部队最初几年的工作历程是怎样的？,分到基层的都是去卫生队，也有先短时间在连队里锻炼的，不是排长，只是参与军事训练。在卫生队基本是看日常感冒还有处理小伤等，疑难重病都会及时转往当地军医院，需要卫生队人员送出去。军医大毕业服从分配，一般都是从事军医工作，本科毕业很少能去医院，大多去基层，三年后可考研，具体转业也不是很容易。
第三军医大学上学的学生能在寒暑假出国吗？,退役之后一年内也不能出去
20岁上大学，学医，25岁毕业还可以考军队医学院校的研究生吗，入伍的那一种，比如第四军医大学难度大吗？,裁军30万中就包括把各个军医大学划归地方。。。。。
应该去读军医大学吗？, 8年？那是行政的，技术的要12年  能否考研看领导心情，考研考博成功5年内不许变动，中级高级职称各自延长4年  就算憋12年出来了你觉得你剩的那点知识还够再考研吗？或者说打算30岁从住院医干起？  最后也是最重要的一点，“五年制毕业面向师以下部队分配” 
在第三军医大学的日常是什么？,墙外的人想进来，墙内的人想出去。
想学医，有担心经济问题，不知道报军医大学会不会好些，但是有担心毕业分配，好纠结啊？,如果不是真的穷到一定程度，最好不要报，具体为何不能说，表示不想泄密。
读军医大学是一种怎么样的体验？,要记住，共产党的便宜不要占，到时候哭都让你哭不出来。  军校唯一一个好处是读书免费，但你花了党的钱得为党办事啊，到时候毕业分配呢，你有关系分到一个好点的单位，而不是一个旮旯里？？  论医学实力，同梯队的其他医学院比军医好不少吧？而且在其他医学院读书你好歹是个自由身不是？以后毕业了去工作或者考研考博毫无限制。千金难买自由身啊，哥们。  在军医大学想考研翻身？行啊，三年内不准考研，老老实实在分配单位呆三年。三年后只能考军校的研究生，而且名额极为有限。你青春有几个三年？你知道三年后在基层这种环境下你会变成什么样了？还有没有心思和精力去考研？  想脱离部队关系，行啊，大学五年花的钱，二倍奉还（现在是三倍还是四倍？），还得找关系，我一军校的朋友托关系前后加起来花了将近四十万终于赎了个自由身。他读大学时本来年龄偏大，又耗了两年，现在28岁才上研一。每当说起此事，肠子都悔青。他还算幸运，跳出坑了，他的朋友大部分还在坑里悔着呢。  你要是部位大院出来的，那蛮好，自己争气点，家里帮你打点打点，可能顺风顺水。在部队环境下，个人努力往往所起作用较少，变数太多，除非你极为突出。但你要真有这么才能与努力，想必也是人中龙凤，在其他医学院混，前途不可限量，自己的命运完全在可控范围内。而且有这个分数，上同梯队的其他有名医学院校绰绰有余。  而且你若真有机会往上走，军医大考研考博也是个大难关，明的暗的竞争远较其他院校激烈。诸不知前段时间301医院考研招生时，专门降分到280多分（国家线300分），只为了专门招某个没上线的领导小孩，最终闹的其他考研落榜生集体写信举报？结果呢，重新面试还不是照样招280分的那个学生？其他落榜的呢，给你们个名额去垃圾科室，你去不去？不去就滚蛋。  要是家庭有困难，那也别想沾共产党的便宜啊。五年下来，贷款，搞搞奖学金助学金，省着点用，再辛苦点弄点兼职，还是能撑过去的。  当然了，你要有伟大又坚定的报国理想，或者家里能有这层关系，或者本身也足够优秀，那军医校欢迎你。只是到时候就算后悔了，也别叽歪抱怨，自己种的果自己去啃，酸甜苦辣，忍着。  哦，忘了说了，部队院校出来的有个好处，个个身体素质不错，学习也相对蛮用功。毕竟，每个星期早上或晚上去跑操和集训，也容不得你太堕落的。你若喜欢，倒是不错的选择。  一一一一一  评论区有些人不要太诛心，在那阿巴阿巴的叽叽歪歪。报军校的大多数人都是农村娃，填志愿时父母还有周边人眼界有限，不能给予什么建设性指导，加上自己本身刚高中毕业，懵懵懂懂的，往往稀里糊涂想入坑，绝大部分到后面毕业时都是欲哭无泪。你要有军医大毕业的朋友，那就去问问毕业几年后的学生有多大比例是悔青了肠子的？你确定单靠你一人之力能成为那少数一部分幸运儿？我在这里给他们说说一个大环境如何，让他们心里有个底，慎重而为，哪来他们说的黑军人带情绪这些屁事？你们不知道别人现在填志愿是很关键的时候吗？填的不好，很大一部分人后面的人生都可以改变吗？  还有更搞笑的，基层锻炼三年，有了临床基础再考研也是挺好的？还有以为一个军医校的本科生是个香饽饽的？还有以为基层干15年的临床经验能比读15年书强的？我估且认为你不是这行的，是真不懂，而不是坏。  你不知道医生本科毕业找不到像样的工作吗？很多农村的孩子辛辛苦苦读书从农村走出来，考的这么好不就是为了以后生活能好点？难不成又重新回农村去？还有不知道学医五年之后还有三年吗，三年之后又有三年吗？你还想让别人中间再加个三年，到基层去学临床经验？你开什么玩笑？你看到学习有到基层单位去学习的吗？难不成三年三年又三年后等到三四十了都不要担家是吧？还有说什么15年临床经验，你是眼界短还是脑子不灵光？读十五年书，短期内可能临床经验欠缺点，但有了个好平台，三五年内就可以秒杀你一个基层的医生好不？更何况现在虽说是读研读博，不知道读研读博很大一部分都是在医院上班吗？很多人毕业后临床基本功就已经蛮扎实了。去做个基层医生绰绰有余。（要是有人理解为黑基层医生的，那也只能说明你语文老师没把你教好。你可以回炉从小学开始念起，我资助你六年的语文教材。）  还有些鸟人和我扯情怀的？对待这些为国为民的部队军队警察，个人深知其中辛酸，也一向怀尊敬之心。自愧没有这份勇气和牺牲之情，但也不会把自己不愿不想的这种苦差事忽悠其他懵懵懂懂的少年去做。只希望能去做这些事的人也都是明白自己以后面对的是什么，为理想情怀也好，为升官发财也罢，心甘情愿，切莫后悔就是。  因此借用马亲王微博的两句话送给诸位键盘侠:   想必单纯和我扯情怀的诸君是康有为之辈吧？？？？？
报考军医大学的博士以后能留部队么？,你想走都难！
请各位学医的朋友解答一下第三军医大学的临床医疗通科医师就业前景怎么样？,你这分数上不了
急求问，男友军医大学(21大)的，体能测试如果没过会怎么样？买断的话有毕业证学位证么？怎样能拿到证书？,应届毕业的来凑个热闹说两句。。 学校会各种想方设法让你过，大三五公里没过大五有个补考，6月10号再不过6月24号还有补考。该耍点小聪明就耍，上面都已经通融好了，但这个形式还是必须要走的——最起码这届也还是这样，包括射击都喂了我们每个人几十发子弹，当然以后改革结束就不好说了。如果真的是实在怎么也过不了的那3%，官方说法是一年以后回来补考拿证，当然也可以攰是吧。。
考第三军医大学的难度？,不知谁邀的我……我是四医大的…… 不过不管那个军医大学 女生要求都很高 以五年临床为例 每个省也就一两个名额 你说多少分这个各省情况不同名额又少不太好估计 总之往高分考肯定没错 军检要求网上可查 不赘述 走提前批 没报上也没关系～加油 以上
第二军医大学本科录取是否看文科会考成绩（北京地区）？,不看。 最好别考。军医不适合高分人群从事。
非军医类医学院本科毕业生能报考军医大学相关专业研究生吗？,现在越来越严了，以前还是可以的。。。
检验专业考第四军医大学研究生有希望么？,肯定有希望啊，但如果是冲着衣服去的，现在确实不招了。
考军医大学有什么好的地方？需要什么条件？, 千万不要考 ，如果你看到这个回答的时候已经报了军医大学，不要去参加体检，相信以你能够被军医大学录取的分数完全可以上一个好大学。 我不希望我和我同学的悲剧在你身上重演
论一个女生在重庆第三军医大学读书是怎样的体验？,除了学医还要学习军事技能
如何看待三所军医大学2016年本科毕业只有第四军医大学不让按入学时的合约交钱买断脱军装回家？,让买断的还有点人性，四医大秉承了部队的优良传统和作风:毫无人性
为什么没有第一军医大学？,有，在广州，已更名为南方医科大学。   南方医科大学首页   
请问现在第四军医大学口腔医院正畸和华西口腔正畸费用？,我也是大学生，在这上学，所以我在第四军医大做的，不到半年，花了快一万五。建议你先去挂个号让医生看看再决定。
军医大学里有没有兽医相关专业及研究生招生？,有  以前有个中国人民解放军兽医大学  后来并入吉林大学了 现在有军事医学院军事兽医研究所  在长春 以及  千万不要考这鸟地方不然你得后悔一辈子哟
如何评价第四军医大学？,恶心
对于中国第二、第三、第四军医大硕士研究生考试，想报考的大学本科生，①如何选择资料书？②那些资料书比较好？,没人回答，我来说说我的经历吧。题主应该是地方生吧。1.部队医学院校研究生考试也是全国统考的（临床，检验，影像是这样，药学，预防什么的不太了解），参考书就是 课本加 老贺的那几本。2.想入军籍分数要高，女生要更高。男生340以上比较保险。3.准备时间，我是大四3月开始准备的。太早了意义不大。/// 关于资料书，英语单词我用的是新东方乱序版，真题也是新东方的。政治肖秀荣的不错，跟着他的书做就行了，最后的押题各家的都买本确保万无一失。
重庆第三大学军医附属医院，看肿瘤科来说。新桥好一点，还是西南好一点。医生护士的态度怎么样？？,白癜风怎么治疗。
报第二军医大学对眼睛有要求吗？,裸眼视力4.5及以上，可以手术做好。我也想报，感觉分数不够哈哈哈哈哈哈
军医大的大神，本一批次可以报考军医大学吗？,军医大学好像都是提前批，至于哪个学校好，这个每个人有不同看法，不好就此评论
军医大学毕业，分到青海某部队卫生员，出来的几率大吗？要怎么做？,考研啊，或者直接退伍
第四军医大学生物医学工程有研究生吗？,当然是有的，主要分为图像处理，生物雷达，卫生装备，电阻抗成像四个研究方向
第四军医大学在山东2016年的招生分数？,最高681，最低617
第四军医大学肿瘤专业研究生复试专业课考哪几门课呢?,直接去问导师，其实考试就是个形式，初试过了都能上
2012级第二军医大学毕业可以买断吗？,不知道，可以肯定的是，学长走的多了你们就走不了了，现在基层已经不让走了，因为没人来了
普通二本考第四军医大学研究生如何？,可以考，但是只能考计划外的
军医大学到底有多少存在的必要性？,可以裁了，坑了多少优质青年
关于读重庆第三军医大学？,参照军队院校的报考要求
我2017年考入第二军医大学药学专业，不知道未来发展如何？,赶紧复读 你想要一辈子发大白片，永无出头之日吗
是不是军医大学毕业的医生医术比普通医科大学毕业的高？,你想多了，军医有一大推杂七八拉的课，医学专业课学习的时间比地方大学少很多，还想医术更好？别做梦了
报考军医大学的利弊？,现在哪有什么分配的
我今年高考分数可上到武汉大学，中山大学，但家里人叫我读第三军医大学，我现在很纠结，望前辈指点迷津？,绝对不要去三军大！具体你可以搜一下知乎的各种军医大的生活，毕业把你扔到一个鸟不拉屎的山沟沟拔草养猪挖战壕，你就知道什么叫欲哭无泪。听哥的，朝中无人莫入军营，这两985学校出来的学生只要不蠢以后生活绝对会过得很滋润，别傻傻地去军医大把自己限制在一个乡村诊所一样的地方天天被人骂兽医。
在第四军医大学（FMMU）就读是一种怎样的体验？,谢邀    军事医学的殿堂，人民军医的摇篮。  前面例行先吹一下。 你要忍受军校的苦。 早上六点起床，每夜凌晨才睡。 内务被子要叠，课余体能要练。 公差勤务繁多，学习时间无几。 专业课程沉重，战术游泳全能。 你要做好什么苦都能吃，什么坎都能过的决心和信心。   学术水平以及教学的水平，我不得不吹一下。用心真的可以学到东西。学校里的几个院士，都会给本科生代课，收益良多。讲座论坛每日都有，学术环境自由进步。依托附属医院，临床教学也是我实习过几个医院里面最好的。接触过的老师从医德医风还是理论知识，都可以诠释人民军医这个神圣的名称。   你如果立志学医而且想在医学领域中有一番作为。作为过来人，我不推荐来这里。因为军校的限制，这里出路太少，路子太窄。当然你如果立志报效祖国，只求衣食无忧，或者能力出众，关系强硬！学长欢迎你！ 
第四军医大学心理学考研属于AorB类，具体有哪方面的要求，如何准备？,谢邀~！ 第四军医大学在西安，陕西地区属于A类，像内蒙古、广西、海南、贵州、云南、西藏、甘肃、青海、宁夏、新疆这些地区是B类地区。 分析17年最新招简如下：（学硕是统考专硕是自命题~！）   
有关第四军医大学，是不是军医大管理非常严，不让上网，不让用手机？,没那么夸张
军医大学学生怎么脱坑？,不脱军装，应届上研读博是唯一办法，而且不一定能脱坑，基层拔草博士也不少。（等分配之后再读研，读完基本继续回坑。）  脱军装，分为退学，买断，毕业之后复员，干满年限之后转业自主，这几种。
女朋友读军医大学，毕业后被分配到乌鲁木齐，有军籍有军衔，怎么才能出来？,我觉得你还是想想自己的下一任在哪比较靠谱
上海第二军医大学里面是封闭式的吗？,外人可以随意进出，但你不可以随便外出。
大一学生如何进入第二军医大学?,大摇大摆走进去
哪所军医大学好？,你想拔草吗 没有哪一所好
2017年，我考上了中国人民解放军海军军医大学？,被别人的回答邀撕了。 不想对撕，然而出于礼貌还是回应一下。 部队大院里长大，爹妈并不支持去指挥院校，来自东部某高考大省，高三那年过一本100多分，推掉所谓的直荐，抱着对医科和军校共同的执念来了这里，若干年。 然而第一反应和第一发现都是失望。 我在失望，周围的人也在失望，相信邀撕的某学长字里行间各种愤怒和针锋相对的MMP也是来自于对自己的选择和周围环境的极度失望。 同道中人。其实大可建个群留给大家共同吐槽发泄放松一下之后转身继续自己不得不完成的努力。 无论是抱着成为军人还是成为医生的想法来到这里的人感受到的都是三个字，没出路。我们无非都是带着自己的目标来到了一个不太恰当的地方。不同的只不过是我们的目标不同，仅此而已。 所以何必动不动找人对撕呢，同病相怜。 澄清一点，作风一词在军语中的解释是军人在思想、工作和生活等态度或行为风格。与原文略有出入，大致意思如上。并不意味着公差勤务多，周末限制外出等等就叫作风硬朗，公差勤务绕不开，哪里都有，多少是看队干有没有作死，周末限制外出到哪个部队都是一样的，可能邀撕的学长不太喜欢这样而已，但是对军人的职业而言无论学习哪个专业，生活作风，管理作风，训练作风都是起码的要求，不仅指挥院校如此，其他技术院校同样如此，不过稍微跑几步就吆喝要变成培养指挥学员，变成跑步大学这个是有点过分了不敢苟同;也未必重视管理与训练要和不重视本科生教育划等号，毕竟如此水管理水训练的环境下，过来人一定都没忘了一到上课自动睡倒的那些兄弟们  ♂️，学习还是自己的事。对于一心想成为一名医生而来到军校的人不愿意接受这些东西完全可以理解，人各有志。 暂时想到这些，也祝愿所有海陆空走出来和以后要离开的兄弟战友们不管去到哪里，都能拼出一个美好的前程。 以下为原答案。  ---------------------------------------------- 你的学长一枚。 平心而论并不知道现在的海军军医大学曾经的第二军医大学以后变成什么样子，更好，或者更坏 作为一个军校，二*大无疑是一个垃圾，原谅我用这样的名词代称自己的学校，但是在以后的日子里，水管理，水训练可能会成为你以后的生活，时时刻刻让你怀疑自己是不是真的在一所部队院校里就读。 然而话说回来，七位两院院士，全国排名前十的临床医学专业，护理专业，药学专业等等，外加目前的海军医学研究所，现在的海医大在学术成就上是有底气的。 然而让我自己来说，对我而言选择这里是一个十足的错误。 二军大会慢慢让你感到一种绝望。没有其他兄弟院校大气的校园氛围，缺乏军事化的气息，缺乏作为军人的自我定位，在堵上了你的医学路之后又让你觉得军旅之路也几乎无望。 所以给你的第一个建议是，在你进入学校之前，想清楚自己为什么而来。 为成为一名军人？还是为成为一名医生？ 如果你想像你的大多数学长学姐那样实现一个医学梦，那么很遗憾告诉你，这个概率小之又小。极低的上研比例，让二军大若干年来被自己的学生诟病，但同时也让二军大的学术研究始终由严格筛选下来的精英操作。 如果认定了你的医学梦，两条路可以走，第一，退学复读，考一个地方医科，二军大考研独木桥上落水的人多少可以碾压考取大协和同济交大的同届生。第二，从入学的那一天开始，做好忍受寂寞，把所有的精力投入学习的准备，这可不是一个高三备战，你的努力，要做五年。 当然，也假定你为了成为一名军人，一名优秀的军医而来。那么首先明白，军医的本职就并不是为了留在医院里，成为吴孟超曹雪涛王红阳这样的人，你的位置就是在基层部队，你和学习机械，电子，通讯，指挥的其他军校学员没有什么不同，你们都只是军队序列的一个组成部分。你已经毕业的学长们有一个通病，在基层的养老院抱怨无处施展自己的才华，在基层最贴近实战的一线单位又抱怨工作的苦和累，对此不想评价什么。但仍然，你可能面对各种冷嘲热讽，面对前面若干届学长的洗脑和所谓的保研经验的诱惑，但是认清自己的身份。 你们是幸运的一届，拥有军籍，有新的专业，有新的人才培养方案，有更严格的毕业考核制度，赶上改革的大好时机，我和你们一样希望，这里有一个翻天覆地的变化，告别那种糜烂的状态，告别那种半死不活的生活作风，建立起一个军队院校应有的责任感和荣誉感。 马上要开学了，愿你未来五年里，不忘初心，走好自己的路。
想在重庆沙坪坝第三军医大学附近租房，房费大概会是多少？在哪能找到比较多的房源？求建议，谢谢！,我觉得网上的还是可以参考下，最好实际看下环境再做决定，还有你说的是老校区还是新校区？
本科临床医学生，想考研军医大学，有什么建议？,哇塞 你好 我过来打个招呼 温州医科大学口腔医学专业大一在读
医学生想参军 考研可以考军医大学吗？或者什么时候参军比较合适?,我回答问题回答够了！你们不要邀请我了…
军医大学就业问题？,至少不用自己找工作，地方医科大学毕业生就算博士毕业也得自己找工作
第二军医大学临床药学研究生好考吗？,还好，最好能联系下 导师。
上海大学与第二军医大学合并后，排名会上升多少？,就算合并还是国内二，三流高校。 诸位同学多数是高中和高考的失败者，在某些人眼里你们撑死也不过是崆峒，峨嵋，华山，跟少林，武当的弟子没法比。幸好大学的学习内容和方法跟中学完全不同，光靠强记硬背不管用。哪怕高考高几十分，也不能保证基础课上完后再考一次还能高几十分。记住在功利社会读书不是目的而是手段。 有能力的同学请不要在乎过去跟差生同流合污，人要看将来，努力修为自身，争取毕业后若干年后超越那些少林，武当弟子。过了半衰期真金白银才会露底。 最后要说如果是书读头若想在学术上有建树一定要去国外镀金。
考军医大学以后生活是怎样的，以后工作如何，考研怎么办，是不是很困难。？,没读过军医大学，抱歉了
军医大可以像普通大学一样随便进去玩吗？,不知题主想去哪所，三所规定都不一样的 
开学高二了，想考第二军医大学八年制，这个和五年制比起来怎么样啊，收分高吗？,八年制比五年制好不少，但是分也高，而且八年制很累
2011年军医大学临床专业毕业，部队基层服役5年，今年复员，年龄29岁，未来如何规划职业？,考研吧，你的学历本科，在医科里面太低只算起步，基层工作经验对你的加分不多，因为行内人一般都知道基层军医从事些什么工作的，要进大医院一般不受待见的。 还是考研最实在。 毕业出来32岁，还算年轻的，二甲以上的医院都很有机会的。 本来想建议你在职读研的，不过听说去年开始就不再允许在职读了。
高校新生去当义务兵第二年考军校的时候可以考军医大学吗？,可以，但不推荐
请问去年在第三军医大学开展的气管干细胞移植效果怎么样，不是骗人的吧？,根本没这回事。
华科同济医学院公卫本科生考第四军医大学预防研究生如何？（问题特别宽泛因为还不是很了解）?,军医大学开始缩招了。今年听说一个哈医400+的预防生考四军医没考上。最好打听清楚吧。 同济公卫的牌子在那儿，很好奇为啥要对四军医考。
有没有军医大学的学长学姐出国读研的。？,有，自费公费都有。
研究生读军医大学怎么样？可以近视吗？,研究生上军医大学近视不是大问题，学校的研究生分入伍和不入伍两种，入伍就得达到标准，但只要不是太严重都不是什么大问题的
23岁第四军医大学学员，面临下部队基层该何去何从？,05年入第二军医大学读书，整个五年木有好好学习，应届考研没有考上（10年我们学校348应届线，我339）。 毕业分配到太行山里，开始自己的觉醒，是我吃完午饭，听到战士们在那里嘀咕：“又来了一个胖军医。”（当时我们实习两年，毕业的时候体重飚到190，本人身高178）晚上熄灯后，躺在床上回想在校的五年，觉得再这么下去，一辈子就这样了。第二天开始，以减肥为首要目的，每天只吃早饭，晚上工作结束，背个沙袋在山里跑5㎞。三个月，减到150斤。 毕业后第二年，在繁重的工作任务之余，复习考试，459.5分通过执业医师考试。考前还参加本单位的比武，获得第二名，考完试，马不停蹄的赶到上级机关，参加比武，最终第三名。 12年年初，参加硕士考试，总分375。现在西京医院读书，去年硕博连读。 不是在炫耀我怎么样，我想告诉你，不要再迷茫无措，人都是要经历才会成长，我想你周围肯定也有这样的同学，他们从入校那天起，就定好了自己的目标，我要考研。于是五年的时间，都在努力的学习，刻苦的读书。最终的结果我想也不会差。 不要再纠结我要不要考研，要我讲，这是唯一能让你通过自己的努力来改变命运的方式，如果有一天，你去了基层，到时候想考，难度会非常大！ 祝好！
第二军医大学和天津医科大学应用心理专硕的参考书单和考试题型是什么？, 1．《普通心理学》，彭聃龄，北京师范大学出版社。【第四版】  2．《发展心理学》（第二版），林崇德，人民教育出版社2009。【以此书为主】  3．《社会心理学》（第三版），侯玉波，北京大学出版社2013。  4．《实验心理学》，郭秀艳 著，杨治良 审校，人民教育出版社2009。  5．《现代心理与教育统计学》（第四版），张厚粲、徐建平著，北京师范大学出版社2009。  6．《心理与教育测量》（第三版），郑日昌、吴九君，人民教育出版社。  7．《变态心理学》，钱铭怡主编，北京大学出版社2006。  8．《心理咨询与治疗》，钱铭怡，北京大学出版社1994。  《临床心理学》，王登峰，人民教育出版社2008。  9．《人格心理学》，美Jerry M.Burger著；陈会昌[等]，中国轻工业出版社（第八版）。【讲义为主】  10．《现代管理心理学》（第四版），程正方，北京师范大学出版社2009。  【补充】  《心理学与生活》（16版），格里格·津巴多著，王垒、王甦等 译，人民邮电出版社。  �vI����� 走这个大纲版，对了，你是要考医类大学的研究生吗?不知道你的本科是学的什么，这样的学校可能会有点限制 
可以告诉我，有一个军医大学的男友是不是很惨？目前我俩都大三，高中之后开始在一起。可以给我些建议吗？,没事的，毕业之后更惨
现在是医科大学大二学生，想去当兵考军医。请问大神们会有哪些程序？,题主心目中的“军医”应该是“在军队医院工作的医生”吧，如果是这样，建议你本科毕业后考军医大学的研究生，在研究生阶段可以入伍，从“在军医大上学的地方生”变成“军医大的军校生”，这样你研究生毕业后可以分到和医学有关的单位，比如医院，研究所，疗养院等等。如果继续读博，毕业后的分配就更好。 如果你现在去当兵，至少要再耽误两年时间，即使你们单位有名额，又让你摊上了，你又考上了，你上的专业也只能是“全科”（男）或者是“护理”（女），而不是你想要的临床（我们学校是这样）。全科要培养的是那种社区医生，分配单位在边海防，完全不是你心目中的那种大医院的医生。 手机码字，认真答，希望可以帮助到你。 点个赞呗～
如何看待首都医科大学并入北航，第二军医大学并入上大？,没看到文件之前都是无中生有。不信谣，不传谣。
如果高考成绩能达到，选上海第二军医大学or中山大学医学院or香港中文大学深圳校区？, 您好，在广东周边4个省港中深和中大医学分数都远高于上海第二军医吧。。？ 
军医大学本科毕业分配？,私聊
第四军医大学将来会改成国防医科大学吗？,改成人类医科大学吧
军医大学里女生的日常（学习训练等等）？,你先考虑清楚。读军医大，是读军校。先不说大学是军事化管理这些小苦，军校毕业是要服从分配的，军医分配尤其差，很容易被分配到边远艰苦地区的基层单位。这是大苦。  并且一旦分配进入工作，你就是国家的人了。不想干了辞职走人？对不起部队不兴这一套。军医原则上要干满20年才能正常离开部队。  你想毕业进大城市医院或者科研院所？或者分配之后干几年再调进去？对不起，可能性很小。你家里没有副军职以上的近亲的话，就算你有钱也不一定能办成。  何况我国的基层单位，各种事，各种苦逼。只有经历过才知道。  你既然想学医，不妨报考地方医学院。就算高考发挥失常，读个一般的本科也行，毕业再努力考名校研究生就是了。医学本来学历要求就高，要做好长期学习的准备。  但是随便怎样，如果你抱着一颗当医生的心态的话，绝对不要报军医大（包括同样服从分配的地方医学院国防生）。
在第二军医大学（SMMU ）就读是一种怎样的体验？,谢邀。 在高考前自己孤陋寡闻，的确没听说过这个大学，也对军校没有什么认知，阴差阳错就来到了这个学校，过程就不提了。在二军大上学呢，的确感觉和听我同学们说的大学生活不太一样。首先，毕竟是军校，有很多和地方上不同的规定，相对而言自由会少一点，而且会有很多杂七杂八的事情要做，美其名曰公差，这也是大家经常抱怨的事情，尤其在休息日或者临近期末，还有就是很多各种各样的检查，也是让大家非常苦恼的，有时大家的反应都还是很负能量的。大家在一起谈天说地，吹吹牛皮，都会提及到自己以前高中同学谁谁谁很学霸啦，谁谁谁又出国啦，谁谁谁又去哪旅游啦，谁谁谁的桃花运呀，还是有点羡慕的，还就就是各种对自己现在生活的调侃呀，吐槽呀。在二军大上学这几年，在学校里也听闻或者见过不少很牛的人物，也认识了许多性格各异的同学。现在分配形势不像以前了，所以很多怀着一颗能够毕业读研规培然后在军队医院工作梦想的人来这之后感受到了现实的并不是那么顺利吧，但是很多人还是在坚持着，努力着（很遗憾我不是其中一员），每个人都有自己的算盘吧。大学在二军大这几年，我经历了许许多多我以前自己都没有想过的事情，经历很多，酸甜苦辣，有的熬一熬也过去了，快乐也会在心中留下美好的印记，丰富自己的阅历，大学嘛，就是丰富自己经验的地方。当然，还有很重要的就是一帮子和自己交好的兄弟们，一笔宝贵的精神财富，其实用财富评价友谊很不好，友谊比这崇高多了。几年学学上下来，我感觉我的收获不少，印象比较深的就是很多很不情愿做或者不想做的事情，虽然心里一直在咒骂抱怨，但是还是都多多少少干了，过去了就过去了，再一个就是身体上的锻炼一直没有停下，虽然没练出腹肌：（。 看见这个问题，脑子乱得很，也说不清楚到底体验了什么，或许，对坐着来上几杯，就能想起来咯。   最后  最后的最后，真的不推荐大家首选。
军医大学毕业生怎么能进部队医院？,工资高，单位舒服，得有大关系。
