国际经济与贸易专业考研的话，国内（港澳台）哪所大学比较好，最好在南方这边？,北京也有贸易很好的大学。
大学报考了经济学，毕业后能做什么？,经济学能干啥？ 如果你只是想毕业以后找一个对口的工作，去学摊煎饼吧，去学开挖掘机吧，去学会计吧，去当程序员吧。你为什么觉得这些好找工作呢，因为这些工作你不用自己做决定，人家跟你说摊个饼你就摊一个，人家说挖个坑你就挖一个，人家说记个账你就记一个，人家说编个软件你就编一个。你是一个工具，工具当然好卖啊，只要还有钉子就有人买锤子啊，只要还有螺丝就有人买螺丝刀啊。可是你只想做一个工具么。 经济学，尤其是本科经济学教育注重的是什么，没有那么多的数据分析，做模型，政策评估，教你的是用经济学的方法思考问题。这个方法靠谱么？我当然会跟你说靠谱的。当然你肯定不相信我，可是从美国总统那么多经济智囊团来看，我想它也是靠谱的。可是会思考有用么？会思考能找到工作么。你去应聘摊煎饼的时候你可以烙张饼在那儿，说，你看，我会摊饼。你能跑去跟谁说，我有思想么。大家都有思想，怎么证明你的思想比别人的深刻有效呢。如果你接着往上读，你可以写论文。可是你只是个本科生啊。找工作的时候，参加的是两分钟淘汰一批的面试选拔啊，面试你的也不知道是哪里来的小喽啰啊，他没时间也没能力看出来你有思想啊。 可是思考问题的能力就真的没用了吗？机会成本告诉你没有免费的午餐，每个选择都是有代价的。沉默成本告诉你，过去的付出都不重要，要看未来对你是不是有益。相对优势告诉你，即使和什么都不如你的人合作，你也可以变得更好。帕累托优化告诉你，不是所有斗争都是你死我活的，要多想想有没有双赢的局面。外部性，告诉你，很多时候不是人们素质差，不地道，只是他们做决定的时候没有想过会波及到你。再不济再不济你什么都没学会，至少也记住了经济学的大前提，所有人都是为了最大化自己的收益的。这至少能帮助你在和别人谈判的时候投其所好，在追求女友的时候别跪在雨里哭天喊地。你还在问我为什么？因为你哭天海地你看着是很感动，可是对你人家女生有什么好处。没有。你展现出你的体贴，你的能力了么？没有。有个能在雨里跪很久的男生会出现在她的效用函数里么？恐怕不会吧。有多少学科不仅兼顾了你的职业发展还顺带的教你追女友迎娶白富美铺平人生道路~ 所以经济学能干啥？经济学是研究人的，哪件事又不需要和人打交道呢。所以它能帮你把每件事都干的更好。我不否认很多招聘的和学习的人都对经济学有误解，如果你的目标只是找到一个工作它也许不是最适合你的学科。如果你的目标是在二三十年以后发展的更好，经济学也许能帮到你。在这点上，历史，中文，哲学，这些不受待见的学科也许都比那些好找工作的学科管用。那么你的目标在哪儿。
2016年对外经济贸易大学考研小弟求指导 ？,我有啊，可以免费送你
对外经济贸易大学留学预科怎么样？,楼主.申请硕士想申请什么专业尼.英语成绩如何？学校以其鲜明的“国际化”办学特色和金融、贸易、管理、会计等主干学科教育资源的优势，培养面向世界的复合型精英人才，被海内外誉为“外经贸黄埔”和“CEO的摇篮”。给你发个链接. 对外经济贸易大学信息学院1+3，1+4国际预科班   希望可以帮助到你.
中国药科大学的国际贸易与经济，和工商管理 还有英语，这三个专业对文科生来说很吃亏吗？,并没有很坑，同学们也都是十分优秀的人。大多是本省前百分之五的学生。老师也十分优秀。老师十分优秀。老师十分优秀。重要的事情说三遍。而且毕业的师兄们现在有好多都是总经理之类的人了。。我们开学的时候院长请来一个我们国贸专业的师兄。。在江苏豪森。。国际贸易部的总经理。。很棒的。。
在中传，对外经济贸易大学读国际关系，准备考研，读研是什么体验?,就挺不错的 需要实践能力强
对外经济贸易大学和北京师范大学哪个相对好一些？求详细综合分析（含专业、环境等多方面）,不管北师怎么低调，多年来始终是北京地区（画重点）的四大名校之一，贸大是近年来火起来的，但在北京地区的资源优势声望机会还是不如北师。个人觉得大学还是看底蕴的。（2016年北京高考贸大分数线涨了10分左右还是比北师低7分）就算是前景，北师也不错，虽然槽点很多，但还是那句话，考的上北师的人才能黑她。
2016年想报考对外经济贸易大学国际贸易学专业，希望推荐有关专业课815经济学综合的辅导机构？,不建议报考辅导班
对外经济贸易大学是一所怎么样的学校 ？,要读书选贸大，要找乐子…欢迎来北语。  但是只有国际政治(国际经济方向)，而且研究生入学要求HSK6， 所以先问问你同学汉语达到什么水平了。 如果汉语水平不够，还是欢迎来北语学中文啊！当然贸大是很好的一个学校。
怎么看待对外经济贸易大学虹远楼发生入室盗窃未遂，学生诉求失败的事件？,为什么手机不能改！摔！什么鬼！伐开心！ 好了 吐槽完毕。楼主来更新了。 题主的提问还是很有建设性的。 在朋友圈我也被刷屏了一阵。 完全能理解作者满满的吐槽，毕竟涉及自身的安全，还是夜半惊魂。 设身处地，哪怕只是有人大半夜把我闹醒，起床气也是免不了的。更何况是一个陌生人进入宿舍，简直是炸毛！  但是 学生诉求失败 这个观点就值得商榷了。  就我目前所知，已经加强了虹远楼的安保工作。窗户的限位器也已经在安装中。 具体为什么不能安装防盗栏， 详见截图 。 在朋友圈看到有学妹如是说：“消防安全只是幌子，装了限位器照样跑不出去，就是不想花钱” 孩子，你知道限位器是防君子不防小人的么？表示实力破拆过一次限位器    对于小偷来说，从外部破开限位器所增加的难度和吵醒室内人员风险带来的犯罪成本已经足够让绝大部分人忘而却步了。  然而在这里我还是得为我贸的老师说几句话。 首先，就我所接触的老师，无论是上课，还是办理一些学生事务，或有囿于规章制度循规蹈矩，或有平易近人，或有严肃正经，或有可爱逗比。 然极少人是罔顾学生诉求与权益的。 以下分享几个片段吧（好开心呀，又吃成长快乐啦！） -------------------------------------------------------------------------- No.1  大概是上学期，我可怜的室友因为专业课没选上去找教务处的老师。 回来之后，他一副日了 的语气跟我吐槽，教务处老师花式卡、明明学院都搞定了还不给办blablabla 然后有一天我去教务处，发现那个老师实力训走两波因为选课的学生。 当然还有我TAT 我有次在征得处长同意的前提下，找他办理事务照样被各种训斥。 我当时真的有点 阎王好见 小鬼难缠的感觉。 真的是日了 了。 也是这个老师让我感受到 行政有点官僚啊。按理说我贸商科如此，也不知道哪里来的歪风邪气。 No.2 相比坐办公室的老师，和我们接触比较多的保卫处、主管教师保障、e卡学生证补办的老师给我的感觉就超级nice。 比如保卫处的老师虽然凶啊，但是你混熟之后他天天找你唠嗑啊，你敢信？！一聊就是一节课啊！ 我们办活动时，各种寻求帮助。“老师，这个投影坏了！”“老师，这个电箱帮我们开下” 我记得有次办完活动，物资丢在大活，我单刀赴会，发现物资有点多啊我去！ 最后还是老师帮我搬出去的TAT  最近有次补办e卡的时候，e卡掉到机器夹缝里了（不要问我怎么做到的，我只想买个彩票） 上楼找老师，老师开开心心一路感叹我的人品       ------------------------分割线------------------------ 以下是我贸权益部次日在微信平台上的回复。          利益相关:贸大学生 图片来源:   http://  mp.weixin.qq.com/s?  __biz=MzA3NTAzNDUxMg==&amp;mid=400178832&amp;idx=1&amp;sn=8d6971a77ce6051df9295651aec3955c&amp;scene=0#rd      
如何评价对外经济贸易大学新建留学生宿舍问题？,那个新楼貌似是教学楼吧。留学生宿舍现在空位据说还不少啊，我两个同学全是大一中间室友就搬走了这隔了快一年了他还是一个人一个宿舍呢。而且大三留学生学校建议是搬出去住的，于是很多学生就搬出去住了。。。
对外经济贸易大学怎么样？,看你想知道什么，就业、排名、出国、升学、科研还是？？
考研，同济大学管理科学与工程和对外经济贸易大学经济学，如何选择？,推荐，贸大的经济学，经济学和金融这几年就业特别好。而管科的就业近几年属于一般。且贸大在北京，经济发达，就业机会多。
如何评价对外经济贸易大学新任校领导？,最新更新，目前已经确认，在首经贸强推新生强制晚自习政策的是我校某分管学生工作的党委副书记(他以前是管职业教育那方面工作的，所以强行把我们首经贸的学生当高职学生对待也是醉了)，并不是王稼琼校长牵头搞的。所以强制晚自习这个黑锅，王校长背得稍微有点冤。他应该也不会在贸大推行这种傻逼政策，贸大的朋友们大可放心了。  看到这题目感觉必须要答一下，本人是首都经贸大学09级的学生，已在首经贸读书7年目前刚刚毕业留校工作。本人在首经贸读书的这七年时间基本上和王稼琼校长在首经贸的任期重合（我大一入学的时候他好像刚刚当上校长），作为一个王稼琼任期下的亲历者，我想说的是，这些年首经贸的发展速度之快可以说是有目共睹的。 记得我当初大一刚入学的那个时候，首经贸基本上就只是一所一本线学校，录取分数比北京市一本录取线高不了几分，几乎被其他几所同级别的北京市市属市管高校按在地上摩擦。当时学校在网上的口碑也不是很好，曾经还被说成是京城四大染缸之一。但是，过了没两年，感觉首经贸突然莫名其妙的就火了，录取分数线一年比一年高，直至去年达到顶峰理科录取线达到一本线上50分左右，几乎跟同为市属高校的211的北京工业大学五五开，这进步不可谓不大，在往常根本是不可想象的。我知道贸大的学生录取分数很高，不会把这点分数看在眼里，但是王稼琼这几年对于首经贸的贡献不应该因为首经贸的层次比贸大低就被无视。首经贸近年来的快速发展，在北京市属市管高校中的逆袭可以说王稼琼是肯定有其功劳的。所以，对于王稼琼的能力我觉得贸大学生不需要太担心，显然这个人并不是一个没能力的混子，而是有那么两把刷子的。 至于在其他评论中反复提到的新生晚自习制度，这个制度我记得大概是13年左右在首经贸推行的。当时我在读研一，学校给各学院布置新生晚自习任务的那个会我还参加了，因为当时我们学院的老师有别的事就让我替开会。我当时一听这事也是觉得这就是个拍脑袋政策，以前类似的政策也推行过但是并没能坚持下来。所以我当时也以为这事应该做不长，真的没有想到居然能坚持到现在（下礼拜新生军训回来我就得开始值班盯晚自习了233）。确实这个政策我个人直到现在也是不支持的，理由有两点： 1.想学习的学生不用强制他也会自己上自习  2.不想学的学生强制上晚自习也只是换个地方玩手机 不过，鉴于首经贸的生源组成和质量来看，在首经贸推行新生晚自习制度也并非没有一点道理。首先，首经贸作为市属高校，在招收学生的时候以北京生源为主（大概六七成左右），我自己也是北京学生，有点自黑的说，在学习积极性自觉性还有努力程度上，北京学生总体上跟外地学生相比确实有一定差距。所以强制晚自习对于那些内心想好好学习，但是自觉性比较差的北京学生还是能起到一定效果的。而贸大的北京生源占比并没有首经贸那么高，而且再加上本身生源质量就比首经贸高很多，我接触过的不多的几个贸大学生几乎都是非常热爱学习的那种人（自愧不如），所以我觉得王稼琼校长在贸大继续推行新生晚自习的几率并不高，毕竟两个学校的具体情况和学习氛围有本质上的不同（希望不要被打脸）。 总体来说，根据过去7年王稼琼在我校的工作成果来看，贸大学生还是可以期待一波新校长带来的新气象的。还是祝愿贸大和我校将来都能越办越好，共同进步！  ————————————————更新的分割线————————————————————— 评论区里有同学提到我没有说首经贸突然变火的原因，所以这个回答没啥营养，其实主要是我当时也只是名学生而已，对于学校领导层面的事情确实不太了解，所以答题时本着严谨的态度不敢妄言。不过如果事后回过头来分析一下的话，我个人认为大概包括以下几个原因，不过因为只是事后诸葛亮罢了，不一定完全正确，仅供大家参考吧。 1. 首经贸近些年对于改革的态度相对积极，而且大方向走在了正确的道路上。 首经贸作为市属重点高校，对于自身的定位非常明确，就是立足北京，服务北京。最近这些年首经贸搞了一堆诸如特大城市研究院，CBD发展研究基地这类服务于北京市发展建设的机构，给北京市政府承担了一部分智库的作用，再加上总理夫人以及各种副市长校友的神秘加成，更容易获得政策和经费上的支持，毕竟有钱好办事。 另外就是，近年来首经贸在服务学生和信息化的改革上面下了很大功夫。最明显的就是出入校园全都要刷校园卡，进出宿舍要刷手验证身份，大幅加强了学校里的安全等级。学校周边的樊家村人口成分比较复杂，治安有点乱，在安装这些安保设备之前，本人就曾在学校里丢过自行车。所以，我认为对于一个学校来讲，能保证学生的人身和财产安全是最重要的。此外学校自习楼还引进了电子占座系统，彻底解决了以前学生每天大清早像打仗一样抢座位的问题。另外还新建了一座学生自助结算，机器人炒菜的黑科技食堂。最近还听说学校用了10年的本科教务系统也要升级成新的黑科技版本，据说能彻底解决期末查分和开学选课崩溃的问题，前几年学校也为所有学生宿舍加装了空调，等等。总的来说，我认为这些年来，学校路线或者改革基本上都是围绕着服务学生，为学生提供更好的学习和生活条件来展开的。学生是学校发展的根本，所以可以说王稼琼校长在任期的这些年还是为学生做了不少实事的。至于大家吐槽最多的晚自习，虽然确实不是什么好的政策，但是对于首经贸的多数学生来讲还是能起到效果的，可以说也算是勉强符合首经贸的具体情况，一棒子打死并不是客观的评价。当然我之前也说过了，我觉得晚自习政策完全不适合贸大这种学生学习普遍自觉的学校，如果到时候真的在贸大推行了你们就可劲儿骂吧...233
在对外经济贸易大学谈恋爱是一种怎样的体验？,啊啊啊!  谢谢邀请， 我刚上猫大的时候也考虑过在大学谈恋爱的好坏，后来发现校内的男女比例 2：8（80%女孩子）而且这个百分之二十 的男人当中，真的不缺少又聪明又幽默的小帅。。。同志。对， 我说的就是Gay。 我交了很多很好的男性朋友，但是早就放弃对谈恋爱的希望，如果题主是个女孩子的花，我建议你还是好好读书吧！哈哈  
在对外经济贸易大学观看北京市高校模拟面试大赛是一种怎样的体验？,膜拜大神们 
对外经济贸易大学商务英语专业跨考人大会计专硕有多难？,谢邀，每年大概一千人报考，最终录取50个人，初试卷子难度不大，但是考的人多，压力很大，复试考专业课，难度较大，我知道的就这么多，题主可以再问问贵贸考到我人会计的师兄师姐，多打听打听。
大学专业中贸易经济与国际经济与贸易的区别？,鄙人就是财经学校贸易经济专业的贸易经济和国贸学的课程差不多（我们学校是这样），相似程度很大！==
上海财经大学中外合作项目国际经济与贸易专业在学校专业中怎么样?,工商的嘛，很容易混个高绩点的。专业好坏嘛，个人觉得，如果你是真心想学知识，不建议你去工商学院。
复旦大学经济学院有些什么研究生专业啊？, 复旦大学研究生招生专业及参考书，慢慢看吧：）  020101政治经济学:  ①《政治经济学教材》（第十三版） 蒋学模主编 上海人民出版社 2005年  ②《通俗资本论》洪远朋著 上海科学技术文献出版社 2009年  ③《西方经济学》 袁志刚 高等教育出版社 2010年  ④《微观经济学》 陈钊、陆铭 高等教育出版社 2008年  ⑤《宏观经济学》 袁志刚、樊潇彦 高等教育出版社 2008年  ⑥《现代西方经济学习题指南》（第六版） 尹伯成 复旦大学出版社 2009年  ⑦《国际经济学》（第二版） 华民 复旦大学出版社 2010年  020102经济思想史:同020101政治经济学  020103经济史:同020101政治经济学  020104西方经济学:同020101政治经济学  020105世界经济:同020101政治经济学  020201国民经济学:同020101政治经济学  020202区域经济学:同020101政治经济学  020203财政学:同020101政治经济学  020204金融学:  ①至⑥同020101政治经济学①至⑥  ⑦《国际金融新编》（第五版）姜波克 复旦大学出版社 2012年  ⑧《现代货币银行学教程》（第四版） 胡庆康 复旦大学出版社 2010年  ⑨《投资学》（第三版） 刘红忠 高等教育出版社 2015年  020206国际贸易学:同020101政治经济学  020207劳动经济学:同020101政治经济学  020209数量经济学:同020101政治经济学  一、025100金融硕士专业科目推荐阅读书目：  （含基金管理方向、复旦-里昂1+1双学位硕士项目、在职金融硕士专业学位项目）  1、姜波克：《国际金融新编》，复旦大学出版社2012年第5版。  2、胡庆康：《现代货币银行学教程》，复旦大学出版社2014年第5版。  3、刘红忠：《投资学》，高等教育出版社2015年第3版。  4、朱　叶：《公司金融》，北京大学出版社2013年第2版。  二、025300税务硕士专业科目推荐阅读书目：  1、杨斌：《税收学原理》， 高等教育出版社2008年第1版。  2、杜莉、徐晔：《中国税制》，复旦大学出版社2015年第5版。  3、吴旭东、田雷：《税收管理》，中国人民大学出版社2014年第5版。  三、025400国际商务硕士专业科目推荐阅读书目：  1、黄亚钧：《微观经济学》，高等教育出版社2015年第4版。  2、尹翔硕：《国际贸易教程》，复旦大学出版社2005年第3版。  3、姜波克：《国际金融新编》，复旦大学出版社2012年第5版。  4、强永昌：《国际经营策略》，复旦大学出版社2001年第1版。  5、张纪康：《跨国公司与直接投资》，复旦大学出版社2011年第1版。  四、025500保险硕士专业科目推荐阅读书目：  1、徐文虎、陈冬梅：《保险学》，北京大学出版社2014年第2版。  2、徐文虎：《中国保险市场转型研究》，上海社会科学院出版社2005年第1版。  五、025600资产评估硕士专业科目推荐阅读书目：  1、陈信元：《会计学》，上海财经大学出版社2013年第4版。  2、朱　叶：《公司金融》，北京大学出版社2013年第2版。  3、刘红忠：《投资学》，高等教育出版社2015年第3版。  4、朱  萍：《资产评估学教程》，上海财经大学出版社2012年第4版。 
对外经济贸易大学在出国留学上不如综合类985吗？,不太乐观，但今年正态之后会越来越好的，以前90分可以去的学校，以后85分可能就可以去了 
如何看待对外经济贸易大学一大一学生文章《同学，听说你要保送了？》？,我只说一下，我是他的同学，但我真的看不惯他的说法。自己数学差就是他自己的原因，一周两节数学课，总共14周，你问他自己去了几次，有五次吗？自己翘了那么多节课，在宿舍里睡觉看剧。明明有那么多的时间学习，自己浪费怪谁。只会怨天尤人，总觉得自己高人一等，就这种人，上了大学也没有用。
对外经济贸易大学与吉林大学如何选择？,能考上贸大的话吉大随便选专业吧...
大学时经济独立是一种怎样的体验？, 如果你有女儿，请不要让她过早的经济独立！！！如果你是女孩子，请不要过早的经济独立，好好享受大学生活吧。 答主今年20岁，是个女孩，现在在二线城市上专科，开学就是大二了，可能不是完全的经济独立，我只想把我的经历写出来。希望能给你帮助。  初中不好好学习，差两万上高中，没上。最后上的是一所离家最近的中专，因为不用住校，爸妈方便看着我，专业是市场营销，呵呵，万金油专业，当时的我看来不用学数学真的很好，第二年的五月底，学校安排实习，我爸说你想去，门都没有，我妈是支持的，后来听说他们半年没有说话。  实习是卖保险，没错电销，当时不满十八，隐约觉得应该要继续上学，从早上九点看电脑到晚上六点半，一年时间，二百多度的眼睛，增加到四五百度，因为这份工作眼镜再也摘不下来了。 厌倦领导每次开会指名道姓的某个人业绩还差多少。  年底十八岁生日是自己过的，室友发烧，陪她挂急诊等她输水很无聊，出去上厕所的时候顺便买了一个生日蛋糕，舍友说你生日？我说 是啊，十八岁了。   第一次参加工作就是电销保险，其实也就第一个月哭了一个月，受不了客户的恶语相向，和偶尔这个月工资花完了，饿一顿什么的。  但是因为是销售，并且是电销，偶尔班上发言总是看起来从容不迫的样子，没有女孩子的害羞。做事独立，遇事有自己想法和看法， 有时被同学评论做事太有目的性， 我就笑笑，卖保险时想业绩更好，我会选择成单最有效的方法，现在到了学校就有会寻找把一件事做到最好的办法，大概是唯一的好处了。  第二年回来了，家里一团糟，爸妈彻底不说话，最后自己找学校报考，单招，录取，体检。自己交学费4500，大一第一年最后生活费不够了刷的自己的信用卡，最后用的学校发的三千贫困补助还的。  关于补助，因为很早出来工作，比较会察言观色，争取贫困助学金时我上台没说话就开始哭，利用自己女孩的优势成功拿到贫困补助。  没有题主说的奖学金  大一经济独立就是这样的体验。  开学就是大二了，现在是暑假，在某教育机构做话务员，今天是第二月的第十二天，赚的是大二的学费，15号发工资，但是15号要交学费4500，目前仍在发愁，要说是什么体验的话，大概是冷漠吧，从17岁工作时，近一年没有给家里要钱，也很少给家里边打电话，一个月没有一次吧，对亲情的淡漠，原来大一交学费被认为是懂事乖巧，每每家人对外表扬我都是自己赚的学费和生活费，现在则是，你还有半个月才开学，不要那么早辞职，多干几天。赚学费和生活费。  我厌倦每次父母吵架我爸把钱拿出来数一遍的背影，担心我妈把钱卷走，我厌倦我弟说买一双鞋399时我妈脸上的泪水。  现在纠结15号之前把学费存不到银行怎么办，目前打算刷信用卡骗我妈13号发了两千工资拿来交学费，之后用15号的工资还信用卡。  我爸是在外边摆摊的，还要还房贷一个月两千，说我弟花一百块钱做头发不是人。晚上会偷偷关电闸关空调省电。 我根本不想做一个经济独立的女孩。如果不是情非得已，请不要经济独立。   答主现在并不算完全的经济独立，但是真的很辛苦，而且根本没有多出去的钱，并且很讨厌拿着父母的钱在学校混日子的同学。和从来没工作过，左一个p2p右一个CtoC的同学。 
为什么对外经济贸易大学的知名度这么低？,谢邀 1. 外经贸在用人单位那里知名度可不低。申请外企职位被歪果仁老板面试的时候，直接用简称说你是UIBE毕业的，一般不需要进一步解释。北大人要是敢去说我是“PKU”毕业的，反而未必听的明白。除了外企，各投行、国有银行、大券商、保险等单位，甚至包括证监会银监会发改委这些皇粮单位，HR没听说过外经贸可以不用混了。  2. 当年有个段子，说某四大之一的HR部门常年被外经贸毕业的学姐学长们把持，每年恨不得一卡车一卡车地招外经贸的人去入职，然后一卡车一卡车地把首经贸的简历扔出去……  3. “闷声发大财”简直是本校从领导到老师再到学生的人生信条，知名度是什么？能吃么？还是赚钱要紧啊……  4. 本校知名度和国内综合大学的排名是相符的，只不过可能不符合高考录取分数而已，话说金融学院合并进来之后如果按照全校最低分数线的话说不定还有二本专业，这么看起来也是相符的吧……  5. 非综合类大学、特定专业领域本来就不需要也不应该有广泛的全民知名度，北邮通信工程和西交大管理学院说起这个来也是一把泪，盖因外国高校会有专业排名而我国没有而已……
2016年对外经济贸易大学法学院国际法考研？,爱考贸大题库
