暨南大学保研率为什么那么低?, 因为暨南大学不是教育部直属的985高校。 
暨南大学的本科生想考研到外校，目标定的挺高的，有可能吗？,不会。 我当时考研的时候心态和你一样，也有点自卑。考上之后发现周围很多本科二三本的非会计专业的。我本科一本非财经类院校会计系，报考的是财经类院校MPAcc. 大学几乎都是“一流的本科生，二流的研究生，三流的博士生”。 所以，加油吧，只要你努力分数考得高，完全可能考上，也丝毫不用担心被歧视。
暨南大学翻译系和广外高翻系比起来怎么样呢?,关于外语学科官方排名可以参考教育部组织的学科排名，2007年广外第三，2012年广外第五（因为上外07没参评，南京大学超过了广外）。今年的学科评估，广外依旧会第五，因为目前没有哪所学校的外语能在评估上有超过广外的可能（2012年的第五和第六评分差距很大）。广外外语虽然整体排到了第五，但论翻译这门学科，绝对是国内前三，mti这个专业就是由广外带头发展，最后推广到全国的。  民间排名有武书连，软科，校友会，虽然他们的排名有水分，但是每一份排名都显示广外是全国前五，这说明了广外虽然和北外上外有一定差距，但外语院校中还是领先其他院校不少的。 暨南大学和广外都位于广州，广东的企业如果找外语系的毕业生，第一认广外，第二认中大暨南，这个是有目共睹的。以下是软科的排名，看看就好。 
作为大一新生，在暨南大学养猫是否有存在的可能性？,不能准确回答你的问题因为我不是这个大学的。但常理上，大学都不会允许养任何宠物。有多方面原因（我读书的时候，曾经有养兔子的同学、兔子咬电线导致触电自身起火，烧了一间寝室）这点我是支持学校。 在学校允许的前提下，我仍然建议你三思。宠物的本质是一个生命。甚至有的人比喻成自己的孩子，伙伴。大学宿舍不可能多大，空间首先不足。其次，要看你经济条件，虽然挺多大学生现在还是日子过的不错，但是正常来说这是一笔额外的开销。如果真的喜欢猫猫，就给它最好的，或者至少要是“基本好的”生活吧。------来自一个自小爱猫，但是在没有买下自己的房产之前不会去养猫的人。因为出租屋在我眼里仍然不够给猫猫生活用。很多chu zu
考研小白~想考暨南大学的对外汉语研究生！！选什么？？？,我也想考语言及应用语言学专业 一起努力不 你微信多少
暨南大学和华南理工大学法学考研选哪一所？,不好意思，我之前对于一位匿名用户的答案比较激动，所以回答也诸多不妥，用词比较情绪化，现在重新整理一下我的答案。  这份答案也写了不短的时间了，当时正好和华工法学院蛮多交流，所以算是有了一点点了解吧。 总的来说，我认为广东省内各个法学院和中大法学院差距过大，可谓天壤之别，如果能考中大，最好不要考虑其他学校了。  中大稳压省内各个法学院，没啥好比的，而且中大是广东省内历史最悠久的法学院，校友资源，尤其是高端校友，完全不是其他法学院可以媲美的。  要说华工和暨大孰优孰劣，华工法学院是后起之秀，在聘请葛洪义教授来华工建设法学院之后，华工法学院发展非常迅速，从04年建院到现在更是跨越式发展，全国最高排名20名左右，知识产权学科也是有声有色，是教育部首批44所“卓越法律人才培养基地”之一。而且，华工法学院财大气粗，还有自己的图书馆，也是很让人羡慕的。  至于暨大法学院，则是广东省第二所法学院，历史仅次于中大，相对悠久，同样是“卓越法律人才培养基地”，也培养出了很多优秀学生，如广悦鸿鼎的首席合伙人黄山律师。近年来，随着广东省高水平大学项目拨款，我们学院也相继引入了许多年轻学者，尤其是新来的一位副教授毕业于芝加哥大学JD，师从波斯纳。我们学院也以知识产权为特色，拥有广东省唯一的知识产权重点人文社科研究基地，承办了中国知识产权法学研究会2015年会，如无意外，广州市政府拨款5000万的知识产权大楼也即将破土动工。  但是，其实我觉得这两所学院自身有很多问题，这个在我修改前的答案说的比较具体，但是很不好意思，我太情绪化了。  我们学院的优势是民商法和知识产权法，尤其是民商法是学院的传统优势，从葛洪义教授、徐松林教授和贵院举办的论坛来看，我估计华工在各个部门法应该都是比较均衡的，而且华工有去美国读LLM的项目，这也是暨大无法提供的。  对于关于国奖的评论，我不是很清楚暨大研究生国家奖学金的评选要求，但暨大研究生的整体质量肯定是不如华工的。  关于生源的评论，研究生暨大远逊华工，但是人文社科类本科生暨大确实要比华工好，前两年暨大本科文科录取线大概比华工高5-10分，最低排位高3000-4000名左右，但是现在时过境迁，华工发展十分迅速。  我说暨大法学院的社会评价肯定不弱于华工，是基于广州人传统观念中就是“暨大文科很好”，“华工理工科很强”，没有恶意贬低的意思。如果以后不打算继续做研究，只是准备在广州就业的话，暨大和华工在人文社科上的就业竞争力几乎没有差别，暨大在新闻经济领域或许还略微胜出，评论有人说华工法学的硕士录取线已经超过暨大，那也不错，我们地处广州CBD，收分还不高，说明我们学院性价比就比较高了。
16年河南考生过一本线83分，选武汉理工还是暨南大学？,别学工科 最后的忠告  工科大学不要谈人文素养了
华南师范大学与暨南大学心理学考研哪个学校好？,  暨南大学 是中国第一所由国家创办的华侨学府，是目前全国境外生最多的大学，是国家“211工程”重点综合性大学，直属国务院侨务办公室领导。刚刚说过暨南大学的人力资源、心理测评是非常非常强的，如果有对人力资源方向感兴趣的，人力资源和工业心理是很好就业的，当然这个基础和临床方向不是，但是人力资源竞争一定很激烈的，当然大家不要出现扎堆现象。去年看到分低，今年扎堆报今年分就涨了，这种现象怎么避免，只能保证咱们总分高~！  2014年分数线是356；2015年40人进复试刷掉了15个，招生25人，分数线最低分是327；16年最低分353分，所以暨南大学的分数线不稳定取决于报考学生的人数和成绩，张老师强调高分才是王道~！     华南师范大学 是211院校，准确来说华南师范大学每个方向都有博士点，而且各个方向实力超强，华南师范大学不招生同等学历，一般情况下是要求学术学位。  当前学院和学科的科学研究主要集中在四个方向：学习认知与脑科学研究，心理健康与危机干预研究，语言认知与发展研究，心理统计与测评研究。学院现共有教职工71人，其中专任教师51人，教授24人，副教授20人，博士生导师19人，硕士生导师41人。博士学位获得者42人，在国外、境外（香港）获得博士学位或有一年以上留学经历者33人。国家级教学名师1人，全国优秀博士学位论文奖获得者3人，广东省“珠江学者”特聘教授2人，教育部“新世纪优秀人才”支持计划获得者4人。  15年华南师范大学学硕343分，专硕320分  16年学硕363分，专硕342分  可以看出报考人数只增加不减少      第一：华南师范大学既有学硕也有专硕，暨南大学只有学硕。    第二：华南师范大学与暨南大学都是211院校，但是心理学综合实力华南师范大学是心理学一流院校，排名前十。    第三：华南师范大学与暨南大学学硕目前都是全国统考。    最重要的是根据你个人的规划，你为什么考研？你希望通过考研带给你什么？确定好学硕还是专硕？考上就可以还是一定要考名校？英语怎么样？还有学费等等这些都是你要综合分析考虑的哈~！ 
暨南大学在上海的口碑和名气怎么样 作为本科背景有多吃亏？,一定要说清楚，不是济南大学
我是天外大一翻译系的学生，以后有考研的打算，想给自己定个目标——想问下，暨南大学的高翻怎么样呢？？,我感觉天外没必要考暨南
普高怎样才能考暨南大学？,发挥优势（重要） 查漏补缺 基础分全部拿到的话 咬咬牙 能来暨大 加油
湖北理科生今年573 超一本线63分 请问报暨南大学有希望吗？,为什么非要读这个呢？并不是那么好的选择
广州暨南大学考场的，有要找2017年BEC高级口语搭档的同学吗？,请问你已经报考了17年五月份的高级吗？搭档找到了吗
理科生 是去华南理工大学服从分配还是去暨南大学挑专业？, 中国大学中， 完全不需考虑专业的， 只有清华北大。  所以你的比较， 去华工， 可能是什么专业，  去暨大， 可以挑什么专业。   最重要的难道不是你喜欢什么专业吗？ 
如何评价暨南大学110周年校庆？,暨南大学和复旦大学、南京大学、南开大学等的区别之一是暨南大学始终没能建立起一个良好的理科，ESI就出现空缺，近年暨大在工科建设上也慢了一点，理工学院理应完全拆散，成立物理与光电工程学院、化学与环境工程学院、力学与土木工程学院、材料科学与工程学院和食品科学与工程学院，理工交融，协同发展。校内的科研院所要注意避免重合、重复建设。  广东省在国家985工程建设中没能再多争取一个名额，上海的华东师范大学可作参考。  暨南大学的110周年校庆活动尚未正式举办，暂时不好评价，都说暨南大学的经济管理学科很好，那么希望这次校庆上能看到更多的优势学科的优秀校友，另外想说的是，希望暨南大学番禺校区能够扩到至少2500亩，比起很多大学动辄4000多亩的新校区（包括中山大学深圳校区），暨大这点太少了，同时，珠海校区和深圳校区的面积也应达到1000亩以上，才能保证校区的基本需要，珠海校区还可以沿山脚扩建，深圳校区目前考察的地块只有八百余亩，显然是不够的，而且校区交通不便，周边环境较差，地块质量与南科大相距甚远，也不如中大的深圳校区，希望暨大领导仔细斟酌。  校庆是一次总结，也是一次展望，更是一次动员，全校上下擂鼓向前。  祝愿母校尽快迈入全国大学综合实力前45名行列！
是去四川大学服从调剂，还是留在广东去暨南大学呢？,川大比暨南是强太多了...如果你没有什么专业上的强烈倾向，也不排斥出省的话其实我建议川大耶，大不了去了以后转专业呗
深圳大学和暨南大学行政管理研究生哪个比较难考？,深大行管分数线恐怖死了…而且深大也是一年比一年吃香，毕竟深圳主推的学校
要怎样才可以考上暨南大学。。。?,数语外随便选一科交白卷，其它科目正常答就可以了吧。
我是保送到大陸的一名文科的港澳生，現在準備重考暨南大學，我的決定正確嗎？有什麼專業推薦？,不要听其他人说只要你事港澳台，就肯定收，事实上不是这样的。如果你有观察历年对港澳台华侨华人和外国留学生得招生简章，你会发现总的招生人数在下降，如果你要到暨大读书，你可以考两校联招。专业选择的话，你都读了一年大学了，还不知道自己喜欢什么吗？
考入暨南大学生对日后出国留学有哪些潜在优势？,暨大跟很多国外大学有合作有交换生名额的，交换过去就可以直接在国外读研了，这样在国外考研成功几率更大。 不过，只要雅思托福成绩不错，专业课绩点抓好，在哪个学校都一样～～
暨南大学住宿费用如何？,不很貴 能接受價格 二人宿大概5000一年 其他便宜一點 具體貌似1000多快2000（四人間）
东北大学与暨南大学哪个更值得上？, 暨南大学，广州加成。东北大学烂学校。 
考研行政管理中山大学，华南理工大学，暨南大学哪个好？,华南理工最好，就业，精度都是最好的。中山大学规模大。这2所都是985。 暨南大学就算了
被暨南大學國際學院金融學和台灣國立成功大學統計學同時錄取了，該怎麼樣決擇？, 通常來說是成大好，不過既然都鎖定英國申碩了，還是話先別說死，看看兩間大學能交換或雙聯英國學位的有哪些，查查看交換有沒有偏重在某幾個科系，比如說成大統計系屬於管理學院，我查了一下是這樣的:    有雙聯或交換可以去，如果到時能拼到申請雙聯或交換英國最好，大學交換一個學期，你可以省去未來讀研適應環境的問題，不適應那里的學風還能對人生計劃做調整，如果比較困難就找找有英國歷史背景的學校。  暨南在歐洲地區來說，西班牙跟德國可交換的學校比較多，英國只有布萊頓而且不提供交換名額，在暨南讀書只是可能在系內名次上比較占優勢...... →_→ 至於兩者學校位址跟便利性就不說了，我想題主應該已經有所抉擇。 
南方日报名记者强*暨南大学女实习生，对此你有什么看法？, 说明  1，没有任何女生不应该自我保护，不需要有自我防范意识的意思  2，对于该案件，34条均以假设女方描述为真实情况为前提  3，该案件中，女方有没有反抗且不做议论，她确实带着懦弱的调调，但这跟大部分处于同样情况下的女生态度相似，算了吧  4，跟进宾馆之类的，无法揣测当时具体情况，但确实直到最后一刻，她都没有意识到自己尊敬的老师只是想睡自己   一早看到微博，仅作为一个女生，气得不行。   受害的女生说  “我以为我走进的是真相与正义的圣殿，没想到是食人的地狱。”   看得特别难受。   以前看过一句话，“我有罪，因为当罪恶发生时，我在场，并且我活着。”   然后发现居然很多人又开始说 【是女生没有自我保护意识】【谁让你要进宾馆】，对这种键盘侠，只想说你们他妈就是人渣。 ——————————————————————————  大学第二专业是法学，刑法老师在案件举例时常说到强奸案。整个班级无一不对这种行为深恶痛绝，它表示了在一方处于身体上的绝对优势时，对弱势一方实施强制性行为。绝对优势，强制，每个词语都让我联想到受害人的绝望和无助。  我要说起这件事，是因为南方日报记者成希强奸女实习记者的事件。然而这并非是一个偶然，而此前也在南方日报实习过的其他女生也立马发声支持。  然而我想要说的，是那些在屏幕之后，带着若有若无笑意的键盘侠，对他们，我只想说一句，你们他妈就是人渣。  成希对于受害的女生来说，是自己实习过程中的一位严厉的老师，是自己人生旅途的一位指引者。这位女生对他的信任，是基于对新闻行业的信任，对南方日报的信任，对这个社会的信任。我们都知道罪恶在发生着，无时无刻，恐怖暴力，ISIS，持刀砍人，强奸，这些事情每一刻都在地球上发生着，可我们总抱有侥幸心理，总觉得这些行为都是小概率事件，不会发生在自己身上。一位在新闻行业实习的女生，永远不会有指导自己的前辈、老师会用这样低劣的手段对待自己的准备。  大部分的犯罪，都是没有预防的，可能发生在你平时常去的电影院，可能发生在一家倍受喜爱的夜店，发生在人来人往的火车站，而当它发生的时候，你可能在，可能不在。同样，对于受到侵害的女生，她预料不到这场意外的到来。  那么，键盘侠们，是否【天黑之后不出门】【和任何异性保持十米距离】【练好防狼十八式】【随身带着防狼喷雾】【不管春夏秋冬，谨记长衣长裤】就可以杜绝妇女受害的可能性。  爸妈辛辛苦苦把我养这么大，不是为了让我天天预防被强奸的。  是什么助长了这样的事件？是你们的姑息，是你们对受害者不保护反而冷嘲热讽，是你们的愚蠢。  大部分被伤害的女生选择沉默，选择自己内心的煎熬。是因为除了法律的制裁（当然，有时候法律也不完全保护，不用来辩），更多的是害怕周围的冷眼，害怕你们有色眼镜下猥琐审视的目光。你们从不保护和怜惜受害人，你们认为他们咎由自取。  刑法老师说到一强奸案时说，少女也许只是下楼倒垃圾，倒垃圾的地方就在小区里，天那么热，她穿着背心和短裤，她心想三分钟就回去了。谁能想到就在这样的三分钟里会发生什么意外呢，她又到底需要防着谁呢？  如果你们有【保证妇女儿童不受侵害准则】，麻烦发我一份，谢谢。 
