现大三 本科医学类 高中文科 政史地都不错 现在想跨专业考研 马哲 学校华中师范大学 求指导？,排名比较高，出路比较窄，三思后行
华中师范大学教育学考研报名具体详情，谁清楚呢？急需！, 1.中华人民共和国公民。   2.拥护中国共产党的领导，愿为社会主义现代化建设服务，品德良好，遵纪守法。 3. 身体健康状况符合规定的体检要求（同普通高校招生体检标准）。 4.考生的学历必须符合下列条件之一： （1）国家承认学历的应届本科毕业生。 （2）具有国家承认的大学本科毕业学历的人员。 （3）已获国家承认的硕士学位或博士学位的人员。 （4）已获国家承认的高职高专（大学专科）毕业学历人员。     我校对已获国家承认的高职高专（大学专科）毕业学历人员（即同等学力人员）的报考条件的设置为：①高职高专（大学专科）（不得跨专业）毕业满2年（至2014年9月1日），②外语通过大学英语四级（或研究生招生专业目录中其他应试语种四级），如应试语种为二外的也需提供应试语种四级证书，③高职高专（大学专科）毕业后有在普通高校本科阶段、成人高考专升本阶段、自学考试本科阶段，学习过与报考专业相关（亦不得跨专业）的8门本科的专业必修课程的成绩合格证明（成绩单）、须是高校教务部门或省级自考办出具。上述条件①②③为报名时必备。对国家承认学历的往届全日制本科结业（无本科毕业证、仅有本科结业证）生和应届成人高校（含普通高校举办的成人高等学历教育）本科毕业生，我校按同等学力人员的报考条件(即上述①②③项、往届全日制本科结业生和高中起点本科的成人高校应届本科毕业生可免去①项)审核考生的报考资格。      对国家承认学历的参加本科自学考试和本科网络教育未毕业的人员（即在2013年11月10日至14日现场确认时未能出示国家承认的大学本科毕业证书原件者），我校按同等学力人员的报考条件（即上述①②③项）审核考生的报考资格。 上述条件（4）的报考条件的设置，不含报考专业学位：工商管理硕士、公共管理硕士、旅游管理硕士的同等学力人员。      上述条件（4）的所有同等学力人员是否符合报考条件应提前电询我校研究生院招生办公室。 （5）报考专业学位：工商管理硕士、公共管理硕士、旅游管理硕士研究生的学历条件为：     大学本科毕业后有3年或3年以上工作经验的人员；或获得国家承认的高职高专（大学专科）毕业学历后，有5年或5年以上工作经验，达到与大学本科毕业生同等学力的人员；或已获硕士学位或博士学位并有2年或2年以上工作经验的人员。 （6）在校研究生报考须在报名前征得所在培养单位同意。 考生的最后学历学位如是境外获得，必须先至我国教育部留学服务中心认证。 5. 教育部"2014年全国硕士学位研究生招生简章"规定：（网上）报名期间将对考生学历（学籍）信息进行网上校验，并在考生提交报名信息三天内反馈校验结果。  6.我校的单独考试项目，为上海市人才培养专项计划。 7.在校的非应届本科毕业生（即大学本科1至3年级学生）一律不得报考，一经发现即取消考试、录取、入学、注册、就读、学籍等资格，咨询QQ400-6262-918 
华中师范大学好吃的食堂饭菜有哪些？,只说我比较熟的食堂 东一： 一楼 有全校最好吃的豆皮。米线也很不错推荐鸡汤和野生菌。今年食堂新装修以后最右边的学生大伙菜分量很足。汤煲饭口味非常多，可以自由选择。鸡扒饭的菜给的很多。 二楼 黑椒鸡排饭的米全食堂最好，菜也好吃，就是分量少了点。川南牛肉面月月盘踞刷卡榜前五名。小龙香蒸点有全校最好吃的小笼包没有之一。自选菜的藕夹和鱼块我最爱。 学子: 一楼 鸭血粉丝汤，荤菜三拼，豆花，蒸紫薯 二楼 烧鹅饭好吃的不要不要的 博雅: 肥肠面，广式煲仔饭天天大排长龙番茄鸡蛋配烧牛肉最好！ 桂香园: 一楼 最右侧包子超级好吃！喜欢吃辣的同学可以买藕丁和粉丝的。但是小笼包没有东一的好吃。长沙五谷粉很好吃，我喜欢肥肠和酸菜肉末的。肠粉全校最好吃没有之一！最左边粥也不错。 二楼 中间的几家饭菜都不错不记得具体名字了。 东二: 我只吃过二楼的北方面食，分量不要太大。山城简直就是打牙祭专场，又便宜又好吃！蜂窝玉米超爱啊！ 沁园春: 连一个好吃的都挑不出来的食堂我无话可说。
在华中师范大学四年没有男朋友是一种怎样的体验?,虽然还差几年毕业……但是没有男票我就有一种我赵日天注定月下独酌花前独赏孤独一生天上天下唯我独尊献身祖国的教育事业……的冲动感
在华中师范大学社会学类的大一学生想要辅修英语专业有什么意见或建议？感觉读完社会学会成为就业困难户 ?,你是哪位同学。。。
华中师范大学转专业有哪些条件?比例如何？,1.每个学院接收比例不同，专业也不同，所以要看当年具体要求。一般来说，转出人越高的专业，收人越多 2.转专业难度不好说，因人而异，但我身边只要想转的基本都成功了，有个转专业考试好好准备。 3.大学四年有两次转专业机会，一次在大一，可以跨学院转专业，第二次在大二，不能跨学院转，只能学院内转。 4.没有什么太奇葩的要求，祝你好运！
如何看待华中师范大学本学年实行三学期制的政策？,这种三学期制跟国外的三学期制差别还是挺大的，其实就是把暑假中间加了一个学期，让学生在暑假中回学校再学几周习。不是人们想象中的从“朝三暮四”变成了“朝四暮三”，而是从“朝三暮四”变成了“朝三暮二”，进一步缩减了学生的假期时间。  国外的三学期制比较普遍的是从3月下旬到11月中旬分三个学期来授课，中间的休息时间相对较短，而11月中到3月中这几个月是一段长长的假期，有利于学生集中开展一些社会实践活动，旅行和认识世界以及回家过圣诞节、过年等。 而我国效仿的三学期制则普遍是在两学期的基础上压缩暑假的放假时间，选择一两周来开个象征性的短学期，以表示和国际接轨，实际意义远小于象征意义。  好的方面：   压缩冗长的教学环节，逼迫教师精炼教学过程，重新合理安排课程设置。   可聘请一些知名学术人士短期任教，相对两学期制授课时间更短，时间更灵活。  和国际接轨，慢慢调整到国际比较通用的授课时段，相对方便学生的国际交流。    坏的方面：   学习压力高，作息时间调整困难（从小学开始就是两学期制），考试更加密集。   我国暑期普遍天气炎热，而大多数大学的宿舍、教学楼是没有空调的，在暑期集中授课带来的中暑等情况并不罕见，同时暑期也是火灾的高发期。   春、夏、秋三个学期中间间隔比较短，一些家比较远的学生很难回家，导致对学习的抵触和厌恶。    在不增长寒假的基础上开三学期，简直就是对学生的耍流氓。
华中师范大学第一次距离新闻这么近华师学子们你们的感受是啥？,烂校里面一群蠢货学生被人利用了，还一副热血沸腾，维护母校的蠢像。
男生在华中师范大学读免费师范生到底好不好？,本人是华师的女生，男生在华师就像宝一样，毕业找工作学校也是抢着要的，同样优秀的男生和女生，百分之二百选那个男生
华中师范大学的应用心理学在全国能占一个什么位置？,华中师范大学在全国屁都不是，除了它的师范类
2014年的免费师范 内蒙古地区的录取线怎么查，官网也没有 北京师范，陕西师范，西南大学，华中师范？,然而只能发一张图   只知道北师大和华师大的
在华中师范大学如何刷平均学分绩？,首先，你要会选课。在选课前把所有老师的给分情况了解一遍，包括平时成绩如何给，期末给高还是低，如何可以拿到高高的平时分，比如上课回答问题等。然后，你还要会考试，这个问题就略显麻烦，但你要相信，只要是考试，就一定有方法，考点题型老师的评价喜好等等要搞清楚，有重点的突击。最后一点，平时多和老师混个脸熟，请教的问题，报名课堂展示什么的，多做第一排，多做小组长负责人等。当然，以上都是技术层面的东西，像好好学习充实自我这类话我就不多说了。相信我，我就是这样成功的。
华中师范大学学前教育专业。希望去到一线城市的早教机构，如美吉姆，这些企业招聘要求高吗，需要考研吗？,北京的美吉姆招聘要求是本科毕业，英语过六级。这两个是硬性条件。  面试官看重英语口语，听你说英语是否有口音，并且要能熟练地与外教对话，否则没法上课。  第一轮面试有两个面试官，其中有一个外教，需要你用英语自我介绍，问你关于美吉姆的一些东西，这个要提前做好准备。  面试官要求你准备才艺，比如唱歌什么的，最好英文歌，上课就需要唱英文歌。  然后要看你上课的嗓音，让你在教室说几句话，看看声音大不大。  做几个简单的平衡动作，美吉姆主要是运动，要有较好的协调能力。  复试的时候运营总监也会问一些问题，不过进复试了基本也没啥问题了吧。  有两个月的培训试用期，非常辛苦，分中心觉得你OK了才会把你送到总部培训，费用蛮贵，十天6000块钱，这个公司出。  美吉姆的老师有国际学校聘请过去上课的，外教和老师都很认真，口语很6。  老师们都是和小朋友打交道，说实话个个颜值还挺高的。形象良好。  差不多就这些，总之不难，放轻松。当初我睡了一脸印去面试最后还是过了233。  美吉姆上课很辛苦的，口语不好特别痛苦，我是因为不是英语专业口语也不是很好，吃不消了就没再干下去了。但是那里是一个很好的学英语的机会，同事有些是外教所以听多了说多了口语进步非常快。  发现被一些早教or英专的学生收藏和提问了，我这俩专业都不是，完全搭不上边的偏商科专业... ———————————————————————————————————————— 大家不要再问我问题啦，喜欢早教，喜欢孩子就干下去，俩月培训好好吃苦。不喜欢早点走人，不要浪费大家的感情，不要等把你培训出来了又说不想干了。
如何评价华中师范大学与范冰冰在最近舆论中的所作所为和如今的处境？,那个说戏子的微博真的是华师的教授吗？就算是啊，那也是他以个人名义对这件事的看法，大家有必要把它上升到代表整个华师的看法上吗？华师一开始就答应让他们来宣传，不就已经充分说明了华师没有歧视演艺艺人吗？而且本来就是有些人在歪曲事实说华师赶范冰冰，我估计那个教授也是看不过去华师被黑，所以才发了那个微博，仅代表他个人看法，没有说整个华师官方都这样，大家不要夸大范围好吗？
求华中师范大学学科教学数学考研复习资料？, 一、复习资料获取方法  1、网络上找：可以去贴吧，论坛，聚英考研网之类的地方查找  2、找学长学姐借：可以加一些华中师范大学的考研交流群，在群里找到学长学姐或者问问那些手里有资料的研友，让他们分享下，比如你可以去这个群找找看：175736249  3、网络或者书店购买：公共课资料比较好买，比如书店、当当、淘宝之类的；专业课资料比较难买，需要去考研辅导机构购买： 华中师范大学考研专业课复习全书_华师研究生专业课复习资料_聚英考研网     二、哪种方式比较好  1、网络查找：免费、资料不全、费时间  2、找他人分享：免费、资料应该挺全、费时间  3、网络购买：收费、资料齐全、节省时间  孰优孰劣，由你定夺！ 
如何评价华中师范大学军训体罚事件？,华中师范2016届生科新生怒答。ʕ• •ʔ     这个不匿不行，不然一看身份就暴露了  (早知道不要一个名字通用了）       (ㆀ˘･з･˘）         （轻拍题主：  荣誉感啊同学，既然你是华中的，做点调查不可以？话说近水楼台先得月，你来知乎问这种问题，不如想法子找个生科的来问问容易些）  我想说，同学，能不能不要听风就是雨？新闻上说什么你就信什么吗？       不知道什么叫不良媒体，不知道什么叫炒作吗？         这个所谓的新闻没有基于事实说话，分明是为了达到自己的目的而胡乱夸大，扭曲真相，误导读者。       辅导员有让我们半蹲（内务太差），但不是跪下，并且蹲下时间大概为二十分钟，期间也没有说要求一动不动，累了拿手撑着地面，换腿蹲也可以。（半蹲 蹲完之后站起来的体会为（亲测）：双腿酥麻，但比起两天前集体训练时站军姿的感受，还是要好得多了。（那一天站军姿站了一个多小时，我极想打报告出列休息，无奈大一新生这么多人都坚持了下来，我都不好意思喊晕，就这么坚持着，站完自由活动的时候，膝盖那叫一个酸爽。）(｡ŏ﹏ŏ)      我们那个程度的半蹲还离“晕”还远着呢，半蹲不一会儿之后还是让我们坐着了。       这个字怎么读来着         跪dūn？    跪dūn？    跪dūn？？？？    m(_ _;)m      抱歉，我语文是体育老师教的，但这个动作我还是知道怎么称呼的。       新闻上说“跪dūn晕了几个人” ，mdzz，撒谎可不可以撒得高明一点？抽筋算是“跪dūn晕”吗？久蹲后突然站起来的头脑发昏也算“跪dūn晕”咯？        这种闹剧让人看了很心烦的说。    奇怪的媒体朋友们，能不能不要用谎言误导不明真相的吃瓜群众？  (๑´0`๑)       生科的辅导员老师很严格，大家就没有遇到过满怀斗志因而显得严厉的老师吗？而且咱们辅导员的严厉程度和我高中时候老师的严厉程度相比，不是小巫见大巫嘛。           至于“要求学生guì着擦地板擦到半夜两点”，     雾艹我怎么不知道？？？？  (ーー;)   辅导员说往届有学姐跪着擦地板，搞内务卫生搞到半夜两点才睡觉。怎么着这句话就变成了guì着擦地板到两点了？    跪着擦地板好像很吓人的样子，然而跪着擦好使劲儿啊同学，要不你蹲着擦也可以的，反正我的舍友来的头一天就是（自发地）跪着擦的。    那个与@学生来吐槽交流的生科院同学我是很服的，如果说所谓的聊天记录属实的话，那么，要么这名同学说话的时候在气头上，要么就是我走错时空了，我得找路回到我所归属的平行宇宙去。   新闻中晚上拍的那张照片是真的，不过这个拍摄角度加上作者独特的叙述技巧，让事情变得暧昧起来。   那个“受不了晕倒”的男生（是突然站起来晕）的感谢信息原本只出现在群里的，初读的时候我的感受是这名同学还蛮体贴，知道把自己的情况说清楚并且有道谢，结果被选进新闻里怎么就变味了呢？   （总有一种被背叛感(=o=;)）       总之，这个新闻就是生科院男生的怨言给别有用心的人所捕捉扭曲夸大而成的。  （亏教官们在辅导员训完话之后还对我们好言相劝并且表达了理解。平时严厉的教官原来如此善解人意，我的气一下就消了大半了('・ω・') 。身体上的劳累并不严重啊，有怨言的伙伴们还是要摆好心态。）   PS：后来辅导员到寝室来和我们谈心，坦诚自己确实有做得不对的地方，因而显得独断专行，并且询问我们对于其工作上的建议。     话说平常辅导员好严肃，这次的态度着实够软妹纸。（这大概算是这次恶劣的新闻事件所带来的小小好处吧。）    现在，亲身经历一遍“新闻事件”我有所领悟  （md我所以为的普通怎么就变得不普通了呢？）      新闻媒体可以传播积极向上的能量，也可以任性地反其道而行之，打着“揭露真相”的幌子，妄用自身的力量制造混乱。   （堂堂正正，求打脸） 
2016年华中师范大学中文系自主招生考试有些什么题呢？,我们计算机系的大概很简单。。。。。 是如何用信息技术解决老百姓生活难题。
请问特殊教育专业考研选华南师范大学还是华中师范大学比较好？, 就2017年的考研情况来看，西南大学特殊教育几乎是全国最难考的学校，考分几乎要360+才能上线。其次是北京师大；华东师范大学反而小年，320+有人进入了特殊教育的专硕；华南师大基本上350分才上线（最低分339分过线），最近几年报考华南师大的考生人数急剧上升，100+。从师资情况来看，华中师范大学的师资力量比华南师大优秀多了，但据我了解，华中师大由于有较多年的办学历史，那边的本科特教学生较不从事特殊教育行业，研究生暂且没做了解。而华南师大的本科生和研究生几乎都从事特殊教育行业。最后，看你个人的职业规划，假如读研回来还想回广东，建议在华南师大读研，对广东的特殊教育学校有了解，对入职选择学校会有很大的帮助。因为广东的特殊教育学校类型不一，学校的氛围不一样，你可以通过在读研期间，多参加见习实习，在特殊学校走走，了解氛围，更好地选择适合自己的特殊教育学校。假如你觉得无所谓，那么武汉市一座美丽的城市，也可以领略不一样的风光，华中师大是一所宜居学校。加油。 
华中师范大学范冰冰事件该怎么解决？,有人就是要黑华师，炒作，一开始就不该接这个烂摊子，网上的脑残又多，不明真相，听一些垃圾妖言惑众就跟风，sb
请问现在开始准备下半年的考研还来得及吗？（华中师范大学，学科教育地理）？, 时间已经很紧了，再不准备就晚了  另，推荐楼主补充：个人本科院校信息？个人平时学习实力？数学如何？英语如何？是否跨考？ 
准备18年考研，目标华中师范大学心理学，怎么准备？,我是17考的华东师大心理学，三跨，有啥问题可以问我~
本人文科生。面临高考我想考华中科技大学或华中师范大学。哪一个会比较适合我？,华科再怎么也是华科 换句话说能上华科，全国文科强势的学校也基本上能随便选了
华中师范大学心理咨询求助。？, 别去大学的心理咨询中心咨询。邻校心理咨询中心的老师很有可能非常“友爱”地把你咨询的内容和结果通报给你们学校的相关领导。当然，也不要去你们学校的心理咨询中心自首。跟那帮瘪犊子，你天真不起。  大学心理咨询之怪现状: 好个知心老师——大学心理咨询真实面  
华中师范大学高等教育专业怎么样？,华师研究生考试还是比较公正客观的，初试和复试成绩都会公示出来，18年考研还有4个月，好好准备初试，初试统考，对谁都是公平的，复试也一样，分笔试和面试，面试你好好回答老师的问题，没有老师会关注你来自哪里，要自信哦
华中师范大学怎么样？,作为一个大一的学生来说，没见过其他大学，但是呆在这里很不爽
华中师范大学为什么无法成为985大学？,这是无法言说的痛！华师的实力，尤其是教师的科研水平已经远远超过很多九八五高校了（连续两年武书连全国排行第十六），华师的整体水平也已经超过了部分九八五，华师每年排38，39，40，，而全国九八五38所，如果再评九八五，华师是当之无愧的备选！问题是我感觉华师与其他三所部属师大西南，东北，陕西师大一样，地域性都太强，华师的影响力主要还是在广东，湖北等中南地区。例如很多西南地区的同学得跑去西南大学应聘，很多东北的同学得跑去东北师大应聘，而像江西的部属师大同学，几乎都是跑到华师来应聘的
报考华中师范大学选汉语言文学还是中国语言文学？,中国语言文学是一个大类的专业，包括语言学及应用语言学文艺学，中国古代文学史，现当代文学等学科。汉语言文学应该是其中的一个学科，主要学的内容也有古代汉语，现代汉语，和上面学的也一样。中国语言文学包括的内容多，应该学一段时间就会让你们自己选择里面的专业，我们学校就是从14年设置的中国语言文学这个大的类别。具体报那个还是自己拿个意见，我就是学的汉语言文学，课程设置很多。你应该去官网看看它们的课程设置，培养方案及专业介绍。祝福你哦^O^
能否报考七校联盟中的华中师范大学美术专业作为第二学位？,不可以，美术专业哪怕是本校生也不提供辅修。
华中师范大学信管辅修文学，怎么样？,我现在是华师大二在读，本专业是财务会计教育，本专业已经课业很重，甚至专业课老师说，你们这学期就别选选修课好好上必修课，我本人是有出国读研打算，想往金融方面发展，所以辅修了数学，第一阶段辅修差不多结束，现在要开始第二阶段缴费了，也就是双学位，我肯定是要继续读下去的 既然你喜欢文学，而且我文学院的小伙伴课业也是比较轻松的，再说华师文学也是优势学科，我完全觉得你可以而且也有能力拿下双学位，至于会不会影响考研，我想说的是，大学里空闲时间很多，自己抓紧可以做很多事，不过希望你以后不要拿修双学位占用时间没时间准备考研来为自己的考研失利做借口，不过如果你有这个想法，还是好好读好本专业，（我不知道题主本专业是什么），毕竟任何兴趣成为专业都会失去乐趣。 所以，总而言之，还是要你自己想清楚，能不能坚持下来，有没有这个自制力。
华中师范大学的科研和教学水平早已远远超过了北师大和华东师大，为什么依旧无法成为985？,黑人问号脸?华中师范什么时候学术水平超北师和华东师大了?请拿出数据，不要意淫，这三者什么时候能放一起对比了？华中师范最多和剩下几个教育部直属师范争争老三老四，和老大老二就不要比了，不说学术能力比不上那俩学校，就说地域，那俩甩华中一大截好吗？
为什么华中师范大学寒假这么短？,学习使我们快乐 
华中师范大学 学科教学语文研究生 是公费吗？,不是哦，都是自费。但是有奖学金，学费不是问题
华中师范大学有哪些好老师呢？, 我来说几个数学与统计学学院的老师。   彭双阶老师，大学本科最后一门专业课《泛函分析》跟他学的，讲东西非常透彻，很直观。这门课应该是本科数学里「最难」的课程了，因为几乎综合了《数学分析》《线性代数》《拓扑学》《实变函数》等等前面学过的所有知识，而且抽象，但是彭老上课，所有问题证明的来龙去脉和几何含义都讲的很清楚。这种“把数学讲清楚”的功力其实是非常难得的。  王华老师，做偏微分方程的。这几年教的应该是最基础的《数学分析》。王老师对学生的成长是很关心的，初学大学数学，很多学生其实并不适应，但是王老师会引导和鼓励一下自己的学生，我感觉这个功夫其实现在大多数大学教师基本上都不愿意下了……  邓勤涛老师，这个老师非常「热爱」教学。真的是「热爱」，为学生讲课讲起来不遗余力，备课也很充分（没上过他的课，本来有机会跟着他学Topology的，可惜那个学期自己不在华师 ），工作之余还用业余时间录视频，免费放在网上给学生看…… 叫「听涛小院」，你随便一搜就知道。现在大学里像他这种老师，基本上已经不存在了吧……  阴小波老师，做计算数学的。这个老师非常严格，对人对己都非常严格。我跟他只学过几门选修课，还是类似于《数学模型》《计算机数学软件》（就是带你学MATLAB的）这种被数学专业的学生称之为比较水的课。他非常反感学生迟到，也坚决制止学生在教室吃东西，数学建模这种课，华师几十年的惯例就是开卷做题，或者写个实验报告交上去打分——但是你知道这种方法是考量不出学生有多大能耐的，所以阴老师自己一个人出题闭卷考——换言之，他很正直，刚正不阿的直，可能在他眼里，公平很重要。  郑高峰老师，郑老师的学术能力特别特别的令人钦慕，目前以我的知识水平应该没办法评价，现在转去做几何了——这一点懂数学的基本上都清楚，假如智商平平，在分析上能勉强混口饭吃，可是几何这么硬的方向、其实智商就能拦下一大批人了。郑老师常年教《数学分析》这样的基础课，上课从来不带书，基本不用ppt，基本上全部从头到尾手写——能做到这一点，其学术功底多扎实就不必说了。据称应该是华师数院最年轻的教授，现在兼任了一点行政工作，非常保护学生，这一点跟他接触过的同学都能体会到。  李波老师，大家都管他叫波波....特别幽默，还很随和，爱玩儿羽毛球，大家都流传的段子是：“要是研究生复试时你告诉他你玩儿羽毛球，他能直接拉你出去来两局”（2333当然是玩笑...），常年担任华师CUMCM竞赛指导老师，对学生的事情特别热心，有什么问题真的是能帮则帮，不能帮也会给你很多中肯的指导和建议。可惜没机会听他课，学术和教育方面无力评价，可以邀请李老师的亲学生  @无眠  同学来补充一下。  赵慧老师，应该是数统学院统计系的系主任，人特别漂亮，还很有气质...跟她学习的Mathematical Statistics，赵老师授课的水准我保留一下意见，可是她的学术真的是特别好，很高产，而且个人的经历也很传奇，本科是1997年河南师范大学毕业的，但是往后二十年至今的成长速度让人惊讶：华师的硕士、北大的博士、密苏里大学博士后，论文产量之高令人震惊，而且引用率也不低哦～特别佩服这样的老师，大家可以去她的个人主页，也可以去google学术查一下她的论文数据。更多的内容可以请赵老师未来的研究生  @卤蛋君   补充一下。  饶辉老师，当年教我《实变函数》的老师。饶老师讲东西在我看来已经有一些数理逻辑学，甚至是哲学成分在里面了，对于一些概念的本质挖掘的非常深刻。我是大四才去补修的这门《实变函数》，在这之前的那一年先在中央大学跟着研究生学了一个学期的概率论进阶，所以回过头来听实变函数的测度理论，感觉饶老师讲的内容触及到了非常底层的本质逻辑链，显然是个不可多得的好老师。    关于阴小波老师我再多说两句，有一件事儿很有代表性。他说过，这个世界上有两种临界状态很有价值—— 各行各业，都有一些处于顶峰却敢于冲击天花板的人，他们推动了人类文明的进程；还有一些虽然能力有限，但是在生活和环境压力面前能守住底线的人，这种人能守护人类文明的成果。   
在华中师范大学读研传播学是怎样的体验？,谢邀。 首先说明，我虽然是华师的学生，但我不是传播学这个专业，对于具体的传播学什么情况也不太清楚，建议你最好找个是这个专业的人来问，我不是，也不好过多的评论什么。 不过，不管你选什么专业，来华师，在华师一定是个好选择，华师的各种景是美不胜收呐！加油哦！
安徽大学 郑州大学 湖南师范大学 东北师范大学 华中农业大学云南大学 海南大学 长安大学怎么选？,云南大学。有过比以上所有其他学校都辉煌的历史，有着一流的自然环境和硬件设施（硬件设施不输一些名校），录取分数因为地理位置被拉低，大学十分的低调。至于专业，你还是仔细的去详查比较好，都了解的不太全面，随便说的话不客观。
华中师范大学？,好，可以。
华中师范大学2018考研的朋友有吗？,我是19年考
南京师范大学和华中师范大学综合考虑哪个好？,南京人在武汉念了四年书。 武汉南京基本上夏天一样热，冬天一样冷。 南财不是211，具体要怎么选看你专业兴趣等等，奥还有家在哪里了。 江浙的建议不要念华中地区的大学。
武汉的官僚气重吗？如何评价华中师范大学范冰冰事件？,你最好冷静一下，不要先入为主地认为领导就是想保官帽才不许剧组进校园，毕竟安保是一个很复杂的问题。 1.fbb发过这个活动的宣传海报，没错，一开始她是要来的，学校同意了，把佑铭体育馆租借，但是后来主办方又跟学校说fbb不来，于是地点改为音乐厅，之前那个海报就算废了。所以发生这样的事情，难道不是学校被坑了吗？ 2.至于学校临场处理的方式，说什么fbb不走就断电，很多人都觉得不妥当，可是学校说断电，fbb还说"我们可以点蜡烛，或者开手机的闪光灯"呢，不断电就更不会走了。 3.后勤系统烂不烂我不知道，我觉得不烂。宣传系统的事情我也不知道，不做评价。 4.停水的原因另一位网友已经说得很清楚了，是雄楚大道修轻轨的原因，不在华师可控制的范围内。 5.学校场地外租不是很正常的事情么？很多学校也这么干，为什么偏偏黑华师呢？要是不租，是不是又要有人说"为何娱乐节目和电影剧组都能在别的城市的高校顺利的入校园和学生进行活动，而华师不行"呢？ 6.华师除了厕所，能装空调的地方都装上了。 7.学校没有逼学生去佑铭。在学生宿舍没有全部装空调之前，学校为了让同学们晚上睡得更舒适，所以开放了佑铭。所有去佑铭打地铺的同学都是自愿的。而且这样的景象再也不会见到了。 ps:1.不维护说fbb是戏子的副教授（虽然不知道那人到底是不是华师的副教授）       2.假如这真的是电影和fbb的炒作，就我个人而言，从此对这部影片和这个人路转黑。       3.不撕。
在华中师范大学华大在线工作是一种怎样的体验？, 　　如果能够给我一个回忆的机会，我可能会不厌其烦、静静地坐下来想，或许那是华大在线最令人欣喜的发展状态。  　　但同时，那也是一种令人操心的状态。想想看，一群年轻气盛的校园记者敲开某个重要的学校职能部门负责人的办公室门，告诉对方，如果不能正面回答他们的问题，便不得不在报道中展示该部门不愿面对问题的窘像。  　　在我亲历的众多类似的场景中，那些喜爱面子和正面报道的负责人多半会将记者拦下，用圆滑的回答表示将会解决存在的问题。  　　在那种最“令人欣喜”的状态下，华大在线确实在内容上成为一个准市场化的媒体，我们除了和其他媒体一样善于捕捉校园里的新鲜事，也努力将自己打造成一家能够被信任的校园媒体，在内心深处，她的成员们被训练成真正的记者那样，忍心将自己多年生活的地方鲜明地分成完美和糟糕，歌颂其完美，同样毫不留情地向人们展示那些不愿示人的部分。  　　不禁回想起这些令人惭愧的细节是因为，作为高校宣传机构，华大在线未曾明显地向自己的成员强调宣传、和谐和妥协，却不厌其烦的训练记者和编辑的锐利的眼光、挑剔的词句和对冲突的直觉。在有助于实际问题解决的前提下，他们训练记者，去抓住管理部门和学生的冲突，因为他们相信，暗示的冲突和矛盾能够帮助人们从外部理解事件的核心，并有助于解决问题。  　　那个时候，不安分的华大在线不断尝试突破校园新闻报道的规范。那群学生记者已经不满足于宣传和暗示，而是用更加公开、深入和广泛的新闻覆盖来体现责任媒体的态度：报道学生与后勤部门的矛盾，报道校园交通事故，报道学生对教务部门的不满。  　　在国内，大众媒体的关注度主要来自于对不健全的政府职能的补充，媒体担当了原本政府、司法等机构的责任。在高校，年轻的新闻人也在通过对学生和管理部门冲突的关注中探索校园新闻的一种发展方向。虽然在当前，严肃的市场化媒体逐渐弱势并甚至消逝。   　　直到后来，我才从一位老师的口中了解到，如果没有主管老师，华大在线这种令人操心的状态难以维持太久。和大众媒体一样，会有被关注的职能部门对报道提出不满。难以置信的是，那些可敬的老师们说服了不满者，尽管他们告诉对方的是，不要高估报道的负面影响力（手动笑哭）。  　　其实连我们自己也无法准确评估那些负面报道的影响力。在一个忙碌的高校系统中，不起眼的实验性的校园新闻报道并不总能抓住重点。有时候，年轻的学生们也会将自己打扮成意见领袖，发表略带情绪的脱离自己知识体系的评论。它们也并不总能受人关注。尽管如此，华大在线未停止过要求自己的成员用挑剔的眼光看待自己的作品和各路投稿。多年以后，相信这种严格的训练已经随着许多进入社会媒体岗位的同学走出了校园。  　　一个人选择自己的职业或许存在许多不确定性，人们习惯于在家庭、爱人和兴趣之间博弈，但是我们却对在四年大学生活中选择一段做新闻的业余生活充满主动权。这段业余生活让我们时常放弃自己的周末去参加不靠谱的会议和活动，却让我们也在娱乐和严肃的变换间思考生活、找寻友谊。 
华中师范大学教育学研究生好考还是华科好考？, 教育学方面，华师好，这一点毋庸置疑的。华科的话，有一个高等教育还不错，其他的和华师就没有可比性了 
如何才能认识华中师范大学的妹子？,考上华师再说
