北京理工大学的电子信息专业和北京交通大学相比哪个更好？, 泻药，虽人在北理，但毕竟不是学电子信息的，不方便做任何比较与评价。 
北京理工大学，本科艺术设计，进校以后如何划分具体专业？工业设计偏工科吗？,你是17年的考生吗、打算报哪
北京理工和东南大学，我该选择哪一个？, 哈。 北京理工
北京其他高校的同学们是如何看待北京理工大学的？,离开母校几年了，看到破乎上的评论，突然想到了大学的一个舍友。舍友人品不错，成绩很好，在班上的人气是我等渣渣遥不可及的。 那时人人网在学校刚刚兴起，一天学校出事了，舍友就在人人网上发了一条状态。 十几分钟后，某学生干部看到了，到宿舍来批评教育，由于沟通不畅，发生了言语冲突。 之后，舍友被叫到导员班主任那边进行批评教育。 之后，舍友那个学年的奖励、荣誉称号通通落选。 之后，舍友变得乖巧起来，不再发表个人言论，只是转发一些学校的官方新闻，如热烈庆祝北京理工大学成功举办**活动之类的。 舍友一直积极入党，大学期间最终未能得逞。据说，每次班级通过，总是在学院里止住。
北京理工大学录取分数为何相差如此大？,在选学校前，可以多看看知乎
北京理工大学的物理菁英班是个什么样的地方？,北理物院…不是我黑…的确渣，北理工科才是王道
行政管理考研目标是北京的理工类大学 有什么推荐吗？, 相信你的底子肯定很不错的，北京管理类二期相对比较好考点的985院校：中国农业大学 、中央民族大学  211院校：中央财经大学、对外经贸贸易大学、中国政法大学、华北电力大学都是很不错的学院。  专业的话，企业管理是工商管理下的一个专业（二级学科）、行政管理是公共管理下的一个二级学科、人力资源大部分是企业管理的一个研究方向（部分学校专业比较强的作为二级学科招生） 
北京理工大学应用统计专硕的参考书没有公布，请问有人知道可以看哪几本吗？,考研论坛里有北理应统的经验贴
如何评价北京理工大学校园网？,只有在北京断网大学，才能在有生之年体验一次共产主义，我这辈子已经没有什么遗憾了。我已经确立了人生的终极目标，那就是study in BIT， work in BIT， die in BIT 。好了，不多说了，上网不涉密，涉密不上网。
请问北京理工大学本科美术设计类专业好吗？,我学的是工科，关于艺设的具体情况不了解。但是，肯定不会受到歧视，至少我不会。专业人少不等于低人一等。如果是妹子的话就更不会受到歧视了。
请问北京理工大学和对外经贸大学mpacc学费近两年各自多高？,  北京理工大学    北京理工大学管理与经济学院MPAcc招生简章          对外经济贸易大学    2016年会计硕士（MPAcc）招生简章（国际商学院）     3.学费：2016年全日制会计硕士学费拟定 5 万元，非全日制会计硕士学费拟定为 14.8 万元（两年共计），可一次性缴清，也可按年度缴纳。 
建立一个想北京理工大学那样的校内资源论坛需要什么相关知识和硬件设施？,校内资源分享论坛的难度不在资源 不在论坛 而在校内。  我本科也试过做一个类似的网站，用discuz做论坛非常简单；资源什么的，只要合法，符合学校规定，也不难。  难就难在，要达到高速，你得用学校的网络设备。比如中山大学的maxcell，都是用的学校的网络设备（服务器，网络），一秒十个G都不是问题。  看你能不能说服学校提供相应的设施给你了。
如何评价北京理工大学？,搁几年前我会说挺好的吧，985，211，军工口； 搁现在大概只能说，人生是一段旅程…… 感觉最严重的几个问题：   行政化官僚化极其严重，问一下搞过团委、学生工作之类的都知道吧，一切都是为了伺候和糊弄领导……   程序化制度化办公至今没形成，不开玩笑，为了一张一页的出国开会申请表，新手两个周的时间都不够……   最重要的一点，在这儿根本体会不到“ 学生是学校的重心 ”。看看联盟上各位硕士博士的遭遇，也就理解“贵校”这称呼背后的辛酸了。  当然，做好自己的事儿吧，改变环境很难，complete it and go. 最后验证 上网不涉密，涉密不上网 。
该如何备考北京理工大学计算机专业的研究生？,专业课找学长，像你这样的情况报个班也是需要的。
北京化工大学能源化学工程专业本科，先考研，不垮专业的情况下北京理工好，还是本校好？,我是能源11级的，化工行业都不好就业。行业饱和状态，材料化学也是坑，材料物理咱大北化没背景，化学化工都是坑。出去考公务员，朝九晚五，上班看报下班dota晚上陪媳妇，多好的日子。
北京科技大学与瑞典布莱津理工大学合作交流项目是否值得一试？这个项目靠谱吗？含金量高吗？,谢邀 其实不懂哇 bleking还不错的 如果来交换体会下挺好的呀
西安交大、华中科大、天津大学、北京理工、南开，志愿问题？,这么说吧，先想想自己喜欢什么专业、擅长什么专业。。。  数学好吗？物理好吗？化学好吗？  有些工科专业，对数学物理的要求非常高。。。  再者，说实话，这些学校里面，单从学校来看，华中科大的性价比最高，选个电气工程之类的好专业，绝对错不了，但是武汉的气候据说确实比较糟糕，夏天闷热，冬天湿冷。。。  北理工军工院校，在你列举的这些专业方向比较强势。。。如果你想从事这方面的工作，大可以一报，而且如果想考研到更高层次的学校，在北京也会有很多便利之处。。。  天津大学以工科见长，比较古板一些，有些专业如建筑、电气等如果能报得上，值得一试（不了解在河南的分数，估计够呛吧？）。。。工程管理也不错。。。不过，天津有个问题，民风不好，极品大妈大叔太多，服务业普遍评价很差，整体的氛围就是不适合学习搞科研。当地政府对两校也像是后妈似的，支持力度太差，严重影响了两校发展，目前天大和南开发展势头都不咋地。。。  南开大学，一个特点，名气大，其实徒有虚名、名不副实，大量专业就业应该挺差的。。。不过如果有出国的打算，它比其他理工类院校应该容易。。。发展疲软，原因同上。。。  中山大学，个人挺喜欢的，毕竟在南方，开放自由的风气好一些，气候、风景也不错。。。  西交，受限于地方经济发展，近些年发展势头也不好（区别于天津的“后妈”作风，只能说当地扶持有心无力），不过基础挺好的。。。气候肯定也不咋地。。。   ———————————————————————— 最后一点，有句话，大体意思是，你跟你的同学拉开差距最大的时期，不是初中、高中，而是大学。大学里面学生个人管理松散，90%要靠自己努力去学习摸索。不管是什么学校，什么专业，只要能抓住大学的宝贵时间，不断完善和强大自己，应该说最后都会有一个美好的结果。。。  anyway，bless。。。
北京理工大学近些年的发展是否又止步不前了？,不知道啊  一脸懵逼，难道又是保密项目？
良乡北京理工大学近期的生态楼女生跳楼事件是怎么回事？,保密是为了这样的情绪不要相互传染。                                                                     你不理解的那些 想要跳楼的孩子，或许此时还没有结束生命的勇气，却被已经跳楼了的孩子徒增了些许勇气，   去面对那令人胆战的高楼了。         学校没有力量去起死回生，却也能挽救生命。                   不造谣，不传谣，让事情平息，才是对生命最大的尊重。
如何评价北京理工大学无人赛车队发布的世界第一台无人驾驶赛车？,谢邀。  算是这个项目的半个当事人，后来因为车队的事情太忙逐渐淡出了。不过平常干活的地方和无人车的团队只有一墙之隔，加上那边的成员有几个就是曾经在车队干过的队员，所以交流还是不少，几位师兄也多有帮衬。由于不是团队的正式成员，技术方面我就不多说了，怕说错，主要介绍下背景故事吧。  这个项目的雏形很久以前就已经提出了，我印象中大概在14年底到15年初的时候，倪大爷就找过我，说要以他们实验室的名义找一帮人把银鲨二给改了，问我有没有兴趣加入。后来还带来几个将要在那边读研的学长学姐，大家一起碰了个面。事实上我们几个也就是在15年上半年这几个月里改车的主力。当时只是说要改，但具体的方案并没有明确，模模糊糊地提过要做轮边电机，要研究直接横摆力矩控制，也想到过做无人驾驶，大概的想法是使用GPS实现在赛道上最优路线行驶，达到尽可能快的圈速，这一块在无人驾驶领域里算是相对空白吧。我当时觉得这事挺好玩，有人出钱给你玩还不好吗，所以一口答应下来。  15年上半年就开始一边做银鲨四一边改银鲨二了，那会进度还不是很赶，所以能有比较多的精力投入进去。当时一起干活的几位学长学姐都没有造车的经验，甚至大多数本科都是其他专业的，因此刚开始遇到了挺多困难。机械系统差不多都有现成的了，车架还要改大一点放新的电池箱和双电机，悬架和转向基本不用动。电路方面算是按照我之前一年的经验去设计的，后来再回头看其实也不够好，不过毕竟没有规则限制，可靠性不至于太差。电池箱方面，原有的系统已经太老旧，由于设计问题充电也很不方便，所以决定外包出去做新的。大致情况就是这样。  其实春天的时候大家也是有一搭没一搭地干着，由于种种原因吧，重视程度不算很高。到了夏天，又开了一个会，把这个项目提到了日程表首页，同时也明确了分布式驱动和无人驾驶两个重点，做出来之后会依靠这样一个原型车作为实验平台，以它为基础开展各方向的研究。进度一赶人手就不够了，于是小范围招了一波人，主要是自动化和信息学院的，帮忙做电子方面的工作。到六七月份的时候我为了准备德国赛其实已经比较少参与了，印象比较深的是有一阵电机一直调不通，搞控制和接线的两位学长学姐加上我，三个人在西山的实验室里坐着大眼瞪小眼，一直到我们快要出发去德国的时候，电机才终于搞定。有了这个底气，德国赛上似乎倪大爷就去找组委会的人商（chui）讨（bi）关于搞无人赛车的事情了，当然我其实都是后来听说的，因为那几天一直在埋头修车……  比完赛回北京，看到在几位学长学姐的努力下车的雏形已经有了。八九月份修修补补，算是把车造了出来。还记得那个坑爹的外包电池箱厂家，把预充电的线接在了用来固定的螺栓上，导致刚开始一直不能上电，后来我查出来这个问题的时候也是哭笑不得。这时候的车还不能无人驾驶，主要任务是在有车手的条件下测试各种传感器在各种工况的数据。我跟着他们去过几次新港试车，不得不说实验室比我们车队土豪多了，晚饭吃新港镇上的肉酱拌面能加好几十块钱的烤串，让去过无数次新港却没在那正经吃过肉的我泪流满面。再后来又要忙中国赛的准备，我就又扑到了车队这边。无人车的团队从角落搬到了帐篷，后来又搬到了我们隔壁的房间，人员也是不断增加。干活的时候能看到他们今天加了个雷达，明天加了个GPS，整车控制器后来也换了很高端的OpenECU架构，感觉的确是很有生机的一个项目。大概到去年年底那会，有一次师兄从隔壁过来，很兴奋地说无人驾驶搞定了，自己终于不用再当“无人车”的“车手”了，大家就都笑了出来。  再后来就是Formula E和FSG纷纷推出无人赛车的概念（或者展示项目），不得不说倪大爷当年还是很有远见的，说别人提出来的时候我们已经做出来了的确是没有吹牛。趁着这个东风办了无人车的新闻发布会，我觉得不论对于我们车队还是无人车的团队，都是一次很好的宣传，把科研项目推到大众的目光之中是现在最常见的做法，我也认为这么做很有必要。  目前这辆车的无人驾驶主要是三种模式，除了之前提到的通过GPS导航进行赛道规划和最速行驶，另外还做了遥控驾驶和行人跟踪，当然后者由于实验室的军工背景所以被叫做单兵跟踪了，事实上这两种模式很明显也都是在军事领域中比较有用的。北理工的项目嘛，多少都会跟军工有些关系。  至于这个项目的意义，在我看来，更大程度上是一种前沿的探索吧。也许做出一辆圈速超快的无人赛车本身没有什么使用价值，但在这个过程中发展出的技术和应用，终究会被用来造福人类。这也是我们这些理想主义者最后的一点小愿望了。  希望我们和我们都能越来越好。
在北京，一个理工科大学的工商管理专业的毕业生想做音乐人，我可以怎么做？,指点：想干编曲，作品说话。  编曲的入行切入点很多，未来发展的可能也很多，这大概是音乐行业里最累，但保留最多可能性的职业了。具体到你的情况，20多首成型作品……我只能说，朋友，你还差的略远。这个行当里非科班的野路子混出来的也不少，但他们都是经过成百上千的活里磨出来的。和声、配器、曲式、视唱练耳、键盘演奏、MIDI技巧音频技巧等等，没机会在课堂上学，就得自己在活里面琢磨领悟。  热爱不是挂在嘴上的，拜个师傅学学、网上试试找点编曲的活、自己多扒歌多做歌，你的自我规划才会慢慢的明晰。
东南大学/华中科技大学/北京理工大学/华南理工大学 怎么选择？,说句实话，你的排名华科东南应该都去不了。 能考虑的只剩北京理工大学还有华南理工大学了。问题来了，两个学校都是理工类大学，文科专业不够强势。 报北理专业选择余地不大，报华工稍微可以选专业，但是不一定录的上金融学&amp;工商管理。 我说一下华工这两个专业吧 金融学:属于经济与贸易学院，四年大学城，宿舍好，都是带空调独卫的，饭堂也比五山好，不过位置不好在番禺岛，要实习什么的还要出岛，师资不了解。 工商管理:属于工商管理学院，大一大学城，大二到大四五山，女生应该住西区，宿舍就没有大学城的好了，好在装了空调了，饭堂普遍没大学城好吃，不过你可以去西区四楼&amp;东区二楼，有点贵但是好吃。这里不得不说，工商管理学院资源真的好，师资比金融学强，土豪校友多，有自己的图书馆，据说只给工商管理学院学生进。 关于保研，每个专业10%多一点，竞争还是很激烈的，而且你报了金融学的话会跟理科生一起排名，加油！工商管理会有一个专门文科班，不知道保研是不是单独算？
