复旦大学的考古学专业怎么样？,题主先看看这几个比较直观的图片。 如果你是本科成绩还不错我建议你考吉大，包括研究生。 但你想冲刺考北大，个人觉得北大的研究生一般般，因为不值钱。而且有名的导师只收北大本校学生。因为北清都是本科生最值钱。这是过来人劝解你。 至于复旦大学考古学，题主你侧重文科还是理科，因为复旦大学考古学的重点研究方向是分子生物学考古，其他的方向不及吉大和两个山大。只能说是学校牌子在南方有点名气，但是专业水准中等。上海一带的考古内容很杂，贯穿中国古代。可研究对象不是很有针对性。但是如果你想学博物馆学可以考下试试。 然后看你是北方人还是南方人。你懂的…   再来看你对考古学研究是不是够专业，如果你想更多的下地田野考察，建议郑州大学，因为河南实地就可以考察。不用导师带都可以。   还有就是你考古的研究分类和阶段是哪部分，最好按时段来划分。因为技能和方法在研究生阶段基本上都是自学。   最后看你以后是想搞科研还是想混学历找工作。                   个人浅见 最后不知道题主是男是女，女孩子的话建议你时刻准备好spf50++的防晒霜… 不然每年夏天你都会因暴晒，会被误认为黑非洲… 希望帮到你。
请问有人了解复旦大学公共卫生学院的林燧恒教授吗？, 林教授应该是目前复旦卫生统计唯一博导了，理论水平和应用经验都是一流的，香港人，美国常春藤毕业的博士，上课基本说英语，国内生物统计领域少有的好教授。 
在复旦大学技术科学试验班就读是一种怎样的体验？, 15技科生，现已分流计科，很感谢复旦提前批  (1)从填报志愿说起吧。我也不知道为啥会选择在复旦读工科，况且技术科学试验班方向里就微电子说得上是数一数二的，其他专业全国影响力不值一提。既然阴差阳错地选择了这里，那就入乡随俗秉承自由而无用的精神好好学习啦。  (2)技术科学试验班一共13个分流方向（在我入校那年微电子还未独立），大专业意味着在大一通识教育过程里“什么都要懂一点”。大二分流到计算机专业后我蓦然回首，发现大一学的一些基础课程完全派不上用场，例如魔法电子学基础，我学的是CS不是计算机工程啊学模电没卵用好不好。所以个人感觉大一就是用来适应环境，或者是找明方向的，大二才是真正的大一。  (3)至于学习体验的话可谓轻松。我记得入校开学典礼的时候， 被灌输过大量毒鸡汤，例如“绩点3.0+是一件十分不容易的事情”，“图书馆每天都是人山人海”等，大一过后才发现认真学习绩点都不是问题，读书馆的话，呃，人山人海仅限于本部。  在技科的第一年学的科目会有点多，不过相比高中生活还算可以啦。还是有闲下来看书打球撩妹的时间的！如果立志分流进计算机做一个老老实实的程序员，要秉承“撩妹要趁早”的金玉良言啊！  (。-`ω′-) 
复旦大学心理学招收专硕吗？, 收啊 - -收了三年了 感觉影响力都在夸大 报考人生也在增加  我是今年刚考上的考生 还没复试  说实话觉得前两年的复旦347是最容易考的 现在有点儿错过那个点了  
复旦大学的学生如何看待上海交大这所名校？,你问我支持不支持，它是我男朋友我怎么能不支持     续作： 《天啦噜闵大荒那个土了吧唧的官配又来骚扰我了》     From wechat and weibo，其中第一，三，续作来自复旦约么公众号，二是交大同学写的，今天天气晴朗啊。
复旦大学公正财富排行榜有意义吗？,我觉得很有意义啊，倡导一种“君子爱财，取之有道，用之以德，传之随心”的财富观。。。 不过理念是一方面，还是要看这些富豪和社会如何反应了。。。
为什么复旦法学在全国的排名那么低？这与复旦整体的声誉并不相衬，究竟原因出在哪里？,这要看你看那个排行榜，最近教育部的排名复旦是低了点，但是，你看QS的排名，  QS大学排名（英文：QS World University Rankings；简称 QS rankings），是由教育组织Quacquarelli Symonds（QS）所发表的年度世界大学排名。排名包括主要的世界大学综合排名及学科排名。另外，QS还推出了两个独立的地区性排名，即《QS亚洲大学排名》及《QS拉丁美洲大学排名》，而这两个地区排名的准则在某些方面都与原本主要的世界大学排名有所不同。QS一开始是和泰晤士高等教育组织合作，两者在2004年起每年都联合发表泰晤士高等教育-QS世界大学排名。后来两者解散，至2010年开始推出各自的排名。QS世界大学排名继续采用固有的排名准则，并与《美国新闻与世界报道》等传媒机构合作推出世界排名。  在这一排行榜中复旦法学院在中国大陆法学院中排名是很靠前的，从2014年就是前200，2015年到2016年度排名是101至150（50名内不分先后），同一档次的有中国政法和人民大学，上一个档次51-100中有交大，前50名以内有北大和清华。近四年来复旦法学院是有进步的，可能跟换了院长有关。 复旦法学院历史太短，学校不够重视，新建法学院要把排名搞好并不难，关键是盯住你的目标排行榜，制定好考核指标，给位置给待遇给重奖。这方面交大就比复旦做得好。 你完全可以放心，复旦本科毕业的文凭绝对对得起你付出的努力，我也算你校友，但是本科不是复旦，对本科就能考上复旦的同学，我是很崇拜的。
复旦的妹子，如何才能认识上海交大的男生？,一看这种问题，就知道果然是复旦读研的……  复旦本的妹纸们，压根就看不起交大的GG，其实他们连北大的GG也不太看不上，其实他们连清华的GG的不太看得上，其实他们连复旦的GG，也不是太看得上……  这就是“自由而无用的灵魂”概念熏了4年的结果。  但我就是把到了乐乐乐……  但毕业后还是被甩了…  不说了，说多都是泪
复旦女生普遍很美？,所有的学校都是一样的，既有漂亮的又有丑的，复旦气质是个搞不清楚的东西，我高中一个比较要好的女同学就是复旦大学的，总体来概括就是小家碧玉，典型的江南美女类型，气质那是杠杠的！
浙江大学求是科学班（物理）和复旦大学物理系哪个更好？,浙大求是班一届才不到20人，有出国半年交流机会？上课要求高一些。班级氛围很不错。奖学金一大堆。13级还拿了cupt特等奖。
如何看待复旦大学网评员名单泄露事件？,据我所知，网评员是学生自己报名的，但是什么事情都不用干。 这只是上面发下来的药丸而已，不要一上来就给我旦泼脏水，你们啊，naive！ 关于个人信息泄露的问题，我想你我的个人信息早就在那些推销商或者骗子的掌握之中了...是否违法我说不清楚，希望法学的同学能来解释一下。
复旦，港大的金融类专业优劣？,能去香港去香港。  看到其他回答都说复旦，我来解释下我的理由吧。首先对于学习金融且想从事金融行业的，香港机会远大于上海。另外港大声誉不会比复旦差，最起码不会落下个复印大学的恶名。不要和我扯什么留内地或者出国选复旦的，大陆和美国对港大的认可度不会比复旦低。最后，就我和两地金融机构的联系来看，香港甩了上海很远，从机构到人员，全面领先。  ------------第二次补充 先澄清一件事情，我不认为香港比上海好，上海gdp早已超越香港，未来在国内的地位也可能超过香港，所以不要以上海比香港有前途来反驳我。但就金融这个行业来说，香港的工作经历和上海的工作经历不可同日而语，不管是投行、商行、投资咨询甚至律所和会计师事务所，都远超上海一大截。而且我这不是猜测也不是想象，也不是听邻居的二大爷的小侄子说的，是这些年和各类金融机构打交道中感受到的。 再者，题主问的是广东人，天然在香港有比其他大陆省份的人有优势。最后，安心学习安心上班，莫问国是。
复旦在上海什么地位？在全国呢？, 日月光华，旦复旦兮。    看见这个题，第一反应到的就是这个复旦的名头了吧； 对于复旦，我只想说，  日月光华，当之无愧。   -------------------------------------------------------------------------------------------  先谈谈虚的： 国家 “六五”、“七五”、“八五”重点建设、中国首批7所211工程、9所985工程重中之重建设的名牌大学，也是被纳入国家首批“珠峰计划”、“111计划”和中国顶尖学府“九校联盟”（C9联盟）的重要成员；作为中国人自主创办的第一所高等院校，复旦在中国学术界的地位绝对举足轻重。2012年度QS世界大学排名，复旦位列90，仅在TOP2之下，足见其深厚实力。  -------------------------------------------------------------------------------------------  回归正题： 复旦在上海的地位，想必能拿来作比的，不过也就是交大和同济... 然后楼主又问文科，其实答案真的没有什么悬念... （虽然复旦工科绝对被交大完爆） （然后吐个槽：这样的比较其实很无聊...什么叫地位高？是按教育部那套完整权威而没有价值效力的评价系统来打分吗？或者领导人、科学家数量？毕业生年薪？没有标准的比较很无趣，也得不出什么压倒性的结果 )  所以我换个方式来评价复旦，解答此题： 复旦也许是深受海派文化影响，虽然外表温文尔雅，骨子里的狂傲却绝不在被“仰望星空”的北大之下。  “北大清华确实很好，但是如果让我重新选择，我还会选择复旦” ——这就是当问及复旦学生对清华北大看法如何时，常常得到的答案。 复旦人自信而骄傲，都通过一种和风细雨的方式来表达，但他们绝对不容轻辱。  “自由而无用的灵魂”， 是复旦人对自己气质的总结。 这里的“自由”和北大的“自由”和科大的“自由”大不相同，北大的“自由”强调政治，科大的“自由”强调学术，而复旦的“自由”则强调生活。生活之“自由”有不受传统道德束缚，不受他人干涉”之义，正是海派文化的体现。 所谓的“无用”，指的是复旦人的贵族气质，复旦人从不刻意去追求物质上的东西，甚至也无意“国家”、“民族”那种离自己遥远的事物。  -------------------------------------------------------------------------------------------  我没有偏题，以上是必要的背景介绍，以下是结论： 你问，复旦在上海、在中国的地位如何？ 我只能回答：  复旦永远都是中国大学的第一集团，但复旦也永远都无意和别人争当第一；   因为复旦的精髓，不在于争取别人的认同，而在于，认同自己。    -------------------------------------------------------------------------------------------   关于交大与复旦的比较，必须补充一二： 1.作为一个身在帝都的大一工科生，如果让我抉择，我个人绝对会选择蒸蒸日上日兴日隆的上海交通大学，它符合我对于一所中国顶尖大学的一切预期； 2.但是作为一个局外人，如果让我评价这两所大学，“饮水思源，爱国荣校”的交大，比起“博学而笃        志，切问而近思”的复旦，还真的是差了那么点东西，至于是什么东西，就请诸位自行体悟吧。  -------------------------------------------------------------------------------------------   最后，还是祝题主高考成功~   
复旦大学是怎么达到今天的高度的？,因为解放后校方和TG高层关系很好，所以院系调整复旦大收获，当然还是比不上最近的某交校友厉害。
如何评价诸如复旦大学“腾飞计划”这类针对农村地区的专项招生计划？,今天票圈被刷屏了，一片叫好之声。这里只谈谈个人看法。  今天早上正好看到了关于清华大学“自强计划”的知乎回答，一些人指出寒门学子最需要的是基础教育，对于这一点我是认同的。因为基础教育从长远说，能惠及地区发展，能惠及大部分学生。“自强计划”也好，“腾飞计划”也罢，只是让贫困县出一两个状元，对于改善贫困地区整体的民智，作用是微弱的。     这是复旦今天微信推送的宣传图。乍一看是为了表明腾飞计划的学生在复旦可以有很好的发展，以此削弱那些认为贫困地区学生会跟不上其他学生的担忧。然而以我对复旦各种政策的了解来说，这张图是不具备强大说服力的。首先，腾飞计划的平均绩点只是略高于全校平均（离复旦可能最优秀的一批人“思源计划”的平均绩点差得很远；而且全校均绩可能是算上留学生的，估计比一般中国学生平均绩点还低那么一点）。其次，丰富的海外交流项目。这个我认为是最可笑的一点，因为就目前海外交流的情况来说，只有免学费项目（仅支付复旦学费即可），而没有学费和生活费全免的项目。复旦确实也有海外交流奖学金，但是是事后申请，而不是事先。因此对贫困地区学生来说，自己负担一学期的国外生活费，压力是比较大的，出于经济负担的考虑，他们甚至绩点足够也不会去申请海外交流。    http://  mp.weixin.qq.com/s?  __biz=MjM5OTUwMzIwMQ==&amp;mid=2651338436&amp;idx=3&amp;sn=3b6c554bc5e8a2567db5ee4e45749132&amp;scene=2&amp;srcid=0410HgCJ1NCYxVfS3WeDxV7B&amp;from=timeline&amp;isappinstalled=0#wechat_redirect        上面的链接是另一个推送。举了一个成功的例子，一个走人才工程的女生，和图片中的是一个人。人才工程是希望留校的同学的一条有效的通道，因此可以推断该女生可能希望未来留在复旦任职或者留在上海取得户籍。那么我们可以想一想这样一个问题，有多少贫困地区的学生将来还会回归故乡建设地方？如果这个比例很低的话，那就是意味着贫困地区的优秀人才都在被大城市吸走，这让我想起了另一个知乎回答，关于中国劳动力人口断崖式减少，中国一线城市靠吸走周边城市劳动力维持发展。“你的故乡终将衰落”——这句话让我很震撼。地区发展不平衡，越是落后地区越是需要人才建设，却越是吸引不到甚至流失人才。这难道不是中国社会发展的悲哀么？
复旦大学与西南大学什么关系？,复旦旧址位于重庆市北碚东阳镇。由著名教育家马相伯于1905年在上海创办复旦大学，上世纪因日本侵华战争暴发，复旦大学于1939年迁到北碚夏坝建立临时校址。抗战胜利后，复旦大学于1946年6月迁回上海。复旦同学会决定在此地址筹办一所学校，为纪念复旦创始人马相伯和校长李登辉，定名为相辉学院，1946年9月招生。中国工程院院士，杂交水稻之父袁隆平即是1949年考入相辉学院农艺系的学生。1950年11月，西南农学院成立，相辉学院农艺系及其专修科连同四川省立教育学院的农科3系以及其他高校的农艺系一道，并入西南农学院。与北碚主城区一江之隔的夏坝复旦大学旧址，也因此成为今天的西南大学一段历史踪迹而载入史册。
在复旦的性生活是怎样一种体验?,谢邀。 物质生产是罪恶的，而人口生产的过程是愉悦的。
许宁生将给复旦带来什么样的变化？,1.杨玉良校长很好，我认识的大部分复旦人都很喜欢 2.许宁生校长入职讲话说到了“社会主义办学”，在朋友圈引起了一点非议 3.现在才刚上任几天，仅凭这一段讲话也不能下评判，是好是坏一个学期后大家自会有评判 4.还好已经毕业了，无法想象毕业证书上的校长名字居然不是复旦老龙王
人大金融or复旦新闻？, 谢邀。  考虑两点：  第一，人大历年来的 理工科学生的专业录取顺位一般是 金融、经济学、工商管理类、统计学、法学、新闻（大致顺序，部分同分段无法区分） 。根据题主的描述，在复旦最好的情况是新闻专业。不清楚你们省的情况，但是专业录取一般是没有办法100%确定的（招生老师不能不信也不能全信），所以从风险规避的角度来说，来人大出现如何波澜壮阔的情况你都有几率选上法学和新闻。  再来看看人大新闻与人大法学和复旦新闻和法学，这个问题我觉得就没什么必要回答了， 无论是新闻中心、法律中心的范畴，还是专业的国内与国际影响力，可以说这两个维度上人大具有很大的优势 ，或许分数没有复旦高，但从就业安置于未来的职业发展角度来看，人大都是更好的选择。   第二， 一切转专业都是空头支票，在高校内转专业除了明面上对于成绩有很高的要求外，暗地里也会参考你当年的高考成绩 。在转到自己喜欢的专业前你需要花费超乎常人的毅力和努力把这个自己不怎么喜欢的专业学好，还要考到前几名，这是被动且痛苦的。以人大财政金融学院为例，我们每学期只招收两名转专业的学生，且无法转入金融学与金融工程专业。  所以，如果你觉得自己还喜欢金融学，而且不排斥北京，那人大金融的确是你最好的选择。   欢迎报考中国人民大学！ 
香港中文大学和复旦大学哪个更好？,港中大
考研 复旦大学？,建议你按照自己的兴趣以及职业发展选择专业，这是第一位的。好不好考是第二位的。
复旦大学附近有什么一定不能错过的食物？,离开学校多年，描绘一下10年前的复旦吧，不知道这些东西还剩下几个：  食堂：北食&gt;本食&gt;南食， 这条定理被证明基本是正确的。南食除了一楼的春晖小炒， 其他的实在不堪一吃。 北食代表了食堂界最高的水平，但懂吃的人知道北食的精华其实却在于清真餐厅。而清真的灵魂在于一道菜叫铁板鸡，铁板鸡的奥义在于那层焦脆的皮，外脆里嫩，浓香四溢，一想口水就止不住的流。为了这块鸡，住在7号楼却曾一度天天跑北食， 不辞千里。  重庆砂锅米线：政通路上的聚餐根据地，被我们亲切的起了个洋名叫shago'meschin。他家有火爆的泰安鱼，火爆的麻婆豆腐，还有个更火爆的重庆老板，以及一个翘着腿帮你写单的活宝伙计。他们有一道很喜庆的菜叫肉丝跑蛋，每次那个摊鸡蛋的不锈钢脸盆端上桌的时候总让人莫名的快活。  国际大饭店：其实就是一家新疆小面馆，跨出东门，沿国定路一路向北，华联超市对面，牛奶棚下面。之所以叫它国际大饭店，是因为其用餐人群基本以留学生为主，华洋杂处。国际大饭店的招牌是炒面，那面条比筷子还粗，异常坚韧，浇上鲜红透亮的浓汁，拌上炒软的蒜叶和洋葱， 夹杂着酥烂的碎牛肉块。特好吃。  复旦附中门口的南京汤包：没课的午后，当然了，更通常的情形是撬课的午后，如果阳光很慵懒，心情又不坏，可以喊上两三弟兄，再带个姑娘，拖着拖鞋，散个小步过去，店很小也很脏，不过都没有关系。你们可以先点上10笼，每人配一碗鸭血粉丝汤，想加香菜加香菜，想吃粉丝吃粉丝， 如果兴致好，可以再加一笼烧卖，周围都是中学生，他们都很年轻，所以去多了你的心态也会年轻。  小天府: 小天府曾经是谢百三老师的最爱，在他的课上推荐了n次。原来的小天府后来搬到北区后门很偏僻的一个角落。这家店是全复旦范围内最好的川菜馆子，没有之一。最经典的其实只是一道冷菜：口水鸡。原料用乌骨鸡，上面盖一层芝麻、葱和碎花生末，很精致，没有很重的花椒味，也不怎么辣。一般点菜时，这道菜我先点双份。  涂鸦巷的蛋饼：北方人叫煎饼果子，杂粮做底撒葱花，很香。我的标配是：豆浆+菜包+蛋饼不要香菜打3个蛋，或者矿泉水+蛋饼不要油条打四个蛋。我有个兄弟曾经提出要打七个蛋，被蛋饼摊老板严词拒绝。记得那时候我早上上董茂云老师的比较宪法，坐在最后一排狂嚼蛋饼，下课后他走到我跟前，很认真的对我说以后早饭要吃的好一点。  至于那条知名的涂鸦巷，在我进校时还很有品位，一眼望去仿佛北美少数族裔的街头，hiphop中透着愤世嫉俗。毕业的时候，满墙的艺术被"考研"，"四六级""公务员" 糊满。俗不可耐。涂鸦巷附近的蛋饼摊有两家，一家靠着打印店，一家在巷子口，左边那家脆一点，右边那家甜一些。后来右边那家还兼卖豆浆烧卖和包子，如果你晚上有6教的课，还可以在那儿吃胡子炒饭。老板是个耿直的中年男子，火烟熏着满面的胡喳，咣咣猛炒，憨厚的很。  三星麻辣烫：如果要概括一下这家店的东西，那我会给他家题个匾额：《属于冬天》。麻辣烫其实是最体现平民精神的食物，最寒冷的冬夜里，只要淘钱，就还你温暖。无论你是贡丸还是香肠，是菠菜还是萝卜， 反正麻辣强暴了所有的味蕾， 在那滚沸水中谁也不比谁高贵。有人说麻辣烫不卫生，这种人一听就外行，麻辣烫吃的就是不干不净，此中有真意，欲辨已忘言。  晨风鸡：南区辉河路上曾经的一家小吃店，24H营业，几年前就没了。最近真的是老了，很多过去的事都忘了，只依稀记得这家店是差头司机的最爱，有个极丑的收银员，一个凶悍的老板娘，好多个懒惰的厨子，嘈杂的叫单，油腻的桌椅；打了和没打一样的空调，冰了和不冰一样的可乐；咬不出汤的生煎，吃一嘴面粉的大饼，一口看不见馅的包子，微波炉加热的小笼，一夹就散的馄饨，冷掉的油条以及糊烂的面条。唯一还值得一尝的是白斩鸡，这是我对这家屎一般的馆子唯一温馨的记忆。  阿康烧烤：夏天的晚上，或者是秋天的深夜——什么季节已经不重要了。不同的季节里，相同的是南区一条街的露台上人声鼎沸。这里面有喧嚣的新生聚餐；也有三五好友的自得其乐；有自弹自唱的歌手；也有抱团取暖的失意人。你可以叫上一瓶啤酒，几串烤馒头或者烤鸡翅，找一个角落坐着，静静观察这些来来去去的人们，这不失为无趣的夏夜里的一种乐趣 —— 穿着蹩脚的西装对学弟们夸夸其谈的朋友，一看就是刚毕业的。相视凝望的男女，多是刚好上的情侣，要是那个男生是穿着拖鞋来的，并且女孩帮他挑螺丝肉的话—— 他们已经上过床了。如果你天天都去，还可以遇到许多八卦，比如你兄弟的女友和一个锉男在深夜里，手牵着手，来了又走。见的多了你也就不觉得奇怪了，阿康是复旦人的酒吧，江湖有多大，酒吧里的人就有多杂。他们是你眼里的风景，看得多了，你也成了风景。  听说南区一条街没了，感怀一下。
复旦大学经济学类好么 ？, 谢谢邀请，复旦大学经济类肯定是好的，对于就业不只是靠学历，能力也很重要，加油，认真把握你的人生。 
复旦大学技术科学实验班vs北大信科，从出国就业等方面来看……?,就学校而言，北大&gt;清华&gt;复旦  就信息学科而言，北大、清华比复旦要强很多。很多人都不知道，北大的工科虽然不多，但信息学科是全国顶尖的，北大的计算机、电子、软件的教育部学科评估都是全国top3。  北大、清华、复旦三校的电子学都不错。根据最新的电子学学科评估结果，北大第3，清华第4，复旦第7。
复旦大学药学院的考研大纲和参考书目去哪里找啊？,如果考752药学基础的话，书籍有：有机化学 无机化学 生物化学 物理化学 分析化学    这五门，大多选择人卫版的，还有一些指导性习题是化工版的，最好结合复旦本科的ppt，以及期末考试卷，历年回忆版真题等，我这里有去年学姐给我的考研资料，挺全的，需要的可以告诉我一下，祝大家考研成功
