湖南大学转专业的有哪些具体要求呢？,成绩很前或关系很硬 ps.胡来大学转专业坑死爹
湖南大学各科的权值和GPA的算法？,湖大可以刷绩点吗？成绩上看我全部是八十多分…怎么绩点上了九十的跟八十多分的差那么多… 
对于湖南科技大学与复读考一个211怎么选择？从以后考研情况好像非211不太利?,肯定复读啊，前提是复读保证能上211的前提
想了解一下韩国湖南大学和阳光使者？,湖南大的中国留学生相对好一些……目前的学联会长也是湖南大的 虽然学习烂的一B 不过湖南大有国内211过去的学生 你如果想学习的话 环境会好一些 也就这样 地方大学都是呵呵呵
在湖南大学土木学院就读是一种什么样的感觉？,先总起一下，两个字，感恩。。。 高考放弃了类似武大华科等高校，选择了湖大。初入湖大的时候是带着无比骄傲的心态，认为自己的选择一定是极好的^ω^大一大二两年过的及其郁闷，这什么破学校，啥事都不如意，这学校太差了，楼破，设施差，交通还这么惨不忍睹，有点小后悔。但是到了大三大四，这两年对湖大的感觉完全转变了，大学不在于楼高不高，湖大特有的那一种氛围也是自己的特色之一，学校的设施虽然不怎么样，但是看得出湖大一直在改观自己，努力让学生们过的更加幸福。更加幸运的是，我在湖大，碰到了像run into HK团这么可爱的团队，知道湖大的老师如此可爱，知道湖大的学生如此出色，在土木院碰到了这么多好的老师，易伟建老师这位学术大牛从大二开始教我们混凝土，跟他接触让我真正对自己的学术态度有所改观，让我在做人方面懂得很多东西，黎之奇老师的接触是在结构设计大赛，给我们耐心的指导，也不嫌我们做的不好，一直就是那样陪在我们身边指导我们，都应该颁发一个国际指导老师大奖了，此外，向杰老师，管理学生工作的老师，我在学生会任职的那几年，让我觉得真的比较温暖，时常会问起我的生活状态，让我感激的啊  另外啦说起学生会，那就还有李伟峰，史习焜，肖泽熙三大逗比啦。。。。等等等等，这都是我在本科阶段，在湖大最大的收获。 现在，自己也顺利保研，进入了研究生学习阶段。这个阶段了，虽然我大土木院那破破的院楼还没有修好，虽然我们的实验室还是那个乱乱的样子，但是这都不妨碍我非常喜欢我大土木院，不仅仅是因为土木院的实力，更因为我对她的一种感情。 好啦，最后矫情下，我一直认为我是幸运的，幸运到我可以和我的室友们同寝室七年，当然，威威豪只有两年半，幸福到四人寝室可以扩充为六人团，幸运到可以从本科开始就可以在祖国的好多地方留下我们一寝室的身影，幸福到可以一寝室的人骑行海南，完成我多年的愿望，幸福到可以有是有借钱给我交学费      12000啊，天呐！！！只怪室友太土豪。 哎呀，收不住了，一想想还没有提到我大土八，这怎么能行呢，这个大家庭一直到今天都没有解散，想想在研究生上课时候左右一看都是我大土八的生力军啊，感觉棒棒哒。这个班集体一直值得我为之骄傲。 哎呀不说了，学习了，总结一下，湖大土木你值得拥有，湖大土木，会给你带来不一样的惊喜。。今天就写这么多吧。。以后想到了再写点。。
您好，我是湖南大学大二的日语系学生，想毕业后去日航当空乘，已考下?,第一你需要空乘的专业知识，第二需要不怕死的奉献精神，最后就是身高相貌要出众。再送你一条：对于工作日本人第一规矩第二死板。
湖南大学的化学考研好考还是中南的好考些？, 这个问题你可以根据湖南大学往年的报录比和复试分数线和中南的比较一下 湖南大学考研网_湖大考研_聚英湖大考研网      
湖南工业大学对面的住宅房怎么样？,工大学子一枚 以后工大全国升一本是肯定的事了 株洲的房价就是那样 4000左右 好一点的贵些 康桥美郡属于工大的西街路口对面并不是工大的主门离教学楼和各学院的学院楼也较远 如果说学生租房子的话并不是第一选择 翰水利园位置最佳 正在盖的未来城是最好最好的位置 再说康桥美郡绿化可以 但是入住率太低没有邻居是个很尴尬的事 因为工大旁边什么都没有只有工大一个大学校撑着 工大带动经济 周围店铺都是为了供应这个学校的学生 还有康桥美郡附近的公交站只有60 和70路 并没有工大东门那里通行方便  106 ，42 ，45  ，60 ，70 ，17 …都是通的 所以说即使工大发展的很好环境更加的好康桥美郡并不是最好的选择 但也不坏 如果价格合理可以考虑 作为在株洲呆了几年的学生 个人认为株洲房子最好的位置 大中华附近位置最好还有那就是在工大附近了 必须上图！
去湖南大学岳麓书院读本科是否只能走自主招生？,题主您好！ 湖南大学历史本科生，就在岳麓书院就读。是湖南大学—岳麓书院—历史学。方法一：参加自主招生，但是笔试面试通过后。得要参加当地当年的高考。 方法二：参加高考，达到了分数线，填历史学专业的志愿。 通过以上两种方法，就可以到岳麓书院就读本科生了。  （附：17年各省的招生计划）
土木工程考研，中南大学，湖南大学，华南理工哪个好考点？,竟然被邀請。表示我只考过我的本校，北京工业大学，全国第八？虽然在我眼里也就那么回事。 我想说，你所谓的歧视，必然存在，而且每个学校都有！我当初去看了下，211院校本校学生，过线即可调剂，而且如果和老师关系不错，老师也了解你是考试失常，一样能进本专业。你说的几个学校都有些名气，这几个学校都倾向于招本校的学生，考研说白了只是一场考试，学校还是对自己四年对学生的培养更有信心。而且以我们学校为例，普遍发现考研进去的同学接受的本科教育不让老师满意，比如专业课程的多少，专业课的深度，而这些和你以后能帮老师做的事息息相关，说白了，硕士生就是劳动力。 再说说复试吧，一般本校生复试面试都是不会太差的，原因自行脑补，笔试也一样，只要好好答，都不会太差。至于外校生，请把所有专业知识复习好，否则有你好看。 建议： 1、你考研成绩越高越好，土木很看重数学和专业课。 2、提前陶瓷，有非常熟悉的老师最好。我一个同学父亲认识同济的老师，复试老师会稍微说说话，但前提是人家成功获得夏令营最佳营员，笔试成绩全都通过。夏令营我说下。 3、如果学校有夏令营，其实就是考研前的一个初试，提前拉住好生源用的，建议参加！我知道的北工大有，哈工大有，重大有，同济也有，你这几个学校我不太了解，可以自己查一下。 4、考太牛的学校请慎重！我一个同学考同济二战了，如人饮水，冷暖自知吧。还有某清，招生系统是个多重因数计算系统，有点复杂，其实看似科学，也就那么回事。  纯手打，希望对你有帮助。有些话觉得我说的不在理，就当我在放屁，没时间跟你们争论，谢谢！
湖南工业大学的国际经济与贸易主要学什么？,高等数学 大学英语 管理学 政治经济学 会计学原理 微观经济学 宏观经济学 公共关系学 …… 学这个专业最好把英语学好
传媒艺术生 中南财经政法大学 陕西师范大学 湖南大学怎么选？,湖南大学是一本里的三流大学？？？WTF，湖南大学是985 211 全国排名前三十，一本里的顶尖大学，光一个985的头衔就摔中南财经和陕师范几条街。  PS 这是湖大被黑得最惨的一次…
湖南大学应该如何抓住双一流建设机遇，脱颖而出？,合并浪潮已过，双一流强调学科精度，并不是规模，湖大学科精度不足，但学科并不偏，主要学科排名也行，但是不够靠前。
在湖南大学就读是一番怎样的体验？,没有读过，去过，去图书馆坐过，去综合楼吹过风，在路上吃过各种小吃，在书院里逛。所有的砖墙都在说着那段历史，很羡慕。
为什么中南大学比不上湖南大学？,师大的的同学不要挑拨关系
为什么湖南大学贴吧总有分离转换性障碍者活跃？,谢邀 虽然我在湖大读过书，但从来没有用过湖大的贴吧，对这种现象也不清楚。 不过，贴吧么，大家都知道，什么样的人都有，建议题主多逛知乎。
想考思想政治教育，未来想当老师，是选湖南大学还是湖南师范大学？,湖南师范大学
在湖南大学读文科研究生是种怎样的体验？, 情到深处人孤独，水到深处自然黑。  在千年学府读研三年，成了自来黑水军，周围人概莫如是。  先说概况，本人湖大文科类硕士研究生一枚。  湖大文科研究生的几个重大弊端：  第一，研一一年的课，垃圾如屎。讲句真话，远不如本科课程质量，老师们都是敷衍的心态随便备课甚至不备课，几年前的教案，大部分时间让学生自己讲，不仅整体课程质量挫的一逼，而且有些没底线的奇葩老师，真的是开眼界了。有些老师不仅课程质量差到不能想象，甚至人品也有问题，现在都没人敢报他的研究生，人人接触了都说大奇葩，还把隔壁学校的姑娘搞大了肚子，平时生活作风问题严重。  第二，研二研三放羊，没人管没地方去。研二研三完全没课了，有的实习，有的留校。研二研三有些老师不怎么管的，很多学生就出去实习了，实习倒还好，不用管学校的烦心事。  第三，严重不足的学习资源，被撵如流浪狗。有的同学因为导师项目被滞留学校，然而悲剧就来了，湖大因为土地面积和建筑使用面积远远不能达到教育部92定额指标，甚至紧紧达到了一半——生均图书馆面积啊教学办公面积啊之类的指标。然后就悲剧了，图书馆占座严重，笔者曾有一个学期每天早上六点起床然后一路狂奔赶着6点半图书馆开门了爬到八楼跟一群考研的人抢座——是的，从宿舍到图书馆要跑至少15分钟——是的，湖南大学没有考研专用教室——是的，全国高校都很少给文科研究生配实验室坐席，湖大就更没有了，而且湖大图书馆资源本科生都不够用，研究生哪里抢得过考研的。湖大的图书馆是这样的，一楼只有三四十个座位，考研的人常年把书放在凳子上占位置，二楼也只有十几个位置，大家围坐小圆桌，桌面很小；三楼借还书；四楼不带学生证不让进，进去也得把包存在外面；五楼要存包，不存包不让进；六楼存包，不存包不让进；七楼可以不存包，但是有插座的作为也只有一半；八楼是考研大军的大本营，也是自习条件最好的地方。作为文科研究生，其他公共教学楼总是时不时有课，被撵来撵去没办法，只能去图书馆，而图书馆的存包规定真的很操蛋，因为放在门口架子上的包，经常丢东西，没人管，只能自己负责，监控设备装了也没用，因为拍到偷东西的也没人认识，白搭。  第四，找工作时这个牌子并没有带来足够的竞争优势。我不止一次被问，湖大是二本吗，真的哭笑不得。而且本来许多单位只看本科学历，所以这个985招牌也没带来太多光环。可能自身能力真的渣到爆吧，总之没发现自己投入那么大成本换来的学历带来相应的收益变现机会。  第五，学校对文科的轻视。表演专业说砍就砍，原有教师怎么安排，学校根本不重视。而且和国际名校接轨的是，文科院系都在最破最老的楼里，看起来是韵味十足，但其实冷暖自知。  第五，学校根本就不重视自己的学生。研一开学时，班上女生发现宿舍被分到了十五舍，拍了图片到群里，简直吓人，水泥地板，床窄的只有60cm宽，公共卫生间和公共洗澡间，寒心一片。研二下学期说要装修，大家把东西全搬出来了，然后赶着开学才完工，让大家搬回去，搬回去发现甲醛味道很重，很多学生出现了不良反应，经过争取，学校每个宿舍发了四盆绿植，然后让大家搬到留学生公寓，给了一点点补偿，然后三方除甲醛后做了检测合格报告，又赶紧让搬回去，折腾了几趟。学校不仅没有做好整体的预案，而且根本没把学生的生命当回事儿，整个处理过程就跟应付上访的似的。  第六，噪音，噪音，噪音。学校自己施工有噪音，地铁施工噪音更是24小事不断，很多学生都要疯了，但是这个真的一点办法没有。还有，在图书馆，每到节假日，那悠扬的萨克斯和人群鼎沸声，毕竟图书馆就在山脚下，景区游人如织，热闹非凡，在学校里面的路上走着都嫌挤。  第七，文科类的外文文献资源不足。好吧，可能文科生都不好好学习吧，反正WOS数据库是没有采购的，很多外文文献动辄一篇几十刀，很多时候得找其他学校的同学帮忙下载了。还有一些财经数据什么的，Wind当然可能开的学校也不多，一般财经类院校有条件开，反正很多这类数据库湖大也是没有的。  总之，在这里有很多的不顺畅，背着书包被撵来撵去的经历多了，也找不到很好的办法，除了更早地起床，也没什么能努力的方向了。在这里没有归属感，没有荣誉感，没有成就感。  当然，可能真的自身能力和努力程度配不上这个学校，而且也确实能列举出这个学校的很多优势，但是以上几条，就是想让还没来的人看到，有一些需要考虑进来的劣势，做综合的考量和决策。 
湖南师范大学企业管理能读博吗？,不能 没有博士点
考上湖南大学的工业设计专业，但是觉得这个专业没有前景，更想当牙医，该不该复读？,湖大的工业设计，国内还是蛮NB的，如果你喜欢，前景和“钱景”都会有的，如果不喜欢，地球人还能阻止你当牙医么？慎重考虑，选行业很重要。
湖南科技大学有哪些对外交流项目？,居然会在知乎看到这个问题，这种的，还是去贴吧问会好一些吧，不过看到了，就顺手帮帮你。本校和英国一个西苏格兰大学是有合作的·····不过确实是个面子工程没事实质性的东西，每年大概有几个交换名额，基本是外国语学院的，费用交学费就行了，公派基本是国家补贴，去的学校的话····，也大概是国外的三流大学吧。我校有一个对外交流处的网址，你可以看看。  http://  dwll.hnust.edu.cn/      
高考志愿！！6.26湖南师大树达学院社会体育指导与管理和湖南科技大学潇湘学院体育教育哪个好些？,我就说一句，体育教育是师范专业
湖南大学金融专硕含金量大吗？,同财大！志愿没填湖大一生痛  想考湖大主要是想回湖南但是我们学校在湖南感觉没什么名气and本身也不是王牌专业  听说辅修没什么用很悲伤啊 考研的话数学不太好 英语也不是强项  又怕错过秋招春招就更难了  
在湖南大学当学霸或者学渣是一种什么体验？,我一般寒假考试不会挂科，可是暑假前的考试就会挂很多科，，因为长沙夏天的太阳太明媚了，可以让人看淡很多东西，总想惬意得玩耍。。
湖南大学和湖南师范大学为什么没有围墙？,一个是为了向社会开放一个是因为穷，对号入座 
湖南大学的伙食都偏辣吗？,泻药。。。  老哥，我是东南大学的，不是湖南大学的，心疼我东从南京到福建又到了湖南。。。   
如何评价“中国大学生方程式汽车大赛”中冠军湖南大学的表现？,非湖大队员，了解的并不全面，就我所知道的讲一讲。  湖大是国内最早参与FSAE比赛的，在07年赴美参赛。当时的队长柴天这些年里一直领导着湖大车队，他对团队以及赛车有很大的影响。  中国赛刚开始的几年里，各院校的赛车都不算稳定，很多不能完赛，湖大也多次因此失去了上讲台的机会。但从成绩也能看出湖大的赛车性能一直不错，团队管理也井井有条。今年的赛车相对去年改动较小，因此稳定性得以提高。底盘部分在柴天的监督下表现依旧很好，动力部分也是个给力的老队员负责，调校的很好。结构件的设计也都经过柴天审核，整车重量较轻。再加上赛前提前到场充分练习，车手对赛道更熟悉。  结果就是今年动态赛的全面碾压，因此绝对对得起这个冠军头衔。
安徽大学、湖南大学和吉林大学哪个大学更好？,安大本科，就是你们看不起的安大，而且还是理工科，不管是吉林大学湖南大学还是安徽大学也都只是一所普通的大学，高考多考几分就上吉大，湖大，少考几分就上安大，能有多优越，高考对大部分人来说也只是拼努力拼运气的考试，说实话真不知道有些人的优越感到底是怎么来的，都是从高考过来的，谁都没有差太多，真有那么优越，参加什么高考啊。 百度基本有的东西就不说了，作为一个还没毕业的大三狗，我很喜欢我的学校，就像是高中一心憧憬的大学一样，校园很好看，学姐很漂亮，大概因为学生男女比例是1：1的原因，经常有一对一对虐狗人士出现。我们的老师都是很不错的老师，专业课用的书基本也都是我们自己的老师主编的。  学习还是看个人，这里有整天泡在图书馆的学霸，也有在网吧熬夜打游戏的。 自认为安大还是很不错的学校，我不会羡慕吉大，湖大的学生，也不会看不起比我们学校差的学校。
我是湖南大学北校区一名女生，这里的男的质量差，表示四年都不能谈一场恋爱了，我要如何开辟战场!?,我是湖南大学北校区的汉子，这里的女生多，就是一个个特别挑，表示大学四年都谈不了恋爱了，我应该怎么开辟战场
如何看待湖南大学大三大四学生上课地址改变至校区？,多是匿名的，我就不匿了。  我不懂为什么作为一个成年人在不违背道德不触犯法律的情况下，还要以匿名的方式来为自己公平合理的正当权益而战战兢兢瑟瑟发抖地发声?  学生不应该害怕学校，而是学校该害怕学生。    “别来湖大”的梗在刷满B站弹幕的时候，我觉得也就是个大家茶余饭后玩的梗我没有相信我不管我就要坚定地爱湖大;综合楼，天马等空调迟迟未能如约安装的时候，我觉得工期延误在所难免毕竟人无完人校无完校，何况我们也在这学期看到了崭新的研究生院游泳馆和操场我不管我就要坚定地爱湖大；当天马公寓18.19栋紧急搬迁(我女朋友就住这里)的时候，我觉得毕竟要修地铁也是不可抗因素，协议也是很早以前就签定了的并且校方过后也给了妥善的解决措施和保证，那么我继续不管我就要坚定地爱湖大。  你们随便说，我不管我就爱湖大。  当朋友圈满是戾气的时候我为什么不能让别人说您半点不好要这么爱您这么包容您护着您?  因为您是976-1926;因为您是麓山巍巍，湘水泱泱;因为您是惟楚有才，于斯为盛;因为您是纳于大麓，藏之名山。        因为您是我的母亲，别人问候不得。  但这次我真的想问问您，您有把我当亲儿子么? 难不成我不但复习了假书，人还是个假儿子?(笑)  玩笑归玩笑，但这次，我真的好失望啊， 好失望好失望啊。 连我自己都开始质疑自己一直以来坚持的原则是对的吗?  但最后的最后我还是选择抱着一丝侥幸当一回小红: 妈妈，能不能再爱我一次?  怎么解决已经不重要了，以岳麓书院中出自清代的旷敏本的一副对联共勉结尾吧:  是非审之于己，毁誉听之于人，得失安之于数，陟岳麓峰头，朗月清风，太极悠然可会；  君亲恩何以酬，民物命何以立，圣贤道何以传，登赫曦台上，衡云湘水，斯文定有攸归。    我还会继续坚定地爱着您，但或许只是不再那么喜欢了。
湖南工业大学的理学院怎么样？,(⊙o⊙)…，虽然我不是理学院的，但是我们高数老师在教完我们《高数2》的时候说“就我们目前的数学水平，只够格当个小学数学老师还是三年级以下的”。高数一直是大学生的痛啊，而且我们高数老师一直在传达一种“超前行为”，就是比老师快，因为大学时间很多，你可以在假期就自学高数一嘛，高中基础好应该不是问题，在老师上课的时候你已经自学过了即使你跟其他上那堂高数课的同学一样在玩手机度过那你也是胜利的^_^)Y。以后要当老师起码要考个研吧，现在高中老师也大都是研究生了吧……所以你学高数肯定不能跟我们一样只要上课听课后做好作业考试过就好，往深一点的学吧，多方面训练逻辑思维，也可以为将来的各种竞赛做准备嘛！上网查一下或者去专业群里抓个大神最好的就是你们班助啦，他们经历过，而且也会毫无保留的帮助你们，大学的班助都炒鸡好哇~\(≧▽≦)/~(感觉回答得好无力因为我也不是数学专业的但看到是下一届萌新就手痒想要说几句   )
湖南工业大学的理学院学风和就读环境怎么样？, 理学院还不错，毕竟学校的理工科那些专业都不错的，而且数学作为基础学科，搭建了向其他学科转的良好基础，实在觉得学不进去，入校之后还可以转专业。 
本科二本，研究生211，现研二就读于湖南师范大学，想考深圳中学教师的编，什么样的学校比较适合？,楼主，打扰一下噢。我现在大三，准备考湖师大英语专业的研究生，请问贵校难考吗？
听说一流大学名单的内部文件已经下发，就等公布，原985中36所进入A类，除了湖南大学西北农林东北大学？,可能假的。  一流大学的话，985内可能都要淘汰一些。一流大学需要一流学科，并且形成学科体系，985外补进的可能性很小；就算真的拉进来新学校，基本轮不到“一省一校”的211。  中国一本高校细分的话大概分5级: 1.top2； 2.副部级985（华科）； 3.地级985（湖大）； 4.教育部重点+211+985优势学科创新平台（肥工）； 5.省重点+211（安大）  一流学校主要是1和2，变数在3； 一流学科肯定包含4，变数在5；  5那种“一省一校”的211，都不是教育部重点，985优势学科都没资格申报；而且教育部各种人才引进计划、教育部重点实验室建设和评选（干得好可以升级国家重点实验室）…都落后于4教育部重点高校。  985优势学科创新平台，基本就是一流学科。这个优势学科（北交大的地铁、肥工的车辆）资助力度按985高校相同专业算，也是动态评选。5连优势学科都不多，部重点实验室都没几个，怎么可能是一流大学～  就算挤进去也是动态，不过那就相当于给名头分钱了。部长在新闻里说了嘛，这是动态的。实力不行，过几年再掉下来，因为很多4都在盯着。
湖南工业大学电气系学生 对于大一生活和学习安排 有什么建议吗?,1、多看书； 2、多练交际能力； 3、增加阅历； 4、想好自己喜欢什么，毕业之后要从事什么，定好计划，这四年为这个计划努力打下坚实的基础。
湖南大学工商管理学院挂科率较高的课程有哪些？原因呢？,没有，本院课程要求低，作业少，给分高，内容佳，老师和蔼可亲，同学互帮互助，所以根本不用担心～湖南大学工商管理13级学弱亲身推荐！
从湖南农业大学退学明智么？,如果你觉得你可以在三年内赚到一百万，那就退学吧，我之前上了农大后，各种内务检查凑人头去参加活动令我厌恶，室友各种打游戏玩牌不求上进让我深感大学教育的失败，于是我便选择休学创业，如今我已经休学一年了，自己创业一年赚了将近二十五万，不过很苦很累，背后的艰辛一般人不能知晓，另外寻找招募创业合伙人，要求是有想法执行力一定要强！如果有这方面意向的同学，可在下面评论里留言，我将私信联系你。
湖南大学开始反杀了吗？, 没有。 
湖南大学为什么考试很多？,一方面，学校要抓教学质量，而检测学习质量的一个方式就是考试，拿机考来说，高数，概率论，线性代数都是要机考的，一月一次，每次10分，这样就占总成绩的30分，如果你机考很低的话，这门课就不容易过，以此方式来督促学生学习。 另一方面，一门课的成绩并不由期末考试直接决定，万一你期末不及格呢，平时考试考好一点，期末压力也小，据我所知，很多大学生都是习惯平时不学习，期末熬夜刷题的，其实期中考试平时小测试都会比期末简单，而且考的内容也少，关键是这些考试一般都是任课老师监考，可操作性很强（委婉说法，你懂的 ），算也大大增加了你不挂科的概率吧~ 大四狗怒答，还是希望小学弟小学妹们好好学习~
在湖南师范大学旅游学院毕业的话可以当老师吗？,当老师是可以，但属于跨专业，真想当老师的话就读师范专业吧
在湖南大学英语系就读是怎样的体验?,大二狗答。一句话是，你在湖大英语系可以成为你想成为的那个人。 学术方面，湖南大学的英语系并不如她的日语系那样出名，师资力量当然也比不上北、上、广外，甚至是不如隔壁湖南师范大学的英语系，但是湖大外院英语系也有其长处。 首先，作为985大学，老师的能力是毋庸置疑的。比如湖南大学设置的英语演讲课是在全国都独一份的，而教授这门课程的陈千谦老师也是极具有魅力，嘻笑怒骂，教我们语音，自信，台风，还有演讲的着装和妆容。 还有如毕业于港中大，北外等等的老师，你根本不知道自己的老师是怎样出色的人。 其次，英语系更多的是靠个人的苦工与勤奋，而老师们一直做得，也是更重要的是教会一种思维逻辑方式。比如教会你在presentation时如何布局，如何组织逻辑，slides里的忌讳与应当如何做，比起一味的语法单词，这些是更重要的。 第二，学习氛围。 还是那句话吧，你想成为怎样的人。在湖大英语系经历的短短一年（即将大二），我见过形形色色的学长学姐和他们独特的选择与经历。有一个星期在图书馆碰见五次努力想要成为口译者的学姐，有热爱摄影甚至在芒果台闯出名气的学长，有参加国际组织满世界跑的冒险者，湖大英语系是一个可以让你成为自己想要成为的那个人的地方。 学习上，学业任务并不繁重，课程安排相较于理工科可以称得上悠闲宽松，但是语言学习无疑是功夫在个人。在我所经历的一年，曾经做过湖南赛区口译大赛志愿者，可以说参赛选手的竞争主要是在中南大学，湖师大，湖南大学之间展开，而湖南大学学生的能力也是有目共睹，好歹也不失985大学的威严。 湖南大学英语系学生是有优势的，图书馆四楼外文库有大量英文原版书籍资料等待学生阅读，同样在四楼还有经济学人，读者英文版，时代杂志，应有尽有，只看你是否会利用。 最后，湖南大学英语系的优势项在于，英语系学生有更多的选择。也许并不志在于语言，但仍然可以投身于学生会工作，专注于学校的各项活动，工作实习，而英语系的学习也不会给你太大压力。 短短一年见解感情还不是很深刻(╯3╰)
如何评价湖南大学机械与运载工程学院？,呵呵
教育部正式废除 985、211 工程，开展双一流建设，对湖南大学会有怎样的影响？,答案参考： 「985、211 工程」取消了，对哪些高校有利，哪些高校有害？  https://www.  zhihu.com/question/2659  0807/answer/33329743    
湖南大学的赵鹏杨到底有多吊？,太特么屌了 传说中的赵大神是吗
山东大学和湖南大学，哪一个更好？,不是一个水平的谢谢 山大中流985 湖大末流985
我是985大学湖南大学，软件工程专业的学生，纠结该考研还是就业？,技术一般般，还不想进小公司，也没有准备读研期间好好努努力的意思。现在不是应该实习了嘛，不喜欢工作就读研，不喜欢上学就工作，技术不好就多做做东西实在不行花钱出去学，要是就为了怕进小公司就去读研拖延时间那还是算了吧。找找自己的长处，再不行就改行。天上哪那么多馅饼掉啊，就算掉也不是每个人都有的，别总想让自己舒舒服服的达到最好的效果。PS:和楼上都是你直系学姐，good luck
想留在湖南工作，法学专业考研是考湖南大学还是西南政法？,同18级考生，湖南大学金融本科准备考法硕。在湖南就业湖大绝对好过西政，除湖南地区外湖大法学竞争力应该都是不如西政的。
湖南大学大一转专业问题？,我是机械院本院转专业的学姐，大一下可以申请转专业，主要看成绩＋面试，机械院主要看高数和英语，车辆工程和机自比较热门有一定筛选，热能与动力工程转成功几率大【我虽然学渣，但是转成功了】，转专业成功后大二跟班学习，也可以选择留级，视自身情况而定，如果需要补修课程过多，可以选择留级，若自身时间精力安排得当也可以选择跟本级同修。希望有所帮助，祝转专业成功
如何评价湖南大学校长赵跃宇？,昨天刚刚看到新闻，听闻赵校长去了广西大学任校长，衷心的祝福赵校长前程锦绣，生活顺心如意。。 以下是原答案，么么哒记得当时在毕业季，作为礼仪负责帮校长递学位证书然后再发给毕业的学长学姐 事先彩排的时候学工部老师说你们要尽可能的让赵校长少转身，三天下来五千多的学生他一个一个拨流苏真的很累 当时大一，不以为然 直到自己站了三个小时，腿酸的不行 但是校长依然站得笔直，微笑着跟每一位学生握手，合照 你们应该评价的是lkl
湖南师范大学现当代文学？,本校考现当代拟录取，17，可搜闲鱼号：情书写给昨天 本校现代文学笔记，自整理笔记，真题。瑶瑶而散骑而而瑶玲而
湖南大学有什么应该或者值得知道的道理、规则？,1.习惯行政人员的效率。 2.中楼后门可以通过北楼到体育场。 3.岳麓山多入口。 4.德智后门可以到中南南校区。
重庆大学和湖南大学哪个好？,都很好，高三刚毕业总是纠结哪个学校好，其实好学生在哪里都好，纠结的学生在哪里都纠结。特别是分数限定，而且二者的平台都差不多。
湖南科技大学和好的二本学校，哪个更好呢？,好的2本？？？现在不是都升一本了吗？湖南科技大学好一些吧。
湖南大学的金融工程专业怎么样？大一大二大三的授课老师又是怎么分配？我是本科。？,原班人马，倾力打造。教师和别的专业都是一样的，只是专业名字不一样。你 值得拥有。
湖南师范大学的心理学硕士有哪些方向？,湖南师范大学既有学硕也有专硕，并且学硕和专硕都是自主命题的~！ 具体的招简要看今年最新的有没有变化，不过一般变动不大~！  0771心理学  01基础心理学  02认知心理学  03发展心理学  04社会心理学  05心理测量学  06教育心理学  07临床与咨询心理学  0454应用心理  01学校心理学  02心理测量与咨询  03人力资源开发与管理  04健康与临床心理学  05社会心理学应用 
湖南大学的金融专业和中南财经政法的金融专业哪个更好？,选好大学，别选专业
华中师范大学和湖南大学怎么选？,理想与现实的利与弊你已经分得很清楚了，如果你家不愁钱，学心理吧，愁钱，学金融。这还不好选择吗！心理学起来很有意思，但学的人太多了！转系不难，看个人能力。辅修双学位也没多难的要求，你也可以辅修武大金融，比湖大的好！
如何评价湖南大学研究生范石钟的生命滑梯设计和该设计获奖的原因？,我看那滑梯转角处分分钟飞出去摔死… 有点纳闷 获奖原因我觉得有一点是作品中体现的济世情怀
请问湖南大学的学生怎么考取教室资格证书？,只要到了大三大四就可以报名考试了，学校不统一组织的话，自己关注湖南教育局网站，会有报名通知
湖南师范大学的饭菜有不辣的吗？,据16级的学姐说，去一个学期你就能拥有一口流利的塑普和吃辣的技能XD
湖南师范大学英语专业收理科生吗？,招 至少自招的时候我是看见理科生了 而且是一大把
湖南大学自主招生相关情况？, 看你报考的是哪个专业，他们学校有对应的考试科目，      考生持本人高考准考证、身份证(无身份证者须携带户籍所在地派出所出具的带有本人照片的户籍证明)到湖南大学现场确认、采集信息，办理考试手续。现场不接受代办。   这只是初试，还有复试 
湖南师范大学怎么样?,对不起211的名，师资力量极差
【报志愿求救】湖南大学建筑系究竟如何？, 湖大建院大一  你可以加17湖大建院迎新群问一下，关于大一理论课，大一其实是一个玩和启发的过程，设计基础课不像其他课程有按部就班的教学方式。虽说我们对大一老师多少有些怨言，但实际上还是看自己对建筑学的学习是如何认识的，真正有用的知识很多其实大多是在和老师课后的交流中获得的。在我看来湖大建院最好的地方就是讲座多，和外校的交流多，这你可以去湖大建院的公众号“湖大有个建筑院“和”轶思筑梦”了解到。不好的地方就是大一专教设施比较差，很多学生做大作业能在寝室做就绝不出门。暑假你就先把要求看的书都看完，学期内基本是没时间看的。最好再把手绘练好。  老八校的研究生很多都是湖大考过去的，今年海外留学分享会的阵容也很强。 
西安交通大学和湖南大学的行政管理专业研究生，更建议报考哪个？, 华中、华东。行管大坑。西北三虎还是不错的，难度不小，大概20+录取一个的比例吧。by尿急的牛仔 
