西北农林科技大学可否合并北京大学、清华大学、西安交通大学、西北工业大学、西安电子科技大学来提升影响力？,西农不是985了  找不到学生是肯定的 但是越来越不值钱的一本分数线给了西农人一种自己分数线在变高的错觉 至于合并的想法 我认为西农人的生命是有限的 但是为其他大学做好绿化磨好锤子的工作是无限的 西农人应该认识到自己的七本尴尬处境 将教育部经费省下来 将教职工和学生分散到其他高校看门扫大街 这也算是另一种形式上的合并 以上
应该选择西安电子科技大学还是北京科技大学？,从专业的角度来讲，还是西电好一些，本身排名比较好，其次我听到的对于自动化这个专业似乎都不怎么看好，专业性不是很强。不过北京确实有地缘优势，如果分数可以，也可以选择北京的其他学校其他专业啊。
做西安电子科技大学胡老师的研究生是一种什么样的体验？,屎在面前，不得不吃。
西安电子科技大学是否有入校考试？,入学考试，考三门，数学英语和物理，物理知识考考而已，没什么作用。 英语成绩作为英语分班的依据，高级中级初级 英语和数学总成绩作为参加卓越班或者教改班的依据。具体请咨询学长学姐和浏览西安电子科技大学贴吧
求在西安电子科技大学毕业的硕士好不好找工作？,我也有这个准备
怎么评价西安电子科技大学的应数（英才班）？,谢邀！学长通院大四一枚，但是认识很多数统院英才班的同学。不是非常了解你们专业的情况，说一些自己的观察。你学的专业偏向理科方向，也就是理论研究的会多一些，但是在西电，肯定会跟信息通信接触到的。你们英才班在你们数统院肯定是属于拔高班，很多政策会比普通班不一样的，但是还是需要自己的努力，保研的名额，奖学金的名额都是自己争取到的！！！如果你想在本科结束之后继续深造，还是要好好学习基本知识，打牢基础，尽量拿到保研名额（千万不要到时候考研，竞争很大的，而且相比保研生一点优势都没有），在你们院除了均分高可以保研之外，可以通过参加竞赛获得保研名额，具体的可以问问你们专业的学长学姐。如果你打算本科结束之后工作，除了学习书本知识之外，还是建议多接触些软件或者硬件的实践操作。大一基本上都会学习编程类的课程（c、c++、Java等），有的学院学的少，有的全会学，如果你感兴趣可以自学。编程可能是你以后吃饭的家伙，多多练习练习肯定没错。今年（2016年）大四的很多保研的，有的是成绩保研的，有的是参加数学建模保研的，也有的是参加其他竞赛保研的。我大多是通过数学建模结识你们学院的学长学姐的。建议好好享受大学第一年，认真思考大学第二年，详细规划你的大学第三年！大四嘛。。。有你忙的！！！
西安电子科技大学的交通为什么那么让人难受？学校难道不努力改进一下吗？,ಥ_ಥ改过啊。  曾经，学校跟交通公司签好，要来从西电出发的公共汽车。  然而，最后。  站牌都被村民拔了。  啊！  不愧是北雷村南雷村中的技校，战斗力都不如村民！
通信工程考研选择西安电子科技大学好吗？本科在长安大学就读？,泻药 卧槽才大二……先玩会再说…… 本渣2016届长大通信毕业生……我们这届两个班考西电的基本都成功了…… 我们这届考研的主要去向，北邮，西电，成电，西交，西工大，还有个别考牛逼高校的例如清华上交同济之类，感觉对比下来西电应该是略容易的…… 成功率的话，两电一邮和西交西工大都还可以… 个人觉得，西电性价比相当可以，值得一考。（考不上可以像本渣一样调剂来中科大软院…）
西安电子科技大学信息对抗专业的主流就业前景在哪？,本科你就姑且认为自己是电子信息工程专业的吧（网络对抗分到新学院，只剩雷达对抗学的东西和电信几乎一样）所以就业参考电子信息工程
怎么看待西安电子科技大学足球队全外援？,球队成员都是我电国教院的在读本科生，全是自己人，什么外援(￣^￣)ゞ
西安电子科技大学怎么样？,字面意思上本题已经有很多相关的讨论了：  在西安电子科技大学就读是怎样一番体验？ - 大学就读体验   在互联网行业雇主的眼中，西安电子科技大学是一所怎样的大学？ - 大学   找个西安电子科技大学男生做男朋友是什么感受？ - 恋爱   但其实你的问题是，「出身不好的学校会不会被毕业学校牛逼哄哄的头儿看不起」。 那就推荐你看看这几个问题：  985本科毕业的普通工科生还有哪些像互联网产业一样高工资快成长的工作可以选择？ - 学习   本科学校不好是我一直的阴影，我该怎么做？ - 学习   既然都已经找到工作了，那就努力工作，谁还管你哪毕业的？
哈工大威海校区与西南交大、西安电子科技、南京航空航天、南京理工、武汉理工这些大学相比较哪个更好？,感觉这个问题会引战，本人在哈工大威海，个人认为总体说来南京理工和武汉理工好一些。 西安电子科大其次，工大再其次，再是西南。 我个人认为报志愿的话考虑区位因素多一些比较好，从区位看的话南京最占优势，还有就是南京有钱啊，城市有钱学校才能有钱啊，有钱了硬件才好，才能有资本聘请好老师哪(现在深深感受到资本在学校实力方面发挥的巨大作用)。 但是如果题主对某一专业特别感兴趣，比如计算机，那电子科大肯定首选，如果想做飞行器设计，那肯定优先考虑南航。但据我的观察，大多数人是没有一定要报某个专业的执念的，只是对自己有一个大致的方向，所以这种情况下学校的综合实力(尤其区位优势)就要考虑在内了。 当然，我认为如果你需要一个舒适的学习生活环境的话，工大威海还是很合适的，威海的环境非常适合学习。还有就是这边转专业特别容易，今年是允许成绩在前50%的转，所以我们专业走了五分之二，-_-||。 因为本人专业是船舶与海洋工程，就这个专业来说，武汉理工是比我们学校要好的。其他专业不做评价。 就题主提出的这些参考大学来看，题主预计的成绩应该在620分左右吧，那么题主的情况和我有些相似，本人625，我给题主说一下我去年填报的志愿作为参考，1.中国海洋，2.湖南大学，3.中国农业大学，4.哈工大威海，5.中石油华东，6.中国矿业大学。 真心希望这个问题不要变成各个大学互喷的现场，大家有话好好说。
如何看待西安电子科技大学图书馆A区实习预约措施？,孩子们还是太naive。你早给通信工程学院的李勇朝副院长送点礼不就保研了？李副院长神通广大，没听说过作弊学生王凯鹏都能收录为研究生？ 凡事不早做打算，到现在受欺负了来怨天尤人。你说你让我说你什么好？
本人河北考生理科，女，615分，本一线上90分，位次15000左右，报西安电子科技大学有希望吗？,报衡中吧
西安电子科技大学的遥感科学与技术可以考什么研？, 遥感所、西安光机所、国防科技大 
西安电子科技大学通信工程一名普通的学生，是考研，还是找工作?,大四，正在找工作的漫漫长路中。说一点自己的感受： 1.研发岗位除非你特别牛逼，否则学历是一道坎，相同条件下，他们愿意选择有过项目经验的研究生，hr说的。 2.软院和计算机院报软件岗位比电院通院要有优势，但这也是建立在水平相当的情况下。 3.就业压力很大，如果你技术不牛逼，又想走技术路，考研比较好。 4.西电就业率还好，校招才刚开始，准备十月份和十一月份的小公司应该压力没有那么大，毕竟西安的研究生都签了←_← 5.华为没有学长们吹得那么容易进，珍重自己，多学点知识才是最重要的。 6.如果不考研，请一定要学一年技术，做两个牛逼的项目，一定。   7.题外话，我觉得我还是能找到工作的，大家给我加油！以上全是切身体会，学弟学妹们，你们要努力啊，工科生还是技术牛逼了，到哪儿都能有饭吃！  
大家对搜狐头条的西安电子科技大学校内开ktv的新闻什么看法？,好比一碗清水，加了墨进去，怎么搅都是黑的了 学长告诫：别搅这趟浑水，做好自己的事情，将来出人头地，为学校正名 自保，匿
西安电子科技大学大一入学有开学考试吗？,开学考试与转专业无关，与教改班和卓越班选拔有关  转专业是在大一结束，所以跟新生没关系  开学考试主要目的两个，一个是通过英语成绩，分英语初中高级班，另一个是选拔教改班和实验班（前提是有资格参加选拔，大概会要求高考全省前多少名，到时候会公布资格名单）。考试考数学英语，英语15年是仿四级题型，建议提前熟悉，数学个别题是竞赛题，较难。  教改班每个院（个别院没有）好像设一个班，大概六十人左右吧 我记不清。
找个西安电子科技大学男生做男朋友是什么感受？,我们大学一个宿舍。 他帅气、阳光、爱运动、身材好，最关键的是尺寸很可观而且性欲很旺盛很色。 有时候有点理工科惯有的小猥琐，有点臭，不爱洗澡，喜欢打游戏同时成绩还很好～～～很理性，会点精致的淘气，装逼常常被我打击，然后他会好好把我x一顿补回来。  可是我们最后还是分手了，想起大一那年的夜晚，他在杨树下跟我说爱我，到现在我还记得那一刻的感觉，就像清美的月色里，桃花落满整个山头。  后来他回了老家结婚生娃，我就流落天涯再也没有打扰他。他结婚的时候我给他包了个1w的大红包，我跟他讲：有些事这辈子你我是不可能了，以后我也不会再见你，希望你过得好，希望你会一直爱我下去。后来听寝室其他哥们说他结婚当天哭的很惨一直在说我为什么不去……  我从来没奢想过能与一个直男一生一世，能在西电四年，是我此生的幸运，而遇上他，更是我幸运中的幸运，但我也只能到此为止了。  如果有来生，希望我们能在一起。
西安电子科技大学考研对四级有硬性要求么？,我只想说四级如果都过不了那么怎么去考研。
如何看待西安电子科技大学物光院某导员，强迫学生参加运动会团体操？,牛。这导员要当了校长书记，西电定将进入专制帝国时代。
如何看待电子科技大学「一群男生看着女生淋雨坐视不管」的现象？,大家先静一静！ 听另一个电子科技大学的先说两句。 本人西电（西安电子科技大学），先带大家回顾一条13年的我渣电的新闻： 女生要了鱿鱼炒饭，因为男生坚持按顺序排队没吃到，跑到当年的从网来吐槽。以下是一则网友评论，已打码，侵删。   以及网友对网友评论的评论：   各位综合性大学的可能不太了解我们电子科大的情况。在几乎纯理工院校中，一个班可能只有几个女生，毫无疑问这些女生会受到优待。比如，上课前两排只坐女生，男生坐可能会被鄙视。整体的氛围就是“优待女性”。 当然这并不能说明是合理的。只是在这种男多女少（男强女弱）的环境下，很容易让女性矮化自己，理所当然觉得他人应该优待自己帮助自己。而且她们认为的这种“互助”，不是人与人之间的互助，而是男性对女性的特殊化帮助。说实话，这既是矮化了女性，也是绑架了男性。  另一个是外貌问题。这个很重要。在如上所述鱿鱼炒饭事件中，其实部分网友在攻击当事女性的外貌。   鱿鱼炒饭事件中，如果这个女生长得漂亮一些，肯定更可能得到帮助。 但在成电打伞事件中，女性如果漂亮，反而可能降低自己获得帮助的可能性。想想一个其貌不扬的男生撑着伞，除了我这样不知好歹的人，恐怕他自己也不好意思去问：姑娘需要伞吗？对于大学里的男生而言，这种主动帮助在他们看来是一件很害羞，可能会打扰到别人的事情。如果鼓起勇气，反而被拒绝，本来就不牢固的自信心碎一地，这可怎么是好哦！  姑娘们，在一些事情上，你们不因为自己是女性而更应该受到别人的帮助。你们首先是人，其次才是女人。诚然，世界上的事实是，长得好看的女性在小事上容易找到帮手，但这不代表应该是这样。 对于刚刚步入职场的新人有什么建议？知乎有个答案是慎用性别特权，当然也要慎用外貌特权。有句话很实在，所有命运看起来免费赠送的礼物，都已在暗中悄悄标好了价格。
西安电子科技大学软件学院奖学金多少？,谢邀~表示我是武汉的，对这个学校不太了解
电子科技大学沙河校区 西安电子科技大学 北京工业大学该如何选择？,利益相关：本人2014届陕西考生，报考电子科技大学（沙河校区）...  对了，沙河校区 和 本部仅仅是招生代码和校区不一样，题主要是关心毕业证的话，我可以负责任地告诉你，是一样的。  好吧，正经答题：  电子科技大学（沙河）：没啥说的，985的牌子很硬，而且CS领域很不错的。       从官方的角度讲：教育部给的学科排名也在前头；  从民间的角度讲：国内ACM七大门派——THU，PKU，SJTU，FDU，ZJU，SYSU， UESTC  ；如果没看懂简写的话，自己搜搜，然后感受一下，你看看前面那些学校哪个是能考上的...   而且今年电子科大ACM全球决赛中 世界排名15，亚洲排名7噢，不信你看： 我校学子在第39届ACM大学生程序设计世界总决赛中获优异成绩     最近几年给人的感觉就是电子科大在转型升级，不单单是吃老本。从专业设置的角度看，今年增加了“光源与照明”“地球信息科学与技术”“临床医学” 这几门，而具体到我们CS领域，学校也是越来越重视。相信几年内，我电在CS领域肯定会有新的成就。       至于信软学院，不要瞧不起它噢，每年的录取分都在涨，学校也是越来越重视它了呢。并且，从今年开始，电子科技大学其他专业都是缩编，只有信软是扩编的，所以按理分给你们省的名额是多了的。  全国这么些软院，和北大、复旦的软院比肯定有差距，因为生源就有差距...但除了这些一线，其他的软院基本可以秒杀了，大三大四还有实习课程，绝对是干货满满的。       关于校区，反正我们这届大一都是在清水河校区，马上要搬回沙河；我不太清楚你们是怎样的，到时候招生计划发下来了自己看看呗。   西安电子科技大学：       我在西安生活了3年，所以我至少知道西电离城里不是很近。虽然不是985，但实力不俗。        对于通信工程啊，电子科学技术等成电的王牌专业，人家西电和我们其实水平相当。       但是，CS领域就没那么“旗鼓相当”了，而且出国的氛围没有成电好（对了，大信软最近在筹办出国班——小班教学，全英文授课，是从各个方向筛选的那种，不是圈钱运动....），电子科大好歹也是出国的第二梯队呢~ 当然和 TOP2+华东五校还有差距啦。   北京工业大学：       这.........你要不是特别喜欢北京或者你不是北京人，我觉得算了吧...        当然，北京有一个好处，全中国去找CS的实习，在北京的学生跑的比谁都快。但你学校牌子不响，不见得能有很好的实习。北京又不是湾区~当然了，要是由于“互联网+”的政策，等你毕业的时候缺口巨大，那怪我咯...    最后，欢迎报考电子科技大学~我还专门为新生写了一篇类似导论的文章来着，不管你最后走哪了都可以私信我，我发给你哦。同时推荐我的学长 @张立羽 的回答
西安电子科技大学毕业生进入微软公司容易吗？都要准备什么东西？有在华盛顿微软总部的校友没？,谢邀。首先我假设你问的是进美国的总部。如果是去国内的微软的话，估计应该不难。但从西电毕业直接去美国总部，实话讲很困难。当然如果你极为牛逼，比如ACM这种比赛世界前几，或者某个领域世界有名，这个可以忽略我说的，微软没准还会主动找你。目前看我认识的从国内本科直接过来的，基本都是北大，清华，上交，复旦，浙大，中科大这种级别学校的学生，美国微软貌似会直接排人去这些学校招人，像西电这种估计人家都不知道。。。所以校招这种对于普通西电学生来讲基本没戏。比较靠谱的方法要么去美国读书，毕业后申请微软，要么先进国内微软然后走内部transfer，目前看这两种方法都比较简单，但缺点是时间长一点（2-3年？）。至于这两种怎么准备，你先去美国读书或者进国内微软再说吧。 关于西电在总部的校友，有。但估计加起来应该不超过5个(感谢  @Haofei Ying  的指正，数了数linkedin上的人数大概有7个)，想想上次去混交大校友会，看看人家那阵势哎。。。
西安电子科技大学的中外合作项目怎么样？除了学费高，和普通类专业有什么区别？,我是第一届中法合作学生，利益相关，匿名。 通院的项目办的还是不错的，但是电院的领导，呵呵 说实话，不要来上。有那个钱和分数去宁波诺丁汉就好了。我现在挺后悔的，上课国内外衔接不上，课表出错，没有重修，考试法方题都看不太懂，补考一律算60。 最重要的是，出了错，负责人从来拒绝背锅，一句话，都是我们的错。为了让我们上这个项目，把分压的没法看，以至于到教务处老师都可怜我们不想给我们打印gpa. 只要没有上头来查，学生都是孙子，能糊弄就糊弄。交了钱来当孙子，骑到头上拉屎。 如果你想出国，还是去上通院的项目吧，我们这个真的是太黑了，想想都恶心。 还有，法国的polytech group居然还有倒数的学校居然还能硬着头皮说好得很   
计科专业考研西交大和西安电子科技大学哪个比较好？,敢问题主本科学校是什么层次的，211吗？
在你的印象里，西安电子科技大学是一所怎样的学校？这里培养的学生有哪些特点和不足？,埋头苦干，做事踏实。技术帝很多，但也仅仅是技术。西电学生在专业上其实很能干，但感觉对基础学科不是很重视，所以学校内很多技术帝其实也只是玩花样的多，真正高水平的其实不多。不过就EE来说，做电赛的学生很厉害，无论从工程还是理论上来说都能甩开一般本科生好几条街。在CS这边吧，接触到的同学大都一般般，几乎都是非常纯粹的码农，就是那种念叨着安卓安卓安卓，APPAPPAPP，但连事件驱动编程都没听过的。不过少数的真大神，简直膝盖收割机，自己写编译器，自己写OS，自己搭CPU的都有。不过估计其它学校也一样吧，无论到哪儿大牛都是少数几个。就是这样，西电的学生与学生之间差距非常大。（至于那一大波游戏成瘾的，就不提了。）
西安电子科技大学和电子科技大学哪个更好？,西电校长的儿子在成电上学，你说哪个好？
西安电子科技大学私自降低研究生学业奖学金，我们究竟该怎么办？,西电研究生奖学金不是10000，6000，2000三个档次吗?还没读研，不清楚实情
四川大学和西安电子科技大学哪个在全国更有知名度？,去川大，你会成为一个人， 来西电，你会成为一个工人。
西安电子科技大学本科毕业去的比较多的公司和待遇？,认识一朋友，2016年西安电子科技大学毕业的，软件工程专业，现在在华为上班，坐标北京，月薪10000+
如何评价西安电子科技大学物理与光电工程学院2017届本科毕业生所有毕业论文被打回这一事件？, 作为被坑的很惨的相关人，有必要在此澄清，不是98%的论文被打回重做，而是 100%的论文以专业班级为单位被打回来重做。   事情经过：今天（6.12）中午，班群紧急通知，全院500多号人的论文全部被打下重做， 500多本已经签好字，胶装好上交入档一周的论文全部被打下重做。 每个宿舍领到论文后才接到理由：签字表格、论文格式不合格。 今天下发尽快重做，明天（6.14）下午6点前上交逾期不予通过。        什么？？？！！！  不合格？？？！！！  全体不合格？？？！！！  逾期不予通过？？？！！！  全院5个专业500多号人的论文可是对着《2017届本科生毕业设计要求》改了不下数十次，整整一个月。在6月8日已经确保没有问题后胶装成册，被催死催活地按要求上交后，现在告诉我全部不合格？？？！！！那之前有关的领导老师食shit去了？？怎么没一个人提前发声呢？？都到如今这份上了你告诉我全部不合格，所有已装论文都作废，胶装全拆，表格全部重填？？且不说表格的填写很多内容本来就不是我们学生的责任，意见鉴定本应分属于指导老师、答辩老师填写，上次就让我们学生自己可怜巴巴杜撰内容，给你们留个签字的空，你们签完字检查完没问题后交上去。现在打下来说我们代填的内容不贴切，表格格式有问题得全部重新填写、打印、签字。  真的此时已经想骂人了， 首先，已填写的表格是是答辩组给拷的2017年毕设表格，你们自己给我们的表格模板你现在说有问题？？   其次， 这次重改事件造成的损失你们有没有想过？？一个人打印下来小一百块钱，500多个人几万元的损失凭什么由无辜的我们自行承担？？   再次， 即使你要求重新填写重新修改论文我们接受那你也得给个格式标准啊，然后截止到现在，被要求修改的地方依旧没有标准通知。那你告诉我怎么修改？？修改啥？？   最后， 即使修改完了打印出来了还得不远万里从秦岭下顶着烈日挤着城乡公交去老校区找答辩组一个个老师重新签字。你特么觉得这简单？？我们答辩组老师答辩完了出差了你告诉我我怎么去找人签？？    院方某些人玩忽职守通知不到位造成的教学事故凭什么要求我们背黑锅？？   分管教务的某副xx是不是真闲的蛋疼没事挑事只能靠这些刷存在感？？  还是仅仅因为格式没达到你个人喜好的要求？？  所有论文已胶装上交现在全部拆，表格重打重找老师签字评语按今天的要求自己杜撰……这些怎么看都不像是个正经建制的单位所为，怎么看都觉得自己上了个野鸡大学。本校通院电院计院机电院经管院数统院微院空间院生科院外院网信院等大小学院怎么没见一家这样？就你物光厉害还是怎么的？明摆着在自己打脸告诉全世界自己是野鸡学院，在答辩时出的事故已经让人窝火了这下倒好全院离校未离校的都被这一声令下搞得焦头烂额，改签返程加班开始改论文。  6月12日下午，出了一则落款为5月27日的不能辨别真假的格式通知，还是没有反映出要求修改的内容，但这表明了两点： 要么负责人忘了通知要么通知的日期系伪造。      接着接院里通知摘要中英文必须另起一张，偶数页设成空白页。  我们按要求修改后页码页眉全乱了，但还是耐着性子解决了乱码的问题，可之后又接到通知说全改回原来格式，即中英文分处于正反面，取消另起一张。此时内心真呵呵哒已无力吐槽~        接着又有临时通知：章标题加大段前段后间距是不够的，得再再再加大。但具体加多少，依旧没人通知，此时夜深了，大家都改得等得急火攻心，可还是没有负责的人出来说明问题。这朝令夕改前后不搭的作风真符合贵院精神呵~  说到朝令夕改，不得不提一周前的答辩。学校要求是6.1开始，可本来通知是6.3号的答辩被贵院某些人临时提到5.31，并且还不给通知。等到现场答辩顺序过了负责老师还是没发觉有几个学生尚被蒙在鼓里并不知情。若非同班同学的电话，还在老校区实验室的同学只怕已错过答辩延期毕业，最后经历了列惊心动魄的极速飞车赶到新校区答辩现场在老师离开之前最后几个补上答辩。事后老师互相推诿说没接到通知或通知不到。这就是贵院的作风。  本来对于西电最垃圾学院——物光的好感度已降至最低，谁知某分管教务副xx还嫌友善度不够低，索性再加这么一出恶心死人不偿命的戏，把17届毕业生对学校仅存的一点好感度也败坏殆尽。对此我已无话可说，只是在西电四年，从没见过大家像今天这么团结一致骂学院的。  2013年院系合并生成物光后，贵院两系依旧不融合，且山头主义严重，两班老师至今都互相不给对方院系上课。其中某系方向老化，某些人视野堪忧，天天鼓吹找不到工作的无线电物理计算电磁学， 强行推行已经被扫进历史垃圾堆的Fortran编程（还不能用Matlab） ，本科进校时承诺保研15%大四保不到13%……贵院政策这种朝令夕改说话当放屁摇摇欲坠的状态还在持续，每年保研保20人走20人难道还不能说明问题？可叹某些负责人依旧没有认识到这一点，还天天痛心疾首优质生源大量流失， 事实是贵院打着电子的招牌录进来一群学应用物理方向的学生，并且在学校大力支持竞赛活动的同时，整个物光的领导到老师不鼓励竞赛！特么的从电赛到数模到国创再到ACM全部不鼓励！！！ 白白浪费了高分进来的电子信息科学技术专业和电子科学技术专业这么多学生的四年青春。  贵院的恶心风气从大一开始就作孽不断，参见回答：  怎么看待西电教室前三排必须留给女同学的所谓“传统”？ - 知乎  就冲这从行政到教学以及某些组蜜汁自信的现状，说贵院是三本一点都不为过。  说了这么多我就想知道， 把这些事戳出去影不影响贵院招生？反映到西电纪委能不能启动问责？   天灭物光院，脱坑保平安。  每当我听到学弟学妹喊的口号： 环顾长安八百里，唯我西电大物光。 就觉得尴尬和恶心，现在换个角度想，也许整个长安城所有大学的学院加起来就唯你物光是奇葩，想想都觉得讽刺呢。  ~~~~~~~~~~~~~  说该院是垃圾学院没人反对吧，科研不如其他院还不思进取。 整个院和西电的电子信息计算机强项没有任何的毛关系。本科专业设置全是打着电子信息的招牌骗人的，谁能想象到电子信息科学与技术专业竟然是无线电物理下辖的理学。 全院没有什么重点专业，国字号重点学科0，引进高端人才接近于0，内部水很深，师资西电本科土著非常少。还有大家可以看一下2017年各院规划：     没有对比没有伤害 ，看看别的院都是什么长江千人国字号，国重清华示范性，抓本科教学研究生质量 ，而物光呢： 画什么与中心工作紧密融合的同心圆 。这空洞无力形式主义满满假大空不干实事的口号也算是该院的本能反映吧，让人对比了只觉得想笑余味是无尽的尴尬与痛心。就这样吧~ 
西安电子科技大学电路与系统专业是学习什么知识？出来是做电路设计吗，看招生简章的方向几乎没看见电路设计,这个专业就是研究电路与系统的理论、分析、测试、设计以及其物理实现的。出来是完全可以做电路设计的活。不是非要出现电路设计四个字出来才是做电路设计的。咱名字可以取得牛X一点，电路设计这个名字多土啊！
如何评价西安电子科技大学硕士提前毕业等一系列政策？,题主既然提到清考，我来歪个楼。 个人赞同取消清考政策。  好多学校都不存在清考这种奇怪的东西好吧？ 正考挂掉就好好准备补考，一般来说都会有若干次补考机会的。 给了那么多补考机会还不珍惜，还寄希望于毕业前夕的清考，对于这样的学生，只能说活该拿不到毕业证。
西安电子科技大学的教务系统为什么会出现这样的错误提示？,因为系统维护者的态度问题，不吐槽了，希望西电可以做到更好
西安科技大学怎么样？,简历：西安科技大学1958年成立，为西安交通大学分拨出来的能源系等重组的西安矿业学院，1999年更名为西安科技学院，2003年更名为西安科技大学。（更名就是为了改个好听点的名字忽悠人，第二次改名西安电子科技大学都抗议了，但上头顶着压力还是批下来了）现在分两个校区，老校区位于西安市雁塔区附近，临潼校区位于临潼区高速路口附近。（西安火车站乘坐306，307，914，915西安科技大学下车即可，现在正在修地铁，估计三四年年后可以直通西安）  学校是一个理工科学校，偏重工科。主要学院有 1.能源学院（亲儿子，招牌菜采矿和安全工程） 2.电控学院（实力相对较好，有电气工程及其自动化，和自动化专业等口碑还好） 3.机械学院（因为有原来的矿山机电基础，有一点自己的特色） 4.建工学院（在西安高校中一般） 5.能源学院  6.理学院 6.艺术学院（。。。） 本科生均在临潼校区上学，环境一般，因为近两年西安雾霾常常爆表，临潼也一样，雾霾较严重。学校的学习氛围总体来说稍有不足，不过更多的是你的选择，你可以选择跟着学霸一天到晚图书馆带着，也可以和舍友宅宿舍一天，也可以和基友在网吧撸一天，跟对人很重要。 矿物加工不太了解，但应该是能源学院的专业，学校课程设置上有时会有点乱，弄得人摸不着头脑，常常电路原理老师要给你科普复变函数的知识，能源学院最好的专业是安全工程，国家重点。然后是采矿专业，毕竟这方面是强项，也是特色，矿物加工的话估计是个比较一般的专业（有时间去了解了解） 就业嘛，现在普遍都不好找到一份满意的工作。就业率？有，当然有做过统计 看起来信息管理与信息系统专业的辅导员动员工作做的不够好啊
西安电子科技大学的食宿条件如何？,宿舍很好，但是吃的很一般
西安电子科技大学教育学方面研究生怎么样？很不好吗？, 不是的呀，中央民族，北工业，北理工都有教育学的专业，包括华中科技。换学校是一回事，关键是看你之后出来想做什么再决定考什么学校吧。 
如何评价西安电子科技大学的研究生推免政策？,学校无良
电子科技大学沙河校区和西安电子科技大学如何选择 本人浙江 今年沙河只招24人 西电招148人 ？,少了这么多名额还是谨慎报考，建议西电，离北京近，实习机会多。
100天跨考西安电子科技大学研究生，可能吗，本科没有接触过计算机？, 其实我还想知道咱们数学基础怎么样，英语基础怎么样，毕竟考研是四科都要考，政英数加专业课，而且数学和英语都是很占时间的学科，如果你公共课都非常好的话，这一百多天专攻计算机还是很有希望的，如果公共课那边也一样需要猛攻的话，就有点危险了！ 
本人纠结于西安电子科技大学计算机和东北大学计算机。都稳进。大家选哪个。北邮有点悬。进了也选不到好专业？,东北大学985，且计算机科学与技术国家重点，保研率低 西军电211，电子信息科学与信息安全重点，保研率高
通信工程考西安电子科技大学都需要准备哪些学科内容？？？？,去学校研究生院的官网找上一年的招生目录，里面会有要考的科目和参考书目
西安电子科技大学密码学？, 国内第一 毋庸置疑 
西安电子科技大学值不值得去？,不值得去。 第一，西电课程巨多。想大学过的轻松的就别来了，否则会觉得又上了一回高中。 第二，西电课程比较难，给分低。想刷绩点出国的，就不要来了。 第三，西电女生少，架子大（当然，这点存疑，也有可能是我比较吊丝。）。想谈恋爱的就不要来了。 第四，西电管理差，后勤差。想过舒心日子的就不要来了。 第五，西电多数专业和电子通信计算机相关，码农学校。想过高大上金领生活的同学就不要过来了。 第六，西电院士、Ieee fellow、各路专家不少，不过和小本科生没多大关系。 第七，西电论文著作不少，不过能正真啃下一本的人都不多。  西电人离开学校后还会背着这个牌子的，和电路、信号、编程有关的活还会推给你，因为大家都知道你是西电人，默认你会这个。我在外校读的研究生，都毕业三年多了，到现在还在看大二的《信号与线性系统分析》、《现代信号处理》、《自动控制原理》、《数字信号处理》。只要沾上了西电，信号、电路、编程三个大坑，总有一个你是避不过去的。哈哈，不说了，看书看书！风雨天最适合读书啦！！！
大家如何评价西安电子科技大学？,此问题在“西安电子科技大学”标签下占据首位好几天而几乎没人回答，可见一斑。
西安电子科技大学和电子科技大学该怎么选择？,作为一个在成电呆了快十年的学生，我觉得吧，如果不是李校长，这个问题下许多回答都要变一变
如何评价西安电子科技大学的介四相声社？,答案删掉了，因为我弄错了陕西建筑科技大学和陕西电子科技大学_(:з」∠)_ 所以……我先占坑，了解了再说。
如果通过西安电子科技大学专项计划，高考最低要多少分？,没有参加过这个计划，从招生网上可以得到详细信息，好像是当年最低录取线下降20分吧
211西安电子科技大学专硕和普通资本学硕区别大吗？,区别肯定大啊 一个是重点一个是普本，而且现在不分专硕学硕，如果就业的话，专硕更好。
北京邮电大学与西安电子科技大学应该选哪个？,目标是北邮读研的话，建议本科就去北邮。 可以很负责任的告诉你，北邮的导师更偏向于招本校的学生。 关于转专业，大一上学期期末考试后，根据排名，前几名会有转专业的机会。到时所有转入通信工程专业的学生会组成一个新的班级，俗称“学霸班”。 以上只是本人在读时的情况，具体今年会不会变，还要看情况，仅供参考吧。
西安电子科技大学软件工程学院是否有卓越班？,有，进校只能报软院卓越，而且进了卓越不能转专业了～
请问一下西安电子科技大学的电磁场与微波技术方向怎么样？能推荐几个好老师吗？与西工大或者交大相比呢。,电磁场与微波技术重点学科属于国家级重点学科，建有天线与微波技术国防科技重点实验室，电工电子国家工科基础课程教学基地，1996年被教育部批准为“211工程”重点建设学科，2000年获教育部批准设立“长江学者特聘教授岗位”。本学科着力于结合电磁场与微波技术领域的新发展，研究天线与微波技术的理论与应用，着重开展天线与微波关键技术的基础性研究，为我国的国民经济现代化和国防科学技术的现代化服务。特别是在计算微波与计算电磁学、电磁兼容、先进天线设计理论、天线测量新技术、电磁散射、天线隐身、非线性理论及其在电磁学中的新应用等领域科研工作一些方面取得一定的突破。   西电，个人主页，西安电子科技大学，教师，导师信息，教师，个人主页   
目前就读于西安电子科技大学，计算机科学与技术专业，请问保研有什么好的学校可选？,我觉得你们学校就和特别厉害呀，我周围好多小伙伴考你们学校都没考上呢。
为什么西安电子科技大学没有评上双一流？,据传闻，一流学科也只有通信和计算机两个，对的，电子科学与技术居然没进，不知电院情何以堪
