上海理科考生，北京林业大学和宁波诺丁汉大学选哪个更好？,各有千秋 单看生源倍林比宁诺分高不少……样本取自来自10+省份的同学，省份不同无可比性。 都是不错的学校      仅仅仅仅仅代表个人观点  以及个人发展和学校没有，没有，没有关系
最近在报考，想知道北京林业大学的环境怎样，风景园林专业如何，谢谢?,本科男生六人间上床下桌，女生八人间上下铺，研究生四人间且可选舍友。 男生宿舍有空调，女生暂时没有。 男生澡堂在楼内，女生澡堂在楼外另设，不过跑得快就不会被冻到，女生也可以自己打水楼内水房洗澡。 全校男女比例约3:7，园林学院女生更多，男生选修交谊舞，可以和三四个女生跳舞，毕业合照可以一手一个妹纸。 校园不大，不买自行车也可以，出门可以租自行车，小南门出去有公交，学校的南面有两个地铁站，其中一个是始发站，总是有座位坐很方便，打的回学校的时候可能会有点麻烦，因为司机大叔不一定知道北林在哪。 据说我们学校有11个食堂，现在又要新添一个了，呱呱有意大利面日本拉面韩国泡面兰州拉面哈尔滨烤冷面等等品种丰富现做现卖，有清华的汉子北林的饭的传说。 北林学研自习小贴士 1由于学校不定期清桌子搬桌子，且有喜欢偷东西的黑衣大妈不定期骚扰，尽量抱团自习，吃饭上厕所时至少有一人呆在座位上看东西。 2A座13层14层楼梯间离设计方向老师办公室近，经常能看到老师，但是人来人往干扰性大。 垂花门前自习区离植物方向老师办公室近，不定期搬桌子。 14层展板区人流干扰性相对较小，离老师办公室较远，不搬桌子，可以看各种学生作业。 C座沙发区，冬暖夏凉好刷夜，兵家必争之地，撕逼高发之区。 一层自习教室，环境最佳，基本占不到座。 其他楼层教室，每天清桌子，不可占座。 其他楼层楼梯间，虽然是别的学院的，但是可以充分利用一下。 3尽量不要带零食午餐榨汁机电饭煲进学研，否则后果自负。 4学研无论冬天夏天楼道楼梯间温度普遍偏低，请自备小外套小毛毯，冬天请贴暖宝宝。北京自费医疗级别比较高，少刷夜多锻炼。
北京林业大学动画与交互怎么样？？？, 考上了吗？   
北京林业大学地图学与地理信息系统研究生主要干嘛？,看到题主的这个问题，思绪万千。。。这里只做陈述。      题主题干不清，所谓的干嘛，是指平时学习一些什么，做什么工作？还是毕业以后干嘛？      我就介绍一些基本情况吧，北京林业大学的地图学与地理信息系统（一下简称“地信”）分别位于林学院和水土保持学院，两个学院的不同大概可以看名字，林学院的地信更专业一些，从师资到项目都更切合地信的范畴，大概涵盖：开发、林业遥感、林业航测和森林经理等，也因为各个老师的项目不同，接触的内容也会有不同，我列举的这些算是比较传统的内容。水保学院则是围绕水保展开，水保措施、项目的提取，相关地理信息系统的开发、沙区人居地理、农作物估产等内容都有涉及，主要是围绕水保和沙区、荒漠化等内容展开。      教学和科研与全GIS差别很大，所谓的全GIS，题主可以参考北大和武大等学校的教学和科研内容。毕业以后，毕业生分布的行业很广，高德、腾讯等等都有，主要看个人能力和意愿。
北京林业大学和哈尔滨工程大学哪个好？,嗯。。。楼上已经不是原来的那个楼上了   题主无脑问，楼上无脑答么【drunk】 。。。。。。。。。。。。。。。。。。 北林大与哈工程在定位与分类上都不太相同，一个偏向农林，一个偏重工科，各自都有各自强势专业。  单看综合排名哈工程要高于北林大，但是事实是否真的如此答主并不清楚，毕竟只上了其中一所。只想提醒一句不要忽略区位优势。  看各自专业，北林大的院士比哈工程多，农林方向学科强势，哈工程的工科在同等级院校中普遍处在中上层次，三海一核的特色，包括船舶等相关专业排名都极为靠前。 说到看专业，还分本科与研究生教育之差，默认考本校研的话院士数量与国家级实验基地等因素就应当加入考虑范围了。  以上资料来自百度百科，参考价值不太高。  建议题主修改问题，越具体越好，否则无法得到答案。  利益相关：哈尔滨工程大学学生，考虑过北京林业大学。
北京林业大学风景园林学博士考试风景园林理论课怎么准备？,请问题主考了没有？
北京林业大学风园设计专业好吗？就业前景呢？谢谢。, 距回答此答案已经过去三年，行业形式变化很快。未免给大家和我自己带来不必要的麻烦，以下内容不做更新，大家慎重看待。有问题可以私信交流。                                                                                                                                             2017.6.23  ————————————   首先申明一下，我是北林在校的风景园林本科生。 关于你的问题我想就下面几点回答。 ————————————  1.景观现在这行就业前景很乐观，至少在10年之内不会变。  1）风景园林2011年刚升级为国家一级学科，以前的 地位 是建筑学下面的“小三”，现在和建筑学平起平坐，当然这个 地位 还需要时间积淀以达到社会的认可。 2）人们生活水平的提高必然会促进生活生存环境的改善，这点和十八大报告提倡的 生态文明建设 是相互关联的，这在无形中也加大了各级政府对于环保、绿化、城市景观建设的重视。可以说现在景观这个职业在全国一二三线城市的热度在逐年增加。  3）楼主有兴趣可以去查查近几年新开设的风景园林及相关专业的 院校数量 （不同地区叫法不同，风景园林，园林，景观设计，环境设计，.....），绝对是成井喷式的发展。这也能侧面说明现在景观这行在社会上很吃香，所以才会有越来越多的高校参与进来。   2.关于风景园林专业和金融专业对比。  我没有读过金融专业，没有绝对的发言权，所以这点就当是我自己的主观意见，说得不对欢迎大家指正，咱们再探讨。  1）——风景园林是我目前了解到的为数不多的 本科学历就能找到好工作的热门专业 （当然研究生学历就更不用说了），注意我说的是热门专业，不是考古，防雷，采矿，食品.....。造成这一个现状的原因和第一点有关，也就是 目前社会对本专业及相关专业人才需求量极大。 所以如果不是自暴自弃或者实在水平太次的话，一般都能找到较好的相关工作。之前我查过学院的近几年毕业生去向情况，专业就业对口率百分之九十五以上吧。这个比起很多专业学完之后还要转行或者跨专业考研来说，我只想说， 读风景园林你不会白读四年大学。       ——金融类、经济学相关专业目前的状态是只要是个大学（1，2，3本各种综合性非综合性....)都有这种专业，可想而知全国这么多大学一届毕业生里面 学金融经济的学生数量 ，这些最后都是 和你竞争工作岗位的人数量 。可能很多人说我这种说法不对，学金融经济的虽然人多，但是就业面广啊，不管是企业政府只要有钱流动的地方都需要学金融经济的人才。关于这种观点我的看法是：专业就业面广换种说法就是什么人什么学历背景都可以干这行，普遍的职业是财务，更普遍的职业是银行职员等等（当然我完全没有歧视财务和银行职员的意思），如果你仅仅想找一份工作，那其实读什么专业在哪儿读都无所谓啦，大城市混不下去大不了回家种地。（社会主义国家的优越性来了，不会饿死你。）但如果你想找一份体面的金融经济专业工作，我可以负责任的告诉你，你必须 读一个很好的经济类大学 （北京的对外经贸、央财，上海的上财，成都的西财....)的相关专业至少 硕士学历 ，还得拼爹拼妈找找关系。如果你选择在北上广这种大城市的话肯定会公平很多，不过这对你学历和专业素养的要求肯定会更高更苛刻。 (ps，我有一个朋友在对外经贸读金融，女生，想在北京找工作，刚考上外经贸的研究生，对就业前景依然很不乐观。题外话。) 2）"他们觉得女生考个金融类专业以后比较好找工作，前景什么的现在好不代表几年后毕业仍好，还是金融类安全性高。 "——关于你父母的看法，我没资格说什么。不过可以做个类比，我记得我刚上小学的时候当时我父母、叔叔阿姨口中用教育我的优秀榜样的大哥哥大姐姐读的绝对是经济，工商管理。之后07年开始就变成了机械，电气自动化，可以比较偏颇，但是这两个时期这些专业确实在全国掀起了热潮。好，我的结论出来了： 所谓的安全系数高的专业是在不同时期不同社会需求条件下来定义的，不能跨过时间界限而论。 没有哪一个学校哪一个专业能保证绝对的百分之百就业，北大毕业的还有摆地摊的是吧。所以问题就来了，怎么才能在一个时期找准安全系数高的专业。我认为这个就得 看清就业前景 ，得看到那个行业发展的潜力有多大。这个结合上面的第一点，楼主可以自己去查查相关数据研究下国家的报告和政策进行分析。之前我也没具体研究过。 3）补充一下，这里我所做的对于风景园林和金融两专业的对比， 是基于在同等的大学条件和时间付出前提下进行的。 也就是说，如果你学金融读到博士最后找了一个月薪2w+的工作，是不能和只读了风景园林本科出来找个6000+的工作进行横向比较的。关于时间成本，相较而言，个人认为读金融会更费脑，越是找到更好的工作就越费脑（股票投资经理，对冲基金经理，精算师.....)，而景观这行是资历高了之后你只需要站在宏观的角度进行概念性规划，画图那些体力活基本都由你下面的人干了，所以是越来越轻松。   3.北林和北林风景园林的情况。  这一点我是最有发言权的，11年刚进校的时候风景园林升级成一级学科，我们是第一批课程改革的学生。所以各种情况都有经历到。 1）北林是211大学，”全国绿色高等学府“.....各种头衔百度就知道不说了。引用一句我北京同学的话“北林如果没有园林学院，在北京只能算个三四流大学。”学校的硬件情况也引用一句现在我们广为流传的一句话“北京高校只有两类，有装空调的和北林。”不过有块 秒杀各大高校的10000多亩的学校教学实验用地 但是你基本没机会去我会告诉你么。哈哈哈。 2）园林学院的整体教学水平绝对是全国第一，2013年一级学科教学评估，北林园林学院风景园林专业全国第一，第二是清华（不过清华马上要开景观本科系，将来超过北林也不是没可能）。关于景观这块的业界情况，楼主可 酌情参考  景观行业设计的八大门派大战——剖解分析篇   。 3）在北林风景园林的课程其实是5年课时量压缩到4年的，然后 4年的课业压力可以说是非常重，基本没有喘息的时间。 和建筑经济物理学等都可以一比。说得好听是充实，说得不好听就是辛苦。时间掌握不好的话还得熬夜画图。所以说你是花4年的钱，读4年的书，上5年课，画5年+的作业，住8人的寝室，和6个女生竞争一个男朋友（3：7男女比，不要忽略一对基的存在）。其实任何大学都有好的不好的地方，不过 就专业而言，你绝对能学到比你读其他专业的高中同学多得多的东西。    4.针对你的情况的个人建议。  1）其实选择什么样的专业我觉得应该是你的自己决定，因为 以后生活过得开不开心，工作有没有干劲或者成就感和你选择的职业密切相关。生活是你自己的，不是你父母能够决定和控制的。 我有很多朋友同学都是父母和老师给定的学校专业，等到了大学突然发现自己不适合不喜欢，这个时候已经晚了，要不就硬着头皮继续读下去然后跨专业考研或者直接转行，要不就退学再去高考，最惨的就自暴自弃一事无成。这点绝对不是耸人听闻，楼主可以多去了解。 2）每个行业都有它的优势和弊端。要正确看待，就像楼上那位师兄，虽然说得很惨，但是可能月薪2w+， 有付出有回报这个社会的基本准则在目前还是不会变的，不要妄想着找个轻松又赚钱又社会地位高的工作。 当然拼爹的情况在这里不讨论。 3）个人认为女生干景观这个行业天生的劣势是不能熬夜，不能出差，不能陪酒。 所以上升空间普遍没有男生大 ，不过也有例外，我们的老师姐东方园林的董事长何巧女前年校庆的时候给学校捐了5000w。所以如果女生读这个专业最好就是本科出去就找个好点的工作找个好男生结婚，以后慢慢往市场策划营销管理这方面转，脱离画图，生活愉快，家庭幸福。 4）"理科生，没有学过画画，但很喜欢植物、设计、美术等方面，对金融一点兴趣都没有，数学不是很好。"——在我看来你是感性意识强于理性意识，喜欢新颖的美好的事物。理性的东西不太适合你，如果读的话可能会觉得很辛苦。  最后希望楼主能把眼光放长远些，和家人沟通好选择一个大家都满意的专业，好好学习，天天向上，做人生的赢家。  当然楼主如果真读到北林了我们可以再交流。                                                                                                                               Jon Snow                                                                                                                                2014.7.8 
北京服装学院视觉传达和天津美院视觉传达还有北京林业大学环艺哪个好？,当然北服好了
如何评价北京林业大学和千叶大学合作的景观硕士项目？,个人觉得你可能可以参考清华和千叶08年就开始的合作项目。千叶那边章俊华和三谷彻每年春天都会来清华北林办讲座。你可以到时候去现场问问。 ps前院长现在的副校长李雄是留学日本回来的。个人估计，能交换的估计是保研的或考研考的很高，能分到王老师和李老师门下的学生。
北京林业大学生物科学怎么样？有没有前途？,貌似答题的时间比提问晚了很多，题主是不用看了哈～  首先还是不建议学生物！除非那些很清楚自己学生物以后要做些什么的人！不然真的不要学生物！学的痛苦，毕业痛苦，甚至身体痛苦（有过敏体质的人建议远离生物化学等专业！）  我那时候生科班很厉害，生技一般吧，大一期末按成绩分班，生科保研比例高些，好像外校名额也多。生科是国家基地班，貌似那意思是帮国家培养的～据说他们还有洗澡补贴……  一般大三开始就都跑到实验室里开始做实验了，具体内容算是比较丰富吧，基础方面的前沿研究大概不多，但是植物动物具体的研究对象还是很多的，植物大多还是和林业有关的，动物貌似有研究老虎的，算是野生动物保护那边的吧，还有研究各种蝇的，有研究野马的，也有做生物统计的大牛，还有植物分类的大牛，教授挺多的。  如果喜欢生物，有科研理想和意愿，北林的生物还是相对不错的，实验室和设备可能数量没那么多，但是大老板的实验室还是很出色的。  保研和出国比例都挺高的，本科阶段也能做科研，但是最关键的还是自己能力，也有毕业之后没有工作去辅导学校教补习班的，虽然未必少挣钱。一般毕业的本科工作大多是生物公司吧，测序，销售什么的。这也是生物专业的大环境吧。  保研出口涵盖所有可能，清华北大中科院应该每年都有的，考本校貌似也比较好考，农学类的研究生貌似考化学～  前途，如果不考虑生物专业的整体情况，在专业内，还是比较被认可的，好歹也是211哈～
学园林去中国农业大学还是去北京林业大学？,当然北林
本人2016福建文科高本一30分，报考北京林业大学，求诚答？,看在你个高考生填志愿急的面子上，我也就不找你个伸手党收费了： 一、招生专业问题：     2014年福建文科本科一批控制线561，北京林业大学2014年文科在福建招生最高分616分，平均分612分，共录取7人，线差51分。 其中： 专业----------------- 文理-最高-最低-平均分如下 旅游管理------------文史610-610-610 英语-------------------文史611-611-611.0 国际经济与贸易---文史616-613-614.5 农林经济管理-------文史613-613-613.0 法学--------------------文史612-610-611.0 自然地理与资源管理属于我校传统优势学院（全国唯一的水保院）的优势专业，2015年开始文理兼招，印象中应该也算艰苦专业了，分数线有可能比其他专业稍微低一点，将来想转法学，英语的话，需要你至少拿到专业前几名吧，难度应该也不算特别大，可是你都已经进了这个这么有意思专业了，何苦浪费一年时间将来还要学法学和英语呢？  二、宿舍问题：     肯定有得住，之后应该也算北京数一数二的学生宿舍了  三、图书馆及教辅问题： 藏书：北林图书馆博大精深，光是专业书籍给你一辈子你都看不完 座位：只要你够努力，图书馆永远都有你的座儿 教辅：现在教辅谁还上书店买啊  四、师资力量问题：     在林业及相关优势专业领域，本校的师资、资源肯定是全国最好的；在经管、法学、英语、人文等专业，我只能说离其他周边院校还有差距。老师这方面，什么类型的都会有，林业人的特点就是不爱假大空，做人做事都实诚的很，教你做人我想还是足够了  五、安全问题：     安全不在于校园，在于人，鉴于我校3:7的男女比例，应该还是比周边各校略微安全一点，同学方面，只要你对人友善，人肯定对你友善，这到哪都一样。在北京读书你大可放心基本上不会有啥地痞流氓之类在校园、宿舍周边出现找你茬。  最后： 你想法这么多，先擦线进个211，再转专业，再考985  何必呢？ 好端端一孩子整啥曲线救国 多复读一年直接去考个985多好 我校又和你无仇无怨的
北京林业大学修双学位的人多吗？,谢邀。 首先，林大不能修双学位。想要学另一个专业的话可以选择报辅修，周末上课，大概上两年。（这个我也不是特别了解，只是看到我的闺蜜是会计辅修，每周日上课一整天，两年结业） 然后，学习氛围特别好（我觉得）。宿舍楼道里永远有熬夜画画的。我们班的小伙伴们闲着没事就泡图书馆。一到期末图书馆里全是人。 最后附赠北林教务处链接  http://  jwc.bjfu.edu.cn      。关于双学位和辅修的信息里边基本都能找到。
来北京林业大学值吗？,本科看学校，题主说在你们省北林分数超过不少985。。不少暂定义为3所以上，那只可能的省就是湖南了？ 题主的这个值不值从金钱角度上来看，你足够优秀，北林奖学金足够学费，毕业的薪资肯定不能跟北京的985比，但跟外省比这就不了解了。从时间角度，在北林读4年，是哪个专业？这个问题问的真是太难回答了，因为题干实在确实信息太多，建议题主别比较了，好好学习才是真的，金子到哪儿都能发光
福州大学，河南财经政法大学，北京林业大学选哪一个？,果断北林，第二福州大学。 我是河财的。 你知道，就业的时候，很多学校都有“光环”。北京的学校有光环，211985也有光环。唯独河财没光环。
北京林业大学风景园林自主招生需要什么作品？,据我了解的，招生简章上有规定内容。人物头像或者静物。个人偏重人物头像。
今年考取了北京林业大学植物学的研究生，想在读研期间转行计算机，应该从哪些方面准备呢?（学过数据库VF）,学长这个问题我不会，但是我比较想知道学长的北林植物学考研书籍和资料用的哪些？跪求解答
北京林业大学和东北大学秦皇岛分校的计算机科学与技术哪个比较好？, 这种问题最近被邀了超级多，不过你这个实在忍不住要答。  肯定是林大啊，再怎么说也是211，而且在北京。东北大学秦皇岛分校档次差多了吧。 
在北京林业大学的工学院就读什么体验？,毕业了，手机码字，排版较渣。  我从一个机械本科生的角度回答一下题主提出的问题。估计这个答案不会有太多人看得到，就当是写给自己的吧。  关于教学质量：除了极个别科目以外，老师都很认真，水平很高。听过一个段子，大概是：“在牛逼大学里，老师认为学生牛逼，学生也认为老师牛逼；而在弱鸡大学里，老师认为学生是弱鸡，学生也认为老师是弱鸡。”我不知道老师是如何看待我的，但是我认为我们专业绝大部分老师是很牛逼的。比如俞国胜老师，俞老师是真正的知识分子，是一个大写的人，是我从小学到大学遇到最好的老师，是我一辈子都不可能超过的那种人，大一暑假在实验室做节能车总能看见他在干活，开始以为那个穿的脏兮兮的老头是工厂的师傅，后来才知道那个老头是我们的前任院长。大三和大四有他的课，俞老实事求是，给分绝不虚高，在他的课上拿到的两个90+我可以吹一辈子，大四跟着他做毕业设计，邮件每封必回，跟着他真的可以学到很多；康峰的课非常精彩，经常拿优质课的奖，人很有激情，能把枯燥无聊的机械原理讲的很有趣；姜芳的理论力学也很赞，山东的同学们一定可以很快适应她的讲课风格；赵东的材料力学讲的很透彻精彩，在他的课上不会感到瞌睡；此外还有神一般的田野，从不点名，上课只带一个U盘，ppt上内容也不多，但是可以滔滔不绝讲整节课，而且逻辑非常清晰，他的数控和机电一体化我很喜欢听；当然还要说一下刘毅，记得很清楚他在测试技术第一堂课上讲的几句话的内容直接让我搞懂了之前迷惑整个学期的时域和频域之间关系的问题，他在我心中也是神一般的存在。 但是我认为我们的课程安排存在不足之处，比如互换性与技术测量安排在大一上学期，在专业课没有学的情况下接触互换性肯定是听不懂的，还有专业选修课真正可以选择的自由度不高，虽然课很多，但是多而不精，如果选修课学时上升，每门课讲的东西再深入一点会更好。不过现在的学弟学妹们已经不是我们的培养计划了，他们的应该会更科学一点。  关于科研和学术能力：我在本科阶段前期嫁给了德语和赛车，后改嫁英语，除了做节能车以外没有参加过大创和其他科研项目，所以并不是很有资格评论。基本学院所有的科研项目都与林业有关，但是作为一个本科生，我觉得“科研”这个词有点遥远，我个人水平完全不能支持自己独立完成科研任务，我也相信除了少数大神，绝大部分本科生所谓的科研仅仅是干着搬砖的活，不过搬砖能搬到知识也是极好的。工院对竞赛比较积极，Honda节能车大赛，机械设计大赛等等参加的都很积极，成绩虽然不拔尖，但是在非工科211里面绝对不弱，唯一遗憾的是方程式只参加了一届，没法去赛车场装逼这一点很气。  关于其他院如何看待自己：我只负责学到应该学的东西，至于别人怎么看，I don't give a shit.  回答完了题主的三个问题，下面夹点私货吧  ++++++++++我是分割线+++++++++++  林大的工学院可能有一半学生是调剂来的，第一志愿并不是工科，我算是个例外，第一志愿机械，但是这是在我没考上当时的梦校北理的情况下做出的选择，收到录取通知书的时候我并没有很激动，因为我知道我不属于这里。记得很清楚，开学第一天和专业老师见面，就有很多人问到如何转专业，然而转专业的机会太有限了，能成功的人百之不过一二，忘了当时是哪个老师说了一句“既来之则安之”，当时还处于高考失利的阴霾下，并不能理解这句话的含义。然而四年后我明白了，本科的学校在某种意义上是个跳板，虽然没办法和清北C9比，但是211的平台绝对不能算差，今年我们专业保研3清1北，数不清的北航；不喜欢工科的人也有很多在研究生或者工作去到了他们喜欢的领域，当然还有其他心有所念并一直为其努力的人。他们用四年时间解释了什么叫“既来之则安之”，自己未曾放弃努力的人，从未被幸运女神放弃，一分耕耘一分收获是有道理的。  大家都是成年人，应当有自己独立的人格和思想，学到什么东西都是其次，最重要的是知道自己想要的究竟是什么，君不见top2里面也有迷失自己的人，心不再年轻了，甚至变成僵尸，其他的东西就什么也没有意义了。希望能有学弟学妹们看到这个答案，并不是说劝人努力学习，可选的路很多，学习只是其中之一，但是一定要找到一条自己愿意走的路，千万不要每天躺在宿舍打游戏，在这个年纪放弃自我实在太可惜了。  大学四年，我在图书馆度过了最多的时光，图书馆里熟悉的面孔换了三茬，送走了三届学长学姐们，今年轮到自己，感觉很特殊，用语言没法形容。14号毕业答辩完成后只是感到有点空虚，还是会很早起来去图书馆占个有电源的座位，然后打开电脑看电影；知道成绩以后内心也没有很大的波澜，直到学位授予仪式上我学士帽上的穗被从右侧拨到左侧，我才明白自己毕业了，那天晚上没去图书馆，第二天也没去，今天上去去坐了一会跟图书馆告别，但是再也找不到从前的那种感觉了，说实话是有点伤感的。我虽然讨厌集体，习惯个人单打独斗，但是跟朋友们告别的时候并不是之前认为的平平淡淡，可能只是自己的脸上显得无所谓吧。  毕业了，之前我认为我不属于这里，现在我依然认为我不属于这里，但是现在我想说自己我很爱这个小地方，我一定会怀念这里的。  愿喜欢我的朋友们继续喜欢我，我们一定会再见面；愿讨厌我的人们继续讨厌我，这证明我依然年轻。  希望你们都能过上理想的生活，也希望我的母校，尤其是工学院可以稳步提高水平，再见了，道一声珍重。  对了，我觉得咱们学校缺个人工湖，建在半导体那块地就挺好的。                                   2017.7.1于北京南站
北京林业大学和南京师范大学的临床与咨询心理学方向哪个比较好？, 首先，楼主想对比的这两个学校，确实在人们的视野里面，都是属于比较低调的，资料不太容易找到，我也是为了楼主的提问，尽力的去找一些内容，希望对你有所帮助  想必楼主对北林的咨询是有所耳闻的，北林的心理学建系比较晚，不同于南师大这种老牌的师范类学校，在建系之初，朱建军老师就把自己的心理咨询或者准确的说是表达性心理治疗等应用到自己的教学实践中，因此发展出了以意象对话、催眠心理治疗、绘画测验、叙事疗法为特色的方向上，可以说，北林的老师都是非常有特色的，像台湾的老师一样，风格迥异，每个人都有丰富的咨询经验，比如     朱建军 心理学，教授  雷秀雅 心理学，教授  訾非 心理学，教授  王明怡 心理学，副教授  王广新 心理学，副教授  方刚 心理学，副教授  田浩 心理学，副教授  杨智辉 心理学，副教授  吴建平 心理学，副教授  吴宝沛 心理学，副教授  金灿灿 心理学，副教授  丁新华 心理学，讲师  刘洋 心理学，讲师  孙世月 心理学，讲师  李明 心理学，讲师  李昂 心理学，讲师  项锦晶 心理学，讲师   这个是北林的师资情况，至于就业，这个还是没有统计的，楼主可以去他们学校官网上去查一下   北京林业大学人文社会科学学院        最后，关于南京师范大学心理咨询方面的情况  南师大有学硕和专硕，学硕这边，是没有单独的咨询的方向的，唯独应用下面只有社会心理学的细分支，那么专硕这边就是看老师的了。查阅了一下南师大心理学院的部分老师   教授-南京师范大学心理学院     只有郗浩丽、陈益这几个比较少的老师在研究咨询方向，比如游戏和沙盘等等。     所以，从师资的情况上看，你这边如果只是在这两个学校里面选择的话。还是更推荐北京林业大学一些，南师大更适合喜欢发展教育方向的同学。  以上，欢迎提问。               
如何评价及分析设计2017年北京林业大学园设试题？, 题主能说说具体情况么 
有北京林业大学室内设计的学姐么？,我是北林环艺的研究生，有什么问题可以问我 qq  927239625
想学理科专业，数学，计算机，或经济金融之类的，北京林业大学中国矿业大学中国石油大学中国地质大学该去哪?,去211高校，去发达城市，就业机会多，竞争力大。
北京林业大学 北京邮电大学 中国农业大学这三所大学的经济，商学差别大吗？,不知道你是哪个地方的考生呀，如果是北林的话，我觉得经管学院学经济挺不错的，从去年开始选专业分大类了，比如工商管理类，不过像会计学，金融学，国际管理与贸易的话还是单独的专业。我现在大二，觉得还是挺不错的。 北邮的话，对于我们这里的考生来说，要比北林好一点，我当时分数不够没有选。至于它的经济类专业怎么样我也不是很清楚，你可以再问问其他学长学姐。农大和北林的区别在于，农大是985，北林是211，农大在北林隔壁，感觉差不多。 以上是我的一点理解，不知道能不能帮到你。
如何评价北京林业大学的电气工程及其自动化专业？,活了二十年最后悔的一件事就是报考填了服从调剂进了这个专业。
北京林业大学的非优势专业和南京农业大学的优势专业 该怎么选望大神支招？,两个分数都不高啊，差不多
我想找06年北京林业大学～12年进中南大学软件学院的樊任夫！？,我是他的师弟，他已经去世了，节哀顺变
超一本69分去，应该选择杭州电子科技大学还是北京林业大学？,提供一个野路子： 去北京学计算机，大学四年都到外面的公司实习，保证毕业找工作无压力。什么，你说在杭电也可以去阿里系实习？拜托，下沙和西溪那是横跨一个杭州的距离。 以上。
怎样搞到北京林业大学的饭卡？,如果只是吃饭用，可以去餐厅办临时卡就餐
北京林业大学转专业难度？,你想转去哪个专业？
北京林业大学和电子科技大？,这里本科法语 上海某师范 硕士北林转的数学类的 自以为能体验了文理两个世界 总的来说 我觉得文科生还是要在大城市 不管是应用类的还是学硕类的 眼界很重要 不要让已经做出的选择限制了可能做出的选择 这也是机会成本 就学校而言 成电要比北林高一点（纯行政级别）211牌子是绝对够用了 但是首都的高校氛围还是和省会城市不在一个数量级的 
我想知道北京林业大学的园林植物与观赏园艺这个专业的专业课考试需要那几本书呢？,谢邀，已打听清楚。 以往是：《园林树木》、《园林花卉》、《遗传育种》。仅供参考。 最后以今年出的考研大纲为准吧。
北京林业大学风景园林专业硕士复试会刷掉多少人？, 4.2日更新。   今天复试结果出来了。专硕78个名额本校估计应该是30个左右，科硕29个名额本校占7个。所以本校相当尴尬且优势不在了。  ———————————————————— 以往都是放120%的线。最后刷20%。 今年是放的150%的线。刷50%。
