太原理工大学和哈尔滨工程大学哪个文科专业好？,为什么要去工科屌丝学校读文科？
在哈尔滨工程大学（HEU）就读是怎样一番体验？,正对着哈工程的21B教学楼，最左上角的那间教室是哈工程ACM集训队训练教室573，我在那里读过了一个完整的大学生涯。那里每年都会走出很多优秀的毕业生，拿着过万的月薪，在BAT这样的知名IT企业工作。但是在学院和老师眼里，我们是不爱学习，研究的东西不接地气，剑走偏锋的学生。大多数同学都经常以训练比赛为由翘课、挂科。相比于我们这些“野路子”，学校更喜欢宣传那些拿着奖学金，品学兼优的同学们。 每天晚上的十点半，是我们整个实验室最兴奋、最紧张的时刻。因为再过一个小时左右，一些面向全球编程爱好者的在线比赛就要开始了。我们会在topcoder， codeforces这样的编程竞赛平台上，和来自全球的coder一起比赛，最后根据排名决定账号的rating。经过两个多小时的激烈角逐，随身  @孟祥瑞 一声悲壮的“操”声，比赛结束。我们端着泡面，一起去接开水，兴奋的讨论着某道难题的解法，结束疲倦的一天。 而也就是十点半的时候，也是门卫大爷查教学楼最近的时候。因为经常发现有人在实验室留宿，573也成为了大爷的重点关照对象。有时候被大爷强行破门而入，我们所有队员都要被撵出去，因为宿舍是断电的，所以我们有时候甚至会去网吧刷题。不过更经常的是，我们为了躲避大爷，会在十点半左右在男厕待一段时间。 在有这么多有趣有意义的事情可以做的时候，我们要承受着比一般工科学校多得多的课业压力。比如大二学的工程力学，机械原理，复变函数，工程制图，更不必说所有工科都要学的电工基础，大学物理，大物实验。我们学校老师对学生的要求十分苛刻，有一次我大物实验因为在迷宫一样的11号楼找一间十分隐蔽的教室，迟到了十分钟，直接被老师清了出去，也间接导致了我的挂科。我们的所谓“金工实习”，因为我溜号走神听错了交作业的时间（我平时不怎么和同学交流，基本独来独往），晚交了半天，差点被取消了成绩。后来在我苦苦哀求下，老师才看了我的作业，给了“良”。 而即使是计算机专业的课程也不尽如人意。我在数据结构课程的考试中，有一道堆的初始化问题。标准答案是，依次插入堆中的元素。我没有去上过数据结构的课，写了算法导论上自底向上更新的初始化方法，老师以“虽然是对的，但是和书本上写的不一样”为理由没有给我这道题分数。教授操作系统课程的老师只知道Windows有dll动态链接文件，不知道Linux有so文件。更不必说软件学院的若干个xxx管理系统了。 也就是在这样的环境下，我们很多队员都不屑于读研，或者想做科研的（比如我）却因为成绩稀烂而没有保研资格。我们实验室的本科生队员毕业后可以在阿里巴巴的oceanbase，odps，核心系统数据库组等核心部门工作。你们可以打听一下这些部门有多少本科生，牛逼如高博远甚至可以自己写游戏渲染引擎。 在哈工程，我们应付着学校自作多情给我们安排的繁重课业，在自己的世界里，成长成自己想要的样子。 
哈尔滨工程大学11号楼为什么这么复杂？,你要在心中画一个矩形，并明确你要去的教室在哪个方位，然后就走不丢啦~  熟记四个角的大教室编号，这样走丢了找到一个大教室就知道自己的方位啦  不过确实厕所不好找。。尤其女生 
如何客观地评价哈尔滨工程大学？,你在哈尔滨本地提哈工程不少人都不知道是哪个学校，是哈船舶还是黑工程，尤其是出租车司机，几乎100%分不清。你再看哈工大，没有谁找不到哈工大。  在外地来说，出了哈尔滨，基本没有谁能分清哈工大到底是哈尔滨工业大学还是哈尔滨工程大学，甚至是哈尔滨理工大学，只是知道哈工大很牛逼。  本人被高中的校长忽悠，报哈工大吧，能进哈工大最好的专业，船舶专业，然后我就报了，结果通知书来了也没发现，升学宴搞了也没发现，最后来到了哈尔滨，真的到了哈工大才发现，哈工大叫哈尔滨工业大学，我上的叫哈尔滨工程大学。顿时感到整个人都不好了。  大学四年，几乎每个月的报纸，甚至是本地报纸都分不清到底是哪个学校的机器人夺得了世界大奖，到底是哪个学校有个牛逼的E维社团，虽然哈工大机器人也非常强，好歹采访时候也看看校标好么，哈工程真的是在媒体方面活在哈工大的阴影中。  哈工程最强的专业是三海一核，也是核心竞争力，这四个专业在国内都处于领先地位，虽然一个第一也没有拿到，尤其是我的专业船舶与海洋工程，对外口径统统是我们是全国第一，结果实际上的第一是上交的船舶专业，而且上交的船舶专业甚至不是单独一个学院，仅仅是一个专业......  哈工大也开始搞核专业了，也暗地从哈工程挖核专业人才了，如果提供相同的待遇，你愿意呆在哈工程还是愿意上哈工大？  从学风来说，这两个学校都是哈尔滨学风最正，也是最朴素的学校，当年的《大学生自习室》那首RAP就是哈工程学子的作品，足见自习在哈工程喜闻乐见的重要地位，每到考研临近，图书馆你根本不要想有地方好么，21B，11号楼也不要想了，基本只能租房子复习了。哈工程和哈工大的宿舍也是整个哈尔滨仅存的上下铺式宿舍，其他所有学校都换成了上床下桌型。  哈工大的网吧最近明显超越了哈工程的，三四年前哈工程的好网吧基本都黄了，以前都是工大朋友来工程一起玩   还有对下面不太友善的网友：哈尔滨工程大学好歹也是前50的大学，专业水平在几个专业也算前列，你要说配不配“沾光”，我说配，相当配，至少比哈尔滨剩下的学校要配，而且哈尔滨工程大学也不需要沾光。当然你的潜意识里东北师大一定是沾了哈师大的光才进了师范TOP4，毕竟在哈尔滨还有很多人不知道哈师大不是东北师大。
哈尔滨工程大学心理学考研有什么比较好的辅导资料？学习经验？学习网站论坛？,哈尔滨比较好的学校也就是哈工程和哈师大了~！  哈工程这个学校是211院校，有着老军工严谨的作风，目前只有学硕，而且心理学专业学习两年，还是比较划算的。应用心理学总共三个方向：人力资源管理、心理健康教育、心理咨询与测量。  参考书目参照312统考，学术统考推荐书单     1．《普通心理学》，彭聃龄，北京师范大学出版社。【以第四版为主，修订版补充】   2．《实验心理学》，郭秀艳、杨治良，人民教育出版社（淡蓝色封皮）。【以此书为主】   《实验心理学》（第三版），朱滢，北京大学出版社。   3．《现代心理与教育统计学》（第三版），张厚粲，北京师范大学出版社。   4．《心理与教育测量》郑日昌，人民教育出版社（白底红皮）。   5．《发展心理学》，林崇德主编，人民教育出版社（白底红皮）。   6．《当代教育心理学》（第二版），陈琦、刘儒德，北京师范大学出版社。   7．《社会心理学》（第三版），侯玉波，北京大学出版社   学习计划这些欢迎来勤思学吧看一下~！老师之前回答也有很多关于复习的~~  https://www.zhihu.com/question/36412963/answer/67668244   心理学考研312统考，选择题错多少个才合适？ - [已重置] 的回答 
北京林业大学和哈尔滨工程大学哪个好？,嗯。。。楼上已经不是原来的那个楼上了   题主无脑问，楼上无脑答么【drunk】 。。。。。。。。。。。。。。。。。。 北林大与哈工程在定位与分类上都不太相同，一个偏向农林，一个偏重工科，各自都有各自强势专业。  单看综合排名哈工程要高于北林大，但是事实是否真的如此答主并不清楚，毕竟只上了其中一所。只想提醒一句不要忽略区位优势。  看各自专业，北林大的院士比哈工程多，农林方向学科强势，哈工程的工科在同等级院校中普遍处在中上层次，三海一核的特色，包括船舶等相关专业排名都极为靠前。 说到看专业，还分本科与研究生教育之差，默认考本校研的话院士数量与国家级实验基地等因素就应当加入考虑范围了。  以上资料来自百度百科，参考价值不太高。  建议题主修改问题，越具体越好，否则无法得到答案。  利益相关：哈尔滨工程大学学生，考虑过北京林业大学。
请问，学习信息安全专业，哈尔滨工程大学和深圳大学哪个更好一些？,1 上海交大（目前最强）西安电子科技大学（信息安全开山鼻祖，中国最早一批信息安全奠基人） 2 北邮南邮重邮杭电西邮（前几个实力都非常强，都是老牌邮电类大学，在国内ctf比赛里面也是拿到了很多佳绩）但是好像浙大ctf比赛也好强啊 以上就是我比较了解的几个信息安全比较好的学校，毕竟很多开这个专业的学校都是最近几年开的，以上都是老牌的，师资力量会好一点。但是信息安全又分很多方向具体是理论还是实际，每个学校各有专长，然后你还要看一下这些学校有哪些信息安全国家级实验室。
海南大学，哈尔滨工程大学，合肥工业大学哪个好?,合工大啊。
如何看待哈尔滨工程大学没有入选世界双一流大学建设名单目录？,实至名归
如何看待哈尔滨工程大学在青岛建新校区？, 站在青岛的角度特别欢迎哈工程来青，说句远期期望，校本部搬来更好，对城市和学校来说都是双赢。  对青岛来说：  青岛需要哈工程这么一个实力级工科211高校加盟，山东同样也需要。而且哈工程的三海一核对青岛发展成为全国海洋科技中心的野望是十分有利的。  对哈工程本身来说：  1、可以摆脱哈工大的阴影，从此爽快做自己，远期可以期待改名。  2、青岛无论经济、城市活力、距离京津沪的远近、环境、就业机会、待遇、财政都要好于哈尔滨，跟着一个向上发展的平台，无疑能够事半功倍。对招生分数、学生就业、教师招聘、老教师养老、横纵向项目、知名度都是重大利好。  3、青岛已经云集了大量海洋相关院所，许多大学纷纷在青岛建研究院，身处日趋形成的中国海洋科技中心城市，哈工程的传统优势学科会获得极大好处，包括方便的学术交流、更多的课题项目、更多的就业机会等。  4、青岛有北海舰队总部和北海造船厂、海军潜艇学院等，哈工程的船舶学科会得到很多方便。 
理工科女生，如果到哈尔滨工程大学学什么专业好？,泻药。  女生如果真的想找个稳定又高薪的工作，建议不要来哈工程；如果想找个如意郎君，哈工程无数单身汉子欢迎你。  玩笑话。  其实哈工程的三海一核王牌专业在未来找工作时都有比较严重的性别歧视，如果硬要选一个的话，建议选水声的专业。如果你非常非常能吃苦，你可以选我们港口航道与海岸工程（推销脸），年入百万系列。最不建议学船，虽然郭秃子说船舶与海洋工程第一好，但是我们知道这个行业就是月入三千没办法。  当然如果你能读研读博，去研究所什么的，就没那么吃苦了。  如果不一定要求这些王牌专业，你可以学计算机，讲道理程序员还是很吃香的，就是老的快。。。或者材化也不错。。。其它专业我也不是很熟。。。其实怎么说呢。。。女孩子还是不要来哈工程吧。。。  自己看着选吧，建议排序，自己兴趣-水声-港航-材化-其它  最后，港航的老学长还是很欢迎小学妹的。  真的最后，我其实不是姚郁@-@
哈尔滨工程大学有没有本二？外省可以考吗？,没有
电子科技大学沙河校区 哈尔滨工业大学威海分校哪个软件工程好？, 很明显是电子科大 
哈尔滨工程大学光电信息科学与工程怎么样？需要转专业么？,不错啊  看喜不喜欢
在哈尔滨工程大学读计算机是怎样的体验？,我来答一波，本人是从材化转的计算机，被一女生拖过来的！后来发现赚了还好当时平均分不高，不然转到自动化或者信通我可就GG了，学计算机多好啊，别听他们说的搞计算机就是木木的跟人没法交流，其实程序员才逗easy-going，本人科目名带电的基本都很惨，一科69一科71，不是老师好我的水平是挂了的！六系几个院？三个(计算机，软件，国保)？后来听说国合是6系负责招的生，不知是不是，消息不可靠！给本科生上课的老师有的很好很负责，像数据结构老师(曲老师，很有条理，还会给你安利好多大道理)，有的老师呵呵了(某带过数逻老师)，讲课带口音，还声音很小，三排开外很难听到她在说话，还莫名其妙的发笑，让你有种石化的感觉，后来不是改课程时间了嘛，下课五分钟，她可以下课20分钟才想起来上课了，我当时上数逻，她讲课进度落到最后一堂课讲了一章多近两章(总共才上六章好伐 )，到大二下都会有老师陆陆续续让本科生加入实验室去，但是大多数学生都还沉迷在梦中！工程的计算机学院本科生编程能力让人着急，大神也有，神的让你怀疑人生感觉自己过了假童年！但是大多数本科生编代码估计还没有四系和八系，甚至有可能一系Forthon大神能把六系本科生虐成狗！我曾经看过有的人写的代码先不说不能运行，逻辑不对，连特么代码写出来都没有规范到处都是也不对齐，乱七八糟的让你想抽他一嘴巴子！另外六系也有一大堆让你不知道有啥用的全校都得上的基础课，比如机械基础(  计算机的学齿轮三角带干嘛！还有工程力学，分析受力为广大六系宝宝们以后做有限元可视化打基础吗？)总之想搞好技术就得好好堆代码学习技术知识，想保研你就好好学习书上那点很有用但是讲得让人想艹天艹地艹空气的知识吧，保研的计算机学生很大一批就是课本知识老牛逼了，代码能力趋向于0的人。。按照教多媒体的苘老师的话，收的一个保研生，问他哈希函数是啥都不知道，我就想这种保研生要了有何用。招他过来读书刷题考高分？你不会真以为你是某算法老师说的那样的上层工作者只负责搞搞算法搞搞架构，让程序员实现你的代码吧。你都没写过几句代码搞出来的算法能效率高吗？不写代码你的idea鬼特么帮你做实验弄出来啊。。  好了不说了我就一愤青。。别见怪！   …………………………这是一条小天哥用尺子画的虚线………………        时隔这么久，我再更一下，说实话，我对工程有种特别的感觉！一种特别的爱……有时候特别恨，有时候特别的喜欢！因为事物总不能是完美的，如果有学弟学妹们看到这个答案，一定要以我为戒，好好反思自己应该怎么度过这美好的四年！而不要总想着哈工程多差劲，只有差的人没有差的学校！这个道理我大一都明白了，不是妥协而是勇敢的接受，我可以说高考我至少少考了40分…但是大一就明白了，为什么上天让你来到这所学校，人生就是这么奇妙！上天注定，万般皆缘！如果我没有来到这里我会去哪里？认知会是这样吗？会不会也是天天在寝室打游戏呢？可能不来到这里我就是另一个自己，一个颓废的自己！不说废话了，总之来到这里，真的很好！        大学期间学习要搞好，虽然有些课程很是没用(暂时觉得)，但是很多课程是很有用的，以后你自会明白！如果你是个学霸，那就好好学争取保研！保研不难…(虽然我没保上，但是作为一个不怎么爱学习的人(骗你的，我只是不太爱课本知识，不太爱被拘束)，我也能离保研线差不了多少！)所以好好对待它，你能行的！虽然我觉得保研这种东西完全没有用…某种层度上培养书呆子…在这一点你得感谢哈工程，他有其他科创保研等等政策，但是这种政策被很多学生专了空子，很多啥也不会的抱着大腿保了研！而且比赛很多特别水，那些科创保研的多多少少你得反思一下你真的觉得你会的这点东西真的足够让你有保研资格吗？如果有这个自信还不是自吹自擂的话，那你确实很牛值得我们尊重！          既然说到科创，我就谈谈大学里的课外生活，有时候很忙的！有时候很闲，所以利用好时间很重要！别老呆在寝室，你会发现考试不及格的大多都是赖在寝室打游戏的！走出寝室，大学里不光有课程学长，还有很多其他的东西要学的，如果你真的愿意听我讲，请往下看！大学请找准一个你喜欢的方向，然后孜孜不倦的去专研它！学相关的技术，多动手实践，别做一个空想者！也得多看看书，从中文的文献到英文的文献，别说你看不懂，请听学长的话，坚持！一定要把英语学好！！一定，一定！         我一直是这么走过来的，但是作为这个方式的开创者，我就不能发扬很好了，其实因为我很急躁，导致我现在这一步，什么都了解一点，什么都不精通！所以学弟学妹们要切记，在一门技术很扎实时候再去触类旁通！一个大学精通(精通是扯，我只是这么说说而已)一门技术，熟练使用两种其他的不难！总之概括就是……厚积薄发！当你这么积累下来你会发现那些比赛什么的，难度很低(除了挑战杯那些，能在这个比赛做出成绩的都是真真正正的在科创)，你只要愿意你也能做到！           大学除了技术上的也就是专业上的知识，请多读点书！我现在就有些后悔为什么没有多读点书，有些人文历史，名人传记，小说一类的多看看，给人生多一些积淀！思维层次上去一个层次！我一直说人生中那些技术不重要，重要的是一个人的眼光！眼光好了你就知道如何努力，怎样改变自己！你对生活也不在迷茫，有了自己的方向，朝着它努力一点点收获是很不错的一个事情！算算一天读一个小时，至少也得25到50页吧！有些书看得快的可以达到一个小时100页上不封顶，那么5到10天就可以看完一本普通的书！一年就是几十本！四年上百本，当你回顾自己看过的书这么多时，心里就是另一种感觉了，但是请记住，看书多不代表你可以四处装逼，它只能提升你自己，不是拿来炫耀的，它也不值得炫耀！          大学也需要多接触接触人，多一些朋友多好！从1系到10系每个系我都有认识的朋友，但是很多大学读完了也不知道这几个系其中几个是啥！人际关系在某种层度上说对你的人生发展很有影响我就不多说了！因为前段时间一段奇奇怪怪的交友经历让我很是不开心……这段经历我把它全写下来了，让我老的时候如果再看看可能又是另一种感觉！          以后有心得我再写写！
哈尔滨工程大学航空航天类就读是种怎样体验？,体验别问我，我是帝都魔法大学的。  不过可以告诉你你去了会是那种被宠的女生，干啥都有男生帮你。  物以稀为贵。
本人机械电子工程本科非985…非211…想考研的话…是选择山东大学还是哈尔滨工程大学?,看你想学什么专业，三海一核，果断工程
哈尔滨工程大学寝室条件怎么样？,我们男生像我住的7公寓，每个是六人寝，楼也比较老95年盖的，夏天寝室内非常热也没有空调，晚上呆着不止是我自己，我们好多同学都说睡不着，像女生还有研究生条件就好一些了。
我是哈尔滨工程大学大一的学生，请问考研的话考北航的飞行器设计工程难吗？清华的研究生呢？谢谢?,好难好难的
如何评价武汉理工大学和哈尔滨工程大学？,有一点必须指出，对于家境较拮据的同学可以考虑下哈工程。 本市消费水平较低，学校内收费也不多。 寝室无需交水费、取暖费和空调（这气温用不上空调）等费用，学校配发被褥质量亦合格不用另行购买。 出校园先锋路方向、太平桥方向、大有坊街方向均市场，可买到低价消费品。 想档次高一些也有沃尔玛和家乐福。 本校对贫困生扶植力度尚可，有官营家教中心和爱心超市等。 得益于工信部众多兄弟单位和友邻企业，社会奖学金也较多。  当然，住宿条件较差（男生），哈市夜生活单调等因素，需要考虑。  另：《哈尔滨工程大学学报》是EI检索期刊。  ----------------- 原答案 （我说这个1V1的问题容易引起WHUT和HEU嫡系生们的大撕啊……建议添加第三所学校） --------WHUT不清楚，单说下HEU-------- 1。 首先一点，WHUT是教育部部属高校，HEU是工信部部属高校。 所以虽然同是211，但在工信部的亲儿子部门或相关企业来我校招毕业生时，经常出现： “非985学校毕业生不收， 除了哈工程！ ”之类的感wu人li话tu语cao。 （当然HEU毕业生质量够硬。） 2。 HEU管理僵化已经是历史。 现任校长是前HIT的航天院院长，嗯这个说上天就上天的管理风格我们已经见识到了。 比如花样翻新的食堂，强行升格的女神公寓， 突然就建好的青岛分校，任性十足的五节课表等等。 另，男生自制力差是公认的。 肉体18岁没错，精神15岁差不多。 破坏力这么强的熊孩子你不管管？ 我们这一代人都感叹当年那个半夜断电又切网的政策是对的。 3。 HEU优缺点一大堆大家争论不休，但是都忽略了本校的一个 大大的良心部门 ：  图书馆×3  要说本校图书馆有多霸气呢？ 比如，无限量借书：  比如，看图书馆缺什么书，大方让图书馆给自己买：  比如，对图书馆不满意，有 提意见必实名回复的留言板 ：   http://  lib.hrbeu.edu.cn/web200  9/new2004/gustbook/gustbook.asp?gustbook_id=22       （这个23333的留言记录）   比如，给学生随便预约的多媒体研讨室。  最最重要的是，图书馆送给所有哈工程校友一个大大的福利： 只要有哈工程的学号，就可以登陆校园门户，在任意城市通过互联网挂到图书馆VPN  免费下载国内外学术期刊。   嗯 最后黑一把图书馆：  ——“学长，学校超市在哪儿？” “那个楼就是。” ——“我X，这么大！”   最终我想说的是，拥有HEU校图书馆这种真正尊重知识部门的学校， 想必未来都不会差。 以上。 
哈尔滨工业大学和哈尔滨工程大学如果合并的话，会是一所怎样的大学?,一所是航天焊接土木建筑等专业排名世界前列的985。   一所是历史悠久坐落在军区附近船舶专业制霸全国的211。  哈工大的校训是“规格严格，功夫到家。”  哈工程的校训是“大工至善，大学至真。”  工大一校三区工程校面积大，两校均在哈尔滨的（起码我认为）繁华地带。  哈工大嘛，出名的还是各种成绩…… 工程呐，要知道它原名叫哈军工，军工操场文庙还有秋天满校的黄页红枫，还有别具一格的建筑风情都极为知名。 《嫌疑人x的献身》曾在军工11楼取景，oh对，就是那座你一定能在里面走丢的教学楼。  从和工大工程的同学接触，以及和两校的教师接触。 我觉得，假如化两校为一所…… …… …… 那么 …… …… 那些男孩子可能更难找到女朋友了吧？ 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈嗝~  
本人为哈尔滨工业大学大一学生，电气工程，学分绩78.5，四级成绩559，托福零基础，想去美国读研，如何备考?,哈工大 (๑• . •๑)  大一 (๑• . •๑) 电气 (๑• . •๑) 四级500+ (๑• . •๑) 学分绩70+ (๑• . •๑) 念托福去美国 (๑• . •๑) 简直就是我啊我啊我！不过我是已经开始托福课程在学着了 好开森同学加我加我加我！
哈尔滨工程大学的思想政治教育专业怎么样。出来就业好吗?,我是这个学校学思政的，学的人是比较少，主要看你以后自己期待的就业方向，如果家人没有什么安排的话最好别报，以后就业自己不学点啥就没啥拿的出手的东西。
如何评价哈尔滨工程大学大一11系男生宿舍开始全方位限电？（只在九点半到十点四十供电）,你们有独立卫生间吗？如果保证不了排风，气味会很熏人的。
读研哈尔滨工程大学和东南大学的通信专业以后找工作会有什么区别吗？比如工资 发展等等,泻药 我不是通信的 不了解通信行业的具体情况 貌似seu的通信更牛逼一点 不喜勿喷 以我的经验 我想肯定有的区别是 seuer大多在长三角发展 苏锡常宁沪 而哈工可能是北方较多吧
如何看待哈尔滨工程大学在烟台建立研究生院？,跑马圈地，，，
如何评价哈尔滨工程大学？,看题主的这个话题分类，我懂了。
哈尔滨理工大学和南京工程学院哪个好？,南京工程学院有博士点吗？
如何评价哈尔滨信息工程学院新校区建筑风格酷似哈尔滨工程大学？,这要认真起来应该抄的是主楼，不过本身主楼在学校建筑群里算不是很成功的模范。主楼应该是50年校庆的时候赶出来的。之所以说不成功，是因为哈工程坊间传闻主楼两侧南楼北楼向内折叠，意像一只刚要起飞就被折翅的雄鹰，不吉利。 这个学校到好，在不成功的基础上再山寨，前面半分霸气都没有。到底是抄袭，连精髓都抄不到。 不过连个学校建筑都要山寨的学校，不指望能有多大出息，这种强行碰瓷的行为让人不齿，徒增笑料罢了。        我就不信，它能模仿主楼，还能模仿那么霸气的图书馆和历史悠久的11#， 21#不成。
哈尔滨工程大学对视力有要求吗？近视但是不色弱有问题吗？,仅仅近视是没有影响的
北航的软件学院好还是哈尔滨工程大学好？,不要来哈工程！！！ 不要来哈工程！！！ 不要来哈工程！！！
哈尔滨工程大学机械专业，考研的话难上吗？,哈工程招牌是三海一核，强系如自动化。考研什么的就是国家线，过了基本就被录取了。
哈尔滨工程大学中关村定向专业怎么样？,这个和本科没有关系，属于挂哈工程的名，题主有什么疑问可以直接联系上面的招生老师的，知乎对此了解的人应该不多。
目前想往土木工程和建筑学上发展，在分数条件允许的情况下，华中科技大学和哈尔滨工业大学中哪个更合适呢？,把建筑学土木列为一类，明显就是还不了解专业，建议先多了解一下，再考虑哪个学校吧
本人想考哈尔滨工程大学电气专业的研究生，请问这个大学的电气专业怎么样啊，哈工程电气专业就业前景好不好？,我是黑龙江本地人 我觉得要慎重 哈理工是双非学校 哈工程是211 前身哈军工 瘦死的骆驼比马大，硕士毕业后哈工程比哈理工的含金量大的不只一点， 黑龙江唯一两所重本 一个哈工大一个哈工程
如何看待哈尔滨工业大学市政环境工程学院分家一事？, 萝卜多了坑不够，那就多挖坑 
请问哈尔滨工程大学机械电子工程有硕士点吗？,哈工程按照一级学科机械工程招收研究生，方向细分为6个方向，不过方向不重要。因为研究方向主要看你的导师，所以机械电子的孩子当然可以考，记得要学好机械原理和设计，考研加油！！！
哈尔滨工程大学大一新生一般什么时候报道？,今年8月26/27/28？貌似准备去迎新的朋友是是这么说的。
女，考研，本科沈阳理工大学，机械专业，父母让考本校，说是稳妥，但是对象考哈尔滨工程大学，我该考哪？,初试分数高一些就好了，如果不放心的话。确实和之前的答案一样，机械并不是最好的专业够线就差不多。话说，我今年有好几个师妹是沈阳理工来的，我不是机电院的。
哈尔滨工程大学土木工程研究生好考吗？, 好考 
东北师范大学，哈尔滨工业大学，哈尔滨工程大学哪个比较好，综合比较？,看专业喽
南昌大学和哈尔滨工程大学哪个好？,哈工程只有工科而且很强，比南大强很多，但南大是综合性大学，专业广，南大也还不错，南大的医学与食品安全很不错，特别是食品安全很强势
哈尔滨工程大学通信怎么样？,就移动来讲21b信号看位置不一定，11号楼不错，图书馆信号一般，启航看位置_(:з」∠)_ 电信和联通没用过 题主再见
我是位山东考生，今年考了627，报了哈尔滨工程大学的国防生（船舶与海洋工程），想问问就业问题。?,国防工资真心不错，在中国社会这个目前就业困难情况下当军官真心不错，除非你异常的优秀。
哈尔滨工程大学的轮机工程专业是属于哪一范畴的专业？有没有关于轮机工程专业技能提升的网站？,学好英语，至少过6级。这很重要！ 有时间学点CAD制图和office，将来99%会用到，而且会变成你面试的亮点（三维制图软件最好也学一个吧UG，Pro/E等）。  HEU的轮机工程其实和一专业热动区别不大，开的课个人感觉有点乱，泛而不精。 机械类肯定是机械类，就业方向以船厂，柴油机厂为主，所以机械原理，船舶动力装置，船用内燃机，船舶辅机等课程需要好好学（其他课程也要好好学，行业不景气，面试看成绩单的企业挺多的）。就业方向比海事的轮机管理专业窄，他们大学期间必须考四小证，毕业就可以跑船当海贼王去了。 你大三可能会有中广核来学校招联合培养的，如果想要一份相对稳定、不错的工作要把握机会！  最后嘛，振动噪声是一门很有特色的专业选修课，想读研的可以先选修（这课大家基本都会选）。轮机工程研究生方向就是振动组最强了（不知振动组两派老师的斗争结束了没）。  真希望我当年能有人和我说这些...祝你好运
哈尔滨工程大学和北京化工大学学计算机哪个好 ？,不请自来 不是学计算机的北化人，看到知乎另一个北化校友的回答计算机专业一般，不知道哈工程的计算机如何，如果两个差不多等级的话可以考虑考虑北化，实际上对于考虑来北化的人大家都是劝退的，但是我姐姐大学是在哈工程，学的是金融，研究生在上海，她不是不喜欢哈工程，但是去了上海后告诉我环境对人是会有影响的，因为学的是金融所以在上海的机会更多一些。当然了如果哈工程的计算机专业挺好的那就不用考虑北化了，因为北化条件确实一般，新校区去了南口距离市里很远，周围还比较荒凉，只有大四回本部后才能显出地理位置的优势。另外，哈工程学校很美。
如何评价哈尔滨工程大学核专业？,比上不足，比下有余。
我是黑龙江工程学院的，今年大一，学工程造价，我想修哈尔滨工程大学的双学位，可以修一些什么专业呀?,哈工程的水声当然是最好的，
选择：去一个211哈尔滨工程大学 学文科专业还是去重庆工商大学学工商？,为什么不去省会南京念？
