厦门大学好考吗，你们是怎么考上呢？,不难考，当年的保底学校，然而我研究僧还是过来了。厦大是个好学校！
厦门大学嘉庚学院怎么样？,我是嘉庚计算机系的，大二在读。设计系似乎是不错的，但是我不了解还是不评价了。 以下也只是我了解到的信息以及我个人的感觉和看法。（在知乎回答关于学校的问题还是实名，希望不会有老师找我“谈一谈”……） 1. 校风 这个我不确定。 首先跟名校自然是没得比； 去过朋友就读的普通本一院校感觉差不多； 我认为比其他本三好。 图书馆能让我这种爱书但是死宅的人想出门XD~  2. 师资力量 的话每个系都会不一样的。 像我们专业我有特别喜欢的特别牛X的老师，也会有一上他的课就犯困的老师。不过就算这样，我也改不了不爱听课的毛病orz，非理论性的专业课都是自己看书的=A=。 我倒是知道别的系比如日语、广电、英语、中文有些很不错的老师（这种时候看看通识选修课的选课人数，爆满的不是特别好过的就是老师特别牛的。 当然也有校方宣传的有厦大的老师，和厦大同步balabala是宣传点- -b。   我眼里的嘉庚： （1） 嘉庚的 活动 会办的很不错。 有很多有想法有能力的学生而校方在这方面也挺支持鼓励的，包括大大小小的比赛、各种社团组织、自己办的活动等等。 我比较遗憾的是大一的时候没有加入院级别的组织，认识的人不多、在这方面的锻炼也不够吧。  （2） 照顾学生想法 这一点在（1）中是可以体现的：想办活动？行，学工部批了OK。由于学院比较年轻，所以学生会等组织还是满有爱的，虽然也会被老师影响，但是影响面不大，所以学生会做的基本都是学生自己想做的（除了督导部点名=A=）。 除此之外，我觉得嘉庚很多老师是很不错的，你有想法找老师讨论，老师都很乐意帮助你引导你的。哪怕是他没有教过你。不过这一点我相信不是嘉庚才有，但是嘉庚有做到而已吧。 在此感谢给我影响很大的辅导员和老师们XD~  （3） 很多方面会比较 人性化 ，这算是学校宣传的一个点吧。 比如住宿的时候会给你一个表填（12级的有，当年我就没有，坑爹啊）：是否抽烟、是否晚睡、是否早起之类的，然后再安排宿舍。也允许申请二人宿舍，同性。二人间四人间其实没差啦反正都有空调~ 哦对了， 千万别相信豪华海景房好吗？基本上都是住正常园区的。  再比如不喜欢某个老师但是你排到了他的课你可以申请缓修。（我舍友干的= =）  （4）  转专业 比较简单。 每人有一次申请转专业的机会。如果是想转到不太热门的专业基本上可以直接转，如果是会计金融这类比较优势的专业会统一组织考试，考数学和英语，择优录取。挂科不能转。一般在大一上提出申请，大一下转入学习，不过我舍友大一下才决定要转，就降级念。  （5） 交通麻烦  厦门到漳校有两个选择：1. 15分钟快艇+15分钟公车。一放假人特别多简直不想回家了我TAT，不过自从我去了闺蜜那城市被交通震撼到之后觉得车船也没什么了…… 2.40分钟大巴。海沧到漳校，还没坐过不过确实方便了点。  （6）  实践周  考试周后、暑假前会有2个星期的实践周，计算机是呆机房，电商自己找实习单位，艺设不清楚。我觉得实践周的提升是要看个人的，身边有在机房刷微博看网页的也有认真做东西的。  （7）  ！！吐槽！！  五一九天假：春假。十一九天假：秋假。寒假40天左右。暑假40天左右（35~45）：我们有实践周呀~今年暑假历史新低：33天。对省内学生来说，这四个假期都能回家。对省外学生尤其北方学生来说，需要在钱与时间之间做抉择。外省的表示好忧伤TAT。坏处就是暑假想去找实习的话不知道有人要1个月暑假工的吗？（厦门的如果有求推荐????? 原因：需要与厦大时间表同步，所以春秋假实践周都要有。 最近微博上大一的孩子们已经愤怒了，具体校方会不会被迫放弃春秋假实践周我就不清楚了。 总之，如果你已经做好 暑假和寒假一样长、宿舍有空调学校有高尔夫球场  五一十一用九天假嘲讽好基友  结果暑假时被好基友嘲讽只有40天假期 的心理准备，欢迎报考厦门大学嘉庚学院：）   最后，其实我觉得，大学里基本是靠自己， 一切在于你自己 。 不要在乎外界的评论和看法，做自己想做的事情就好了。这一点算是我大学以来感触最深的一点吧，我见过爱玩但是学习很好现在靠自己的本事找到很好工作或者正在创业的学长，身边也有大半学期我只见过来上一两节课的同学，大一的时候其实爱学习和爱玩差别都不是很明显，但是专业课多了之后， 有目标的人自然和混日子的人的差异是越来越大的 。呃，不要说什么学霸怎么懂大学的欢乐这类话吧，我认识的也不算学霸，也会打游戏谈恋爱逃课但是坚持自己的专业喜好或者有自己的未来目标所以没有迷失自己，而后者多是家里有钱不在乎以后如何的人（也有想转专业却因为挂科所以失败的人）。  一不小心写了这么多，我暂时想不到了，明天还要考数据库原理，我先撤了( &gt;﹏&lt;。)～  有什么问题随时可以回复或者私信我，乐意解答。
去厦门大学马来西亚分校读书要带什么东西？,不用特意准备，好多比国内便宜，高端品牌免税店价格也相对低于其他国家，应急常用药，床上用品外，只备好急需品，学校超市中国食品也很全，家长假期旅游的好地方，日后顺便给带去
在厦门大学挂科是一种怎样的体验？,挂科最难过的应该还是心理那一关，其实重修也没什么的，以后得成绩单上也不会有挂科记录。 如果挂科能够给你当头棒喝，让你从堕落的生活中醒悟，那这科挂的绝对值。 虽然已经毕业了，想想当年因为挂科郁闷了大半个学期真是觉得不应该，挂科而已，才多大点事。 少年，世界很大，人生很长，挂科了可以重修，但是大学过去了就是过去了，所以不要太纠结挂科什么的，好好过好接下来的大学生活吧
为什么厦门大学的线代课本这么垃圾？,同学你就知足吧 我在上你所谓的另外老师的课都要疯了！PS:线代及格没
厦门大学是一所怎样的大学？,任何学校，学术氛围都看个人。 很多学生骂着厦大学术氛围不浓。 这一点我必须说一下。 我也试过颓废一整周在宿舍，我也试过每天一早就去教室里自习。我发现，不管我在哪里，总是会有跟我做一样事情的人。 所以我只能说，某些人啊，你自己天天呆在宿舍撸管打游戏，不代表别人不去图书馆。  一直以为傻逼不少，但出了国，见到外校的学生，发现各个学校的傻逼数量彼此彼此罢了。  学生活动太多，很多都有点多余。政治性活动会强制参加，但是如果只是普通的学生活动，不参加无所谓。学校生活会很舒服，因为硬件真的是很好。但，舒不舒服都是自己选的，很多人也过得很累，每天晚上很晚才从实验室或自习室回来。而另外一些人，呵呵，我就不再强调了。  周边的话，游客太多了。但实际上我感觉并没有很影响我的学习，因为我总是能找到一个安静的地方看书。只是说，平时走在路上，或者食堂里的时候，人多，尤其是没素质的游客，会让人感觉很烦躁。附近娱乐项目不少，但就像学习一样，有些人天天去，就以为别人也一样。  厦大牛逼的研究成果是不少的，国际学术名声也不错，但很低调，也时常默认自己的是风景名校，这让很多人觉得厦大徒有其表。 是不是这样的呢？我也不知道，我只知道，我在这所学校里，也许迷茫过，失落过，但我最终没有浪费我的光阴，我还是努力地去把握这所学校提供给我的机会，最后我感觉自己获得了提升。 就酱。
厦门大学的美术类专业怎么样？,   泻药，    额，怎么说呢，办学规模小，设计学就3个专业。所以厦大设计学在省内没什么存在感。不过厦大省外省内都难进，文化要求高，毕竟全省唯一985，地理位置可以的，在海边，看重环境和学历可以考虑，看重专业的话厦门工艺美院好一些，属于福大，211。   厦门大学2017年美术类本科招生专业含艺术教育（美术教育方向）、绘画（含中国画、油画、漆画、雕塑方向）、设计学类【含视觉传达设计专业、环境设计专业、数字媒体艺术专业（含多媒体方向、动画方向）】，不单独组织美术校考，承认各招生省份美术统考成绩。   以考生的综合分择优录取。考生综合分=考生高考文化投档成绩÷高考总分×750×50%+考生专业省统考成绩÷专业省统考总分×750×50% 根据自己成绩考虑会比较好。
厦门大学材料学好不好？,很好，欢迎报考，就业喜人
被厦门大学化学16级本科生吴俊雄“撩”到是什么体验？, 我只想贴一下这段对话，我对“出其不意”有了新的认识   我表示他跟她应该很熟。   宣传口呆了些日子对“风评”却有了新的认识
请问‘’由厦门大学授予相应学位‘’的意思？, 还有这种好事?那岂不是每天nasi lemak吃到饱 
厦门大学化学化工学院推免是否有笔试？,直博的话有
厦门大学会计实力如何？硕士研究生就业前景如何？,谢邀。厦门大学会计系基本上是国内最好的会计学校。 1、师资方面：会计学泰斗葛家澍老先生就在厦大，葛老只要在厦大一天，就没有敢撼动厦大的会计学地位。除了葛老等会计界的前辈以外，很多年轻老师都是从国外博士毕业回来的。师资力量可以说是顶尖的。 2学校环境方面：厦大校园依山伴海，背靠 五老峰   ，与闽南古刹 南普陀寺   为邻，出了白城校门就是海滨浴场。校园建筑独特，风景秀丽，被誉为“中国最美的大学校园”。 3、校友资源：校友资源丰富，很多银行行长、大企业财务总监及知名会计学者都是从厦门大学毕业的，这会给你带来得天独厚的优势。 最后说一句，厦大会计很难考，一旦读出来了，就不用考虑就业的问题了。 PS：通过对《会计研究》等国内顶尖会计期刊的研究发现，中山大学在各种挖厦大的会计人。
厦门大学新生，被材料系录取然而想上化院。想转系的话大一应该怎么规划。？,。。。怎么找到我的，我其实就是从材料院转出的，不过我去的是数院。        先说结论，要做的其实很简单，就是好好学习。学好专业课和数学英语等公共课。         原因有几点，一是材料专业本身与化学紧密相连，很多专业课就是共通的。例如基础无机化学。如果转系的话，有很多课是可以转过去的，要补的课不多。不像我去数学，大二过的非常凄惨。。。         二是转系本身不复杂，就有一次转专业考试，时间大概在大一下学期的四月，就考高数英语。这些课无论在哪个理工专业不学好也说不过去吧。再有就是自己的GPA要比较好。所以综合来看做到好好学就没问题，不用自己再想别的。          虽然不多想别的，但还是好好想想自己所拥有的。在这一年你可以想想自己是否适合学材料，是否适合转到化院，这都是很重要的问题。很多同学转系后不适应，后果很严重的。虽然我确实是转系的，但还是要说材料院整体是很不错的。混日子的确实有，但只要想学，条件足够。认识一个上一级的材料学长，绩点很好，申到了牛津的直博。重要的是申请过程没有中介参与，完全由他在院里的老师推荐和指导，足以说明老师的水平了吧。         所以在这第一年还是多体验，别过早下结论。 以上
厦门大学、中山大学、武汉大学、华南理工大学应该选哪个好？,不请自来，按照题主的要求一条条简单说一下，有特殊需要可以补充。 中大的学习氛围相对应该是比较轻松的，比华工要轻松些，而和武大、厦大相差不多。有很多同学是惯于逃课而考前一个月、一周甚至一个晚上突击复习，还能够取得不错的成绩。不过这也得看专业，中山医学院的学习压力就很大，课业很重。理工科的课程也不简单，不过集中在大二、大三，大一会过得很幸福。如果读商科和文科，会比较轻松。当然，不论学什么，想要拿二等以上的奖学金甚至国奖，都是要付出比别人更多的努力的。学校里面的学术比赛、非学术比赛很多，能进实验室的机会也不少（不过有的专业进实验室的意义也不大，只是为履历加点分罢了），这都取决于你自己为自己决定的发展方向。用我几年前在下面这个问题的回答来说， 中大真的是可以让你自由选择人生方向的地方。  在中山大学就读是怎样一番体验？ - 赵一凡的回答  生活上面我觉得中大能够排这四所学校里的前二，但是因为校区设置的缘故，在中大内部有点不均衡。论食堂的物美价廉，东校区不输厦大；论离市中心的便利程度，北校区和南校区笑而不语；论空气质量和风景优美，珠海校区又笑傲江湖。此外，北校地处广州老城区，风土人文很值得作为西安人的你去品味（当然，学了医科，可能就没那份闲心了）；南校区作为最美大学校园之一，也是既有大树也有大师的地方；东校区活动丰富，自成一体；珠海校区则是我认为做校园活动最专注和精彩的地方（大概是因为寂寞，也许也因为妹子多）。 一定要提的是，食在广州。 广府的饮食对于北方人来说肯定是新鲜而有吸引力的。不过要注意的是，粤菜比较精细和清淡，初来乍到可能会不习惯。 所在城市的话，应该没得比，毕竟广深这两个一线城市放在那里。值得一提的是，武大、厦大的毕业生很多也会去广州和深圳发展，可能中低端就业领域中大的名声会响亮些，但到后面拼的还是个人的实力。看到前面有人说广州排外，还被黑人占领，我只能无奈地摊摊手：谁让广州是非洲首都呢？可能本地人所使用的粤语、客家话、潮汕话会让一个北方人无所适从，但其实品味广东语言文化也是很有意思的事情：TVB你喜欢吗？香港乐坛你感兴趣吗？有想过学几首粤语歌回家乡在朋友面前秀一嗓子吗？ 我始终认为，当你抱着一颗愿意尝试的真诚的心，像广州这种发达的城市永远不会拒绝你。  专业设置上面，中大分得很细，计算机能分成好几个学院（虽然近期会合并），商科也有三个不同的学院，不一一赘述。虽然看上去很怪，但不得不说也是一种特色——对于高中生来说，最蛋疼的事情是学这个专业之前根本就不知道它是做什么的，而中大的院系划分，至少可以让你选择在一个领域内你更感兴趣的方向（虽然，就业的方向跟专业可能只有50%的相关）。 因为我不就业，所以没办法把就业这件事说得头头是道。不过根据我身边同学和朋友的经历来看，中大的就业形势还是很好的，不过待遇什么的就凭个人本事。不过，除了定向培养，到哪里都是这样啦。 当然，武大在学术上和中大各有千秋，华工工科实力很强，厦大生活悠闲，景色宜人。这些年来我也是眼见耳闻，可惜并未能亲身经历。 作为中大人，我只能说，选择 广州和中大吧，这里有无限的可能。 
厦门大学男生女生颜值如何？,谢邀，这些无所谓啦，大学能成的真的太少了，反正是过客，又何必在乎那么多 
江苏考生上哈工大还是中山大学还是中国传媒大学还是厦门大学？,中传的王牌学科是广播电视类 他们学校有最专业的影视设备，和最好的老师。 但是如果对影视技术不感兴趣，最好不要来。学校里有大把大把的富二代 官二代 艺术生。学风不好。如果不是来学技术的很可能就会荒废四年。
厦门大学第二专业？,只有福建省内认可，经济还行，认真学能学到东西
厦门大学马来西亚分校上不起怎么办？,本部和马校分开招生的，不存在调剂到马校的可能，应该是填志愿的时候自己看错了，填了那个加括号写马来西亚分校的。你这个情况比较复杂，估计是很难。。。
厦门大学今年按照工商管理大类招生，这样一个系人数在多少左右？,管理学院一共六个系，分别为会计、财务、企业管理、管理科学、旅游管理、市场。会计一般有三个班，一班三十人上下。其余一个系一般六十人左右，一个专业三十人。我这一届，管院一共324人，下一届少一些，具体不清楚。 希望能帮到你。
在厦门大学马来西亚分校读书是种什么样的体验？, （多图预警，流量党慎点）   ps：所有的图都是不加滤镜的 也完全没有修过 只是我一个技术渣用果果机随便拍下来的 100%真实  2017.5.17更新  po一下今天份的学校  黄昏来临之前去夜市的路上拍下的  走着走着突然就觉得很美         2017.2.20更新  今天小学期第一天开学了呢  上个学期的成绩已经出来了，大家真的都是学霸啊……  据我所知有好几个大神的gpa是3.97……简直可怕  我看到我那少的可怜的分不禁潸然泪下……  不过也不奇怪有那么多大神 因为我们这一届有很大一部分同学是因为高考没发挥好 最后才选择了这所学校。。。还有很多是在填志愿的时候看错了以为是厦大本部（心疼这些孩子）。。。所以嘛……同学们实力都在，成绩就自然好了……  还有今天我去健身房看了一下，说好的游泳池旁边的空房间会建成咖啡馆的结果变成了另一个健身房。。。不过健身房变宽敞了也是好的  总之新学期开始了……我也要好好努力啦^-^  以下为原回答==  -------------------------------------------————————————————————  其实在去年刚得知自己被厦大马校录取了之后，我就一直默默地关注着这个问题。。。   一直想回答 然而拖延症晚期患者到放寒假都没码出一个字= =   最近几天答案突然变多又都讲的很详细，果然我们的童鞋还是很棒棒的呀  既然如此，其它的回答中已经讲过的我就不多说了，重点说一下 个人感受和遗漏的信息 吧。。。  个人感受这个事情，甲之蜜糖乙之砒霜，很主观的，大家看看就好（微笑）  先自我介绍一下，本人厦大马校首届中国学生，成长在冬天没暖气的地区，理工科骨灰级学渣，小透明一只    这次主要讲这几个方面，再有遗漏或改变之处今后慢慢补充吧   学校概况  学历问题  课程设置及师资力量  生源  学校基础设施  社团及社会活动  交通及消费购物  个人体验   1、学校概况  厦门大学马来西亚分校，顾名思义，是厦大建在马来西亚的分校，以下简称马校。厦门大学马来西亚分校地处 雪兰莪州沙叻丁宜 ，位于马来西亚首都吉隆坡西南45公里，坐落在马来西亚联邦行政中心布城和吉隆坡国际机场之间，交通便利，环境优美。 校区占地150英亩，总建筑面积47.55万平方米，在校生总规模为1万人，包括本科生、硕士、博士三个教育层次。首期建筑面积26.64万平方米，于2016年投入使用，总耗资据称约合人民币16亿元。厦大马来西亚分校将分期建设，第一期建筑面积约20万平方米，学生规模为5000人。厦大将根据第一期办学情况择机开展第二期建设。一期工程主要包括教学楼、学生活动中心、体育馆（足球场、篮球场、排球场、网球场等）、学生公寓楼、座钟楼和两个警卫室等。   嗯，度娘是这样写的。照官方说法，一期工程会在 2016年年底完工 ，然鹅。。。当我9月底到学校的时候。。。   看见右上角那个小红圈圈没？！！就只造好了这一点点= =      到我放寒假走的时候操场和网球场才勉强造好，教学楼还在建，我们现在上课的地方是临时用作教室的学生活动中心。。。  不过造好以后的学校肯定超酷的！！因为左上角有一座山啊！！我们学校有一座山啊！！以后可以爬山啊超棒的！！（原谅生活在平原地区的孩子黑黑）但是我问过学生事务中心的老师以后可不可以在山上野炊，他严厉地拒绝了我，说我们会把山烧起来的 TAT   学校地理位置还是挺偏僻的，看图上四周什么都没有对不对！！离学校最近的一个社区大概步行15分钟能到吧，那里有一些马来人开的小餐馆和商店，每周三和周六还会有一个 夜市 ，出售马来当地特色小吃和水果之类的。建议晚上不要独自出去，听说好像有抢劫的。。。  当地气候对我来说是十分舒适的，大概是热带季风气候吧，有雨季和旱季，常年温度保持在 26—29度 之间， 日出日落都比较晚 ，天完全亮大概要七八点吧，而晚上七点天还是亮的，这直接导致了我养成了晚睡晚起的坏习惯。。。然后。。。上课迟到。。。曾经因为摁掉了闹钟而错过了一整节高数课。。。猛然惊醒一看时间 天都崩塌了。。。  所以同学们一定要早睡早起呀：）  2、学历问题  接下来是大家最关心的学历问题辣！其他几个同学也回答得非常清楚了，我就再重申一下 马校所授学位是得到 中国和马来西亚两国教育部的认证 的，然后最重要的毕业证，是 和厦门大学本部的毕业证一样 的！！！不会有括弧内容！！！至少 前三届 学生都是这样的！！！  对这个问题的回答 当初被录取的学生和他们的家长都非常急切地想知道，我的父母也是打了好几通电话给校方，得到了肯定的回复我们才放下心来。所以大家 不用担心 学历的问题！！  3、课程及师资  这个度娘和其他的同学都讲得很详细了，我觉得老师们的教学水平都挺高的，也非常尽职，因为我们是 全英文教学 ，作为一枚英语渣，上课总有一些听不懂的地方，老师们也知道这种情况，所以会不固定地开一些答疑时间，耐心解答同学们的问题。  我所在院系的课程在第一学期还是比较紧张的，差不多每天都有 五六个小时 的课，我室友是其他专业的，那个专业第一学期的课就比较轻松一点，不过我第二学期的课时要相对少一些。哦对了我们和本部一样都有 三个学期 ，第二学期就是小学期在2-4月，总共一个多月， 休息两个星期 后继续第三学期的课程， 寒假暑假都只放一个月左右 ，真·厦门不放假大学。  现在学校还只设置了汉语言文学、中医学、国际商务、会计、金融、新闻、计算机科学与技术、软件工程、数字媒体技术、化学工程与工艺、新能源科学与工程、海洋环境这几个专业，学制从 3年到五年 不等，收费也从 22000到24000林吉特 （马币）不等，过几年会有更多专业的。  4、生源  学生分 中国学生和马来西亚当地学生 ，其中马来西亚学生都是 华人 。  中国学生来自全国各地，每个省份招收人数不等， 福建省的学生最多 ，有170个， 录取分数线也不一样 ，有的省只要到一本线就被录取了，而有的省要超一本线一百多分， 各个省的省内的录取分数差距也或大或小 ，有就差二三十分的，也有差将近两百分的。具体可以参考一下下面的网站内容，不过后一个网址中的数据有一些错误。  厦门大学马来西亚分校2016年录取分数线--高考网    厦门大学马来西亚分校2016年各省各专业录取分数线--高考网    因为学校是第一届招生，宣传力度还不够，所以计划在国内招生500人，实际只招到了400多一点，而且有的省的录取分数线也挺低的，但是随着学校影响力的扩大和知名度的提高，分数线会水涨船高，大概差不多到 厦大中外合作的分数 吧。。。因此生源会越来越好的。至少经过我的大力宣传，已经有许多高中学弟学妹看中马校啦！！对这个学校有有兴趣的童鞋都可以来向我咨询喔，私信我就可以啦！我会尽力回答大家问题提供帮助的！！ 欢迎骚扰w-w   5、学校基础设施  因为到现在学校还没完全建完，宿舍可以用的只有两三栋，操场和网球场还在做最后的完善工作，教学楼也没有正式投入使用，我们所有的活动差不多都集中在学生活动中心     是这样的一栋楼，我觉得设计非常诡异，结构复杂却又四通八达，一个学期了我都没找全所有的楼梯和消防安全门，还经常在楼里迷路，可能只是因为我傻吧。。。     但是这栋楼呢，麻雀虽小五脏俱全，楼的 地下一层 是几间教室和一个超市，超市老板是中国人，挺幽默的，会根据我们的需求进货，价格也比较合理。   G层 是四间餐厅几间办公室，还有一个 ATM机 ，里面的钱经常被我们取光hhh 有关取钱的问题其他的回答也讲得很详细了，不过这个ATM机是取不出100整的马币的，最大能取出币值50的，100要去夜市那边的ATM机取。喔今年开始G还设了个医务室，我们每个人也都发了医保卡。   一楼 是机房，教师办公室和 图书馆 ，图书馆的大小跟翔安是不好比了，藏书也比较少，不过学校说正在渐渐地把翔安的书搬过来，之后图书馆的位置也会改变吧。图书馆空气是很清新的，冷气也打得很足，在图书馆的最里面有几个包间，因为正对空调下方的缘故超！级！冷！不穿外套坐超过半个小时就会手脚冰凉，每当我想念家乡的冬天时，都会找个那里的包间坐坐哈哈   喏就是这样的，我很喜欢图书馆画风狂野的顶 (￣▽￣*)   二层 主要是 教室 ，还有游泳池换衣间和少数办公室， 三层 就是 游泳池 和 健身房 了。游泳池非常大非常漂亮，在规定的游泳时间里都有两个救生员守着我们，我去过一次，除了水有点冷其他都很棒棒^-^ 健身房在游泳池旁边的房间，器材也挺齐全的，听说游泳池旁边的房间今后会成为一个咖啡馆，那再好不过了\(^o^)/~   从游泳池可以看见外面那座山呢~\(≧▽≦)/~   傍晚的样子，右边亮的房间是健身房\(^o^)/~   楼顶几乎是没有窗的，还能看见操场(*@ο@*)    全貌  宿舍的话，现在大家基本上住的都是 双人间 ，舍友也是自己选的，等宿舍楼全部建成以后还会开放更多类型的宿舍。就我住的双人间来说，设施很齐全，有 柜子书桌和独卫 ，美中不足是面积太小，过道太窄，凳子不移开就几乎无法落脚，隔音也有待改善，整栋楼的电梯也经常故障。   这是我的宿舍= =   然后学校的网络啊真是无力吐槽。。。 既慢又经常断 。。。还不让玩游戏。。。学生活动中心的网络稍微好一点，宿舍一到晚上用网高峰期卡到窒息= =   学校的学习环境还是不错的， 图书馆和教室晚上都会开着供同学们自习 ，大家该学习的时候还是很认真的，马来西亚的同学甚至比我们更努力  综上，同学们还是好好学习不要沉迷游戏了。。。（说着就拿起手机来了一盘王者）   6、社团及社会活动  学校现在已经有很多 社团 了，都是学生自己申请创建的，可以自由选择加入，每个社团都有 固定的活动时间 ，有时几个社团会联合起来举办一个大活动像是什么韩国文化节之类的，全校同学都可以一起参与。  学校会不定期地请一些 教授和学者来校作讲座 ，讲一些学科拓展知识，课外知识或者就业信息之类的。因为马校是第一所中国知名高校在海外开办的分校，起着至关重要的作用，所以短短四个月中已经有好几位大人物来过了，什么 部长，大使和特使 都来考察或作讲座，也受到社会各界的关注，媒体竞相来采访。  同学们在课余时间会 自发组织一些社会实践活动 ，比如去吉隆坡做志愿者什么的，我还没参加过所以不是很清楚抱歉TAT  7、交通及购物  因为学校比较偏僻，所以几乎打不到出租车，打车的话我们都用 Uber ，很快也很方便，开车 去首都差不多一个小时，四五十马币左右 ；学校 离吉隆坡国际机场很近 ，Uber大概只要 十几分钟 。不想打车的话夜市附近有 小火车 ，一天有很多去往不同地方的班车经过，出行并不难。  学校也提供 校车 在周五和周末载去附近的超市和商场，供同学们采购生活用品和购物。学校的超市能满足大家的基本的生活用品需求。如果周末有时间可以Uber去首都的商场购物或者游玩， 吉隆坡有许多大型商场 ，许多同学都会去那里买买买(*@ο@*)    商场里的圣诞气氛都非常浓，装饰地超级漂亮，也有许多打折活动 \(^o^)/~   当然这时是人山人海啦，还听到了许多熟悉的口音hhh   这是跨年的时候拍的双子塔，那天KLCC底下仿佛聚集了半个地球的人。。。摩肩接踵，及其热闹。。。  btw， 大马的化妆品超级便宜 的，尤其是口红，有需要的饱饱可以找我代购哦  我怎么像个推销的= =  8、个人体验  刚来大马的时候曾经担心过会不会和当地同学相处不好，实际上 大马学生都非常热情，交流也没有障碍 ，很快我们就打成一片了，我们系的大马学生还总跟几个中国同学一起出去玩或者打游戏。大马华人学生的 中文口音 好可爱的，发音黏糊糊的，语调也百转千回hhh而且有些词语的说法和句子的语序也和我们不一样，比如没关系会讲不用紧，多做几个讲做多几个hhhh 他们讲英文时也有独特的语调  学校在国外的话当然可以 不用翻墙 就上油管啊推特之类的外国网站啦~\(≧▽≦)/~ 不过有些中国网站比如爱奇艺、腾讯视频等就上不了，但对我来说有b站就够了黑黑黑   食堂 的饭菜一开始有些不能接受，但后来也就慢慢适应了，主要还是中餐，有一个马来餐厅，还有奶茶店，最近又新开了西餐厅面包店和海南鸡饭，还挺好吃的，价格不算便宜，但在能接受的范围之内。当地物价大概在 国内二线城市 （？）首都吉隆坡物价更高一些   学校的风景真的非常好 ，日出、日落和夜晚的天空都美得像一件艺术品。每次早晨从宿舍楼走去教室，日落再返回，或是夜晚伴着月色从图书馆回宿舍，抬头望望天空，心灵都有种被治愈的感觉，坏心情瞬间消失。     尤其是日落时分，天空是那种我未曾见过的粉紫色，时常会感叹上帝创造这片天空花了多少心血，才能做到看似信手拈来，却一眼万年。     我曾经熬了一整夜，只为迎接2017年的日出，那是种照片根本拍不出的壮观，看着太阳一点点的从山顶冒出，散发的光芒强大到能使人燃起心底即将消失殆尽的希望，然后，不由自主地开始微笑。       感谢当地纯净的空气，治好了我多年的鼻炎（寒假一回家又复发了TAT），真是个适合疗养的好地方。    就业 问题的话因为我们还是第一届，还没毕业也不好预见具体形势，但我认为在社会各界的大力宣传下，一旦打响了知名度，就业前景还是很乐观的^-^  考研 的话如果努力学习，提高GPA的话考到世界名校也不是难事hhh  关于马校大家要是还有什么疑问欢迎咨询哦，看在我这么认真码了那么多字的份上给我点个赞吧！！   2017.5.31 更新 最近知乎突然出现许多要求更新放原回答底部的呼声....所以以后就往下写啦 (｡･ω･｡)ﾉ  自从答了这个问题之后，陆陆续续地有许多学生党和家长朋友们加我微信问我有关学校的问题，首先非常感谢大家仔细看我的回答 并且信任我，我今后也会一直耐心解答大家的问题的，也会持续更新学校的变化的。请大家一起期待学校和我的成长！（笔芯^ω^）  这次更新主要回答一些大家共同问我的问题。  首先大家问的最多的就是学校的建筑工程进度。在这里可以很负责任地告诉大家：学校一期工程已经快要完工啦！现在五幢教学楼已经造好了 并且有两幢已经投入使用了！宿舍楼也差不多都可以用了！整个学校已经有厦大翔安校区的样貌了！估计到今年九月份新生入学的时候一期工程就完工了 教学楼和宿舍楼都能用了～所以大家不用担心过来看见的是工地或是一片废墟嘿嘿 放几张现在学校的照片吧……          其次是食堂问题。这个学期开始学校又引进了几个新食堂，大家吃饭的选择也更多啦，今后还会有更多变化的比如学校在考虑吃饭打卡之类的...  还有很多家长都问我一年总的花费大概是多少……这个真的是因人而异的....我真的很难回答....大家自己算一下吧……学费签证费加上一年的来回机票钱大概五六万....然后还有住宿费书本费.....生活费的话比国内多一点吧……我觉得平均水平大概一年十万？真的仅供参考啦……  最后大家都很关心学校考研和实习问题。这个虽然我还没接到通知 但是据我所知，文商科这个大一暑假学校就有给实习名额了，当然是要自己报名面试的，我有朋友就被选上啦！所以实习学校应该会有安排的，大家不用太担心。因为学校有给大家排雅思课程，也会统一组织考试，所以想考研的也没问题。  最近几个月来了好多国际生，有新加坡的韩国的等等 学生组成也更多元化了 而且我们自己也有组织暑期实践活动，社团也增加了不少，学校渐渐地步入正轨啦  好了就先更新到这里，以后如果还有变化也会一直补充的！毕竟这是我知乎首答，花了很大的心血写了好几天，所以不会弃坑的！也请大家多多支持啦！因为我发现加我微信咨询的远比给我点赞的多(´･_･`) 所以希望大家给我多多点赞啦！蟹蟹啦！  ..................6.24更新......................... 天了噜高考成绩一出来找我的人真的好多好多....每天都有几十个....快要忙不过来....不过我会尽力回答大家的问题的...如果有时候回复慢了请谅解哈  ..................8.9更新............................ 最近几天在期末考啦！大一终于要结束啦！所以可能没办法及时回答大家的问题 请大家谅解哈 还有啊……家长朋友的微信我不加喔不好意思 如果孩子想来我们学校可以让他亲自来问我呢…… 关于问题的话网上能找得到确切资料和信息的就麻烦不要来问我了啦…… 还有预测分数啊 能不能进啊 来大马要带什么东西啊 这种问题我也真的无能为力…… 微信id还是删了毕竟是私人号哈哈哈哈大家可以私信问我要哟 等期末考完了我会整理近期收到的常见问题及回答出来的...希望能解决大家更多的疑惑(｡･ω･｡)ﾉ
