西安电子科技大学电院辅导员钱德年是一个怎样的人？,大家自己去导师评价网看吧，此人迫害学生，无耻混蛋，不想多说
我是17级电子科技大学成都学院的新生，因为学校不合心意想复读，但下不了决心，有人生前辈能给点意见吗？,还有我已经复读过一年了
成都电子科技大学宿舍情况？,以下是在电子科技大学招生群里下载的。清水河校区一学年住宿费1200。沙河校区是800。 两校区的每个寝室均已安装空调（本科宿舍11：30断电后无法使用，但是学校通常在五月天气较热的时候开始对本科通宵供电），每个楼层有公共浴室（4个洗澡间，隔间有帘子，有的楼栋6个），插卡计费（1毛钱每分钟），备有洗衣间两台（有的楼栋四台），刷卡计费，打水已全面免费，全自动洗衣机，3.6元一次。 清水河校区的每个本科寝室都是四人间（上床下桌），研究生是2人，博士是1人有阳台和独卫（无热水）。 沙河校区有六人间和四人间，四人间无阳台和独卫，六人间有阳台和独卫（无热水）。 清水河校区的各种设施，教学楼等都比较新，沙河由于是老校区，建筑比较老，但设施也齐全。清水河的品学楼在装中央空调，你们有福了，沙河教室无空调。两校区的图书馆都有空调。 交通方面，清水河在郊区，交通不是很方便，到市内需要40+分钟，周边娱乐场所比较少，而沙河在市区，交通便利，周边吃喝玩乐的非常齐全。
中国电子科技大学60周年校庆版2048“扬名国际”后还有什么？,同学，再努力一下，马上就会看到后面的
西安电子科技大学值不值得去？,不值得去。 第一，西电课程巨多。想大学过的轻松的就别来了，否则会觉得又上了一回高中。 第二，西电课程比较难，给分低。想刷绩点出国的，就不要来了。 第三，西电女生少，架子大（当然，这点存疑，也有可能是我比较吊丝。）。想谈恋爱的就不要来了。 第四，西电管理差，后勤差。想过舒心日子的就不要来了。 第五，西电多数专业和电子通信计算机相关，码农学校。想过高大上金领生活的同学就不要过来了。 第六，西电院士、Ieee fellow、各路专家不少，不过和小本科生没多大关系。 第七，西电论文著作不少，不过能正真啃下一本的人都不多。  西电人离开学校后还会背着这个牌子的，和电路、信号、编程有关的活还会推给你，因为大家都知道你是西电人，默认你会这个。我在外校读的研究生，都毕业三年多了，到现在还在看大二的《信号与线性系统分析》、《现代信号处理》、《自动控制原理》、《数字信号处理》。只要沾上了西电，信号、电路、编程三个大坑，总有一个你是避不过去的。哈哈，不说了，看书看书！风雨天最适合读书啦！！！
电子科技大学立人班是一个什么样的存在？,我读了四年竟然不知道有立人班，逃）
桂林电子科技大学强制毕业生参与植树，980一颗，对毕业生来说，是否可以拒绝？,联合同学         向中纪委检举
华中科技大学和电子科技大学哪个更好?, 不是一个档次有什么好比的  从我接触到的一些华科的毕业生，以及职场上其他人的评价来看，华科学生质量几乎超越除清北以外其它任何国内高校。 
西安电子科技大学和电子科技大学该怎么选择？,作为一个在成电呆了快十年的学生，我觉得吧，如果不是李校长，这个问题下许多回答都要变一变
如何看待西安电子科技大学五个大三学生声称造出皮卫星？ ？,利益相关：学霸五人组现均为空间科学与技术学院大四学生，答主的直系学长。 事先声明，答主本身并不熟知发射卫星各种原理（虽然上空间导论课讲过orz…）只是看不得答案下面各种酸，人家就是靠自己的努力做出来了，干卿何事？非要找出不存在的黑点大肆宣扬？ 下面我就自己在课堂上听过的仅有的一点知识来回答题主：第一，皮卫星虽然小，并不代表其技术含量low，这里仅仅举一个小栗子说明：皮卫星大概体积是7cm*10cm*？cm（具体忘记了...）比粉笔盒略大，这就限制了它所装载的硬件 软件 星载计算机 需要测试性能的元件以及天线的体积，要想将上述东西全部放在一个小盒子里面并且保持原有性质，要费多大功夫我想不必我多嘴，带队的院长就天线的粗细长短对体积的影响给我们整整讲了半节课啊！见微知著，更不用说其他技术需要进行多大的努力了吧；第二，并非有人恶意揣测的那样有黑幕啊巴拉巴拉的，学长们为了这个项目所有人整个寒假都没有回家，据我所知当时过年了老师们都不在学校了，五个学长还是留守在实验室一遍又一遍测试p.s.光是不上天的卫星都必须做四个，有的要在高温下测试，有的要在模拟宇宙环境的实验室测试，还有要在卫星上天后同步模拟各种动作，以便出现bug随时调整...光是这些辛苦和一次次失败后的尝试就足以让上面那些人闭嘴，不了解别人就别瞎bibi，把自己经历过的不公平生搬硬套到实实在在努力的人身上，不觉得自己很键盘侠么？不是随随便便买几个航天元件就能上天的，okay？ 总之，亲历这一年并掌握了卫星研制动态的人表示研究过程绝对真实，不需怀疑什么，这就是一群技术宅实现梦想的过程。现在五人小组组长经常受邀参加中国雷达大会什么的，在会上作报告 和专家交流，一个院士来我们学院参观吃饭的时候指明要和他坐在一起聊天。如果真是一群草包的话早晚会露馅对吧，时间自会证明一切。 写了半天，感觉大大偏题了，不过我就是图一时意气（不服来咬我啊），有句话不是这么说的么：母校就是你一天骂她一百遍却不允许别人说她一个不是的地方。
电子科技大学药学专业怎么样？,专业学位，临床药学和药物研究与转化两个方向
计算机系，对比北京邮电大学和电子科技大学如何？,我在电子科大待了七年，本科毕业没啥追求就直接就读了本校的研究生，不得不说最近两年电子科大着实很火，收分一年比一年高，甚至很多本省可以上清华的分数选择来成电，我想这和近一些年来成电越来越开放的文化有一些关系。 成电坐落于天府之国成都，这里的人生活的都很安逸，学校新校区建设的很美，计算机也是王牌专业，就业基本不成问题。但是如果让我再选择一次或是推荐，我选择北邮。年轻人就该去大城市见识见识，那是帝都耶，它能提供的资源和机会绝对不是这一个讲究生活安逸的城市可以给予的。
如何评价world final 2017中电子科技大学的表现？,熬夜看完了全程。只能说略有遗憾吧。早闻柱神大名，这次的队伍也算是近年来实力最强的一支了。 你电前200分钟非常的稳，除了一道题交了两次之外其余的都是一遍AC。当时190分钟那道题AC时跟室友在寝室里激动地跳了起来，靠着那道题你电冲进了前10，排在北交复之后。不过之后一直到封榜，你电一直处于宕机状态，看着其他队都pending一两道了。最后半小时才出现了第一个pending……本来以为也会和之前一样稳，结果发现从0+1变成了0+2……10min后又变成了0+3……虽然这题最终过了，但最后也只是7题含恨被挤出奖牌区，屈居16名（不记罚时并列13名）。 最后只是再祝愿你电明年的wf能实现突破吧！毕竟清北复交过后就是咱了！
电子科技大学沙河校区是设置的哪些专业？为什么电子科学沙河校区录取分比电子科技大学低二三十分？,老司机来解释这个问题，这几年电子科大都是四川省内最低录取分数最高的，就是说，能上电子科大的最低分数线例如610，省内最高，这个参数对很多人觉得可以基本相当于学校排名的感觉，为了这个虚幻的感觉，就会出现一个问题。610和一本线之间其实有90分差距，这个90分里面，还有很多四川省内盛源其实不错的，无端端送人太可惜，而扩招610会导致前面的最低分数线降低没法享受省内最高的虚荣，所以就想了个办法，出了个IPHONE 5C。定位上，主要是体现工程教育，大学四年有两个学期要求学生自己找外面公司实习，由于专业的热门度和学生工程能力的提高，这两年沙河校区的信软毕业情况非常好，虽然不宣传但是平均起薪是比较高（或者说最高（之一）），这就相当于出现了一种有趣的“打折销售”现象。就像金融市场的规律一样，高估的总会回落，低估的总会和高估的吸引，最后回归正常的一致的电子科大该有的分数，所以有兴趣的一定要把握机会。两边的毕业证是一样的，两边的老师是一样的，我就说这么多。
上海交大和电子科技大学通信类研究生就业方向?,成电人来答下这个题。 成电有两个专业全国最好，一个是通信，一个就是电磁场（当然，看专业排名其实用处并不大）。至于上交通信专业怎么样，我不是很清楚。但是我肯定知道不管上交的通信怎么样他也比成电的通信难考的多，因为他是上海交大。但是你要说成电的通信有多好考，其实也一点都不好考，去年本校的通信学子考研，到最后复试被刷下来40%的人（ 数据可能有出入，这个数据我只想表明去年刷了很多人 ），震惊了整个学校，嗯没错是本校的被刷了40%，还没算外校的。   题主说以后想进中兴华为这样的公司，那我告诉你，你只要是成电通信的研究生，只要研究生三年不水的过分，你要去这两家公司是很容易的，用不着上交就能满足你这个小小的愿望。但是上交肯定有比成电好的地方，他的地理位置，他的学校综合实力这些都是成电无法抗衡的，哪怕他通信工程不如成电，但是你如果从上交毕业你未来的路应该会比从成电毕业要宽一些。不过成电这几年考研的校线都在310啊，通信最多也就325啊，就算你是外校的，你上了350好好准备复试也基本保证能拿到成电的录取通知书了。如果你要考上交那估计初试都得380往上跳吧。   题主如果铁了心要读通信，成电、东南、上交都是不错的选择。不过你怎么选最后都需要拼命去准备。题主加油咯。
电子科技大学沙河校区的高收费和中外合作办学有什么区别吗？,沙河有中外合办，这是要六万一年。还有集电和信软是9800一年，这的确比一般专业贵，这是由这两个专业的消耗比较大，一些硬件之类的，而且全国的这两个专业普遍学费高。
西安电子科技大学在知乎上是什么地位？,泻药， 在知乎上我不大清楚。 在计算机科学与技术界我觉得挺不错的大学，我现在大二，要么实习，要么考研，考研的目标是北科，西电，北邮，还有，我是学渣，来自某化一名计科生。
西安电子科技大学和电子科技大学哪个更好？,楼上匿名用户号称“转帖”，最大的漏洞：既然你平日里都见不到导员，你又是怎么知道他私下那么多下流用语？背地里骂领导说的话，你也是听别人说的？以讹传讹。 西电11级11班的冯超我知道是你，这也不是转帖，是你的原帖。 好吧，作为冯超的同学，我也匿了，你真的，是有问题的。  对之前一片帖子的回应，我来说说前因后果！   
如何看待杭州电子科技大学集中供水？, 反对下面借着这个事情全面否定杭电、不让高考生报名杭电的回答。  学校对这件事的态度确实没得洗，但是请不要否定整个学校：)  有没有热水器确实是高考生报名时的一个考虑因素，但不是全部。  对于杭电的实力，计科、电子等强势专业确实走在了非211一本院校的前段，甚至ACM可以与一些211学校抗衡。我依然欢迎对应分段的同学报考杭电：)  ===================================================================  2017.3.15更新  在今天下午的十大提案会上，相关负责人称会给学生权利选择使用热水器或者集中提供的热水。  ===================================================================  我来为不知道今天下午发生了什么的小伙伴还有财经、理工、浙工大等吃瓜看戏群众讲一下28号下午发生了什么。  27号学校某公众号发出消息，称28号下午会召开“水电说明会”，但是需要报名，并且需要填写个人信息，包括：学院，年级，学号，姓名，性别，政治面貌，寝室楼以及寝室房间号。只有填写报名信息的才能知道开会地点和入场资格。   最后定在师生事务大厅二楼会议室。  之后呢，同学林老板获得了对会议进行直播的许可，在这里先感谢林老板 @Rex Tech   ，林老板在刚直播的时候说自己只剩84M的流量了，我只看了部分直播花掉了近500M流量，再次感谢林老板。      接下来我先说一下我看到的内容  会议室不大，应该是学生坐在一边老师/公司代表坐在一边(?)，这里统一用老师来代称。老师先说了理工的热水价格是48元/吨，然后称3月份女生洗一次澡约 30升 对应 2块钱 ，然后又说了几个学校的情况大都是48、50元每吨的情况，换算一次洗澡2元， 并强调：学校不挣钱。   接着有同学问为什么某某学校热水只要XX元？老师回答是： 这个问题我无法回答，我只对比浙江高校的水价。   接着老师开始扯开话题，说到学校还会有游泳池改造计划等等与说明会无关的东西。  然后有同学提出了关于新电表是否限电的问题，回答是不会对功率进行限制但是会监控。   以上就是我听到的主要内容。   然后说一下说明会的总结（总结出自直播人）：  杭电水电改造说明会总结 1。热水费用还没有确定，以后会改听证会，老师说会比平均价格低。(老师举例了浙江其他学校都在50元左右) 2。楼内有热水循环系统，不会等很久才出水 3。从设备的角度上来讲，是可以24小时供水的，但是要看学校的管理 4。智能电表的总功率限制和现在一样，不会减少，但是会限制恶性负载 也感谢老师允许进行直播，民主还是在进步的。   现在的矛盾点在于：  1.本来用热水器现在换成集中供水，开倒车  2.学校对于这个事情一直没有公开说明，一直到今天挑了 很多人都有课 的周二下午，而且是得 报名 经 筛选 /备案得人才能去开得说明会。 会议并没有解决问题 。  3.对于供水方案 水费过贵   4.不能保证24小时热水  ===================================================================  关注我的应该都知道我是谁……没关注的也不用关注了，毕竟我可能明天就被查水表了  类似问题回答链接： 如何看待杭州电子科技大学对学生收取高额热水费（集中供水设施在建）的行为？ - 知乎用户的回答 - 知乎    如何看待杭州电子科技大学学生公寓换装热水管线一事？ - 知乎用户的回答 - 知乎   ===================================================================  原占楼表情包：（其他的我就不放了，我相信你们都看过2333）  
华中科技大学光学与电子信息学院的激光方向怎么样?,首先吐槽一下： 大学入学时是激光院和光电系两个独立的单位 大二时这两个单位合并为光电子科学与工程学院 毕业后光电学院又和电子系合并成光学与电子信息学院了。 难道我们学激光的就这么势微么！  正式回答一下。当初我们班保研的同学都是保国光和光电学院偏信息方向的，很少有人会愿意保到激光方向。这不是说激光方向不强，而是我们那个时候的风气就是和信息沾边的好找工作，激光方向属于冷门，毕竟毕业5年了，不知道现在是个什么情况。 不知这位同学保的是哪位老师呢？陆培祥？左都罗？虽然我现在不在华工了，但是也没有离开激光方面的研究，所以多少还是知道一点点的。如果你是想了解华工激光方面的实力的话，那么哪个方向都”大丈夫，蒙大奶“。如果你想了解哪个方向好就业的话，那么就需要具体一下你是保的哪个方向了。等待您的补充。
如何看待电子科技大学「一群男生看着女生淋雨坐视不管」的现象？,其实这仨如果开口说同学能打伞送下我们么，男同学未必就会拒绝  自己需要帮助，又闷着不说，反倒怪别人不主动出手，这简直是经典定义的矫情  原PO里把这件事和性别挂钩也是漏到不行，打不打伞跟找女朋友都挂钩了，那要是谁主动上去帮忙，会被当成色狼么？  全文偷着一股“我是小公主你要主动哄着我”的酸臭，问题这个“反女权主义”的TAG还真打对了，这就是男权主义社会下女性自我矮化自我物化的典型 ------------------------------------------- 一天不见，这个问题居然这么热闹了  很惭愧，只是写了两句微小的回答  这件事可以从好几个角度去看      1以一个成年人的角度讲，私事自理；不能自理的时候，主动寻求帮助，刚好我大学第一次班会，辅导员就说了一句“路在嘴上”，这个意思已经很直白了，无须赘述。当然你要是心脏病犯了倒在路边属于紧急事态，那不能视而不见，至于淋雨，大家都住在成都县，前几天那雨多大点也都明白。     由1而引申出一个问题私人空间，很多人的回答已经提到了，如果主动撑伞，被嫌弃了咋办？对方有伴侣被误会了咋办？      2女权，其实这个问题本来是不涉及女权的，男女老幼帅美肥丑都会遇到同样的问题，个人认为女权首先一点是无须强调性别时不强调性别，“我弱所以你要主动帮我”实际上只是“我强所以我说话”的反面而已，都是男权，并不是女权。      3男女关系，原PO中“是否是GAY只喜欢男生”这句话如果不是盛怒之下口不择言那就太恐怖了，换句话说加入有人主动帮助了事主，是否是说此人想和事主耍朋友呢？这实在是太荒谬了。而且还打了所有gay的黑枪，说的他们只会帮助男性一样。
吉林大学 兰州大学 西安电子科技大学 北京科技大学 山东大学(威海)和陕西师范大学 该如何选择?,谢邀。 首先应该可以排除除了吉大和兰大之外的学校，西电北科长处不在数学，威海的山大好像和本部差不少，陕师大的数学不错，但也只是相对于他们那些等级的学校里。 吉大和兰大近二十年都没落了许多，不过吉大前几年就还请了贷款，最近还要建新校区。吉大在逐渐复兴，兰大就不清楚了。 兰大的数学发展一直是不瘟不火，没有什么太突出的成就。唯一一次出名是这个话题 为什么兰州大学数学系能排名世界第37名，成为中国区第一？ - 知乎  题主想学数应，还想再研究生有更好的发展，那吉大绝对可以满足题主。吉大的保研率够高(似乎是超过1/4)，而且历来是北大科大科院的招生热点。 所以我建议题主可以试着来吉大。不过听说吉大今年似乎要缩招，所以题主应该要做好吉大数院分数线提升的准备。
如何看待电子科技大学学生倾向于在知乎上讨论校内事宜的现象？,“如果天空是黑暗的，那就摸黑生存；如果发出声音是危险的，那就保持沉默；如果自觉无力发光的，那就蜷伏于墙角。但不要习惯了黑暗就为黑暗辩护；不要为自己的苟且而得意；不要嘲讽那些比自己更勇敢热情的人们。我们可以卑微如尘土，不可扭曲如蛆虫。”
如何评价西安电子科技大学学工处及导员周内检查学生宿舍使用电脑情况。？,破事都要来知乎上提问。破事水！贴吧都不带这样的。不要把自己看得太高了，还有不要让这些垃圾问题污染西电er时间线。 正常管理你咋不问如何看待西电图书馆不能穿拖鞋。真是闲的蛋疼。
如何看待电子科技大学电工2013级毕业生在年级群撕辅导员事件？, 谢邀啊。  话说这种话题我一般不会掺和的，毕竟当初也是被自己学生挂过的。  作为一个过来人，又被邀请了，我围观了一下之后，决定出来说几句。  不见得是公道话，毕竟我也是做辅导员的，虽然现在不在一线岗位上了，但还是做学生工作的，看了电子科技大学同学们的答案，真的感觉……  挺有意思的。  关于就业考研出国什么的不评价，不是该校员工，不知道政策，无权发表任何意见。  但这肯定不是辅导员一个人就能决定的事情。大家怼辅导员没理由的。  那我就其他问题简单表述一下自己的想法。  第一，关于这个问题本身，就是大家觉得辅导员态度不好那个问题。  这个事情吧，我觉得理解万岁，辅导员工作是人对人的工作，据我所知这个学院的辅导员一个人带600个学生，按照教育部的要求……是1:200的，三倍的数量，工作量可不知3倍，应该是爆炸式的递增。我在做辅导员的时候也会有的，比如学生补假条、不按时参加评教之类的事情，真的不想给好脸……有规矩，大家都按照规矩来处理，其实挺好的，但非得有人不按规矩出牌，然后出了事情找辅导员擦屁股……那我为什么要给这些人好脸呢？这是不患寡而患不均的事情，这次你没按规矩做，我给你解决了，那其他同学呢？都不按规矩做就乱套了……所以很多事情不是辅导员不帮你或怎样，顺水人情谁都想做，签个字盖个章也不是啥事儿，但放了一次水，以后威信就很难立起来了。  人胖要承认，挨打要站稳。  所以一个220斤的大胖子向各位同学呼吁：大家要学会对自己负责，自己做错了事情要学会承担责任，辅导员没有义务帮助你解决由于你个人疏忽导致的错误。  我也有不少学生自己这也不在意，那也不在意，最后出了事情来找我哭诉，我只能“摊手耸肩”，很多学生大呼小叫“我们已经是成年人了！不需要你管理！走开！”  好啊，如果你出了事情解决不了也不会来找我，我会走开的；如果你不请假跑出去玩出了安全事故，你家长不会找学校麻烦，我会走开的；如果你毕业时候学分拿不够、四六级分数不够没法按期毕业，拿不到双证的时候别到办公室找我，我会走开的。  我还真带过一个学生，人家就一句话：老师我啥也不要，肄业就肄业，我就有自己的想法。  还真是，啥事儿都不找我，我也不管他，安全就行，爱咋咋地。  这个学生一度成为了传奇，大家都觉得他真的很刚。  但可惜的是大家模仿不了，只能羡慕。  大家是一荣俱荣一损俱损的，没必要为难谁。  毕业了就相忘于江湖了，谁和谁也没仇没怨的。  所以我真的觉得，部分同学挺没意思的，说句不理智的话：  不服你来当个辅导员试试，看有没有你现在的辅导员当得好。  第二，有个同学吐槽什么优秀毕业生的事情，导致事情演变成站队撕X了，这个队我没法站，说实话我是认识你们回答中的J姓辅导员的，工作原因有过几面之缘，短短几次交谈中能感受到，是个干练的人，思路很清晰，但没有什么深入交流，只能从各位的回答中了解事情做个评论吧。  你问我支不支持辅导员工作，我是支持的，但如果辅导员在处理事情上比较偏颇，那我是绝对不支持的。  人都会有喜恶的，我自己带话剧团，基本天天和我剧团的演员混在一起，你说我喜欢剧团的演员们吗？我做辅导员的，肯定有大批学生干部分担基础工作，你说我喜欢学生干部们吗？  但这些只能体现在私下里，比如我会给他们更多的建议，有时候请吃个饭什么的。  在公事上，必须要一碗水端平的，我剧团一个主演，一直想入党，但到我这门都没有，因为他不符合“成熟一个，发展一个”的原则，学习成绩也比较差，在我这绝对不可能入党的，有比他更成熟的、更优秀的，肯定发展更优秀的。  我也发现了一个很有意思的现象，比如某个班级有个同学确实比较特立独行，就是大家普遍意义上的“奇葩”，很多时候都不合群或者做一些不讨大家喜欢的事情，但人家学习成绩好啊，学习成绩好啊，学习成绩好啊！  学习成绩和人品能力真的不挂钩的。  但在评选奖学金的时候，真的是看学习成绩的啊，但为了体现公平公正，是会有民主评议环节的，班级选出几个代表对参评学生进行评议，如果半数以上都觉得这个学生不行，那是没办法参评的。  于是大家都开始当老好人，都给好评，都通过，不想得罪人。  结果评选结果出来的，这个学生得奖学金了，然后很多人又来发泄不满，“哇，这种人都能评上奖学金，真是没天理了。”  孙红雷那句话怎么说的来着？  “给你机会了，你不中用啊。”  觉得有问题，可以投诉啊，学校那么多部门呢。  辅导员不行，学院有团委书记，有党委副书记，学校有学生处，再不济还有校长信箱书记信箱，实名举报去啊！  又怕得罪人，又不满于现状。世界非要按照你们的想法运行吗？  可以啊，我上课经常给那些愤怒的学生说，对当前政权不满，最有效的办法是武装推翻，改朝换代都是这样来的，都是在历史进程上考虑个人奋斗因素的。  没有这个本事，就知道抱怨，就知道赖别人，我也可以说啊：  这波我所有技能都交了，你们不上我也没办法，赶紧投降吧。  而且，认定优秀的角度有很多的，不是学习成绩好就优秀的。  学习成绩好只能证明你在某一方面确实优秀。  但如果评上优秀毕业生的同学符合相关的评选规定，那就没有任何问题啊，任何人觉得有问题，可以在公示期提出异议，相关部门是有责任给出解释和答复的。  还有什么越级上访的事情，我也经历过，越级就越级，没什么，只是完事了上访的人招人烦而已。  世界没有义务都围着你转，每个人能做好自己的事情就不错了。  何况是还要管600个人。  不是说辅导员这个工作有多伟大，这就是一份工作，国家给我们有专门的定义，也在一直要求我们走职业化专业化的道路，我觉得做到“职业”就很难得了。  除了职业，每个人都有自己的人格和爱好吧，我是不敢想象自己的工作和生活完全混为一谈的样子。  用我们剧团排练常用的一句话表达一下我的真实想法：  管好你自己。  你们爱与不爱，辅导员这个职业都存在，都有它的意义，任何行业里都有差异，辅导员队伍里也有不争气的同志，也有良莠不齐的时候，但这不是某个人的问题，是行业整体的问题。  觉得不好可以给差评。  但差评在自家软件里给给就行了，你在淘宝上买个东西不好，去论坛发个帖子说，指不定还被定性成营销呢。  肉烂在锅里是好吃的，烂在外面就是垃圾了。  这点道理都不懂的人，就别指摘别人了。  还有个别优越感满满的孩子，眼界稍微放高点，你确实很优秀，但不见得是最优秀的，犯不上觉得自己了不起，精致的利己主义者吧，见多了。  欢迎大家来讨论，不说人话的直接删除，谢谢。  祝大家暑假爽。   
为什么桂林电子科技大学的选课系统那么差劲！！？,那是1997年的作品了
北京考生理科628，打算学计算机和科学技术，去北工大实验班好还是报西安电子科技大学好？,别来西电了   全是泪
如何看待2016年西安体育学院与西安电子科技大学的高校联盟杯比赛?,只是一场比赛而已，被西安的某些媒体进行了片面的放大和搏眼球的对比。 首先，这个联赛是社会举办的，自主参加的，不是院队和院队之间的较量。 其次，西安电子科技大学虽然全是外国人，到外国人不代表都是足球踢的好的。 然后，西安体育学院参赛的队伍是社会体育系的一些学生自己组织参加的。
如何看待电子科技大学沙河校区停用体育场16个月建设地下停车场一事？,年轻人，一个学校修停车场不能从事体育活动，您就能联想到这么多，想象力真够丰富的，按照您的观点，贵校是有可能把校友的捐款用来修停车场了，你确定？但是如果有的校友捐款指明可以用于校园建设，那貌似还用不到你在这里多疑多虑吧。大学生是成年人了，可以为自己的行为负责，也应该对自己的言论负责，别拿自己是学生做挡箭牌，也不要受了点委屈就觉得无处申冤，大学之后的路还很长，是不是也应该慢慢学会适应。还有您说的没有体育健身场所，健身的方式只能是打篮球 足球？谁碍着你在学校跑步了啊。。。（如果你说你不喜欢在校园跑步，只喜欢在运动场跑，哦，那就真没办法了。）
2017想报大连海事大学投档线557电子信息科学与技术专业或杭州电子科技大学预估投档线552计算机系？,大连搞事大学比较出名，去年他们某个队伍在自己主办的赛区拿金，然后在别的赛区打铁。
电子科技大学英才实验班纳新如果不是满绩点能不能去？,纳新看的是学科排名，和绩点没多大关系。三大院的话前十名都比较稳，小院的话就前三名。比较看重英语成绩。
重庆邮电大学IT专业就业情况和电子科技大学差不多吗？,谢邀 虽然我电末流985 但是 还没听哪个谁敢说非985高校里面除了西电北邮，it类专业能和我电差不多的。
本人电子信息工程的本科生主要做软件，信号处理这方面，想考成都电子科技大学和西安电子科技大学的研究？,这个需要你自己去查，去他们学校官网。研究生招生网站上查，往年的报录比，复试分数线，招生人数，包研人数。专业方向以及参考书！全都有。
电子科技大学中山学院和中山大学新华学院（东莞校区）哪一个更好？,马上毕业离开学校，可以好好回答这个问题。我是中山学院的，单单从学校方面谈的话，我们学校不大，但是小有小的好处，而且需要你“翻山越岭”，从南门走北门真的有够累了，而且学校绝对的市中心，各种好吃好玩，去哪都方便，读了四年书，并不觉得自己只是生活在学校，而是生活在中山，中山号称养老的城市，所以是坐安安静静的城市，非常适合读书，偶尔没课去附近咖啡厅喝杯下午茶，周末可以去广州珠海澳门玩。教育方面我觉得就那样吧，大学授课的老师我觉得就那样，其实同等批次大学的老师都那样吧，大学真的是靠自学！不管你最终去了哪里，请好好在大学里自学！大学从来就不只是玩好吗！交通非常方便了，毕竟市中心，去逛街吃好吃的基本滴滴十块钱以内都搞定了。去市外的话，现在校园大巴很多车，主要去广州深圳，打折起来去广州才15块！为毛到了大四才这么多福利，当初大一想去下广州还得做轻轨。宿舍四人间，都有空调，可以自己买洗衣机什么的，女生宿舍基本在新宿舍，所以环境比旧宿舍就更好了。管理的话，讲真是蛮严格的，考试什么的要按照老师说的认真复习咯，四级好好考过400咯，大一到大二有早读和晚修（很多人抱怨，其实是很好的，毕竟本B学习氛围不强，这样学生多少会谢谢作业什么的。中山大学新华学院具体不了解，广州校区还知道一二，东莞就更不知道了，广东地区嘛，挂着中大名还是有好处的，以后你选择在广州就业的话说校名还是有人知道的，但影响不大，毕竟现在找工作还是靠自己大学积累下来的各方面水平！其实你可以从专业方面看的，最好读自己喜欢的专业吧，这样学习才会愉快点！最后！欢迎你成为我的师妹！没几天就要搬行李离开学校，真忧伤！无论你最后去了哪里，好好学习的同时好好享受你美好的大学四年！答得很乱，有什么可以评论问我。
高考结束填志愿面临的问题：西安电子科技大学的计科和电子科技大学的软工怎么选？,成电清水河校区的收分确实还是稍微高一点，但是今后两个校区的录取会合并，而且现在沙河校区录取的信软专业大一也在清水河念书。 既然喜欢计算机，为什么不试试成电的计算机系呢？ 不了解西电，但是两所学校的实力大抵相同。成电985，这是个优势。 喜欢成都多过西安，成都真是个很不错的城市。 加油！
如何看待西安电子科技大学（西电 西军电）的后勤管理？ 是贪还是懒？,泻药。。。 我觉得我们不应该对学校太过苛责了，也不是只有西电一个学校这样，这么大的校园要做到尽善尽美是非常不容易的，毕竟也不是所有的事都是学校可控的。而且每次出问题学校也在尽力想办法解决。  心怀包容，感恩。毕竟多年以后想起来，在北雷的南边，南雷的北边，度过了人生最珍贵和美好的四年。  
杭州电子科技大学和苏州大学中外合办？,谢邀。  按一般逻辑来讲，我个人推荐报考的优先级一定是本科学校整体实力，不考虑专业。毕竟综合实力有了，不管是对就业还是对科研，基础的学习能力，远比本科学到的那一点皮毛专业知识重要。  但是中外合作办学的，除了学校有更高的收益，看不出对学生有什么实际的好处。要想出国，还是踏踏实实读完本科出去读研，读博来的更稳。一般不是特别推荐。  鉴于此，二者偏要选选苏大。但建议考虑其他能够得上的211院校。
