中国地质大学(北京)的游泳馆内部如何？,我还以为问的是武汉的地大游泳馆   这个夏天就能用系列....
中国地质大学(武汉) 17级新生，专业资源勘查工程。有一系列问题想问问？,资源勘察工程是资源学院的专业，资源学院地大五大院之一。实力自然不是问题，但。。。奈何地质行业不景气。所以也就出来一大堆人在黑，就业确实不好，当然也没贴吧里有的人说的那么恐怖。如果你要搞科研，这个专业是不错的。但。。相信大部分人都是要就业，所以建议学弟学妹们还是转专业(大一下)，如果转不了，大二时候有七校联盟的双学位，考研时候也可以跨专业考研。所以改变的机会也很多，不要复读啊。 至于宿舍，51栋确实很艰苦，但51栋太部分是我们地空的，资源只有一部分，所以你们不一定住51。很有可能是56(四人间啊)，条件不错。 。 希望对学弟学妹们有用吧。
求参加过中国地质大学（武汉）自主招生的学长学姐传授经验。？,你好楼主，自己？？
如何看待北京各种高校排名忽略中国地质大学(北京)的现象?,不说别的，写几个段子： 2006年王训练院长在地学院的全体师生会议上说：以前我们北京只有个留守处，是武汉那边的孙子，后来1978变成研究生部就成了儿子，1987年我们也是大学了，现在已经是平辈的兄弟了~外人看不懂没关系，我们自己心里要清楚。 你知道武汉办地质大学办的好好的，为啥要恢复北京这边么？因为院士们老先生们老了想回北京，亲朋好友，社会资源都在北京，所以才重新开办地质大学北京研究生院。90年代地大北京招的学生还没有老师多，地学院20几个教科书级别的老师就围着十几个学生上课。那时候，331路公交车只要成府路一堵就会从学校西北门进，从东门穿出去！ 2004年我入学的时候，大一新生还住在校外的紫金公寓（属于清华的）。2004到2011年，几乎是以每年一栋楼的速度在建设，2012年终于有了自己的体育馆。最近几年建了十来个各种地学实验室，从构造砂箱到ICPMS都齐全。而我当年的同学也都已经在世界各地继续攻读，每次南加大那边发生什么事，我看新闻总是要担心一下。 北地走到今天，每年都在发展，每年都在扩大影响力。只不过影响力还没到让各种排名里面出现名字的阶段，所以只要北地人继续努力，上个排名是迟早的事。 看到有同学用“落日状态”来形容北地，我不得不表示：说话就要负责任，刷几个网页就能发观点，太过草率了吧~
中国地质大学(武汉)海洋科学专业面对广东招生吗？投档线是多少？,处于什么考虑，为什么这样问？我校面向全球招生。欢迎新学弟学妹！
科葩人脸识别设备在武汉地质大学安装使用，是吗？, 科葩人脸识别设备成功在武汉地质大学安装使用！！！     大新闻   地点：武汉地质大学  时间：2017-05-26  主题：地质大学安装使用科葩人脸识别设备  产品：室内外人脸识别门禁考勤机（7台）  2017-05-27，武汉地质大学已经成功安装了，并进行了试用科葩的人脸识别设备。效果非常不错哟~~ 
你会向别人推荐中国地质大学(武汉)吗？,谢邀 这得看情况吧 如果高考分数高出80分左右(以云南理科为例)也就是600分多一点，而对地球科学有着浓厚的兴趣，那当然是来地大武汉更好，如果是这种情况，然后分数更高，当然是南大和北大是首选。 不过说实话吧，如果以后是以工作为目的，选择地球科学还是谨慎一些吧，因为这个领域的兴衰还是与国家息息相关的。
新生一枚，中国地质大学(武汉)信息安全专业怎么样，学习环境怎么样？,突然好奇你是谁，同信安16
7月份中国地质大学信息工程毕业，准备签这两家公司，武汉珞珈得毅科技武汉慧擎科技，请指点我该签那家合适？,你好，请问你最后去珞珈德毅了吗？
中国地质大学(武汉)自动化专业好吗？,相关：地大四年本科。 自动化学院目前有两个专业，自动化和测控技术与仪器。这两个专业脱胎于机械与电子信息学院。2014年夏天学校吸收了中南大学的一个自动化团队，印象中是一共八个人，其中七个是博导，你想象一下。。。这个团队是很牛逼的，据说该团队在中南大学的脱离直接导致了他们的自动化学科空心化。 该团队加入到地大以后，迅速成立了自动化学院。把机电学院的自动化和测控技术与仪器专业拆整体分出来，外加机电学院部分其他老师以及信息中心部分老师。拆分机电学院，院长都被搞走了，所以拆分后的机电学院有将近一个学期（貌似是的）没有院长，处于群龙无首的状态。 在地大，信息技术类、自动化等专业或者说除开地质、资源、工程、珠宝等传统专业其他的专业从来不是优势专业，然而这些专业大部分也都是有历史有传承的专业。比如电子信息工程专业源于物探无线电（来源不可考，我只是听说），测控自动化等同样源于地质勘探设备方面。 以上是故事背景。 由于题主并没有说明自己是地大的大一在校生还是高中生，所以我就都说说吧。 如果你是高中生，钟情于自动化或者相关的专业，那么希望题主尽量高考多考一些分数吧，去那些自动化真正的强校，比如你所说的大连理工。毕竟985比211的优势还是大大的啊。在更好的学校，你可以接触到更加优秀的老师以及同学，你更有机会开阔自己的视野，这是毋庸置疑的。 然而，地大也有它自己的优势。假如你觉得自己考不够一个足够优秀的学校的分数，那么来地大绝对是不二之选。首先，我们以211的分数给予你985的师资，你想象一下有多美好。再者，自动化学院刚刚成立，学生数量相当少，这其中的种种好处，还用我仔细说吗！！尽管自动化学院刚刚成立，但是其专业已经存在了很长时间了，所以在实验室设备、图书资料方面你无需担忧。本科生需要的都是最基本的东西，这些稍微好一些的学校都有能力提供，211学校自然也不在话下。 说了好处，当然也得说一下劣势，否则就是耍流氓。前边说过，这些专业在地大并不是优势专业，其所带来的影响就是学校相关的气氛不浓厚。说点直白的，在地大，你会整天听见石头石头石头，领导们在各种场合讲话都要说把地学领域专业建设成世界一流，让你分分钟觉得自己是后妈养的孩子。。。在学校你会有一种地质、资源才是王道，是宇宙中心，然而你出了学校，发现社会的主流才不是石头，才不是地质。所以这只是一种错觉。地大人特有的错觉。 假如你已经是地大在校本科生了，想转专业，那么我会告诉你，转专业绝对值得转。放在以前，自动化的师资绝对比不上地质资源工程等强势专业，然而现在却不差了。并且当你大学毕业找工作的时候，尤其是最近这两年，地质资源等专业找工作有些困难，当然地大树老根深，所以最后工作一定会有的，不过工作环境嘛，呵呵。这时候，信息技术类专业就出来碾压他们了，近几年这种奇景年年上演。不过风水轮流转，他们也只是这几年落魄一些，终究还是会走上神坛。毕竟我大地大行业影响力那可是首屈一指的。所以转专业与否，你还是自己估量着来吧。 如果还有什么要给师弟师妹说的，等我想起来我会继续更。
如何评价中国地质大学(武汉)的李四光计划？,我觉得特别好啊，大一就能确定保研了，而且保研可以外推，不一定从事地质方面的啊
关于中国地质大学(武汉)珠宝设计系的一些问题 ？,遥想当年~地大的珠宝设计还是专科。。。我考地大，专业课第1。然后被二货班主任和父母劝说着报了武大（其实都是为了各自的面子）10年过去了，依旧是一枚苦逼美工~~~~计划2016年在地大的珠宝设计读个培训班或者在职研究生。。。。。
中国地质大学(武汉)和武汉理工大学哪个好?,地大
中国地质大学分武汉和北京两地办学，有没有一个占主导地位？中国地质大学（武汉）的MBA专业如何？单证硕士跟双证硕士差别在哪儿？, 中国地质大学的前身是北京地质学院，成立于1952年，由清华大学，北京大学等几个学校的地质系合并而来的，地点就是现在的中国地质大学（北京）校区。到60年代中期，为响应国家领导人的号召，学校的部分师资，设备迁至武汉办学，而北京仅保留了一部分研究生教学工作。1978年北京校区恢复办学（但仅恢复研究生的办学，80年代末才恢复本科办学），更名中国地质大学（北京），武汉校区更名中国地质大学，两者均为独立办学实体，无从属关系。由于中国地质大学（北京）有十多年的办学断层（本科断层20年），而现在7，80年代毕业的基本上已成为行业精英，所以影响力不如武汉。  单证就是只有学位证无研究生毕业证，双证就是有毕业证和学位证，只有单证的话有的单位不承认研究生学历。 
为什么华中科技大学不和中国地质大学(武汉)合并？, 原因有这几点：  1、当年华科合并的时候曾经找过地大，但是当时地大是有两个校区，北京和武汉，合并的话势必造成大学的分割。  2、当年华科合并的时候，地大还是当年国土资源部下的第一大学，各种资源都倾向，自给自足。所以当时谈的时候就没谈拢。  3、最重要的一点，当年的华工牛逼哄哄，但是地大也是牛逼哄哄，在某些领域都是第一。所以谁也不服谁。合并后领导还不好安排。而且地大还有国字头，更不想放弃。  4、次要的就是地大已经向综合性大学发展，合并也就没意义了。华工当年合并的另外几所学校都是单一学科大学。 
请问中国地质大学(武汉)和河海大学的水利专业的研究生哪个好考？哪个的就业情况较好？,有能力考武大水利吧
中国地质大学(武汉)的地理信息系统怎么样？女生以后的工作环境会很艰苦嘛？,GIS相当不错，是前沿学科，发展方向广。 女生就业也不错。
请问文科生读理工类大学怎么样啊？比如中国地质大学(武汉)和南京邮电大学？,理工科学校文科不会得到特别的重视。理工科学校技术氛围很浓厚，文科生可能不会很适应。 （南邮大一理科生）
中国地质大学(武汉)的传播学研究生专业怎么样？师资力量，将来的就业，以及报考难度等等各个方面。？, 非此学校，也非此专业的路过，只能我说说我查到的和听说的东西。  首先来说，这个专业在地质的整体排名上看还是不错的，虽然不算特别强势的学科，但是也不算弱，师资不了解不乱说，就业的话，你现在才大二，离考试还有两年，离研究生毕业还有4-5年，未来的趋势不好说，但是从16年的就业质量分析来看，中国地质该专业研究生的就业为100%，最后再说报考难度， 专业课内容为： (101)思想政治理论    (201)英语一    (642)传播学原理    (925)新闻学原理   ，题主不是跨考或者跨度很大，都不成问题。最大的问题还是在于，它这个专业每年只招10几个学生，16的招生计划是拟招生12，其中推免7，虽然不知道最后推免了多少人，但是即便是一个推免都没有，招生人数12人也不能算很多，这才是最大的问题。 
中国地质大学(武汉)的体育系怎么样？,我是地质大的，大学常年和体育系的厮混，作为一名地质狗，可以告诉你，地大所有非主流专业 ，才是这个社会的主流专业。最起码可以做一名体育老师。不过哥们里大部分走了别的路，有的自己开篮球辅导班 ，有的泡了白富美，有的开办了健身房。总之走上了人生巅峰。所以，选择什么学校不重要，行业最重要。
中国地质大学(武汉)每年在湖北武汉招收美术生人数?,是按湖北来算，不是按武汉来算，我这届一个班湖北的8个，一个专业两个班，共有三个美术专业
中国地质大学(武汉)男女比例如何？,3:1
中国地质大学(武汉)图书馆为什么修了五年都没修好？,我听有传言当年地大修图书馆找武汉要钱时装逼了，武汉相关部门就没有给钱。地大也不想自己出，就拖到校庆，等宝宝来看让宝宝想办法。结果宝宝不给力啊。其实地大和武汉的关系一直不好，地大属于外来，人家武汉理工在武汉还有说得上话的呢。
老师们好！您对中国矿业大学和中国地质大学(武汉)，这两个学校怎么看呢？女孩，如何取舍？谢谢！？,这两个女孩子进去读的好处是，找男朋友选择面很大，地质野外活动的多，如果身体条件好，选中国地质大学吧。
想考油气地质研究生，成都理工大学和中国地质大学(武汉)，哪个学校比较好？,我觉得很奇怪，既然读石油，选一些地质学校是为了什么？中国石油大学，华东石油大学，东北石油大学，西安石油大学，西南石油大学。不都可以呀。
在中国地质大学(武汉)读地质学是怎样的体验？,谢邀！好忙，想念地大，1月忙完了回来填坑。 =_=_=_=_=_=_=_=_=_=_=1.31填坑=_=_=_=_=_=_=_=_=_=_=_= 催着我填坑真是够了！= = 正题。 我在地大武汉的专业是地球化学，刚毕业半年多，也算是读的地质学吧，我们学的课程相差不大。标签里的太原理工什么鬼。。待我把它删掉。。体验如下：  一、学习方面 我是地球科学学院毕业的，只讲地学院。 学院在老师的投入方面还是很给力的，每个专业的几个带头人都会轮流给大家讲授相应的专业课。虽然说我们地化的像是捡来的孩子，比如最厉害的老师去给基地班、地质班讲课，稍微次一点的给我们讲课（虽然不能这么评价老师但是本科的时候感觉就是这样！）。所以师资方面不用担心，毕竟随便一个副教授或者讲师都能在专业问题上carry弱鸡本科生（嗯我本科就是弱鸡，承认吧弱鸡们！），关键是本科生们对专业问题好像兴趣不高。 最有特色的教学强项是地大的野外实习。我们地化的去的是北戴河、周口店、秭归三个基地，最后还有各自毕业论文导师带的生产实习，一年年的，对我们的野外技能和地质学基础还是很有裨益的。这对于其他一些学校可能是令人歆羡的资源，我们还有庐山（好像是第四纪的？  @summer ice  指正一下现状）等其他实习基地。 在学术方面，学院和学校也搞了各种活动，什么“大学生科技创新”、“高徒计划”、“起航训练营”blabla，还可以参加地质技能大赛什么的。先找到自己感兴趣的，然后关键是要勇敢地联系导师，不怕被拒。。 学院对地质学专业的要求还是很高的，从我们下届开始，据说有强制性的集体自习了。客观地说地大的学风可能不如从前了，而且地学院的孩子们集体意识与积极性确实有待提高。但是这些都不能给一个潜心求学的小盆友带来障碍，有的人本科期间就能发论文、去学术会议上作报告，所以总的来说学院提供的资源还是很有良心的。而且两个国重还在那里啊！！！ 而且有一点福利据我所知是其他学院乃至同等院校没有的：英语方面的奖励和对出国留学的鼓励。我记得学院的政策是雅思6.5分考试费全返，每多0.5分多奖励0.5倍考试费。比如报名费如果是1680，考7分可以拿2520。TOEFL、PETS5也有相应奖励。很壕有木有？！ 弊端也是有的，但可能是通病吧，我们在专业课程设置上，像勘查地球化学这样传统的、实际应用很强的课程基本上蜻蜓点水，学了就忘。很多其他专业课也是，以考试或绩点为最终目的，学了之后练得少，很难记得住、很难掌握。这些都是通病了，不多说~ 贴一份我以前写给学院的邮件：   老师你好，        我是XXX班的XX。基于上次王甫老师给学院党员和预备党员开的一次讲座，我有一点想法，直接陈述在下面，权当讨论：         我认为我们学院在主楼的一些实习教室可以在一定的时间段开辟作为自习室，比如周一到周五晚上的七点到九点半。这些教室本身就有许多桌椅可供学生自习，另外还可以摆放标本；即，这些“有石头的自习室”可以分为“有矿物的自习室”、“有矿石的自习室”、“有化石的自习室”、“有构造模型的自习室”等等。这些自习室应当对学生自由开放。如果老师担心标本的丢失，完全可以放一个摄像头。而且这个摄像头也基本上无需监管。就算不放摄像头，也是对我们学院学生素质的很好的考验。这些我认为可以和老师沟通。自习室可以有研究生或者有时间的老师答疑，如果他们很忙，也完全可以留一个统一的答疑留言本，学生把当次的问题写在上面，下回来自习就能找到老师对问题的解答了。        自习室如果实现了还有许多建设的余地：比如把利用学校资源搜索、下载文献的详细流程（我认为这很有必要普及）制作成挂图贴在墙上；相应学科的知识框架和要点（如果老师认为有必要）也可以放在自习室里面，因为我们不是为了考倒学生，而是教好学生。所以这可以成为学风建设的一个重要支点。         另外，个人认为在学生大一大二，正是学生对地学的兴趣萌芽的时期，如果不能很好的满足就再难培养。自习室这样的资源应该算很实在的了，如果建成了，研究生也可以利用。并且，老师们采集的那些标本尽管十分宝贵，但我认为让它们充分发挥价值才是应当的。        以上。                                                                                                                                                                                               学生：XXX班  XXX                                                                                                                  2014年5月7日   @summer ice 你还在学校的话记得为学弟学妹们贡献自己的智慧和汗水= =  二、生活方面 地学院本科生的住宿基本都是四人间，我们当时被安排到了西区，但是也是条件不错的四人间，有空调，寝室有洗衣机（自己买的，公共洗衣机发现有人洗鞋子）。一般来说也比较安全，备一把地质锤，发现贼了敲他丫的。 等你毕业以后如果不慎去了研究所，就会发现地大的生活真的很幸福。靠近光谷，各种买买买；学校安静，图书馆也修好了（还是西区好），自习室很任性地随便挑；几个食堂都有好吃的而且不贵，附近的小馆子无数，更不提武汉这个吃货城市；而且大家的平均颜值也很不错（不限于地学院），特别是读了研究生就明白了这点。其他，具体参考： 在中国地质大学（武汉）就读是怎样一番体验？ - 大学生  地学院的单身率比较高，这个因人而异。。。T^T  先就这些吧，本科生好好学习好好玩耍就行，千万不要老待在寝室和浪费时间。其他的想起来了再填。希望对地大的小鲜肉们有帮助。╮(╯_╰)╭
在中国地质大学（北京）学英语是一种怎么样的体会？,问问在武汉的
中国地质大学(武汉)新建的室内游泳馆啥时候开？, 2017.6.1正式向公众开放，本校学生一次15元/2小时（夏季1.5小时），50次卡600元，年卡900元。 
中国地质大学（武汉）周围有什么有趣的地方？,光谷吧，去逛一次，裤衩啥时候被偷了都不知道
中国地质大学武汉和北京的会计专业怎么样？,谢邀，非常抱歉不是太清楚
中国地质大学停水一年是怎样一种体验？,哼着当时地大流传着民谣“北综翔，浪打浪”，让我稍稍忆起那一年被停水支配的恐惧 停水第一天，最大的问题就是排泄废物的处理，一开始大家想着去教学楼的厕所 但是too young，教学楼厕所的答辩已经层层叠叠，恐惧的情绪和气味在整所大学蔓延 第一天晚上，北区超市门口拉来了消防车，大家接盆拖桶，一时间超市水桶脱销、矿泉水脱销，附近商家蠢蠢欲动，此时学校采取了强有力的宏观调控措施，保证超市瓶装水不涨价。 第二天白天，每个人的眼中都透出寻水的渴求，用接来的水洗漱总觉得不干净，洁癖患者几近绝望。当是时，惊闻捷报传来，学校投资十万元修建一条贯通校区西北的水管，在北区开设二十个水龙头，学生感激涕零。 傍晚，只见一派农忙秋收般的壮阔景象，少男少女们或提或拎着花花绿绿的大盆小桶，穿梭在提水的路上，欢声笑语回荡在初暮的校园，一时间，同学们的臂力大幅增高，为女同学提水成为了新的撩妹神技。 第三天，大家渐渐习惯了干涸的龙头，但身上的气味提醒我们——“已经特么的至少三天没洗澡了”，于是，北区学子们背起行囊、拾起肥皂，向着西区澡堂进发，跨区域洗澡成为了同学们学习之余新的征程。 .........时间一晃而过，一周后居然停水结束了，大家纷纷感慨道：“刚刚适应了停水生活，却又恢复了供水，倘若一直这么停下去，也许母校就此名头打响，一炮而红，成为中国知名度最高的大学了也说不定”。 写下该答案的时候恰逢武汉连日大雨，多地被淹，我校却运转如常，不得不赞叹校领导果然地质学本领过硬，学校选址优良，排水流畅，但只愿雄楚大道水管能够长寿、耐操些，不要再给地大学子平添停水之苦。
请问中国地质大学武汉校区到底是不是985？, 谢邀。这个问题不该问我啊，你问一下度娘就知道了。 
河北2016应届高考生，是去中国地质大学(武汉)学习珠宝鉴定专业还是复读？,作为一个已经大学毕业（就是你说的珠宝鉴定专业科班出身，不过我读的是桂林理工，不是地大），且已经在社会上工作多年的人来说，我觉得你现在最大的问题并不是去哪里读，也不是要不要复读。 你现在真正要做的事情反而是：规划，并认清自己。  怎么说呢？还是先讲讲我的历程吧。 我是初三转学到人大附中（这所中学不用多介绍吧？）的，本部，不是分校。是从北京的一所叫玉渊潭中学的学校转过去的，不客气的说，玉渊潭中学就是很典型的差学校，里面的学生打架劫道谈恋爱初中生就开房打炮占全了。你说学习氛围能有多好？你想学也学不进去。所以刚转到人大附时，我就是典型的差生，学习成绩差不说，还成天就知道贪玩。一点没有中考的压力。但在初三后半学期，在家长的压力下，还是认真读书努力追赶同学们的脚步，中考考了不错的分数，自己考进了人大附中本校高中部。（人大附初中是不能直升高中的，一样看考试成绩。）  然后在人大附中高中三年，学习不能说差，但也不能说好，中不溜吧。爱玩的毛病依旧没改，而且人大附的活动是相当多的，中学就不仅有选修课，还有各种社团，英语剧等等，几乎每个月都至少有两场大活动，小活动更是每周都有。要知道那时候还是零几年，国内大部分中学主要还是注重抓学生学习的情况，课外活动远不如现在这几年那么多。人大附中在当时可以说是一个典型的特例，开创了国内中学多元化教育的先河。我自然是各种活动的常客，还是当时人大附中万智牌社重组开设时的社长，校内友谊赛的冠军。然并卵，这些并没有什么用。高考时我依然失利了。没有考上第一志愿，那时候可没有什么平行录取，基本上一本第一志愿一旦落榜，除非剩下两个志愿和你第一志愿分数要求差距太远，不然很有可能你就直接被刷到二本了。我就属于这种，结果以远远高出二本线的分数去了桂林理工大学。当时和你一样，想过是否要复读。但我实在是不喜欢中学的那种死读书的环境，所以当时也没多犹豫，最后还是去了桂工，读了宝石及材料工艺学专业。没错，珠宝鉴定这个专业真正的名字其实叫“宝石及材料工艺学”。  来到桂工，当时我的感觉就像你从初中刚进入高中时的感觉一样，有很强烈的落差。因为根本就不在同一个层次上，无论是哪一方面。我倒是不迷茫，但最开始和同学们的关系并不融洽，什么原因你懂的。不过后来呢？我发现宝石这个专业对我来讲兴趣还行，渐渐的越学越有意思。大学四年，所有的专业课我都名列前茅，最主要的几门专业课，像结晶矿物学、宝石学、晶体光学这类，最差也是个年级第三的成绩，通常都是第一名。后来在校期间拿下了英国FGA，刚毕业就取得了CGC（中国国家注册珠宝质检师）。那一年也是CGC首次放开工作年限的准考限制，所以我大四就开始考了，当时通过后我是全国最年轻的CGC。了解珠宝鉴定行业的人都清楚，CGC的通过率极低，从1997年的第一届开始到现在，将近20年的时间里全国仅通过一千余人。毕业时我拿到了20多家公司或机构的Offer，最终选择去国家珠宝玉石质量监督检验中心北京本部上班（当年没有招聘计划，我是破格录用）。后因为工资太低的缘故，跳出来自己创业，一直到现在，目前来说混的还算可以吧。  那么再翻回来看，我的经历告诉了我们什么呢？ 1、环境固然很重要，但并不是充分必要条件，自己的路子是靠自己走出来的。 2、做事前先学做人，了解自己并进行适合自己的合理规划，比闷头苦学考高分有意义的多。 3、进入大学后，和以前完全就是两个概念，两种环境了。大学是从学生时代向社会的过渡。真正选择大学，选择的其实是你以后的人生道路，虽然大多数人并没有意识到这一点。 4、专业不重要，你想做什么才重要。 5、分数不代表一切，努力有时候也改变不了什么，真正聪明的人要学会既会做蚂蚁又会做蝴蝶。  针对你本身的情况，最后再详细的说一下我的建议： 你现在与其纠结要不要复读，读不读珠宝专业，不如先冷静下来想想自己是什么性格的人？适合什么样子的工作？将来想达到一个什么样子的生活水平？又如何来完成自己的目标？也就是你不再是学生了，你是一个要对自己的一切负责的人了。以后的路，你要靠着自己走完。 学会在学习和娱乐活动中寻找平衡点，像我读了宝石专业后，其实真正好的只有专业课，其他什么高数、物理化学也就是个6、70分的水平罢了。所以虽然专业课几乎回回第一，但却重没拿过奖学金。学习好，那得自己愿意学。所以说大学氛围并不是真的影响你的东西，只有你的观点影响了你自己。我读的那个大学真不算什么好大学，氛围甚至连人大附中这个高中都赶不上，但最后呢？能不能出类拔萃看的是你个人。好在你已经经历过一次挫折，摔过又爬起来的人一般都知道下回怎样才能摔得不那么疼，爬起来的速度也会更快一些。  说回到珠宝鉴定专业，其实中国的珠宝行业的整体薪酬并不高，甚至比绝大多数行业都要低得多得多！福利待遇也不好，跟大国企（石油、五矿、重工等）和知名外企（宝洁、万博宣伟、思科等）的待遇差远了。而行业本身也是很落后的，现代经济思维不强，家族企业、小民私企占主要比例。倒是适合你创业，因为这个行业里你不创业基本拿不到很好的报酬。但珠宝行业入行门槛极低，就一个要求：有钱就行！所以大量不懂规矩，不守规则的行外游资一直在不断涌进这个行业，你想想这行业现在有多乱吧。可以说很可能你大学四年读完出来发现，隔壁村的王二小借了全村的钱又去银行贷了款，开了个珠宝公司已经成了十里八乡的话题人物了，虽然连红蓝宝石祖母绿都认不全，却张口闭口啥都敢说。你要去检测机构，当个听起来高大上的珠宝鉴定师？结果你发现上班第一天你就被淹没在无数台打印机前默默的帮人打印证书，好不容易混出头了可以做检测了，你又发现你继续被淹没在一天成千上万件的送检样品中，只能流水化作业，想研究个什么根本没戏！你想改行玩设计？实话说，珠宝设计专业出来的人还不如美院随便出来一个在校生有想法，缺什么？最缺的是对美的体悟和灵气，大多数都是抄！模仿！死板的复制！不过一个都比一个会忽悠人，用各种高级材料去堆砌出来，反正老百姓也一样不是美术生，看不懂的对吧？哦！你说你想去学加工学玉雕了？不好意思，人家学徒最差也要从中学时代就开始专门学这门手艺了。你？有点晚哦！ 哦！对了！鉴定行业和时尚行业一点都不挨边，并不适合今天干这个，明天就换那个了，你想多了。  怎么？已经打退堂鼓了？那实际情况是：中国的大多数行业虽然比珠宝行业的情况好点，但也好不了太多。除非你说你玩金融搞航天科工啥的。 所以什么就业面窄根本不是你要担心的问题。这世界上有两种人，一种人是读的什么专业就一定要干什么专业，对于这种人来讲，干的一定是自己专业的事情，那不存在窄不窄的问题；另一种人是根本不管自己读的是什么，将来能干什么就干什么，对于这种人来讲，那更不存在就业面窄不窄的问题了。 你连你的方向都没选好，从珠宝鉴定看到建筑和城市规划，又说什么产品经理、广告策划。也就是说你根本没有方向也不系统。 所以，再翻回去看我说的那五点，重新审视一下自己，相信你自己已经有答案了。
请问，中国地质大学（武汉）的土木工程专业（路桥方向），应该到哪些企业去找工作？,简单说，如果要从事本专业，市政桥梁交通设计院或者是施工单位都可以考虑，设计院可以考虑全国性的大院或者各地区较有名有实力的院，施工单位建议去中铁、中建等全国性的大企业；也可以选择去地区性的公路、交通管理或投资部门。 如果不想从事本专业，有一技之长或者某方面特别爱好则可深入钻研使之首先成为生存技能而后进一步发展。否则建议从事本专业。
华中科技大学、华中师范大学、中国地质大学(武汉)和武汉理工大学MBA差异？, 谢谢邀请  武汉MBA 前三甲 武汉大学 中南财经政法大学 华中科技大学。 
中国地质大学(武汉)的工业设计专业怎么样？,谢邀 首先，对于题主浙江考生能上哪些级别的学校我没有一个概念，所以我就简单说一下吧 工业设计专业，国内有几家办的比较好的， 清华美院就不说了 同济大学的设计学院也是很强的，有学姐考统计的服务设计专业的研究生 湖南大学，可能有人会觉得长沙地理位置不是很优越，但是我觉得如果是这个行业的话至少不会比武汉差 浙江大学，这个学校，工设是放在计算机学院的，这个比较特殊，就不是很清楚了 江南大学，这个学校不是985是211，如果分数可以，而你又恰巧想学工业设计专业，我非常推荐 至于还有很多985也开设这个专业的，不是很了解，非常抱歉了  再补充一个，武汉理工是是招艺术生  好了现在说说我们学校  大三在读，我们专业在我们学校属于机电学院名下，怎么说呢，也许题主跟我一样分数比较尴尬，选择了地大，首先一点地大的地学氛围是非常浓厚的，也就是地大偏科比较严重，比较严重，比较严重，再说一下学院情况，个人感觉工设在院内地位肯定低于机械，至于通信跟电信相比的也没有什么突出的地方 再说师资力量，在武汉的话这些老师应该都是很优秀的，但是也有一定的局限性。 但是还有一点，地大有自己的研究生学院，也就是保研的名额相对多一些。两个班一共56左右有六七个名额吧  总得来说，我们学校这个专业，很一般很一般，但至少还是一个国字号的211吧  如果有人问我后不后悔当初选择这个学校这个专业……那么我回告诉你我当时五个专业志愿，第五个工业设计是随便填的一个(눈_눈) ………………………………………………………………………………………………………………………………………………………… 以上，希望对你有点帮助。至于还有问题再补充吧。
中国地质大学(武汉)是一所怎样的学校？学校周边有什么好玩的地方？,泻药。  其实在大学待几年就会发现，学校的基础设施/周边真的没那么重要，我觉得关键还在于师资力量和专业优势。  如果对地质学类的学科感兴趣，如地质学、资源、地球物理等，来地大是一个非常好的选择，因为大牛真的很多！注意我说的是 感兴趣 ，如果想拿高工资挣大钱，可以再考虑考虑。   写完看看好像跑题了。。。  关于生活体验和学校周边好像已经有回答了，查早操上自习什么的就不多说了，东湖绿道骑行森林公园烧烤磨山赏樱啊等等等还是很可以的。   附樱花一张
中国地质大学(武汉)信工学院有哪些实力不错，而且名声较好的研究生导师？,做好给中地公司义务劳动三年的心理准备
中国地质大学武汉和北京哪个好？,中国地质大学（武汉）本科在读… 先来几张图片大家伙儿轻松一下&gt;_&lt;  地大西区操场外围（油画版）  西区基础楼后小树林（晨·晚读学霸们的领地） 自己手机拍摄，冬日暖阳啊~   ………………………………    正文儿   …………………………        地大分北京和武汉两所学校，注意啦，是两所学校。中国地质大学（北京）和中国地质大学（武汉）不想大家所认为的像两个不同校区，这是两所独立的学校，他们由于一些历史的原因有着很大的相关性，甚至可以说是两兄弟，成年后便各立门户。总有人争论哪个更好或是哪个才是本校区，众说纷纭，我觉得这个没太大必要较真，就真切而言地大（武汉）是CUG，后者是CUGB。         在学科设计上，两所学校的优势学科相同，以地质类为主（地质，珠宝，环境，资源等），作为综合性大学，同时也设立有许多其他的国家重点学科（数理，经管，计算机等）。相对而言，地大（武汉）的总学科数量多于地大（北京），所以地大（武汉）在学科选择上更有优势~         在学校地理位置而已，地大（北京）更符合向往“北上广深”学子们的需求，而且地理优势也就造就了就业优势，武汉处于内陆，就业容量与就业前景都有一定局限，但是北京经济更繁荣，就业环境更理想~          城市环境，怎么说呢，对于地大（北京），帝都雾霾不必多说，但近年来武汉的洪灾与高温报道也接连不断，所以，大家伙好好保重啊~           最后说说我就读的经历，给有意愿报考两所学校的你们做点参考： 我，湖南考生，本以为地大（武汉）离家近地处内陆应该分数低才选择武汉，谁知武汉分数线高于北京十分，但来了地大（武汉）后并没有后悔，个人认为学校的文化底蕴、校园建设、学习氛围在武汉七所211高校当中都很不错，而且近年来地大（武汉）在学术发展、科研方面都优于地大（北京），全国排名也不断攀升…而且，我觉得地大（武汉）的发展会越来越好，也欢迎大家报考地大（武汉）~   有什么问题可以咨询我。^_^ 码字不易，求赞…
