中国传媒大学录音工程系到底算艺术专业还是文化专业。如果属于艺术那么我该需要准备些什么呢？求学长或行家？,艺术专业 会考视唱练耳和才艺 去年没考乐理 但是之前有考过 保险起见还是准备一下 校考前要通过省音乐联考 内容同上
有中国传媒大学文化产业管理专业的研究生吗？,你考了吗？考了的话，指教一下我呗
金融本科生想考中国传媒大学播音主持专业的硕士？,谢邀！ 菇凉，苦海无边，回头是岸，学个别的吧！ 为什么这么说呢？ 先讲讲这几年播音主持艺考的火爆吧！ 每年春季艺考那几天，我校门口基本上就被来自全国各地的各种车给堵个水泄不通了，。 所来的孩子们大部分是冲着广院那个著名的播音主持专业去的。 即便百里挑一，每年招来的人数也不少了。 想十几年前，播音班一个班才十几个学生，一届就这一个班。 如今播音系变成播音主持艺术学院，具体下辖多少个班我就不知道了。 这还是我们广院一个学校的情况，再加上浙广、南艺、南广这些学校，每年毕业生就已经相当可观了。 然而这不算完，据我了解，目前国内综合类大学，甭管一本二本，大概都有个播音专业。 如此每年毕业的播音专业的孩子那更是不得了的数字。 其中绝大部分，都找不到岗位。 然后再说说电视台，这几年电视台的日子是王小二过年，一年不如一年。收视率、市场份额和员工收入都每况愈下。 除了那几个娱乐立台的，各家日子都不好过。 眼看着这个行业日落西山，怎么能忍心看着你们往火坑里跳？ 当然，万事有例外。 只要你具备以下几个条件，我倒不反对你试试。     首先，家庭条件足够支持你去学习这么个竞争异常激烈的专业。 其次，你足够优秀。 第三，也是最重要的——如果这是你真正的梦想，请坚持下去。
在中国传媒大学辅助双学位是什么体验？,我也是信息安全的，16级。 最近在查这个双学位的事，不知道这位师哥或者师姐有答案了嘛？
中国传媒大学经管学院的传媒经济学分支文化产业管理和文化发展研究院的文化产业专业的不同之处？,本人本科经管学院的，稍微知道一点。传媒经济学属于应用传播学（初试考传播学），文化产业专业属于艺术学（初试考艺术学）。传媒经济学偏向媒体经营管理类，文化产业偏向产业规划类，两个学科都属于经管学部了。选专业还是要看各个专业的导师研究方向、项目范围是什么，传经文产方向的一位导师也任教于文化产业专业，所以还需要自己仔细分辨。
中国传媒大学学风如何？,谢邀。本人原来10级广播电视工程的，现在还在广院读研，保研狗一条，搞视频技术。就我现在来看，本科生的学风是越来越正了，很多导师也开始提前从大一大二的本科生里选拔（抢）优秀学子提前进实验室培养了。之前09 10 11搞了三年很扯的大类招生政策，很多人不知道将来到底会是什么专业（虽然我知道），很多老师也不知道培养你半天你最后会去哪个专业，看到现在的小学霸们有这么好的条件，我竟有些嫉妒。 中传不是一所纯工科学校，培养出来的工科生气质也跟海淀诸校的不太一样，个人感觉朝阳区工科生不像海淀区工科生那么呆。听说现在学校工科的分数线已经能进全北京前十了，我当时的分数线也基本跟大连理工这样的985齐平，反正我当年就是抱着实现导演理想的目标来了这里（选专业完全没有搭理家长意见我也是屌，其实我当时算是在选学校，毕竟辽宁这地方很多专业都没有招生指标），后来虽然没能真正当上导演但也算是在四年里拍拍拍拍地就部分实现了人生理想，题主有没有很好奇为什么我最后混了个保研居然是拍拍拍拍了四年的人？因为中传这样的小型综合性大学，当你作为一个工科生看到边上的文科生艺术生都在比较轻松地学习时是很难不受影响的，这就看你个人自制力了。 题主选的数字媒体技术专业我当年也曾经是想选的，没记错的话这专业是04年浙大最先开的，中传是06年开的，讲真，后来我发现我校这专业很奇葩，论技术水平比不上计算机专业的，论艺术水平比不上动画专业的，不知道其他学校怎么样。题主你也是想技术与艺术齐飞，秋水共长天一色吗？ 哦对，真想长期走理工科道路的话呢，个人建议读研，反正我觉得哪个学校出来的本科工科生水平都差不多，既然都差不多，还不如在这四年里别把自己搞得那么呆，个人感觉
中国传媒大学传播学就业方向是什么？,广院传播学小硕，方向还是理论。 人文社科类的学生，就业基本上跟专业没太大关系。 我们班的同学，有进传统媒体行业的，有去做出版的，有的进入了公关行业，有的去了事业单位，有的去了门户网站，有的去了事业单位和政府系统，好像还有自己创业的……  说回前面的那句话，人文社科类的毕业生，就业跟专业真的没太大关系，反而性格类型、沟通能力、文字功底这些更能决定你今后能做什么。 除了做技术搞研发，其他的分工很多都是在三个月内通过学习可以掌握的。而基本能考上大学的，智商都没问题。  进广院的一个优势是，你可以接触好多媒体圈的师兄师姐们以及专业的老师，他们会提供好多实习机会，让你可以了解媒体生态，为毕业之后的就业铺路。
我本科是学土木工程的，正在准备17年的中国传媒大学的新闻传播专业？,作为一个毕业3年的人，虽然当年以年级第一的成绩考入中传，但是并不知道这些个案经验是否能真正地帮到你。 首先要确定的是专业。中国传媒大学的新闻硕士研究生分为两类，一类是学术类硕士研究生，一类为专业类硕士研究生。两类研究生的初试试卷不同，总分数线不同，英语分数线不同，所以只是确定考新闻传播研究生还是有点范，最好还是确认考哪个方向，根据这个方向的参考资料和要求进行准备。 其次关于考试。建议制定比较详细的备考计划，分享一下我当年的备考计划。考试的时间在次年的1月中下旬（偶尔也会有上旬的情况），所以我准备的时间比较早，在当年的3月就开始进行复习。初期也是因为不确定什么方向，什么专业，我的策略是至少好好准备英语是没有错的。 1.英语复习： 1）作为一枚从来不背单词的girl，因此只好采取在阅读理解里学习单词，每天保持做2-4篇的阅读理解，用最笨的方法，把阅读理解里不会的词挑出来，查意思，直到有天在阅读理解里碰到这个词，不用想就记得是什么意思。个人觉得放在文章里理解单词的意思远比枯燥背单词实用的多，也很容易记得牢。 2）多看美剧和美国电影。虽然初试不会考听力，但是语感这个东西没有环境很难培养，灌耳音是最快也最直接的方式。一定要选自己感兴趣的电影和美剧，这样才有坚持的动力。 2.专业课复习： 作为跨专业的童鞋对于新闻领域需要了解的部分较多深表同情，关于这块也是建议从两个方面入手： 1）培养兴趣。Start with why！其实这个问题应该是选择考研之前就应该有明确答案的。 为什么要考研？为什么要考新闻传播学的研究生？为什么要考中国传媒大学新闻与传播学研究生？ 如果能很好地回答这三个问题，至少我觉得你在考研上已经成功一小半了。 关于兴趣的培养，没有好的办法，至少要成为这个领域某个牛逼人物的脑残粉，有了精神领袖的指引，很难不关注这个领域。（如果不知道从哪儿下手，其实可以从购买新闻类的杂志or文章开始，杂志：《三联》《人物》《财新》；App：澎湃新闻；推荐两个个人很喜欢的记者及一本书，李海鹏（代表作《举重冠军才力之死》）、南湘红（代表作：《南池子》）、强烈推荐 陈虻《不要因为走得太远忘记为什么出发》。 通过阅读，能积累对于新闻作品的鉴赏水平。 2）比死背书更重要的是理解。 其实到了研究生这个Level的考试，我认为不是单纯地考察背书的能力。更看重的是作为这个专业未来的一份子，怎么去看待这个问题。当然，我并不是说背书不重要，如果只是为了应付考试而看书背书，其实真的不如趁早打消考研的念头，因为面对一门专业5-6本甚至更多的专业课，就算记忆力达人我觉得也未必能做到一字不差。所以重在理解，因为理解所以才能印象深刻。当然我并不是说背书不重要，一些重要的时间、地点、人物还是不能错。 3）发散你的思维，拓展你的视野。 在牢固的专业知识基础上，接下来就是通过一些额外阅读来发散思维，拓展视野。功利地说，就是去阅读一些论文期刊库里的论文，了解目前业内对于该理论或问题的研究新方向等。当然，这些都是建立在已经做好前两步功课的基础上。  个案的经验希望对你有帮助~以及加油！祝成功！
中国传媒大学和同济大学平面设计选哪个？,首先城市，同济和中传一个北京一个上海，都一线没啥纠结。 学校层次，综合类偏理工科的同济是985，语言类偏艺术的中传是211。 但是单纯平面专业来讲的话，应该是中传更久远一些啊，同济建筑牛掰！ 要是我本科的话会选择中传，因为中传实践性强，适合我一点！ 中国美院的话…都挺厉害的。 还是看你自己选择吧  感觉我回答了等于没回答！
请问，华东政法的传媒法制和中国传媒大学的法律硕士，哪个更好？,中国传媒最好的是新闻学，法律硕士不过是新开的一个专业而已。要考法律硕士，所有的政法专业院校都可以考虑。
考中国传媒大学的研究生有多难？,好吧，我表示必须来回答一下，我是二本院校半跨专业考进中传最热mjc，现在在读，去年辅导了一些学生，索性还颇有成效，发现大家都过高估计了考试的难度，也过低估计了自己的能力。 压力大是自然的，但是讲真没那么难  对于各位同学经常来问我，学姐你觉得我能不能考上？ 我的回答永远一致：自己能不能做到为什么要问一个素未谋面的人，自己都不相信自己谁能相信你！  至于考上的秘诀：科学的学习方法+适当的努力+坚持+正常发挥  .......................这是酒醉的分割线2................  ps：大家都是要学新闻的，检索信息能力很重要的，  能在百度上找到的问题就不要太问了好不。  简单科普一下      你们有一些基础性的问题，可以去我公众号「寄世书」下面留言或者关键字自取啦，重复性多的问题就再集中回答啦  PS：我声明一下这个号不是考研什么号，只是因为你们问的同质化问题太多了我回答起来太费时间就做了关键词回复，就贡献自己的公号出来了。。。回复：考研，考纲，广告学，新闻学，mjc之类的都可以的，好吗
想考北京电影学院、中央戏剧学院、中国传媒大学等名校，有没有靠谱的培训班推荐？谢谢♡？,没有靠谱的培训班也没有靠谱的小课老师。 原来知乎已经沦为了广告的聚集地，真正有料的老师是不会到处招生的。  怕撕，匿了。
如何看待中国传媒大学生强奸未遂杀害同学事件？,受害者是我校友，愿师妹一路走好，安息。 昨天得知这件事时上网一搜，居然搜出来一大堆“肯定是太骚了”“谁让你反抗”的言论，真是心塞，良心被狗吃了吗？ 然而在这个问题的答案下，也有一堆披着“善意提醒”外衣的类似回答。  我只想说： 首先，姑娘离开学校是中午12：30，不是深更半夜，更没有任何证据显示她穿着暴露，犯罪嫌疑人是她的同学而不是陌生人，那些“善意提醒”姑娘们不要夜间外出、不要穿着暴露、不要和陌生人说话的答主可以歇歇了，除非你的意思是然并卵。 其次，很少有强奸犯作案的动机是单纯的性欲，请不要在这里夹带私货试图合理化嫖娼。强奸是一种对女性的控制和伤害，性交易合法并不能减少强奸案的发生，很多性交易合法国家的案例都证明了这一点。嫌疑人自己也交代，是因为诸事不顺想找人发泄，而不是简单的欲求不满，更不是有些人想象的爱而不得。 第三，在这里喊出生命大于尊严是没有意义的，我认为嫌疑人杀害姑娘的举动并不在她的预料中，毕竟两人是同学，姑娘很有可能完全没想到对方会下此毒手。何况被强奸并不比被偷手机抢钱，在天朝，victim blame、唯处女论、家丑不可外扬等观念仍然大行其道，姑娘如果不反抗，结果可能就是对方逍遥法外、自己忍气吞声，大半辈子都有心理阴影，说出来的话还可能面对“没反抗说明是自愿的咯”“没准还挺享受吧”的言论。 为什么反对这些“善意提醒”？的确，女性作为弱者，出门在外谨慎小心，对我们自己的安全肯定是大有好处的。但是，一味强调女性的人身安全要依靠她们的自保，对女性太不公平了，也模糊了事情的焦点。作为一个女性，我会尽量保护自己，避开可能的危险，但如果社会舆论竟然是女性应该自保，我们如何有安全感？ 请各位男性设身处地想一想，在一个治安很差、谋财害命事件频发的城市，舆论不批判政府不作为，整天只“善意提醒”市民不要随便外出，你们作何感想？ 在一个养老保障很不完善的国度，舆论不去督促政府完善体制，整天“善意提醒”各位公民要趁着年轻多赚钱、赚大钱，自己保障自己的晚年生活，你们作何感想？  最后，请在发表言论之前考虑一下当事人亲属的心情，尽量避免二次伤害。不但受害者，还包括嫌疑人。
如何看待中国传媒大学要求开具医院证明才能使用空气净化器？,南京航空航天大学反正是让用的。
考上中国传媒大学有多难？,谢邀(°_°) 首先我只是大一的-_-#可能有的地方说的不好 欢迎指正。 题主好像之前有个问题也邀请了我，但是我并不了解之前的问题就没有回答。 先说下考中传的难度，理科投档线基本是超过一本线60-80分吧，不同地区不同。但是最高分和最低分差距会有三十分左右，大概是因为大家对中传的了解仅限于新闻传播、广告这些，对于理工类、经管类等不了解造成的吧。因为同分数段中传新闻传播、广告这些专业水平应该是最高的，而对于其它专业家长们同学们一般会认为有更好的选择，就不会选择中传。 嗯不知道这算不算难度。 翻了下题主的提问记录。题主现在是大一，想退学考中传的话…我觉得不太值得吧，倒不如好好学现在的这个专业，然后考研考中传。当然我也只是大一学生，对未来的规划和把握能力也就那样，建议题主还是问一些有经验的人。
本人现高二，想要报考中国传媒大学编导系专业？,泻药 1、自己先去了解这个专业 2、中传的编导不学专业也能过 3、有希望考上人大复旦就别来中传了 4、如果真成绩好请无视第一二条只看第三条
理科生想要报考中国传媒大学数字媒体艺术(数字娱乐方面)，请问艺考时会考些什么，我应该做些什么准备？,只能告诉你今年考了些什么，并不知道能怎么准备 面试的时候老师会问一些关于游戏的东西，比如玩什么游戏看过什么比赛之类的，可能还有人被问比较专业的问题，这个我就不清楚了，因为没问我...我是兼报的考生，半个小时老师就问了我一句 你觉得摄影跟未来的游戏可以如何联系在一起(因为我提交的作品是摄影作品) 笔试的话，今年的考题是十几道选择填空题，具体记不清了，大概是简单的文化生活常识以及一些测智商的题目，逻辑推理题，后面还有一道大的数独。 三道简答题，两小题一大题，都是跟游戏相关的，题目记不太清楚了，只记得有让分析2016年游戏市场，各类型游戏所占的市场份额，以及为什么会这样。 最后一道大题分值最大，是让设计一个游戏。今年的题目好像是跟植物相关(￣▽￣)？这个我也记不太清了，可以写很多很多，玩法策略等等，还可以画图辅助 嗯，综上所述，考智商和创意。
在中国传媒大学南广学院就读是什么样的体验?,在我这里，觉得南广给我与其他学校最不一样的感觉就是那种——“青春恣肆的率性”。   还记得大一刚进学校的时候，一个毕业了很久的学姐回校，跟我们讲，南广是一个特别容易让人有感情的学校，毕业的时候特别舍不得。  后来发现还真是。  还记得那时学生会全体成员在北服致青春聚会，喝多了我们一起拿着酒瓶子怼了一口，大声喊，艺设牛逼，我们会更好。虽然现在看来我们这一届起码好像是没做到。  还记得那时输了特别不想输的比赛实在难过，打个电话一起去穆斯林撸串，一起骂着评委傻逼，连举证责任都他妈不懂，也敢来评比赛，单挑打得过我么。嘴上虽然这样讲，但我心里知道，那场判我们输其实没问题。然后开始难过，开始想那个那时力排众议拉你进队的学姐，开始难过那时一直不被人看好，没机会上正赛还要死乞白咧的打好每一场模辩。  还记得后来，没法在千报办晚会的我们在大讲堂里办了一个晚会，没有彩排出了太多篓子，书记在下面看的脸色特别难看。最后，晚会结束了，我们所有人一起合唱嘎拉的《追梦赤子心》。 也许我没有天分，但我有梦的天真，我将会去证明我的一生。也许我手比脚笨，但我愿不停探寻，付出所有的青春不留遗憾。 唱到后来我们开始嘶吼。嘶吼的，是我们的不甘平凡。  还记得大一的时候我的学长告诉了我一件事情，毕业的时候，一个班的人包了一个餐馆。吃完饭，他们换好学士服，在我们的五百万大草坪上抱着哭成一团。  很多时候，每次我们的毕业红毯都会登上各大网站的新闻，但基本上标题都是讽刺的。  可是，我们就是这么浮夸了，就是这样了。人家默默无闻了四年，盛装出席浮夸一次怎么了，不给么？  的确，我们未免有些浮躁和非理性，但这种想哭就哭想闹就闹，实在难过了不顾别人的眼光在地上打两个滚再拍拍土起来难道就不行吗？  不就是这种恣肆率性的样子，才更贴近青春的本色吗？  现在大二，真不知道毕业时候会哭成什么傻逼样子呢。            
暨南大学的新闻和中国传媒大学的新闻哪个好一些？,新闻学科实力，人大复旦中传是第一梯队，武大暨大华科清华是第二梯队。中传新闻实力强于暨大是学界共识。  分数够的情况下，选择中传吧。分数不够的情况下，选择暨大，会比人大复旦中传武大以外的大多数新闻院校都好。
中国传媒大学和北京电影学院录音系就业前景如何?,首先你列举的方向大三会再分电影录音 和现场扩声 录音最安稳的是去游戏公司 腾讯承诺一年二十万+ 规模小一些的月薪七八千肯定能保障
中国传媒大学意大利语系实力如何？,实名反驳二楼回答。 首先对于这种匿名污蔑表示不耻，脏了知乎的匿名功能。 然后来回答问题。 作为一名即将从中国传媒大学意大利语专业毕业的学生，我想我有资格来回答这个问题。 中国传媒大学意大利语专业目前采用隔年招生制，每班16人，小班授课，中国教师平均教龄12年左右，副教授级讲师一名，外教一名，外教精通中国古汉语（很多他看的中国古代典籍，我并看不懂。。。）在学生大三时可以自主选择出国留学，交换至对象国意大利，在佩鲁贾外国人大学进行为期一年的交换学习，大四回国继续完成国内本科学业。也可以选择留在国内。 广院的学风一向是自由开放的，不拘泥于课本教学。因此从大一开始，意大利驻华大使馆等可以于真正意大利人交流的地方就经常可以见到中传意大利语班的影子，各类意大利语电影，意大利语音乐，等等我们几乎都有过接触。注重实践以及寓教于乐是广院意大利语的风格。 广院的学风也同样严谨，每天的课余作业很多，老师同时也会认真批改，及时反馈。特别作为大三即将出国的广院生，大一大二对于我们格外重要，在我们中间流行的一句话是“只要专业选的好，大学年年像高考”。每位老师都会尽职尽责，我相信，没有哪些大学老师会像他们一样，每天留着课后作业，而学生第二天就可以在自己的邮箱里看到作业的反馈，及时纠错。 以及二楼提到的朱老师。我不知道二楼的人是出于什么心态。期中考试没及格吗？但是作为一个广院意大利语班的学生，作为朱老师的学生，师生四年，毕业多年，仍来抹黑，这样贬低一位老师，居心何在。 朱老师是一个很温柔的人，在对待学术方面极其严谨。我有幸毕业论文得到朱老师的指导，论文改稿已经改了5稿之多，每一稿都有长长的批注，需要注意哪里，更改什么，以及语法有哪些错误等等等等，可以看出朱老师对于学术的态度，以及对学生的态度--她没有用一种敷衍了事的态度来对待大学本科论文，难道还不能说明问题？？？ 希望这些对提问者有帮助，以及，希望二楼撤销匿名。广院人向来敢作敢当，对人有意见也敢当面评价，作为青年这样畏畏缩缩，让人看不起。 以及，题主还有什么问题，欢迎找我咨询。马上就要离开广院了，真是见不得人泼脏水。  另外，很明显这人语文不好，不明白水军是什么意思，不明白的麻烦您老百度一下，别以为会连WiFi就是现代人了，为老不尊这种事做的人也不少，大概您老就是做的最娴熟的一个。以及，删什么评论啊，有本事别虚。  一直都是摆事实讲道理的，我们有例证，不知道二楼的那个匿名用户凭着一张嘴，以及一句“圈里人”能证明什么。他是哪个圈子的？哪个圈子的人不敢直接站出来说话？非要藏着掖着的？真是，套用他的一句话，高下立见。
中国传媒大学MJC新闻传播硕士的历年真题哪里找？,我这儿有真题以及真题答案  http://  weibo.com/ttarticle/p/s  how?id=2309403963147462533376      
2017考中国传媒大学传播心理学研究生需要看哪些书？,初试参考书目和传播学专业一样 百度搜一下基本上都有  复试参考书目  大众传播心理学 刘京林 广告心理学 余小梅 新闻心理学概论 刘京林 传播中的心理效应解析 刘京林  分数线的话16年和17年都是整个传播学专业一起划线 16年是369 17年还没出
交换生在中国传媒大学放寒假时可否续住宿舍？,您好，您是境外学生还是境内学生。  具体目前可联系学生公寓管理中心。暑假值班电话:010-65779611
中国传媒大学的数字媒体艺术专业需要省美术联考成绩吗？,谢谢孙总邀请。 开门见山的说，截至目前为止，不需要。 不仅仅是中传的数媒，北师大、浙传、南艺、北电的数媒专业都不需要河北省统考成绩。 但是，你去问河北省考试院它可不会这么跟你说，它会跟你说我们不清楚，你去问高校吧，高校也是和考试院相互推来推去，甚至有一次我给考试院打电话，考试院的人竟然说美术/音乐类统考你任选一个吧，以后真需要有个成绩没准也能投档……
想要考研到中国传媒大学新闻学，需要看哪些书啊？请有经验的师哥师姐帮帮忙吧～？, 大家好，我是长顺，上一期给大家介绍了我考研期间的有关经验，这一期我想从具体参考书目和资料方面与大家分享一些个人经验。      简要评价：  1. 前三本书是新闻理论和新闻历史的重要书籍，笔记都是出自这两本书，如果大家复习时间较早，那就从看这三本书开始。也有李良荣的《新闻学概论》什么的，选择一个就好。  2. 新闻实务部分的三本书是以前广院考研的必读书目，大纲改革以后新闻实务比重少了一些，但是如果考的是新闻学院的专业，那么这几本书也是必读的。  3. 广播电视实务的这几本书都是我看过的，大纲改革以后新增的广电实务部分是很难找到现成笔记的，因此我自己从这几本书中找到了考试大纲中相应的条目，并做了笔记这几本书大家可以看，写的挺好。  4. 传播学的书都用胡正荣的《传播学概论》，他是现任广院校长，但是我在本科期间读了郭庆光和胡正荣写的这两本书以后，私以为郭庆广的《传播学教程》写的更详细且有深度，更系统。因此我推荐这本书，而且也做了详细的笔记，包含在我的资料当中。  5. 广播电视史论部分也是我找了各种书来自己做的笔记，这一部分用的最多的书其实是《全球传播史》，写的非常有趣又有料，建议大家去读一读李彬的这本书，另外就是赵玉明、李岩等人写的那几本书。  其实要说推荐书目，真的能列出一大堆来，针对传播学的学子，还应该读尼尔·波兹曼、麦克卢汉、鲍德里亚、霍夫曼、李普曼等等他们的原著；新闻学的同学应该去把普利策奖近10年的新闻报道研读一下；广播电视类的同学应该对本雅明、葛塞尔等人关于大众文化、影视文化有所了解；新媒体的同学应该对尼葛洛庞帝、保罗莱文森等人的著作有所涉猎……这些都可以帮助我们提高自己的专业素养，而提升素养就是山不嫌高，海不嫌深的无上限事件，类似这样的书单也是一抓一大把，但是大学四年都没有完成的事情在考研期间更不可能有那个精力去做这件事，因此大家都量力而为，这也是我列这个书单的目的，这份书单是最为重要的几本书，有余力的同学可再去搜其他书看。  二、推荐其他信息来源  考研过程中除了基础知识扎实以外，大家还有一个头疼的地方就是关注时事，因为论述题很可能根据当年的时事出题，这也是押题的重点所在。怎么解决这一部分问题呢？这里我给大家推荐几个资料来源：  1. 重要期刊：《现代传播》《国际新闻》两本重要的学术期刊大家应该很熟悉，就不再多数。  2. 关注公众号，比如“考新闻”，虽然有时候货也不干，但是紧跟时事潮流，从新闻传播学角度关注当年发生的重要事件，这一点倒是可以给大家写论述题带来参考。但是类似的公众号关注一到两个就够了。  3. 传媒人网，这个网站每年会出时事热点解析，当年我180块钱买了一套，可是也没怎么看，给大家一个参考。  4. 传媒小王子，这个大家也熟悉，他每年出的一套理论和热点解析挺有用的，有更多时间的同学可以看一下，这个可以有。  5. 广院的金谷园书店有很多复习资料，复印店也有，如果同学需要可以来学校买，或者托朋友帮忙买。  推荐的这些信息来源只能作为参考。考研的时候很容易会有这样的问题：资料五花八门满天飞，各样论坛都能下载到看似干货的资料，或是一冲动就花了一两百买了网课什么的，以我的经验，多么好的资料都没用上。我也是买过、下载过各式资料，包括传媒小王子那一套，现在翻一翻都觉得挺有用，但是也确实没怎么用上，肚子就那么大，怎么能吃下那么多东西。所以说对待五花八门的资料一定要有清醒的认识。  首先，要有一套最核心的资料，其他资料都是辅助，哪怕过程中遇到多么棒的资料都不能捡了芝麻，丢了西瓜。因为如此，所以那一套核心资料必须是权威、正确、不坑爹的干货。我有个同学考某985大学，没有报班，也没有找到正确的资料，经常上网找一些网课来听，结果就是一点戏都没有。要么报班，要么自己做笔记，要么买一套靠谱的资料。  其次，网上的专业课视频可以作为辅助，但不要花太多时间，如果不是专门针对中传的，而是那些综合类考研机构的网课就更要观望一下，因为我曾经帮师姐给一个挺有名的考研机构整理过考研资料，虽然有干货，但是他们自己注了很多水，值不了那么多钱，还浪费时间。  最后，要时刻关注研究生招生网的动态，考试大纲出了以后要赶快下载，有新通知要尽快研究。  在读研期间，我重新整理了自己考研期间的资料，有一部分是学姐传给我的资料，另一大部分是我自己的笔记，并且做了ppt在某考研机构讲过课程，最近我把自己的资料汇集在一起，打算卖出去，如果有同学需要可以联系我。这套资料相对来说较为全面，可以作为主要资料使用。我会在首页附上资料使用方法，就像这样：         使用说明  1. 核心资料包含了两门专业课（712和815）考试大纲上的所有条目，并按照大纲上的顺序排布，这是最基本的。             2. 历年真题就是字面意思，真题要做两遍，因为可能有的题会重复出现，研究真题是非常必要的，最好把真题出现的频率和种类列一个表格。     3. 读书笔记作为辅助材料，如果没时间看书可以通过笔记来了解一些理论观点，其中《传播学教程》笔记非常重要，也非常好用，这个要多看几遍。《传播的偏向》核心论点记下来在论述题的时候用上会显得非常洋气。广电史论和新媒体论文大致浏览一下，与核心材料有重复的地方。社会学的两个笔记作为了解，不甚重要。传播学论文可以翻一翻，都是重要学者的重要论文，可以帮大家对传播学有个整体框架概念。     4. 其他资料虽然是辅助，但是看标题是不是也觉得有干货？确实有呢，名词解释可以没事儿背一背，说服理论的讲稿是我读研期间课堂演讲的时候费了挺多功夫做的资料，很快就能读完，对理解传播学很有帮助。专业课应试技巧总结简直太重要了嘛，必须好好看一看，再自己总结一些答题模板。Netflix大家都听说过，纸牌屋的出品方，现在挺火的国外四个视频网站中的一个，新媒体和广电方向的同学可以了解一下，这是我读研期间的一篇小论文。     5. 考研建议什么的就是我发在公众号“研路”里的两篇经验贴。     6.712和815两门考试的大纲，这是中国传媒大学研究生官网上发布的考试大纲，更新到2017年，2018年的大概会在10月发布，大家要关注招生官网。         以上就是我的全部资料，需要的同学可以私信我，微信号是tt1392213415；微信号不是我的电话号码，是qq号码。     
如何看待中国传媒大学周云露，李斯达事件？,只是搬运工~  是传媒大学一个学生写的。    http://  mp.weixin.qq.com/s?  __biz=MzI0NDAwMzEzMA==&amp;mid=208528815&amp;idx=1&amp;sn=2272f201b6e9ff329cd72e0fa72fb422&amp;scene=2&amp;from=timeline&amp;isappinstalled=0#rd      
2016年四川理科生能考中国传媒大学吗？能考哪些专业？,不请自来，曾经利益相关，成都九中考到中传，只是我是艺术类。首先你要知道当记者不是非要读某一个专业的，中国的大学没有专门的“记者”专业，最对口的应该算是我校的新闻学，不过我印象中在四川考的话要在一本线上70？（记不清了，官网有，可以自行查看）也许对你会有难度，可以考虑电视学院和新闻学院的非艺考专业，另外自招的几个专业也不错，小语种的话我们今年居然被排在了北外前面，成为了全国第一的语言类大学（笑），我记得去年非通用语的调档线文科580？那理科大概也就是一本线上四五十分。大概就是这样，祝你考上！
中国传媒大学转系？,研究生要能转我早就转了。。。
中国传媒大学靠文化分进去的学生可不可以转业到艺术类？,可以转但是要参加考试
