求赐一个东北师范大学文学院对外汉语专业的学姐学长！！！？, 东北师大的对外汉语专业的硕士在国际汉学院培养，不在文学院 
东北师范大学和浙师大选哪个？,  反对此人。 同学，您好，谁给您勇气说东北师范大学也不是很好师范大学的？您是在这里上过大学吗？还是您研究过该学校的就业率学术研究成果或者是人才培养质量？  作为东北师大的一名学生，躺在这里说东北师大在全国师范类院校里就很好的了。不服可撕。  硬指标如下：  全国师范类大学综合排名全国第三或第四（因为看过各种排名有第三也有第四的），教育部直属六所高校之一，就业率全国各大学前三，就我读的专业内保外保保研率达到百分之二十多接近百分之三十。 浙师大不了解，不做评价，无法比较。   问题主可以多参考各家意见，多问问。
想要了解东北三省哪些师范大学比较好？,基本按顺序，东北师大，辽宁师大，哈尔滨师大，吉林师大，长春师大，大庆师院，牡丹江师院，通化师院，白城师院。
东北师范大学在211大学中是什么水平？, 师范类大学不宜与综合大学比较，在211高校的师范类里属于3-5名内的水平。 
我是17届黑龙江理科考生全省排名17730，应该选哈尔滨师范，东北农大还是黑龙江大学？,作为一个经常和毕业生打交道的人来说， 先说一句，211只是一块敲门砖而已，最主要的还是你的综合素质。211决定下限，上限还是你自己。 东北的经济决定了，出了东三省，除了哈工 工程 东林要好一些，东农 哈理 黑大 都差不多 半斤八两就不要比了。 先说你这大学四年，黑大农大的地理优势不说了，师大真的不太建议。 至于农大，这所学校，你这分数去了很容易调理到不满意的专业，至少来黑大你可以选择一些你比较满意的 之前我那位校友说过，黑大理工科 除了化学院其他的真不强，然而我们整体这个行业，都不太好， 你理科也可以报法学啊……法学在黑大的确很牛逼。。   我再补几张图   
东北师范大学转专业什么时候可以申请？,东师是可以转专业的，但相对来说是非常困难的。我本身当年转专业就没有成功。是这样子的: 你要转入的专业是对你成绩方面有些要求，除此之外你本来的专业为了限制学生转专业也会有成绩要求。我当时想转外国语学院，要求好像是英语三级班(大一的时候会进行分班考试)不能有挂科，成绩在30%之内。我们本专业没有什么成绩要求，但有的学院会规定成绩在5%以内才有资格转专业。 除此之外的话基本上就是一些笔试，面试之类的。还有转专业是在下学期，比学期有一门课挂科都算作转专业无效(没记错的话应该是这样子)，我当年转外国语就因为面试成绩被刷下来，最后是他们德语系的女生转到了英语系…… 当然啦，你是要提前自己找信息，还要去学院打报告，辅导员还要约谈之类的，还会往你家里打电话……
东北师范大学会计专硕怎么样？,我也想知道
安徽大学 郑州大学 湖南师范大学 东北师范大学 华中农业大学云南大学 海南大学 长安大学怎么选？,云南大学。有过比以上所有其他学校都辉煌的历史，有着一流的自然环境和硬件设施（硬件设施不输一些名校），录取分数因为地理位置被拉低，大学十分的低调。至于专业，你还是仔细的去详查比较好，都了解的不太全面，随便说的话不客观。
东北师范大学会计专硕？,1.每个学校内容不一样，不过大多数都用人大出的那套教材。 2.不知道。 3.是的。 4.是的。
东北师范大学2017招收广东文科考生吗？, 具体查阅报考指南或者东北师范大学官方招生网站 
大学毕业后去高中当语文老师，想考东北师范大学研究生，请问是考汉语言文学专业还是学科教学(语文)？,个人觉得考学科教学语文比较好，因为你以后不考博士，所以实践锻炼更重要，一般学科语文会带领学生去中学实习。学的东西，也更贴合实际教学。汉语言文字学，也有小的分支，语音，词汇，语法。你学的东西更细，更专。对于当高中语文老师没有实际的帮助，可以锻炼你的逻辑思维能力。目前，就业来看，单位不会关注你是学术还是专业硕士。
东北师范大学和东北大学文科哪个比较好？,我是理科老师。
请问一下 东北师范大学心理学大一学生想要考北师大研究生 需要准备些什么 谢谢？,2017待报生～求咨询方式好吗？
毕业后想在北京当高中语文老师，南开大学和东北师范大学哪个学校的研究生更吃香？,我是东师的，但是客观的说一定是南开啊 真的不是一个层次啊，大连的学校都不限制师范非师范了
文科选西北大学东北师范还是宁波诺丁汉好？,东北师范
西南农林科技大学和东北师范大学哪个更好？,是西北农林科技吧？
在东北师范大学读书是一种什么体验？,头一个过十赞的回答，居然还是我们学校话题下的精华，我受宠若惊啊，所以决定回来更一更。  先贴上几张学校的照骗  本部                 净月                        要是论风景的话，本部净月各有千秋吧！本部的觉得净月的好，净月的觉得本部的好，具体哪个好……可能环境学院的同学们知道，因为他们大一在本部，后面的几年都在净月，我猜测是因为大一的课程和地理学院一样的缘故。   关于我们学校的各个专业的排名和好坏情况，我还是原来的观点，毕竟我说的是整体情况，确实是那样。评论区也有补充的，可以参考一下。 ----------------------------------------------------- 以下是原回答。  谢邀！这他妈的是我头一次被邀，还是我舍友邀的。  我是净月校区的，对本部不了解，所以就只说一说在净月校区念书的感受。 一来的时候是夏末秋初，感觉学校环境挺美的，花草树木都有，而且还有极其大量的漂亮妹子，看得人心旷神怡，宠辱偕忘…… 马路上迎面走来的女生里面有一大半颜值较高。大家公认的，我们校区妹子的质量和数量都要优于本部，因为艺术类专业都在我们校区。但是汉子就不如本部，因为本部有体育学院。 说来我们学院的汉子在别的学院妹子看来还算是数量多质量高的呢！  后来到了冬天，就感觉不对劲了。倒不是冷，我是内蒙古人，没那么怕冷。是因为霾，没错，就是霾。我以为名字叫长春应该是四季如春的，事实证明我想多了。到了长春市开始供暖的时候，要命的话一般人都不敢出去，在楼道里都觉得辣眼睛。我一个鄂尔多斯人啥时候受过这罪，我鄂尔多斯全年空气污染指数没破过百。来了长春直奔985！  还有就是这里的饭菜真他妈的咸，我刚来的时候根本受不了，感觉自己渗透压都升高了。  学习方面，如果是师范类专业的话东师是不错的选择，很多师范类专业都是全国排名很靠前的。非师范专业我不推荐东师，大多比较一般。有不错的也是少数。
如何看待东北师范大学“关于公布校园网络使用管理策略的通知”定时关闭本科生宿舍楼宇网络？,没有任何反馈的机制，没有任何反抗的可能π_π
东北师范大学和首都师范大学哪个好？,东北师大毕竟211，首都师大有地理优势，看你以后打算在哪里发展了。南方比如广东福建对东北师大还是很认可的，每天罗湖区招很多人。
想考东北师范大学的编导研究生，求建议？,认真复习。 不要联系导师。
您好，我想咨询一下考东北师范大学视觉传达方向的研究生初试和复试都具体考些什么？设计史论一有参考书目么？, 谢邀！初试：政治+英语+设计史论+命题设计（手绘）              复试：专业命题设计+综合面试  参考书目目前不详  官网目前并未有公布参考书目 可以打院校电话询问 
如何评价韩庚来东北师范大学人文学院？,我觉得东师和人文撕逼主要还是因为大家太爱凑热闹了+想引起点注意+生活无聊精神无寄托+年轻不懂事。 作为一个不太关注娱乐圈的人，我只想说我自己都很忙所以我只想旁观不想亲身参与其中。
如何看待东北师范大学不装空调？,夏天被热醒 作为一个南方人 没空调……  原来我以为长春 夏天一定不会热 毕竟在东北 现在发现是大错特错 诶 不说了 这段时间还在军训…… 
东北师范大学专硕学费？有奖学金或者公费嘛？,专硕一般是10000—15000。有助学金和奖学金。
在东北师范大学本部校区就读是种什么样的体验？,长春近三年一直在修修修啊，你都开学了，才回答有点晚哈。夏天一样热，冬天确实冷。新到长春有些人可能有点看不明白红绿灯。本部常去逛的地方就是桂林路，吃的种类多且便宜，一般人来长春都觉得物价低，吃的巨便宜好吃的地方还不少(随意搜就有，在于尝试)，但是衣服莫名其妙地性价比低，喜欢音乐的话体育场和学校体育馆偶尔有大的演唱会，桂林路有“光阴咖啡”，体育场里有“音浪酒吧”。红旗街和重庆路更繁华一点，有钱人会逛卓展(我没进去过 )长春的生活也没什么特别，看你怎么过呗~啊，还有文昌路，看着比较破，吃的多。学校超市水果贵且不新鲜，文昌路的水果要新鲜且便宜点~
在东北师范大学附属中学读书是怎样一种体验？,高二，理科，普通班。 我是吉大附中毕业的，所以来师大的第一感受就是，好自由啊，好活泼啊，好多活动啊，老师们都好和蔼啊，青华校区好漂亮啊，同学们都好有钱啊，进前三百怎么就这么难啊， 师大在吉林省应该算是首屈一指的名牌高中，虽然进几年吉大高中部进势颇猛，但跟师大六十多年的老牌子一比，还是差那么一节。首先，师大的生源强大，进了师大相当于有了个很强大的交际网络，吉林省的初中生基本是以考师大为终极目标，一个年级1400多人，有两百多竞赛生，基本都是清华北大的预备役，一个个都特聪明还特努力，高考生们也大多是通过正常渠道录用的，属于长春市前2000的学生。我是在普通班，但同学们的素质都很好，家境优渥，为人和善，也有家里特有钱然后还特显摆的，不过那人平时不上学。而且，师大美女超多，我们班就是年级有名的颜值班，要是想找长得丑的，得挑一会。可以肯定的是，你在师大既可以遇到超强学霸，还可以遇到富二代权二代，小美女大帅哥，考虑得长远些，作为同学，以后这些人是会在一些方面帮助你的。 二，老师教学水平高，基本都是东师大毕业的，有一些是北师大毕业的，相当负责任，相当温柔，不会的部分一定会悉心的教会你，也从来没有歧视差生优待好学生的现象，都是一视同仁，谈恋爱了也不会强行制止，在他们眼中，学生有点小心思是正常的。 三，教学环境好，教室大，桌子好，青华校区的教学楼相当好看，内部像万达广场一样的开放式，一楼抬头就能看见五楼，下课了大家倚着栏杆要不然看楼上的同学们要不然看楼下的学弟们，棚顶是玻璃天窗，早上和下午都相当好看，阳光撒进来很舒服。地下有乒乓球场和羽毛球场，外面有篮球场，校区不大，但五脏齐全。 四，周边便利，地处桂林路商圈，基本是想吃啥就有啥，用啥买啥，不远就是红旗街商圈。 五，活动多，师大活动多是出名的，你进了社团，基本每周都要聚会一次，还有各种活动，尤其是蜚声和礼仪司，我看啥事都有他们，想认真学习，建议不要进社团。不进社团，还有运动会英语节生物节校庆(我们校庆放假哦！当然必须是5，0结尾的年数才行） 五，名头大，师大的校服穿出去倍有面子，家长唠嗑都有底气。 综上，分够的前提下，自制力强的进师大，弱的去吉大，但是吉大是抖s校，去吉大意志力也要强。在师大的学生，无论学习成绩是否优秀，他们都真的喜欢师大，每天生活的很快乐。
东北师范大学本部住宿条件？,不要赞了，我暂时还不想更新！ 多图预警，流量党慎重！（盗图可耻！盗图可耻！盗图可耻！(｡•ˇ‸ˇ•｡)Ծ‸ Ծ ）     我是本部，三舍女寝，（走的时候学校又修了个新三舍）     寝室六个人，有的寝室有阳台，上床下桌，每个桌子配有插座，附上局部图！每个人都有衣柜，凳子会定期维修     寝室就是睡觉的地方，寝室的隔音效果超级好，双成玻璃，中间隔缝隙（才去的时候我觉得很神奇，晚上外面在下暴雨，里面一点都不知道）（突然想到如果有火灾不用担心，从最高层跑下来，就3分钟，我们消防火灾演习的时候测的，哈哈，好认真呀！）     有洗漱间，热水需要刷卡，每天有规定的热水量，我觉得够，还每天用来洗衣服，不过有时间限制，具体忘了，也有洗衣机，我的寝室没有阳台，衣服必须挂在中间的晾衣杆上，为了不滴水，最好是脱水，冬天的时候洗衣服很方便，寝室隔音，也不用担心吵到他人     再来说开水，有专门的开水房，每天有规定的量，超出后按多少算，我忘了，重来没超过，够用，我特别喜欢这一点，东师到那里都可以接开水，学院，图书馆，食堂，宿舍都可以。     到学校最重要的是学习，宿舍有自习室，好像是单层数的有自习室，每天都有勤工俭学的同学打扫，很干净，其实也可以在开水房学习，里面有阳台       东西都是越来越多，不是刚需，就不要买了，﹋o﹋，后悔……       自习室阳台一角       装修前的北苑食堂一楼，这些人没有在吃饭，要么在做家教，要么在学习，靠窗的位置全是书，太过分了，不让人好好吃饭！！其他楼层好点，不过也有人在那里学习，学校的伙食可以，我不挑食^_^，我哥哥都说好吃，不过我不喜欢吃又咸又甜的，表示现在都不理解东北人，长春的杂酱面，不是重庆的杂酱面，慎点   张亮麻辣烫，想吃！           还是不要在寝室学习，去图书馆吧！      长春有多冷，看我的羽绒服！我怕滑，被雪支配的恐惧！也不喜欢暖气，感觉室内没有空气，闷得要死，上公开课后，每个人的脸都是红通通的（要么是缺氧，要么是二氧化碳吸收过多）！  又来更新了，突然想起东师也有露天晒被和晾衣服的地方，不过，我要提醒的是，千万不要在外面晒军训服，其他宿舍我不知道，但是六七舍，有人在外面晒被偷了！军训服除了训练，上理论课还要用！  有人私信我关于澡堂的问题，刚开始，我不喜欢，东师的澡堂是没有隔墙的，超级不喜欢，不过经过熏陶，变好了很多，在重庆的时候从来没有用过搓澡巾，哈哈，挺好用的！冬天的时候，不用带外套，只需要带里面换洗衣服即可  冬天我有三件羽绒服，一年洗一次，在室外的时候穿上，在室内的时候脱掉！大一的时候国庆节去重庆路买的，打折货，根据我的经验，一定要买好看合身的，建议长款，男女都是！    图书馆前面不知道在做什么！    传说中的暖气片，这是开水间一角，挺干净的     雪被踩了之后，又硬又滑，还脏！    图书馆防止占桌的通知，没位置不要紧，找一个有书没人的地，把老师叫过来，计时，规定时间内没回来，老师会把书收走，位置就是你的了！    作为资助对象，学校中秋发的五仁月饼，有清真的哦，超级好吃！  翻了一下照片，翻到哪，说到哪，没有什么逻辑！请见谅！  第一次去长春，如果提前报到，学校校车没有在火车站，就去坐公交，千万不要在火车站前面坐出租车，好坑，公交车到东北师范大学的站台有自由大路，文昌路，东北师范大学。东北师范大学这个站台有两个，本部和净月，一定要看清方向，离净月潭近的就是净月。文昌路要走得远一点，不过可以问路，有很多饭店，可以先吃个饭再去，吃饭有点贵，我只在清真的店吃过。文昌路左边是吉林大学，右边是东师！  报到的时候，有绿色通道，可以特供免费的洗漱用具，但是你不说，没有人会跟你说，说了也不一定给你，名额有限，得给导员说明情况，导员会看情况，像我，贷款上学，又是坐了两天两夜的火车，家里有三个人上学，导员把该给我的都给了，还包括被子，被褥。走不了绿色通道，也可以自己买，在学校买被子被褥，我不建议，学校有免费师范生读研，他们回来就是用的那些被子被褥（有同学亲眼所见）！  再来说一个，才开学，学姐学长们会把书卖新生，虽然大部分都是好的，但也有坑人的，不要盲目买书，先了解要上什么课，需要什么资料，去超级大课程上面看看，学姐学长们的课程，建议加新生群，多了解，我们去的时候被坑了，卖得贵，就算了，都没有用！  第三次来更新，看到有人说东师本部保守，里面的美女，都是走古典保守路线！哈哈，东师艺术类的大部分专业在净月呀，比较洋气，而本部学习氛围超级好！东师985没申上，据说就是社团活动不行，只要你想参加，还是有很多有意思的，我没有参加什么社团，在就业中心带了两年，当过记者，采访校长，和校友（毕业10几年了，学姐学长们好优秀），最后成为就业形象大使（就是服务招聘方和毕业生的，超喜欢），各种支教团，没参加过其他的，比赛的话，辩论赛，摄影大赛，教师技能大赛，翻译大赛，粉笔字比赛，没了！每个学院都有自己的活动，外院就有很多！我在校平时喜欢看人民网新华网，参加了一些活动，我以为是假的，就玩玩，想不到，真的有奖品！其他的话，玩过轮滑，失败了，学吉他，刚入门，笛子，还可以吹简单的！（我适合看书背书吧）！对了，有段时间，超级喜欢打乒乓球和羽毛球，还认识了好多朋友，有一个外国人也跟我们一起玩，乒乓球好菜，我也菜，哈哈，说一下北苑的乒乓室和体育馆，乒乓室星期六星期天有固定开放时间，不要问我，忘了，体育馆，需要刷卡进去，要带双鞋子换，不然不让进，特别是冬天的时候！  长春农博会和伪满皇宫，一定要去看！  有人说社团，或学生会勾心斗角，看不惯，看不惯可以退出呀，其实，没有必要去在意，做好自己就好，群众的眼睛都是雪亮的，你自己没有能力就不要找借口了，这就是社会，这就是竞争，你适应不了，out吧！  学校社团确实没有隔壁兄弟学校吉大（吉林大学）多，可以去参加他们的社团呀，哈哈，脸皮厚点，没事！有一个玩魔方的社团，还有象棋，超级喜欢！吉林大学的帅哥挺多，环境又好，图书馆和伙食也可以，他们学校的活动中心周天会有电影放，很便宜，还有其他的活动，我去看过相声老师们的表演，超级好，图找不到了！﹋o﹋！（对，我脸皮厚！）  最精彩的是什么，东北虎呀，超级厉害！没有图，下面是在微博上下的      看的最后一场比赛好精彩，双方好强，你追我赶，双方每进一个球，我都好激动，有一次，我都跳起来了，想哭，据说有一个东北虎进CBA了！对方圈粉呀，才打完，就有妹子表白，公开要微信，佩服哈（哪里保守呀，哈哈）！  不要说本部保守，自己宅，就不要找借口说东师保守！你到大学就是学习。学习氛围浓厚，却被你说成保守，我也是第一次见！  多图预警   荷花                                     雪景  图书馆小白，每天心情都超好  图书馆前面人工喷泉，有坚持一个月吗？  美美的！  本部有好小，从一端到一端，六舍到外院，女生，跑步，10分钟上课要迟到了，刚好赶上！真的小！  多图预警，盗图可耻！               必须上一张图    为什么留这张照片，劳动人民最光荣！辛苦啦！  有人私信我，关于农博会，看图说话！（部分图）        超大的瓜   全是各种豆子做的！   我说这是姜，你信吗？   各种水果，真的哦！          各种球   豆子和玉米做的牛                        水稻长的好！     玉米，杠杠的    学神镇楼！    为什么我会回答这个问题！呀，我明明是要查中国共产党的资料，居然推荐的话题里有东北师范大学，这不科学呀！！ 跟着党走，有肉吃！     看到这儿了，留个赞呗！   你们再不赞我，光赞光评论，我可生气了啊……（知乎首答就出现 评论的赞 比 回答的赞 还要多的尴尬局面，我不开心了。）   
在东北师范大学读统计学是一种什么样的体验？,，东师师范类大学全国第三，数学系就业前景好，反正就是东师数学系挂科率高，
如何看待盲人考生考上东北师范大学，校方要求其在外住宿，家长陪读?,  这件事目前来看是双输。   1、东北师大想要解决问题，但不得要领，骑虎难下，花钱不少却仍被冠以冷漠之名。  2、王同学及其家人主张权利，被视为贪婪。未来几年，王同学在学校里处境会非常尴尬。  3、现在唯一的获利者是媒体，他们又一次成功的挑动了对立，塑造完冷漠的学校又塑造了贪婪的众生相，双杀，高潮停不下来，这简直是媒体的狂欢，是咪蒙般的经典案例！  我就想问问，这件事里，最应该发言的， 中国残疾人联合会 ，去哪儿了？（不用@了，残联没来知乎。）  《残疾人教育条例》  第六条   中国残疾人联合会及其地方组织 应当积极促进和开展残疾人教育工作， 协助相关部门实施残疾人教育 ， 为残疾人接受教育提供支持和帮助。   东师不知道怎么做，王同学要维受教育权，都可以找残联。这是法定的残联的责任。但他们都没去找。因为残联存在感太低了。  我们先不说残联，先说说事情本身。     这件事情里，王同学的要求有合理之处，首先他的受教育权利是受《中华人民共和国残疾人保障法》、《中华人民共和国残疾人教育条例》所保护的，法规和条例都规定了，高等教育部门需要为他受教育提供便利。  教育部、中国残联关于印发《残疾人参加普通高等学校招生全国统一考试管理规定》的通知也明确了，他参加各类考试有权利获取盲文考卷，安排盲文考场。  至于居住， 《 无障碍环境建设条例 》 也规定：   第十一条 　对城镇已建成的不符合无障碍设施工程建设标准的道路、公共建筑、公共交通设施、居住建筑、居住区，县级以上人民政府应当制定无障碍设施改造计划并组织实施。 　　无障碍设施改造由所有权人或者管理人负责。  第十二条 　县级以上人民政府应当优先推进下列机构、场所的无障碍设施改造： 　　（一）特殊教育、康复、社会福利等机构； 　　（二）国家机关的公共服务场所； 　　（三） 文化 、体育、医疗卫生等单位的公共服务场所； 　　（四）交通运输、金融、邮政、商业、旅游等公共服务场所。  作为高校，东师有义务改造自己的校舍，使之符合包括盲人在内的残疾人使用。这是法律规定的，并不是王同学自己要求的。  目前网上流传的王同学的要求里，缺乏法律支持的地方有：  1、提供导盲犬。我的理解，导盲犬属于工作犬，应归于助残类，助残设施的捐赠属于康复环节，而负责康复工作的是当地卫计委、残联和红十字会，高校并没有义务提供助残工具。  2、为父母解决工作问题以便于照顾王同学。我并不清楚这一点是不是王同学及家人提出来的。残疾人相关法律里只说了要为残疾人受教育“提供便利”，这个便利到什么程度没有明确描述。但是在《残疾人教育条例》总则里面有这样的描述：   第八条 　残疾人家庭应当帮助残疾人接受教育。 残疾儿童、少年的父母或者其他监护人应当尊重和保障残疾儿童、少年接受教育的权利，积极开展家庭教育，使残疾儿童、少年及时接受康复训练和教育，并协助、参与有关教育机构的教育教学活动，为残疾儿童、少年接受教育提供支持。  同时，在《残疾人保障法》总则第九条也说了  残疾人的亲属、监护人应当鼓励和帮助残疾人增强自立能力  这两条我的理解是，即便法规要求了高校提供便利，家庭也不能完全把照顾残疾人的职责抛给学校。     总之，在残疾人维权这件事上，王同学有提出要求的权利，至于这个要求能不能满足，是双方协商决定的。所以王同学哪怕是要金山银山也不违法。（他可以要，你可以不给，两边协商，协商不成找残联调解，调解不成诉诸法律。）  而东师作为国家公立高校，并没有按照《残疾人保障法》《残疾人教育条例》和《无障碍环境建设条例》的要求改造设施，错误明确。      但是，因此我们就可以吊打东师吗？   东师无障碍做的不好，西师呢？清北呢？交大呢？这次是东师撞到枪口上了，其他的学校肯定惊出一身冷汗，因为就我多年观察所见，中国基本没有符合上述三个残疾人保障法规的高校。  这是学校的责任吗？是，也不是。  因为不只是学校，就连很多医院的无障碍设施做的也不合格。整个中国社会，残疾人被禁锢在一个又一个圈子里，四处碰壁。  我们有八千万残疾人啊，党员人数也就八千万。如此庞大的群体，街上20个人里最少一个残疾人，可站在大街上你们能看到多少？  东北师范大学的简介上写了，目前在校学生两万五千人。按20比1的比例算，应该有一千多残疾学生，考虑到残疾群体受教育困境，残疾学生入取率是健康学生十分之一的话，也应该有一百多名残疾学生。可看楼上几位东师的同志发言，都只提到2011级一位残疾同学。我可不可以认为，东师过去几年只有这一位残疾同学？那么残疾人入学的难度是健全人的多少倍？两万五千分之一的学生，是两万五千倍吗？  那么清北呢？复交呢？别说211985了，连大专高职算上，残疾学生的比例有多少？与健全学生相比，非智力类残疾学生考取普通大学的难度不是十倍二十倍，而是一百倍一千倍。  所以这才有了东师的手忙脚乱，他们想做好这件事，但真的缺乏经验。因为太意外了，一个盲人学生竟然考进来了？！      残疾人需要维权，最该帮他们维权的残联，一直缺席。   这几天全国环保闹得沸沸扬扬。环保法规早已健全，只是没人认真执行。现在环保部硬起来了，比二十年前抓计划生育还狠。  残疾人权益保障也一样。各种法规都有，可是残联一直缺席。  《残疾人保障法》里明确规定：   中国残疾人联合会 及其地方组织，代表残疾人的共同利益， 维护残疾人的合法权益 ，团结教育残疾人，为残疾人服务。  去年有视障人士因为无法使用12306验证码而起诉国家铁路总局。后来被驳回了。事件中残联缺席。  今年有个考生申请盲文英语四六级试卷未果，起诉教育部。后教育部加急准备了四六级盲文考卷。事件中残联缺席。  今年还有个福建的残疾小伙子，有教师证，有多年从教经验，参加县里公办教师考试，得了第一名，但被县教育局拒录。这次福建省残联发了封公函，希望能本着人道主义精神接纳这位老师，但县教育局并未回应。最后还是福建省教育厅直接干预，责成县教育局改正，才让这位小伙子被录用。  我见到的残疾人维权事件很多。但大都是残疾人自己去战斗，裹挟着民意，期待对方良心发现。  而残联，几乎总是缺席。  但这些维权事件，不是什么“人道主义”，都是违法违规的，劳动法，残疾人保障法，残疾人教育条例，无障碍建筑条例，这些都被违法了，这些法规条例制定的时候都是各个部门会同残联一起制定，国家主席签字颁布的，现在自己定的法规条例都不敢拿出来去告，只能哀求别人“发扬人道主义精神”，那还要法律干嘛？？？  任何一个人，去挑战一个行业，一项社会规则，都无异于挑战一头巨龙，更何况一个残疾人。而残联的缺席，更让这些残疾挑战者形单影只，可悲可怜。     东师缺乏残疾学生接纳预案，缺少残疾学生宿舍，这是东师的错，也是当地残联的错。东师肯定有几条无障碍坡道，而且还有最低比例的残疾职工，而残联也肯定考察过东师的残疾人工作，残联认为这足够了。所以，东师的助残工作就止步于那几条坡道了。  东师缺乏相关预案的原因是残疾学生稀少，这反映了全国范围残疾人教育资源匮乏，受教育权利被侵害。这是教育部的锅吗，也是残联的锅。  所以，这件事里，最应该出面却缺席的，是残联。  我知道这事跟  @共青团中央  关系不大，但王同学没入党的话，应该是个团员，所以也不算外人。你们能不能帮忙叫一下中国残疾人联合总会，让他们也来知乎开个账户？你也知道，知乎上就你官最大，我们实在是找不到别人了。帮个忙。残疾人维权，得有个主心骨。不能总让我们自己推着轮椅拎着导盲杖去战斗，那不成了相声了？ 
东北师范大学中外合作办学和本部在一个校区吗？,合作办学都在净月校区
东北师范大学的非师范专业如何？,不建议来东北师大的非师范专业，40%以上的非师范生就业选择了当老师，大概还有20、30%考研或者读研了。而且非师范生当老师不如师范生有优势，东师的非师范生发展真的不行，我曾在就业待过一年，来东师招聘的80、90%都是各个中小学，非师就业东师平台真的不行。
东北师范大学漂亮女生真的多么（艺术专业除外）？,你都呆了4年了，我这外省外校的一脸茫然。
怎样在东北师范大学官网上查我的还书日期？,读者证号和密码都是你的学号。输入就可以进去看你的借阅信息了。
东北师范大学考研？, 专业课复习套路应该都一样，先找好参考书，学长或学姐，按部就班学呗 
对外汉语专业想考研，汉语国际教育专硕，吉大和东北师范大学哪个好？,为什么不来南方呢？接触很多的世界
请问东北师范大学和辽宁大学如何选择？,我研究生在东北师范大学读的。非师范类，现在在深圳工作。毕竟是师范院校，近几年，学校发展定调为建设世界一流师范大学。走北师大和华东师大不一样的路子。东北城市，哈尔滨沈阳更有特点，长春相对秀气一些。因此，推荐报考哈工大。一步到位。
东北师范大学宿舍是怎样的？,本部的校舍呢，新三舍是最新最好的，六人间，上床下桌，没有独立卫浴没有空调没有阳台…… 新三舍C的部分寝室（朝向北的）现在有一个阳台
东北师范大学教育学跨考考研专业怎么选择 哪个专业比较好考？,东北师大的教育学分为学术和专硕。专硕的话有小学教育、心理健康教育和学前教育这三个专业，专硕考英语2，相对比学术简单，但不清楚同学是否对这三个专业感兴趣。那么学术的话，有教原、课程与教学论、教育史、比较教育学、学前教育学、农村教育、教师教育、教育统计这些教育学专业，其中教原、学前和教育统计不要跨专业，接下来，课程和比较比较热门，相对，教育史、农村、教师教育简单些，但还是一样的卷子，分数差不到哪去，所以希望还是认真准备，有资本去挑喜欢的专业。 东北师大教育学学术也不算难，有不懂的再问。
东北师范大学宿舍条件怎样？,六人间，小高层，心理的在16层。条件很好。
东北师范大学心理学专硕参考书目是哪些？, 书单还是挺多的，按照347走的哦~我来发一个详细的给你     这么多！！加油哦~ 
有没有考上东北师范大学学科教学（物理）研究生的学长学姐？,我是
东北师范大学和云南滇池学院那个更好？,东师去不了
跨专业考取东北师范大学历史研究生的可行性？,首先肯定 可行！ 我是跨专业考取东师思政专业研究生的，所以一切皆有可能！ 因为跨专业，更得把书多看几遍。另外，每年十一前后，自由大路校本部档案馆都会出售历年真题，一定买上！ 还要经常联系在读的师兄师姐。 因为跨专业，复试时候会有加试，就是额外再考一本书。  最后祝你成功。如果有需要可以联系我，我也算是东师的师姐了。
想要考东北师大的小学教育的研究生，怎么样才能通过专业课呢？ 求师兄师姐帮忙。PS本人华南师范大学小教,对于文科类考试我只想说一个字，背！
有2015考东北师范大学的英语语言学研究生的吗？有学长学姐可以给些指导吗？,专业课方面应该是一本杨忠的《语言学概论》，还有一本胡壮麟的《语言学教程》。卷子分3部分，前2部分是杨忠那本书里的，后一部分是胡壮麟书里的，大概是一些语言派系的填空题和名词解释。再就是一些英美概况的题。东北师大的语言学考试，去买它历年真题就行每年的内容都差不多。这是我2012年的经验，不知道现在是什么情况。
在东北师范大学读书是怎样的一种体验？,阴盛阳衰
美术考研今年大三希望知乎的朋友帮忙给我介绍 我目前打算考东北师范大学研究生 这个学校美术专业怎样呢？,谢邀，抱歉。不太了解东北师大
东北师范大学会计硕士复试？,去东师商学院网站找 有详细的 今年考了五门 财管 审计 中财 基础会计 管理会计
东北师范大学研究生好考吗？,师大地理学院本科毕业生一枚 东师的地理还是比较好考的~欢迎来我东师地科学院
