今年北京师范大学珠海分校的分数线会很高吗？,广东531分
北京师范大学大三了，想去美国读研并从教育技术专业转计算机专业容易吗？,实名反对上面说不难的，北师大教育技术本科生计算机相关训练可能确实优于其他院校，但是你要明白的是计算机专业这四年学了什么，教育技术四年学了什么，以及读硕之后SC方向研究的你能不能拿下来。SC不仅仅是网页前后端设计，不是社会上培训半年就能出来的那种。 目前来看困难很多，算法，语言，数学基础，教育技术专业本身是一个信息技术（原来仅指计算机或是电化设备）和教育的交叉学科，正常来说这个学科应该是作为研究生或博士阶段教育学的一个方向，但是现在很多院校本科专业都开设了（现在又有院校将这个专业变成了传媒与编导方向（没错，安阳师范学院，说的就是你）），学生两头都没学扎实，贸贸然毕业进入社会，肯定会觉得没有出路。 一般都是SC专业转教育技术……
想学基础数学 但是能考上的只有北京师范大学 是否建议？复读建议吗？,北师大数学系算是不错的  想做数学研究和智商没有太大关系，主要还是勤奋和努力（以及真爱）。当然你想成为一个很牛逼的数学家，那可能真需要智商上的一点帮助。
首都师范大学是全北京宿舍条件最差的宿舍吗？,差一点就去了 据说很差 不过中青院也很差的貌似
北京师范大学珠海分校就业怎么样？,哪有楼上这么说话的！ 我家庭不富裕在那里完成了四年学业，三年毕业时间工资从5K到年薪20w。所以不要说什么烂学校之类的。。。。呵呵
北京联合大学师范出来找工作容易么？,一个已经工作了的学姐说过：你全部的努力不过是跟人家首师、北师拼个校名，还不一定能拼的过人家。  但是如果你足够优秀的话你走到哪里都会发光的，就算是专科，只要把握住眼前的机会也一定可以的。加油吧～
如何客观看待北京师范大学？,无力吐槽了，知乎君折叠了我的答案，有什么敏感词吗？你们也over political correct了  首先，北师大不是纯粹的师范类院校，而是综合类大学，除了军事专业每种大类专业都有，师范生所占比例小。如果你觉得北师大出来就是当老师，那是因为你不了解在各行各业的校友，北师大出来做什么行业的都有好嘛。另外，如果就像某个答主说的，觉得是师范大学出来就只能当老师还看不起师范，我只想说我更看不起你，现在都是市场化就业，除了师范生是定向，大部分人都是自由就业，当老师也是双向选择，如果没有对一个学校有过较深入的了解，就别随便下定论。       回到正题，我在北师大读了两年书了，北师大给我最大的感受就像我们的校园标志—木铎一样，正直质朴，学风纯正。北师大的学生朴实，有热情，很努力，我在校两年，参加了一些学生活动，无论是国内外名家讲座，还是学生兴趣活动，气氛都很温馨，很多学生很有想法，我们有一个就业社团的学长很有个性，经常为了学生就业的利益和扩宽就业资源向学校争取支持，有这种人的存在，我觉得就是一种荣幸和激励。我们学校的学生组织非常活跃，各种活动搞得有声有色，人文励志的，理科学术的，热点社会问题探讨的，只要你感兴趣，你都能参与获得启发，一些学生组织表现突出，诸如北国剧社和北师青年报社等等。学校以基础人文和理学学科见长，这些学科需要能坐冷板凳，沉下心来研究，这使得相当多的学生都带有专业特质，比较内敛严谨，但是才华横溢，现在北师大的工科和经管法专业发展的也有声有色，没记错的话，经管学院应该在天朝排名十名左右，发展很快，法学院有个刑事法律科学研究院，搞研究还是挺活跃的，国际化水平提升得快，它的历史和人大有一定渊源。北师大里这些经管法专业的学生特色和我校传统优势专业学生有些不同，更加务实，活跃，更有开拓的意识，这些专业具体发展情况可以自己去官方网站了解，当然这种非基础类专业和实用性专业发展水平和某些学校比如清华和人大北大相比还有差距，但是董校长和其他校领导都很重视学科综合发展，假以时日，北师大的发展值得期待。      当然，北师大也有自己薄弱的一面。就我个人经历而言，感受最深的是北师大主管学生工作的部门很红，培养学生一板一眼的态度和高度的使命感。当然，这有历史的原因，整个北师大因为某些行为受到压力，从侧面来说，老师管ideology严也存在保护冲动学生的考虑，严归严，学校的学术发展依然开花结果，如果没记错的话，北师大全球顶级学科应该是有十一门学科入围，这真的是中国高校中突出的成绩了，给母校点赞。      我以自己是北师大的学生而自豪，母校就像母亲，你选择了她，她选择了你，便一生纠缠，母校是所优秀的大学，让我成长，让我开拓眼界，当然也让我们吐槽，一些学校住宿条件不好的吐槽在北师大很常见，具体就不说了，不过该变化的还是会改变，现在昌平新校区动土，学校校舍也在变，对董校长有信心，学弟学妹们再忍忍吧。      对了，我校的主页改版了，比以前有了很大的进步，基本信息开放程度还是挺全的，没那么高大上，但是很清新！欢迎大家登陆www.bnu.edu.cn，一览木铎风采，校园动态和京师之韵！      北师大，你是我青春浓墨重彩的一笔！
北京师范大学的教育学专业毕业流向是那些？,就我所知，研究生的话，会凭借本科专业找教师的工作，比如本科历史，就当历史老师。读完博士后，应该可以留校了吧。想就业，就别非要读教育，考虑其他专业。最近生物就业不是也被很多人吐槽是坑么。本科教育学就业的话，我不知道该怎么就业。
本人今年九月工作刚满三年，想在职读研，请问北京师范大学2017在职研究生考试招生简章什么时候出来？,你好，我也想考2017年的教育学在职。也是不知道还有没有。
爱加壹国际教育的魏琛琛老师，是北京师范大学的教育学博士吗？,魏琛琛，博士，毕业于北京师范大学教育学部，爱加壹国际教育创始人、爱加壹国际教育研究院院长。青少年能力教育导师，爱加壹“引爆学习力”首席讲师。
考北京师范大学的学科教学（化学）需要准备哪些科目？有每年的真题可以买吗？招生比例大不大？,招生比例较小，真题有卖的。具体可以去我的分答提问，有权威解答哦。分答ID：科教小欣
北京师范大学有哪些好老师？,中文狗要来怒秀一发了------------华丽分割----------------  首先必然是我宇宙第一文院的掌门过宝宝（≧∇≦） 然后当然是著东谢琰皆为真爱的孟夫子！！( ´ ▽ ` )ﾉ 可帅 可萌 可傲娇 李山你以为我会忘了他吗！山爷，妥妥的启功弟子，上课神有趣，作业嘛真的不多毕竟只有七篇读书报告两篇论文加起来也就两三万字是吧（冷漠脸（大写的sigh 然而山爷真的还是很胖萌 虽然早课会困die但他的课有意思到你会笑醒（一开始各种专业名词听不懂的懵逼不是我对才不是我 对于15号的考试 我的内心旁白 如上（捂脸 康公也是一个行走的大写的帅 人气爆棚到过道上摆椅子   无图无真相 拍照技术略渣…  下课找康震拍照签名的…从开学到期末周周都有 上图康公原话 然而真相是我的智商侮辱了试卷-_-# 明天考高数我居然如此认真地答题 挂出留堂哥哥祭一祭 点个赞呗(￣▽￣)微积分求不挂的girl需要大写的安慰 sigh
怎么看待北师珠被北京师范大学收为分校后官微在庆贺的推文结尾提及了对邻校的调侃？,                     1:利益相关，北师珠大二升大三在读  1.5:以上是我们学科两个班的班群， 部分言论具有参考价值，但不确定真实性，为了明辨是非，我将在下面将已确定事实列举出来，可能会有疏漏，有疑问可以在评论区里面提问，我会一件件尽我所能解释。   但禁止不友好态度与无脑喷，我会回答有志愿于查清事实真相的朋友，反之则会举报删除。    2:目前可以确认的是， 微北师并非我们的官微 ，针对这个公号的许多侮辱别校，尤其是北理的言论，我们的官微已经对此作出 反对立场 的回应。事实上我们也感觉到很诡异甚至想骂脏话——这样的事件里面最出名的反而是一个平时我们都较为反感的公号  2.5:图片上面也已经表示了，曾经的一些北师内部的事件被其夸大化，导致这个公号其实在相当一部分人的认知中是较差的， 但更多的人在今天之前，并不知道这个公众号   3:微北师的管理人员不明，有人对此人身份抱有怀疑， 因无证据，不好轻易下判断，也请大家不要随意猜测。   但是依然可以进行一定的动机推测：无论是哪个人，疑惑是否是本校还是外校的，都不会有如此不合理的思考方式对他人进行交流。如此反逻辑的情绪化，作为一个称呼上具有误导性的公众号，是很容易让人误解是北师本身乃至于全体学生的意思，最终导致对北师口诛笔伐——一个微信的管理人员不可能不清楚。反而更有可能是知道后果，却仍然要这么做。  结合之前此公号的一些其他针对我校部分事件的言论，其意向已经十分明显。  4:微北师的言论让许多不明原因的朋友对北师珠进行攻击，今天微博上多是冷嘲热讽，此微信在其中多有“出力”。甚至我们在此辟谣也有可能会被人怀疑是自我洗白。从而给予更多的攻击。我无法自证绝对清白，因为如果不停止怀疑，那么这个东西根本没有尽头。  但如果您愿意对此抱有一丝尝试般地相信，并且好奇真相，接着询问的话，我也将尽我能力范围内给予您回答，谢谢您。
北京师范大学是否完爆清华北大？,题主还是图样，我们从所培养国家主席在位时长的角度来计算一下： 北大：0 清华：目前~13年 上海交通大学：+∞年Θ..Θ 所以上海交大才是完爆中国所有大学
在北京四中和北京师范大学附属实验中学中选择哪个？,我在大实验六年 请你好好看一看实验 再告诉我你要选择名声在外的四中 还是我们实验。    【这是我毕业那年一位学长写的，西单往事】    前几天看到这么一句戏说：再不好好学习将来去隔壁。这是我高中最熟悉的话之一了。我的母校，北师大实验中学，挤在北京西单的风水宝地。在西单，我度过了年少轻狂的3年，其中的轶事，数不胜数，若是不找机会记载一番，着实可惜了。   校园的北面，是二龙路中学，它就是我们老师口中的隔壁。二龙路中学的校史我一点儿也不了解，不过想来他们也没什么历史——二龙路初中优秀的毕业生推优进了我们高中，成了我的高中同学。后来他高中毕业去了吉林大学。他将来一定能干出一番事业，不过现在和我一样，还是没有发光的金子。但是二龙路中学将他列为了优秀校友，将他的大头照和生平挂了起来，成了学弟学妹们的表率。   不过我们实验也没资格嘲笑他们。我们是近百年的老校，90周年时评了90位杰出校友，用李银河的话说，就是“这90人不是大官的女儿，就是本人是大官。我是一个例外，因为我的爸爸官不够大，我本人也官不够大。我跟校友说：她们是公爵、侯爵、伯爵、子爵、男爵，我是勋爵。”连文革时打死老校长卞仲耘的嫌疑犯，“宋要武”宋彬彬都榜上有名，一时间让校方处于媒体的风口浪尖。   评出来的大多是官，和学校早期专门接收领导人的女儿是分不开的。好在今昔不可同日而语，将来能否出几个真正杰出的人才呢？我对此极其乐观。不过这些未来的英才们，在上学时，可不敢招惹隔壁二龙路的大抗们。差生总是勇猛凶恶，好学生在课堂上威风，下了课见了这些“差生爷”，还得点头哈腰，不住的说“大哥我错了”。二龙路中学的，初二就敢劫我们初三，高二就敢打我们高三。不过好在西城区公安分局也在鄙校隔壁，听说被劫的学生后来报了警，把钱要回来了——所以世界终究还是属于好学生的。   协和医院毗邻着二龙路中学，因此实验的学生看个病确实容易。有一次我打球，脸上磕破了挂了彩，去协和整形科缝了4针，没想到生平第一次做手术，竟然是“整形手术”。说是容易，对于从外地赶来在医院门口打地铺连夜排号的人，就一点也不容易了。早晨上学坐在车里，经常见到协和医院门口排起了长长的“床”。若不是协和门庭够大，能不能排到街对面我们这边还未可知呢。外地人在北京生活确实不容易。不要以为我们“贵族学校”的人不知人间疾苦，我们同学当中，就有没有北京户口而无奈选择出国的。前一段时间沸沸扬扬的“欲拿美国绿卡考北大”就是我的学弟，我们同届的我所知的也有一位，听说他最终去了普林斯顿，大家都很欣慰，也觉得实至名归。   学校有一个专门的国际部，教授托福、SAT等课程，出国的同学都单独去了这里，我们那年就有相当比例的学生选择出国了。国际部在相对独立的东小院。关于小院有一些动人的传说，譬如晚上夜深人静的时候，小院变成了男女幽会的场所……   小院的对面，是山水宾馆。山水宾馆的典故怎么来的，也没人能完完全全说清楚了。但在实验，“山水”便是风月的代名词。用“山水”造个句子：哎我操！你今儿怎么这么不济呀，都他妈投了几个三不沾了？你昨晚上没回家去山水了吧！山水始终活在实验人民的心中，但要说真去那住，我还真没听说过。可怜的山水宾馆，招牌这么响，却只活在我们的荤段子中。上次回母校，发现山水旁边又开了个如家，这回生意更难做了！   山水和如家中间，夹着大名鼎鼎的大悦城。大悦城是北京人民的大悦，更是我们实验中学的大悦。对于大悦城，我们就觉得是自家后院一样，让实验的学子闭着眼睛从大悦10层走出来，可能十有八九都能做到。但大悦一般都是我们周末的去处，平常住宿的学生或是高二高三选择上晚自习的，不会老往那跑。学校及周围吃饭的去处很多，除了两个食堂，牛肉包子、双夹、成都大饭店（成都小吃）都是学生的最爱。我高二住宿，高三在西单租了一年房，高一得早晚上下学。那时晚上打完球饿了，总是和最铁的哥们一起吃双夹，吃成都大饭店旁的烤串。那里的肉筋大叔，后来和我们成了熟人，经常买十串送五串，但后来回老家造孩子去了，就没再见过。   成都大饭店后面是一个胡同。吃着烤串，有时候胡同的大爷大妈会和我们闲聊。每次大爷都跟我们讲民国时候的风流韵事。如才女石评梅，似乎有一本书叫《象牙之塔》记叙的她，但我总是怀疑这是本不那么正紧的黄色小说，那位大爷青春期揽阅后历历不忘才和我们讲的。他还说过旁边35中的“枪杀石爽”事件，大概除了他们这些活历史，没人知道这些往事了吧。另一位女士，似乎是这位大爷的妻子，她说自己是真的老北京，民国时候上过教会学校。那些假的老北京，都是解放后拥进城的，比她年轻多了，却一副病怏怏的样子。大爷大妈的胡同，没有写“拆”字。但他们说政府一直想赶走他们。可能胡同要推平了盖大楼吧。   反正北京城已经面目全非了。王小波见过北京的城墙，说上面改成高速公路都完全没问题——宽敞啊。我是没有见过，都拆了。但我经常路过德胜门。现在北京德胜门那块有一个雄伟的城门样的建筑，许多人以为这就是德胜门。完全不是！那个只是德胜门旁的小箭楼而已，真正的德胜门，比这个高大太多了。于谦死守的德胜门什么样，我们只能通过这个箭楼想象了。   对于老北京的建筑，文化，我们在澄观堂里学了许多。澄观堂是吴荻老师的课堂。老师据说早年在后海说过评书，对北京的文化尤为喜爱与了解。他曾经讲过，我们北门对面的郑王府，在他的学生年代，还有瀑布这种景观呢。现在成了一个政府机构的驻扎地，弄得烂七八糟乌烟瘴气。   郑王府的旁边，也是二龙路的东面，是教育部的所在。我们传统的“成人冠礼”就是在这儿的举行的。那年我们的语文老师王遐之意气风发，带领诸位老师，用诗来祝福我们，叮咛我们。其中有这样的诗句： 是啊 亲爱的孩子 我无论如何都要为你祝福 祝福 你的憧憬，你的志愿 祝福 你的向往，你的喜欢 祝福 你的梦想，你的期盼 祝福 你的信心，你的誓言 祝福 你的未来，你的明天 祝福 你的南开，你的复旦 祝福 你的未名湖 你的清华园 祝福 你的再别康桥 你的大洋彼岸 祝福 你的海归计划 你的创造宣言 祝福 你的麻省理工学院 你的维多利亚港湾 祝福 你的普林斯顿早餐 你的格林威治时间   那时，我们真的以为自己是鲲鹏，能水击三天里，扶摇九万里；以为自己是凤凰，能桐花万里丹山路，雏凤清于老凤声。   忽然而已，我们已从高三到了大三。往事渐渐消散，所以想写下来不致忘怀。能够写下来的事情太多，于是先挑了隔壁们与母校这样的角度。   又不知道大家的雄心壮志，在这些年被打磨了多少。想一想从前的自己，愿能找回曾拥有的鸿鹄之志。不辜负那时的祝福，不辜负那段往事。(不行了看到山水和成都大饭店什么的太贴切感触太深这辈子都耗在了大西真想一辈子都在大西单)  实验就是实验 她不叫西城实验 感恩:)
北京师范大学住宿条件如何？,没有独立卫浴 有的6人一间 上下床 每间宿舍有一张桌子
如何评价北京师范大学学生宿舍迎来wife时代？,作为师大在读研究生，必须为母校体贴行为点赞！大家知道，北师大作为老牌师范大学，男女比例一直徘徊在3:7左右，长此以往形成了阴盛阳衰的弊病。主要问题有如下两点： 1.在读学生恋爱率难以提升，大多数女生难以找到男朋友，而当前恶劣的就业环境导致是大学生毕业后工资水平太低，进入社会后更加难以找到合适的配偶。 2.男生娘化现象严重，由于师大内部女权风头日盛（师大教学楼男女厕所比1:2），不少师大男生在女权高压下不得不娘化自己，以寻求生活空间。 以上两个问题严重阻碍了北师大建设世界一流大学的进程，解决如上两个问题，经校党委研究决定，由校心理咨询辅导室制定方案、校宿管中心牵头，开启了“跨入wife时代”运动。该运动的主要方针即为北师大在读本硕博男生每人配备一名wife，wife们从本校14000名适龄女生中择优选拔。选拔遵循公平公正公开的原则，两两配对，双宿双飞。对于配对不满意、不成功的男女同学，可在配对之日起一周内申请重新配对。 这一决策一出，即赢得了学校广大学生的强烈支持与欢迎，目前该项运动已基本完成了理论论证、前期调研阶段，在试点项目中也已取得了显著成效。根据试点情况，该项运动的预期可达到目标如下： 1.大幅提高师大学生的恋爱率，痴男怨女数量锐减，有力维护学校内部稳定。 2.师大高考招生男女比例将逐步趋向平衡。 3.在师大部分已弯了多年的男生纷纷公开表示“入柜”，迎合学校的贴心决策。  在学校的体贴关怀中，我本人也顺利进入了“wife时代”，结束了为期24年的无wife生涯，目前除了腰疼，没什么不良反应。  另有接近学校高层的内部人士透露，师大“走进wife时代”的二期工程“走进双飞wife时代”已进入理论论证阶段，目测2016年秋季学期可开始实行。另，师大隔壁北京邮电大学也已有启动“走进husband时代”活动的迹象。
北京师范大学有哪些学生喜欢吐槽的典故？,1.关于校名：北京正常大学，积水潭女子师专，北京施工大学，北京吃饭大学。（师大说名字太多我要静静(｡ŏ_ŏ)）  2.大南门的传说：开一次南门就会哔哔哔，所以我们的大南门一般都是安静的男子，每 天对着小南门哭诉伐开心要抱抱。￣へ￣ 3.师大校鸟与吉祥物：乌鸦。冬天地上车上一片白真的不是雪！一条路之隔的北邮满是喜鹊，著名的天使路和不被砸中就不完整的师大生涯（是的楼主已经完整了，别为我为 什么〒_〒） 4.师大周围那些小清新的地名：铁狮子坟，小西天，索家坟…… 5.著名的师大之问： 刚入师大 “同学你是哪里的呀？” “我是北师大的。^o^” “哦，那以后是要当老师吧？” “不是的，我们北师大除了师范类的专业balabalabala……” 一年后…… “同学你是哪里的呀？” “我是北师大的，是的以后就是出来当老师的，当老师真的挺好的balabalabala……” 已弃疗┐(´д｀)┌ 6.师大的沧桑在宿舍楼上体现得淋漓尽致，传说校庆老校友返校参观宿舍，纷纷表示“这条件和我当年的还是一样的呀哈哈哈哈”呵呵呵呵楼主住的这栋楼已经有61年的历史里呵呵呵呵，师大的住宿条件应该是被吐槽得最多的了，想当年楼主被录取后手贱查了一下，难过了一下午后悔了好久为啥要报北师大，比表白被拒了还要难过一百倍我发四！⁄(⁄ ⁄•⁄ω⁄•⁄ ⁄)⁄ 7.傲娇的蓝绿比，像楼主这样没有男生的专业不只一个哟，学化学专业的室友郑重其事的向楼主炫耀：“姜姜，我发现长时间不和男生交流，你们不仅所处的环境变态，恐怕心理也已经……”楼主当场就摔桌给她看了！为何要将真相赤裸裸的说出来，我感受到了成吨的伤害(╥╯﹏╰╥)ง 8.我只是觉得8这个数字比较对称就写下来了……
天津理科女585高一本分数线64分 在中国石油大学南京师范大学北京化工大学中哪个较为适合些呢 望推荐？,蟹药~~  1.你自己做功课了么？  2.不同学校的分数线不一样。所以很难回答~~  3.不需要其他证书，但是没准可以为你增加色彩~~所以自己去调查调查~~  —以上—
北京师范大学遥感和中科院遥感所哪个更合适些？,我有个朋友在中科院读的遥感，在北师大做研究中。中科院干研究多。北师大设备好，活动多。
华东师范、北京师范、暨南大学、中南大学、北外英语学院和专英的mti怎么样？,谢谢。其实我已经回答过了，最后，说说我自己的感受：读MTI，选北师大优势很大。&lt;br&gt;&lt;br&gt;北师大无论从综合实力，还是英语学科水平上，都是名列前茅的，其学科水平比北语，北二外这类语言学校都要靠前。大家可以查查查查教育部公布的学科排名，英语学科，北师大非常靠前。&lt;br&gt;&lt;br&gt;此外北师大是综合性学校，所以你在这里能享受到的资源，比语言类学校要多，你可以结识不同学科门类的朋友，其他学科的演讲，等等等等。然后还有很多硬件设施，比如MTI专用的笔译实验室，有五十多台电脑，供大家免费使用。又比如有口译实验室，并且配置了同传箱。&lt;br&gt;&lt;br&gt;还有就是985这个平台非常重要，你在就业时才能体会到。这是个金字招牌。很多工作，如果你不是不是985211，报名都报不上。&lt;br&gt;&lt;br&gt;软件而言，北师大的老师，非常非常友好，很关心学生。无论学习还是生活。当然其他学校的老师可能也关心，我不太了解。&lt;br&gt;&lt;br&gt;其他授课老师，可以在北师大mti中心网站查询，教授，副教授，博士组成合理。特别是会专门聘请自由译员讲授口译课，聘请职场老总讲翻译管理课。毕业论文也可以选择双导师，校外企业老总导师。师资力量很不错。 &lt;br&gt;&lt;br&gt;课程设置合理，既有理论，又有大量实践机会，读研期间基本都可以有译著出版，同时还设置了语言服务管理，MTI教育等其他学校没有的培养方向。&lt;br&gt;&lt;br&gt;综上强烈推荐北师大。 &lt;br&gt;&lt;br&gt;不过也正是因为上述这些优势和设施，可能北师大学费确实偏贵点，但总体而言，我觉得还是值得的。&lt;br&gt;&lt;br&gt;最后想说，无论是去哪个学校，学翻译主要还是靠自己，学校只是赋予大家一个平台而已，共勉
如何看待北京师范大学珠海分校变为北京师范大学珠海校区？,躺在教九小花园里，看着这个问题。居然发现没有多少本部的人关心，嗯。作为12年毕业的本部老人来说，我确实不关心。
北京师范大学可以自费吗？,本人北京师范大学在读本科生。不知道题主的自费指的是什么？ 如果指的是学费的话，据我所知在北京师范大学本校区（指新街口校区，对辅仁校区不了解）除了免费师范生，本科生大多学费自交，一般在4800左右。即使是师范生，也有非免费师范生，学费没有减免。
北京师范大学珠海分校属于民办学校，在未来的就业上会有什么弊端吗？, 从建校以来一直都是公办，举办方为北师大和珠海市政府，且在全国范围是以本科二批以上招生。只是因为 一系列原因 而被教育部定性为按独立学院模式运营。  按某些人的理解：独立学院=民办=3本，这种是认知的问题，讲理没用，无法改变，除非学校办学性质变了……  不管民办高校还是公办高校，考研、考公务员、司法考试都是可以的，没有任何影响（唯一的影响可能就是一个学校的名气）  个人认为的一个优势：在于作为出国的跳板，是个不错的选择 
如何看待北京师范大学大一绝大多数同学选不上体育课这一问题？,体育课名额是给一个年级的人设的 大四先选课，然后大三大二大一 所以大一的选不上课，等高年级就好啦～小小年纪先要学好高数是不是？
厦门大学和北京师范大学如何选择？,跑个题，可是楼主真的不要考虑一下宿舍环境吗？真的真的不要吗？  北师大地处三环，租房很贵的……  宿舍七人间，每个人只有一！个！床！位！  还有一张床是用来放行李的，对了，扩招之后没有了行李房，你的所有行李空间就是一个大致50*20的方铁格子和行李箱，四年哦宝贝～ 床和床之间的距离……大概你放个屁是可以实时传送的，七个人齐聚宿舍可以深刻体会到摩肩接踵的含义。  宿舍出现过老鼠。 不过今年装了空调，否则夏天天天都在用汗洗床单，为了乘凉，有姑娘夏天在走廊打地铺哦。 添置东西第一考虑不是价格，是放不放得下。  有个室友搬进宿舍的时候因此默默哭了一晚上，真事儿。  厦大我不清楚，但北师大绝对是艰苦奋斗的典范，请楼主认真考虑。  利益相关：北师大人  ps:其他方面我是很支持本校的，耶！  pps:请勿借题发挥，提出这个问题是因为的确不是每个人都可以无视环境的，身边就有因为宿舍环境考虑重考的妹子，觉得大学是学习的地方艰苦点的环境更好者请无视。  关于如何最大程度利用宿舍空间，欢迎咨询，都是逼出来的啊！
北京师范大学考研辅导班哪个好？, 咱们先说说服务，就拿市面上的小班课和集训营来说吧，很多机构都是主打名师，而且聘用名师费用真的很高，一天课酬都一两万元，所以这种名师班都要招很多学生才能赚回本，所以名师很少甚至不可能会上小班的，更不可能会上一对一的。那种小班课都是一些课时费比较低的老师来上课的。课酬低的老师讲课一定会差么？这个还真不一定，有些老师名气不大，但讲课是真心好，所以老师讲课好不好，大家一定要试听，听了才知适合不适合自己。  专业课利润是最低的，因为大部分都是上一对一的，一对一老师成本比较高，除去各种费用老师的课酬后，所剩无几，但一对一还是最贵的，毕竟效果好有针对性嘛。     集训的效果在于环境，有那样一个学习条件逼着大家去学习，如果有名师上最好，没有名师上咱们也可以搞到名师的网课是不是？很少有机构在集训的课程中加多少名师课的，集训更多的在于监督和服务，学习毕竟是考生自己的事儿，自己学不下去，找个适合自己的学习环境或者有个人监督也还是挺不错的。不过个人感觉，市面上集训的价格还是偏高，中间机构的利润空间还是很大的。     还有市面上众多的考研书，太多太多，各种所谓的大牛，名师的书都有，我真不建议瞎买瞎看，别浪费了自己的考研时间，你还是买大多数同学都用的书吧，最好的资料还是真题，有些机构自己出的书真心不怎么滴，为了圈钱质量多差的书都能出的出来，而且现在出版监管部门对孩子用书查的比较严，对成人用书查的真不怎么严，所以只能是自己鉴别咯！     划重点，报小班课前咨询清楚上课地点，上课安排，上课形式，很多机构为了节省成本会把面授课改成网课来上。报集训课程前要实地考察，能试学就试学。资料用书要谨慎，别用一些不知名出版社不知名机构出的新书。     在这里我就不推荐辅导班了，毕竟我也是在考研辅导机构工作的，如果需要详细咨询了解可以私信哦 
如何评价北京师范大学珠海分校升格为北京师范大学珠海校区这一事件？会对目前在校就读生有什么具体影响？, 对2017级及之前考进来的学生没有什么影响，学位证和毕业证应该还是北师大珠海分校的。可能从2018级开始发北师大的。个人认为或许以后会改成发北师大（珠海校区）毕业证和北师大学位证。     影响：无非是我等毕业老人以后再介绍母校时说：现在变成北师大校区了……  这种事别看太重，到时候找工作时没卵用的，还是要自己能力强 
北京师范大学计算机科学与技术专业怎么样？,除了去中软科技实习以外其他都好
