自主招生选择生物方面学科进入福州大学后是不是去“闽台合作”？,当然去本部
在福州大学复试你都经历了什么？,和楼主一样同为石化复试生 流程楼主已经写的很清除了，我补充一点具体内容吧 1.笔试 （1）英语听力，四级差不多，基本都是常规对话，先短后长，考前听一听找找感觉就好 （2）英语翻译 英译汉：邀请函，石油化工 汉译英：化学工程师，还有一个忘记了 阅读（选择题）：也是关于石油的，四个选择也比较简单 （3）专业课（化工原理） 我的初试是物理化学，考化工原理。题目很基础，30个填空，五个分析简答 大家一定要认真看招生目录啊，招生目录里的“初试非化工原理，复试考化工原理”，我把“非”字看漏了，所以一直以为自己考物理化学，直到考试前一天才发现，整整看了一天化工原理，结果23分（满分40） 2.面试 每个组可能情况不太一样 我们首先简单的中文自我介绍，然后老师会根据你的自我介绍问一些问题（老师们也是煞费苦心想让大家放松，一开始聊的都是家长风俗什么的）。然后会问一些学习科研经历的问题，这方面的问题会问的很细致，我做过环境重金属测量的实验，老师从仪器原理到结果的具体分析都问，我可是亲自认真做了实验，都把我问的卡了几次。 接下来是抽题（其实我们组信封里只有一个题） （1）英语翻译 扩散系数，就是化工英语书的水平，好好看书，没问题 （2）英语问题 如何理解“看万卷书不如行万里路”，我答的不完全认同，原因是什么 （3）专业课问题 为什么灭火器打开会有白色固体 填料塔的性能参数 我只看了一天化工原理，实话和老师说了，老师说那你记得其他操作么？我说了课程设计是精馏塔，回忆说了设计的内容，参数等，老师说能记住一些就不错。 以上面试问题老师不会催你回答，也基本不会评价对错，同学们只要自己组织好就可以回答，不会的实话说，有机会让老师问其他你熟悉的问题 然后面试时间就到了，让我叫下一位同学  我大概是四点面试完，六点半会出成绩 很煎熬，给自己想好了退路，考不上就二战，坚决不去差学校 六点半奔去看结果，录取了，超级激动开心，然后周围大家都好淡定，我也只能装作很淡定…  补充几点： 1福大的复试很正规（也许我没见过世面，反正比我两天前江苏大学的正规了不是一个level） 全程摄影，手机没收，不准交谈 提前联系导师也不是100%的成功 这一点我要好好说一下 (2)提前联系导师 我调剂前就联系了一位老师，老师说近了复试联系 我接到复试通知有联系老师，老实说复试过了联系 我录取了联系老师问能不能双选时选老师，老师说明天先见一下（终于愿意见我了） 见了老师之后，老师说招生过程与导师无关，成绩实打实的摆在那里，复试不过60也要被刷，所以他不能不负责任给学生提前保证 （有的老师提前都见了学生，结果这个学生复试被刷了，还是一志愿… 还有福大本校，一志愿被刷了的…） 老师说他挑学生也一定要见到人，了解学生的整体状态，逻辑表达沟通学习能力，不能随便打给电话就定了，我给老师说了说本科学习成绩，科研经历，接下来的计划等等（不是编的，都是实话）老师应该还挺满意，让我回去看看课题的文献，增强收集资料的能力等 （3）关于福大 我是提前去江苏大学复试，除了校园优美和小吃街就没有什么吸引我的了。笔试学生组织，完全没有秩序，面试老师也问不出有深度的问题，所以复试完我毅然放弃直奔福大。 来了福大第一天我就知道自己没来错，学校也不错，主要是学生水平都差不多（我335，基本都比我高），学校的氛围也不错，大家都背个书包路上匆匆骑车，放学了同学们也围在老师周围问好多问题，饭桌上的母女讨论的也是去德国留学以后的事情（可能是我本科太差没出息，反正这样的福大我真的很喜欢） 在福大住了五天，最后一天自己在校园里逛，一切都惬意，一切都美好，期待来这里学习。
西南交大、西电、武汉理工、福州大学、苏州大学、河海大学、华北电力大学，这些大学按综合名气怎么排名？, 差不多按你写的这个排名吧。河海 华北电力要往前靠靠。  西交，老牌211，建筑道路桥梁牛逼哄哄得很。  华北电力毕业后进电力系统，日子太安逸不要躺着数钱玩。。。。。 
普通一本的电子信息专业学生考研选择厦门大学或者福州大学会不会对自己要求太低？,如果是想搞纯学术的话，华南理工不错，就广东省而已工科绝对领先，再者广东省的电子产业也在全国是霸主级别的。其次呢，也可以考虑华中科大，东南大学，，，，
福州大学的材料怎么样？,我就是福大材料的毕业生，怎么说呢，我们学院的实力在福大还是不错的，学院虽然较小，但是实力不容小觑，材料学进了世界ESI学科排名前1%，有一个博士后流动站，两个博士点，这说明我们学院的学术能力很强。学院师资力量较强，基本都是博士毕业，有近一半老师有海外留学经历，近期又从国外引进了很多青年才俊。如果你想认真学习，准备读研读博，我们学院非常适合你。每年升学率在全校都是数一数二的，大部分进入清华、中科大、哈工大、华科、华南理工、西工大等材料学科强势的985高校。
怎么看待福州北大学生弑母案件？,人总是被生活局限着，压迫着。越是什么都没有的人，越疯狂。。如果我们有人是孤儿，日子是怎么过的呢，或许更黑暗，艰辛，人不好说，过你自己的，怎么幸福怎么过。～～～把我和朋友讨论的话搬来。
考福州大学的专业研究生要不要 过四级和 有工作经验？,不需要。
福州农林大学阳光学院怎么样？,可以去这个学校的贴吧去看看
福州大学 地矿专业是不是必须到紫金就业？,并不强制，况且经济下行情况下，矿业也不需要那么多人，鉴于过去有部分毕业生毁约（对于这种行为，我表示理解），紫金矿业那边也不怎么乐意过来招人了，行业毕竟艰苦，不是真爱，几个人能做到坚持？奉劝各位学弟学妹，不是真的喜欢地质，不能忍受孤独，不要入这行。当然，该学院分数线低，211文凭。不过，还是要说，既然来了，入了这行，就该好好学，个人要为自己的选择与决定负责任。
考研报考学校是华侨大学，报考时选择在福州考试。快考试了，华大一般在哪个学校考试？,没必要为这个费神，你无非想订宾馆吧。其实你不知道，大家都不知道，知道了再订还是来得及的
中南财经政法大学财经类专业和福州大学财经类专业该如何选择？,肯定是中南财经政法大学，不用考虑
我想报考控制科学与技术（控制工程）的研究生，在福州大学和广东工业大学中间纠结，请大家帮我分析一下？,我和你一样一样的，但是后来报了广工的双控。因为想以后留在广东就业。
2017届福建理工科考生518分省排名11072能否被福州大学录取，会不会被退档？,万事没有绝对，我这里只分享一些信息。希望你慎重考虑！仔细阅读！福大近年来录取分数基本保持稳定，以福建省为例：2014年理工出档线576分（排名12000左右），文史出档线611分（排名1700左右）； 2015年理工出档线594分（排名11000左右），文史出档线599分（排名1600左右）； 2016年理工出档线545分（排名11000左右），文史出档线553分（排名1800左右）。具体分省分专业录取情况可访问我校招生办网站查看。     以上是我觉得你会用的到的信息，希望对你有用。 ------------------分割线 今年福州大学好像缩找了一些，全省也是普遍缩招。
福建厦门人考研兰州大学还是福州大学？,不请自来硬答一个。       兰大这所学校被轻视已经多年了，作为毕业生的我也无法改变什么。只是以我认识的所有福建籍同学来看，高考分数没有一位是够不上福州大学的。      某些答案直接把整个西北描述成一副大漠孤烟直的景象，这是你们的自由。但我认为，作为一个读过两年书的人，没做调查而信口答题，怕是不怎么值得称道吧？       最后说一句我校的民间校训吧：“吾校虽瘦，必肥华夏。” ————————————————— 答个题也要被骂弱智，知乎上戾气还真是不轻。
在福州大学就读是怎样一番体验？,本人搬到了泉港校区。 更新时间 2016.8.30 —————————————————————————————————————————— 第一次在知乎上答题 ，先介绍一下自己，福大化学化工学院的一名刚刚读完大二的学生。（2014年分院，化学化工学院分为化学学院和石油化工学院）  楼上学长答得很好，大家也可看一下。      正文开始前强调一下： 因为年龄见识局限，所以我的言论具有很大的局限性，我提供的是我所看到的福大，如果觉得不妥，麻烦私信或者评论，我根据实际决定是否修改。 我所在旗山校区，所讲为旗山校区就读感受.      来晚了，没有看到同为大一同学对同学的评价。我所看到的福大，学风是可以的。“考试刷题能过”这个存在于大一这些基础课程，从学长处得知，接下来的很多课程不是你刷刷就能过的。 低年级同学对于参加科学研究的热忱是很高的 ，虽然绝大部分目的在于以后就业而不是从事研究。这个暑假，我的好几个同学在学长学姐的带领下开始了自己的研究试水。我的班导从大二开始在导师的带领下假期留在学校做实验。（做了两年，今年暑假结束） 福大能够给你提供这些资源，特别是研究的资金还有老师学长的支持（我本人是化院的，福大化院的学生研究很多，而且有人带你，但是你要主动联系导师和学长学姐。）我本人也正好在做SRTP项目，省创和国创因为一些原因没有时间联系导师准备好材料，所以没有报。SRTP项目课题不能透露，主要是要刷论文，我被分配的主要任务是matlab的计算，所以一整个学期包括暑假都在熟悉matlab的使用。这对我以后的科研是有好处的。我咨询了一下其他课题的同学，他们有的花大笔的钱买实验设备做实验（机械和流体相关的实验，学校报销2000，其他导师帮忙掏，少量零碎的自付了），有的跟着导师天天泡在实验室里做化学实验和检测..我们学院的研究生学长学姐都会很认真地教，而且不厌其烦地提醒你注意安全。值得一提的是，15年很多大一的新生报了SRTP的项目，导师也都批了，所以很多大一的孩子很早就接触了sinfinder之类的检索，暑假留在学校跟着研究生做实验，也学会了很多东西。起步早对他们以后做其他的实验项目帮助很大。（化学和化工专业检索课程大二上才教，过控是大二下，他们在大一就把检索课程全部自学完，而且提前自学专业英语等相关课程来让自己看得懂外文文献。过程相当艰难，但是收获颇丰）       关于同学的学习： 学生的自主学习是有的，而且比其他学校好多了（大学城内）。暑假和考试月很多其他大学的学生专程跑到福大来自习。我在考试前去看了其他大学的自习室，这点只有福大和医科大让人满意。福大的自习室很多，所以不用抢位置，我们学院每个班有自己专属的自习室！（其他学院基本也有）除周末都有安排自习（有的学院强制自习，有的学院考试月才要求）。 每一个教室都有配备空调。每个教室最近的开水间和厕所不超过20m。 福大尽可能地为学生创造良好的学习环境，虽然由于特殊国情导致在管理方面没有办法真正地去行政化，但学校的老师都尽可能做到最好。（我们某科老师是教务处处长，从他的叙述和我们日常的接触中，能很明显看到福大环境不断变好）福大的师资详情可能百度一下，诸位自有公断。我们学生已知的就是，福大现如今招讲师最起码都要有博士学历和海外留学经验。      关于图书馆 ：花了一年多的时间专业刷图书馆，有点感受。图书馆的书籍确实不多，但是也不少（如果需要具体了解情况，私信或者评论，我另外补充）比如《小王子》我借了4次没借到，因为只有两本，而且空闲的一本找不到在哪里！但是， 工科专业的书籍挺多的！ 2楼有专门的工科杂志阅览室。老师在上课的时候会推荐很多专业的书叫你去图书馆借来看！而且保证你找得到。如果工科的学生想认真学习，本科的学习是可以满足你的，特别是化学的！ 但是，图书馆有几个缺点还是要说一下的： 厕所问题一直被人诟病，味道比较重，虽然不会影响看书和自习，但是上下楼梯时闻得到。前几天去刷图书馆，看了下厕所，味道有改善（不刻意闻不会注意），但是没有完全根除。假期结束不知会不会再次出现。 （一年的观察下来，基本已解决，福大效率很高）    图书馆自习：   诺大的一楼是考研同学的专座。二楼是阅览室和大厅，阅览室可供自习。   三楼和四楼是书库，每层楼的两边都有供自习看书的座位，分为普通的木质座位和带电源插座的办公座椅。办公座椅每层大概80个位置左右，木质座位太多了，改天去数。   五楼是不可外借的书，大概有50个木质座位。和数不清的带电源插座的办公座位。   （办公座位一般是带电脑自习的同学使用）        关于宿舍： 四人间，部分六人间， 带阳台、风扇，空调，独立卫浴！ 个人床位细节如图（无视我凌乱的书桌，最近在刷课程，没有心思整理，请各位自带美化，无视渣像素和拍摄水平）     暑假舍友离校，桌子上的东西都收拾到柜子里了，所以很空。  阳台如下    水电网供应无间歇。   福大的宿舍情况，算是全国一流的吧。     顺便说一句，福大的保安叔叔和宿舍楼管都很赞，每次都聊得很开心，他们也很敬业。        关于体育： 福大体育我具体不了解，就说日常方面，两个田径操场，无数篮球场！不爱打篮球爱打羽毛球的看到这么多篮球场不做羽毛球场很伤心！没有羽毛球场，室外的都没有！ 网球场，因为校长爱打网球，网球场的数量也是相当惊人，没有占满过。（利益相关：院羽毛球队队员，体育选修网球）       关于学生素质： 有很多学霸，而且普遍貌不惊人！除去学习之外，福大在我日常所看到的表现，让人伤心。所幸有在改善！乱穿马路的刚刚开学挺多的，但是自从设置了红绿灯，只有少数人偶尔为之，而且大部分不是学生。图书馆背单词背书的真的无力吐槽。穿着拖鞋到处走的，有！在教学区还有图书馆都能看到，让从小被教育“出门不能穿拖鞋”的我很是无语。因为上一届校长禁止抽烟，所以抽烟的有，但是非常少，而且都懂得回避（会被舍友各种吐槽和教化）。总体印象，福大的学生不是素质优秀，但是也绝对说不上差！要是多去其他学校走走，我反而认为我们学校的同学挺优秀的 T.T       关于社团： 我对此印象很差，很差。不知道是不是所有大学都有的通病。社团内装X的学长学姐有，没有能力乱指挥的也有，弄一个活动策划弄了半个月弄不出来最后让学弟学妹几天内赶出来的有，做个活动各种形式主义的更有！基于此，对社团什么的印象很差。执行效率差，没事就功利主义和裙带关系。 但是，也有的社团非常棒！比如说大部分学院的辩论队，还有一些非官方的学生自己组织的社团。 （没有错，我对学生会社联红十字会什么的失望透顶了）比如辩论队，很团结，为了一个辩题各种讨论折磨自己+没有限度地熬夜。执行效率挺高，没有任何拖拉，都追求做好自己，能力不行的人更怕拖累队友。比如说美食协会（这个听学姐叙述）各种免费组织活动品尝美食，比如说轮滑各种亲切学长教学妹轮滑~你懂的。（利益相关：辩论队队员，院学生会某部门副部长，原校红十字会某部门成员） 和社联的主席还有校红会的会长接触过之后觉得这两位学长还是蛮厉害的。但他们的手下 T.T  我都不知道我哪几个同学是怎么当上校级部门的部长的。不是说能力不强，只是人对不起说起来这么厉害的职务罢了。 院学生会我们学院算是效率比较高的，主席和团副都很拼。两位学长学姐我都认识，因为他们是辩论队队员出身，大三空降当的主席和团副。他们把辩论队的风格带进去了，学生会主席团效率提上去，但是各个部门太在意什么部门荣誉部门关系部门....啥啥啥的，反而效率低下。和主席学长聊过很多次，他也是蛮心酸的。（利益相关，被学长骗进去当了一年的副部长，原本是骗我当部长的，陪我拒绝了，最后拗不住，当了副部） 如果想进学生会之类的组织学习什么的话，我感觉基本学不到什么东西。我带了学生会一年的大一孩子，他们最后连个文案都写不全，因为学生会的氛围更多倾向于交际，成员也更自我，效率很低。辩论队的孩子带了一年，平时打比赛往死里打，一年的时间里，学生会大大小小的活动反而叫他们去策划和组织，班级的活动也一般由他们负责。因为辩论队压力大而且要求高，他们做那些感觉很轻松。现在是暑假假期，一个月的时间把纳新策划扔给他们叫他们每个人在八月初交一份策划上来，全部自学，不懂的私聊打电话问学长学姐或者自己找工作之后的文案编辑问。（我队传统，当然，还有辩论作业布置下去。）作业还没收上来，收上来花半个月时间修改，告诉他们哪里错了，开学纳新实践。  有同学私聊问我社团的事情。 每个学院有自己的特色社团，一般都是办的不错的，大家可以尝试一下。   关于社团学生会的看法总结如下： 为了学习和简历，专心学习吧，学生会和社联会浪费你的时间；想交朋友，喜爱交际，可以尝试一下学生会和社联，反正可以中途退出。 关于辩论队，各个学院辩论队水平不同，请在开学之后详细观察你学院的辩论队自己抉择，提醒一句：一入辩论深似海！ 它会让你得到很多，同时也会失去很多。      以上就是我对福大的一些感受。很抱歉没有去过老校区，所以没有那个校区的感受，听说建筑很美~~~旗山校区的建筑，太....体现自己是所工科学校了。因为回答之前刚刚刷完编程题目（个人兴趣爱好，不是专业要求的课程），而且已是深夜，所以有些困倦，遣词造句表达什么的如果有不顺的地方烦请见谅，偷偷告诉我，我会修改的。
选深圳大学还是选福州大学之类的211？,谢邀，刚毕业，深大学广告，无法回答工业设计相关专业的问题。 但是我注意到你在上一个回答里面有询问是否有工业设计这个专业，这个问题我能回答，你可以关注“深大快讯”（我不是小编我只是刚好看到它推送了哈哈哈哈哈），最近有一次推文，题目是“深圳大学2013-2015年招生录取统计&amp;2016招生计划”（这篇推送不是主推文是二级推文）来查看深圳大学2016年在各省市地区的招生计划，先确认了有没有相关专业，再考虑深圳大学的问题。如果有的话，我们可以进入下一个议题，如果没有，你又想读这个方面的话，那么你可以考虑一下这个专业里面你的分数你能报考到的全国范围内最好的学校。因为你有很明确的专业目的，所以我提议你先这么做。  －－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－  看了另外的回答想补充说，近年来深大招生计划调整非常大，基本上都是一本招生了，二本开设冠名的新学院来接收（嗯仔细想想就懂得其中的关系，所以可以锁定为一本招生）。不管如何，它的生源质量是有进一步的提高的（如果是从分数上来单纯划分好坏的话唔虽然我并不同意这种一刀切的判断方式）。它的地域优势的确是非常明显的。
福州师范大学旅游管理专业怎么样？在哪个校区？,答主是师大旅游学院14级闽台班的。旅游管理这个专业在师大的分算是中上，男女比例1：3.有一个闽台合作项目（就是答主上的专业），大三去台湾一年，根据专业不同去不同的台湾大学。旅游学院在旗山校区(●'◡'●)
各位 我是江西高三党 南昌大学医学院好一点还是福州大学好一点？跪求客观回复。？,这个，真不知道该如何比较，如果你喜欢医学类的话，南昌大学医学部真心不错，但是个人觉得福州大学的环境可能更好一些，南昌嘛……就有点天气不好。
在福州大学厦门工艺美术学院就读是什么体验？,课程排得很少 学校很小 别名厦工地（因为刚搬校区什么都在建） 美女很多（有次滴滴司机闲聊说到接厦工艺的都是美女） 宿舍很好 侧门环境不好！（正门后门都没人走，学生走得多的都是侧门，但是环境就如图一般搞笑）   社团不活跃（不知道是不是我进的社团有问题） 交通优点在离北站很近 这是答主呆了一年的感受 
福州大学差在哪里？,青运会随意抓人，官僚盛行，学生根本没有自我意识。和师大比一比就知道了
福州大学转专业通过 原专业的专业课挂了需要重修麽？,挂科还能转专业？
我们福州大学有个政策，优秀的学生读完国内两年如果成绩优秀可以去澳大利亚昆士兰大学就读。花费一年多少？, 题主你好，昆士兰大学是澳洲八大之一，学费比普通的学校稍微贵一点，不过不同专业学费也不一样的，国际生学费每年大概3万到4万澳元每年，生活费就一万五到两万澳元每年。   布里斯班，昆士兰州的首府，也是除了悉尼墨尔本之外，澳洲的第三大城市，气候良好，悠闲的户外生活，还有独特的“Queenslander”建筑。另外，布里斯班更有得天独厚的地理优势，比邻澳洲最棒的旅游城市阳光海岸和黄金海岸，澳洲的自然奇观-大堡礁也位于昆士兰州。  相对于墨尔本悉尼，布村的华人要少很多，意味着留学党有更多的机会与Local相处，也更能体验到地道的澳洲气息。当然，布村也没有墨尔本文艺，没有悉尼繁华，布村的生活方式比较安逸祥一些，比较悠然自得。   若你有关于留学的疑问，欢迎私信与我交流。:-D 
福州大学闽台合作项目为什么分低？,凭福建人的观念过几年闽台合作分数会逼近本部的，毕竟福建就两所211。 -------------此处为分割线------------------  2016年7月16日  刚出了分数线，暂时不知道4+0线是多少。整体闽台才高出一本线11分。我错了……   大一结束了，也有了点感受。 1、校园格局太小。没有体会到大学的感觉，甚至小于有些高中。活动相对于本部较少。领导年年说可能回本部，满口嘴炮。 2、学习气氛尚可。认真学习的大约占三分一，就看你怎么选择。你可以天天出门去玩，期末挂个一两科，反正补考一般都会过。或者踏踏实实地念书。      没有太多活动其实可以更好地学习，这点我喜欢。  3、师资条件不错。本部的老师，都很年轻，学术水平没问题。   但是，海洋学院官网上的教授，第一年我只遇到一个。 4、宿舍条件挺好。满足基本生活要求。独立独卫有空调。   5、对福大归属感基本为零。除了大型考试要回本部，我没有觉得我是福大的学生。也许只是福大圈钱的工具，不过谁叫我们成绩不好呢？ 6、211文凭，这点算是最值钱了吧。如果为了这个文凭，说实话在这个校区熬上两年也是值得的。 7、台湾学习。这点其实也是让我报此学校的原因之一，蛮期待的，能接受不同文化，挺好。  ----------------我是分割线--------------------- 7月16日11点40分 早上刚写完的答案，又出岔子了。 对事情安排效率较低，放假一周才给出要实习的安排。计划都打乱了。  -----------继续分割----------- 2016.8.11 下学期课表出来了。 上学期接近期末有给我们自选专业选修，我觉得部分课程可自学就没选，还花了时间去咨询，查资料，今天还是给排进了课表。 你可能会说就这屁点大的事情有什么好计较，我只能说呵呵，能自学的东西我何必花一个学期坐在课堂上听课。 学校就是这个样子，很多事情说了跟放屁一样。不要说什么教育资源分配不过来，要强行排课程又要给我们选假装很民主，奇葩一个。  ------------------------------------- 2016.9.1 嗯，选课还是按自己的意愿，只是选择不多，上回说的有误。  新一届学生会产生，有多少内定的一目了然，因为有没有做事，成绩好不好，大家都看在眼里。    官僚风略重。  -----------2017.3.11------------- 今年大二下。   怎么说呢，这个学校学生（不算本部）眼界远不如其它学校，因为这两年给我感觉非常死气沉沉，没有年轻人应该有的活力。可能是缺少一些做事机会，几乎和外界隔离的感觉（不能排除自己不努力，但确实接触世面太过狭隘，井底之蛙），大部分都是普通人，没有出彩之处。因为我自己是一直和以前同学保持联系，相比之下我们学校确实很普通。不是黑，实事求是。 当然你如果有自己的目标并且知道该怎么做（太关键了，因为这里说真的，靠自己，没有人给你带路，甚至由于同学鲜有追求还会动摇你的意志），还是老话，这是读书的好地方，清净。  ----------------2017.7.10------------------ 放假第二天。 本来早就想写些新东西，但是一直没有时间，连昨天早上都因为某实践忙了一上午。不过非常感谢各位小伙伴的合作，任务完成得不错，老师还是比较满意的。 下学期就去台湾了，昨天收拾东西，住了两年还是蛮有感情的，留了很多能用的东西给新来的学弟学妹们，不过刚刚得知，被学院超市的打印店小林全TM的捡走了，简直就是畜牲。 现在感觉非常愤怒，小林简直是垃圾，除了因为他代理快递点没办法要去取快递之外，我几乎跟他是无任何交集的。这个人真的很渣，猥琐的不行，女生之前意外被她他知道电话的，他会来骚扰，而且叫的很亲密。非常计较金钱，既然是做生意的，偶尔让利给学生不是很正常吗？从未有过，而且我们去他店里打印复习资料，他还自己收集起来高价变卖？！无话可说。另一家打印店老板就挺好，虽然也卖复习资料，但是还是按页算钱，打多还优惠。作为快递代理商，原来他自己推出一项制度，次日取加收5元，真的是很无语。看到这段话的人尽量别跟他接触，简直小人。 这学期还算是平稳度过，看到海洋学院一届比一届好我还是蛮开心的，特别是学习方面，学弟学妹们比我们刚进来的时候努力多啦，虽然我本人从未参加任何学生工作，也极少参与活动(解释一下，我个人不喜欢参加，并不代表参加了不好，活动还是在不影响学习的情况多多参与)，但是2016级法学各位很多我还是认得的(学长好想跟你们做朋友哈哈，不过因为我属于一般不会主动认识人，所以就没打招呼，好羞涩)，经常出现在阅览室或者四楼教室的也不在少数，挺好的，比我大一要快进入学习状态。 加油吧各位，我相信努力还是靠自己的。  本文涉及的很多方面是从专业角度来说，但是17级再无法学，因此有些部分不具参考性，请多加注意。
二本工科院校法学专业大三学生准备考研，求助 华东政法大学 和 福州大学 苏州大学 和西北政法 的难度？,你考上了吗？
想在福州大学城卖袜子 在哪进货？,说实话袜子围巾之类的不太好卖 又是季节性
暨南大学与福州大学哪一个比较好？,那福州大学差的可不是一点点哦
在福州大学至诚学院就读选哪些专业好，女生理科？,谢邀 @夜宇  这几个专业里面应用化学，化工，生工，材料，都是需要学习化学的，如果不怎么喜欢化学就慎重考虑啦，这是个小小的前话哦。 计算机系应该是比较好就业的啦，而且如果学的很精通，工资也不算低。但是这是个需要熬夜的专业，嗯，我们和计算机的妹子住一层楼，属于比较辛苦的专业啦。 我是生物工程系食品科学与工程专业的，我们这个专业的就业率也不错，但是我觉得开始工资太低了，而且生物和化学类的专业如果想工作对口又体面，还是要考研比较保险，当然了，家里有安排那就另说啦。 生工系的考研率很多很多年都是第一的，这是我们系的骄傲，哈哈。我现在也在备考研究生。 电子信息和通信工程我不太了解，不敢乱说。只能说，常理来讲生物和化学就业对口很难，但是生物考研率很高，计算机类就业很容易，考研很难。 但是我很相信朱伟老师一句话“任何一个专业都需要人才，没有不好就业的专业，只有不精通的人。”所以我在生物的道路上一走到底，为祖国的生物事业的奋斗终身。（开玩笑的，生物方面我还很幼稚。） 嗯，先这样。我想起来再补充吧。
请问考研是长沙理工的结构工程还是福州大学的结构工程？, 我个人还是推荐211大学 
我是福州人。在天津上大学，为什么我在福州被蚊子咬的很惨，到天津却没被咬过一口…这是什么原因？,首先总体来说天津比福州干燥；其次也看你在家主要待在什么地方在学校主要待在什么地方，比如你如果在天津扎到草木繁茂阴湿的地方照样挨咬；最后天津的蚊子一般立秋后更厉害……
如何看待福州一中禁止走读生参加新加坡大学高二的选拔项目？,大概提供一些信息吧，不要转载，不要把我的话断章取义搞事情。      （图源来自 友校公示栏 ）  说两点，第一是三中附中情况，第二是理科住宿生的问题；  第一，题主提到的三中附中人人都能报名，其实近三四年来，三中附中各只有一两年拿到过这个项目的笔试推荐名额，而且没有人通过面试。八中今年是第一次拿到名额。相比之下，福一SM2这三四年是年年有笔试名额，每年也都有人成功上坡，上坡后混的也都不错，所以 福州的学校之间 我认为没什么可比性，人家也就是水一水。  第二，这个项目二十年以来都只收理科生，针对理工科专业，所以这也没什么好讨论的。  关于住宿生，据我所知，这个要求是今年第一次加上去的。从教育厅文件来看，并没有强调住宿经历以及个人生活能力的要求，可以判断是学校自己加上的私货。  为什么要这样加呢？从正常的思路来想，就像文件里所说，每年的名额是根据往年的通过率来分配的。因此学校的目的可能是希望提高通过率，不排除这是因为去年通过率比往年低而采取的措施（虽然往年也没高到哪里去hhh）。楼上前SM1的同学说的不错，面试中考官比较在乎我们时间安排、解决人际矛盾的能力和经历。这样一刀切的措施，或许能够一定程度上让学校觉得保险一些。  从开脑洞的思路来想，似乎学校一直以来就对走读生、出国党抱有“偏见”！从当年的出国党图书馆事件，到前一段的市外生走读事件，学校一直在各种政策上为难我们！所以我们要反抗！要起义！  当然，也可能学生住宿率低于预期，学校打算通过这一系列措施减少学生走读比例。其实这个脑洞开的也蛮大的。   所以题主能怎么办呢？  如果是真心想把握住这个机会试一试的话，相信能够有不少渠道找到 靠谱的 帮助。因为这件事情是段长直接负责，我会建议先尽快找段长商量，如果段长原则坚定的话，写一份陈情表，在尽快面见校长，表达自己有足够的能力来争取这个机会，同时视情况适当地询问/质疑/挑战一下学校针对走读生的目的、以及视情况适当表达学校这样的做法有违“公平公正公开”的原则和省厅文件精神。只要能和校长坐下来认真讨论的话，成功报名的希望还是比较大的。（毕竟报名了也不一定能去笔试）  如果只是一个有正义感的吃瓜群众，希望发出自己的声音的话，不妨借此多和校长当面讨论一下公平正义相关的话题，相信校长会很乐意的。我在前文埋了一点伏笔不知道有没有人看出来hhh，文中有两处加粗，一处是图片下面的注脚，一处是“ 福州的学校之间 没有可比性”。我想说的是， 和省内其他学校相比，福一在信息公开和回应社情民意方面，仍然还有进步的空间 。照片来源的这所高中和福一是同一水平，不过他们能把省厅文件与学校执行办法并排公示，这和福一偷偷塞私货的做法相比，高下立判。  说一些题外话，福一一直是福州说一不二的老大，似乎顺理成章也该是福建省里的老大。不过，省内其他城市，在人口比福州少、相应地生源也少于福州的情况下，能有三所水平与福一相当、甚至高于福一的学校，这其中是有原因的。在过去，福一和福一学生自我感觉可能一直很好。过去福州人只会比较福州的高中，很爱在一三附间比来比去，讨论附中创新班和福一哪个好，而这对于福一以及福一的学生来说，除了培养良好的自我感觉外，是没什么意义的；而在我印象里，只有过一位来自省内其他城市的教育机构老师，跟我们比较了福一与省内其他城市的三所顶尖高中的差距。现在可能还没什么感觉，然而明年开始中考要全省统考了，福一会直接和省内其他城市的高中，高一收了中考多少分的学生，到了高考考成什么成绩，有了清晰的比da较lian；相信这种形式下也能倒逼学校进行一些改革。  【当然，省内其他高中也有一些比较坑爹的破事儿hhhh】  高中是学生三观形成的最关键时期，我还是会建议如果有余力的话，多 用脑子 想一想不同人不同的考量，以及在这种情况下如何调和不同的诉求，自己做一些尝试。  如果想不用脑子地搞事情的话，之前有很多可以借鉴的经验啊。找一些个学长来骂一骂学校里“狗一样”的老师、写一写檄文在空间上转一转。想来要是这个决定是以前德育处搞的话，估计讨论的会更激烈吧。【滑稽】
福州大学保安私自用铁链将200多辆ofo小黄车上锁是否违法？,不违法吧。学校那边回应是出于对ofo小黄车安全性能的担忧而禁止使用，但有可能是ofo方面的负责人跟学校这边没有谈拢谈崩了，我也觉得学校也不愿意摊上这种麻烦，要是学生骑ofo车出事了后续的破事也一大堆吧。 还有我觉得学校的小黄不是仿ofo哦，毕竟上个学期这个创意出现的时候学校里还没有ofo，而且讲道理好吗，锈迹斑斑那辆车分明就是旧车改造啊……又不全是新车，况且学校的小黄不收费 题主这种想借舆论使学校低头的思想显然是不成功的……
