国防科技大学的男生有一个特别漂亮的女朋友是什么体验？,会有很多人羡慕嫉妒恨！
在国防科技大学读本科是什么感觉？,国防科大是分两类的，技术类and指挥类，我简单说说技术类的情况。   学习方面，科大的学习氛围是非常好的，就我的感觉这边学习的辛苦程度是重于高三的，大部分人晚上都是自主学习到12点以后。环境造就人，周围都是积极向上的气息相信你也很难不努力。  不过相比清北复交，我觉得科大学生的劣势在于创造力和主观能动性。毕竟是体制内的人，没办法呢，每天活在命令下的结果。  学校硬件条件很好，好到那种程度呢，我只说下空调情况你们就能窥见一斑：有房子的地方就有空调～哈哈，包括食堂游泳馆室内操场～是不是很爽啊～就更别说免各种费用还发钱发衣服(o^∀^o)  不过相对其他军校而言，科大技术类这边对于军政素养的培养重视程度很低，所以有个很惨的事就是技术类没上研究生被分配到基层部队带兵的都混的不是很如意。   有种说法是科大是个围城，外面的人挤破了脑袋想进来，里面的人想出去。是的，每一个到科大读书的学子到这里都会大呼坑爹，自己有上同济西交甚至复旦的分数，跑到这么个J8地方来受摧残，没自由没网络没妹子，在幽静地学校一边想念以前快乐的生活，一边埋头对付难到咋舌的数学物理方法，还要应付各种突如其来的公差训练，何其辛苦？   但是，我想说的是，你12年寒窗苦读上大学就是为了来体验自由而又无用的享受生活么（没有黑复旦的意思-_-#）？青春需要捶打，百炼才能出好钢，更何况我能在这里相遇伴我一生的战友，何其幸哉！ 这是一个锻造好男儿的绝佳地方，你会抱怨，你会傲慢，但是你慢慢会发现，这个地方已经慢慢融入了你的灵魂，成为了你不可分割的一部分。     这个地方我来过，我爱过，我不后悔。2014-07-07
文科女可以去国防科技大学读研么？,要看你是什么专业，当然如果你要跨专业的话就无所谓了。文科的专业基本都集中在八院，人文与社会科学学院，有外语，马克思主义等，具体可以查看当年学校研究生的招生简章。但是17年是不从地方招收研究生了，国防生应该除外。以后政策未知。 -------分割线------2017.3.26------- 政策变了，地方硕士又招了，希望没误导到别人 
去国防科技大学参军入伍，读研究生，中尉待遇，搞科研，不知道大家觉得怎么样？,我也想这样做，可有人说出来后不是科研而是下放基层，待遇还没其他军校待遇好
能不能在网上报名考试国防科大（中国人民解放军国防科技大学），成绩不是太好，怎样努力可以考进？,高考可以报的，努力学习数理化语文英语，高考考上了就上了，考不上······不能继续考。
国防科技大学2016安徽省分数线？,这等错字，告诉你分数线又如何，肯定没戏
我明年想报考国防科技大学 但是近视 如果高考完马上做手术参加军检 想请问高考体检视力结果影响军检吗？,换个正常的学校吧。分享给你个问题  https://www.  zhihu.com/question/4813  4580     慎重
被国防科技大学非指挥类录取了，听说里面的生活很苦，不如去上其他好大学，是么？,非指挥类不算辛苦了，某种程度上讲也能给你带来一副收益一生的好体格。等你考上硕士博士后，就更爽啦！
国防科技大学招生入学分数这么高，真的分配不如低分的军校吗？,更正修饰词，不是“较”，是“最”
请问国防科技大学2016或历年在江西省的招生分数线是多少？网上查不到…求助！？,伸手党，真的都是不会查吗？  高考录取分数线查询    这个是江西省高招网的，但是没有具体分数线。  2016年江西高考提前批理科录取投档分数线（军事类）     2016年江西高考提前批文科录取投档分数线（军事类）    这个网站可靠性未知，但是交叉比对  2016年江西高考提前批本科分数线    文理科是一致的，也许是对的吧。
国防科技大学男生真的不想谈异地？,科大男生是分等级的，不知道那个幸运的小子属于哪个级别。对于男学员了话，以自己能够把握的时间量来衡量，博士男学员大于硕士男学员，硕士男学员大于本科男学员。本科男学员大四搬到一号院的还好一些，在三号院的由于从白天起床到晚上就寝的时间都被安排的满满当当，有时候想要学习的去个图书馆看书都是奢侈。加上又有手机的使用限制，对于异地恋而言无异是缺少了一大沟通途径。至于通过电脑视频之类的那更不可能了。周末外出？20%的外出指标，4个小时。呵呵。什么？身边解决。大指挥类的男女比例nx1000:1，技术类100:1，哎，说多了都是泪  不是这群可爱的小伙子不想谈恋爱，关键是没时间没精力没妹子。
女孩子想去国防科技大学呢..？,这得好好思考一下自己的人生和资本。军校跟地方学校不同，对人生的影响远比地方学校要大，基本会让你走上一条路，然后余生都在这条路上走着，或者受到它的影响。你是否考虑过自己人生的规划？是否真的热爱这个事业？是否能够承受要牺牲和奉献的一切？  在这方面真的不能靠热血，不能看各种影视故事的宣传，多去看一些真人真事，去找亲历者去询问，明确付出和收获。当然，也要考虑不断变化的BD政策，如果你对现今的政策不满意，也要去思考政策向自己所期望的方向调整的可能性。  对于女生，科大的女生藏龙卧虎，由于几乎所有闲杂的事情都让男士去抗，女生是会过得轻松许多，时间也多很多。再加上本事管得就严，所以安心学习是很能做到的。  科大是非常精英化教育的，隐形的淘汰率非常高，考虑清楚再做决定。
国防科技大学计算机学院中的软件工程中心具体是做哪方面的工作？,兄弟我真不知道，你最好问问相关的，干什么我也不知道，大学撒子事都干了就是没读书…很遗憾哈，sorry无能为力
今年高考我想报国防科技大学，不知怎么样？,别来知乎问军校相关的问题
高二生，国防科技大学，中山大学工商管理专业？,有关系上国科 没关系去死吧
国防科技大学，去还是不去？,去了会后悔一阵子，不去会后悔一辈子。
文科生能报考国防科技大学吗？,可以，有相关专业
女生考国防科技大学研究生？,额，到底是要考国防科技大学还是中国科技大学？！
民航飞行员和国防科技大学指挥系哪个更好？,来民航吧
本科中国科学技术大学毕业，然后计划去国防科技大学参军入伍，搞科研。学的专业不是计算机。大家怎么看？,你打算念国防生？可以的呀。
国防科技大学在上海的招生情况怎么样？,作为专业关注科大好多年，最后 TM 没考上的上海学生来回答这个问题。国防科大有几年才在招一次吗（几年一次的那是信大，好吧信大最近两年也算是正常招生了）？就我进高中那年开始关注一直到今天，每年上海的名额大概都是8个（每个专业一个，没女生）。今年（2015年）我记得计划书&gt;8了还有专门招女生的专业了。然后全是技术类。你可以考虑问上一届借一本专业目录来看看，那里面一般会有近三年的数据的。祝好运。 ————————————2015年7月30日补充—————————————————————— 今天特别去军队人才网找了一下计划，你看一下好了是15年的。另外请放心国防科大至少近十年是年年都在上海招生的。 哎，我那怨念的计算机科学与技术啊。
请教一下大家，国防科技大学的非现役文职工作怎么样？,既然是博士，可以考虑特招入伍，去军校当非现役还不如去普通高校
国防科技大学的研究生怎样考？,1、要求211以上本科。  2、其他报考事项同地方大学。  3、复试有体能测试。  4、互联网可查招生简章。  以上为几年前情况，听说现在招非军人研究生了，不入伍。
985大学学生考取国防科技大学研究生的流程？,mu qian bu zhao di fang sheng le
今年大一，想从学校入伍，然后考军校。就读一本211，想考国防科技大学。？,呵呵既然浑浑噩噩，试试也好。
怎样追国防科技大学的男生？,假期约等于无，寒假行，暑假不一定，手机收，你可能联系不到，还有啊，他可能现在已经退学了。收东西可以。
国防科技大学暑假研究生夏令营？,假的。
国防科技大学计算机学院银河技术服务部到底怎么样？在那里面工作的体验怎么样？能学到东西吗？能长期留那吗？,谢学姐邀   嗯……怎么说呢  题主你对我校真的一点都不了解啊     我们叫国防科技大学，不是国科技大学，也不叫国科大  其次，我们是大学，不是公司  然后呢，我们学校没有软件学院，只有计算机学院，天河二号是他们研制的，现在正在研制天河三号，干翻神威   最后，题主你说的情况我也不清楚，请有经验的人来答吧。估计大部分都是让你别来，我也习惯了
2015届河南高考理科一本线529分，考生640分全省2021名，报考国防科技大学工程技术类希望大吗？,应该没有问题13年3000名学校许诺我可以去指挥类我没去
女生上国防科技大学是一种什么体验？,我是男生，在科大，今年大三。就我观察的经验来看，科大的女生都是宝贝，男女比例100比1。女生训练也不辛苦，只需要好好学习，锻炼指挥能力就行。
怎么看待女生考国防科技大学？,报考986高校才是正道，大学毕业也可以参军。
在国防科学技术大学就读是怎样的体验？,不知道你是不是高考后被国防科大录取，如果是，那么恭喜你！       国防科大做为中央军委直属副大军区级军事院校，军中清华，是未来军事指挥家与军事科技人才的摇篮。国防科大师资力量雄厚，学术氛围浓郁，硬件设备先进，是你成长成才的好选择！       好了，到此为止。接下来，给你说说现实情况。       现实呢，如果你考入了指挥类，那么恭喜你，四年后，你的心智都会得到极大的锻炼，你会被一次次不理解打倒，你会被一次次所谓的纪律雷倒，你会在无数次的服从中慢慢理解你在这个社会中的角色。四年后，你会被同龄人深深地感叹，“你长得有点着急”，哦，忘了，你将拥有强壮的身体，体能训练伴随你四年。（指挥类是不可以考研的）一晃四年本科毕业了，终于可以到budui建功立业了，no，你错了，你要有一个+1，也就是说，你大学学的在budui一点用没有，+1学的才能用到，幸运的话能用到，于是，五年一晃就过去了。提前告诉你，你将永远记住6月30号，一辈子都不会忘记，因为这一天，你的梦想你的未来你的爱情，都会离你远去，因为这一天，将决定你未来在哪个山沟里工作。好了，工作后，你会发现，原来，科大是天堂，科大是天堂啊！       如果，你考入技术类，那么恭喜你，你会学到很多知识，每一年都如同高三一样，一晃到了大四，你要考研了，你要考研了，可是，你会发现，我靠，分数怎么那么高！为什么考本校研究生还要那么的被特殊照顾，于是，只有30%考上了研究生，剩下70%，永远记住了6月30号，也会发出科大是天堂的感慨。考上研究生的，恭喜，进入了真正的天堂，建功立业等等与你有缘了       好了，再说说高中生比较期待的爱情，科大，异地恋多，本校女生少到就如同在北京看到蓝天白云，恋爱的，那更是少数。花前月下的浪漫与你无缘，偶尔请个假去长沙的步行街看看美女也是种享受。      不过，科大人都毕竟是高智商的人，经历过各种磨难后，会有一批科大人成为将军科学家，现在，也慢慢迎来了科大人的辉煌期。
国防科技大学收文科生吗？,收，全是九院的
国防科技大学对女生身高有要求吗？,有要求。我也是女孩纸想考国防科大。  如果要考国防科大的话，读理吧，文科名额本来就少，对于女生来说更是几乎可以忽略不计。  身高不低于160，裸照视力要4.5以上。  对于分数要求也很高哦，至少要高于一本线70分才有可能被录取到，谁让咱是女孩纸。。。。一起加油吧~~
请问国防科技大学新生入学需要带什么东西，请专业人士解答尽量详细一点，谢谢？,牙膏牙刷带，别的你带了也用不到。用电动牙刷记得买个普通的，你会知道它干嘛。
985学校英语专业是不是不可以考国防科技大学的研究生？,  http://  yjszs.nudt.edu.cn/home/  content_getContent.shtml?topicId=fe8b22f0978611e3a5e20800200c9a76&amp;titleId=7154bafd921c4e9cae70240aab6a4987          （3）普通高校应届本科毕业生：本科就读院校应为“211 工程”院校（不含独立学院、专升本）且就读专业为理工科，毕业时能取得本科学历和学士学位，年龄不超过24 周岁（1991年9 月1 日以后出生），只能报考我校理工科专业，报考专业必须与本科所学专业相同或相近。
