有哪些网红出身于清华大学？,女流66算吗？挺喜欢看她玩小游戏的。  补张女流微博上的图。    ～～～～～～～～～～～～～～～～～～  原来这么多人喜欢女流66，哈哈～
怎么上清华大学的土木工程系？,  谢邀⊙﹏⊙    首先第一反应是不是邀请错了……你把一个如何去清华土木工程的题问给了一个在北大上学的文科法学生……    不过还是有一些东西是一样的，比如被说烂了的所谓清北学生的学习方法。    清华土木工程还是个比较强势的专业，听说如果一个省理科最高分是720，此专业都会划线划到710。    不知道你是哪个省的，但似乎除了有优惠分数或者在西藏宁夏等地外，理科640是果断摸不到清华的通知书的。     河北的这两年清华线一直稳定在705+     高二640其实是个很有潜力的分数，一直认为，除了高考之外的高中任何一次考试的分只具有改错价值，并不能说明什么。所以你现在640不代表一年后你考不了700+    一直觉得理科靠天赋多一点，在题难度适中时考到640是可以靠努力做到的，但考到700+需要天赋 认真 和技巧     每年全国有近千万考生，考上清华的四五千人，考上土木工程的百十来人。所以就需要你在学习上既要和别人相同又要和别人不同。     基本学习时间，学习规律都是相同的。但你能不能跑操的时候看书?吃饭排队的时候看书?回宿舍的路上回忆知识点?别人走路你跑步?早晨就做好一天的计划……     想结果和别人不一样就要过程和别人有不同。要全身心的投入，把所有能利用的时间全用来有效率的学习。保证自己的做题量，保证自己的学习规律。成功的就是那个用正确的方法重复次数最多的人。     暑假是个好时候，提前复习，是很有用的。   既然是理科，想要考高分，提高一下语文英语吧。语文答题是有模板的，作文也是有套路的，可以背下来的。其他的阅读多做，找到感觉。诗词的6分，从高三的第一次考试到高考，一分都不要丢。英语，语感很重要，题需要大量的练，要给做题发现的生词弄个积累本，把重点搭配记一记。高三一年必须天天练作文书写，这是衡中教给我的。哦，对了，语文作文的字，也要练练，不求漂亮，但求清晰。     高三重要的是有自己的一套方法，不要太在意成绩一时的起伏，不要太看重别人的分数，用一套自己的方法坚持一年，结果就不会差。高三其实比到最后，比的是心理素质的强大。比的是无聊的重复后谁还能找到动力和乐趣。  然后就说一下老掉牙的学习方法吧。不想看就可以直接略过了o&gt;_&lt;o     学习方法如下:(仅供参考)     有一个错题本  有一个好题本  新课一定先预习  先温习后做作业  做作业要计时  只有改造了自己的学习过程， 才会有好的学习结果。  三要素  1、规范的学习行为； 2、良好的学习习惯； 3、有效的学习方法。  八环节 1、计划治理  计划治理，就是学习时间上要有通盘的计划，要遵照计划运行。  2、预习治理  听课为什么累？初中老师一节课传达的内容，其实只有二十分钟有效，高中也不超过三十五分钟。剩下的时间是可以让自己放松的，所以一定要有效预习。凡是高考状元、成绩好的、名校的都是很会预习的，所以听课轻松了、自信了。学习知识是温故而知新，预习就是要获得不懂的地方，知道听课的时候特别要留意的地方。预习是找到思维的断点、重点，听课有侧重了，懂的地方听课的时候就可以不听，闭着眼睛就可以了，不懂的地方就警醒了，以后造做作业的时间也就缩短了。凡是增加了预习环节的，排名莫不往上升。  学习成绩衡量指标是位次，要提升位次必须预习。不看总分，要看位次，几个月的时间就足以改变了。  预习要有三个要素，读、写、练，就是阅读、书写、练习。两三分钟读一遍教材，记录不懂的地方；第二天听课遇到不懂的地方，老师讲的时候要迅速记录下来。有效预习最后就是练，不要做多，做一道就够了，会做了就说明懂了，不需要重复，经过这样的过程，预习就变得有效了。  这是三个层次，要逐渐的形成，要强化自己，每门新课的预习，五到八分钟就够了，时间不用长，不要弄倦怠了，记录下来，预习能力进步后，水平也进步了。  3、听课治理  听课是主业，跟老师，抓重点，当堂懂，跟老师思路走，预习了才能真正的跟上老师的思路。跟上思路了才能抓重点，首先是抓公共重点，所有学生都要把握的重点就是公共重点，但重要的是要捉住自己个性化的重点。每个人的知识点是不一样的，各有各的需求，自己缺什么就抓什么重点，一定要有个性化，要听懂个性化的重点，当堂消化掉。  据统计，不预习当堂懂的只有百分之五十，预习的达到百分之八十到九十。另外很多同学有爱屋及乌的思想，喜欢的老师就学得好，不喜欢的老师就学不好，这时候要沟通，不要拿自己的前途开玩笑，同学们是学知识的，不是找明星老师的。  4、温习治理  核心是想、查、说，就是回想，查阅，复述。回想是在脑子里放电影，回想的过程就是“闭目养神”放电影，回想今天老师讲的内容课程是什么，这是最好的温习方法，四十五分钟的课程完了后，要及时的回想知识，能想起来的部分，就会终身不忘，想不起来的就是要留意或者重头再学了。这叫查漏补缺，漏在哪里，缺在哪里，学生不知道，老师也不知道，但回想就能把这些补上了。  回想是联合国教科文组织公认的最好的温习方法。人类的大脑在记忆的时候是以图片的方式出现的，大脑的储存方式是以图片的方式记忆的，所以回想，知识都是用图片来记忆的，圆周率记忆打破记录者也是图片记忆的结果，周婷婷就是这样的，编成故事就记忆下来了，一定要留意大脑记忆的秘诀，是图片的记忆哦！。  温习不是翻开书走马观花，要找到自己不会的地方，增强记忆。说，也就是复述，找一个影子或者镜子来对着自己复述，记忆力好使了，表达能力进步了，写作能力进步了，成绩就上往了，上往就下不来了，学习就简单轻松了，闭着眼睛说说就出成绩了。  5、作业治理  同学们回家要写作业，要记录学习的时间，要限时学习，否则就是超量，不要超过规定的时间。知识吸收得怎么样就看作业时间了，小升初、中考、高考是淘汰式考试，所以要平时练习有素，每次越快越好，快而又准，学生要坐得住，家长别打搅，学习专心，别打岔。  限时要记录开始的时间，结束的时间，至少要四十五分钟别动地方，多数学到半夜是由于学习效率太低，没预习，听不懂，翻资料，问别人，抄答案，写答案，花费时间长的原因还是不懂。假如开始的时候同学们学习时间超长，家长要坐在旁边，不要说话，这样下来，时间会越来越短，效率越来越高。作业之前不温习不作业这很重要，不计时不做作业，不检查不做作业，不小结不做作业，作业完了要告诉家长得到什么，有什么经验。  6、错题治理  有了错题本，就会很好的回纳和总结，考试之前温习就会有目的性了，有了这部分题握在手里就是高分握在手里了，错题治理本，用横隔本，从上往下五部分：  （1）原题目；  （2）错因；  （3）正确的举一反三更进一步查找原因；  （4）题型点回纳题型有统计的功能，  （5）温习的次数，每隔一段时间要温习一下。  有的同学每次作业都对，但考试都错，原因是做作业时用电话互相通报答案，不动脑子，不会做了别盲目问别人。要会治理错题，盲点，不放弃错题、难题。  7、考试治理  丢分统计表要把考试治理起来，什么题型上有题目，要起这样的作业，哪些是审题，哪些是运算出了错误，还是预习头等的重要，用纸把错题抄下来，每隔二十天，自己再做一遍，尤其是考试之前，找出考点。
如何评价清华大学给寒门学子最高可降 65 分录取这件事？公平吗？正义吗？,十多年前，我大学在某985，室友是广西某偏远农村的特困生。他从家里来学校，由于没钱，只能坐最慢的火车，所以停站太多时间不准，导致不能提前买，大部分只能买站票，更不可能中间住旅店，就这样，愣是，站了七天的火车来学校报到。  大一考英语分班的时候，我发现，他竟然听不懂英语，问他后才知道，他们当地的英语老师就不会说英语，所以，他英语听力是直接拼运气选的答案。  后来逐步了解，不仅英语老师如此，我室友高中其他的老师，也就是初中文化，实际上无法教他。作为本校第一，他没有我们这普遍的各类名师参考书和习题集，也没有老师同学可以相互交流，完全是靠自己研究和琢磨那几本教科书。  了解到这些之后，我突然毛骨悚然，如果把我丢在我室友出生的那个地方，我会不会初中毕业就去放牛……  大学时候我们痴迷集体打dota，但是室友却不跟我们一起玩，他说，玩游戏对不起让家里种田，面朝黄土背朝天，辛辛苦苦供他上学的父母。  大学有一个自强社的组织，提供勤工俭学，凭借着特困生奖学金和勤工俭学的工资，室友终于不再需要家里寄钱了。凭借着个人的天赋与勤奋，室友很快成为了自强社的领导……  由于勤工俭学时要花费时间的，室友回宿舍也更晚了，每天都是卡着时间，在宿舍关门前才从自习室跑回来，回宿舍倒头就睡，然后一早上就背起书包奔向自习室……  每年寒暑假，因为不舍得花火车票，大学四年竟然一次家都没有回，整个假期都用在打工和自习上面。  而此时的我，大部分时间都在打dota……  后来，成绩优异的室友无悬念的保送了研究生，再后来，成了一家公司的老板。  有时候我在想，如果没有学校的奖学金和勤工俭学，我室友的大学是读不下去的。  我在想，如果给他特招放到清华，以他的天赋和勤奋，也可以轻松毕业，升职加薪，当上CEO，迎娶白富美，走上人生巅峰。  同样，作为一个广西人，以他的天赋、坚韧与组织能力，如果不给一条上升通道……会不会在大变局的时候，变成洪秀全和杨秀清呢？
清华北大的学生找工作真的心高气傲吗？,没有，像高盛、大摩、瑞银、巴克莱、巴黎银行、德意志银行、摩根大通、麦肯锡、波士顿、贝恩、华兴、涌金、KKR、银湖这些企业，以及所有可以解决北京户口的国企央企来做宣讲的时候，北大清华的人表现的像狗见了肉包子一样……饿虎扑食、狼奔豕突、垂涎三尺，怎么形容都不为过，哪里有一点点傲气 ----- 主要是给的待遇没有超过装孙子的心理成本。
如何看待清华大学成立地球系统科学系？,基本没有利益相关，也不会对传统地学系造成什么影响， 这不是传统地学系，研究全球环境变化，属于生态和大气范畴。  清华大学值此之际，复兴以全球环境变化为目标的地球科学是非常明智的。 美国川普上线，美国的全球环境变化项目定然大幅度减少投入， 清华大学趁虚而入，能起到很好的效果，掌握更多的话语权。  2016届北大传统地质学类专业，硕士基本100%转行，从事各行各业。 我现在同事里，就有一个北大三矿博士，一个北大构造硕士，一个英国留学构造硕士。 北大地球化学本科六年一脉单传，现在一个个跑到美国学CS或者金融了。  我以前还在地质界时，我就和同学还有师弟师妹说，地大是一线地质工作的巅峰。 包括地大、吉大、矿大、石油大都是此类一线地质工作的巅峰学校。 要相信我们是最强的，抱着舍我其谁的态度去做事，做好事。  因为无论是南京大学、浙大、北大还是清华。他们培养的目标压根就不是一线基层地质工作。 如果他们真的去了一线基层地质工作，我是挺看不起的。  人是要论天赋的，明明有那么好的天赋，又那么努力，上了那么好的学校。 不抓住机会去做一些能实现自身社会价值的事情，而是做一些门槛很低的事情。 对不起社会培养，对不起自己，也对不起家人。  清华大学复兴地学的选题堪称 亦可赛艇，不过我不希望他添加传统地学专业。 不然那和北大的有啥区别。
清华大学建筑设计研究院三所怎么样？,学校的设计院很渣，不解释。
清华大学物理特奖得主是不是都想去MIT，而不去Stanford？,你一个浙大小屌丝，小学渣，老关心什么清华学生的事情。
北京协和医学院和清华现在是什么关系？,清华:╮(╯▽╰)╭你从了我吧，我们一起来当这天下的第一   协和: (๑•ั็ω•็ั๑)我是不会和你一起联合来欺压p大的，p大当年可是我的苟且之友~么么~  清华:╭(╯ε╰)╮这是今年的免推名额和985基金  协和:（☆_☆）别叫我协和，我是清华医学部!    协和:( *・ω・)这是今年我申报的985 blabla基金~  基金会:(๑•ั็ω•็ั๑)你们协和不是985不能申~  协和:(╯‵□′)╯︵┻━┻我们清华不是你是!  基金会:╭(°A°`)╮清华它是你学院!?  清华:(･ิϖ･ิ)っ是!  协和=￣ω￣=    清华:╮(╯▽╰)╭今年我T有x＋y个院士blabla~  协和:(╯‵□′)╯︵┻━┻强烈谴责某校将我校y名院士算作己用欺骗国内外blabla~  清华:(๑•ั็ω•็ั๑)这是今年的免推名额和985基金  协和:=￣ω￣=我们做科学是有胸怀的没事没事   会场a 协和某招生老师:(ง •̀_•́)ง我们协和今年临床，生物blabla测评全都是全国第一，欢迎广大学子来blabla……  学生a:(･ิϖ･ิ)っ老师生物第一不是清华吗?  协和老师:(๑• . •๑)我们协和和清华是一起测评的~  会场b 清华:(ง •̀_•́)ง我们清华今年的建筑电子医学blabla全国测评是第一欢迎广大学子blabla……  协和:(╯‵□′)╯︵┻━┻臭不要脸你凭什么把我们医学第一抢了~  学生:-_-||   -_-||  -_-||     协和某角落 学生a:协和会和清华合并不，哎，那鸡腿给我~  学生b:不知道，难道这么多年协和要没了，哎~你别抢我的鸡腿啊!  学生c:清华食堂草鸡好吃你造不!比我们的鸡腿赞百倍!!哎，那鸡腿再难吃我也要~阿姨别……  学生ab:（☆_☆）（☆_☆）其实合并挺好的，学术交流啊，科学研究平台好多了（☆_☆）（☆_☆）
清華大學博士後證書那幾個字，是什麼書法體？,是不是花样秀学历？是不是？
清华有与中医有关的专业吗？, 这个问题很复杂，容我洗个脸先。  清华于2001年成立了 医学院 ，后来要拉 北京协和医学院 入伙，最后的结果是协和挂了个牌子—— 清华大学医学部，仍然是一个独立的法人单位 。   清华大学医学部 是 北京协和医学院 的一个马甲，现在仍然在协和原址， 清华大学医学院 是清华大学下属的一个学院，在清华大学校园内，但是同时也是 清华大学 与 清华大学医学部 合作的一个接口。   简单的来说，如果你选择成为医生这条职业路线，那么你可以报考清华大学医学院的临床医学等专业，前两年在清华接受基础教育，之后再去 北京协和医学院 。  如果你以后选择医学这个方面的科研工作，比如生物医学工程专业，那么就一直在在 清华大学医学院 学习。   最后看了一眼题目，你是文科生啊，学医必须是 理工农医类 啊 。   你要是喜欢中医还是买一套黄帝内经自己看看吧。  最好选人民卫生出版社注解的，不是中华书局注解的。中华书局虽然很擅长做古籍，但是出的黄帝内经实在是太业余了。 
为什么男多女少的学校里（比如清华大学）有很多看上去各方面都很棒的妹子依旧单身？,如果一个你觉得各方面都很优秀的女孩纸没有男朋友。  那么，她很可能有个女朋友。  好吧，以上不全是抖机灵。毕竟这样的例子我可以跟你举出不少。  但，真实情况可能是：男人并不喜欢优秀的女人，男人喜欢的是能驾驭的女人。而一个明显自己不能驾驭的女人，明显各方面都盖过自己的女人，男人往往没有去追求的兴趣。不是觉得追不上，是真的没有兴趣。
交100万能进清华北大吗？,怎么说呢，要说清华北大全都是公平竞争通过各种途径考试选拔进去的，估计没人会信。  但有几个颠扑不破的真理——    只要花100万就能上清北的，肯定不用花这100万就能上。     那些相信“只花100万就能上清北”的，花1000万也上不了清北。     如果真的有人花了100万上了清北，那么他一定不是因为这100万上的。       另外，求大家别再以“我高中同学”、“我听说”、“我们学校”、“我妈单位同事邻居的儿子”这样的话开头了，我亲高中同学曾经信誓旦旦对别人说我是花了100万在北大转了专业的。       ……………………………………………   刚被知乎小管家从小黑屋放出来，可能大家看起来没那么政治敏感了，凑合看吧。 
国立清华大学（台湾清华）大陆学生难考吗？ 它与北京的清华哪个更好？ ？,本人在两所学校都待过，现在在台湾另外一所学校读研，就说一说感受吧。 国立清华对于大陆每年只开放五个本科生名额，硕博士名额大概在七十左右。要说纯粹对于成绩的要求当然是北京清华更高，北京清华也更难考。在北京，无论是学术还是其他方面而言，你能有一个更高的平台，更多的资源，而国立清华地处台湾新竹，毕竟地方太小，视野不够大，平台也不够高，可能最大的优势在于它的氛围更加自由一些，学术也好，政治也好，其他也好。不过如果你真的有机会同时上这两所学校，还是首先推荐北京。 再细说，如果是人文科系，也没有必要拿北京清华和国立清华比，国立清华的偏科非常严重，理工科系的比例太高，而人文社科类则还不完善。而且最重要的是，新竹并不是人文研究的重地，也不是台湾政治、经济、文化的重心，反而是北京清华近些年在人文社科领域的发展也越来越好了。如果真的要细说，目前清大人文社会学院只有中文系、外文系以及人文社会学院学士班三个大学生部，其他的都只有硕博士学程。而在中文系部分，至少台湾大学与政治大学的中文系水平应该要比清大更好，而在外文系部分，目前国立清华的学程中似乎只有英语类的，相比而言，政治大学一校就开出了英国语文学系、斯拉夫语文学系、日本语文学系、阿拉伯语文学系、韩国语文学系、土耳其语文学系，论规模论质量恐怕也比清大更胜一筹，而台湾大学、辅仁大学、东吴大学等校的外文系也未必比国立清华要差，即便是北京清华，至少也有英国语文学系和日本语文学系。国立清华真正有特色的人文科系应该是社会所和人类学所，不过社会所之所以有特色似乎比较多地和它的政治理念有关，而人类学系国立清华恐怕也不敌台湾大学。而反观北京清华，近些年来在人文社会科学的投入不可谓不大，法学院的复建，新闻传播学院的复建，社会科学学院和人文学院的划分，都使得清华的人文社科体系更加完整。 如果比商科，在台湾商科最好的应该是政治大学和台湾大学，国立清华的商科也就只是凑活吧，而清华经管学院和五道口金融学院的资本与人脉在大陆应该可以算上数一数二了吧。 国立清华引以为傲的其实是它的理工科系，当年梅貽琦校长在台湾复校国立清华大学是带着政治任务的，从一开始的原子能研究所再慢慢到核子工程系，再发展到完整的理工科系体系。但是回头对比北京清华和国立清华，国立清华有的，北京清华几乎都有，国立清华最特色的原子能，北京清华都有自己的核研院了，再比如我曾经交换过的动力机械与工程学系，在北京清华则是机械系、精仪系、热能系、汽车系、航院与之对应，这么一想也可以看到规模、师资的差别了。 对比完科系，再对比教育投资，北京清华2015年的预算收入是175亿人民币，预算支出是142亿人民币，而支出的绝大部分用于教学与研究，其中119亿用于高等教育（还有附小、附中）； 财务预算信息   而国立清华2015年的预算收入是49亿新台币（约10亿人民币），而用于高等教育的经费大概是48亿新台币（因为是预算，所以会有收入短少的问题）   http://  140.114.48.177/webppr/P  1051B1_C.PDF       只是，至少从这个规模上来讲，教育与科研的投资上的差距太大了。即便两校学生数量是43000余人与18000余人，分摊到每个人头上也还是北京清华更占优势。 然后我们再来对比学生背景，我觉得从天分的角度来说，应该不能比吧。当然，天分高确实也不一定代表最后就能比别人表现得好，但是至少在同等努力的情况下会更加优秀吧，而以我的经历来看，从总体上来说，大陆的学生还是要比台湾的学生更加用功。台湾的老师们对于大陆学生大多数也很友善，所以或许在台湾你能得到更多教授的提点，当然前提是你自己够主动。 不过，国立清华或者说台湾的教育最大的优势可能在于它的自由与多元，相对来说，留给学生自己的时间更多、选择更多，你也可以有大把时间去思考。而我遇到过的许多同学也是真正的喜欢某一科系才去念，不管是冷门的，还是枯燥的，在这一点上他们似乎比我们更自觉吧。当然，也有可能是本人太不自觉了。 最后对我来说，在北京清华的本科令人难忘，也真正去体会世界，看到世界，体会中国，看到中国，体会自己，看到自己；清大的交换生涯则是打开了一扇窗，那是对某一些大陆学校的体制的反思与反抗；而现在重新在台湾则是思考得更多。我觉得这就是一个过程，从充满热情到沉静冷静地思考。 最后，决定到底要去哪里的也不单单是看学校好不好，而要看你想要的是什么，追求的是什么东西啦。反正说到最后，两个学校都挺好的，只要自己有心，在哪里都可以学到自己想学的东西。
在清华美院上学是一种怎样的体验？,笔者本科来自四川美术学院，研究生考入清华美院，谈一下自己的体会，进一步交流可以＋我微信Aristocrat1991。   【壹】院史  ：首先简单谈一下清华美院院史，前身是中央工艺美术学院， 创建于1956年，1999年11月20日，中央工艺美术学院正式并入清华大学，更名为清华大学美术学院。   【贰】师资  ：1999年并入清华大学，因此清华美院在1999——2002年从全国各地招了很多优秀教师，有的从央美、川美、湖美等美院引入，有的从北大引入，当然还有一部分是欧美名校或日韩毕业的人才，所以总体来看，清华美院师资一分为二，一是根正苗红（求学毕业任教一直待着在清华美院），二是毕业于其他院校（国内与海外）。所以这也区别于其他美院，不像其他美院（如央美、川美、天美等）绝大部分老师都是自己本校培养并留校的。在此分三块说一下目前清华美院的师资力量。  【a】设计师资 ：清华美院的设计在全国首屈一指，因此每年高考报考清华美院设计的同学巨多，真可谓千军万马过独木桥，考研也是一样，大多考生喜欢选清华美院设计专业，工业设计、视觉传达、环艺、科普、交叉学科等老师实乃业界翘楚，国内大咖，如柳冠中（工业）、王明旨（工业）、白明（陶瓷）、苏丹（环艺）、方晓风（环艺）、李当岐（服装）、何洁（视传）、鲁晓波（信息）、徐迎庆（信息）、王建中（工艺美术）、林乐成（工艺美术）等。  【b】造型师资 ：清华美院历史上出过一些绘画大师，如袁运甫、吴冠中等，绘画老师大多偏传统写实这块，毕竟清华的口号就是“又红又专”，当然也有顾黎明、石冲这样的老师走抽象与具象模糊的道路。千万不要忘了还有韩美林、杜大恺、刘巨德等艺术大师。雕塑师资可谓全国一流，如李象群、曾成刚、王洪亮、魏小明等。  【c】史论师资 ：谈及史论，学界公认的是工艺史和设计史，知名教师如尚刚、张夫也、李砚祖等，还有李静杰（佛教美术），陈池瑜（中国美术史及画论），张敢（西方美术史），陈岸瑛（文艺理论及当代艺术），邱才桢（中国美术史及书法）等。   【叁】课程安排  ：  先谈本科课程 ：除了专业课+选修课，有素质核心课，学术讲座，实验课，总体来看，清华美院本科设置的专业课不是很多，因此需要学生自己分配好各门课程的学习时间，可以说本科的学习相较于其他美院，清华美院的本科生是最苦逼的，没有之一，在其他美院，翘课喝酒抽烟纹身泡夜店吃烧烤是常态，甚至挂科再修满学分都能顺利毕业，在清华美院，身边无形的压力导致你喘不过气来，从入学开始就得规划好4年的学习进度及未来研究方向。  再谈研究生课程 ：相较于本科，研究生课程相对轻松，现在也取消了英语水平二的考试，只要正常上课都能修满学分。  博士课程 ：博士最重要的当然是博士论文哈哈哈，你懂得。 最后说一下啊，清华的课程资源可以供你学一辈子，对于求知欲强的你来说，不要仅仅局限于美院课程的学习，其他学院的课程也可以学习。   【肆】水木清华   ： 身处清华，隔壁北大，平台与资源肯定是全国最好的，对于设计的同学来说，可以寻求跨专业学习与合作，比如工业设计的小伙伴可以去汽车专业学习交流，可以去其他学院学习3D打印技术，环艺的小伙伴可以去建筑学院辅修一些课程（ps建筑学院就在清华美院隔壁），工艺美术、服装、陶瓷的同学可以去材料学院了解一些美院老师给不了你的知识，科普与交叉学科的同学可以去计算机、经管学院学习一些必要课程，此外对小语种感兴趣的妹子可以去外研社学习日语、意大利语等（ps清华的师资，最重要还是免费的）。  伍：运动氛围、补助与衣食住行：   【运动氛围】： 号称五道口体育大学，口号：为祖国健康工作五十年。校园运动氛围真好，足球篮球羽毛球乒乓球网球样样精通，滑雪骑马射箭飞碟样样能耍，研究表明，男生女生在一起运动时，往往容易擦出爱情的火花。   【补助】  研究生和博士补助都上涨了，因为两会刚开完哈哈。当然各类奖学金等你拿，只要你有实力，出国交换的机会多如牛毛，你心动了吗？   【衣】  走在学堂路与清华路上，衣着品味最好的除了韩国留学生（最近他们敢出门吗？乐天都被封杀了），大多来自美院（当然也有经管、人文、、新闻、外语学院等），原因很简单啊，美院人必须特立独行，文化课考不过那些省状元与学霸，只能先从衣着上拉开差距了哈哈。这儿就不吐槽清华人的穿着了，毕竟大多数学生埋头于科研，无暇顾及衣着，所以曾经有篇帖子疯传一时（名曰：清华理工男格子衬衫7宗罪，大概就是这个标题吧，自此以后笔者再也不穿格子衬衫了，原因你懂得）。   【食】  老清芬没了，小桥烧烤也没了，不过不必担忧，全国各地美食（川菜湘菜鲁菜淮扬菜粤菜东北菜、芝兰小火锅、韩国拌饭等）应有尽有，完爆其他美院，突然觉得好饿啊。   【住】  住宿条件排序：留学生&gt;博士&gt;本科&gt;研究生，这里插一句，清华的住宿条件比北大强（北大的哭死在厕所哈哈哈），至于为什么我们研究僧最差，因为学校首先要让留学生感受到我大中华的温暖，同时我大清华要照顾好老人（博士）和孩子（本科），至于研究生吗？让我想想，随便搁置。不过清华周边房价在10W/平，想想自己每天住着近100W的宿舍，笑哭。   【行】  清华太大，在这读书，必须买自行车和电动车，自行车一般是标配，时常在月黑风高夜，看见部分神仙眷侣，左手右手一个慢动作，手拉手骑车，折煞路人，这可能就是属于学霸的爱情吧。不过现在有了膜拜和ofo，搞得清华里有点乱。   【陆】：苏世民学院  ：清华大学苏世民学者项目由清华大学和美国黑石集团主席合作设立，旨在立足中国，面向世界，借鉴国际先进教育理念，在全球范围选聘优秀师资，为世界各国优秀大学生提供专项教育培训。清华大学于2013年4月21日正式启动苏世民学者项目，中国国家主席习近平、美国总统奥巴马分别致贺信。项目将从2016年起，面向全球顶尖大学选拔优秀本科毕业生，其中美国（45%）、中国（20%）、其他地区（35%），到清华展开研究生学习，使他们深入认识中国社会，理解中国文化，以此培养宽广国际视野、优秀综合素质和跨文化领导力。第一期招生人数为100人，以后逐渐扩至每年200人。项目顾问委员会也可谓星光熠熠，包括英国前首相布莱尔、法国前总统萨科齐、澳大利亚前总理陆克文、诺贝尔奖获得者杨振宁、耶鲁大学校长莱文、美国前国务卿基辛格和赖斯等。2016年4月21日，清华大学宣布启动“清华大学苏世民学者项目”，中国国家主席习近平、美国总统奥巴马分别致贺信。（ps苏世明，是美国人，英文名叫Stephen Schwarzman（说快了就是苏世民），现年66岁，是美国黑石集团总裁、首席执行官和联合创始人，个人财产达65亿美元。  为什么笔者提苏世民学院，两点原因： 【1】曾去过那蹭课吃饭，待遇简直了（我没见过真实的皇宫，可能苏世民学院就是吧），不愧是培养未来领袖的学院，我就两个字：嫉妒（呵呵）。【2】在2016—17年清华大学马杯足球赛中，清华美院与苏世民学院在小组赛战成1:1平局，要知道我们对抗的可都是一帮老外（身体素质+足球技巧+配合默契+对足球的理解），著名足球解说员董路是我们教练，亲临指导清华美院足球队，我骄傲我是美院人。   【柒】百团大战  ：只有你想不到的社团，应有尽有，接触各类大神，不要998，只要你有才华与颜值（其实我也不知道妹子看重的到底是什么），韩国妹子（欧美大长腿妹子）领回家，笔者参加了韩国文化交流社团，至于原因吗？我不告诉你。   【捌】艺术氛围  ：不吐槽了，肯定不如其他美院，毕竟身处清华这个工科背景院校。   【玖】存在感：  本不想谈这个，但还是说说吧。。清华美院肯定和其他一些院比不了，毕竟别人家的孩子都是全国各地的状元及各路大神，当然美院人也是精英，看各大美院录取比例即可发现清华美院非常难考（高考与考研），所以考进来能证明一些东西。但是清华偏工科，因此论学院地位，肯定不如其他一些学院有优势。隔行如隔山，很多工科生以为美院只是画画的（微笑脸），美院人常常吐槽他院的审美，他院往往嫌弃美院人没文化，存在感吧，个人觉得还得看你自己修行。   【拾】  一篇简短的文章无法囊括所有信息，以上观点是自己在清华美院的所闻所见所知，分享给各位读者，最后给母校打个广告，欢迎报考清华大学美术学院（考研的可以联系我，毕竟我是研究僧）
如何看待《你能吃得了清华大学的苦吗？》这篇文章？,一些更详细的来龙去脉请参考  @李秋澄  学长的答案：  如何看待《你能吃得了清华大学的苦吗？》这篇文章？ - 李秋澄的回答  ===================== 各位别赞了，发现自己被打脸了…… 这是完整的原文： 刻苦拼搏攀越人生理想的巅峰    确实是清华的前辈写的……  清华大学电子工程系2001级学生／洪峰  所以大家得把时间往前推15年…… 顺手找了一个2002年的新闻： 清华新生不许买电脑    那时候连紫荆公寓都还不存在呢…… 由学校统一规定的“大一不需买电脑”…… 吃饭还是用餐票而不是用学生卡…… 而且从洪峰学长的原文来看，食堂还是按编号的……根据 清华大学食堂_百度百科   ，2006年才改成现在的名字…… 2002年的时候，我校党委书记刚开始读博士呢……见  陈旭（清华大学党委书记）     以及原文的“校门”和“课间10分钟”这两句是说给高中生听的（意即让高中生快点走进校门，抓住课间10分钟），转载的时候缺乏上下文，结果看起来就好像是说清华的学生了。  以及我还是要吐槽美国教授的Chinglish  以及我还是要吐槽“几乎没有老师好好给本科生上课”  感谢  @小六子  指出来源。 ============================ （此处是被删除的原答案）
