从理工专业，考研或出国前景，消费和环境来说上海大学和苏州大学哪个好一点？,家里蹲
在苏州科技大学读书是一种怎样的体验？, 下面这些话只针对某些人，不针对所有人，先反思反思自己，高考分数不够来这个学校说到底还不是自己不行，再喷学校。别一副都是学校不好，学校垃圾害我没前途的样子。再说学风问题，我没上过名校，我也不知道名校的学风会不会一定就好，其他同类型学校学风会不会一定就比我们学校好。无论课业有多繁重，上课查多严，想逃课的依旧还是会逃课，即便是没课，学业零压力，积极的人还是会去找事情做。你们某些专业课少不代表所有人课都少，你们宿舍通宵打游戏逃课不代表没学霸宿舍，不要用你们的情况概括所有人。某些人，不是说所有人，一边在宿舍里通宵打游戏一边喷学校不行，自己不努力只怪学校。  另外，一些刚上大学的同学不要把大学和高中类比，高中里很多事老师家长都会给你安排好，学习生活也有人关心你，但是到了大学，学四年还是玩四年是你自己选择的，没人逼你，另外很多事都要你自己去做。比如，宿舍里有设施坏了请自己去报修，不要只会埋怨学校硬件设施烂；电费没有自己去充，补考重修手续自己去办，不要只会抱怨学校坑。   说件令我感到无语的事，拿冬至加餐来说，一天十块钱，除了冬至那天专供的特色菜比较贵，可能有十块钱一道的，其他菜还不都是照常和原来一样吗？而且，超市都能用餐券。然后就有些人，不知道怎么回事，在网上叫，什么冬至加餐，菜都涨价了，10块钱只能买一道，这是无脑黑吧。 还有些人喜欢比较，在我看来，还是拿我们学校和同类型学校比比较好，苏科作为一个二流院校，它不可能同时具备苏大的学术氛围和西交利物浦的硬件设施，所以啊，某人们，你们太难为苏科了。 苏科的硬伤我觉得，就是一个管理的问题。就拿体育公选课这件事来说吧，有些人因为身体原因，无法上正常体育课，但是公选课性质的体育课又没有转成保健课这一环节，具体要怎么办，我问了教务处，体育综合办，还有保健课老师，回答还不太一样，综合了一下他们的回答，才把这事解决。有个学姐，只问了院教务办，结果被老师坑了，大四才修完体育公选课。令人挺无语的，有些相关的老师，不知道怎么办事情，有些事情不知道找谁去做；最让我无语的是，电扇坏了不修，因为有空调。。。不知道这个主意是学校里出的还是后勤为了偷懒才这么办的；小学期这件事比较坑，不知道其他学院怎么样，我们学院小学期具体安排一直不出，即便是通知你明天小学期开始了，你都不会知道这个小学期要上几天，其实挺大程度看老师心情，这学期又是水的不行，没做几件事，所以，能不能把这些事放在平时做啊，唉 硬件设施，平心而论，苏科还行，去过朋友的学校和我们学校同类型，设施是真的没苏科好。其实，硬件设施每个人心里的标准都不一样，舍友高中的硬件比苏科差很多，所以他会觉得苏科设施还不错，我高中里被食堂摧残了三年，所以我会觉得苏科食堂还不错。      关于退学的问题，我也遇到过同学要退学的事，这个事情他们有自己的想法，大学读了一两年退学去复读，考上名校，这事儿一般人别模仿，除非你有异于常人的毅志，高三的状态很难回的来。不比名校的文凭很好使，苏科的文凭在其他学校面前没竞争优势，再加上某些人大学懒散惯了，就觉得上学没用，不如早点挣钱好，我遇到的一个退学的就是这样的情况。对于没有毅力去复读上更好的学校，家里又没关系的同学，安安心心读完大学吧，苏科毕业证虽没优势，好歹也是敲门砖，有些工作岗位要求学历是本科及以上的时候，你至少有资格去投简历，这至少是个机会。 前面有些答案劝大家去出国的，但是呢，大部分的出国是需要经济支持的，得花不少钱，并不是每个家庭都有条件负担得起的。家里条件允许的，看你自己考虑。  虽然苏科有很多不如意之处，但是既来之则安之，大学看你自己，没人逼你，如果你积极向上，在苏科你也可以同样获得很多机会。你觉得学校不够好，也可以凭借自己努力往更好的平台走。你是什么人就决定了你的圈子，你自己不够努力就别怪身边废材多。     只希望大家理性评价学校，不要因为某些点就来撒火，更不要夸大其词，注意你们的言辞。网络上不少损学校的，学校有确实不足之处，但是某些人说的话太过了。既然知乎上有这个问题，那么，这个问题底下必然都是我校同学的回答。某些回答里，有说脏话的，竖中指的，这些人确实该反思一下自己别老抱怨学校。 在网络上，我们每一个人都代表苏科。        2017.8.15  说说今天微博上遇到的事，无意中搜到一条微博，也是因为在学校遇到了不公，对学校不满意可以，但是，用词真的是。。。还“代表”了全校，看到这样的微博，我心里是很不舒服的，我觉得，对自己的母校爆粗口，反而显的苏科学生素质不行，空间朋友圈也就罢了，这是微博。。。。没别的意思，只是本人觉得看到这样的微博心里很不舒服。  此外还有一条，是说我校毕业生面试未通过，就发信息辱骂面试官。。。不知说啥好 
人民大学苏州校区和本部有什么区别吗？, 谢邀，除了就学地点不一样之外没有太大区别，学位证上不会加注苏州校区，也就是毕业含金量一样，就业没有什么不同，还有的区别就是苏州校区的专业学费贵一些，一年6万，但是同时可以拿到法国的学校的一个毕业证书，而且申请法国的硕士更容易。有什么想问的可以再私信我，不过这几天招生比较忙，回复得可能比较晚。  利益相关：正参与协助人大某省高考招生工作。 
苏州大学观光攻略？,没人回答啊，那我这个大三的人来说说好了。 苏州大学有很多校区，现在主要有本部及东校区(又称天赐庄校区，这是两个校区，但很近，过一座桥就到了)，北校区，新校区。这三个校区是按顺序越来越现代化的，可以根据个人喜好决定游览顺序(天赐庄校区离新校区很远，公交要30分钟左右，但是在东校区是有班车的)。 景色最好的必是本部了。本部就在苏州古城区边上，交通便捷。在网上能找到的古色古香的图片也都是本部景色。时间充裕(1_2小时)可以沿着本部转一圈，时间不够的话可以去法学院前的情人草坪，钟楼，尊师轩，图书馆等地方看看。 至于东校区嘛，最好夏天来。夏天可以看到荷花！经常有人在湖边钓小龙虾，小鱼什么的，学校是不管的。其他时间的景色也不错，但是在全国各地都有的景色，算不上特色了。 北校区没怎么去过，从本部出北门过一条大马路就是了。景色有些……荒凉。颇有几分荒废工厂的感觉。具体的也不怎么清楚。 新校区在苏州城的最北端，是一片新开发的地方，现代化气息很重，没有什么古色古香的景色。但在那边可以看到现代化教学(是真的现代化！那边的科技树都快满级了……)。新校区个人不太喜欢，但是如果去的话一定要去炳麟图书馆！！！里边有苏大最珍藏，最齐全的书，从名人字画到专业书籍应有尽有！ 至于说吃饭，推荐本部的二、三食堂，饭菜做的不错环境也好，完全体现出了重点大学该有的样子。至于东校区的食堂强烈不建议去，只能达到勉强裹腹的标准。但不管什么食堂都不允许收现金的，只能刷学子卡。不过你可以带零钱让旁边的同学帮忙刷下卡，一般都会帮你的。 暂时就这么多了，想起来再补充。
为什么苏州大学录取分数高的专业不是苏大的热门专业？,录取分数高的不一定是优势专业，但一定是热门专业。
老挝苏州大学是情况？,一句话，这是苏大唯一一件做的让我佩服的事。
中南大学和苏州大学的药学考研，选哪个？,苏大吧相对好考一些 17考研周围几个考中南都没进 当然如果你的有机分析特别好的话当我没说 本科期间没跟过实验发过文章 复试是没有任何优势的 慎重考虑吧
光学工程考研，纠结于华中科技大学，南开和苏州大学怎么办。哪一个性价比最高?,就学校，华科南开都是985，苏州大学是211。 就专业，华科和南开的光学工程专业排名比苏大高很多。
江苏科技大学、南通大学、苏州科技大学哪个更好呢？？,谢谢邀请！ 但是我是个工科生啊 ... 对文科选学校真不太了解。稍微说一点我们学校吧。 苏科大是由苏州城建环保学院和铁路师范学院合并的，去年从学院更名为大学，之前学校名字是学院的时候，只能说这个学校的性价比相对高一点，学历学位的含金量升值空间大一点吧，环境院建筑院和师范学院这仨是比较值得报的。但是更名为大学以后，招生情况具体怎么样还是需要更专业的人士来回答一下。 苏州城市确实不错，但是苏科大在城市的西南位置，不位于市中心，去观前和平江路坐公交要一个多小时，不过最近开了地铁四号线，地铁三号线也在建，估计到时候会方便点吧。  选学校真的是件蛮头大的事，不过用我男票的话来说，高考报志愿真的是阴差阳错，也许最后的结果就是最好的安排啦。 你可以关注微博上一个博主叫 董巍峰，如果对我们学校感兴趣可以微博上问他，他是个很活泼的一个大叔，最近一直在回答考生的报考问题。  就酱。。。。。  更新一个，  https://  m.weibo.cn/1920610033/4  124572112827153       董叔的微博问答传送门 
2019级上海考生考苏州大学的难度有多大？,不请自来。我和你情况相同，是某不知名市重点学生，今年高三毕业。平常成绩中下游，偶尔班级前十。我认为苏州大学与上海大学分数线与水平相仿，但考虑到人脉与资源的问题强烈建议你留在上大。 与学习相关的话，我平时学习成绩非常一般，基本上大水平，但这次高考却考了前四千，我认为在每个阶段都要做好规划，尤其不能小看等级考与英语一考，要做好准备。高考并没有想象中难，要重视基础，放好心态。祝你取得好成绩！    对了，苏大的话，我认为水平大概在你们学校中游的水平就可以了。但是强烈建议你不能满足于当前状态，应该冲击清北复交等一流大学，高中的学习尤其在上海是非常简单的，这可能是你一生中最好的机会了。
如何看待苏州大学自然指数的快速上升？,利益相关：苏大医学部  爪机在自习教室编辑，背了一天的书，咬字不清，排版困难，见谅  ……………………………………  砸钱，虽然换了个校长，前任往学校拉人可一点都不心疼钱的问题。科研是一件有惯性的事，来了这边会照样出文章。 当然了，那么多钱离不开苏州市政府，作为一个GDP超省会50%的地级市，苏州也就一所将就拿的出手的高校，再给那些人出个文凭，交易达成，双赢。 现在苏大还欠一屁股债，不过看独墅湖校区二期前段时间又打下几根桩，目前应该不差钱。 我一直觉得苏大出现在公众视野一般都是招黑，往前推十年，甚至现在，她的名声仍然处于江苏师范学院的尴尬地位，大家普遍觉得很多名号她是不配或者没有足够的实力拥有的，是啊，有时我也会这么觉得，凭什么呢对吧，但是，砸钱说的好听点是对知识分子的渴求，我有资源有实验室有区位优势，放下姿态，诚聘天下人才。 苏大是一群很普通的内地高校，慢慢发展吧，这些排名太局限，在我眼里，她永远是那所美丽，端庄的高校…  눈_눈我想吐槽过程性考核这种东西，开学到现在一直在考试和备考状态，临床苦点也不能这样玩啊…
苏州大学的宿舍条件是怎样的？, 不同专业在不同校区， 竣工有早晚，条件不一样 ，条件最好的是竣工最晚的独墅湖二期，偏文的院系在那个区  ps当年想考本校区的光电学部来着，后来知道本校区住宿条件太差了…而且不如独墅湖妹子多 
苏州大学文正学院招收辽宁学生么？,请登录  http://  202.195.143.200/default  .php?mod=c&amp;s=ss34c3f5a      查阅招生简章，谢谢！
江苏考生，苏州大学or复读？理想大学是厦大。,江苏大学和苏州大学差蛮多的。。。。苏大分数最高的商学院分数不比厦大低
在苏州大学医学部就读是怎样一番体验？,谢邀～  苏大医学部比较厉害的是血液，放射等 宿舍的话   医学生现在独墅湖校区待两年半，宿舍确实好的 ，不过后面一年半搬去本部上课，宿舍条件相对差，学医的就呆在自习室好好背书吧        学习优秀奖  综合奖没有奖学金    不过有出国交流奖学金，捐赠奖学金     种类很多  金额也还可以 苏大风景好的，秋天来苏大，保证美到你～
如何评价苏州大学新任校长熊思东？,这位熊校长上台之后，校内莫名其妙刮起一股个人崇拜风，以前朱秀林就没有。（不过朱秀林在位时，因其文盲，恶评挺多）  不知道是不是社会环境上某种思潮复辟（看着某包、某普笑呵呵），实在想不出熊老师何德何能能让一所大学搞起个人崇拜。请注意，是个人崇拜。当然了，目前好像全国都这风气，连隔壁交大都一股恶臭，小小苏大如何幸免。  我反对任何形式的个人崇拜，只有愚民才搞个人崇拜。  然后，熊老师的学历和科研履历等硬件在苏大历任校长中并不算出色的。  而且除了改了作息时间这种无关痛痒的也就让一群本科生蹦哒蹦哒高兴一下的事，也没做什么让苏大更一流的事。  最后，有个非常残酷的消息：苏州大学校长职位是一个往南京或上海跳更高级别高校职务的绝佳跳板。  还有一个，熊老师没有在苏州买房，玩两年就走。
请问有没有苏州大学法学研究生的师哥师姐啊？,哈哈你也要考苏大法学院啊，我也是哎
历年苏州大学文正学院对江苏考生的录取要求分数线和小科成绩是多少？,谢邀！ 文正要求bc 而且分数线要求是现在的二本线上20以上
苏州大学法硕还是学硕？,考研选择上，建议考学硕，学硕比法硕难。   司考和考研一起准备，学习量大，压力大，我身边的同学能成功的几乎没有几个，但是我们毕业那年，同班同学司考和吉大民商一起备考，他报了考研班，没有报司考班，周六周日就去学英语，平时学司法考试，司考结束之后看考研，最后双赢啊。所以成功是可能的，你得努力啊。    考研方面，我没有成功经验，现在也是备考，一直在看英语，从二月份就开始用扇贝背考研单词，计划五一回去以后一天一篇阅读理解，六一以后开始看专业书，九月以后背专业书。    司考考试成绩不高，只是按部就班的看厚大强化阶段，一直只看强化阶段，然后做真题，背书。你是法本的，那么你对司考应该很熟悉了，也知道司考各科选择哪位考试。我觉得我在备考过程中，唯一觉得自己很受益的就是，我从七月份开始，每天早上五点多起来就开始背诉讼法，背到七八点，然后去上班，个人觉得民诉，行政挺容易得分的，刑事诉讼法不好背，也不知道怎么回事，背完也记不住，我就喜欢民事诉讼法。
关于苏州大学海外教育学院，那是个什么性质的学校？, 民办的教育培训机构 
荒废了高二的上学期，想考苏州大学，下一步应该怎样努力？,我的理想大学也是苏州大学，一名河南考生，算是三线城市吧。一所普通高中，和你处于统一位置，我学习很刻苦，（自以为）期末考试510。和你还有很大的差距，连你都...                我也是很有梦想的人哟
苏州大学心理学专业在湖北分数？,QAQ就没有人能告诉我吗？
兰州理工大学和苏州科技大学哪个好？,表示没听过苏州科技  别喷我
兰州大学与苏州大学相比怎么样？,硬实力，兰大 环境区位条件，苏大 个人倾向兰大，985.211不说，百年老校，而且环境也并非特别差，适合安安静静的做学问。吾校虽瘦，必肥华夏
苏州大学日语系安排出国吗？, 每年会有一次去日本参学的机会   需要通过校内层层赛选 评比    需要专业强些的  加油    
中南财经政法大学和苏州大学法学研究生？,山东还是考山大吧 中南财辐射华中与华南 苏大主要就是江苏省内吧而且在江苏法学高校中还没有绝对优势 前面有南师大南大 苏州又离上海太近被华政压着 
在苏州大学独墅湖校区就读是怎样一番体验？, 校长万寿无疆，把一堆文科院系跟材化部放一块儿.         你看看这男女比例，堪比师范大学啊，做梦都笑出声啊！  然而我还是找不到女朋友= = 
2017年江苏考生文科355排名4000 AA+能上苏州大学吗？,我也是江苏文科，去年高考，据我所知文科3000以内可以报，不过你可以试一试。
在苏州大学上学有什么优势？, 谢邀！正好苏大毕业的，来答一下。  苏大我个人感觉谈不上什么顶级，但是地处苏州，环境优雅，书香气息，紧靠上海，在最发达的长三角地区，这些都算是得天独厚的条件。  苏大秉承着苏州特有的园林，文化等气质，还是能熏陶一下的。  苏大也有自己的一些特色，题主不如直接官网，我就不说了。  最后，帅哥美女也不少。  先想起来这么多，有什么可以提问，赶着下班先。 
会计专硕考研，在南京财经大学和苏州大学应该选哪一个？,建议苏大，211提供的平台还是很宽广的。
有个苏州大学的女朋友是种怎样的体验？,在苏大外国语学院第四年了，可还是回答不了这个问题。——比悲伤更悲伤的故事  2016.10.20 在文学院的第一年，在苏州大学的第五年，依旧回答不了这个问题。
关于苏州大学转专业问题？,谢邀。  虽然我不大了解但还是就我知道的情况认真地回答一下，如果对你有帮助就更好了么么哒。  苏大数学科学学院大一分数学大类（到大二会让你选择计算机方向还是纯数学方向）、数学师范、统计和金融数学。你说你被数学系录取不知道你是哪个专业？如果是数学大类又想走计算机方向，到时候直接选计算机就好了？毕竟我听他们计院的人说就算考研想考计算机的，本科数学的也要比纯计算机的更受导师欢迎。  然后说转专业的事吧。在数科院里面各个专业还是很好转的，大二的时候会给你一次机会，你要做的就是学好自己专业的课的同时，打听想转专业的专业课，自学，到时候有个考试，过了就可以了。但如果你想转的专业很热门，有很多同学想转（像当时好多其他专业的想转我们金融数学，但只接受三个转专业名额）就需要你专业课成绩的排名了。跨学院转专业的话好像没听说过，估计不太容易吧。但说真的估计你在大学待个一年你对于学什么专业也就不是那么执着了⋯⋯还是祝福你，苏大欢迎你啊，小学妹！
东南大学苏州软件学院软件工程专硕考研难度？, 去我写的经验贴看吧  微信公众号   计算机考研经 ！ 
苏州大学的工科专业怎么样？,只能说还可以，肯定比不上南理南航那种专业工科院校，但工科该学的他都教，就业率近些年一直是100%，出来还是靠自己的–在校工科生
苏州大学的建筑规划专业怎么样啊，和西交利物浦和苏州科技大学比呢？,苏州科技学院学校三流，专业二流靠后，学生基本自学，老师没水平只会内斗，专业上强调美术表达和效果，设计基本不管。总之就是个街道办的美术职业学校。  除非考研和出国，基本出来就是混迹底层，没有出路
苏州大学的金融学怎么样？,是省级重点学科，在苏州很好找工作，去外省的话就不了解了。金融是苏大文科分数最高的专业，分数可以上诸多985。
苏州大学可以主修市场营销再修一门朝鲜语吗？,作为一名即将毕业的苏大商院的大四狗，我可以回答一下。市场营销在苏州大学是一个二本专业，由于是照顾当地学生，市场营销同另外一个二本专业电子商务只招收江苏省内的考生。两个专业虽然是二本，但是由于都是隶属于东吴商学院，所以教学资源都还是不错的，就业也都挺好。苏州大学2015年开放的双学位专业有法学，计算机科学与技术，工商管理，国际经济与贸易，行政管理，新闻学，教育学，应用心理学和生物科学，而且根据往年的招生简章，苏大也从未开设过韩语的双学位。
想考苏州大学心理学学硕，但是自主命题听起来特慌，求往年真题啊~~？, 往年真题市场上一般是看不到的  不过我这边有真题的分析，包含题型占比分值什么的，你需要的话可以联系我 
上海工程技术大学和苏州科技大学的美术专业哪个更好？,并不了解。建议你看一下他们的教学模式，比如工作室，导师制啥的。
苏州大学纺织服装学院与国美张江设计学院如何选择？, 你的综合信息了解主要是针对该两所院校的招生规模衡量的，这两所学院的师资、培养模式、院校风格和整体概况是不同的。国美作为全国排名前列的艺术类院校，大众的重心主要集中在其象山校区，虽然张江校区的设计也有一定程度上的认可，但是其综合实力和影响度当前依旧无法与杭州象山校区比拟；苏州大学当前其实是一个很好的选择，学术氛围浓厚，地标位置较好，无论是校园规模还是校园环境及学术力量在国内当前的考评中都占据了一定的位置，所以说作为一个综合类院校来说，其设计实力也是有目共睹的，如果针对你当前的疑惑，我建议是选择后者，希望能帮到你。 
苏州大学天赐庄校区为何不对非苏大学生开放？,清华非节假日不开放，北大只有一个门可以凭身份证可登记进入，即使这样，校园里很多地方都是禁止参观的。  苏大也不是没有开放过，带来的是名声鹊起？  是鲜血淋漓的惨痛教训。  那些被损坏的名贵树植再无二致的，几百年的砖瓦少一片就永远缺失。老教室里旧时期的桌椅损坏掉就恢复不了，只能用木板代替。  图书馆有免刷卡借阅的书籍，还有近期青协的登记免费用伞，也只有在学校才能进行得井然有序，观前街如果搞个登记用伞，大概不超过一天，伞就杳无音讯了。  天赐庄校区女生人数超男生五六成，还有一所幼儿园。出一点差池，每个家庭都是经受不起的。  保安要整天站在校门口遭受不解，甚至遭受辱骂。  如今之举，都是建立在伤疤上。  故宫不靠剧组宣传文化，大学难道要游客来立口碑？  教授老师不好好搞研究，面对记者的围追堵截？学生人心惶惶？管理层整天开会处理各种事件？  这样的美誉，不要也罢。  这些，跟苏大是一所什么样的大学没有关系，跟苏州开不开放没有关系，跟你纳不纳税也没有关系。  要是实在喜欢，可以想办法过来工作学习，现在校园里多少人是冲着这片景而来。  少操教育局的心。  另外，一些节假日，凭学生证是可以进的。  食堂的菜物美价廉，只能刷校园卡，但是借卡很easy，苏大学生绝对友善。  校园是片净土，希望她尽量单纯。我想你对你的母校，对你未来子女的学习环境，都会抱有一样的想法。  以本部的规模，尚未达到可以容纳几万游客的地步。另一方面，上海某事件之后，周边地区对人流把控很严格，超过四五千就要启动安全预警了，不仅是苏大。    坦白说，当初若没有选择来苏大学习生活，我可能会与你出言一致。  所以，不同的角度看待事情的观点又会深刻些。如果你能见到那些值班到凌晨的医学院见习生。   如果你知道这里的一个班，可能有七成以上的学生会选择考研，考公务员，准备各种考试，每天在自习室里复习到深夜。 如果你去看一下物理楼实验室里亮着灯独自搞研究，以及体院夜跑的女生。 如此，在何种环境里就变得重要许多。   采取某些措施，只是一种管理手段，与学校本身的质量及文化并无太大联系，要知道我们是一群多么助人为乐的宝宝啊。你进不来可以找我们啊，随便翻下评论就一打。   也曾去过全国很多所高校，但是整体上来看他们的戒备心会强一些，借卡吃饭很困难，当然个人体验，可能我运气差。总之很难找到像苏大学校里，如此善良的宝宝们啦。   大学全面开放，实习资源共享，在我朝如今的社会环境下，只能说任重而道远。   认为进门查卡很难理解，那再告诉你一件过分的事情。校内停车，忘记拔钥匙或者锁车，随时都会被巡逻的保卫人员暂管，就是暂扣车辆到保卫处，学生凭校园卡，登记领取。 我算是那种比较马虎的人，有次钥匙忘记在琐上就去吃早饭，早饭吃了二十分钟，保卫人员真的等了我二十分钟，从此彻底治好了我的不拔钥匙病。   换而言之，在你们看来如此不妥的管理措施，为何对于大多数苏大在读学生的认同感却很强？   并没有所谓的一刀切懒政，反而会倾注更多的成本与责任。 这也许不是最好的方式，但这是让最多人受益的方式，这里的最多人，并不是指那些浮光掠影，到此一游的人。而是指，会在这里生活两年，四年，甚至更长久的，真正呵护她，给予她荣誉与活力的人，同时，也是最依赖她，需要从她身上获取安全感的人。   当你无法拿出更有说服力的方式来适应目前的状况时，请选择尊重，尊重这里的模式，那些更多在背后默默承受以及付出的人。   如果说现在苏大给外届贴的标签真的只有“不开放”，那么在学术研究，人文环境，人才输送等方面确实需要加强。   高抬贵嘴，卸下纳税人这口锅吧。也千万别扯到大陆与香港，两种问题从本质上无法相提并论。   秋天深了，苏大最好的季节也来了。  ----------------------------------------  至此，此贴不再赘述。
苏州大学还是北二外。选专业还是选学校？,北二外在读汉子一枚，希望可以提供点帮助。 如果你真的对外语方面有志向的话，并且对211没有情节的话，建议你来北二外。二外也是全国几所重点外语院校之一，专业方面更建议是翻译专业，翻译学院全是学霸，还有实验班（大一结束后进行选拔考试，全校学生都能参加），实验班的同学更是学霸里的学神。 学习氛围和师生关系都很好，老师里面有很多大牛，都有翻译一线工作的经验。而且由于是首都，区位优势能够获得更多的机会，我认识一个学姐就给奥委会主席做过翻译。翻译学院和美国蒙特雷高等翻译学院（美国著名翻译学院，产生过多名联合国译员，可以自己度娘哟～）等学校都开展交流合作。   英语专业无论在全国还是北京分数线都没有翻译专业高，而且学习氛围也相对次于翻译学院。英语专业学的很杂，从文学、国际政治再到翻译，什么都有。并且英语优秀的学生都考去翻译学院实验班了……（没有要黑的意思，两个学院的同学在成绩和学习热情在整体水平上确实有差距，英语学院也有非常用功的同学）  说完了优点再说说二外的缺点。 1. 不是211 这个完全看个人了，北京毕竟是一线城市，工作还是要靠能力说话，大部分公司对于求职者更看重能力。但一些地方机关单位可能有要求。最终还是取决你也没有211情节啦  2. 学术氛围淡，实践氛围重 这个可以既能说是优点也可以说是缺点。语言学科学术上做出成绩相对于理工科更加困难，因此学生对此热情较淡。 北二外的学生很多都是“精致的利己主义者”，不过这并不可耻，我们没有资格要求别人做圣人。很多学生大一就开始从事专业实习，也有不少创业的同学。本科结束后70%以上的同学都选择出国，考国内研究生的只是少数。  3. 男女比例 男女比例严重失调，1:3.5，经常走在学校里就我一个男生……如果是女生，只能说放正心态和祝你好运……如果是男生，颜值低脾气差没内涵举止猥琐的话还是别想了…… 二外妹子还是很要强的  4. 学校小 这个没什么好说的…但是临着中传，实在不行去隔壁找对象……  就酱，纯手打，有问题欢迎评论～
苏州大学与江苏省其他211类学校相比如何？,这个钩这么直，本来不想咬的，但想想没有人为母校洗白的，还是让我还是强行咬一波鱼钩吧O(∩_∩)O~  我想请问一下那些说苏大进门查卡不合理的同学。贵校有多少女生？而我校又有多少女生？你们可能不知道，社会上的某些闲散人员特别喜欢到学校里惹是生非呢。如果有学校保安认真地保护大家的话，我觉得其实也没什么不好的。更何况如果学生保护工作不到位，网上键盘侠们可不会承担责任，而是每天尽职的保安大叔承担责任呢。不管苏州治安再好，难免还是会有宵小之徒吧。这点保护措施还是必要的。  顺便说下用分数线来衡量学校排名是毫无意义的行为的说。你看虽然兰州大学录取分数线不高，可他的综合实力其实是很厉害的，只是因为它的地理位置一般，大家不大想去而已。再拿上海财经大学举例，上财录取分数线比很高的，可是它也不是理工科类强校，而是一所超级赞的财经类大学。  最后说一句，苏州大学是一所综合型大学哦。强行拿它与理工科大学的比较没有任何价值的。比如说之前大家一直在说的南航，南理工这类工科院校。你觉得他们设有多少理科专业？医科是什么水平？药学又是什么水平？在法学上又有何建树？每年能发表多少国际期刊文章？说到底大家各有所长，又何必厚此薄彼呢。。。  ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~我是没有任何价值的分割线 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ 我就想给你们看看某些专业上头条，还有致力于培养男女同学之间良性关系的大学，究竟能培养出素质多么高的学生(*^__^*)  
南京林业大学与苏州大学环艺的景观方向哪个更好？, 谢邀！单就两个学校对比的话，环艺景观毫无疑问是南林更好！园林景观类专业北林和南林都是国内前几的院校！ 
小女子现在十八，江苏师范大学小学教育专业大一学生，如何在十年内成为苏州大学的老师？,这是苏大在知乎上被黑得最狠的一次。
苏州大学MBA怎么样？排名好像不是很高，值得读吗？, 苏州大学211院校，苏州大学MBA无提前面试，淘汰率是在25% 左右   专业方向   金融管理、运营管理、战略管理、财务管理、国际商务、营销管理、人力资源管理等。      计划录取情况250（人）       苏州MBA的学费是10.5（万）      值不值得？  你要取决于你读MBA是为了什么。每年考更贵的MBA都有人考怎么会不值得呢？  上海交大高金MBA学费42.8万，交大安泰MBA32.8万，每年几千个人报考，你说他们会觉得值不？     打个比方，如果你不想往管理层方向发展，那么可能MBA不太适合你，做技术的想做的更专业，可以读工程硕士或者工程管理硕士，会更有利于自己的职业发展。  企业的管理层等企业上班的有用吗？有用，因为需要MBA这个东西，利用的到的就是值。     每个人情况不一样，这怎么去比较呢？  总之还是要看个人需求吧，在做到管理层的人大部分都需要MBA这个东西，这也是为什么现在来读MBA的人越来越多的原因。           当你的才华还撑不起你的野心时，那你就应该静下心来学习。 
大学生苏州旅游有什么推荐？,我也是大学生，一月份自由行去的苏州，三天两夜，住宿快捷酒店，民宿那些没有去找。苏州交通还可以，地铁只有还两条线，搭乘很便宜。 去苏州必定看园林了，苏州的很多景点门票都有学生证半价，推荐去的有虎丘，狮子林，留园，拙政园，山塘街也去一下，那边的江边夜景和白天都很漂亮。园林逛两三个就可以了，大同小异，我舅舅在那边工作，他说郊区的景色更美，有花海，有山有水，我有些遗憾没去看，因为很喜欢花。   
重庆大学数学系研究生PK苏州大学数学系研究生，该选哪一个？？,虽然我是重大的，但是就客观来讲，不推荐你去重大…重大作为985(普通)和211，主要是工科强一点，比如建筑，土木等，对于理科和文科相对来说还不如某些211。据我所知，苏大的数学系还是很有名的，当然实力也不差。现在的公司对于学校的排名应该不是那么太过看重了，而且苏大的名气应该会比重大高一点点(&gt;_
