请问怎么看待南开大学津南校区浴室的设计理念？,拐    弯    那两个喷头的位置已然告诉我们一切~~~~
如何看待2016年高考招生，同济大学全面超越南开大学？,目测是因为同济有空调，洗澡不会停水。
南开大学党政管理人员工资待遇怎么样？,前段时间我也看过这个招聘。工资待遇都是都是统一的，没得谈的啊。人事派遣还是编制会在招聘上写明的，没写就是编制内的。 题主应该是16届的学生是吧，其实这个没啥准备不准备的，如果你背景好，双985，在准备个行测啥的就够了。如果本科不好，即使准备了也不一定能让笔试。 
南开大学（八里台）附近有哪些有特色的约饭地点？,看你差钱不差钱了，以及想吃什么。 高端一点南门对面八段小厨、泰达会馆，西门外面西餐厅。 中等水平大概南门地锅城，西南村桃花源清雅饭庄（天津菜）。 低端水平就西南村，老陶包子老王豆皮儿，小区居民楼里也有很多神秘的小店。或者南门西南门坐95奔王顶堤CBD吧
南开大学国乐相声协会是一个什么样的相声团体？有什么有趣的故事分享给大家？, 2012年12月14日“国乐十周年”庆典相声剧专场    诸位可以看看这个视频，很多事就明白了 这也属于自己吹捧一下自己
16新生南开大学，调剂生物科学类，如何转物理专业（或数学...貌视不行）？,貌似回答的太晚了，但是数理化生这几个学科都是有伯苓班的，如果真的对物理感兴趣可以在大一入学时就参加伯苓班的面试，通过了就直接转了，不需要等一年。
南开大学津南校区哪里有安静的地方可以学习？,你好，为你的学习精神点赞！我是电光学院的博士生。电光学院的东楼（二食堂北边，牌子写的是计算机与控制学院的那个楼）是有自习教室的，三楼四楼都有。如果有门禁，可以尾随同学进入，没有人查的。在公共区域也有桌子和椅子。其他学院应该也有专门供学生自习的教室。
南开大学有空调吗？,1、老校区宿舍没有空调，据说现在在装，但还没有装好。 2、图书馆和教室都是有空调的。 3、见第一条。 4、先生已经不授课了，但偶尔会开讲座。 5、老校区很古朴恬淡，新校区很整齐划一，各有各的特点吧，不过我更喜欢老校区的环境。 6、物理学院还在老校区。 7、漂亮妹子有很多。
在南开大学学数学是一种怎样的体验？,在南开学习了两年的数学，算是具备发言权了吧。 我只说研究生阶段吧，毕竟本科没在这里读。研究生会有三个机构，数学学院，组合中心还有数学所。我就直说我所在的单位。  数学所的硬件还是很不错的。想着当年陈先生建造的是硬件设置世界一流的数学所，看着现在数学所的大楼和里面的配套设施。我觉得很大程度上是世界一流的。每个研究生都有自己的桌子，说是研究生4人一个办公室，博士研究生2人一个办公室，博士后1人一个办公室。四楼五楼是图书馆和期刊。查找资料方便，而且图书和期刊很全。很多没有购买电子版的期刊，都可以查到印刷版的。还算方便，但是复印的价格不便宜。毕竟是中国的大学，很多期刊是没有订阅的。（也不知道是什么原因，针对一些期刊，我特意问了其他大陆学校和香港的学校，都是没有电子版的，这时候只能求助海外留学生了。）图书馆的老师人都不错，去查资料和复印的话，老师的态度很好。  二楼是教室，工作时间可以去所里的办公室，跟老师申请教室来开讨论班，人数不限。这点也是非常好的，如果几个同学有兴趣讨论一个特定的内容，所里提供这样的条件还是很不错的。  当然，硬件方面也有不足的地方。就是计算机和网络设施没有跟上这个时代。数学所没有提供给学生的无线网络，需要自己设置无线网络，当然不是免费的（国内高校针对学生的网络都不是免费的）。数学所提供计算机的，但是计算机也是不能用的。当然，不是不能开机的不能用，而是其硬件设备已经跟不上这个时代了。这也是国内大学的通病吧，就是学校的网络和计算机的配套设置比较滞后。我曾在佐治亚理工交流过，在那里真是见到了好的网络和计算机服务。每个人有自己的帐号，可以在机房登录，登录之后会同步自己的设置和文件，并提供免费的打印和计算机方面的指导和维修。当然，他们的机器都是能用的。即，软件硬件是跟得上时代的。无线网络也是免费的（有可能包含在学费里，只不过不告知学生罢了）。  软件：这点还是国内领先的吧。虽然不及北大复旦那么多院士，长江学者/。但是，南开大学有三位数学学科的院士，两位院士在数学所，一位院士在组合中心。能跟院士读研究生是非常幸福的一件事情。数学所还经常有国内国际一流的专家过来做报告，虽然很多报告我都听不懂，但是所里提供这样的机会，还是很不错的，其中一些还是对我很有启发的。今年是所庆30周年，请了很多华人数学界的大牛，具体的可以看所的网站。    ———————————————————————— 数学所网站： 欢迎来到陈省身数学研究所   
南开大学语言类专业的就读体验？,首先孩子 北语北外南开 这不是一个层次的 起码在语言教学方面 看你放在一起谈 我可真是痛心 都高三了 想上什么学校 学校什么层次 什么要求 自己心里要有数 不谈北语 我了解的少 北外 要是想单纯学外语 学好一门外语 就去北外 非常好的环境 南开外院 比较尴尬 说弱吧 年年还招一二百人呢 也是不小的院 说强吧 就业时候可就非常让人摊手了 不过也还算可以吧 听老师话一步一步学的话 专四是可以过得 专八有好多人就没打算考 有个专四证也算没白学 是吧 我身边不少人拿外院当跳板了 准备转专业呢 学弟还是学妹 你自己衡量吧
厦门大学和南开大学的金融专硕如何选择？,我也是福建人，也在北京读的本科，你要是搞学术还是来南开，千山鸟飞绝的环境适合搞研究，要是就业就比较折腾了，京津来回跑，比较焦躁的还需要和导师躲猫猫。厦门生活条件好呀，校园美呀，还在市区内，不过这两年房价也长得厉害，还是来我开吧，南开欢迎你。
南开大学化学学院2016本科新生群号是多少？,南开大学化学学院2016级本科新生群 群号: 571469775  本届化学学院包含化学、应用化学、化学生物学、分子科学与工程（包括天大籍）四个专业。另同样欢迎材料学院材料化学专业同学的加入。 申请加入时请写明备注，如“2016级新生+省份+姓名+确认录取/未确认录取”。我们诚挚欢迎你们的到来！学长学姐们会耐心解答你们的问题的~ 顺便，这是官方唯一指定新生群哦，新生们注意不要被骗哦 from南开大学化学学院学生会
南开大学二主楼位置？,二主分A区和B区，B区在北侧，即靠近校医院的那一侧。 B区的1/2/3是从西边开始数，B402恰好是计算机教室。 就这么多了，实在不知道你想知道哪些内容。
山东大学在一些排行榜上是不是已经在南开大学后面了？,我之前以为那个“山东大学是不是已经排在南开前面了”的问题是我见过最能黑我开的问题了………直到我看见了这道题………
高一本线130分，去南开大学的计算机专业，亏不亏？, 南开的老师，不敢实名答。  分数上你是亏的，但是去不了清华的你来南开也还是不错的选择。 
南开大学工商管理大二分专业，长远来看是财务管理好些还是会计？,@何大神泻药被邀受宠若惊！ 既然是大神邀，必须认真答一发。作为2013级财管会计分数都够的同学，我毫不犹豫添了会计。关于个性的东西比如性别性格偏好家境未来规划等等真的不想说太多，只是想纠正一个观点吧，不是学财管就金融各个领域任你挑了，也不是学会计就完了只能一辈子安安分分当个小会计了。在职业选择方面，个性永远大于共性。比如我们的财管何大神，就是想干什么就能干什么。比如会计的我，学了如此专的东西，未来却想做与媒体有关的自由职业者。每个人都不同，想做的追求的都不一样。而且想干金融一行，考个CPA比你在这纠结专业的细差意义大多了。所以骚年，不必因为这方面纠结选什么了，想想别的利弊吧。祝顺利！
南开大学会对学生实施“思想绑架”吗？,辅导员：同学你姓啥？ 蒋同学：我姓蒋。 辅导员：哪个蒋？ 蒋同学：蒋颖的蒋。 辅导员：？ 蒋同学：金华候，中散大夫，车骑大将军，青州刺史！ 辅导员：…… 蒋同学：蒋琬的蒋。 辅导员：？ 蒋同学：蜀汉进尚书令，迁大将军，录尚书事，安阳亭候，接诸葛亮丞相位！ 辅导员：啊！诸葛亮！知道！你不是姓蒋么？ 蒋同学：蒋防的蒋。 辅导员：？ 蒋同学：唐大和年右拾遗，司封员外郎，谏议大夫，右补阙，加翰林学士，中书舍人，汀州刺史，连州刺史，袁州刺史！ 辅导员：…… 蒋同学：蒋浚明的蒋。 辅导员：？ 蒋同学：北宋中书平章事，赐金紫光禄大夫！ 辅导员：…… 蒋同学：蒋重珍的蒋。 辅导员：？ 蒋同学：南宋状元，集英殿修撰，安吉知州，代理刑部侍郎，为朝请大夫！ 辅导员：…… 蒋同学：蒋献的蒋。 辅导员：？ 蒋同学：大明洪武年间锦衣卫指挥使！ 辅导员：…… 蒋同学：蒋廷锡的蒋。 辅导员：？ 蒋同学：清康熙年进士，雍正年礼部侍郎，户部尚书，文华殿大学士，太子太傅！ 辅导员：…… 蒋同学：蒋介石的蒋。 辅导员：为什么一定是蒋介石的蒋呢？蒋雯丽，蒋勤勤，蒋大为，为什么一定是蒋介石呢？ 蒋同学：……  蒋同学与辅导员之间的对话，如与上文有一字之异，则题主您想多了。 如全文一字不差，则题主所言极是。
考南开大学法学硕士专业课如何准备？,本人17考研。南开的初试参考教材这几年都不公布了，我刚准备时也是茫然，不过信息还是可以找到的，可以上一些卖考研辅导教材的网站、淘宝搜你想报考的专业，一般都会列举出来对应专业的课本。但是注意对比不同的网站，有的年份较老了，后来可能换了课本。当然你要是认识南开硕士在读或本科在读的同学，甚至老师，直接问就好。 看到有人说知乎上南开的问题少，我也忍不住吐槽，南开式微似乎已成共识······
厦门大学经济学院经济系学硕和南开大学金融学硕如何选择？,谢邀，厦大的情况了解不多，南开金融在新成立的金融学院，至于传闻的保守和不开放，我想那已经是过去时了。考虑博士毕业后去券商基金工作，那么校友和业界圈子就很重要了。南开欢迎你。
南开大学和天津大学的高考分数线为什么下滑的如此厉害？,非引战不撕逼。  因为…他们在天津。  以河北省为例，我认为的实力伯仲之间的北理工，2015高考理科662提档线，天大651，南开656。  我丝毫不怀疑，如果天大或者南开在北京，分数线会提升10分，但是他们在天津，吸引力就会响应减小。  对于招生，最直观的影响是，在与实力对应的分数段的实际招生人数会小于理想招生人数，为了总体数字不得不把提档线下移。
在南开大学经济类专业就读硕士研究生是怎样一番体验？,我是南开的，刚刚被热醒了，回答完毕
保研想去南开大学化学，复试该做那些准备？,谢邀，不过我是本科生，不太好回答，我试着问问吧。*^_^*
南开大学商学院的愿景与使命是什么？如何理解？,谢邀。 第一问答案在官网上写着，不用问别人。 第二问没有标准答案。
南开大学考研中国古代史的参考书目有？,我也是的，听人家说是周一良的新编中国通史和王力的古代汉语
如何看待南开大学要扩招一倍学生？,如果真是这样，那有可能是南开大学想要圈钱圈地。 毕竟八里台那块地天津市政府看中很久了，搬津南之后，八里台校区共有学生3000人左右，人数过少，留不住那块地的。扩招以后，南开大学可以以人数过多不适合搬津南为由留住八里台校区，又可以通过扩招拿到更多教育经费，如果扩招更多本地生源的话还能获得天津市家长的好评，一举三得。 当然了，人数多也不是都好，人数多必然伴随学生水平的下滑，这就要看南开的老师和学生有没有智慧把南开办的又大又强了。 祝南开办的越来越好！
中山大学与南开大学的优劣势，及发展状况？（文科）？,首先文科就业本身就不如工科那么容易，作为一个文科生，今后就业怎么样最终还是看你自己的个人素质。当然，像中大和南开这样的学校，文科就业率基本都是百分之九十以上了(南开是这样，中大不清楚，但应该差不多)，单纯找工作应该没有问题，只是质量每个人都不同。 说到文科专业，我就讲讲南开的吧，南开有经济学，金融学，政治学，历史学，哲学，法学，汉语国际教育，汉语言文学，马克思主义，外国语，旅游管理，商学这么些专业，根据教育部的排名，绝大部分排名都非常靠前，你可以去百度一下那个排名表。但是华北这边空气质量很糟糕，而且北方伙食真的让南方人很不适应。我的建议是如果你能去中大的好专业，那还是去中大吧
在南开大学马克思主义教育学院就读是怎样一种体验？,1. 全校最小的学院，曾经卑微到尘埃里，现在受重视程度逐渐提升。 2.专业教师人很好，但有些老师精力没放在讲课上。傅佩缮、于丹、刘春雪、汪先全等老师讲课很好。 3.行政老师一塌糊涂，特别是教务处的老师。 4.大一大二活动很多，包括没有意义的活动。因为人少，每个人都有机会成为部长主任。 5.本科生出路还不错，保研20%，基本去清北人大南京浙大等等，考本院比较容易，还有若干出国的同学。工作的比较少。
南开大学有哪些学生喜欢吐槽的典故？,来几个跳楼的 经院高楼是跳楼最多的，因为它最高。南开没有一宿，因为跳楼t多，铲平了盖了个亭子，我们叫镇鬼亭或镇妖亭。 新开湖传说淹死过日本人，因为南开被日本人炸过。 再来点别的。 南开九宿没人住，传说闹鬼。 南开每天都播放课间操 南开是全国少有，世界罕见的四大洗脑课闭卷考试的学校。 我们的校长以前是天大的，就是在他的任内，南开和天大谁也没有合并学校。 天大和“世界一流学校”就隔一条马路。 南开内最常见的车牌就是带有NK的车牌。 19宿是个神秘的单位，虽然所有地图上都不表示，但是我就住在那里面。 二食堂一楼的餐具从来一层油。 就酱，想想再说。
天津南开大学附近有没有正宗汉中热面皮？,有，看来你是汉中老乡，不过不是热面皮，不过味道还不错，就在天津中医药大学，旁边的一个菜市场里面有，进菜市场的大门就能看见，招牌是“汉中凉皮”，女老板是汉中人，希望对你有帮助！ 
南开大学哲学系怎么样?, 南开大学，牌子挺好。南开的哲学，中哲马哲据说不错。  就业，哲学专业就是渣。  话说我高中的班主任兼政治老师是同济哲学专业毕业，带完我这一届，去了上海某研究所。 
南开大学2016年的招生简章和招生目录以及考试大纲发布了吗？, 2016年南开大学考研招生简章和招生目录以及考试大纲还没发布，应该会在9月中旬或者下旬发布，你可以参考下历年的，历年的话乐群南开已经发布过了，其实招生简章和招生目录每年的变化不大，变化的话也就是去掉或者增加几个专业而已。 
南开大学推荐免试研究生要当几年辅导员啊请问？？？,不同专业不一样啊╮（╯＿╰）╭ 我猜你想说行政保研，2+2或者2+3
有人在南开大学医学院上学吗?,要看你是哪儿的考生。  南开是综合类大学，985、211，医学院是其中的一个小院，历史不久，目前正处于上升期。  在天津，学医不得不提的话题：南开大学医学院VS天津医科大学 1⃣️基础科研水平，南开医学院好于天医，以前在的实验室有挺多天医的本科生考研来做实验的。 2⃣️临床医学水平，南开医学院逊于天医。自从南开有了附属医院，且军改后254医院可能会给南开，加上与301、一中心、人民等医院合作，未来的发展比较光明，毕竟牌子在那里。但是目前来看，天津的几大医院都在天医手里，短时间内南开还是赶不上天医的（除非合并了...不过不太可能） 3⃣️其他：凭借985综合类大学的平台，在南开学习，大学生活比较丰富，也能够认识很多不同专业的人，校园也是非常美丽，目前津南校区已经投入使用，衷心祝愿南开越来越好！  没错，你看出来了，我是NKer...
把南开大学叫成南大，有错吗？,司机师傅，我要去南开。 南开区哪里？
在南开大学经济学院学生会办公部工作是一种怎样的体验？, 你们经院学生会是想搞啥……  来自一个金院学生的怨念 
南京大学和南开大学怎么选择好？,南开大学的金融学，仅次于清北复交人上财这六所吧。 我推荐南开大学。 北京的金融圈，南开大学的牌子还是很响的。
南开大学有为lgbt服务的地下组织不？貌似没有官方组织？,请注意筛选知乎上有特色意义的回答！ ①【天津大学 南开大学 GAY群？】 匿名用户：天津大学+南开大学 学生同志群“小楼”系列同志群纳新，欢迎基友们加入！ 小楼群成立六年，以创建健康、和谐…    http://www.  zhihu.com/question/4745  8835/answer/106068873      ②【南开大学有LGBT有关的社团吗？】 匿名用户：利益相关 前社联某层干部。。。以及深柜表示如果申请通过的可能性为零。。。不对。。为负其实建立民间组织就好…    http://www.  zhihu.com/question/3671  6487/answer/68856720      ③我QQ里就加入了3个这种gay群！
南开大学的医学院水平如何？,南开大学医学院VS天津医科大学 1⃣️基础科研水平，南开医学院好于天医，以前在的实验室有挺多天医的本科生考研来做实验的。 2⃣️临床医学水平，南开医学院逊于天医。自从南开有了附属医院，且军改后254医院可能会给南开，加上与301、一中心、人民等医院合作，未来的发展比较光明，毕竟牌子在那里。但是目前来看，天津的几大医院都在天医手里，短时间内南开还是赶不上天医的（除非合并了...不过不太可能） 3⃣️其他：凭借985综合类大学的平台，在南开学习，大学生活比较丰富，也能够认识很多不同专业的人，校园也是非常美丽，目前津南校区已经投入使用，衷心祝愿南开越来越好！  没错，你看出来了，我是NKer...
如何评价南开大学2017年高考招生投档分数线遭遇崩盘？,天津市绝对难辞其咎。 南开现在三不管状态，资金匮乏，官僚化，一流的师资和学风，三流的行政体制。 像天津一样封闭保守，天津人蜜汁自信。 八里台的空调问题。一所高校，连学生基本的生活需求都难以满足，学生每天思考的问题是今晚上怎么睡着，而不是校友的为中华之崛起而读书。同样的问题，北师从改装线路到空调投入使用，一共花了三个月。  我很努力地学习，只是为了有资本在保研时不选择本校。 为了逃离这所城市，积攒了一身的戾气。  最后感谢在南开所有帮助过我的师长和挚友。
现在的南开大学新校区软硬件如何？, 无人应邀，只能自答。三月去南开大学津南校区复试，直观感受还行。走马观花，体会不深。没有看到很多之前知乎上有同学反映的施工质量问题，可能过了这么久也已经修复了吧，留学生公寓的独卫有用胶涂抹的瓷砖切割不均匀的墙角。专家公寓有WiFi，留学生公寓没有WiFi。食堂环境不错，东西蛮好吃。很多ofo，摩拜很少。 
南开大学数学系，想出国，？,现在大几?打算读什么?以后打算干嘛? 要想的事情还很多呢，光问知乎解决不了什么问题。建议多跟学长学姐交流，了解国外的学习生活
南开大学和天津大学这几年为什么下滑真么厉害？跟天津市的发展有关系吗？,11月29日更新  我写这个答案只是就最近两年来天南大的颓势作一些自己的看法，当然主要还是说天大的，无意去抹黑南开，也无意去引起两校的争端。我也没想到会引起极个别南开校友的反感（很多南开校友也是给我的答案点了赞同的），原答案就在下面我不作修改，大家仁者见仁。  文中我一共提到了南开两次，一次是说南开下滑确实要比天大严重，我相信这一点绝大多数都能认同，第二点只是一个段子，也是我平时和南开同学互相调侃的，就像南开的同学也会说天大离世界一流大学一墙之隔一样，如果你觉得这是故意抹黑我也没办法。  评论中有两位南开的校友，一开始我还是在和你们耐心地解释自己并没有去故意抹黑南开，没想到有一位竟然直接开始骂人父母了，以至于到后面我也有点失去理性，想想自己变成那样真的可怕，我也并不想就两校的问题多说什么， 如果你要是觉得我说的不对，可以自己开答案，何必要在我的答案下骂人？ 有一位骂人的话我很早之前就举报了，也被管理员删除，所以可能有些人并没有看到他是如何骂人的，相信被扣除友善度之后他自己那里也有提示。  评论区被两个人加上我搞得乌烟瘴气，所以我在这里关闭评论并删除以前的所有评论内容， 如果你有更好的看法，欢迎自己开答案，骂人不是一个好习惯，谢谢   ——————————————————————————————————————  不问是不是就问为什么。。。。  题主要以某民间排名为参考，天大确实下降厉害，都全国24了，出去连牛都吹不了，但是这样的排名，毕竟某校都全国第4了，呵呵一下就好。  要以教育部学科评估为参考，我还真看不出来天大哪里“下降厉害”了，不过隔壁上一轮学科评估确实比较惨，最近几年的录取线一直在下降，但是，录取线≠学校实力，单纯以录取线来评价学校好坏那是高中生的幼稚看法。  最近几年天南大的发展确实不尽如人意，但是远没有到“下降厉害”的程度，要说下降，隔壁是要比天大更明显的，毕竟隔壁有过清北复开的辉煌，咱实事求是，隔壁同学不要打我，我躲-_-||。  如果要找原因，只拿天大来说，我觉得有一下几点: 1，从未合并，错过了发展为综合性大学的机会，看看某些学校合并个医学院之后整体实力的提升。 2，错过了建新校区的浪潮，卫津路校区基本饱和，不利于学科的进一步扩大和发展。  3，对比武汉省对二校的支持，再看看天津市对天南大的做法，上学期，天津市长，代理书记黄兴国来天大讲话，说了这么一句话，部属的学校也是我们天津市的学校，我们要有这样的胸怀。。。。我真是日了狗了，你们以前把天南大当什么了。  4，学校的宣传太差，工科思维太深，听过这么一个笑话，有位老师用来对比天南大的学生，同样是在街上搀老太太过马路，天大的学生会说“不用谢，我们大学生做好事不留名”，而隔壁学生会说“不用谢，我们南开的学生做好事不留名”，更有人戏言，天大在一任任追求实事求是的校长的带领下名气越来越小，不注重宣传只会越来越没名气，虽然在行业内认可度高，但是家长考生谁知道你，另外，我校的公关能力我已无力吐槽，某次关于课外实践的政策居然能被媒体曲解后上了网易首页，还被我隔壁同学嘲笑好几天。  5，学生眼界太狭隘，校内一切唯成绩论，不说和上海的高校比，就拿隔壁的北京来说，同样的工科院校，一进校门完全就是截然不同的氛围，当然这也和天津这个城市整体过于保守有关，但是我倒觉得天大的这种保守有其好处，契合实事求是的校训，培养踏实做事的行业人才，不好之处就是天大的学生工作后在幕后默默奉献者多，但能站到行业领军地位的鲜有人在，尤其和隔壁对比就更明显。  但是无论怎样，我选择了天大就不会后悔，而且我一直坚信，天大是最契合我性格的地方。  最近几年李校长做的确实不错，这两年天大的计算机，机械，材料等学科进步很大，下一轮学科评估应该会有较大进步，以后如果能把通信，电子这方面的专业发展起来，配上本来就比较强的土建，化工，光工，仪器等方面，天大在工科方面的优势还是比较大的。  新校区3750亩土地，发展空间足够了，愿天大越来越好。  手机码字，吐槽半天，不知道有没有抓住重点，大家轻喷。
加入南开大学经济学院学生会文艺部工作会有什么样的感受？,谢邀。  加入文艺部的体验大概就是，我从未后悔过。 就像一场漫长的接力你接下了新的一棒，一本厚书翻开了新的篇章。 在这之前的整整十年里，我们都在搭建戏剧节的舞台。这将是你在大学生活里迎来的第一幕难以忘怀的故事，你是台下观众？你是台上演员？你是幕后英雄？台上台下，皆是人生，由你定夺，由你写就；而我们，帮你把梦搬到聚光灯下。 戏剧节、猜歌大赛、荣耀经典，活动的宣传与前期准备，参赛队伍的组织与通知，活动现场的事务与应急，从策划、宣传、物资准备，到邀请嘉宾、放票、彩排、演出的方方面面，都是文艺部的职责所在。你会学习知识，你会增长见识，你会遇到许多人，也许会和他们成为朋友，不论你们是否有相似的人生。仿佛在这之前的很多日子都是无声的等待，是“疲疲困困”，而“一旦有什么事情来了，你醒豁过来，白日里闪来了清晨”。  就在这里。 以上。
在南开大学八里台校区不装空调的宿舍里生活是怎样一种体验？,自己买个小风扇，能夹在床头的那种，还是很有用的，本科坐标十宿。
南开大学数学院应用数学精算方向？, 给敝院研究生办公室打一个电话就能解决的事没有必要放这里谈吧。 
南开大学失掉自信力了吗？,（引言三则，文责不负。） “南开的事体，我是不愿意冒昧说，冒昧管。现在我从各方面看，我说一句，实在是危险的很。”  “我是爱南开的，可是我看现在的南开趋向，是非要自绝于社会不可了。”  “南开校内的学生都可造就，并且极有热心毅力，校中却不拿真学问教他，弄的一个个都是空的。并且，校长近来人心大变，总是拿中国式的政治手腕办教育。“新”的一线生机，仅仅在于学生。校长方面是天天讲Democracy，可是样样事武断，闹的人心都离体了。”  二 从公开的文字上看起来：一年以前，我们总是自夸着南开大学津南校区，是事实；不久以后就不再自夸了，只希望这是“正常的问题”，请求“学生的体谅和理解”，是事实；现在是既不夸自己，也不求理解，改为一味的删除与遮盖。——却也是事实。 于是，我在怀疑，南开失掉自信力了吗？  三 在中国，大凡发生些新的事情，首先要考虑的就是影响，其次是宣传。如果说好，便是夸耀一倍，再夸耀一倍。如果是坏，假的就会严厉打击。万一不幸，是真的，无关于所说的内容，它会变成一个“宣传”问题。而或删除，或禁止，美其名曰：“控制影响。”  在校区建筑上的问题，我是不通。或许是“正常”，或许是“异常”。但是被提出来，又被压下去，应当是个异常。在成熟的政治者看来，这样的影响太坏，是些无知激愤学生牢骚的言语，是忽视了校方努力的偏激之词。 只是，南开从古以来，不乏埋头苦干的人，拼命硬干的人，为学生请命的人，但是还不至于有“舍身求法”的人……但在近日诸多问题上，我们看到了工友的辛苦努力，看到了学生的请命，看到了些不平的愤慨，当然能够让人删掉自己的文章，离“舍身求法”似乎也是不远。  一个学校，将近百年春秋，岂会因三两言语而颜面大跌？若言语假，不必理会或澄清说明，应当还不至于。若言语真，承认且改正，利用“宣传”让众人看到，应当也不至于。所谓颜面大跌，跌在政治思维的渗透，跌在自信力的丧失。  四 人们常说，大学是一个小的社会。但大学必定还不是社会。大学理应是能容纳书生意气和会被社会所嘲笑的天真。当一个人，二十岁左右年纪，被政治死死的框住，这要瞻前，那要顾后。纵论自家学校，说些可目睹的现状，就要被压制，就要被批评。那么他利己，他世故，他圆滑，他冷漠，他无梦想，他沉默，我们不难理解。 之后，他们学会了“自我保护”，学会了利用“体制”，更学会了关注“影响”，学会了将开水变温，学会了妥协，学会了“事不关己高高挂起”，盯着自己眼前的饭碗和粮食。外人会说：“呵，好一个精致的利己主义者。”  背后是扭曲的政治，缓慢的渗透。  五  南开长谈“立公增能”，大道之行者，天下为公。今日再有一人纵论家国，会被视为妄人，视为傻子，视为自大狂。起源者在于哪里？  如果有人说，他想吃生鸡蛋，就吃到了生鸡蛋，他下次就敢于说吃煎鸡蛋甚至炒鸡蛋。如果有人说，他想吃生鸡肉，得到了一个巴掌，他下次连鸡毛的梦想都不敢怀揣。  作为学校里的卑微者，学生连简单的议论都要被迫删掉，那么作为国家里的年轻者，后来者，能做的，管好鼻子下的嘴巴，只吃饭不说话就够了。因为他对于自己的话，自己的梦想，自己的志向，对于自己，没有自信力。  六 自信力的来源，是一点一滴的积累。公的志向，也不是几句口号就能树起。的确承受议论是需要自信和勇气的。人言可畏并非虚假。  但一所百年学校，数万之众，也可算驰名宇内，连自家学生的言语都无法接受，自信力的缺乏是到达顶点的，能给学生带来多少勇气和自信？如果连接受批评的自信都没有，那么如果说充盈着建设世界高水平大学的自信力，是否是一种自欺？  七 建筑的根基是需要牢固的，而今南开津南校区尚未动摇，不过一些小的纰漏。十年树木，百年树人。教育的根基也是需要牢固，没有自信力的支持，定不长久。直到有一天，南开也变得有确信，不自欺，遇到问题的第一反应不是回避，充盈着不竭的自信力，那么离她的目标也就不会太远了。  本来不想匿名的，迫于压力匿名了。
在南开大学附属高中就读是什么体会？,哈哈哈哈没人看也想答一发 无论哪方面都觉得配得起人性化这几个字  想说是个氛围很好的地方，也真的是离开了会很想念的地方。
山东大学是如何吊打南开大学的？,南开大学还没沦落到和山东大学比。
如何评价南开大学新校区图书馆设计？,清华关**，老了玩不转了。。。 本身清华的院士当选一部分是靠清华的地位，而本身水平不一定是数一数二。。。 他就不该掺和进来（斜眼看另元老多聪明），让年轻人去搞呗，搞不过也不丢人。搞成这个样子，有损名声。 大型鼓励奖一枚！
有没有人知道南开大学的梁静老师，读她的研究生怎么样？, 说实话，不管从日常相处还是从科研方面都并不太推荐，别问我为什么知道，陈军老师，程方益老师等同组的其他老师还都是挺不错的，虽然整个组都是很拼的状态，压力也不小，但是如果想在科研上做出点成绩，能和这些导师学习都是很不错的选择 
南开大学曾经达到过怎样的高度，又是如何衰落的？,南开最风光的时候是抗战时和清华北大组成西南联大，使人们有个印象是南开和清华北大似乎是一个级别的。周恩来是共和国元老中为数不多能和大学（而不是专科学校和军校）沾上边（事实上他只念了不到一年便退学了）的，所以他所就读的南开自然而然就长期成为人们心中的顶级名校。  综合来看学术与声望都最强的时期是50年代到文革前。50年代院系大调整时，天大的理学科系被抽调到南开，组成理学院，南开的学科设置大大丰富了（所以有种说法是南开能辉煌有天大很大功劳）。当然南开很的一些科系也被抽调走了，但整体上看南开还是得大于失的。  文革后，尤其是在八九十年代，南开复兴并稳步发展，很多科系在全国名列前茅甚至顶尖。比如陈省身坐镇的数学系，费孝通创建的社会学系，其他还有化学、物理、经济、金融、哲学等。这一段时期南开稳坐全国前八甚至前六（有说是仅次于清华北大的北方第三名校）。可以说达到了自身历史第二的高度。  九十年代中后期，全国高校合并大潮掀起。很遗憾，南开就是在这个阶段开始走下坡路的。先看看其它前二十名的大学：北大合并北医，复旦合并上医，上交合并上二医，中山合并中山医，川大合并华西医大，浙大合并杭大、浙医、浙农，山东大学合并山东医大、山东工大，华中科大合并同济医大、武汉城建，吉林大学合并白求恩医大、吉林工大、长春科大，武汉大学合并湖北医大、水利电力大、测绘科技大，中南合并湘雅、中南工大。。。反观南开，一直盛传合并天津医大但最后居然没成功。而和天大合并的传说更没有下文了。这对本来就规模小、医工弱的南开可以说是不小的打击。逆水行舟，不进则退。自此南开不仅被原先同级别的高校甩开，甚至还被几个原先不如它的但却合并成巨无霸大学反超。  合并大潮过后，南开基本没进过全国前十，前两年在某榜单居然排到了十六七名（当然排名也不全可信，但说的是一个大概趋势）。颓势已经显现，但是南开却一直没有想着弥补不足。南开在工科、医科这两个领域上可以说是相当弱。南开的医学院是和远在北京的301医院合作的，不伦不类的合作模式导致一种奇葩的存在，即堂堂南开的医学评级只有B-，甚至低于很多非211的地方性医大，更是被同城的天医甩开很多。工科嘛，更不用多说了，天大在旁边呢。  高教越来越注重在工科、医科的发展，而南开如果不能抓住机会大力弥补在这两个领域和其他985高校的差距，那就摆脱不了如今的颓势了。另外，南开缺少王牌专业，原先有化学、数学、金融、政治、历史。而现在，理学王牌鲜有能进前3甚至前5的，文科社科的优势和亮点越来越被弱化。
