偶是内蒙古工业大学滴电气专业，考研的性价比高吗，现在比较迷茫，呜呜?,利益相关：内蒙古工业电气本科在读～    ⊙︿⊙ 学习好，能考当然好啦，华电，哈工都有咱们考过去的(つд⊂)
从内蒙古到江南大学须知？, 大内蒙学弟学妹们，写这样一个入学攻略的原因很简单，就如同我建立老乡群，我希望每个离家两千多公里的人，能在刚刚来大学的时候就能找到家一样的感觉，至少有任何事都能有我们帮你一把，我和各位学长学姐会尽我们所能帮大家尽快融入大学生活。   江大内蒙老乡群：内蒙人发展联盟 242754391       （网上关于江南大学的衣食住行太多了，需要的话自己去查就好了，我这里按时间顺序。）    开学前一个月：    1.    订宾馆！如果爸妈要送你来学校，现在要做的就是赶紧订宾馆，我不知道提前一个月能不能订到，但是如果再晚是肯定订不到的，每次报道那几天学校周围的宾馆爆满，如果来了没地方住或住的离学校很远岂不是很尴尬。    宾馆信息：    a、   #  东门#     锦瑞大酒店    电话：0510-82210999    价格：250元左右（如果能借到江大的学生证可以按会员价打折，还是比较合适的）   （附近性价比最高的酒店，酒店舒适干净价格便宜楼下有很多吃饭的地方，出门就是地铁口，过马路就是江大东门，无论是在南区还是北区都适合，并且坐地铁去市中心很方便）   b  、#南门#     锦江之星    电话：0510-85321818    价格：300元左右    （ 就在江南南门对面，酒店往西面是一片饭店，是江大学生聚会常去的地方，味道都还可以但是价格不贵是来江大这一块地区所有人第一选择的酒店，因为快捷酒店大家都能查到，刚刚在网上看了一下，基本全部没有房间了，就留个电话碰碰运气打打看吧）   格林豪泰    电话：0510-85579998    价格：200元左右   （南门对面往东走到路口，再往南走一点就可以看到，环境就是一般快捷酒店的样子实在找不到就开百度地图）   润华大酒店    电话：0510-85616777    价格：300元左右   （如果以上酒店都没有房间了，并且你又住在南区，那就赶快订这个，环境还可以，就是地点离有点偏，酒店距离江大南门大约3公里左右，晚上那一片没有路灯有点黑，具体位置开百度地图）   尚客优快捷酒店（无锡太湖旗舰店）    电话： 0510-85180088    价格：250元左右   （地点在润华大酒店斜对面，同样离江大南门有点远大约4公里左右，打车10元，楼下有个中型超市，有吃饭的地方，只是到学校比较困难，打车也不太好打，可以滴滴叫车）   c  、#北门#    长广溪宾馆    电话：0510-68007888    价格：400元左右   （地点在校内，离桃园、李园、桂园、榴园公寓较近，因为是一个旅游酒店，所以环境一般而价格较高）        d  、#小东门#    格朗瑞特商务宾馆    电话：0510-85326668    价格：200元左右   （小东门过一条马路就是，楼下吃的很多，离北区、一食堂尤其的近，但是目前查询显示已经满房，它周围还有很多小的宾馆，可以网上查查，但是那些宾馆卫生条件就很差了，不推荐）   注：以上是离江大较近的几个宾馆，如果以上酒店全部满房，稍远一点选择就比较多了，如翰锦大酒店，距江大北门约30分钟步行路程，以及翰锦大酒店周围的一些小宾馆，如果实在没地方也是可以住住的，那边有华润万家大卖场，肯德基，必胜客等    2.    收拾行李   A、 如果觉得家里面的被褥比较舒服，但是又体型巨大不方便携带的话，我很建议邮寄，多去了解一下不同的快递公司，我记得有一年暑假用EMS往回邮了很多不穿的衣服之类的，挺大一包还挺沉的，一共60元，速度还可以，大概5到7天就能到。所以要是决定邮寄的话，在你出发去学校前的三天就去邮了它，基本上等你到了学校它正好到，不用怕没人接收，江南大学的快递都是放在北区的菜鸟驿站快递中心，可以帮你免费保管至少3天，到了学习用身份证或者学校发给你的一卡通去拿就好了，这绝对可以减轻你的旅途压力。（如果实在不放心，可以找群里面在学校的学长学姐帮你们代取一下）   江南大学邮寄地址：江苏省无锡市滨湖区 蠡湖大道1800号 江南大学 北区（或 南区）     （不管你宿舍在哪，只要填南北区就可以，基本都是送到北区快递超市的）   B、 在临出发前半个月左右，就要开始准备你的行李，买个28寸及以上的大箱子，以便能放下你需要的东西，同时再让你随行的人带一个26寸及以下的小箱子，方便你上大学之后出去玩儿或者回家带的东西不多的时候用，这样会很方便。（箱子一定买质量好的，假如在路上拉杆箱轮子断了，事儿不大但是真糟心）  建议你带的东西：   1.    冬、夏季的衣服、鞋子   a．你们来的时候无锡还是很热，而且很闷，基本上动一动就是一身汗，速干的衣服，防晒的衣服都不能少，而且务必多带几套换洗的，如果你刚来时候不适应这个天气，可能隔两个小时你的衣服就湿透了，又潮又闷，趁爸妈还在就让他们多替你在宾馆洗洗衣服吧，夏天的衣服也很薄多带一些无所谓。  b．冬天的衣服，务必带两件，无锡基本是没有秋季的，夏季和冬季无缝衔接，今天你还穿半袖，明天可能就要穿大衣了，这样的时候会发生在11月底左右，冬季衣服厚重，带几件看得上眼的不用太多，因为无锡的冬天温度不算低，但是有风有雨，这就很冷了，带一件抗风防雨的比带一件厚棉衣要实在，还有毛衣、薄棉裤最好各带一件，外面衣服不用很厚所以里面的就要厚一点。在内蒙可以外面很厚里面很薄，到了屋子里有暖气很暖和，这里没有暖气，穿着外套会热脱了会冷，所以里面的衣服要厚一点。（冬天衣服不用带太多，我发誓你们会买新衣服的。）  c．关于鞋子，在这里的夏天，人字拖，洞洞鞋比所有鞋子都实用，而且你都可以暂时不买拖鞋，在宿舍就可以穿人字拖。所以我的建议，箱子里面放上人字拖和洞洞鞋带上，穿一双运动鞋或者干脆直接传上洞洞鞋，其余的鞋子全部用邮寄的，跟被子褥子一起，等到去了学校再把其余要穿的取回宿舍。冬天的话因为温度不低，所以不是很冷，棉鞋可以不需要但是防水性能一定要好，毕竟这里的冬天一言不合就下雨，一下就是一星期。          2  ．床上用品（被子、褥子、床单、被罩、枕套、枕巾等）   a．关于被褥你有两种选择，一种是自备，那我的建议同上，就是邮过来省时省力，另一种是在学校买，具体价格不太清楚，这种选择会比较省事儿，但是质量一定没有自己带的好。刚到学校九月份还在夏天，所以带个夏凉被就可以了，不用太厚但是也不能太薄，空调被就可以且重量很轻。如果一个宿舍的非要开空调，且你的被子又很薄那你只有第二天拉肚子的份儿了。冬天的话，被子一定要厚，建议驼绒的被子，或者厚一点的棉被，很必要，不过这个可以到十一月中旬左右再邮来。不然在屋子里真的太冷，我们每次到了冬天回宿舍就很快钻被窝，因为潮所以刚进被子都是冷的。冬天略难过，不过在冷的话你们就该回家享受暖气了。             b．关于褥子，我的建议是从家带一个驼绒的褥子邮来，然后到十一月份中旬觉得冷了可以再去超市买个垫子，最好是带毛毡的那种，具体我也描述不清，到时要买的时候可以来问我，告诉你们买哪种，在一定程度上褥子的重要性要高于被子，下面一层顶上面三层。            c．关于床单被罩等等床上用品，还是建议从家带，一它不沉不占地方方便携带，二如果现买的话质量好的很贵所以真没有必要，所以床单、被罩、枕套、枕巾至少各两个，放在箱子里带来。枕头可以来了买也可以从家带这个随意。规格：江大的宿舍床都是2米乘1.2米，看好尺寸带床单。            d．其他床上用品：蚊帐、床帘、凉席               蚊帐必须要，九月份蚊子还不很猖狂，如果你觉得蚊子多的时候过去了，那你就输了，十月过了之后，你就知道什么是肆无忌惮惨无人道，所以蚊帐必须要，但是不要从家带，来了之后去超市买，大概30块钱，尺寸和床正合适。关于床帘，视个人情况从网上买，如果你喜欢私密一点的空间（尤其女生），可以上淘宝，大概16块钱一块，缺点是夏天用会比较闷。关于凉席，如果有需要直接去超市买就好了，大小合适价格不贵。别从家带又沉又不好拿，尺寸不对还很烦。   3.  日用品及杂物    a．   洗漱用品如牙刷、洗发水沐浴液、毛巾等等   这些小的但是需要品质的东西还是建议从家带，家里有的干嘛还要来超市花钱，而且质量好的还很贵，带上就好了。牙刷多带几只独立包装的，勤换着点儿；洗发水沐浴液什么的不愿意带可以来买，但是据我所知好像女生对这个要求比较高，还是带吧；毛巾多带几块，洗脸的、洗脚的、平时擦手的都分开。洗脸盆什么别带，来了买，后面会提到。   b．   必要的日用品：插线板至少两个、小电吹风等   现在电子产品这么多，宿舍的插口通常是不够用的，带一个插口多一点的插线板放在书桌上，电脑手机充电器平板都可以用，还有宿舍每个床位靠着的墙上都会有一个插口，但是距你睡觉的地方很远，我知道你们睡觉之前都会玩儿手机的，所以带一个两三个插口的小插线板从墙上连到枕头那是很必要的，晚上给手机充个电，在床上玩儿个电脑什么的，你会觉得相当方便。  电吹风尽管带就好了，江大宿舍的电是很强的， 别说电吹风了，我们在宿舍开着空调用电磁炉吃火锅什么的都不会跳，但是别太放肆毕竟是宿舍别被宿管查到，用电安全还是重要的，但是现在电水壶已经不算违禁电器了。   c．   小工具：钳子、螺丝刀、一小卷铁丝，两三个锁头、抹布   这些小工具，让爹妈帮你带上，到了宿舍难免有坏的地方，可以自己稍微修整一下。带铁丝的目的是当你安蚊帐的时候，说不定就会帮到你大忙的。锁头不用太大，毕竟有些贵重物品要锁在柜子里和抽屉里面，这么个小东西现买就没意思了。  关于抹布，你别嫌弃，空了一个假期的宿舍加上装修，你都想象不到里面有多少灰尘，包括你们上一届学长学姐的痕迹，去了之后满满的都是嫌弃，没有一块抹布，你觉得你应该用毛巾还是用纸巾呢？这点切记，别说我没提醒你们              d  ．学习用品：电脑、书包、笔袋和一些中性笔及笔芯   我们当时大一是不允许带电脑的，据说是怕影响学习，但是我把它归为学习用品是因为大一英语包括后面要选课都要用到电脑，上网选课之类的，所以还是带上吧，学校不会为难你。                书包的话大学没有那么多书，每次上课一两本就够了，学霸忽略。斜挎包会不舒服，还是双肩背是最实用的，什么都能装得下。女生的包应该不少，你们自己看着办，反正你们还会再买。毕竞江浙沪包邮且三天必到的这么方便的网购条件，你们等着剁手吧啊。                笔袋和中性笔还有笔芯能带就带点自己习惯用的，不然没有合适的笔就更不爱学习了。   d．   电子产品   这就不多说了，需要带啥你们比我清楚，手机、充电器、平板等等等等，你们随意。   出发前三天    1.    去把要邮寄的东西打包邮走，注意，一定要包好，塑料袋什么的里三层外三层包好，胶带纸什么的也别吝啬，因为要考虑到防水，不然万一到了江苏赶上一场暴雨，你指望快递员给你的被褥打个伞么？    2.    再去吃吃内蒙的好吃的，烤羊腿啊、涮羊肉啊、烤串啊、羊杂碎啊、炖牛肉啊，相信我，当你刚去的时候都在寻找无锡的美食，不到一个月，你会疯了一样想吃一顿羊肉。十一，你可以选择回家了。    出发去无锡    到达无锡有以下几个地方   1.   无锡站南广场  如果你是乘坐非动车或高铁到无锡，那你一定会到无锡站且是无锡站的南广场，南广场看起来比较破一点，因为还有一个新建的北广场在它旁边，但是北广场只收发高铁动车。南广场就不整修了，下车之后别对无锡失望，你就当人家是复古好了，出站后如果没有江大的大巴来接你，就自己坐地铁，也很方便问问车站工作人员，然后跟着指示牌就可以找到地铁，买地铁票到江南大学东门，5元一个人，大约40分钟，坐地铁一号线长广溪方向，倒数第二站，（中间会路过一站叫三阳广场，那里就是市中心，以后要是想逛我可以带你们去看看）。也可以打车，相对贵一点，大约50元，地下就有出租车上车点，找不到就问问工作人员，如果打车的话目的地就说江大南门或是江大北门，取决于你住在南区还是北区，一般校门都会有志愿者告诉你你宿舍的位置的，也可以提前联系群里的学长学姐有时间的去接你们。  2.   无锡站北广场  如果你们是提前出去玩儿了一圈，可能会做动车或者高铁，那么目的地一定要买在无锡站，别买无锡东，那个就远了。北广场出来一样可以找到接站或是做地铁或者坐出租车，价格和南广场一样。（其实就是一个地铁站，即一号线“火车站”站）不多说，需要接站还是提前联系群里的学长学姐就好。  3.   无锡东站  如果坐高铁或动车，尽量避免买到这个站，因为你需要从地铁二号线的底站坐到地铁一号线的倒数第二站，大约需要一个小时。如果是晚上，错过最后一班地铁10:30分，就只能打车回学校，80到100元，黑车更贵。  4.   无锡硕放机场  地铁也没通，打车100元左右，没去过也不知道。别问我，我也不会去接你的！选择飞机通常都是飞到上海虹桥然后站内倒高铁回无锡。   已经到了无锡    1.    这里就只说地铁到达，一号线江南大学站下车 ，如果你们需要吃饭，就从2号出口出来，旁边就是星光广场，有很多吃饭的地方，吃完之后西面过马路就是江南大学；如果不吃饭，从1b出口出，继续往南走，就会看到江南大学的东大门，门口有志愿者，直接询问相关的宿舍位置就好了，相信一路上都会有人帮你们。   2.    跋山涉水到了宿舍， 通常在你所在楼栋的一楼大厅报你的名字和宿舍就会有钥匙和床号告诉你，床号是提前分好的，不用抢，就这样。到了宿舍先收拾一下，这时候空调应该都没开宿舍奇热无比，告诉你们个方法可以先把空调打开降降温，就是把空调连电（需要一个空调专用插座），然后打开空调盖，会有一个测试按钮，用笔芯可以打开，空调会以25度制冷效果运行，这只是临时措施，还是要赶快去南区后勤部租空调遥控器，这事儿要等你们宿舍都到齐了，均摊一下带钱去。   3.    接下来，北区的就要去一食堂去领饭卡和一些通知 ，尽快问你舍友要班级群的群号，大学几乎所有的通知除了短信就是扣扣群了，加进去否则会耽误很多事儿。   4.    领过饭卡之后里面会有100块钱 ，可以直接在食堂刷卡吃饭的，如果你爸妈都还没吃饭就可以在食堂解决了，该吃什么我不介绍了，反正你慢慢都会知道的。这个卡就是大学的一卡通，你吃饭、洗澡、打开水、借书、学院开门、园区门禁、学校门禁全要靠它，充钱的话有自助充钱的机器，应该在你们领饭卡的时候就会有说明书。   5.    据说这届你们没有发手机卡 ，如果需要领的话，你要尽快去营业厅，就中国移动那个小破营业厅人稍微多一点，基本排队就要2个小时以上了。能尽快去就尽快去。   6.    宿舍基本收拾妥当了 ，学校又暂时没什么安排，如果你有邮寄的包裹，且已经收到菜鸟驿站的短信了，就要去菜鸟驿站去取包裹，位置在小东门，这里强烈建议找个学长学姐带你们去，方便运输且了解一下取件流程。   7.    去超市，这里建议直接去北门欧尚超市 ，从北门出去过马路往东走，是博大摩登1930假日广场，里面有吃的也可以逛街，但目前你要先去欧尚超市，一楼是一些日用品，大概看看有没有需要的，主要要买的都在地下一层。主要买的东西：小型收纳箱、收纳袋、垃圾袋、卫生纸（卷纸、抽纸）、衣架（买质量好的）、水盆三个（洗脸、洗脚、洗衣服）、洗衣液或洗衣粉（每个园区都有洗衣房）、台灯（晚上会熄灯，但是不断电）、自己用的垃圾桶、水杯、暖水瓶、蚊帐、凉席、枕头（如果没从家带）、防潮袋、樟脑球，还有其他你们看到的觉得需要的。注意，有些东西你可以先不买，等到一个宿舍一起出来AA买：烧水壶或饮水机等公共设施。   8.    宿舍收拾妥当了，基本上一个宿舍的人也都来齐了，这时候你们要一起去买一些大家用的东西：   a．无线路由器（如果你们要用无线网的话）  b．网口分线器两个（一个宿舍就只有两个网口）  c．饮水机（不建议烧水壶，自来水烧出来的有味道不好喝，而且每个园区阿姨那里可以买桶装水，7块钱一桶）、  d．一起去租空调（两千左右，含400押金，就是租空调使用权，付钱之后给你一个遥控器，要用就必须去）  e．去移动或者营业厅办网，通常是和手机号绑定（这里小做一个广告，我有个自己的账号，因为现在在外面租房子所以不用了，你们如果谁要可以转卖给你们，20元一个月，不限时的移动宽带，买的月份多可以便宜点反正我也没法用）  f．建议你们一个宿舍一起去买自行车，务必别在学校买，学校的车子基本都是翻新的车子，特别贵而且质量特别差，直接去超市买就好了，别买太花哨的，基本在800左右，学校很大，车子很重要。电动车就算了，学校现在电动车都要上通行证，没有通行证的就拖走了，且不允许新上拍照了。江大目前是在逐步把电动车排除。      g．宿舍的一起去熟悉一下教学楼，北区基本会在一教上课，南区会在二教上课，里面的教室如果你刚去是很混乱的，不提前熟悉一下恐怕开始上课第一天第一节课必迟到。找个学长学姐带你们去熟悉一下教学楼是不错的选择。   9.  学校的事情安排妥当了，没什么事且离上课还有几天，带着爸妈逛逛吃吃。      a．手机里面必备两个软件：百度地图和无锡智慧公交（实时公交信息特别全）     b．学校周围有星光广场（吃饭）、海岸城、万象城可以逛街吃饭     c．市中心有苏宁广场、茂业、南禅寺、崇安寺步行街、南长街（百度地图搜目的地“运河古邑”）     d．美食：苏宁广场外婆家，三凤桥肉庄（去买了带走，别去它旁边的三凤桥大排档吃）无锡酱排、肉面筋、王兴记的小混沌，南禅寺美食街里面很多美食     e．多了我也想不起来了，还有什么想玩儿的就在群里面问吧   开学一周左右    1.    图书馆考试，别太紧张，就是一些很扯的知识，去图书馆机房考，考过了就可以借书了，没过也无所谓。    2.    好好学习，你们应该是有月考的，关于高数，我就是抱着轻松活泼的心态学了高数，期中考试46分，都已经是班里的高分了，该学习还是要学习，不用那么累，每天抽出来一小时，把高数什么的看看，你绝对要比好多人牛逼了。    3.    多在群里说说话，多在微信群说说话，我打算在十一放假之前组织一下新生聚会！                                                    2016.7.30    江南大学内蒙人发展联盟    群主 孙鹏飞  
应聘:内蒙古科技大学生应届生，求运营和商务渠道，北京坑？,求坑，联系微信15771255485
内蒙古大学的专科可以升到哪所大学的本科？,内蒙古大学没有专科
内蒙古工业大学机械电子工程专业如何？,内工大的机械制造是教育部特色专业，也是卓越工程师培养计划专业，机械电子工程稍微逊色，但是和机械制造是一个系的，差别不大。学校的王牌专业有：电气自动化、机械设计制造、土木工程、建筑学、化工等都不错。
红对勾讲与练区域地理答案（黄色书皮）内蒙古大学出版社。求答案？,我要整本书的答案
厦门大学在内蒙古招生人数？,谢邀。这个问题在阳光高考平台就可以找到。由于本人比较懒，就不给你找了
想去内蒙古上大学，但听说呼市挺乱的，是真的吗？,城市比较小，街道交通和卫生有些乱罢了，别的方面普通城市怎么样他也就怎么样
在内蒙古师范大学附属中学上学有怎样的回忆？,内蒙古师范大学附属中学     我们穿着红秋裤（秋季校服）不愿意换上蓝秋裤（夏季校服）  我们骄傲的享受着全市最便利的地理环境  附中东巷好像被我们承包了  学习好的不是书呆子还睿智  长的漂亮的永远是风口浪尖被人羡慕  甚至我们能让市政府为我们修一座天桥  这所学校的人有生机有活力有天生的骄傲气场  我们有三个授课部  汉授可人儿 蒙授严明 国际欢神  如果有一天你在内蒙古大学站下了车    回头看看就是我们的校园     不大   但是充满活力  爱你们  我的同学  我的老师    谢谢东巷鸡肉卷吉茂哥和鸭肠炒饭   还有无数小吃摊位………   建议题主改题目中的校名为内蒙古师大附中   哦对啦   nmsdfz这几个字母…………  有无数种译法      爱到深处自然黑
内蒙古财经大学怎么才可以转专业，看哪次考试成绩？,很简单，只要大一全面别挂科，评论绩点在72以上，有资格参加考试，语数英三科，能转到哪，就看你考多少了。很多人大一报的专业不怎么样，但是通过这一年学习，和最后的考试都转到了不错的会计，金融专业！
华东政法大学的政治学好考吗，和湖南师范大学比呢？还有华中师范大学，内蒙古大学?,华中师大政治学分分钟完爆那几所，查查教育部12年学科评估吧。
我想问一下内蒙古医科大学护理专业的研究生是不是只招全日制本科生？函授大学能不能报？,你哪所大学的呀
内蒙古大学有哪些比较好的文科专业？,内大文学与新闻传播学院不错，师资力量强，很有钱。设有汉语言文学、新闻学、编辑出版、播音主持等专业。可以考虑。
内蒙古 想上南方的大学想学法学 成绩 贴近一本线 去哪个大学比较好呢 ？,西南政法
2014高考比一本高十分，该如何选择一本？内蒙古大学、新疆大学之类比较偏远的学校是好的选择吗？,内蒙古大学的蒙语专业，那可是全球第一。 开个玩笑，个人不建议去边远地区的大学，城市资源和人脉资源比起发达城市差多了，很多地方你大学毕业之后根本就不想再待下去，想去发达城市就业，还得再花时间适应当地的生活。 个人一点愚见，仅供参考。 利益相关：边远地区大学毕业生，正寻求大城市就业苦逼者。
内蒙古大学满洲里分校怎么样？,可以的，毕业以后山本大佐送你们去诺门罕
内蒙古境内的大学学生考研成功是怎样一种体验？,和全国各地考研成功的学生体验相同，回答完毕。难道题主认为内蒙古的学生考研困难还是普遍考不上啊？内蒙古是中国的一部分，与其他省区一样，人才辈出，并无地域差别！无攻击意图，只是身为内蒙人，路过而已。
在内蒙古师范大学就读能转专业吗？有什么要求？,学习好就可以转。艺术生不可以
内蒙古大学行政管理专业考研参考科目书都有什么啊？,公共管理学，公共政策学，公共经济学，公共行政学
到外省读大学，面对人们对内蒙古的误会为什么一些学生总是不认真回答反驳？,傻逼太多，懒得回答
内蒙古2017届考生，男，省排名959，考虑同济大学，武汉大学，华中科技和北京邮电。去哪个？,内蒙13级考生。全自治区排名1500+多少不记得了。大概1600多? 华科计算机相关专业。报考专业只写了两个(软件工程，计算机科学与技术，拒绝调剂，尽最大发挥分数，补习备选)备选学校：北京邮电，大连理工，华科  报考时候有几个点要说下: 1. 北京有些高校在内蒙因为地理位置原因导致分数偏高性价比不高，同理南方部分高校也存在这种情况，因为地理位置原因分数略低，华科比较典型(个人经验) 2. 校区雷坑，北京地方就那么大，不一定挂个北京的名，校区就一定在北京。例如 北京理工大学良乡校区，北京邮电大学宏福校区，应该是有在那边呆个一两年回市区的，也有呆四年的，具体不清楚。 3. 对本科生而言，而且是想毕业直接工作的人来说，专业排名意义不是特别大。华科计算机还全球11呢(不吹不黑，我不大信）。  如其他人所说，选个985高校总是没错的。 武大华科如果说是工科的话首选华科，题主分数报计算机应该差不多，计算机毕业了工资也不会太少。可以考虑华科，有问题欢迎私信咨询。
内蒙古民族大学临床专业研究生好考嘛？,谢邀，我说我是蒙古大夫你不会真以为我是内蒙古的吧？
现在在填志愿，高出一本线35分，去立信还是内蒙古大学？,我也是。。。
内蒙考生一本线下20分可以上内蒙古师范大学吗？,能
我是内蒙古大学金融学的学生，考研考东北财经大学金融学学硕可以么？求有经验的人给点儿建议～？,不知道是学长还是学姐，我想问问内财大有独立卫生间吗
我的选择正确吗？在内蒙古大学和西安外国语大学之间选了后者？,求问，选了后者现在怎么样呢？
日语研究生内蒙古大学好还是云南大学好？,刚从内蒙古大学日语退学 这里全部是女生，偶尔几个男生 研究生一都是课程，研究生二，三基本就是实习的实习出国的出国，日语考试好多都是蒙古族，岁数60多的也挺多 出来还在内蒙就业吗？机会会不会很少啊 考虑到这个，索性。。。
内蒙古工业大学服装设计与工程专业怎么样？, 不用邀，本人16届毕业生，终于能碰到一个可以回答的了，你如果喜欢服装这个行业，不建议你来内工大，服装专业在内工大属于没人报的专业，都是被调剂过来的，整个轻纺学院90%都是被调剂来的。当初也是自己把自己作死了，被调剂学了个这。你喜欢服装这个行业可以去北服，东华，苏州这些学校，那些学校的服装专业在国内都可以说是前几的了。  如果你不幸被调剂了这个，大一好好学一年，保持高中的状态，专业前几可以申请换专业的，因为都是公共课，基本不涉及专业课，别像我，有机会调，自己懒得弄，以为毕业学啥都一样，又把自己作死了。如果你大一成绩不理想，就保持你的热情，好好珍惜大学时光吧，把你的激情投入到你喜欢的地方去，多锻炼锻炼自己，将来会有说不上的用处。千万不要无所事事，堕落。  至于毕业出来完全看你自己了，喜欢这个行业，肯定能在这个行业发展，打版，设计什么的都挺不错，但行业选择空间小，基本都在厂区，很少在市里。到现在我同学从事服装的很少，基本都跨行了，都是从零做起。你要知道，服装行业也大部分聚集在南方，北方也就一个鄂尔多斯算大企业了，这个也要自己考虑好，家庭因素也会影响自己的就业选择的。学了这个公务员考试，事业单位，只限制服装专业的，到现在没见过，之前好像能考监狱，现在好像也没有了，只能选择不限专业的了。四年后会是什么样子，很难说，也不一定这个行业会兴起，会有新的机遇，总之，加油吧，你的人生才刚刚开始，馅饼都是会掉在努力的人身上的。  当然，如果你家里是拆迁户，当我在放屁吧，工地还有砖，我得搬砖去了。 
内蒙古师范大学的二学位在天津承认吗？,不
青海大学，内蒙古大学这些政策性211真的不如一线或者准一线城市的普通一本吗？,这个是肯定的，你选的没有问题，这是为了她好，以后还要考研的，211的平台有优势，同时你说的也对，因为地区偏远可能眼界思维达不到北上广的，鱼和熊掌不可兼得啊。
求助 内蒙古大学本科生能考别的学校的研究生吗？, 参加研究生考试是个人行为，根据你自身的发展选择适合自己的院校，当然可以报考别的院校的研究生。同事，在报考别的院校的研究生的时候，一定要根据自身的能力，外加院校每年的招生需求，以及未来的发展来选择适合自己的院校。 
内蒙古大学、贵州大学、云南大学、海南大学？, 云南大学，不要选贵州大学。来自一个学姐的诚实建议。  之前去昆明玩过，昆明的交通比贵大好太多了。如何你希望自己的大学过得充实有意义，你会发现时间是个多么宝贵的财富。所以，交通很重要啊。  关于你选的专业，云南大学的计算机专业好不好我不知道，贵大的计算机还是很不错的，是贵州大学的老牌优势专业。但是由于贵大在搞通实教育，第一年不会学什么专业知识，并且阳明学院的管理有时候也是也是比较乱的。但是到了专业学院可能就会好很多了。  注意一点，贵大有个什么软件工程专业，一年的学费大概是1w+，好像说是和企业对接的，具体不是很清楚，可以去了解一下。  关于考研，我没有办法回答你，我也才来1年。 
内蒙古民族大学空乘专业是本科还是专科啊？,空乘是专科 旅游管理（空中乘务校企合作）是本科
内蒙古农业大学如何寄明信片？,去邮政买邮票，  如果明信片上有就不用啦   直接去邮局说你要寄明信片  就可以了    工作人员可能会让你投到邮局门口的邮筒里   也有可能帮你拿着  等送邮件的人来了给他。
内蒙古理科生347分能去哪些不是民办的本科大学？,和我分数差不多除了民办就专科
内蒙古大学和辽宁大学哪个好一点？知名度和就业前景哪个更好？,我是内蒙古人，对于这两所大学都不太了解，但是辽宁大学文科好像不错
如何看待内蒙古民族大学为了应付教育部审核性评估做的种种事情？,人们去饭店点菜，点完了觉得不好吃，不会去埋怨饭店做的咸了淡了。而是怨自己，选错了地方。  从上到下，里里外外，所有的东西一夜之间变成了新闻联播里的世界。 禁止抽烟喝酒， 禁止不文明行为， 上课不许玩手机。。。。。。    看着好像挺正常    那下面这些呢 食堂吃饭不许踩桌子腿 宿舍不许吃东西 垃圾桶不许有垃圾 桌子上不许摆东西 晚上七点到九点宿舍断电 出早操上晚自习  (借一个友校的海报吧，侵删)    八十六流大学，教学搞不上去，作弊比人家不知道高到哪里去了  不以提高高考分数为基础的素质教育都是耍流氓。 当初真的以为到了大学就不会再那么功利，可以学想学的东西。但是禁止作弊的民大这堂课给我们上的  我们啊，毕竟还是too young，sometimes naive 学校才是作弊的行家啊   冷静下来分析一下 你作为一个学生，学工办老师，导师都会制约着你，不允许你在这个专家进校期间出任何的问题，用出问题就下处分这样的手段恐吓着的同时，也打感情牌：出问题就是在给老师找麻烦啊，大家互相体谅体谅吧，熬过去这几天就好了。 再往上，我觉得可能校长开会的时候也是让大家都认真做好工作，迎接考察组的到来如何如何，必须严肃处理。 连坐可以的，从古至今，儒家强调最核心的观念就是与人为善，根深蒂固，就可以拿连坐控制人了。伤你自己利益，没问题。动我奶酪，你试试？  我在想难道学校这么下命令不怕学生们搞一个大新闻吗？尤其在这样一个自媒体影响下的时代。  不，学生不敢的，我们连QQ号都上交给学校过，网上的身份也不见得就是虚拟的。但凡学生个人被逮住发了有损学校形象的话，直接退学，这是学生手册和上大学第一天开会的时候就说明白的。退一万步讲，就算你的证据天衣无缝证明了民大是个屎学校，并非诽谤，必然也会曝光了你的直系老师说过的言论，这只会伤及你直系老师和自己的利益吧。学校大可以冠冕堂皇的说这是老师个人言论，与本校无关。何必呢？损人不利己，何况老师还是挺好的老师，也是被迫无奈而已～  罢了，你搞你的教学评估，我拿我的毕业证  要想看学生素质，去看看每天放学点的西拉木伦大街超市那个路口。 要想看老师素质，去用教室摄像头看看有人听课和没人听课的教学有多大差别。  你说专家组进校之前半年，就让全校人都知道他们的行程，难道他们真的是来找学校的毛病的吗？在科尔沁迎宾馆蒙古厅考察的？难道他们真的不知道这学校是什么样的吗？两万多人扯的这么大一张遮羞布，难道看不出问题来吗？   “我就算死了，钉在棺材里了，也要用腐朽的声音呐喊出……” “诶诶诶，那边呐喊那个，你毕业证还在我手里呢啊，注意你的言行，二十四字真言默念一遍！”  细思恐极        看着学校发给我们的材料里赫然写着四个大字： 以人为本 一时竟不知该笑还是该哭 最有趣的是，他们怎么说都是对的   想起那天老外问到，地上写的办证是什么意思？本想解释，但我发现并不能  (图为人大地铁站门口，想来天下乌鸦一般黑罢了)    “这是中国人的默契”
内蒙古大学2016年最低分是多少？,489
在内蒙古科技大学读书是怎样一番体验？,也许来时没感觉，一不小心四年就不见，走后却念念不忘
你们对内蒙古师范大学哲学系怎么看？,国内很罕见的既没有211名头也没有211实力但有哲学系的大学之一...
石河子大学、青海大学、宁夏大学、新疆大学、内蒙古大学、兰州大学哪个好？,这是我看到的知乎上黑兰大最狠的问题
