上海外国语大学自主招生流程？,初审 通过之后在6月笔试及面试
上海外国语大学的自主招生选专业只能选它给的几个专业吗？,必须的  顺便说一下志愿填报   选学校选专业这事说简单也简单（半小时都不用），说复杂也复杂（可以是一门课）  这个问题和跟很多因素都有关系，就看你看重哪个因素了。一般来说填报志愿最要注意三点，重要程度不分先后，因人而异。  1、城市（地域）：学校所在地城市对视野开阔，提高综合素质，特别是就业和保研有着重要的决定因素。为什么北上广成为就业地首选？为什么北上广部分211甚至一本也比部分外地985录取线还高，不就是地域优势吗。在北上广你可以获取更先进的理念，更广阔的视野，尤其是更多更方便的实习和保研机会。学IT就业地首选北京（其次是深广杭），学金融就业地首选上海（其次是京深）。  2、专业（地域）：如果你以读个好专业为第一目标，那么就不一定把目光放在北上广了。比如吉林大学的车辆工程，电子科技大学的信息工程，西南财经大学的金融学，山东大学的数学等专业都名列前茅，且分数不是太高，可以成为非北上广的选择。  3、毕业后的打算（未来规划）：这个容易被忽略，如果你毕业后考虑保研、出国、考研等，考虑综合类大学，偏远地区的985考研成为选择之一，比如兰大吉大川大等学校，这些学校的保研率和国外的知名度和认可度肯定比录取线超高的上财央财外经贸高很多。当然也要注意专业选择，理学基础类专业出国相对容易（数学 物理 化学 生化等）。如果想本科就业，那就选择专业性学校，比如财经类，工科类（特别是电子信息类）。两财一贸（上财央财外经贸）甚至南审、东财、江财、天财。两电一邮（成电西电北邮）甚至杭电，这类学校目前就业形势不错，起薪也挺高。  特别注意（理性看大学排名）：现在学校排名基本依据综合实力和学术能力等，有时候对部分本科就想就业的同学参考意义不是特别大。比如中南大学、吉林大学、山东大学、四川大学等排名很靠前（10—15），但是录取线却在25—35之间，为什么呢？因为这些学校门类齐全，比如文理法工农医都有，综合实力比较强，因此得分较高。但这些专业很多都是冷门，就业不太有优势，因此录取线不是特别高但排名很高。不过有一点害的还要注意，虽然这些学校录取线不太高，但优势专业录取线却依然很高，比如电气工程录取线为380分（江苏），机械工程可能才359分（江苏），所以不能因为最低录取线而轻视优势专业的录取线。  选专业这事说大可大（可以算是一门学问），说小可小（比如听邻居说谁学了什么专业不错就填了）。个人觉得虽然有那么一点点的运气成分，但如果想把握精确一些还是需要做一些功课的，可以划分步骤。  第一步就是了解有哪些专业（不一定都要了解，可以缩小范围在你感兴趣的范围内查询），这些专业大致学什么，干什么的。这里有个资料讲的有点参考价值。注意区分名字相近但其实差别很大的专业。   【选择专业】大学专业分类详解（非常非常重要！）（已发）     第二步就是确定方向（比如是财经 法学 管理等），确定这个主要依据几个因素  1、 本科是否就业：如果想本科就业，可以考虑实用性比较强的专业，比如会计、车辆工程、电气工程。如果是想深造和出国，可以考虑理学（指基础学科数学 物理等自然科学，大气科学等）这些专业相对来说申请学校容易些。  2、 个人秉性：比如如果热情活泼开放能吃苦可以考虑销售、管理类专业，如果内向，热爱技术可以考虑计算机 软工 电子类专业。女孩一般适合文科类专业，语言类也不错。  3、发展方向：比如将来想进高校研究所等，可以考虑理学类。  第三步了解具体专业（行业）  可以看看类似这种资料（知乎：不同行业的真实工作是怎样的）   不同行业的真实工作是怎样的？ - 调查类问题   我觉得做完这功课可以基本上对专业有个把握了，避免读了大坑专业，或者孩子完全不喜欢的学起来很痛苦还要转专业的专业（转专业也不容易的，不同学校要求不同）  以上为个人见解 仅供参考   更多信息关注公众号   老杨聊志愿填报和职业规划    
想要报考上海外国语大学学习语言在高中的时候应该报文科还是理科？,主要是一个门槛的问题，高考成绩是为了你能进上外，且之后对语言的学习没有太大关系。所以看你适合文科还是理科，自己哪一种排名高就学一种咯！ 英语很重要，上外都是全英文教学的。 最后，祝考上喜欢的学校！
在上海外国语大学就读是一种怎么样的体验？, 做为今年刚热气腾腾从上外滚出来的应届毕业生，对这个问题还是有很多感慨，遂怒答一记。  大前提：上外真心是个好学校，你可以看见很多专心于学术的老师和教授，有自己的人生理念和教育心得，以及对于学生真心的呵护和关爱。感谢大学四年来对我照顾有加的各位老师，遇到我这么混的学渣也是真心辛苦了。  至于读上外的体验嘛。（仅有学渣版）  1.上外本科在松江，是一个灰常美腻的校区，拍照凹造型绝佳去处。  2.江湖传说修了新校区之后就木有钱了，所以教室设施会经常缺个角漏个洞坏一下，习惯就好。  3.上外别称松江女子体育学院，体育成绩占奖学金较大比重，大一长跑考试累成狗。  4.大一大二每个学期15次晨跑打卡欢迎你。  5.学校小，脚快15分钟走完。  6.图书馆大厅是各国语言朗诵处，想安静要去阅览室/自习室。  7.图书馆拐角处不时会生长坐在那儿背书的萌妹子。  8.图书馆期末考试期间你是绝对占不到位置的。  9.白宫图书馆楼顶可以爬上去，此乃上外最高处，可一览大上外美景。（可惜我都没去过）  10.后来学校禁止登顶了，如何通过安保大叔为一大难关。  11.大一妹子到大四一般都变成了女神。（不服来辩）  12.很多很多妹子，很多很多美腿。  13.食堂……我们换个话题吧。  14.社团活动丰富多彩，只要你想得到的都有，没有的也可以自己建一个。  15.艺教是我最喜欢的社团，举办的活动都很高端大气上档次。  16.不喜欢喷上外学术氛围不好的说法。  17.学霸去安心读书，学渣去开森生活，自己的选择，不后悔就好  18.担心来上外觉得学术氛围不浓而影响自己学术的人，搞得学渣放清华就可以变学霸一样。  19.上外很多元化，无论你是什么样的人，都很包容。  20.哎呀，四年真的是转瞬即逝呢，在上外读书，其实是很好的体验呢。  21.起床，阳光明媚，走在美丽的校园，即使背书都很幸福。  22.Le vent se lève， il faut tenter de vivre!  23.四年课程很多，最后背的书，写的文稿，你都会忘掉。但是你会发现，你做了什么，你就成了什么。  24.学外语真的是很幸福的一件事。  25.虽然我学成了一个渣，但是不妨碍我对我们班各种学霸的葱白之情。  26.但是上外只是211，不是985。 忧桑- -  27.谈恋爱比较困难，僧多粥少。  28.但是读上外会自带上外debuffe，比如说上外的妹子都很好追啊，巴拉巴拉之类更多难听的都有。  29.但是上外buff更多呀，修炼三年之后知性气质美女有没有。  30.爱美是天性，sisuer就要又美又任性。  31.我葱白的一个妹子，会边洗衣服边敷面膜边听英语新闻。突然觉得还要男人做什么呀，每个妹子都可以是自己的super man。  32.毕业狗好怀念上外，那夕阳下的奔跑，是我逝去的青春呀。  33.军训不严，但一般都会晒得黑成狗。  34.今年去的学弟学妹们都可以享受到寝室空调的福利，为忍受了大松江四年寒风酷暑的自己掬一把辛酸泪。  35.大一一进校会发现很多失意的学霸妹子，都是考清华/北大/复旦/同济等等未遂的妹子的哀嚎。所以上外也算高考失意后备场（？）  36.大一一般会冲动报很多社团，交很多社费，然并卵。其实坚持一个爱好或社团四年你就可以牛牛哒！  37.会听到夹杂了各地地方口音的英语口语，并且，还纠正不过来。（自己早已崩溃）  38.每个地方的小伙伴都会觉得自己的家乡话离普通话的差距最小。  39.你肆不肆兰方银呀，肆的话分不清l n 就默默再次为自己掬一把辛酸泪吧。  40.食堂最好吃的早餐是葱油饼（不服再来辩）  41.以前有个拉面王子，不过现在拉面王子回老家娶媳妇了。  42.新闻传播学院的新传快递是校内最便捷的快递（严肃脸）  43.上面一条划掉。新传快递是新闻学院办的一份报纸，自我觉得它的风格以作死著称，因为背后有个萌萌哒的老师支持，屹立不倒，炒鸡喜欢。  44.每学期食堂门口都会有各种摆摊，有学校社团的，也有外界商家的。  45.体育会期间食堂门口甚至摆过卖瓜果蔬菜和衣物的摊点。  46.听说是为了方便老师下班买菜。  47.不过后来还是取缔了。  48.非英语专业基本英语靠自学，还要去考英语专四专八。  49.不吹不黑，考英语四六级基本没人认真准备，基本一遍就过。  50.很多小语种都有大三去交流一年的项目，竞争程度还好，基本上想去的人经过努力都去得了。  51.上外作为一所语言大学出国学习的机会还是很多的。事在人为。  52.日院是一个文化活动非常丰富的学院，每年也有日本文化交流周的活动，会开很多有趣的小店。我大学四年每年都去的，里面鬼屋做得很赞b(￣▽￣)d  53.交外之约。。。是一个很羞羞的活动（大雾）。其实就是联谊啦。把上外的妹子拉到上交玩，上交的汉纸负责骑自行车带妹子逛校园。听说也有找到真爱的呢。  54.上面一个活动听说源自于交外最著名的一对情侣：上交毕业的江某某主席和他的夫人上外的王某某女士。（妈蛋，我竟然因为这条被建议修改了。）  55.读小语种读到最后俩年会很迷茫。其实觉得自己除了基本掌握了一门语言，别无所长。  56.像我这种学渣会陷入很尴尬的境地：去直接做会议或者陪同翻译之类的，怕水平达不到。（怕一出校门就给母校丢脸）去找专业相关的其余工作，也十分尴尬。比如你去面试HR的职位，但是其实你根本没有相关的知识和经验。  57.所以如果不是决心考研和出国或者当大牛，大学假期期间一定要注重找实习。  58.其实现在市面上很多机构的翻译，上外的师生确实是看不上眼的。我法精老师表示很多连我们的作业都不如（大雾）。  59.找翻译，选上外。（安利一下）  60.因为我觉得上外的老师也好，同学也好，敢站出来的都是绝对有实力的。（骄傲脸）  61.因为作为像我这样的学渣为了维护母校脸面，是绝对不敢站出来的。  62.每个系的绩点差很大。像有的系就比较好考试，得分高，绩点高。有的系考试就难得一B，哭天喊地求跪过。  63.本校辅修很多，任君选择。会有很多外校同学选修上外的小语种。小语种一般课时紧，进度赶，老师不可能关注到每个学生的进度，且一节课容量大，需要课后费很多时间。对此只能说一句，真正能学出来的都是靠自己，要不要辅修，一定要自己真正想清楚。  64.看着大神或女神说着流利优美的法语/德语/日语/英语等等等等相信每个人的内心都是羡慕而励志的，YY着自己以后也能操着一口醇厚巴黎法语，相信自己很快就能变成高贵优雅（大雾）的翻译官。  65.其实要还是要相信很多大神都是在寝室边扣着脚丫子边背单词书背出来的。  66.其实，很庆幸读了上外，因为遇到值得尊重和景仰的老师。  67.同时，也很后悔读了上外，（抠鼻）或多或少读什么学校都会有一点遗憾吧。  68.妈蛋录取分数还那么高（泪目）。  69.不学高数我骄傲- -不过很多大一来得学弟学妹们秉承着高中一贯以来的优秀传统和自信心，在年轻荷尔蒙的刺激下，都会在毅然决然的选修高数，使得本校高数选修课长期为爆满状态。  70.选到高数的傲视群雄，没选到的哭天抢地。  71.这就是太年轻会犯下的错，绩点会告诉他们答案。  72.上外辅修还可以跨校选修。有复旦上交的金融新闻等很有名的系可以选修。  73.但是名额是有限的。于是小朋友们磨刀霍霍向猪羊，奋力争取这个很难得的名额。  74.不过，据我观察，所有成功报名的小朋友都没有坚持超过俩个学期，然后就没有然后了。  76.因为辅修是一个跨时两年的漫长过程，如果只是抱着学一点东西的心态，那么肯定不能一直坚持下来的。特别是跨校到复旦那块辅修的，就只能周六一早五点过起床，坐上外松江校车到虹口校区，然后从早上课上到晚，一天上完一周的课。选择这个的话，就意味着你以后所有的周六都没有了，所以半途而弃者十中八九。  77.喜大普奔，文汇路关了近两年的翰莘终于重新开业，并且还有小杨生煎和星巴克，这些将与淘点点一起承包上外学子的饭碗。  78.食堂今年更难吃了。  79.想着都在上外第五年了，也说说在上外读研的体验吧。毕竟也是相杀相爱五年了。  80.在上外读研的途径普遍来说无非就是保研和考研了。  81.保研是可以校内跨专业保的。  82.也可以参加国家援助项目或者参军之后保研。  83.当然，刷了三年撸的我除了丑和蠢一无所有，愤然只能考研。这就是一个漫长的故事了。  84.因为这不是讲述考上外的研的体验和过程的回答，就不细讲了。  85.上外研究生基本上所有非语种专业都是全英文授课。  86.全凭我察颜观色耳听八方来揣度外教极为丰富的口音之中隐含的意思。  87.研究生居住在比四教法学院更为偏僻的小别墅--的后面。  88.特别是以前的研究生研二会搬到虹口去，现在的研究生颇有三年都在松江大郊区默默长蘑菇的趋势。  89.总结来说上外研究生生活就是课少事闲作业多，没事抽空打打撸。  90.基本木有考试，就是期末写写四五十页的论文就好。  91.是忙是闲，全看个人。自由度颇高，导师也都蛮亲切友好。  92.妹子质量感觉综合了很多，类型丰富多了，不过学霸程度也陡然上升很多。这学期为了一个马克课上的小组作业，我们小组开了三次会议，小组长为此还熬夜准备讲稿。  93.表示有点怕怕的。内心其实也几多感慨。  94.在一群羚羊里面，即使是短脚小肥羊也会学着蹦哒几下了。  95.同时分分钟上演学霸逼死学渣事件：当好不容易做完某项作业，询问室友得知写了二十来页时，看看自己三页的成品，求问我的心理阴影面积。  96.老师都喜欢和你谈论思想和看法了，教学方式和本科有很大的不同，感觉这应该是研究生和本科生的普遍区别了。  97.然而每次写作业都要写自己的思想还是很头疼，时时刻刻看自己作业看见一个大写的蠢字。  98.话说最近考研分数也出来了，能不能进复试大家都有个谱了，话说我要不要再去答个上外考研的话题，给有需要的同学们分享一下上外极其充实精细（sang xin bing kuang）的复试环节呢？  99.说好的给大家准备的考研经验参考写在了我的文章里，点击进入我的个人主页可以查看。  100. 干货或许不是很多，只希望尽微薄之力，与大家多多交流，欢迎留言。 
想要从事口译工作该选择北京大学外国语学院还是上海外国语大学？,谢邀。个人和一些中国知名高校的高翻学院的老师和毕业生交流都觉得进入高翻看的往往是语言基本功，学习能力和潜力，即看看你到底有没有成为一名真正的会议口译的实力。很多人说做口译跟选秀做明星很像，要有一定的天资，对行业的兴趣，必不可少的努力还有一定的运气（有待商榷）。这是口译的情况。当然出国读书也是一个很好的打算。
上海外国语大学的冷门小语种怎么样?,谢邀 本人上外阿拉伯语今年毕业 选择了...继续读研 并不是因为找不到工作 是兴趣使然 同学们的工作都很好找的啊 首先上外的名牌还是挺好的，其次小语种专业的工作本来就挺好找的，第三阿拉伯语，在国家提出一带一路之后，沿线国家和中国的交流增多了，就会有很多企业前往这些国家设置分部之类的，所以对相应语言的需求也会增多，工作基本上是不愁的。 而且 又是在上海，工作真的挺好找的啦
上海外国语大学的英语申请怎么写？高三,谢邀。 不知道你是以什么方式申请，一般而言申请之前上外应该有列出相应要求吧。
男友在上海外国语大学，周围全是比我优秀的女生，他会移情别恋吗？,不优秀，也没在上海外国语待过… 就扯扯淡… 如果我有女朋友，我什么心理？ 当然是开心啦，别的女生和我有什么关系→_→ 又不是我女朋友…那有什么用？ 你就是你，世上只有一个你，又不是同一张试卷，考出来的成绩，才有优劣之分… 感情和人优秀不优秀并没有关系 甚至和外貌也没有关系… 容貌美丑，皆是皮下白骨，表象声色，又有什么分别？ 至于他会不会觉得你不如别的异性… 那便是个人的想法了，我们不知你喜欢的他，究竟如何，所以这个或许只有你自己知道了… 不过，不必如此不自信，每个人都各有特点，优点…毕竟人无完人嘛… 最后该怎么做？ 自然是提升自己… 一步步的完成自己想做的事情就行，不用心急，担心，每天做好自己的事情就行… 题主的问题，他会不会移情别恋… 这自然是他自己的问题… 你喜欢他，就去喜欢他…心意自然会传达到… 不让自己后悔的去喜欢 大概如此
上海外國語大學好還是南京大學外國語學院好？,上内地大学，从用简体字开始。
上海外国语大学有没有公开课？该去哪里找呢？,上海外国语大学新浪官方微博的置顶微博就有介绍呀。  上海外国语大学的微博     【西索关注】 #MOOC#    上海外国语大学首个国际性慕课《跨文化交际》于2015年在英国FutureLearn平台上线，授课一年来吸引了190多个国家和地区的15325名学员参与，快来点击图片查看我们取得了哪些成就吧。现在，第二轮授课又将开始啦，届时小编会发布更多注册资讯哦，欢迎关注！  Intercultural Communication   
上海外国语大学研究生院外语系每年大概会招多少研究生？,请关注上外研招官方主页。以及：上外没有外语系这个存在。
上海外国语大学的法律硕士怎么样？,同样作为上外法硕的一名学生，一楼的回答实在让我感到惊愕。很少有学生会去公开的诋毁自己的学校，自己的专业，这同时也是对自己的一种侮辱。不知道这位同学是否在学校遭受了什么非人的对待？或是找工作实习不顺，就摔锅专业不好？插句话，司考难道不都是自己准备，学校还要免费给你报个辅导班？这位同学不是学习能力有限，就是自理能力感人……上外法硕虽说是刚成立，可什么事情不都需要从头做起？上来就给你把全国法学大牛拉过来给你上课？你不知道自己当时考得是上外？如果你是调剂的，不感激上外给你一个211的机会，还在这里诋毁自己的母校？人品的问题真的不想说太多。再说专业，我真的很难理解一楼自比自己是小白鼠，一个研究生水平的人能这么想，可见其心智的水平。都到这个阶段了，无论学校给你安排的课程如何（何况法硕的课程都是国家统一规定的），你自己没办法安排好自己的学习进度，没有一个规划吗，还是想上中学一样等着老师给你布置作业？再谈院里，法硕作为法学院里唯一的研究生班级，一年也就几十个人，可以说是相当重视的，老师都是从华政等学校请来上课的，充分利用了上海极其周边的教育资源，院里也积极做好法律与外语的结合，提供了相当的实习和锻炼机会。别的不说，如果你本科是学习外语的话，来上外法硕绝对是一个明智的选择。长话短说吧，选择上外就要认清其优势和劣势。如果总是拿自己的劣势和别人的优势去对比，那就只能像一楼一样整天怨天尤人了~
我有考上上海外国语大学研究生的机会吗？,机会总是有的，虽然上外歧视外校报考的学生是很出名的。
上海外国语大学英语专业研究生有没有出国交流的机会？,您好谢邀 具体的情况我不是非常了解。 与北欧那边的合作应该不多吧
想问上海外国语大学的国际政治专业怎么样？偏向哪个方面？,上海外国语大学国际政治专业怎么样
上海外国语大学在河南不收英专的学生吗？,找其他院校呗
南京大学与上海外国语大学外语保送生 哪个学校是更好的选择？,读外语，我想不出来不去上海而去南京的理由。
上海外国语大学法学怎么样？,个人觉得还可以，在上外就业率不用担心，就业率一直是上外的招牌。很多人大二就开始实习，而且学校会经常组织一些社会实践活动。另外，出国交流项目也比较多，还有一些国外的留学生在上外求学，学校氛围自由开放，可以说这是一所散发着青春魅力的大学。
上海外国语大学的女生好相处吗？,有毒啊，，这问题太6了。。。
上海外国语大学的英语专业自考好考吗，还是考上海大学的项目管理？,其实这两个专业都有点全能手的意思，但是鉴于你是自考的，还是选择英语专业吧，学到的东西多点。至于项目管理，能找到很多资料的。
上海外国语大学的章玉贵院长结婚了吗？,院长的婚史不要太乱哦！好像现在第三任了吧
第一次问问题：欲在明年读MBA目前上海大学和上海外国语学校都已通过面试选择困难症了怎么办？, 关注学习和成长选上外，关注你说的那些选上大 
我和男友的目标都是上海外国语大学，但是上外优秀的女生那么多，他会喜欢上别人吗？,我是觉得，优秀的女生不仅仅是上外才有吧，还是很多的嘛，以后总是要遇上的。再说了，这也算是个外界驱动，你也努力变得更加优秀，就好了啊！
上海外国语大学转专业难吗？,你也说了16才开始可能允许转专业，我们之前的哪儿知道…
广东高三女是该选择汕头大学还是上海外国语大学？,广东省上外投档线比汕大高50多分，很难理解怎么有这样的疑问。
我通过上海外国语大学海外合作学院留学西班牙，这么一个选择 如何？,这个。。。处于半放羊状态。。。牌子很大，半个中国都在走他们的项目，不过服务实在是不够瞧。。。
上海外国语大学阿拉伯语专业？, 上海外国语大学阿拉伯语专业是上海外国语大学最好的专业，比德语、法语专业都要好很多，要成绩十分优秀才能进。 
上海大学外国语学院考研基英，文学，二外法语历年真题转出？,买买 QQ1309656557，这是我的联系方式
想从普通高中考去上海外国语大学，我该怎么做？,学习。
上海外国语大学日语系毕业在日本好就业吗？,先说结论： 中国大学日语系毕业生在日本并不容易就业。   首先定居日本（即 获得永住权 ）并不是那么容易的  永住者資格を与えられる要件    10年以上在留（日本への貢献が認められれば5年以上）  独立した生計を営むに足る資産または技能を有すること  その者の永住が日本国の利益に合致すること   即需要在日本 至少待5年 ，还要有能证明你能够 养活自己的资产或技能 。  那么其次，日语专业由于其特殊性，来日本就业（此处并不包含アルバイト）的话我想可以找日翻中的 翻译工作 或 中国语讲师 的工作。 此处问题就来了：   日本有多少能够担任翻译工作的中国人呢？  依据日本学生支援機構的调查：平成26年（2014年）在日的 中国留学生有94399人 。 这还没有加上劳务输出的中国人以及熟练掌握中文的日籍华人。   担任中国语讲师的资格问题  正规的、能给你提供就职签证的中国语学校大多需要求职者拥有 IPA国際公認漢語教師資格証 。  最后再谈谈大学学日语专业的问题。 如果不来日本，在国内教日语还是很吃香的，如果取得了一定水平的翻译资格，相信从事翻译行业也是很有前途的。但是到了日本就不一样，大家都会说日语，而你想必没有native speaker的日本人说的好。所以如果没有掌握一门非日语的技能，是很难养活自己的。
上海财经大学3+1和上海外国语大学贤达学院的3+1哪个更好啊！！！？,应该是上财吧 贤达好像只是上外隶属的一个二本院校 好像还听过什么贤达已经摘牌子走人的消息
上海外国语大学Wi-Fi密码？,你的学号and密码
上海外国语大学好考吗？,    让别人回答这种问题真的是勉为其难，难不难考的衡量标准在哪里？上海交大很难考吧，但是仍然有人觉得很容易，相反，有些人却连三本的水平都达不到，这种问题也就没有意义了。     分析几点吧：{     1、北上广的高校普遍门槛大，录取分数普遍偏高，也就是广义上的难考，这点是真的。然后你自己上面又说了， 感觉录取分也不是特别高 ，好考不好考不是学校之间比较的，像你所说的北航624还比北大分数低，能叫好考吗？好考不好考不是录取分数决定的，是由你目前的实力和录取最低要求的差距决定的，或者说你如果每次模考都能600分以上，那么，这不叫难考，你有这实力，高考时发挥正常就没问题，相反，你也能明白。总之， 差距只有自己知道 ；     2、你让我说小语种基础能有什么优势实在说不出来，限制倒是不少，很多专业不招收小语种考生。无论什么语言，都是一样的竞争情况，小语种和小语种的竞争，人数少，招生也少，高考难度和你是不是小语种没有关系，只和你学的好不好有关系，毕竟是选拔考试；     3、花销算比较大；     }  同时补充几点：{     _1、录取情况的参考不要拿往年分数作为参考，要以线差和录取位次作为参考，不然就是扯淡；     _2、还没上大学就想到毕业找个高薪酬的工作，作为学生可以有理想但是不能太功利，从政不从政也不是现在需要考虑的问题；     _3、另外，老是自称理科狗其实并不是很好听，贴吧坏习惯；     _4、少逛知乎多做题；     }
华东师范大学和上海外国语大学该选择哪个？,华师的就业比不上它的分数 如果是为了就业就选上外 如果是为了毕业后国内升造就选华师 对了 题主是男孩子（无论直弯）报上外都有巨大优势 女孩子还是去华师吧没准可以找个交大的好老公
杨浦区的上海外国语大学（虹口校区）和松江的校区有什么区别和联系？,虹口区的是老校区，因为校园比较小，自从实行扩招之后，虹口校区已经装不下那么多人了，于是就在松江建了一个新的校区，现在是本科生和研究生在用。虹口的那个校区就用来给外国留学生（留学生嫌松江太偏不愿过来 ）但是相比之下，还是松江的校区更大更漂亮！
安徽师范大学大二学生，想跨专业考研从应用化学到英语 是去上上海外国语还是去英国读研究生比较好？,你去英国读英语？雅思低于7.5免谈。还是考上外吧 学费便宜。
上海外国语大学复合型专业是怎么样的?,就是专业+语言。比如说 你读广告学，但是上外所有专业都采用专业英语教材，在大一下，你可以选择读双学位，即广告学+英语专业。
有人想报上海外国语大学的自考吗？, 有，就是不知道难不难，我看到网上说自考通过了不足5%，有点没自信，你报了吗？还请指点一二 
上海外国语大学可以从日语专业转到意大利语专业吗？,转专业从16年开始已经允许了，但是难度很大很大很大，建议你先选好专业，你要是想学另外一个语种，可以在大二的时候辅修本校的小语种，具体的问问招生老师～～
外校考上海外国语大学研究生二外可以选朝鲜语吗？,可以选的，我室友就是二外韩语。入学之后所有二外都要考试，考得好就不用继续学了。韩语因为学的人少，学校基本不开课。
