南京理工大学生活怎么样？,不怎么样
如何评价南京理工大学合成世界首个五唑阴离子盐？, 看春晚无聊翻science的时候，看见了两个大新闻。   一个是 金属氢 的转变的最新报道，此处暂且按下不表。  不过，其能量密度可能是目前可实现的含能材料中最高的一种，且可能有高温超导性。  详见：Observation of the Wigner-Huntington transition to metallic hydrogen  一点微小的工作： 如何评价 2017 年 1 月 26 日Science杂志报道哈佛团队成功制得固态金属氢？    另一个就是首个游离的五唑阴离子合成。  详见：Synthesis and characterization of the pentazolate anion cyclo-N5ˉ in (N5)6(H3O)3(NH4)4Cl  新华社报道：南京理工大学合成世界首个全氮阴离子盐-新华网   其下为 真 · 高能 正文  ================================================================   人类自从工业革命以来，对于高性能炸药的各方面需求就从未停止。19世纪，诺贝尔带来的巨大突破——硝酸甘油炸药(Dynamite)，在带来滚滚硝烟的同时，也大大加快了工业建设。Dynamite也成为英文中炸药(explosive)的代名词。   随着化学化工技术的发展，新一代炸药也应运而生。从三硝基甲苯(TNT)、苦味酸(PA)等芳香硝基化合物以及硝化纤维(NC)、硝化甘油(NG)、季戊四醇四硝酸酯(PETN)等硝酸酯类化合物为代表的传统炸药开始，通过数十年的努力，化学家发展了从环三亚甲基三硝基胺/黑索金(RDX)、环四亚甲基四硝基胺/奥克托今(HMX)等硝胺类化合物，直至最近的六硝基六氮杂异伍兹烷(HNIW/CL-20)、二氨基二硝基乙烯(FOX-7)、八硝基立方烷(ONC)等高密度高氮含量的化合物，和成熟的C4、Semtex等混合装药，以及GAP、PGN等高能推进剂，极大扩充了含能材料的范围。其中RDX和TNT及相关混合装药共同统治了炸药领域的半壁江山。   但现在，尽管科学技术大幅发展，基于 化学能 的含能材料已经到达了一个瓶颈。   含能化合物通过断开不稳定化学键并形成稳定的键，来释放分子所储存的势能，进而对外做功。而化学键键能从含能化合物中不稳定单键/双键的100~400 kJ/mol，到反应产物中稳定的双键600~700 kJ/mol，以及氮氮三键942 kJ/mol ( )或碳氧三键1072 kJ/mol (CO)，其间的能量差别较小。因此，想要获得跨数量级的威力，通过化学能来解决是几乎不可能的。目前，已知含能材料的最高猛度大概仅相当于TNT的180%上下。   当然，含能材料的威力与做功功率/ 猛度 有关，而不只是做功的量。毕竟，仅仅是每天吃的 食用油 ，其完全燃烧所放出的化学能就比等质量/体积的任何一种含能材料都高很多，但是炸药的反应时间和植物油的燃烧时间有十几个数量级的差异，这就是为什么炸弹里面不装猪油的原因(之一)。   此外，化合物的分解速率越高，且产物气体的平均相对分子质量越小(Graham气体扩散定律)，其爆速就越高。不过，最近几年以来，很多看起来氮含量极高，而密度和氧平衡非常低的化合物，其9000+ m/s的爆速完全是靠着低分子量的氢气和甲烷等等堆出来的，而不是依赖于实际放能，实际威力甚至不如传统的硝酸酯类(PETN等)，此外，爆压和爆热也偏低。  (氧平衡定义：化合物形成完全氧化产物所需 的量与化合物分子量之比，放出 为正值，吸收则为负值)  (所以做这种意义不大的化合物，可能只是结构有趣或者为了发paper吧。。。)    高能量密度材料 (HEDM)的标准为HMX以上，大致要求密度&gt; 2 g/cm3、爆速&gt; 9000 m/s、爆压&gt; 40 GPa，而 超高能量密度材料 的标准大概只有金属氢、氮簇/氧簇和核同质异能素之类才能达到。    含能纯氮物种 是超高能量密度材料之一，包括 氮簇 ( 等)、 高聚氮 、 纯氮阴离子/阳离子 ( / / )等。因其产物主要为氮气，放能极高，且断开不稳定N-N键仅需要自由基均裂过程，反应速率通常很快，因此综合而言其做功功率也会很高。当然，高密度和氧平衡较好的多唑类和氧杂唑类/呋咱类也具有极高的威力。   (上图中左侧表格为推进剂比冲数据，右侧为爆压数据，红色代表理论预测的 和立方烷型 的计算结果)    那一天，人类又一次回想起被 支配的恐惧。    1998年，爱德华空军基地实验室(AFRL)的科学家首次制备了传说中的 盐粒炸弹 —— 盐，这是人类在叠氮根发现的百年之后，得到的第3种纯氮物种。   其“盐粒炸弹”别称的来源是   一小粒 晶体  曾经炸烂过  一个  通风橱   ( 晶体)    (0.5 mmol (~0.177 g)  造成的爆炸所摧毁的磁力搅拌器和四氟管道)    (其他 微量 事故)   (充分防护的实验员)   新发现的纯氮阳离子具有远远超出认知的威力，且与同样含能的负离子结合后其威力更大。例如，与同样高氮含量的 结合，可以形成氮含量高达87.7%的化合物。不过，人们制备“氮单质” 的努力没有成功。   ( 阴离子)   不过，当时的实验室成员就已经想到了还未制得的 离子，并进行了量子化学计算研究。其后，人们又捕捉到 存在的证据，但其半衰期过短，也没有实际应用的价值。此后，人们在200 GPa和低温下制备了 高聚氮 的原子晶体，并可在常温下以亚稳态存在。   但在接下来的很长一段时间，研究主要停留在量子计算方面，因为难以获得其他的纯氮物种，已知的也不够稳定。相关的工作一直处于停滞状态。    直到今天。    古代中国自从发现黑火药以来，在相关领域一直是世界领先。直到明代时，中国的火铳和其他热兵器也十分先进。但是在近代，由于没能跟上科技进步，被当年自己发明的火药打开了大门。   两次世界大战中，各国所应用的TNT、PETN和RDX均为国外首先研制，且产量不可同日而语。当然，目前为止，也只有部分先进的含能材料为国内首创。而五唑阴离子的首次发现，终于为中国争了一口气。   考虑到成本因素，超越HMX的含能材料的主要应用并不是在常规武器装药，而主要集中在高能战斗部、核武器常规装药和高能固体推进剂方面。也即，国家的 核心威慑力量 。   虽然说含能材料发展有其瓶颈，但每减少1 kg，对导弹的射程就会造成显著提升。因此，至少美国的军方实验室从未放弃过对超高能含能材料的研究，包括 高聚氮 、 金属氢 ，以及本文中的小分子 纯氮物种 。上文中的实验室图片即来源于公开的20世纪末AFRL实验室研究报告。   但中国的研究人员更快地抵达了目标，获得了可大量制备的稳定的五唑负离子。据文献报道，其热分解温度为不可思议的116.8 °C，可以作为各种含五唑离子盐的起始原料。   援引新华社报道：  胡炳成教授介绍，新型超高能含能材料是国家核心军事能力和军事技术制高点的重要标志。全氮类物质具有高密度、超高能量及爆轰产物清洁无污染等优点，成为新一代超高能含能材料的典型代表。目前，该领域的研究热点之一是全氮阴离子的合成。由于制备全氮阴离子的前驱体芳基五唑稳定性较差，加上全氮阴离子自身不稳定，致使采用常规方法获取全氮阴离子非常困难。自1956年芳基五唑被首次合成以来，制备稳定存在的全氮阴离子及其盐的研究一直没有取得实质性进展。     胡炳成教授团队经过多年研究，解决了这一困扰国际含能材料研究领域达半个多世纪的世界性难题，在全氮阴离子的合成中取得了重大突破性进展。他们创造性采用间氯过氧苯甲酸和甘氨酸亚铁分别作为切断试剂和助剂，通过氧化断裂的方式首次制备成功室温下稳定全氮阴离子盐。热分析结果显示这种盐分解温度高达116.8 ℃，具有非常好的热稳定性。  其实该课题组并不是第一次制备游离的五唑阴离子。仅仅在一个半月之前(2016.12.7)，就有高压合成 的报道：     但是， 是通过 和 在高压下制得，由于合成方法所限，其应用前景几乎可以忽略。因此，该课题组的研究成果的真正意义是—— 稳定的(可大量制备的)高能纯氮物种 。当然，Science看上该成果的原因，大概是首次合成以及其结构的独特性之类学术性的原因。   在获得游离的阴离子之前，在1956年就已经合成了对应的取代五唑——对二甲氨基苯基五唑(方框内)：    五唑环本身应该为富电子芳环( )，但是环上均为氮原子，N的高电负性导致了环系本身高度 缺电子性 。显然，五唑本身也应具有高度的 爆炸性 ，极易通过1，3-偶极环加成的逆过程开环分解。   因此，该化合物即使有个给电子基团(对二甲氨基苯基)，其化合物本身也极不稳定，且具有爆炸性，瞬间分解为叠氮化合物和一分子 ，然后叠氮化合物进一步分解为小分子产物。   但爆炸性也给人以希望。因为，即使附加了一个很大的非爆炸性基团，该化合物同样具有较强的爆炸性，如果可以制备游离的五唑或盐，其威力会有大幅度增加。但从较不稳定的芳香衍生物开始难度较大。故课题组通过重新设计路线，得到了经氢键稳定的五唑盐类—— 。   (氢键连接方式)   (立方晶系的晶体( Fd -3 m 空间群)的a轴投影)   (晶胞里面的氢键连接方式)    (合成路线以及同位素标记的产物合成)  (感谢某同学的提醒，N-15无放射性，是通过核磁共振来分辨的，已经修正)   作者的思路和前人的方法也差不太多。首先，做出较稳定的富电子芳基取代的五唑环，然后经氧化切断，去除取代基而获得游离的五唑。本实验的前体选用了更加富电子的3，5-二甲基-4-羟基苯基五唑，可以在-30 °C下保存2个月以上，而氧化剂则采取自由基氧化反应，切断C-N键而并不破坏五唑环本身。   最终，最后一步的关键反应以19%的收率获得产物。此外，第2步的产率为80%，第1步反应的收率也不错，只是原始文献中未分离就往下做了，没有详细数据，但是其实可以直接买到第二个中间体。。。虽然说产率还不太高，但是能做出来就已经很不错了，而且想必有更大的改进空间。   前人按照类似的方法没有成功，其原因可能在于芳基的选取上，以及注意到五唑本身极强的 还原性 (生成氮气的驱动力)，对于氧化剂 m -CPBA和自由基氧化反应的催化剂 的选取想必也是成功的重要因素。之前有使用CAN(硝酸铈铵)的例子，已经很接近完成了，但是生成的五唑瞬间就分解成叠氮根。另外，还有其他的设计路线是想彻底将芳环氧化成羧基，然后自动脱羧，但是这样所用的氧化剂可能过于剧烈，五唑本身可能就会被氧化。   此外，本实验用到的所有试剂均 价格低廉 ，之前的还原反应甚至选用了保险粉( )。。。可能最贵的就是 了，不过应该可以回收。可以看成，还是有很好的工业前景的。   显然，这个产物带有那么多结晶水和无用的氯化铵的物质，而且密度只有1.340 g/cm3，是不适合做炸药的。当然，考虑到有被抢发的风险或者 保密原因 ，做到这一步/只写了这些就发了science，也是可以理解的。想必实验室人员正在忙着把该起始原料和各种盐做复分解反应，并试图合成新的氮单质—— 。即使该物质不能稳定存在，那么已经做出来的 或者肼的衍生物也已经很不错。至少，本文中物质的产气量和能量极为可观，作为新型固体推进剂的前景广阔。   如果一旦可以制成 单质，经理论计算预测的结果是密度~1.9 g/cm3、晶格能120~140 kcal/mol、比冲400~600 s，质量能量密度约为2.11 kcal/g，与肼接近，但其密度为肼的2倍，也就是可以缩小一半的推进剂体积。但该物质分解不需要氧化剂，那么就可以去除氧化剂部分，节省的质量十分可观。如果作为高能战斗部装药，通过各种经验公式给出的保守估计，其爆速将会在14000 m/s以上，爆压将会达到60~90 GPa，远远超过任何已知的含能材料(~8000 m/s，~30 GPa)。   至于作为氢弹的常规装药的设想，以其可能的综合性能，只要找到合适的中子源可能就有希望。但至少可以在同等威力的前提下，缩小一半的体积和质量。   不过，至于说该物质威力是TNT的10~100倍，就有点新闻工作者的通病了，没事就喜欢（哔——）话说回来，金属氢确实可以达到TNT的25~35倍来着。。。    最后，奋战在科技前沿的工作者们，祝你们好运，以及实验安全。     新年快乐~     Reference   CsN5:   http://  pubs.acs.org/doi/abs/10  .1021/acs.chemmater.6b04538        Energy density - Wikipedia  HN5: Pentazole - Wikipedia  4-Dimethylaminophenylpentazole - Wikipedia  N5+: Pentazenium - Wikipedia  N4: Tetranitrogen - Wikipedia  Recent Advances in the Chemistry of N5+， N5− and High‐Oxygen Compounds  Synthesis of 4-hydroxyl-3，5-dimethylphenyl pentazole: Investigation on the Stability of Multisubstituted Arylpentazoles and the Influence on the Generation of Pentazolate Anion  Synthesis via Cerium (IV) Ammonium Nitrate (CAN): A Ceric Ammonium Nitrate N-Dearylation of N-p-Anisylazoles Applied to Pyrazole， Triazole， Tetrazole， and Pentazole Rings: Release of Parent Azoles. Generation of Unstable Pentazole， HN5/N5-， in Solution - The Journal of Organic Chemistry (ACS Publications)  ==================================================   大年初二的更新   Perspective跟进很快啊：Polynitrogen chemistry enters the ring  不过文章也给可能的“ ”泼了冷水，由于这两种离子的电离能/第一电子亲和能差异有点大，以及计算模拟出来的晶格能不够，可能会发生自相氧化还原反应，变成氮气。。。。不过这么说，做分子间炸药也不是不行，就是利用两种盐固相混合，起爆时发生复分解反应立即分解。  此外，关于该物种的金属盐也可能不够稳定，按照软硬酸碱理论，氮更倾向于以 -配位，使得五唑环变成一个二齿配体，而不像环戊二烯一样的五齿配体，可能导致芳香性下降或者消失，进而导致环的断开。    此外，人类还没有制得离子型的单质。。。   不过也不要灰心，用非金属的阳离子做抗衡离子也不是不行，但是就要考虑到五唑负离子可能的极强还原性了，带有硝基等等基团的离子可能就不是特别适合（也没有很大必要，负离子氧平衡刚好就是0）。本文用了铵离子就已经成功了，虽然说需要氢键稳定。   另外，经提醒我才想起来science的SI在文中有链接= =已经补全了合成路线，方法很简单，但是也比较有效，重点是原料非常便宜。。。   总之，期待南京理工大学的进一步研究~    2017.1.30 update   有人想看看和美国的金属氢的比较。  关于金属氢的回答请见： 如何评价 2017 年 1 月 26 日Science杂志报道哈佛团队成功制得固态金属氢？   1. 学术角度  显然，金属氢在物理学的理论价值是十分重大的，以至于哪怕做不出来都可以发Nature。。而且作为高能材料的性能显然也比五唑类要高很多，这是毫无疑问的。例如，金属氢的比冲大概有1700 s左右，而可能的N10的比冲大概也就400~600 s的数量级。  2. 实用角度  显然，本文的五唑合成是完全有能力进行工业放大生产的，并且成本也不高。此外， 五唑衍生物 还远远没有得到开发，可能很快就有相关的研究成果问世。而金属氢还处于一次做出微克级，用的还是极其昂贵的仪器——金刚石对顶砧，所以可能离实用还有很大的距离。  3. 结论   金属氢的成果更倾向于理论研究，而且理论上的性能确实更好。但如果考虑到实际应用，那么五唑将会领先不止一步。    （个人的一点微小的想法大概是，目前能看得到工业前景的推进剂/装药组分，有可能是DNTF/HNIW/ADN/GUDN这样的已经可以做放大生产的品种了。。。当然并不是专业人员，而且受到保密限制肯定看不到前沿，所以说错了就麻烦指正，多谢~）    2017.1.31 update   厉害了我的哥  翻到了2001年的理论研究成果，得出的结论是    离子型N10可能是稳定的，但是缺乏合成路径。    只要动力学稳定就行了(热力学可能虚)，因为现在的合成就变成了简单的 复分解反应 了2333333  From the frequency analysis， the ion pair N5- + N5+ turns out to be a stable compound， while N8 is unstable as such and tends to isomerize to azidopentazole and then dissociate to four N2 molecules.     A theoretical study of the nitrogen clusters formed from the ions N3−， N5+， and N5−   如果一旦成真，那么我国以后的军事力量大概会和周边地区形成断代级别的差异（    周边国家：这是21世纪？    ？？？？？？？   （图转侵删  @Belleve  ）   （此外，转载请私信并注明一下作者和链接）  +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++   但愿别出成高考题（flag    相信我，高中老师几乎所有的创造力都在编题上（    （据评论区，氢键的结构仿佛已经上了全国卷二的理综结构化学题。。。这真的不能怪我qaq    啊哈哈哈哈哈哈哈    =============================================================    2017.3.29更新    我猜的没错23333，现在简单金属盐([Co(N5)2(H2O)4]·4H2O)已经出来了        离能炸又近了一步  并且热重分析的时候，可能的无水盐物种炸掉了仪器233333333333（    
想考数学研究生，苏州大学，南京理工大学，南京师范大学，这三所学校怎样选择比较好啊？,南理工数学系应该是明显不如苏大和南师，不知道你为何会考虑这所学校。 2012年教育部学科评估，数学专业南京大学79分，位列全国第9，苏州大学74分，位列全国21名。南京师范大学72分，位列全国29名。 南理工未入榜，63分不到……  不是江苏人，建议你只选南京或苏州。如果是有定居意向，更加推荐苏州。  江苏211里，数学系除南大苏大南师大。剩下就河海大学66分，可以考虑下。
在南京理工大学读书是怎样一种体验？,军工传统，官僚主义，形式主义，内涵浅薄，理科尚可，文科水深，无比后悔，无比憎恨。   ———————我再把评论里的回答粘上来          军训时间很长（18天）而且从早到晚，有的院在一点没遮盖的大操场上站一天；        文科院的课程，我只知道某一个学院，反正是十分地水，老师上课简直毫无内容，课程少得让人惊掉下巴；        官僚方面，军训期间有所感受。最奇葩的还是我们院设置的各种五花八门学生评优规则。         学校开学典礼校长讲话一半时间在介绍学校各种杰出校友基本上都是导弹专家一类。剩下一半都在说一些励志鸡汤让人昏昏欲睡，让人相当怀疑校长的水准。        很少听说有名人来演讲，学校的文艺气息很淡薄。文科院都很小，存在感比较低。图书馆的文史类书籍非常不全，很多经典书籍根本没有，您要是只想四年画画图，南理工张开双臂欢迎您。   ————————         我要吐槽最近的运动会，一上午下雨居然照常开，excuse me？！！让大一的新生冒雨走方阵？让学生冒雨比赛？您们真有创见。 ———————— 哈哈哈，三十度万里无云的大晴天逼迫学生在一点遮盖都没有的看台上填场？人不够整个院都要扣分？还要根据这个评“道德风尚奖”？有趣。
南京理工大学到底怎么样？,高考完再考虑。 如果是江苏省内的，不要来，南理的分数线高于一般985。 深藏不露的教授们很多。在军工领域的教授们更是这样，说不定某个很著名的东西的项目就是在广场上打太极拳的某不起眼的老先生参与或主导的。  南理是军工学校，本行的5个专业是: 造炮的，现在是机械院。 造炮弹的，现在貌似机械院和能动院各有一部分。 造炸药的，我们专业，在化院。 造炮身材料的，材料院和化院各有一部分。 造瞄准镜的，现在在电光院。男里攻的光学也十分出名，全国前十。  南理工学业负担较重。这是很多文科老师都抱怨的。甚至重于多数985。 南理工男女比例2比1。 南理工学风很好，因为挂科率全国第二，不敢不学(据说已经超过中科大成全国挂科第一强校。上学期有三千多人次挂科。) 南理工风景很好，不少人来这里拍婚纱照。 南理工夏天暑假左右开船。因为地势很低，整个紫金山的水都往我们这涌。 南理有个很有名的风气就是黑南航。毕竟是两基友，招聘的时候都在一起，互黑两下还是很有爱的。 南理和南农是邻居。出门就有地铁站。交通便利。 在南京的7所211里，南大毫无疑问是第一，东南是985排第二，原来南理是老三，不过南航也和我们抢老三。然后就是河海(可怜的河海，明明很强很有历史，每次数学校都忘了河海)南农(南农是211，实力不俗，前一阵子还有大动静)中国药科大学(国字头没一个弱的，不过辽宁的中国医科大学弱一些) 南理工军训严格，因为是军校出身。俯卧撑准备，胶水粘被子什么的一点都不含糊。不过最近也弱了，都不拉练了。军训前中期是带枪的哦。 机会很多。有不少出国交流的名额。当然，成绩要够。 理科我还是很推荐我们学校的。文科……还是算了。
本人辽宁理科考生，分数615，省排名5485，想在湖南大学和南京理工大学中选一个，哪个更好一点？,南理工考研也没被歧视到哪儿去吧，至少我从南理工考到某蛤交时，老师们好像都知道你们学校xx专业还不错
上个211理工类大学好还是上个财会类的南京审计什么的好？,那得看你看重什么了。 如果你真心喜欢审计类，当然那个比较好。似乎很多211在这方面都比不上。 但是如果你学什么专业无所谓。就选一个211吧 个人建议。反正我觉得学校挺重要的。
甘肃理科女生，华东理工大学和南京理工大学选哪个？,去上海更长见识，去南京缓冲多一些
南京理工大学东北大学怎么选？,东大自动化，计算机，机械材料软件 南理工主要是兵器光学材料 另外，纸面数据来看，南方学校很多都比北方学校好 你比如说院士数量之类的，但是你要知道这和本科生基本关系不大 最后，想要深造，离家近可以考虑东大 但如果想出来见见世面，并且对南理工很有好感，去南京 不得不说，南京理工大学生源很好，氛围不赖
自动化考研疑问：南京航空航天大学的模式识别与图像处理与南京理工大学哪个好？,好吧，这个问题提出来的时候是自己刚准备考研的时候，现在考试结束了，现在再看这个问题，当初纠结这个问题好像并没有什么必要。当时心里想的是，万一我考上了南航发现南理工的更好怎么办，当然是我想多了。不知道未来会怎样，我报考了南航，总归是比我现在的学校好点。真的，是我自己的选择，是我独自面对的，不管未来结果是怎样，不管我是否能考上南航，我都不会说，要是当时报南理工就好了。  2017，3，25 复试结束。。。老子准备找工作了，复试一直在说，老师不好意思我不会，复试准备了一个礼拜指望我会多少。。。主要还是自己之前作死，不好好准备，不怪谁。想想我这么不用功也不可能会考上，so，我可以给你们失败的经验。。。同学分别考上了东北大学，南理工，东南大学。。。我这个渣渣。。。今年大坑，我说的是国家线，这么低是要干嘛，全民读研吗？我现在想调剂都没名额了。说什么非全一起招生，哪个学校是报满的，我也只是考不上说说酸话。。。看看就行，果然之前是我想多了，没考上哪个学校哪个专业好跟你屁关系都没有。  2017.3.30 怎么办，被打脸了，我进了。。。在我投了杭州一家公司然后又收到回复的情况下，我真的觉得自己可能踩了狗屎运。。。看样子我面试最后跟老师一通侃还是挺有用的啊，所以说大学里还是要参加一些项目比赛啥的。。。我这算是逆袭啊，啊哈哈哈哈。。。
南京大学的建筑学专业比华南理工的建筑学更好吗？,好吧，我来表个态。   我对南大没有太多认知。所以我不能作出什么有理有据的比较。   我不会拿南大的四年制说事的，我听南大的学生说了，是他们自己不想做五年制，想做本科硕士连续培养，不是实力不足以做成的那种情况。这条大家就不要作为论据了。   老八校和专业排名的事，我也觉得不足以作为一锤定音的论据。 老八校有个「老」字，意思就是既成事实了，横竖都是你们了，闹翻天了也还是你们。 专业排名这东西，一直是官方给铁打的前八，以及民间一群院系自称第九的局面，这事于是显得很可疑，因为它有点安理会常任理事国那种一劳永逸的意味。南大那种宁愿本科不评估也不做五年制的特殊情况，专业排名一时半会不太高，不见得代表什么的。 我不觉得专业排名、建筑老八校一定就代表一切。   不过排名这事我的态度一般是，既然我们的官方排名是那样的，建筑有全国第五，规划有全国第四，那我们就既不必洋洋得意地标榜它，也不必去窝里反地否定它，我们就好端端地、按部就班地过好自己的日子就好了。有人要质疑这个排名，我们大可懒洋洋地说，我也不知道，那是国家给的。 知乎名言，闷声发大财。广东人品性实际，既然这世上还有实事可做，还有钱可赚，何必卷入虚名之争。 虚名是你做了事，别人看你做的事给的，不是自己站出来费口舌争的。   顺便谈一下某两个支持南大更好的理由。 用学校排名来衡量，我觉得就开玩笑了。比如风景园林专业谁不知道第一名是北林，人家虽然不是985，但你们拿学校排名闹翻天了也没用啊。我们也一样，我们不在乎高校综合排名，不在乎外人说什么我们是什么末流985，不在乎行业外的人说不知道我们学校的存在。我们是建院啊。 至于用高考分数来衡量，我想，要是全国的高中生都在报志愿时知道全国专业排名的事，指不定我们这里多难考呢。高考填志愿这事，很多人除了往年分数之外，能获得的参考情报是很有限的。你们就没有优先挑的是学校、读了建筑之后才知道什么是老八校的人吗。   其实我还是知道这个问题可以找谁的。 我们学院的钟冠球老师是南大毕业的，以前跟张雷的。我猜他很有发言权。 不过我就不多事去打扰钟老师了。师弟师妹好奇这个问题的答案可以去问他，但我相信他也不乐意让你们把答案发上网来。   最后我想用貌似出自李小龙的一句话收尾。 「我说我很强，你可能会不相信，但是我要是说我很弱，你一定知道我在说谎。」 我知道南大肯定是不错的，但我觉得我们在这场比较里，肯定是神定气闲地不急于证明自己更好的那一个。   不知大家赞同我这个答案吗？
南京理工大学外国语学院英语专业怎么样？,你们是还有面试嘛 题目难度高考吧 但每一年的题型不一定一样 我们和上一届的就不一样 我们是全选择 英语是阅读语法完形 上一届有翻译
南京工业大学 安徽财经大学 和浙江理工大学哪个好？,题主你好 我是安徽财经大学的本科生。安徽财经大学地处安徽蚌埠，区位条件跟南京没法比，宿舍条件尚可，没独卫，大澡堂，舍友爱干净的话其实还好。 会计金融比较热门，大概就业也比较好吧...金融考研率挺高的，年年有上c9的。  欢迎你来安徽财经大学哦！
南京理工大学有专科吗？,谢邀  我还从没听说过南京理工大学有专科，不过紫金学院的确是三本。  如果硬要扯个专科出来，我想你说的那个专科应该是指“南京理工大学继续教育学院”。
华东理工跟南京航空航天大学 怎么选择？,术业有专攻…看你的兴趣在哪
2018考研南京理工大学？, 录报比都是学校自己踹着的，如果学校不愿意公开的话，那我们谁都不会知道。 
如何评价南京理工大学自动化学院李强老师？,在南理工，他的恶心程度大概属于专家级后期 恶心程度比专家级大圆满的胡文斌、朱壮志之流稍有不如 和大师级的陈如山、吴明赞比简直中国好老师
请问南京理工大学研究院材料学专业课难嘛？,有难度
16考研南京理工大学机械电子工程320分，有调剂准备，是211重要还是专业重要？,泻药，当然学校重要，除非是要让你读各种冷门专业（话说王道长在新东方也风生水起，北大这个牌子很重要啊）。还有不要想当然认为要在低一点的学校找个牛叉的导师就前途光明了，再好的老师也改变不了学校。
论从浙江工业大学考研究生考到南京理工的难度有多巨大！！！?,一所211就把你吓成这样。。。。
如何在中南大学（长沙）和南京理工大学间选择？, 来南理工的话，不用担心淹水的事，因为你们住南区宿舍，还可以免费看明年的新生学弟学妹们划船 
在南京理工大学挂科补考不过再重修是怎样一种体验？,电光院六楼的老师耳根子都很软，好好上课混个脸熟，感觉考得不好赶紧打电话卖萌撒娇，一般都会卖个面子给你啦。 当然我还没因为挂了出卖过色相，讲道理毕业出来还会梦回大学课堂后悔没好好再多上几节课，听沈华吹吹B，听赵琦老头子念念经
南京理工大学泰州科技学院是二本还是三本？,你们福建不是已经取消三本了嘛，所有本科学校都在一本二本招生。南理泰州科技学院是正宗的独立学院，拿南理泰州科技学院的本科文凭。在独立学院里也算好的了，在江苏省分数线我就是二本下十分以内。欢迎报考
南京理工大学转专业要自学大一的内容吗？,谢邀 据我所知转去计科院绩点3.0是完全不够的 最少要3.2以上 同时要求德育素质测评较高 最后过了面试基本上就可以转专业成功啦 大一其实基本学的都是基础课哟 专业课要到大二以后才渐渐涉及 不过你要是感兴趣 提前学的话大二的压力会小很多吧 昂 以上
有一个南京理工大学的女朋友是一种什么样的体验？,嗯，，，有一个南京理工的女朋友是什么样的感觉？我自己就是个妹子，看着室友被带走又被甩了。讲道理，就算女生再稀少，男生想玩玩的心态还是不会减少。两个妹子都很棒，那她们的男朋友都是一开始很暖，后来越来越冷淡，并没有很珍惜。两个妹子都很暖，很贴心，而且都是初恋，我真是不懂为什么那两个男生什么想法。 但是说实话在南理工找到个女朋友还不是很难，现在妹子还是挺多的，但是抢到个好看的女朋友是挺招人羡慕的。在路上撒个粮棒棒的。理工类的女生应该是都挺活泼外向的，但是每个女生都是个小公主啊，给点阳光就灿烂的那种。其实好多单身的妹子都想脱单的，但是为什么南理工男生都不追妹子的，，而且追妹子的方法，也太，生硬了吧。     有个女朋友，还是很棒的，只要你们认认真真谈。嗯  
中国药科大学和南京大学的差距在哪里？,中国的大学大致分为如下几个档次。 清华北大一档。 复旦交大中科大里，很多是考清北落榜的。 浙大南大人大里，一些是考清北落榜的，大多是强行吹自己考清北落榜的。  至于中国药科大学，里面要是有吹自己是考南大落榜的，讲真这种可能性是基本不存在的。依我看高考考砸了来药大的，发挥稳定自身水平最多就是南航南理工或者华科厦大一类（还局限在基地班和药学院）。药科大学生源质量平均智商和二类本科没啥差距，只是屁股坐的住点。  2007年过去了，当年不懂勃学，我很后悔。
河海大学，南京理工大学，南京农业大学，南京工业大学这四个学校机械哪个好？,看到前面某南理工大大貌似很牛逼的评论，河海狗只想默默地说一句，河海的机械在常州不在本部，所以南理工机械phd毕业了来教二本该是混得有多差。。。  另外题主提出的四个学校根本没有任何值得纠结的点，南理工的机械完爆另外三个大学，南工非211，河海的机械是二本，南农貌似这方面也不行吧~妥妥南理工啊。要比较的话可以和南航比比才是真的。。。  有知友评论现在常州一本招生了，更正更正。
本人现在确定能上南京理工大学光学工程研究生，但手头有福州京东方工程技术类的一个offer纠结中求解答？,研究生吧骚年！校园时光才是最棒的！研究生好好读出去还愁offer？
南京理工大学成人自考和高考出来的学历有什么区别？,这个你还是好好查一下正规单位吧。
工业工程考研选择南理工还是南京工业大学比较好呢？,楼上校友的回答我看不下去了。  不要去南工大 不要去南工大 不要去南工大  做人最重要的是良心，说瞎话是会被雷劈的。。。
南京理工大学有电竞社么？,这个你上百度查啊，或者是学校的贴吧去查有没有新生群
有一个南京大学的理工科男朋友是怎样的？,南京大学篡改校史
你是怎样选择南京理工大学的？你有什么个人体验？,同大一 至今仍有一个疑问：怎么会有人报这个学校。？
湖南的计算机本科考生，想考研，想问问南京理工大学，合肥工业大学，安徽大学，哪个学校计算机研究生比较好？,不明白为何工大学子四处黑我安大？我安大计算机平台保研可以上清华，本科生工作可以进bat研究生也能进微软来安大哪里不对？
上海大学 南京理工 中国海洋大学哪个好？,个人觉得男生的话南京理工好一些。我弟弟说上海的大学对外省人有区别对待 我也不知道真假。海大很水，除了有关海洋的专业以外其他的专业都不是很强，竞争力没有同层次大学强。
